time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Bryant misses 3-pt shot from 25 ft,,58-67,,
11:42.0,Offensive rebound by R. Hibbert,,58-67,,
11:41.0,Turnover by R. Hibbert (lost ball; steal by Z. Randolph),,58-67,,
11:23.0,,,58-70,3,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph)
11:07.0,J. Clarkson misses 2-pt shot from 10 ft,,58-70,,
11:06.0,,,58-70,,Defensive rebound by J. Green
11:00.0,,,58-70,,Shooting foul by R. Hibbert (drawn by P. Hairston)
11:00.0,,,58-70,,P. Hairston misses free throw 1 of 2
11:00.0,,,58-70,,Offensive rebound by Team
11:00.0,,,58-71,1,P. Hairston makes free throw 2 of 2
10:38.0,Shooting foul by M. Barnes (drawn by K. Bryant),,58-71,,
10:38.0,K. Bryant makes free throw 1 of 2,1,59-71,,
10:38.0,K. Bryant misses free throw 2 of 2,,59-71,,
10:37.0,,,59-71,,Defensive rebound by J. Green
10:23.0,,,59-71,,Z. Randolph misses 2-pt shot from 20 ft
10:23.0,,,59-71,,Offensive rebound by M. Conley
10:19.0,,,59-74,3,P. Hairston makes 3-pt shot from 25 ft (assist by M. Conley)
10:00.0,J. Clarkson makes 2-pt shot from 16 ft,2,61-74,,
9:35.0,,,61-74,,J. Green misses 2-pt shot from 8 ft
9:33.0,,,61-74,,Offensive rebound by Z. Randolph
9:30.0,,,61-74,,Z. Randolph misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by J. Randle,,61-74,,
9:24.0,Turnover by J. Randle (lost ball; steal by M. Conley),,61-74,,
9:18.0,,,61-76,2,P. Hairston makes 2-pt shot at rim (assist by M. Conley)
9:08.0,,,61-76,,Def 3 sec tech foul by J. Green
9:08.0,J. Clarkson makes technical free throw,1,62-76,,
8:55.0,D. Russell makes 2-pt shot from 2 ft,2,64-76,,
8:39.0,,,64-78,2,M. Conley makes 2-pt shot from 21 ft
8:19.0,J. Clarkson makes 2-pt shot from 3 ft,2,66-78,,
8:03.0,,,66-78,,Turnover by M. Barnes (traveling)
7:52.0,,,66-78,,Personal foul by J. Green
7:44.0,J. Clarkson misses 2-pt shot from 8 ft,,66-78,,
7:42.0,,,66-78,,Defensive rebound by P. Hairston
7:33.0,,,66-78,,Shooting foul by R. Hibbert (drawn by Z. Randolph)
7:33.0,,,66-79,1,Z. Randolph makes free throw 1 of 2
7:33.0,,,66-79,,Z. Randolph misses free throw 2 of 2
