time,LA Lakers,pts.away,score,pts.home,San Antonio
3:13.0,Turnover by L. Williams (bad pass; steal by P. Mills),,41-46,,
3:09.0,,,41-46,,Turnover by P. Mills (bad pass; steal by L. Nance)
3:00.0,L. Williams misses 3-pt shot from 23 ft,,41-46,,
2:58.0,,,41-46,,Defensive rebound by Team
2:58.0,LA Lakers full timeout,,41-46,,
2:48.0,Personal foul by N. Young (drawn by T. Duncan),,41-46,,
2:48.0,,,41-46,,T. Duncan misses free throw 1 of 2
2:48.0,,,41-46,,Offensive rebound by Team
2:48.0,,,41-46,,K. Anderson enters the game for P. Mills
2:48.0,,,41-47,1,T. Duncan makes free throw 2 of 2
2:26.0,D. Russell misses 3-pt shot from 25 ft,,41-47,,
2:25.0,,,41-47,,Defensive rebound by T. Duncan
2:13.0,,,41-47,,Shooting foul by L. Nance (drawn by L. Aldridge)
2:13.0,,,41-47,,L. Aldridge misses free throw 1 of 2
2:13.0,,,41-47,,Offensive rebound by Team
2:13.0,J. Randle enters the game for L. Nance,,41-47,,
2:13.0,,,41-47,,D. West enters the game for T. Duncan
2:13.0,,,41-48,1,L. Aldridge makes free throw 2 of 2
2:05.0,L. Williams makes 3-pt shot from 25 ft (assist by D. Russell),3,44-48,,
1:42.0,,,44-48,,L. Aldridge misses 2-pt shot from 7 ft (block by J. Randle)
1:40.0,Defensive rebound by J. Randle,,44-48,,
1:33.0,,,44-48,,Personal foul by K. Anderson (drawn by D. Russell)
1:33.0,,,44-48,,J. Simmons enters the game for D. Green
1:22.0,Turnover by D. Russell (step out of bounds),,44-48,,
1:09.0,,,44-50,2,K. Leonard makes 2-pt shot from 1 ft (assist by D. West)
0:56.0,L. Williams misses 2-pt shot from 19 ft,,44-50,,
0:55.0,,,44-50,,Defensive rebound by K. Leonard
0:45.0,,,44-50,,Turnover by J. Simmons (bad pass; steal by L. Williams)
0:42.0,L. Williams makes 2-pt shot at rim,2,46-50,,
0:31.0,,,46-50,,Shooting foul by L. Williams (drawn by L. Aldridge)
0:31.0,,,46-51,1,L. Aldridge makes free throw 1 of 2
0:31.0,,,46-51,,L. Aldridge misses free throw 2 of 2
0:30.0,Defensive rebound by J. Randle,,46-51,,
0:11.0,D. Russell makes 3-pt shot from 24 ft,3,49-51,,
0:01.0,,,49-51,,Turnover by K. Anderson (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,K. Bryant misses 3-pt shot from 24 ft (block by K. Leonard),,49-51,,
11:35.0,,,49-51,,Defensive rebound by K. Leonard
11:35.0,Technical foul by K. Bryant,,49-51,,
11:35.0,,,49-52,1,K. Leonard makes technical free throw
11:15.0,,,49-52,,L. Aldridge misses 2-pt shot from 20 ft
11:14.0,Defensive rebound by K. Bryant,,49-52,,
10:53.0,L. Nance misses 2-pt shot from 20 ft,,49-52,,
10:52.0,,,49-52,,Defensive rebound by L. Aldridge
10:43.0,,,49-54,2,K. Leonard makes 2-pt shot from 20 ft (assist by R. McCallum)
10:32.0,Shooting foul by R. McCallum (drawn by D. Russell),,49-54,,
10:32.0,D. Russell misses free throw 1 of 2,,49-54,,
10:32.0,Offensive rebound by Team,,49-54,,
10:32.0,D. Russell makes free throw 2 of 2,1,50-54,,
10:15.0,,,50-56,2,T. Duncan makes 2-pt shot from 7 ft (assist by L. Aldridge)
10:03.0,R. Hibbert misses 2-pt shot from 1 ft,,50-56,,
10:03.0,,,50-56,,Defensive rebound by K. Leonard
9:56.0,,,50-56,,Turnover by R. McCallum (bad pass; steal by L. Nance)
9:48.0,L. Nance makes 2-pt shot at rim (assist by K. Bryant),2,52-56,,
9:35.0,,,52-56,,L. Aldridge misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by L. Williams,,52-56,,
9:27.0,L. Williams misses 2-pt shot from 12 ft (block by T. Duncan),,52-56,,
9:25.0,,,52-56,,Defensive rebound by L. Aldridge
9:17.0,,,52-56,,R. McCallum misses 2-pt shot from 4 ft
9:16.0,,,52-56,,Offensive rebound by L. Aldridge
9:15.0,,,52-56,,L. Aldridge misses 2-pt shot from 2 ft (block by R. Hibbert)
9:13.0,Defensive rebound by R. Hibbert,,52-56,,
9:07.0,D. Russell misses 3-pt shot from 25 ft,,52-56,,
9:06.0,,,52-56,,Defensive rebound by K. Leonard
8:56.0,,,52-58,2,R. McCallum makes 2-pt shot from 1 ft (assist by T. Duncan)
8:41.0,K. Bryant misses 3-pt shot from 25 ft,,52-58,,
8:40.0,,,52-58,,Defensive rebound by L. Aldridge
8:22.0,,,52-58,,T. Duncan misses 2-pt shot from 11 ft
8:21.0,Defensive rebound by D. Russell,,52-58,,
8:03.0,Shooting foul by R. McCallum (drawn by K. Bryant),,52-58,,
8:03.0,K. Bryant misses free throw 1 of 2,,52-58,,
8:03.0,Offensive rebound by Team,,52-58,,
8:03.0,K. Bryant makes free throw 2 of 2,1,53-58,,
7:49.0,,,53-58,,Shooting foul by R. Hibbert (drawn by K. Leonard)
7:49.0,,,53-59,1,K. Leonard makes free throw 1 of 2
7:49.0,,,53-60,1,K. Leonard makes free throw 2 of 2
7:42.0,Offensive foul by R. Hibbert,,53-60,,
7:42.0,Turnover by R. Hibbert (offensive foul),,53-60,,
7:29.0,,,53-62,2,L. Aldridge makes 2-pt shot at rim (assist by J. Simmons)
7:29.0,LA Lakers full timeout,,53-62,,
7:22.0,,,53-62,,Personal foul by J. Simmons (drawn by L. Nance)
7:14.0,R. Hibbert misses 2-pt shot from 7 ft,,53-62,,
7:13.0,,,53-62,,Defensive rebound by T. Duncan
6:56.0,,,53-62,,R. McCallum misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by D. Russell,,53-62,,
6:40.0,Turnover by L. Nance (bad pass; steal by K. Leonard),,53-62,,
6:26.0,,,53-62,,L. Aldridge misses 2-pt shot from 1 ft
6:25.0,,,53-62,,Offensive rebound by L. Aldridge
6:24.0,,,53-64,2,L. Aldridge makes 2-pt shot from 1 ft
6:10.0,D. Russell misses 2-pt shot from 18 ft,,53-64,,
6:08.0,Offensive rebound by R. Hibbert,,53-64,,
6:08.0,J. Randle enters the game for L. Nance,,53-64,,
6:08.0,,,53-64,,P. Mills enters the game for R. McCallum
6:08.0,,,53-64,,B. Diaw enters the game for T. Duncan
6:02.0,Offensive foul by R. Hibbert,,53-64,,
6:02.0,Turnover by R. Hibbert (offensive foul),,53-64,,
5:51.0,,,53-64,,L. Aldridge misses 2-pt shot from 12 ft
5:50.0,,,53-64,,Offensive rebound by J. Simmons
5:50.0,,,53-66,2,J. Simmons makes 2-pt shot at rim
5:43.0,Shooting foul by J. Simmons (drawn by L. Williams),,53-66,,
5:43.0,L. Williams makes free throw 1 of 2,1,54-66,,
5:43.0,L. Williams makes free throw 2 of 2,1,55-66,,
5:23.0,,,55-68,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
5:08.0,J. Randle misses 2-pt shot from 16 ft,,55-68,,
5:07.0,,,55-68,,Defensive rebound by L. Aldridge
5:03.0,,,55-68,,Shooting foul by J. Randle (drawn by J. Simmons)
5:03.0,,,55-69,1,J. Simmons makes free throw 1 of 2
5:03.0,M. Huertas enters the game for L. Williams,,55-69,,
5:03.0,,,55-70,1,J. Simmons makes free throw 2 of 2
4:52.0,D. Russell misses 2-pt shot from 13 ft,,55-70,,
4:51.0,,,55-70,,Defensive rebound by K. Leonard
4:43.0,,,55-72,2,K. Leonard makes 2-pt shot from 17 ft
4:43.0,LA Lakers full timeout,,55-72,,
4:22.0,D. Russell makes 3-pt shot from 25 ft (assist by K. Bryant),3,58-72,,
4:09.0,,,58-72,,K. Leonard misses 2-pt shot from 12 ft
4:08.0,,,58-72,,Offensive rebound by K. Leonard
3:55.0,,,58-74,2,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills)
3:36.0,D. Russell makes 3-pt shot from 24 ft,3,61-74,,
3:20.0,,,61-74,,Turnover by L. Aldridge (traveling)
3:20.0,N. Young enters the game for K. Bryant,,61-74,,
3:07.0,D. Russell misses 2-pt shot from 18 ft,,61-74,,
3:06.0,,,61-74,,Defensive rebound by K. Leonard
3:04.0,Personal foul by M. Huertas (drawn by K. Leonard),,61-74,,
3:04.0,,,61-74,,K. Anderson enters the game for K. Leonard
3:04.0,,,61-74,,D. West enters the game for L. Aldridge
2:45.0,,,61-74,,B. Diaw misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by R. Hibbert,,61-74,,
2:30.0,J. Randle makes 2-pt shot from 6 ft (assist by M. Huertas),2,63-74,,
2:14.0,,,63-74,,Shooting foul by J. Randle (drawn by J. Simmons)
2:14.0,,,63-74,,San Antonio full timeout
2:14.0,R. Sacre enters the game for R. Hibbert,,63-74,,
2:14.0,,,63-75,1,J. Simmons makes free throw 1 of 2
2:14.0,,,63-76,1,J. Simmons makes free throw 2 of 2
1:58.0,N. Young makes 2-pt shot from 15 ft (assist by M. Huertas),2,65-76,,
1:45.0,,,65-78,2,P. Mills makes 2-pt shot from 20 ft
1:30.0,J. Randle makes 2-pt shot from 4 ft (assist by R. Sacre),2,67-78,,
1:12.0,,,67-78,,K. Anderson misses 3-pt shot from 23 ft
1:11.0,Defensive rebound by J. Randle,,67-78,,
1:04.0,Turnover by J. Randle (lost ball; steal by B. Diaw),,67-78,,
1:02.0,Personal foul by M. Huertas (drawn by P. Mills),,67-78,,
1:02.0,,,67-78,,P. Mills misses free throw 1 of 2
1:02.0,,,67-78,,Offensive rebound by Team
1:02.0,,,67-79,1,P. Mills makes free throw 2 of 2
0:53.0,N. Young makes 3-pt shot from 24 ft (assist by M. Huertas),3,70-79,,
0:51.0,,,70-79,,Technical foul by Team
0:51.0,N. Young makes technical free throw,1,71-79,,
0:35.0,,,71-79,,Offensive foul by D. West
0:35.0,,,71-79,,Turnover by D. West (offensive foul)
0:28.0,M. Huertas misses 3-pt shot from 24 ft,,71-79,,
0:28.0,Offensive rebound by Team,,71-79,,
0:04.0,Turnover by Team (shot clock),,71-79,,
0:00.0,,,71-79,,J. Simmons misses 2-pt shot at rim (block by R. Sacre)
0:00.0,,,71-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-81,2,P. Mills makes 2-pt shot from 19 ft
11:31.0,,,71-81,,Personal foul by B. Diaw (drawn by J. Randle)
11:23.0,R. Sacre misses 2-pt shot from 6 ft,,71-81,,
11:22.0,Offensive rebound by J. Randle,,71-81,,
11:22.0,J. Randle misses 2-pt shot at rim,,71-81,,
11:21.0,Offensive rebound by Team,,71-81,,
11:06.0,L. Williams makes 2-pt shot from 16 ft,2,73-81,,
10:52.0,Personal foul by J. Randle (drawn by B. Diaw),,73-81,,
10:52.0,,,73-81,,J. Simmons enters the game for D. Green
10:45.0,,,73-83,2,P. Mills makes 2-pt shot from 19 ft
10:27.0,N. Young misses 2-pt shot from 19 ft,,73-83,,
10:26.0,,,73-83,,Defensive rebound by B. Diaw
10:21.0,,,73-83,,Shooting foul by R. Sacre (drawn by J. Simmons)
10:21.0,,,73-85,2,J. Simmons makes 2-pt shot from 1 ft (assist by K. Anderson)
10:21.0,,,73-85,,R. Butler enters the game for K. Anderson
10:21.0,,,73-86,1,J. Simmons makes free throw 1 of 1
10:06.0,M. Huertas misses 3-pt shot from 24 ft,,73-86,,
10:05.0,Offensive rebound by Team,,73-86,,
9:56.0,Turnover by L. Williams (bad pass; steal by D. West),,73-86,,
9:54.0,Personal foul by M. Huertas (drawn by R. Butler),,73-86,,
9:54.0,,,73-86,,R. Butler misses free throw 1 of 2
9:54.0,,,73-86,,Offensive rebound by Team
9:54.0,K. Bryant enters the game for N. Young,,73-86,,
9:54.0,,,73-87,1,R. Butler makes free throw 2 of 2
9:45.0,K. Bryant makes 2-pt shot from 21 ft,2,75-87,,
9:30.0,,,75-89,2,P. Mills makes 2-pt shot from 18 ft
9:07.0,R. Sacre misses 2-pt shot from 14 ft,,75-89,,
9:07.0,,,75-89,,Defensive rebound by P. Mills
9:00.0,,,75-91,2,R. Butler makes 2-pt shot from 15 ft
9:00.0,LA Lakers full timeout,,75-91,,
9:00.0,R. Kelly enters the game for J. Randle,,75-91,,
8:37.0,K. Bryant misses 2-pt shot from 16 ft,,75-91,,
8:36.0,,,75-91,,Defensive rebound by B. Diaw
8:25.0,,,75-91,,R. Butler misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by L. Williams,,75-91,,
8:15.0,R. Sacre misses 2-pt shot from 7 ft,,75-91,,
8:14.0,Offensive rebound by R. Sacre,,75-91,,
8:13.0,Shooting foul by D. West (drawn by R. Sacre),,75-91,,
8:13.0,R. Sacre misses free throw 1 of 2,,75-91,,
8:13.0,Offensive rebound by Team,,75-91,,
8:13.0,D. Russell enters the game for M. Huertas,,75-91,,
8:13.0,R. Sacre misses free throw 2 of 2,,75-91,,
8:11.0,,,75-91,,Defensive rebound by P. Mills
7:54.0,,,75-91,,P. Mills misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by K. Bryant,,75-91,,
7:42.0,D. Russell misses 2-pt shot from 2 ft,,75-91,,
7:41.0,Offensive rebound by D. Russell,,75-91,,
7:41.0,D. Russell misses 2-pt shot from 2 ft,,75-91,,
7:39.0,,,75-91,,Defensive rebound by J. Simmons
7:37.0,,,75-91,,Offensive charge foul by J. Simmons
7:37.0,,,75-91,,Turnover by J. Simmons (offensive foul)
7:37.0,R. Hibbert enters the game for R. Sacre,,75-91,,
7:37.0,,,75-91,,R. McCallum enters the game for P. Mills
7:17.0,D. Russell makes 2-pt shot from 5 ft,2,77-91,,
7:09.0,,,77-91,,Turnover by B. Diaw (lost ball)
6:55.0,D. Russell misses 2-pt shot from 7 ft,,77-91,,
6:54.0,,,77-91,,Defensive rebound by R. McCallum
6:44.0,,,77-93,2,D. West makes 2-pt shot from 19 ft (assist by R. McCallum)
6:33.0,D. Russell misses 2-pt shot from 9 ft,,77-93,,
6:32.0,,,77-93,,Defensive rebound by D. West
6:20.0,,,77-95,2,B. Diaw makes 2-pt shot from 1 ft
6:05.0,K. Bryant misses 2-pt shot from 7 ft (block by R. McCallum),,77-95,,
6:02.0,Jump ball: K. Bryant vs. R. McCallum (D. Russell gains possession),,,,Jump ball: K. Bryant vs. R. McCallum (D. Russell gains possession)
6:02.0,Offensive rebound by Team,,77-95,,
5:56.0,D. Russell misses 3-pt shot from 24 ft,,77-95,,
5:55.0,,,77-95,,Defensive rebound by R. McCallum
5:41.0,,,77-98,3,R. McCallum makes 3-pt shot from 25 ft (assist by D. West)
5:29.0,,,77-98,,Personal foul by R. McCallum (drawn by K. Bryant)
5:29.0,Official timeout,,77-98,,
5:29.0,,,77-98,,B. Marjanovic enters the game for D. West
5:29.0,,,77-98,,K. Anderson enters the game for J. Simmons
5:29.0,N. Young enters the game for K. Bryant,,77-98,,
5:29.0,B. Bass enters the game for R. Hibbert,,77-98,,
5:29.0,A. Brown enters the game for L. Williams,,77-98,,
5:23.0,,,77-98,,Personal foul by B. Marjanovic (drawn by D. Russell)
5:15.0,N. Young misses 3-pt shot from 25 ft,,77-98,,
5:15.0,,,77-98,,Defensive rebound by B. Marjanovic
5:03.0,,,77-100,2,B. Marjanovic makes 2-pt shot from 10 ft (assist by R. McCallum)
5:03.0,,,77-100,,Shooting foul by B. Bass (drawn by B. Marjanovic)
5:03.0,,,77-100,,B. Marjanovic misses free throw 1 of 1
5:01.0,Defensive rebound by R. Kelly,,77-100,,
4:44.0,B. Bass makes 2-pt shot at rim (assist by D. Russell),2,79-100,,
4:16.0,,,79-100,,R. McCallum misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by R. Kelly,,79-100,,
4:08.0,N. Young misses 2-pt shot at rim,,79-100,,
4:07.0,,,79-100,,Defensive rebound by B. Marjanovic
3:54.0,,,79-100,,B. Marjanovic misses 2-pt shot from 10 ft
3:53.0,Defensive rebound by R. Kelly,,79-100,,
3:48.0,R. Kelly makes 2-pt shot from 1 ft,2,81-100,,
3:21.0,,,81-102,2,B. Marjanovic makes 2-pt shot at rim (assist by K. Anderson)
3:09.0,D. Russell misses 2-pt shot from 17 ft (block by R. McCallum),,81-102,,
