time,Orlando,pts.away,score,pts.home,Golden State
6:56.0,A. Gordon misses 3-pt shot from 24 ft,,30-38,,
6:56.0,,,30-38,,Defensive rebound by K. Thompson
6:40.0,,,30-38,,Turnover by D. Green (lost ball; steal by B. Jennings)
6:35.0,Turnover by B. Jennings (lost ball; steal by K. Thompson),,30-38,,
6:29.0,,,30-40,2,K. Thompson makes 2-pt shot at rim (assist by I. Clark)
6:19.0,Orlando full timeout,,30-40,,
6:19.0,V. Oladipo enters the game for D. Dedmon,,30-40,,
6:19.0,E. Payton enters the game for B. Jennings,,30-40,,
6:19.0,J. Smith enters the game for C. Watson,,30-40,,
6:12.0,M. Hezonja misses 2-pt shot from 13 ft,,30-40,,
6:11.0,,,30-40,,Defensive rebound by A. Varejao
5:53.0,,,30-40,,D. Green misses 2-pt shot from 9 ft
5:52.0,Defensive rebound by E. Payton,,30-40,,
5:49.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,32-40,,
5:36.0,,,32-40,,K. Thompson misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by A. Gordon,,32-40,,
5:29.0,M. Hezonja misses 3-pt shot from 25 ft,,32-40,,
5:28.0,,,32-40,,Defensive rebound by A. Varejao
5:16.0,,,32-42,2,S. Livingston makes 2-pt shot at rim
5:00.0,Shooting foul by A. Varejao (drawn by E. Payton),,32-42,,
5:00.0,E. Payton makes free throw 1 of 2,1,33-42,,
5:00.0,E. Fournier enters the game for M. Hezonja,,33-42,,
5:00.0,,,33-42,,S. Curry enters the game for I. Clark
5:00.0,,,33-42,,A. Bogut enters the game for A. Varejao
5:00.0,E. Payton misses free throw 2 of 2,,33-42,,
4:58.0,,,33-42,,Defensive rebound by S. Curry
4:50.0,,,33-42,,Turnover by K. Thompson (traveling)
4:39.0,J. Smith misses 2-pt shot from 20 ft,,33-42,,
4:38.0,,,33-42,,Defensive rebound by S. Curry
4:31.0,,,33-45,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry)
4:14.0,Shooting foul by A. Bogut (drawn by J. Smith),,33-45,,
4:14.0,J. Smith misses free throw 1 of 2,,33-45,,
4:14.0,Offensive rebound by Team,,33-45,,
4:14.0,J. Smith makes free throw 2 of 2,1,34-45,,
4:05.0,,,34-45,,S. Livingston misses 2-pt shot at rim (block by J. Smith)
4:04.0,Defensive rebound by E. Fournier,,34-45,,
3:51.0,V. Oladipo misses 3-pt shot from 25 ft,,34-45,,
3:51.0,,,34-45,,Defensive rebound by A. Bogut
3:44.0,,,34-45,,Golden State full timeout
3:44.0,,,34-45,,B. Rush enters the game for D. Green
3:44.0,,,34-45,,H. Barnes enters the game for S. Livingston
3:33.0,,,34-47,2,K. Thompson makes 2-pt shot at rim (assist by A. Bogut)
3:15.0,J. Smith makes 2-pt shot from 18 ft (assist by E. Fournier),2,36-47,,
3:02.0,,,36-47,,Turnover by A. Bogut (bad pass)
2:47.0,V. Oladipo makes 2-pt shot from 18 ft,2,38-47,,
2:33.0,,,38-50,3,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes)
2:16.0,Shooting foul by K. Thompson (drawn by E. Fournier),,38-50,,
2:16.0,E. Fournier makes 2-pt shot from 8 ft,2,40-50,,
2:16.0,E. Fournier makes free throw 1 of 1,1,41-50,,
2:05.0,,,41-50,,Turnover by S. Curry (bad pass; steal by E. Payton)
2:05.0,,,41-50,,Personal foul by A. Bogut (drawn by E. Fournier)
2:05.0,E. Fournier misses free throw 1 of 2,,41-50,,
2:05.0,Offensive rebound by Team,,41-50,,
2:05.0,E. Fournier makes free throw 2 of 2,1,42-50,,
1:48.0,,,42-52,2,H. Barnes makes 2-pt shot from 1 ft
1:31.0,J. Smith makes 2-pt shot from 18 ft (assist by E. Payton),2,44-52,,
1:13.0,,,44-55,3,S. Curry makes 3-pt shot from 25 ft
1:05.0,E. Fournier makes 2-pt shot from 20 ft,2,46-55,,
0:55.0,,,46-55,,K. Thompson misses 3-pt shot from 26 ft
0:55.0,,,46-55,,Offensive rebound by A. Bogut
0:51.0,,,46-57,2,S. Curry makes 2-pt shot from 6 ft (assist by A. Bogut)
0:36.0,E. Fournier misses 2-pt shot from 5 ft,,46-57,,
0:35.0,,,46-57,,Defensive rebound by A. Bogut
0:27.0,,,46-59,2,K. Thompson makes 2-pt shot from 11 ft (assist by B. Rush)
0:05.0,V. Oladipo misses 2-pt shot from 2 ft,,46-59,,
0:04.0,,,46-59,,Defensive rebound by S. Curry
0:02.0,Personal foul by E. Payton (drawn by S. Curry),,46-59,,
0:02.0,,,46-59,,Golden State full timeout
0:01.0,,,46-59,,S. Curry misses 3-pt shot from 35 ft
0:00.0,,,46-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,E. Fournier misses 3-pt shot from 25 ft,,46-59,,
11:44.0,,,46-59,,Defensive rebound by A. Bogut
11:31.0,,,46-61,2,A. Bogut makes 2-pt shot from 7 ft (assist by D. Green)
11:17.0,,,46-61,,Personal foul by K. Thompson (drawn by A. Gordon)
11:04.0,E. Payton misses 2-pt shot from 9 ft,,46-61,,
11:03.0,Offensive rebound by A. Gordon,,46-61,,
11:03.0,Turnover by A. Gordon (bad pass; steal by A. Bogut),,46-61,,
10:55.0,Personal foul by V. Oladipo (drawn by D. Green),,46-61,,
10:46.0,,,46-61,,K. Thompson misses 3-pt shot from 25 ft
10:45.0,,,46-61,,Offensive rebound by Team
10:42.0,,,46-63,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Green)
10:42.0,,,46-63,,Shooting foul by E. Fournier (drawn by H. Barnes)
10:42.0,,,46-64,1,H. Barnes makes free throw 1 of 1
10:29.0,J. Smith makes 2-pt shot from 16 ft (assist by E. Fournier),2,48-64,,
10:12.0,,,48-64,,Turnover by S. Curry (bad pass)
10:00.0,J. Smith misses 2-pt shot from 16 ft,,48-64,,
9:59.0,,,48-64,,Defensive rebound by S. Curry
9:54.0,,,48-64,,K. Thompson misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by A. Gordon,,48-64,,
9:40.0,E. Fournier misses 3-pt shot from 23 ft,,48-64,,
9:40.0,Offensive rebound by A. Gordon,,48-64,,
9:35.0,J. Smith misses 2-pt shot from 6 ft,,48-64,,
9:34.0,,,48-64,,Defensive rebound by H. Barnes
9:25.0,,,48-67,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
9:09.0,Turnover by V. Oladipo (lost ball; steal by S. Curry),,48-67,,
9:08.0,Personal foul by V. Oladipo (drawn by S. Curry),,48-67,,
8:58.0,,,48-67,,Turnover by K. Thompson (lost ball; steal by V. Oladipo)
8:56.0,,,48-67,,Personal foul by A. Bogut (drawn by V. Oladipo)
8:45.0,Turnover by E. Payton (lost ball; steal by A. Bogut),,48-67,,
8:42.0,,,48-67,,Turnover by A. Bogut (bad pass; steal by E. Payton)
8:39.0,E. Payton makes 2-pt shot from 4 ft,2,50-67,,
8:39.0,Shooting foul by A. Bogut (drawn by E. Payton),,50-67,,
8:39.0,,,50-67,,J. McAdoo enters the game for A. Bogut
8:39.0,E. Payton makes free throw 1 of 1,1,51-67,,
8:30.0,,,51-67,,H. Barnes misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by J. Smith,,51-67,,
8:18.0,J. Smith makes 2-pt shot from 15 ft (assist by V. Oladipo),2,53-67,,
8:03.0,,,53-70,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
7:51.0,E. Payton misses 2-pt shot from 9 ft,,53-70,,
7:50.0,,,53-70,,Defensive rebound by K. Thompson
7:37.0,Personal foul by E. Payton (drawn by S. Curry),,53-70,,
7:29.0,,,53-72,2,S. Curry makes 2-pt shot from 1 ft
7:14.0,V. Oladipo makes 2-pt shot from 16 ft (assist by E. Payton),2,55-72,,
7:04.0,,,55-72,,Shooting foul by J. Smith (drawn by S. Curry)
7:04.0,,,55-73,1,S. Curry makes free throw 1 of 2
7:04.0,,,55-74,1,S. Curry makes free throw 2 of 2
6:45.0,A. Gordon makes 2-pt shot from 7 ft,2,57-74,,
6:35.0,Jump ball: S. Curry vs. E. Fournier (K. Thompson gains possession),,,,Jump ball: S. Curry vs. E. Fournier (K. Thompson gains possession)
6:16.0,,,57-74,,J. McAdoo misses 2-pt shot from 2 ft (block by A. Gordon)
6:16.0,Defensive rebound by V. Oladipo,,57-74,,
6:10.0,E. Fournier makes 3-pt shot from 25 ft (assist by V. Oladipo),3,60-74,,
6:05.0,Personal take foul by J. Smith (drawn by J. McAdoo),,60-74,,
6:05.0,,,60-75,1,J. McAdoo makes free throw 1 of 2
6:05.0,,,60-75,,J. McAdoo misses free throw 2 of 2
6:03.0,,,60-75,,Offensive rebound by H. Barnes
6:03.0,,,60-75,,H. Barnes misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by A. Gordon,,60-75,,
5:48.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,62-75,,
5:45.0,,,62-75,,Turnover by S. Curry (bad pass)
5:45.0,,,62-75,,Golden State full timeout
5:31.0,E. Fournier makes 3-pt shot from 27 ft (assist by V. Oladipo),3,65-75,,
5:25.0,Personal take foul by J. Smith (drawn by J. McAdoo),,65-75,,
5:25.0,,,65-76,1,J. McAdoo makes free throw 1 of 2
5:25.0,,,65-76,,J. McAdoo misses free throw 2 of 2
5:25.0,Defensive rebound by A. Gordon,,65-76,,
5:06.0,A. Gordon makes 2-pt shot from 16 ft (assist by E. Payton),2,67-76,,
5:01.0,Personal foul by A. Gordon (drawn by J. McAdoo),,67-76,,
5:01.0,,,67-76,,J. McAdoo misses free throw 1 of 2
5:01.0,,,67-76,,Offensive rebound by Team
5:01.0,,,67-77,1,J. McAdoo makes free throw 2 of 2
4:49.0,A. Gordon misses 2-pt shot from 2 ft (block by D. Green),,67-77,,
4:48.0,Offensive rebound by A. Gordon,,67-77,,
4:48.0,Shooting foul by J. McAdoo (drawn by A. Gordon),,67-77,,
4:48.0,A. Gordon makes free throw 1 of 2,1,68-77,,
4:48.0,,,68-77,,L. Barbosa enters the game for K. Thompson
4:48.0,,,68-77,,B. Rush enters the game for J. McAdoo
4:48.0,A. Gordon makes free throw 2 of 2,1,69-77,,
4:43.0,Personal foul by V. Oladipo (drawn by S. Curry),,69-77,,
4:43.0,,,69-78,1,S. Curry makes free throw 1 of 2
4:43.0,,,69-79,1,S. Curry makes free throw 2 of 2
4:20.0,V. Oladipo makes 2-pt shot from 10 ft,2,71-79,,
4:14.0,,,71-79,,Turnover by S. Curry (bad pass; steal by E. Fournier)
4:08.0,Turnover by A. Gordon (offensive goaltending),,71-79,,
3:59.0,,,71-81,2,S. Curry makes 2-pt shot from 2 ft
3:40.0,Shooting foul by D. Green (drawn by E. Fournier),,71-81,,
3:40.0,E. Fournier makes free throw 1 of 2,1,72-81,,
3:40.0,B. Jennings enters the game for E. Payton,,72-81,,
3:40.0,E. Ilyasova enters the game for J. Smith,,72-81,,
3:40.0,,,72-81,,S. Livingston enters the game for H. Barnes
3:40.0,E. Fournier makes free throw 2 of 2,1,73-81,,
3:31.0,,,73-81,,S. Curry misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by B. Jennings,,73-81,,
3:06.0,B. Jennings misses 3-pt shot from 25 ft,,73-81,,
3:05.0,Offensive rebound by V. Oladipo,,73-81,,
2:59.0,V. Oladipo misses 2-pt shot from 15 ft,,73-81,,
2:58.0,,,73-81,,Defensive rebound by S. Curry
2:50.0,,,73-84,3,B. Rush makes 3-pt shot from 25 ft (assist by L. Barbosa)
2:50.0,Orlando full timeout,,73-84,,
2:36.0,E. Fournier misses 2-pt shot from 4 ft,,73-84,,
2:36.0,,,73-84,,Defensive rebound by D. Green
2:31.0,,,73-86,2,L. Barbosa makes 2-pt shot from 2 ft (assist by D. Green)
2:11.0,V. Oladipo misses 3-pt shot from 24 ft,,73-86,,
2:10.0,,,73-86,,Defensive rebound by L. Barbosa
1:52.0,,,73-89,3,S. Curry makes 3-pt shot from 27 ft
1:42.0,M. Hezonja enters the game for V. Oladipo,,73-89,,
1:42.0,Jump ball: A. Gordon vs. D. Green (S. Livingston gains possession),,,,Jump ball: A. Gordon vs. D. Green (S. Livingston gains possession)
1:42.0,Turnover by A. Gordon (lost ball; steal by D. Green),,73-89,,
1:35.0,,,73-91,2,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Livingston)
1:19.0,A. Gordon makes 2-pt shot at rim (assist by B. Jennings),2,75-91,,
1:05.0,,,75-91,,B. Rush misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by M. Hezonja,,75-91,,
1:00.0,Shooting foul by L. Barbosa (drawn by B. Jennings),,75-91,,
1:00.0,B. Jennings makes free throw 1 of 2,1,76-91,,
1:00.0,C. Watson enters the game for A. Gordon,,76-91,,
1:00.0,B. Jennings makes free throw 2 of 2,1,77-91,,
0:50.0,,,77-94,3,L. Barbosa makes 3-pt shot from 23 ft (assist by D. Green)
0:36.0,Turnover by M. Hezonja (bad pass; steal by S. Livingston),,77-94,,
0:26.0,,,77-94,,S. Curry misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by M. Hezonja,,77-94,,
0:03.0,B. Jennings misses 3-pt shot from 25 ft,,77-94,,
0:02.0,,,77-94,,Defensive rebound by S. Curry
0:01.0,,,77-94,,S. Curry misses 3-pt shot from 69 ft
0:00.0,,,77-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-94,,Turnover by S. Livingston (lost ball)
11:33.0,V. Oladipo misses 2-pt shot from 19 ft,,77-94,,
11:32.0,,,77-94,,Defensive rebound by K. Thompson
11:25.0,,,77-94,,H. Barnes misses 2-pt shot from 1 ft (block by M. Hezonja)
11:24.0,Defensive rebound by V. Oladipo,,77-94,,
11:14.0,Shooting foul by K. Thompson (drawn by E. Ilyasova),,77-94,,
11:14.0,E. Ilyasova makes free throw 1 of 2,1,78-94,,
11:14.0,E. Ilyasova makes free throw 2 of 2,1,79-94,,
10:52.0,,,79-94,,L. Barbosa misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by M. Hezonja,,79-94,,
10:34.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by B. Jennings),2,81-94,,
10:25.0,,,81-94,,S. Livingston misses 2-pt shot from 10 ft
10:24.0,Defensive rebound by V. Oladipo,,81-94,,
10:18.0,V. Oladipo makes 2-pt shot from 2 ft,2,83-94,,
10:17.0,,,83-94,,Golden State full timeout
10:17.0,,,83-94,,J. McAdoo enters the game for B. Rush
10:00.0,,,83-96,2,L. Barbosa makes 2-pt shot from 2 ft
9:45.0,M. Hezonja makes 3-pt shot from 25 ft,3,86-96,,
9:33.0,Jump ball: E. Ilyasova vs. S. Livingston (M. Hezonja gains possession),,,,Jump ball: E. Ilyasova vs. S. Livingston (M. Hezonja gains possession)
9:33.0,,,86-96,,Turnover by S. Livingston (lost ball; steal by E. Ilyasova)
9:16.0,E. Ilyasova makes 2-pt shot from 20 ft (assist by V. Oladipo),2,88-96,,
8:59.0,,,88-96,,K. Thompson misses 3-pt shot from 24 ft
8:59.0,,,88-96,,Offensive rebound by J. McAdoo
8:59.0,,,88-98,2,J. McAdoo makes 2-pt shot at rim
8:59.0,Orlando full timeout,,88-98,,
8:49.0,B. Jennings makes 3-pt shot from 23 ft,3,91-98,,
8:34.0,,,91-98,,Shooting foul by M. Hezonja (drawn by H. Barnes)
8:34.0,,,91-98,,H. Barnes misses free throw 1 of 2
8:34.0,,,91-98,,Offensive rebound by Team
8:34.0,E. Fournier enters the game for M. Hezonja,,91-98,,
8:34.0,,,91-98,,H. Barnes misses free throw 2 of 2
8:33.0,Defensive rebound by V. Oladipo,,91-98,,
8:20.0,,,91-98,,Def 3 sec tech foul by S. Livingston
8:20.0,V. Oladipo makes technical free throw,1,92-98,,
8:20.0,,,92-98,,D. Green enters the game for J. McAdoo
8:20.0,,,92-98,,S. Curry enters the game for L. Barbosa
8:13.0,E. Ilyasova misses 3-pt shot from 27 ft,,92-98,,
8:12.0,Offensive rebound by V. Oladipo,,92-98,,
8:10.0,B. Jennings misses 3-pt shot from 25 ft,,92-98,,
