time,Brooklyn,pts.away,score,pts.home,Portland
0:06.0,,,20-33,3,D. Lillard makes 3-pt shot from 25 ft
0:06.0,,,20-33,,Shooting foul by S. Larkin (drawn by D. Lillard)
0:06.0,,,20-34,1,D. Lillard makes free throw 1 of 1
0:02.0,Shooting foul by D. Lillard (drawn by S. Larkin),,20-34,,
0:02.0,S. Larkin misses free throw 1 of 2,,20-34,,
0:02.0,Offensive rebound by Team,,20-34,,
0:02.0,S. Larkin makes free throw 2 of 2,1,21-34,,
0:00.0,,,21-34,,G. Henderson misses 3-pt shot from 45 ft
0:00.0,,,21-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by W. Reed (bad pass; steal by D. Lillard),,21-34,,
11:36.0,,,21-34,,Turnover by D. Lillard (bad pass; steal by M. Brown)
11:24.0,Turnover by B. Bogdanovic (bad pass; steal by A. Crabbe),,21-34,,
11:17.0,,,21-34,,D. Lillard misses 3-pt shot from 24 ft
11:15.0,,,21-34,,Offensive rebound by E. Davis
10:57.0,,,21-34,,M. Leonard misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by S. Larkin,,21-34,,
10:41.0,M. Brown misses 2-pt shot from 6 ft,,21-34,,
10:41.0,Offensive rebound by Team,,21-34,,
10:41.0,,,21-34,,Loose ball foul by E. Davis (drawn by T. Robinson)
10:41.0,,,21-34,,M. Harkless enters the game for M. Leonard
10:32.0,W. Reed makes 2-pt shot from 11 ft (assist by S. Larkin),2,23-34,,
10:12.0,,,23-34,,E. Davis misses 2-pt shot from 6 ft
10:11.0,Defensive rebound by T. Robinson,,23-34,,
10:04.0,S. Larkin makes 2-pt shot from 18 ft,2,25-34,,
9:47.0,,,25-34,,G. Henderson misses 2-pt shot from 4 ft (block by W. Reed)
9:46.0,,,25-34,,Offensive rebound by E. Davis
9:45.0,,,25-34,,E. Davis misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by T. Robinson,,25-34,,
9:35.0,B. Bogdanovic misses 3-pt shot from 23 ft,,25-34,,
9:33.0,,,25-34,,Defensive rebound by G. Henderson
9:21.0,,,25-34,,Turnover by D. Lillard (bad pass; steal by S. Larkin)
9:09.0,Brooklyn full timeout,,25-34,,
9:09.0,,,25-34,,C. McCollum enters the game for D. Lillard
9:01.0,M. Brown makes 2-pt shot from 5 ft (assist by B. Bogdanovic),2,27-34,,
8:46.0,,,27-37,3,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum)
8:32.0,M. Brown makes 2-pt shot from 9 ft (assist by B. Bogdanovic),2,29-37,,
8:10.0,,,29-39,2,M. Harkless makes 2-pt shot from 1 ft (assist by A. Crabbe)
7:53.0,S. Larkin misses 2-pt shot from 3 ft,,29-39,,
7:53.0,Offensive rebound by T. Robinson,,29-39,,
7:51.0,T. Robinson misses 2-pt shot from 1 ft (block by E. Davis),,29-39,,
7:50.0,Offensive rebound by W. Reed,,29-39,,
7:50.0,W. Reed makes 2-pt shot at rim,2,31-39,,
7:39.0,,,31-41,2,C. McCollum makes 2-pt shot from 3 ft
7:30.0,W. Reed misses 2-pt shot from 2 ft (block by E. Davis),,31-41,,
7:29.0,Offensive rebound by T. Robinson,,31-41,,
7:28.0,T. Robinson misses 2-pt shot from 2 ft (block by M. Harkless),,31-41,,
7:26.0,,,31-41,,Defensive rebound by E. Davis
7:22.0,,,31-43,2,G. Henderson makes 2-pt shot at rim (assist by C. McCollum)
7:01.0,Turnover by M. Brown (lost ball),,31-43,,
7:01.0,T. Young enters the game for T. Robinson,,31-43,,
6:48.0,,,31-45,2,G. Henderson makes 2-pt shot from 15 ft (assist by C. McCollum)
6:32.0,Turnover by M. Brown (traveling),,31-45,,
6:16.0,,,31-47,2,G. Henderson makes 2-pt shot from 20 ft
6:15.0,Brooklyn full timeout,,31-47,,
6:15.0,W. Ellington enters the game for M. Brown,,31-47,,
6:15.0,B. Lopez enters the game for W. Reed,,31-47,,
6:04.0,T. Young makes 2-pt shot from 5 ft (assist by S. Larkin),2,33-47,,
5:47.0,,,33-50,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Crabbe)
5:29.0,B. Lopez makes 2-pt shot from 6 ft,2,35-50,,
5:17.0,,,35-52,2,E. Davis makes 2-pt shot at rim (assist by C. McCollum)
4:54.0,W. Ellington makes 2-pt shot from 2 ft (assist by B. Lopez),2,37-52,,
4:44.0,,,37-52,,C. McCollum misses 2-pt shot from 7 ft
4:44.0,Defensive rebound by T. Young,,37-52,,
4:39.0,W. Ellington misses 2-pt shot from 20 ft,,37-52,,
4:38.0,Offensive rebound by B. Bogdanovic,,37-52,,
4:38.0,Shooting foul by E. Davis (drawn by B. Bogdanovic),,37-52,,
4:38.0,Official timeout,,37-52,,
4:38.0,D. Sloan enters the game for S. Larkin,,37-52,,
4:38.0,,,37-52,,D. Lillard enters the game for C. McCollum
4:38.0,,,37-52,,A. Aminu enters the game for E. Davis
4:38.0,,,37-52,,M. Plumlee enters the game for A. Crabbe
4:38.0,B. Bogdanovic makes free throw 1 of 2,1,38-52,,
4:38.0,B. Bogdanovic makes free throw 2 of 2,1,39-52,,
4:18.0,,,39-54,2,M. Harkless makes 2-pt shot at rim (assist by G. Henderson)
4:01.0,D. Sloan makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,41-54,,
3:44.0,,,41-54,,M. Harkless misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by D. Sloan,,41-54,,
3:30.0,B. Bogdanovic misses 3-pt shot from 26 ft,,41-54,,
3:29.0,,,41-54,,Defensive rebound by M. Plumlee
3:20.0,,,41-56,2,D. Lillard makes 2-pt shot from 19 ft
2:54.0,B. Lopez makes 2-pt shot from 5 ft,2,43-56,,
2:41.0,,,43-56,,Shooting foul by W. Ellington (drawn by G. Henderson)
2:41.0,,,43-56,,Portland full timeout
2:41.0,J. Johnson enters the game for B. Bogdanovic,,43-56,,
2:41.0,,,43-57,1,G. Henderson makes free throw 1 of 2
2:41.0,,,43-58,1,G. Henderson makes free throw 2 of 2
2:29.0,T. Young misses 2-pt shot from 7 ft,,43-58,,
2:29.0,,,43-58,,Defensive rebound by M. Plumlee
2:24.0,,,43-58,,Offensive charge foul by M. Harkless
2:24.0,,,43-58,,Turnover by M. Harkless (offensive foul)
2:24.0,,,43-58,,C. McCollum enters the game for G. Henderson
2:12.0,B. Lopez makes 2-pt shot from 4 ft,2,45-58,,
1:56.0,,,45-58,,Turnover by M. Plumlee (bad pass; steal by B. Lopez)
1:45.0,B. Lopez misses 2-pt shot from 21 ft,,45-58,,
1:45.0,,,45-58,,Defensive rebound by A. Aminu
1:37.0,,,45-58,,Turnover by A. Aminu (lost ball)
1:19.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson),2,47-58,,
1:05.0,,,47-61,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
0:43.0,Turnover by J. Johnson (lost ball; steal by D. Lillard),,47-61,,
0:34.0,,,47-61,,M. Plumlee misses 2-pt shot from 5 ft
0:33.0,Defensive rebound by T. Young,,47-61,,
0:25.0,W. Ellington misses 2-pt shot from 3 ft,,47-61,,
0:24.0,Offensive rebound by W. Ellington,,47-61,,
0:23.0,W. Ellington misses 2-pt shot from 1 ft,,47-61,,
0:23.0,Offensive rebound by B. Lopez,,47-61,,
0:23.0,B. Lopez makes 2-pt shot at rim,2,49-61,,
0:10.0,,,49-61,,Portland full timeout
0:10.0,,,49-61,,A. Crabbe enters the game for M. Plumlee
0:10.0,M. Brown enters the game for B. Lopez,,49-61,,
0:10.0,B. Bogdanovic enters the game for W. Ellington,,49-61,,
0:05.0,Personal take foul by D. Sloan (drawn by D. Lillard),,49-61,,
0:00.0,,,49-63,2,D. Lillard makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,W. Ellington misses 2-pt shot from 16 ft,,49-63,,
11:38.0,,,49-63,,Defensive rebound by N. Vonleh
11:29.0,,,49-65,2,C. McCollum makes 2-pt shot from 7 ft
11:12.0,D. Sloan misses 3-pt shot from 24 ft,,49-65,,
11:11.0,,,49-65,,Defensive rebound by M. Plumlee
11:02.0,,,49-65,,Shooting foul by J. Johnson (drawn by A. Aminu)
11:02.0,,,49-66,1,A. Aminu makes free throw 1 of 2
11:02.0,,,49-66,,A. Aminu misses free throw 2 of 2
11:01.0,Defensive rebound by B. Lopez,,49-66,,
11:01.0,,,49-66,,Personal foul by M. Plumlee (drawn by B. Lopez)
10:43.0,B. Lopez misses 2-pt shot from 8 ft,,49-66,,
10:42.0,,,49-66,,Defensive rebound by N. Vonleh
10:36.0,,,49-66,,Shooting foul by W. Ellington (drawn by D. Lillard)
10:36.0,,,49-67,1,D. Lillard makes free throw 1 of 2
10:36.0,,,49-68,1,D. Lillard makes free throw 2 of 2
10:25.0,Turnover by J. Johnson (bad pass),,49-68,,
10:07.0,,,49-68,,A. Aminu misses 2-pt shot from 22 ft
10:07.0,Defensive rebound by D. Sloan,,49-68,,
9:57.0,B. Lopez misses 2-pt shot from 11 ft,,49-68,,
9:57.0,,,49-68,,Defensive rebound by M. Plumlee
9:44.0,,,49-68,,M. Plumlee misses 2-pt shot from 13 ft
9:44.0,Defensive rebound by B. Lopez,,49-68,,
9:33.0,Shooting foul by D. Lillard (drawn by J. Johnson),,49-68,,
9:33.0,J. Johnson makes free throw 1 of 2,1,50-68,,
9:33.0,J. Johnson makes free throw 2 of 2,1,51-68,,
9:16.0,,,51-68,,C. McCollum misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by D. Sloan,,51-68,,
9:10.0,D. Sloan makes 2-pt shot from 1 ft,2,53-68,,
9:01.0,,,53-68,,D. Lillard misses 3-pt shot from 24 ft
8:59.0,,,53-68,,Offensive rebound by C. McCollum
8:45.0,,,53-70,2,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum)
8:35.0,D. Sloan makes 2-pt shot from 4 ft,2,55-70,,
8:23.0,,,55-70,,D. Lillard misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by T. Young,,55-70,,
8:16.0,T. Young makes 2-pt shot from 3 ft (assist by J. Johnson),2,57-70,,
7:58.0,,,57-70,,A. Aminu misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by T. Young,,57-70,,
7:42.0,B. Lopez misses 2-pt shot from 2 ft (block by M. Plumlee),,57-70,,
7:42.0,,,57-70,,Defensive rebound by N. Vonleh
7:35.0,Personal foul by D. Sloan (drawn by D. Lillard),,57-70,,
7:35.0,B. Bogdanovic enters the game for W. Ellington,,57-70,,
7:34.0,Personal foul by B. Lopez (drawn by M. Plumlee),,57-70,,
7:29.0,Def 3 sec tech foul by B. Lopez,,57-70,,
7:29.0,,,57-71,1,D. Lillard makes technical free throw
7:24.0,Personal foul by D. Sloan (drawn by M. Plumlee),,57-71,,
7:24.0,,,57-72,1,M. Plumlee makes free throw 1 of 2
7:24.0,,,57-72,,M. Plumlee misses free throw 2 of 2
7:23.0,,,57-72,,Offensive rebound by A. Aminu
7:16.0,,,57-72,,Turnover by C. McCollum (bad pass; steal by B. Lopez)
7:12.0,T. Young makes 2-pt shot at rim (assist by D. Sloan),2,59-72,,
6:54.0,,,59-72,,N. Vonleh misses 2-pt shot from 18 ft
6:53.0,Defensive rebound by J. Johnson,,59-72,,
6:48.0,,,59-72,,Personal foul by A. Aminu (drawn by J. Johnson)
6:41.0,J. Johnson misses 2-pt shot from 14 ft,,59-72,,
6:39.0,Offensive rebound by B. Lopez,,59-72,,
6:36.0,B. Lopez makes 2-pt shot from 2 ft,2,61-72,,
6:20.0,,,61-74,2,N. Vonleh makes 2-pt shot at rim (assist by A. Aminu)
6:04.0,,,61-74,,Personal foul by N. Vonleh (drawn by B. Bogdanovic)
5:57.0,B. Bogdanovic misses 2-pt shot at rim (block by M. Plumlee),,61-74,,
5:56.0,,,61-74,,Defensive rebound by M. Plumlee
5:41.0,,,61-74,,A. Aminu misses 2-pt shot at rim
5:40.0,Defensive rebound by D. Sloan,,61-74,,
5:28.0,J. Johnson makes 2-pt shot from 19 ft,2,63-74,,
5:27.0,,,63-74,,Portland full timeout
5:27.0,,,63-74,,A. Crabbe enters the game for C. McCollum
5:27.0,,,63-74,,M. Leonard enters the game for N. Vonleh
5:14.0,,,63-77,3,M. Leonard makes 3-pt shot from 22 ft (assist by D. Lillard)
4:51.0,Turnover by J. Johnson (bad pass; steal by A. Crabbe),,63-77,,
4:45.0,,,63-77,,M. Leonard misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by T. Young,,63-77,,
4:39.0,Shooting foul by D. Lillard (drawn by D. Sloan),,63-77,,
4:39.0,D. Sloan misses free throw 1 of 2,,63-77,,
4:39.0,Offensive rebound by Team,,63-77,,
4:39.0,D. Sloan misses free throw 2 of 2,,63-77,,
4:38.0,,,63-77,,Defensive rebound by M. Plumlee
4:22.0,,,63-77,,Turnover by A. Crabbe (traveling)
4:06.0,Shooting foul by M. Leonard (drawn by B. Lopez),,63-77,,
4:06.0,B. Lopez makes 2-pt shot from 4 ft,2,65-77,,
4:06.0,B. Lopez makes free throw 1 of 1,1,66-77,,
3:54.0,Personal foul by T. Young (drawn by D. Lillard),,66-77,,
3:54.0,,,66-78,1,D. Lillard makes free throw 1 of 2
3:54.0,,,66-78,,G. Henderson enters the game for A. Aminu
3:54.0,,,66-78,,E. Davis enters the game for M. Plumlee
3:54.0,,,66-79,1,D. Lillard makes free throw 2 of 2
3:28.0,J. Johnson makes 3-pt shot from 22 ft (assist by B. Bogdanovic),3,69-79,,
3:12.0,,,69-79,,D. Lillard misses 3-pt shot from 27 ft
3:12.0,Defensive rebound by J. Johnson,,69-79,,
3:00.0,T. Young misses 2-pt shot from 1 ft,,69-79,,
2:59.0,,,69-79,,Defensive rebound by M. Leonard
2:53.0,,,69-81,2,D. Lillard makes 2-pt shot at rim
2:46.0,Brooklyn full timeout,,69-81,,
2:46.0,,,69-81,,C. McCollum enters the game for D. Lillard
2:37.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Sloan),3,72-81,,
2:10.0,,,72-81,,C. McCollum misses 2-pt shot from 22 ft
2:09.0,Defensive rebound by B. Lopez,,72-81,,
1:59.0,B. Lopez makes 2-pt shot from 4 ft (assist by T. Young),2,74-81,,
1:39.0,,,74-81,,A. Crabbe misses 2-pt shot from 13 ft
1:38.0,Defensive rebound by J. Johnson,,74-81,,
1:26.0,B. Lopez makes 2-pt shot from 14 ft (assist by J. Johnson),2,76-81,,
1:10.0,,,76-81,,Turnover by G. Henderson (lost ball; steal by D. Sloan)
1:07.0,Shooting foul by C. McCollum (drawn by D. Sloan),,76-81,,
1:07.0,D. Sloan makes free throw 1 of 2,1,77-81,,
1:07.0,D. Sloan makes free throw 2 of 2,1,78-81,,
0:45.0,,,78-83,2,G. Henderson makes 2-pt shot from 10 ft
0:38.0,D. Sloan makes 2-pt shot from 2 ft,2,80-83,,
0:27.0,,,80-83,,G. Henderson misses 2-pt shot from 21 ft
0:26.0,Defensive rebound by T. Young,,80-83,,
0:04.0,J. Johnson makes 2-pt shot from 17 ft,2,82-83,,
0:00.0,,,82-85,2,C. McCollum makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Violation by M. Brown (kicked ball),,82-85,,
11:40.0,,,82-85,,Turnover by G. Henderson (bad pass; steal by M. Brown)
11:35.0,D. Sloan misses 2-pt shot from 2 ft,,82-85,,
11:35.0,Offensive rebound by T. Young,,82-85,,
11:32.0,Turnover by T. Young (lost ball; steal by C. McCollum),,82-85,,
11:31.0,Personal foul by B. Bogdanovic (drawn by C. McCollum),,82-85,,
11:11.0,,,82-85,,A. Crabbe misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by T. Young,,82-85,,
10:53.0,,,82-85,,Personal foul by C. McCollum (drawn by D. Sloan)
10:46.0,B. Lopez makes 2-pt shot from 16 ft (assist by D. Sloan),2,84-85,,
10:30.0,,,84-87,2,E. Davis makes 2-pt shot from 2 ft (assist by M. Harkless)
10:23.0,D. Sloan makes 2-pt shot from 1 ft,2,86-87,,
10:09.0,,,86-87,,M. Harkless misses 2-pt shot from 1 ft
10:08.0,,,86-87,,Offensive rebound by M. Harkless
10:08.0,,,86-87,,M. Harkless misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by B. Lopez,,86-87,,
9:55.0,B. Lopez makes 2-pt shot from 3 ft (assist by D. Sloan),2,88-87,,
9:43.0,,,88-87,,Turnover by C. McCollum (lost ball; steal by M. Brown)
9:32.0,B. Bogdanovic misses 3-pt shot from 23 ft,,88-87,,
9:31.0,,,88-87,,Defensive rebound by E. Davis
9:26.0,,,88-89,2,C. McCollum makes 2-pt shot from 22 ft
9:20.0,Brooklyn full timeout,,88-89,,
9:20.0,,,88-89,,D. Lillard enters the game for A. Crabbe
9:20.0,S. Larkin enters the game for T. Young,,88-89,,
9:20.0,T. Robinson enters the game for B. Lopez,,88-89,,
9:20.0,W. Reed enters the game for D. Sloan,,88-89,,
9:08.0,B. Bogdanovic misses 2-pt shot from 12 ft,,88-89,,
9:06.0,,,88-89,,Defensive rebound by C. McCollum
8:48.0,,,88-89,,Turnover by E. Davis (bad pass; steal by W. Reed)
8:42.0,M. Brown makes 3-pt shot from 24 ft (assist by S. Larkin),3,91-89,,
8:29.0,,,91-89,,Shooting foul by T. Robinson (drawn by D. Lillard)
8:29.0,,,91-90,1,D. Lillard makes free throw 1 of 2
8:29.0,,,91-91,1,D. Lillard makes free throw 2 of 2
8:10.0,B. Bogdanovic misses 3-pt shot from 25 ft,,91-91,,
8:08.0,,,91-91,,Defensive rebound by Team
7:54.0,,,91-91,,M. Harkless misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by T. Robinson,,91-91,,
7:36.0,B. Lopez enters the game for W. Reed,,91-91,,
7:31.0,T. Robinson misses 2-pt shot at rim (block by M. Harkless),,91-91,,
7:31.0,,,91-91,,Defensive rebound by D. Lillard
7:31.0,Personal foul by B. Lopez (drawn by D. Lillard),,91-91,,
7:31.0,J. Johnson enters the game for B. Bogdanovic,,91-91,,
7:16.0,,,91-91,,D. Lillard misses 2-pt shot from 2 ft (block by B. Lopez)
7:15.0,Defensive rebound by M. Brown,,91-91,,
7:07.0,J. Johnson makes 2-pt shot from 3 ft,2,93-91,,
6:49.0,,,93-91,,Turnover by C. McCollum (bad pass)
6:39.0,S. Larkin misses 2-pt shot from 16 ft,,93-91,,
6:37.0,,,93-91,,Defensive rebound by C. McCollum
6:30.0,,,93-93,2,C. McCollum makes 2-pt shot from 16 ft
6:13.0,B. Lopez makes 2-pt shot from 4 ft,2,95-93,,
6:13.0,Shooting foul by E. Davis (drawn by B. Lopez),,95-93,,
6:13.0,,,95-93,,M. Plumlee enters the game for M. Harkless
6:13.0,T. Young enters the game for T. Robinson,,95-93,,
6:13.0,,,95-93,,A. Crabbe enters the game for E. Davis
6:13.0,,,95-93,,A. Aminu enters the game for G. Henderson
6:13.0,B. Lopez makes free throw 1 of 1,1,96-93,,
5:52.0,,,96-93,,D. Lillard misses 2-pt shot from 15 ft
5:51.0,Defensive rebound by T. Young,,96-93,,
5:39.0,M. Brown misses 3-pt shot from 24 ft,,96-93,,
5:38.0,,,96-93,,Defensive rebound by A. Aminu
5:32.0,Personal foul by M. Brown (drawn by D. Lillard),,96-93,,
5:32.0,Official timeout,,96-93,,
5:21.0,,,96-93,,D. Lillard misses 2-pt shot from 22 ft
5:18.0,,,96-93,,Offensive rebound by M. Plumlee
5:16.0,,,96-93,,Turnover by D. Lillard (bad pass; steal by B. Lopez)
5:14.0,Turnover by B. Lopez (offensive foul),,96-93,,
5:14.0,Offensive charge foul by B. Lopez,,96-93,,
4:45.0,,,96-95,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
4:32.0,Turnover by S. Larkin (lost ball; steal by D. Lillard),,96-95,,
4:27.0,,,96-97,2,D. Lillard makes 2-pt shot at rim (assist by A. Crabbe)
4:10.0,,,96-97,,Personal foul by M. Plumlee (drawn by B. Lopez)
4:10.0,D. Sloan enters the game for S. Larkin,,96-97,,
4:01.0,Shooting foul by M. Plumlee (drawn by B. Lopez),,96-97,,
4:01.0,B. Lopez misses free throw 1 of 2,,96-97,,
4:01.0,Offensive rebound by Team,,96-97,,
4:01.0,B. Lopez makes free throw 2 of 2,1,97-97,,
3:46.0,,,97-99,2,C. McCollum makes 2-pt shot from 16 ft
3:32.0,,,97-99,,Personal foul by A. Crabbe (drawn by J. Johnson)
3:32.0,J. Johnson makes free throw 1 of 2,1,98-99,,
3:32.0,J. Johnson makes free throw 2 of 2,1,99-99,,
3:19.0,,,99-101,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
2:57.0,J. Johnson misses 2-pt shot from 17 ft,,99-101,,
2:56.0,,,99-101,,Defensive rebound by Team
2:56.0,,,99-101,,Portland full timeout
2:35.0,,,99-101,,Turnover by D. Lillard (bad pass; steal by B. Lopez)
2:16.0,J. Johnson makes 2-pt shot from 6 ft,2,101-101,,
1:56.0,,,101-104,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee)
