time,San Antonio,pts.away,score,pts.home,Sacramento
7:04.0,D. Green misses 3-pt shot from 24 ft,,12-8,,
7:04.0,,,12-8,,Defensive rebound by D. Cousins
6:56.0,,,12-8,,D. Cousins misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by T. Duncan,,12-8,,
6:39.0,K. Leonard misses 2-pt shot from 14 ft,,12-8,,
6:38.0,,,12-8,,Defensive rebound by W. Cauley-Stein
6:30.0,,,12-10,2,D. Cousins makes 2-pt shot from 7 ft (assist by R. Gay)
6:30.0,San Antonio full timeout,,12-10,,
6:13.0,T. Duncan misses 2-pt shot from 6 ft,,12-10,,
6:12.0,,,12-10,,Defensive rebound by R. Gay
5:59.0,,,12-10,,Turnover by R. Rondo (bad pass)
5:47.0,D. Green misses 2-pt shot from 22 ft,,12-10,,
5:47.0,,,12-10,,Defensive rebound by D. Cousins
5:43.0,,,12-12,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins)
5:14.0,L. Aldridge misses 2-pt shot from 20 ft,,12-12,,
5:13.0,,,12-12,,Defensive rebound by R. Gay
5:06.0,,,12-14,2,R. Rondo makes 2-pt shot from 18 ft (assist by R. Gay)
4:40.0,L. Aldridge misses 2-pt shot from 17 ft,,12-14,,
4:40.0,Offensive rebound by Team,,12-14,,
4:39.0,,,12-14,,M. Belinelli enters the game for J. Anderson
4:39.0,B. Diaw enters the game for T. Parker,,12-14,,
4:39.0,P. Mills enters the game for T. Duncan,,12-14,,
4:39.0,M. Ginobili enters the game for D. Green,,12-14,,
4:37.0,L. Aldridge makes 2-pt shot from 2 ft (assist by B. Diaw),2,14-14,,
4:19.0,,,14-14,,W. Cauley-Stein misses 2-pt shot from 7 ft
4:19.0,Defensive rebound by L. Aldridge,,14-14,,
4:14.0,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili),2,16-14,,
3:50.0,,,16-16,2,R. Rondo makes 2-pt shot from 21 ft
3:41.0,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili),2,18-16,,
3:33.0,,,18-18,2,R. Rondo makes 2-pt shot from 3 ft
3:19.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills),3,21-18,,
3:19.0,,,21-18,,Sacramento full timeout
3:19.0,D. West enters the game for L. Aldridge,,21-18,,
3:19.0,K. Anderson enters the game for K. Leonard,,21-18,,
3:19.0,,,21-18,,K. Koufos enters the game for W. Cauley-Stein
3:19.0,,,21-18,,O. Casspi enters the game for R. Gay
3:02.0,,,21-20,2,D. Cousins makes 2-pt shot from 4 ft (assist by M. Belinelli)
2:45.0,M. Ginobili misses 3-pt shot from 24 ft,,21-20,,
2:44.0,,,21-20,,Defensive rebound by O. Casspi
2:39.0,,,21-20,,Turnover by R. Rondo (bad pass)
2:24.0,P. Mills misses 2-pt shot from 17 ft,,21-20,,
2:24.0,,,21-20,,Defensive rebound by D. Cousins
2:14.0,,,21-20,,Turnover by M. Belinelli (bad pass; steal by M. Ginobili)
2:11.0,Turnover by D. West (bad pass; steal by D. Cousins),,21-20,,
2:02.0,,,21-20,,O. Casspi misses 3-pt shot from 23 ft
2:01.0,,,21-20,,Offensive rebound by K. Koufos
1:57.0,,,21-22,2,O. Casspi makes 2-pt shot from 3 ft (assist by K. Koufos)
1:42.0,P. Mills misses 2-pt shot from 20 ft,,21-22,,
1:41.0,,,21-22,,Defensive rebound by K. Koufos
1:18.0,,,21-22,,O. Casspi misses 2-pt shot from 8 ft
1:18.0,,,21-22,,Offensive rebound by Team
1:18.0,Loose ball foul by B. Diaw (drawn by K. Koufos),,21-22,,
1:18.0,,,21-22,,R. Gay enters the game for D. Cousins
1:12.0,,,21-24,2,R. Rondo makes 2-pt shot from 20 ft
0:56.0,D. West makes 2-pt shot from 2 ft (assist by B. Diaw),2,23-24,,
0:40.0,,,23-24,,Turnover by R. Rondo (bad pass)
0:29.0,B. Diaw misses 3-pt shot from 25 ft,,23-24,,
0:28.0,,,23-24,,Defensive rebound by O. Casspi
0:06.0,,,23-24,,R. Gay misses 3-pt shot from 25 ft
0:05.0,,,23-24,,Offensive rebound by M. Belinelli
0:00.0,,,23-24,,M. Belinelli misses 2-pt shot from 11 ft
0:00.0,,,23-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-26,2,M. Belinelli makes 2-pt shot from 3 ft (assist by R. Gay)
11:22.0,M. Ginobili misses 3-pt shot from 23 ft,,23-26,,
11:22.0,,,23-26,,Defensive rebound by K. Koufos
11:09.0,,,23-26,,O. Casspi misses 2-pt shot from 6 ft
11:09.0,Defensive rebound by D. West,,23-26,,
11:02.0,Turnover by M. Ginobili (bad pass; steal by O. Casspi),,23-26,,
10:58.0,Violation by K. Anderson (def goaltending),,23-26,,
10:58.0,,,23-28,2,O. Casspi makes 2-pt shot from 3 ft
10:43.0,D. West makes 2-pt shot from 18 ft (assist by B. Diaw),2,25-28,,
10:27.0,,,25-28,,Turnover by R. Gay (bad pass; steal by M. Ginobili)
10:26.0,,,25-28,,Personal foul by R. Gay (drawn by M. Ginobili)
10:26.0,D. Green enters the game for M. Ginobili,,25-28,,
10:15.0,K. Anderson misses 2-pt shot at rim (block by R. Gay),,25-28,,
10:14.0,Offensive rebound by K. Anderson,,25-28,,
10:14.0,K. Anderson misses 2-pt shot at rim,,25-28,,
10:13.0,,,25-28,,Defensive rebound by R. Rondo
10:05.0,,,25-28,,Shooting foul by K. Anderson (drawn by K. Koufos)
10:05.0,,,25-28,,K. Koufos misses free throw 1 of 2
10:05.0,,,25-28,,Offensive rebound by Team
10:05.0,,,25-28,,K. Koufos misses free throw 2 of 2
10:04.0,Defensive rebound by D. West,,25-28,,
9:50.0,D. West misses 2-pt shot from 19 ft,,25-28,,
9:49.0,,,25-28,,Defensive rebound by R. Rondo
9:34.0,,,25-28,,R. Rondo misses 2-pt shot from 21 ft
9:33.0,Defensive rebound by K. Anderson,,25-28,,
9:19.0,Turnover by D. Green (step out of bounds),,25-28,,
9:00.0,,,25-28,,R. Gay misses 2-pt shot from 2 ft (block by K. Anderson)
8:59.0,,,25-28,,Offensive rebound by R. Gay
8:54.0,,,25-28,,O. Casspi misses 3-pt shot from 27 ft
8:52.0,Defensive rebound by Team,,25-28,,
8:52.0,Official timeout,,25-28,,
8:52.0,K. Leonard enters the game for P. Mills,,25-28,,
8:52.0,T. Parker enters the game for K. Anderson,,25-28,,
8:34.0,D. Green makes 2-pt shot from 18 ft (assist by D. West),2,27-28,,
8:20.0,,,27-30,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
7:56.0,,,27-30,,Personal foul by O. Casspi (drawn by B. Diaw)
7:56.0,T. Duncan enters the game for D. West,,27-30,,
7:56.0,R. Butler enters the game for B. Diaw,,27-30,,
7:48.0,,,27-30,,Violation by K. Koufos (def goaltending)
7:48.0,T. Parker makes 2-pt shot from 2 ft,2,29-30,,
7:33.0,,,29-33,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo)
7:20.0,Shooting foul by O. Casspi (drawn by T. Duncan),,29-33,,
7:20.0,T. Duncan misses free throw 1 of 2,,29-33,,
7:20.0,Offensive rebound by Team,,29-33,,
7:20.0,T. Duncan makes free throw 2 of 2,1,30-33,,
7:04.0,,,30-35,2,K. Koufos makes 2-pt shot from 2 ft (assist by M. Belinelli)
7:04.0,,,30-35,,Violation by Team (delay of game)
6:51.0,T. Parker makes 2-pt shot from 16 ft,2,32-35,,
6:38.0,,,32-35,,Turnover by R. Rondo (bad pass)
6:38.0,,,32-35,,B. McLemore enters the game for O. Casspi
6:23.0,T. Duncan makes 2-pt shot from 12 ft,2,34-35,,
6:10.0,,,34-35,,B. McLemore misses 2-pt shot from 6 ft
6:10.0,,,34-35,,Offensive rebound by Team
6:10.0,,,34-35,,D. Cousins enters the game for K. Koufos
6:00.0,,,34-35,,D. Cousins misses 2-pt shot from 7 ft (block by K. Leonard)
5:58.0,Defensive rebound by R. Butler,,34-35,,
5:54.0,R. Butler makes 2-pt shot from 3 ft (assist by T. Parker),2,36-35,,
5:53.0,,,36-35,,Sacramento full timeout
5:39.0,,,36-35,,M. Belinelli misses 2-pt shot from 7 ft
5:39.0,Defensive rebound by T. Duncan,,36-35,,
5:29.0,T. Duncan makes 2-pt shot from 2 ft (assist by R. Butler),2,38-35,,
5:10.0,,,38-37,2,B. McLemore makes 2-pt shot from 2 ft
4:54.0,,,38-37,,Violation by D. Cousins (def goaltending)
4:54.0,T. Parker makes 2-pt shot from 6 ft,2,40-37,,
4:42.0,,,40-37,,M. Belinelli misses 2-pt shot from 17 ft
4:41.0,Defensive rebound by K. Leonard,,40-37,,
4:29.0,K. Leonard makes 2-pt shot from 6 ft,2,42-37,,
4:08.0,,,42-37,,B. McLemore misses 2-pt shot from 4 ft
4:08.0,Defensive rebound by T. Duncan,,42-37,,
4:07.0,Turnover by T. Duncan (bad pass; steal by R. Rondo),,42-37,,
4:02.0,,,42-37,,Turnover by M. Belinelli (lost ball; steal by K. Leonard)
3:57.0,,,42-37,,Violation by R. Gay (def goaltending)
3:57.0,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard),2,44-37,,
3:57.0,,,44-37,,Sacramento full timeout
3:57.0,,,44-37,,W. Cauley-Stein enters the game for R. Gay
3:57.0,L. Aldridge enters the game for K. Leonard,,44-37,,
3:41.0,Personal foul by T. Parker (drawn by D. Cousins),,44-37,,
3:40.0,Personal foul by D. Green (drawn by M. Belinelli),,44-37,,
3:33.0,,,44-37,,Offensive foul by D. Cousins
3:33.0,,,44-37,,Turnover by D. Cousins (offensive foul)
3:18.0,Turnover by T. Parker (lost ball; steal by R. Rondo),,44-37,,
3:03.0,,,44-37,,Turnover by R. Rondo (bad pass; steal by R. Butler)
2:58.0,T. Parker misses 2-pt shot from 9 ft,,44-37,,
2:51.0,,,44-37,,Defensive rebound by W. Cauley-Stein
2:49.0,,,44-40,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo)
2:49.0,San Antonio full timeout,,44-40,,
2:49.0,,,44-40,,O. Casspi enters the game for M. Belinelli
2:49.0,K. Leonard enters the game for D. Green,,44-40,,
2:49.0,M. Ginobili enters the game for T. Parker,,44-40,,
2:49.0,P. Mills enters the game for R. Butler,,44-40,,
2:37.0,M. Ginobili misses 3-pt shot from 24 ft,,44-40,,
2:35.0,,,44-40,,Defensive rebound by D. Cousins
2:21.0,,,44-40,,D. Cousins misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by T. Duncan,,44-40,,
2:10.0,L. Aldridge misses 3-pt shot from 24 ft,,44-40,,
2:10.0,,,44-40,,Defensive rebound by R. Rondo
2:04.0,,,44-40,,R. Rondo misses 2-pt shot from 4 ft
2:03.0,Defensive rebound by K. Leonard,,44-40,,
1:57.0,M. Ginobili makes 2-pt shot from 3 ft (assist by P. Mills),2,46-40,,
1:37.0,,,46-40,,O. Casspi misses 2-pt shot from 3 ft
1:36.0,Defensive rebound by L. Aldridge,,46-40,,
1:13.0,L. Aldridge misses 3-pt shot from 24 ft,,46-40,,
1:12.0,,,46-40,,Defensive rebound by R. Rondo
1:04.0,,,46-40,,B. McLemore misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by T. Duncan,,46-40,,
0:44.0,P. Mills makes 2-pt shot from 21 ft,2,48-40,,
0:32.0,,,48-43,3,B. McLemore makes 3-pt shot from 23 ft (assist by R. Rondo)
0:13.0,,,48-43,,Personal foul by D. Cousins (drawn by M. Ginobili)
0:13.0,,,48-43,,Technical foul by D. Cousins (drawn by M. Ginobili)
0:13.0,,,48-43,,K. Koufos enters the game for D. Cousins
0:13.0,K. Leonard makes technical free throw,1,49-43,,
0:13.0,,,49-43,,M. Belinelli enters the game for W. Cauley-Stein
0:00.0,P. Mills misses 3-pt shot from 24 ft,,49-43,,
0:00.0,Offensive rebound by Team,,49-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,49-45,2,R. Gay makes 2-pt shot from 18 ft
11:30.0,D. Green misses 3-pt shot from 25 ft,,49-45,,
11:29.0,,,49-45,,Defensive rebound by W. Cauley-Stein
11:14.0,,,49-45,,D. Cousins misses 2-pt shot from 21 ft
11:14.0,Defensive rebound by T. Duncan,,49-45,,
11:07.0,K. Leonard makes 2-pt shot from 2 ft,2,51-45,,
11:07.0,Shooting foul by R. Gay (drawn by K. Leonard),,51-45,,
11:07.0,K. Leonard misses free throw 1 of 1,,51-45,,
11:06.0,Offensive rebound by T. Duncan,,51-45,,
10:57.0,Offensive foul by T. Duncan,,51-45,,
10:57.0,Turnover by T. Duncan (offensive foul),,51-45,,
10:57.0,,,51-45,,K. Koufos enters the game for W. Cauley-Stein
10:42.0,,,51-45,,Shooting foul by L. Aldridge (drawn by D. Cousins)
10:42.0,,,51-46,1,D. Cousins makes free throw 1 of 2
10:42.0,,,51-46,,D. Cousins misses free throw 2 of 2
10:41.0,Defensive rebound by L. Aldridge,,51-46,,
10:26.0,Offensive foul by L. Aldridge,,51-46,,
10:26.0,Turnover by L. Aldridge (offensive foul),,51-46,,
10:14.0,,,51-46,,R. Gay misses 2-pt shot from 15 ft
10:13.0,,,51-46,,Offensive rebound by D. Cousins
10:13.0,,,51-46,,D. Cousins misses 2-pt shot from 2 ft
10:11.0,,,51-46,,Offensive rebound by R. Gay
10:11.0,,,51-48,2,R. Gay makes 2-pt shot from 1 ft
9:49.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green),2,53-48,,
9:29.0,,,53-48,,Shooting foul by L. Aldridge (drawn by B. McLemore)
9:29.0,,,53-49,1,B. McLemore makes free throw 1 of 2
9:29.0,,,53-50,1,B. McLemore makes free throw 2 of 2
9:18.0,Turnover by D. Green (traveling),,53-50,,
9:03.0,,,53-50,,B. McLemore misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by L. Aldridge,,53-50,,
8:53.0,K. Leonard misses 3-pt shot from 25 ft,,53-50,,
8:52.0,,,53-50,,Defensive rebound by D. Cousins
8:47.0,,,53-50,,Turnover by D. Cousins (traveling)
8:29.0,T. Duncan misses 2-pt shot from 8 ft (block by K. Koufos),,53-50,,
8:27.0,Offensive rebound by T. Duncan,,53-50,,
8:25.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,55-50,,
8:05.0,,,55-52,2,D. Cousins makes 2-pt shot from 21 ft (assist by R. Rondo)
7:49.0,T. Parker misses 2-pt shot from 19 ft,,55-52,,
7:48.0,,,55-52,,Defensive rebound by K. Koufos
7:40.0,,,55-52,,D. Cousins misses 3-pt shot from 24 ft
7:39.0,,,55-52,,Offensive rebound by B. McLemore
7:36.0,,,55-52,,Shooting foul by T. Duncan (drawn by D. Cousins)
7:36.0,,,55-53,1,D. Cousins makes free throw 1 of 2
7:36.0,,,55-53,,D. Cousins misses free throw 2 of 2
7:35.0,Defensive rebound by K. Leonard,,55-53,,
7:23.0,L. Aldridge misses 2-pt shot from 2 ft (block by K. Koufos),,55-53,,
7:22.0,,,55-53,,Defensive rebound by K. Koufos
7:22.0,Personal foul by K. Leonard (drawn by R. Gay),,55-53,,
7:07.0,,,55-55,2,R. Gay makes 2-pt shot from 14 ft (assist by R. Rondo)
6:51.0,,,55-55,,Personal foul by R. Gay (drawn by D. Green)
6:36.0,T. Parker makes 3-pt shot from 25 ft,3,58-55,,
6:22.0,,,58-55,,R. Rondo misses 2-pt shot from 20 ft
6:22.0,Defensive rebound by T. Duncan,,58-55,,
6:14.0,T. Duncan makes 2-pt shot from 2 ft (assist by L. Aldridge),2,60-55,,
5:59.0,,,60-55,,K. Koufos misses 2-pt shot from 3 ft (block by L. Aldridge)
5:58.0,Defensive rebound by T. Duncan,,60-55,,
5:54.0,T. Parker makes 2-pt shot from 2 ft (assist by D. Green),2,62-55,,
5:53.0,,,62-55,,Sacramento full timeout
5:53.0,,,62-55,,M. Belinelli enters the game for B. McLemore
5:39.0,,,62-55,,R. Gay misses 2-pt shot from 8 ft
5:38.0,Defensive rebound by L. Aldridge,,62-55,,
5:22.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,64-55,,
4:58.0,,,64-55,,Turnover by R. Gay (lost ball; steal by K. Leonard)
4:54.0,K. Leonard makes 2-pt shot from 1 ft (assist by D. Green),2,66-55,,
4:40.0,,,66-55,,M. Belinelli misses 2-pt shot from 21 ft
4:40.0,,,66-55,,Offensive rebound by D. Cousins
4:27.0,,,66-57,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
4:11.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Duncan),3,69-57,,
3:56.0,,,69-59,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
3:55.0,San Antonio full timeout,,69-59,,
3:55.0,,,69-59,,O. Casspi enters the game for R. Gay
3:55.0,P. Mills enters the game for T. Duncan,,69-59,,
3:55.0,M. Ginobili enters the game for D. Green,,69-59,,
3:55.0,B. Diaw enters the game for T. Parker,,69-59,,
3:37.0,K. Leonard misses 2-pt shot from 12 ft,,69-59,,
3:36.0,,,69-59,,Defensive rebound by D. Cousins
3:15.0,,,69-62,3,O. Casspi makes 3-pt shot from 22 ft (assist by D. Cousins)
2:58.0,Turnover by B. Diaw (bad pass; steal by D. Cousins),,69-62,,
2:49.0,Personal foul by K. Leonard (drawn by D. Cousins),,69-62,,
2:49.0,,,69-63,1,D. Cousins makes free throw 1 of 2
2:49.0,D. West enters the game for L. Aldridge,,69-63,,
2:49.0,R. Butler enters the game for K. Leonard,,69-63,,
2:49.0,,,69-63,,D. Cousins misses free throw 2 of 2
2:48.0,Defensive rebound by B. Diaw,,69-63,,
2:34.0,R. Butler misses 3-pt shot from 25 ft,,69-63,,
2:33.0,,,69-63,,Defensive rebound by D. Cousins
2:21.0,Personal foul by D. West (drawn by D. Cousins),,69-63,,
2:21.0,,,69-64,1,D. Cousins makes free throw 1 of 2
2:21.0,,,69-65,1,D. Cousins makes free throw 2 of 2
2:08.0,P. Mills misses 2-pt shot from 19 ft,,69-65,,
2:08.0,,,69-65,,Defensive rebound by Team
2:08.0,Loose ball foul by D. West (drawn by D. Cousins),,69-65,,
2:08.0,,,69-66,1,D. Cousins makes free throw 1 of 2
2:08.0,,,69-67,1,D. Cousins makes free throw 2 of 2
1:49.0,M. Ginobili misses 2-pt shot from 4 ft (block by K. Koufos),,69-67,,
1:48.0,Offensive rebound by P. Mills,,69-67,,
1:42.0,R. Butler misses 3-pt shot from 25 ft,,69-67,,
1:41.0,Offensive rebound by M. Ginobili,,69-67,,
1:38.0,B. Diaw makes 2-pt shot from 3 ft (assist by M. Ginobili),2,71-67,,
1:22.0,,,71-67,,D. Cousins misses 2-pt shot from 6 ft
1:21.0,Defensive rebound by D. West,,71-67,,
1:12.0,P. Mills misses 3-pt shot from 23 ft,,71-67,,
1:11.0,,,71-67,,Defensive rebound by K. Koufos
0:48.0,,,71-67,,Shooting foul by D. West (drawn by D. Cousins)
0:48.0,,,71-68,1,D. Cousins makes free throw 1 of 2
0:48.0,,,71-69,1,D. Cousins makes free throw 2 of 2
0:36.0,,,71-69,,Personal foul by R. Rondo (drawn by M. Ginobili)
0:36.0,,,71-69,,W. Cauley-Stein enters the game for D. Cousins
0:29.0,P. Mills misses 3-pt shot from 25 ft,,71-69,,
0:28.0,,,71-69,,Defensive rebound by O. Casspi
0:10.0,,,71-69,,R. Rondo misses 2-pt shot from 5 ft
0:09.0,Defensive rebound by M. Ginobili,,71-69,,
0:03.0,,,71-69,,Personal foul by R. Rondo (drawn by M. Ginobili)
0:03.0,M. Ginobili misses free throw 1 of 2,,71-69,,
0:03.0,Offensive rebound by Team,,71-69,,
0:03.0,K. Anderson enters the game for B. Diaw,,71-69,,
0:03.0,D. Green enters the game for D. West,,71-69,,
0:03.0,M. Ginobili makes free throw 2 of 2,1,72-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. West makes 2-pt shot from 18 ft (assist by P. Mills),2,74-69,,
11:24.0,,,74-69,,Turnover by K. Koufos (bad pass; steal by D. West)
11:04.0,R. Butler makes 2-pt shot from 15 ft (assist by M. Ginobili),2,76-69,,
10:48.0,,,76-69,,R. Rondo misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by R. Butler,,76-69,,
10:39.0,Turnover by P. Mills (bad pass; steal by O. Casspi),,76-69,,
10:37.0,Personal foul by M. Ginobili (drawn by R. Rondo),,76-69,,
10:24.0,,,76-72,3,O. Casspi makes 3-pt shot from 24 ft
10:05.0,Turnover by M. Ginobili (lost ball; steal by K. Koufos),,76-72,,
9:56.0,,,76-72,,Turnover by R. Rondo (bad pass; steal by R. Butler)
9:44.0,M. Ginobili misses 3-pt shot from 24 ft,,76-72,,
9:44.0,,,76-72,,Defensive rebound by O. Casspi
9:35.0,,,76-72,,R. Rondo misses 2-pt shot from 14 ft
9:35.0,Defensive rebound by D. West,,76-72,,
9:29.0,San Antonio full timeout,,76-72,,
9:29.0,,,76-72,,R. Gay enters the game for K. Koufos
9:29.0,K. Leonard enters the game for R. Butler,,76-72,,
9:21.0,M. Ginobili makes 2-pt shot from 6 ft,2,78-72,,
9:21.0,Shooting foul by R. Rondo (drawn by M. Ginobili),,78-72,,
9:21.0,M. Ginobili makes free throw 1 of 1,1,79-72,,
9:07.0,,,79-72,,Turnover by R. Rondo (bad pass; steal by P. Mills)
9:03.0,P. Mills makes 2-pt shot from 2 ft,2,81-72,,
8:44.0,,,81-74,2,R. Gay makes 2-pt shot from 10 ft
8:35.0,P. Mills makes 2-pt shot from 2 ft (assist by M. Ginobili),2,83-74,,
8:16.0,,,83-76,2,O. Casspi makes 2-pt shot from 1 ft (assist by M. Belinelli)
8:08.0,Turnover by D. West (bad pass; steal by O. Casspi),,83-76,,
8:00.0,,,83-78,2,O. Casspi makes 2-pt shot from 2 ft (assist by M. Belinelli)
7:40.0,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw),3,86-78,,
7:24.0,,,86-78,,R. Gay misses 2-pt shot from 9 ft
7:23.0,Defensive rebound by M. Ginobili,,86-78,,
7:18.0,Turnover by M. Ginobili (bad pass),,86-78,,
7:18.0,,,86-78,,D. Cousins enters the game for W. Cauley-Stein
7:18.0,L. Aldridge enters the game for M. Ginobili,,86-78,,
7:18.0,D. Green enters the game for D. West,,86-78,,
7:09.0,Personal foul by L. Aldridge (drawn by D. Cousins),,86-78,,
7:01.0,,,86-78,,D. Cousins misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by L. Aldridge,,86-78,,
6:52.0,B. Diaw makes 2-pt shot from 1 ft (assist by P. Mills),2,88-78,,
6:38.0,,,88-78,,R. Gay misses 2-pt shot from 5 ft
6:38.0,Defensive rebound by L. Aldridge,,88-78,,
6:32.0,K. Leonard makes 2-pt shot at rim (assist by P. Mills),2,90-78,,
6:31.0,,,90-78,,Sacramento full timeout
6:31.0,,,90-78,,K. Koufos enters the game for O. Casspi
6:29.0,,,90-78,,Turnover by M. Belinelli (lost ball)
6:23.0,Turnover by L. Aldridge (traveling),,90-78,,
6:08.0,,,90-80,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
5:46.0,B. Diaw makes 2-pt shot from 21 ft (assist by P. Mills),2,92-80,,
5:36.0,Personal foul by D. Green (drawn by D. Cousins),,92-80,,
5:27.0,,,92-80,,D. Cousins misses 2-pt shot from 4 ft (block by L. Aldridge)
5:26.0,,,92-80,,Offensive rebound by R. Gay
5:23.0,,,92-80,,R. Gay misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by L. Aldridge,,92-80,,
5:17.0,P. Mills misses 3-pt shot from 25 ft,,92-80,,
5:16.0,,,92-80,,Defensive rebound by R. Rondo
5:11.0,,,92-80,,Turnover by R. Rondo (bad pass; steal by P. Mills)
5:04.0,Shooting foul by R. Gay (drawn by L. Aldridge),,92-80,,
5:04.0,L. Aldridge makes free throw 1 of 2,1,93-80,,
5:04.0,L. Aldridge makes free throw 2 of 2,1,94-80,,
4:57.0,Personal foul by D. Green (drawn by M. Belinelli),,94-80,,
4:47.0,,,94-80,,M. Belinelli misses 2-pt shot from 19 ft
4:46.0,,,94-80,,Offensive rebound by D. Cousins
4:43.0,,,94-80,,D. Cousins misses 2-pt shot from 2 ft (block by K. Leonard)
4:40.0,Defensive rebound by B. Diaw,,94-80,,
4:35.0,L. Aldridge makes 2-pt shot at rim (assist by B. Diaw),2,96-80,,
4:30.0,,,96-80,,Sacramento full timeout
