time,Philadelphia,pts.away,score,pts.home,Milwaukee
11:49.0,J. Okafor misses 2-pt shot at rim,,46-65,,
11:47.0,,,46-65,,Defensive rebound by G. Monroe
11:32.0,,,46-67,2,J. Parker makes 2-pt shot from 18 ft (assist by K. Middleton)
11:17.0,N. Noel makes 2-pt shot at rim (assist by J. Okafor),2,48-67,,
10:51.0,,,48-69,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
10:39.0,Turnover by J. Sampson (bad pass; steal by M. Carter-Williams),,48-69,,
10:36.0,,,48-69,,Shooting foul by K. Marshall (drawn by K. Middleton)
10:36.0,,,48-69,,K. Middleton misses free throw 1 of 2
10:36.0,,,48-69,,Offensive rebound by Team
10:36.0,,,48-70,1,K. Middleton makes free throw 2 of 2
10:17.0,J. Sampson makes 2-pt shot from 7 ft,2,50-70,,
10:09.0,,,50-72,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
10:01.0,,,50-72,,Violation by M. Carter-Williams (kicked ball)
9:58.0,,,50-72,,Violation by M. Carter-Williams (kicked ball)
9:46.0,J. Sampson misses 2-pt shot from 4 ft,,50-72,,
9:45.0,Offensive rebound by N. Noel,,50-72,,
9:45.0,N. Noel makes 2-pt shot at rim,2,52-72,,
9:24.0,,,52-74,2,G. Monroe makes 2-pt shot from 18 ft
9:07.0,J. Sampson makes 2-pt shot at rim (assist by R. Covington),2,54-74,,
8:48.0,,,54-74,,G. Monroe misses 2-pt shot at rim (block by J. Okafor)
8:46.0,Defensive rebound by R. Covington,,54-74,,
8:41.0,R. Covington makes 3-pt shot from 25 ft (assist by K. Marshall),3,57-74,,
8:24.0,,,57-76,2,M. Carter-Williams makes 2-pt shot from 1 ft
8:10.0,J. Okafor misses 2-pt shot from 18 ft,,57-76,,
8:08.0,,,57-76,,Defensive rebound by M. Carter-Williams
8:04.0,,,57-78,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:03.0,Philadelphia full timeout,,57-78,,
7:41.0,K. Marshall makes 2-pt shot at rim (assist by J. Okafor),2,59-78,,
7:32.0,Personal foul by K. Marshall (drawn by M. Carter-Williams),,59-78,,
7:30.0,,,59-80,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
7:15.0,N. Noel makes 2-pt shot at rim (assist by R. Covington),2,61-80,,
7:15.0,Shooting foul by K. Middleton (drawn by N. Noel),,61-80,,
7:15.0,N. Noel makes free throw 1 of 1,1,62-80,,
7:02.0,,,62-80,,M. Carter-Williams misses 2-pt shot from 1 ft
7:00.0,Defensive rebound by R. Covington,,62-80,,
6:50.0,J. Okafor misses 2-pt shot at rim (block by G. Monroe),,62-80,,
6:47.0,,,62-80,,Defensive rebound by M. Carter-Williams
6:38.0,,,62-80,,Turnover by M. Carter-Williams (bad pass)
6:38.0,,,62-80,,J. O'Bryant enters the game for J. Parker
6:38.0,R. Holmes enters the game for N. Noel,,62-80,,
6:17.0,J. Sampson makes 2-pt shot at rim,2,64-80,,
6:02.0,,,64-80,,M. Carter-Williams misses 2-pt shot from 5 ft
6:01.0,Defensive rebound by J. Okafor,,64-80,,
5:55.0,Turnover by K. Marshall (bad pass; steal by G. Monroe),,64-80,,
5:51.0,,,64-82,2,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton)
5:36.0,R. Covington misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,64-82,,
5:33.0,,,64-82,,Defensive rebound by G. Monroe
5:32.0,Personal foul by R. Covington (drawn by M. Carter-Williams),,64-82,,
5:32.0,T. McConnell enters the game for J. Sampson,,64-82,,
5:32.0,H. Thompson enters the game for K. Marshall,,64-82,,
5:26.0,,,64-82,,J. O'Bryant misses 2-pt shot from 17 ft
5:25.0,,,64-82,,Offensive rebound by K. Middleton
5:16.0,,,64-84,2,G. Monroe makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
5:00.0,H. Thompson makes 2-pt shot from 20 ft (assist by T. McConnell),2,66-84,,
4:43.0,,,66-84,,G. Monroe misses 2-pt shot from 4 ft
4:41.0,Defensive rebound by R. Covington,,66-84,,
4:33.0,H. Thompson makes 2-pt shot from 19 ft (assist by T. McConnell),2,68-84,,
4:33.0,,,68-84,,Milwaukee full timeout
4:23.0,,,68-84,,O. Mayo enters the game for K. Middleton
4:15.0,,,68-86,2,G. Antetokounmpo makes 2-pt shot at rim
4:10.0,C. Landry enters the game for R. Covington,,68-86,,
4:10.0,I. Canaan enters the game for J. Okafor,,68-86,,
4:06.0,Turnover by T. McConnell (bad pass; steal by G. Monroe),,68-86,,
4:02.0,Personal foul by C. Landry (drawn by J. O'Bryant),,68-86,,
3:57.0,,,68-86,,Turnover by O. Mayo (bad pass; steal by I. Canaan)
3:50.0,,,68-86,,Personal block foul by J. O'Bryant (drawn by I. Canaan)
3:50.0,,,68-86,,J. Henson enters the game for G. Monroe
3:36.0,I. Canaan makes 2-pt shot at rim,2,70-86,,
3:22.0,,,70-86,,Turnover by M. Carter-Williams (bad pass)
3:05.0,R. Holmes misses 3-pt shot from 26 ft,,70-86,,
3:04.0,,,70-86,,Defensive rebound by M. Carter-Williams
2:58.0,,,70-88,2,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams)
2:45.0,Turnover by T. McConnell (bad pass; steal by J. Henson),,70-88,,
2:41.0,,,70-90,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:39.0,,,70-90,,Violation by Team (jump ball)
2:19.0,Turnover by I. Canaan (bad pass; steal by M. Carter-Williams),,70-90,,
2:15.0,,,70-92,2,M. Carter-Williams makes 2-pt shot at rim
2:15.0,Philadelphia full timeout,,70-92,,
2:15.0,,,70-92,,R. Vaughn enters the game for M. Carter-Williams
2:15.0,J. Grant enters the game for T. McConnell,,70-92,,
1:55.0,H. Thompson misses 2-pt shot from 15 ft,,70-92,,
1:54.0,,,70-92,,Defensive rebound by G. Antetokounmpo
1:43.0,,,70-92,,G. Antetokounmpo misses 2-pt shot from 17 ft
1:42.0,Defensive rebound by C. Landry,,70-92,,
1:34.0,C. Landry misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,70-92,,
1:32.0,,,70-92,,Defensive rebound by G. Antetokounmpo
1:11.0,,,70-92,,J. Henson misses 2-pt shot from 3 ft
1:10.0,Defensive rebound by C. Landry,,70-92,,
0:56.0,Turnover by C. Landry (bad pass; steal by J. O'Bryant),,70-92,,
0:47.0,,,70-92,,R. Vaughn misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by I. Canaan,,70-92,,
0:45.0,,,70-92,,Personal foul by G. Antetokounmpo (drawn by I. Canaan)
0:45.0,,,70-92,,J. Parker enters the game for G. Antetokounmpo
0:28.0,H. Thompson misses 3-pt shot from 24 ft,,70-92,,
0:27.0,,,70-92,,Defensive rebound by J. O'Bryant
0:08.0,,,70-92,,R. Vaughn misses 2-pt shot from 13 ft
0:04.0,Defensive rebound by H. Thompson,,70-92,,
0:00.0,I. Canaan misses 3-pt shot from 39 ft,,70-92,,
0:00.0,Offensive rebound by Team,,70-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,70-92,,O. Mayo misses 2-pt shot at rim
11:38.0,,,70-92,,Offensive rebound by J. Henson
11:33.0,,,70-92,,R. Vaughn misses 3-pt shot from 24 ft
11:32.0,Defensive rebound by J. Grant,,70-92,,
11:20.0,C. Landry misses 2-pt shot from 5 ft,,70-92,,
11:19.0,Offensive rebound by C. Landry,,70-92,,
11:17.0,C. Landry makes 2-pt shot at rim,2,72-92,,
10:57.0,,,72-94,2,O. Mayo makes 2-pt shot from 1 ft
10:38.0,H. Thompson makes 2-pt shot from 14 ft (assist by N. Noel),2,74-94,,
10:24.0,,,74-94,,Turnover by O. Mayo (bad pass; steal by C. Landry)
10:17.0,C. Landry makes 2-pt shot at rim (assist by N. Noel),2,76-94,,
10:01.0,,,76-94,,J. O'Bryant misses 2-pt shot from 15 ft
9:59.0,Defensive rebound by N. Noel,,76-94,,
9:50.0,H. Thompson misses 3-pt shot from 26 ft,,76-94,,
9:50.0,Offensive rebound by Team,,76-94,,
9:50.0,,,76-94,,Personal foul by J. O'Bryant (drawn by C. Landry)
9:50.0,J. Okafor enters the game for C. Landry,,76-94,,
9:50.0,,,76-94,,M. Carter-Williams enters the game for J. O'Bryant
9:36.0,Offensive foul by H. Thompson,,76-94,,
9:36.0,Turnover by H. Thompson (offensive foul),,76-94,,
9:28.0,,,76-96,2,J. Parker makes 2-pt shot at rim (assist by O. Mayo)
9:13.0,Shooting foul by J. Henson (drawn by J. Okafor),,76-96,,
9:13.0,J. Okafor makes free throw 1 of 2,1,77-96,,
9:13.0,J. Okafor makes free throw 2 of 2,1,78-96,,
8:57.0,,,78-96,,R. Vaughn misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by N. Noel,,78-96,,
8:48.0,Turnover by K. Marshall (bad pass),,78-96,,
8:48.0,Official timeout,,78-96,,
8:27.0,,,78-96,,O. Mayo misses 2-pt shot from 1 ft
8:25.0,Defensive rebound by J. Okafor,,78-96,,
8:20.0,J. Grant makes 2-pt shot at rim (assist by K. Marshall),2,80-96,,
8:20.0,Shooting foul by J. Henson (drawn by J. Grant),,80-96,,
8:20.0,,,80-96,,K. Middleton enters the game for R. Vaughn
8:20.0,J. Grant misses free throw 1 of 1,,80-96,,
8:19.0,,,80-96,,Defensive rebound by M. Carter-Williams
8:06.0,,,80-98,2,M. Carter-Williams makes 2-pt shot from 14 ft
7:45.0,J. Okafor misses 2-pt shot at rim (block by J. Henson),,80-98,,
7:43.0,,,80-98,,Defensive rebound by K. Middleton
7:38.0,Personal foul by H. Thompson (drawn by K. Middleton),,80-98,,
7:36.0,,,80-98,,Turnover by O. Mayo (bad pass; steal by J. Okafor)
7:33.0,J. Okafor makes 2-pt shot at rim,2,82-98,,
7:18.0,,,82-100,2,M. Carter-Williams makes 2-pt shot from 1 ft
7:07.0,H. Thompson makes 3-pt shot from 22 ft (assist by J. Grant),3,85-100,,
6:53.0,,,85-100,,Turnover by M. Carter-Williams (bad pass; steal by N. Noel)
6:41.0,Turnover by K. Marshall (bad pass; steal by K. Middleton),,85-100,,
6:38.0,,,85-102,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
6:36.0,Philadelphia full timeout,,85-102,,
6:36.0,,,85-102,,G. Antetokounmpo enters the game for O. Mayo
6:36.0,R. Covington enters the game for H. Thompson,,85-102,,
6:20.0,K. Marshall misses 2-pt shot from 3 ft (block by J. Henson),,85-102,,
6:19.0,,,85-102,,Defensive rebound by K. Middleton
6:15.0,,,85-102,,G. Antetokounmpo misses 2-pt shot at rim (block by N. Noel)
6:14.0,,,85-102,,Offensive rebound by Team
6:14.0,I. Canaan enters the game for K. Marshall,,85-102,,
6:09.0,,,85-102,,K. Middleton misses 2-pt shot from 6 ft
6:08.0,Defensive rebound by I. Canaan,,85-102,,
5:56.0,R. Covington misses 3-pt shot from 25 ft,,85-102,,
5:54.0,,,85-102,,Defensive rebound by K. Middleton
5:34.0,,,85-104,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
5:10.0,R. Covington misses 3-pt shot from 27 ft,,85-104,,
5:08.0,Offensive rebound by J. Okafor,,85-104,,
5:07.0,J. Okafor makes 2-pt shot at rim,2,87-104,,
4:43.0,,,87-104,,Turnover by M. Carter-Williams (bad pass; steal by R. Covington)
4:32.0,Shooting foul by J. Henson (drawn by J. Okafor),,87-104,,
4:32.0,J. Okafor makes free throw 1 of 2,1,88-104,,
4:32.0,,,88-104,,G. Monroe enters the game for J. Henson
4:32.0,R. Holmes enters the game for J. Grant,,88-104,,
4:32.0,H. Thompson enters the game for N. Noel,,88-104,,
4:32.0,J. Okafor makes free throw 2 of 2,1,89-104,,
4:18.0,,,89-104,,M. Carter-Williams misses 2-pt shot from 2 ft
