time,Boston,pts.away,score,pts.home,Cleveland
0:52.0,Defensive rebound by J. Crowder,,41-49,,
0:30.0,I. Thomas misses 2-pt shot at rim (block by T. Thompson),,41-49,,
0:29.0,Offensive rebound by J. Sullinger,,41-49,,
0:28.0,J. Sullinger makes 2-pt shot from 2 ft,2,43-49,,
0:06.0,,,43-49,,L. James misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by I. Thomas,,43-49,,
0:00.0,J. Crowder misses 3-pt shot from 24 ft,,43-49,,
0:00.0,Offensive rebound by Team,,43-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,A. Johnson makes 2-pt shot from 10 ft (assist by J. Sullinger),2,45-49,,
11:26.0,Violation by J. Crowder (kicked ball),,45-49,,
11:19.0,,,45-49,,K. Love misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by J. Sullinger,,45-49,,
11:06.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,47-49,,
11:05.0,,,47-49,,Cleveland full timeout
10:52.0,,,47-49,,L. James misses 2-pt shot from 6 ft (block by J. Sullinger)
10:51.0,Defensive rebound by J. Crowder,,47-49,,
10:48.0,I. Thomas misses 2-pt shot from 1 ft (block by J. Smith),,47-49,,
10:48.0,Offensive rebound by Team,,47-49,,
10:45.0,A. Bradley misses 3-pt shot from 24 ft,,47-49,,
10:45.0,Offensive rebound by A. Johnson,,47-49,,
10:40.0,A. Bradley makes 3-pt shot from 24 ft (assist by A. Johnson),3,50-49,,
10:16.0,,,50-49,,L. James misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by A. Johnson,,50-49,,
10:10.0,I. Thomas makes 2-pt shot from 1 ft,2,52-49,,
9:53.0,,,52-51,2,K. Irving makes 2-pt shot from 18 ft (assist by L. James)
9:26.0,J. Sullinger makes 2-pt shot from 9 ft,2,54-51,,
9:06.0,,,54-51,,K. Love misses 2-pt shot from 11 ft
9:06.0,,,54-51,,Offensive rebound by Team
9:04.0,,,54-51,,T. Mozgov enters the game for K. Love
9:04.0,,,54-51,,I. Shumpert enters the game for K. Irving
8:54.0,,,54-53,2,L. James makes 2-pt shot from 17 ft (assist by T. Mozgov)
8:37.0,J. Crowder misses 2-pt shot from 16 ft,,54-53,,
8:37.0,Offensive rebound by A. Johnson,,54-53,,
8:33.0,J. Crowder misses 3-pt shot from 22 ft,,54-53,,
8:32.0,Offensive rebound by J. Crowder,,54-53,,
8:30.0,J. Crowder misses 2-pt shot at rim,,54-53,,
8:29.0,,,54-53,,Defensive rebound by L. James
8:29.0,Personal foul by J. Sullinger (drawn by L. James),,54-53,,
8:04.0,,,54-53,,T. Mozgov misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by A. Johnson,,54-53,,
7:51.0,A. Bradley misses 3-pt shot from 25 ft,,54-53,,
7:50.0,,,54-53,,Defensive rebound by T. Thompson
7:44.0,,,54-55,2,L. James makes 2-pt shot at rim
7:44.0,Shooting block foul by A. Johnson (drawn by L. James),,54-55,,
7:44.0,,,54-55,,L. James misses free throw 1 of 1
7:40.0,Defensive rebound by J. Crowder,,54-55,,
7:32.0,I. Thomas makes 2-pt shot from 5 ft,2,56-55,,
7:17.0,,,56-58,3,J. Smith makes 3-pt shot from 25 ft (assist by T. Mozgov)
7:09.0,I. Thomas misses 2-pt shot from 22 ft,,56-58,,
7:09.0,,,56-58,,Defensive rebound by J. Smith
6:50.0,,,56-58,,L. James misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by A. Johnson,,56-58,,
6:38.0,Boston full timeout,,56-58,,
6:38.0,,,56-58,,K. Irving enters the game for L. James
6:38.0,,,56-58,,R. Jefferson enters the game for T. Thompson
6:28.0,J. Sullinger misses 3-pt shot from 24 ft,,56-58,,
6:27.0,,,56-58,,Defensive rebound by I. Shumpert
6:13.0,,,56-58,,J. Smith misses 3-pt shot from 25 ft
6:13.0,,,56-58,,Offensive rebound by T. Mozgov
6:00.0,,,56-61,3,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert)
5:48.0,J. Sullinger misses 2-pt shot from 22 ft,,56-61,,
5:48.0,,,56-61,,Defensive rebound by R. Jefferson
5:39.0,,,56-63,2,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving)
5:23.0,I. Thomas misses 2-pt shot from 4 ft,,56-63,,
5:21.0,,,56-63,,Defensive rebound by T. Mozgov
5:02.0,,,56-63,,T. Mozgov misses 2-pt shot from 6 ft
5:02.0,,,56-63,,Offensive rebound by Team
5:02.0,M. Smart enters the game for J. Sullinger,,56-63,,
5:02.0,E. Turner enters the game for I. Thomas,,56-63,,
5:02.0,Technical foul by I. Thomas,,56-63,,
5:02.0,,,56-63,,K. Irving misses technical free throw
5:02.0,,,56-63,,Offensive rebound by Team
4:56.0,,,56-63,,J. Smith misses 3-pt shot from 28 ft
4:56.0,Defensive rebound by E. Turner,,56-63,,
4:42.0,E. Turner misses 2-pt shot from 1 ft,,56-63,,
4:42.0,,,56-63,,Defensive rebound by T. Mozgov
4:19.0,,,56-63,,J. Smith misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by A. Johnson,,56-63,,
4:00.0,M. Smart makes 2-pt shot from 1 ft (assist by E. Turner),2,58-63,,
3:45.0,,,58-65,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
3:45.0,,,58-65,,Shooting foul by A. Johnson (drawn by T. Mozgov)
3:45.0,,,58-65,,K. Love enters the game for J. Smith
3:45.0,K. Olynyk enters the game for J. Crowder,,58-65,,
3:45.0,,,58-65,,T. Mozgov misses free throw 1 of 1
3:43.0,,,58-65,,Offensive rebound by R. Jefferson
3:21.0,,,58-67,2,K. Love makes 2-pt shot from 6 ft
3:05.0,Shooting foul by R. Jefferson (drawn by E. Turner),,58-67,,
3:05.0,E. Turner makes free throw 1 of 2,1,59-67,,
3:05.0,T. Zeller enters the game for A. Johnson,,59-67,,
3:05.0,E. Turner makes free throw 2 of 2,1,60-67,,
2:44.0,,,60-67,,K. Love misses 3-pt shot from 24 ft
2:43.0,,,60-67,,Offensive rebound by I. Shumpert
2:36.0,,,60-69,2,K. Irving makes 2-pt shot from 12 ft (assist by I. Shumpert)
2:33.0,,,60-69,,Violation by T. Mozgov (def goaltending)
2:33.0,M. Smart makes 2-pt shot at rim,2,62-69,,
2:33.0,Shooting foul by I. Shumpert (drawn by M. Smart),,62-69,,
2:33.0,,,62-69,,L. James enters the game for T. Mozgov
2:33.0,M. Smart makes free throw 1 of 1,1,63-69,,
