time,Philadelphia,pts.away,score,pts.home,Washington
3:57.0,C. Landry makes free throw 1 of 2,1,12-18,,
3:57.0,I. Canaan enters the game for I. Smith,,12-18,,
3:57.0,C. Landry misses free throw 2 of 2,,12-18,,
3:55.0,,,12-18,,Defensive rebound by M. Gortat
3:38.0,,,12-18,,B. Beal misses 2-pt shot from 17 ft
3:37.0,Defensive rebound by T. McConnell,,12-18,,
3:30.0,C. Landry makes 2-pt shot from 1 ft (assist by R. Holmes),2,14-18,,
3:30.0,Shooting foul by J. Dudley (drawn by C. Landry),,14-18,,
3:30.0,J. Grant enters the game for R. Holmes,,14-18,,
3:30.0,C. Landry makes free throw 1 of 1,1,15-18,,
3:17.0,,,15-20,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
2:53.0,Shooting foul by J. Dudley (drawn by C. Landry),,15-20,,
2:53.0,C. Landry makes free throw 1 of 2,1,16-20,,
2:53.0,C. Landry misses free throw 2 of 2,,16-20,,
2:52.0,Offensive rebound by J. Grant,,16-20,,
2:41.0,N. Stauskas misses 3-pt shot from 28 ft,,16-20,,
2:40.0,,,16-20,,Defensive rebound by O. Porter
2:32.0,,,16-20,,O. Porter misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by J. Grant,,16-20,,
2:22.0,C. Landry misses 2-pt shot from 19 ft,,16-20,,
2:21.0,,,16-20,,Defensive rebound by M. Gortat
2:09.0,,,16-22,2,J. Wall makes 2-pt shot from 1 ft
1:59.0,T. McConnell misses 2-pt shot from 14 ft,,16-22,,
1:58.0,,,16-22,,Defensive rebound by O. Porter
1:48.0,,,16-24,2,M. Gortat makes 2-pt shot at rim (assist by J. Dudley)
1:48.0,,,16-24,,Shooting foul by N. Stauskas (drawn by M. Gortat)
1:48.0,,,16-24,,G. Temple enters the game for O. Porter
1:48.0,,,16-24,,R. Sessions enters the game for J. Wall
1:48.0,R. Holmes enters the game for N. Stauskas,,16-24,,
1:48.0,,,16-25,1,M. Gortat makes free throw 1 of 1
1:30.0,Shooting foul by M. Gortat (drawn by J. Grant),,16-25,,
1:30.0,J. Grant misses free throw 1 of 2,,16-25,,
1:30.0,Offensive rebound by Team,,16-25,,
1:30.0,,,16-25,,M. Morris enters the game for J. Dudley
1:30.0,J. Grant makes free throw 2 of 2,1,17-25,,
1:11.0,,,17-25,,M. Morris misses 2-pt shot from 7 ft
1:09.0,Defensive rebound by I. Canaan,,17-25,,
1:01.0,C. Landry makes 2-pt shot from 1 ft (assist by T. McConnell),2,19-25,,
1:00.0,Personal foul by C. Landry (drawn by R. Sessions),,19-25,,
1:00.0,,,19-26,1,R. Sessions makes free throw 1 of 2
1:00.0,,,19-26,,J. Hickson enters the game for M. Gortat
1:00.0,,,19-26,,R. Sessions misses free throw 2 of 2
0:59.0,Defensive rebound by J. Grant,,19-26,,
0:36.0,T. McConnell makes 2-pt shot from 16 ft,2,21-26,,
0:27.0,,,21-26,,Shooting foul by R. Holmes (drawn by R. Sessions)
0:27.0,,,21-26,,R. Sessions misses free throw 1 of 2
0:27.0,,,21-26,,Offensive rebound by Team
0:27.0,R. Covington enters the game for R. Holmes,,21-26,,
0:27.0,,,21-27,1,R. Sessions makes free throw 2 of 2
0:05.0,J. Grant misses 3-pt shot from 27 ft,,21-27,,
0:03.0,Offensive rebound by C. Landry,,21-27,,
0:03.0,C. Landry makes 2-pt shot from 4 ft,2,23-27,,
0:01.0,,,23-27,,J. Hickson misses 3-pt shot from 37 ft
0:00.0,,,23-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-29,2,B. Beal makes 2-pt shot from 12 ft
11:24.0,,,23-29,,Personal foul by M. Morris (drawn by J. Grant)
11:24.0,,,23-29,,Technical foul by M. Morris (drawn by J. Grant)
11:24.0,I. Canaan misses technical free throw,,23-29,,
11:24.0,Offensive rebound by Team,,23-29,,
11:16.0,I. Canaan makes 3-pt shot from 27 ft (assist by J. Grant),3,26-29,,
11:08.0,,,26-31,2,R. Sessions makes 2-pt shot from 1 ft
11:07.0,Philadelphia full timeout,,26-31,,
10:49.0,I. Canaan misses 3-pt shot from 26 ft,,26-31,,
10:47.0,,,26-31,,Defensive rebound by M. Morris
10:44.0,,,26-31,,Shooting foul by J. Grant (drawn by G. Temple)
10:44.0,,,26-32,1,G. Temple makes free throw 1 of 2
10:44.0,,,26-33,1,G. Temple makes free throw 2 of 2
10:28.0,R. Covington misses 3-pt shot from 28 ft,,26-33,,
10:27.0,,,26-33,,Defensive rebound by J. Hickson
10:17.0,,,26-35,2,R. Sessions makes 2-pt shot from 9 ft
10:03.0,N. Noel misses 2-pt shot from 17 ft,,26-35,,
10:02.0,,,26-35,,Defensive rebound by G. Temple
9:52.0,,,26-35,,Turnover by J. Hickson (lost ball; steal by N. Noel)
9:43.0,N. Stauskas enters the game for I. Canaan,,26-35,,
9:34.0,T. McConnell makes 2-pt shot from 11 ft,2,28-35,,
9:23.0,,,28-37,2,M. Morris makes 2-pt shot from 15 ft (assist by R. Sessions)
9:05.0,R. Covington makes 2-pt shot from 11 ft,2,30-37,,
8:50.0,,,30-37,,B. Beal misses 2-pt shot from 18 ft
8:50.0,,,30-37,,Offensive rebound by Team
8:50.0,Loose ball foul by N. Noel,,30-37,,
8:50.0,R. Holmes enters the game for N. Noel,,30-37,,
8:44.0,,,30-37,,B. Beal misses 2-pt shot from 8 ft (block by J. Grant)
8:44.0,,,30-37,,Offensive rebound by Team
8:37.0,,,30-37,,B. Beal misses 2-pt shot at rim
8:36.0,Defensive rebound by Team,,30-37,,
8:18.0,R. Holmes misses 3-pt shot from 24 ft,,30-37,,
8:17.0,,,30-37,,Defensive rebound by M. Morris
8:10.0,,,30-39,2,R. Sessions makes 2-pt shot from 11 ft
7:53.0,R. Holmes misses 2-pt shot from 11 ft,,30-39,,
7:52.0,,,30-39,,Defensive rebound by J. Hickson
7:44.0,,,30-39,,Turnover by M. Morris (bad pass; steal by N. Stauskas)
7:43.0,,,30-39,,Personal foul by R. Sessions (drawn by N. Stauskas)
7:43.0,I. Smith enters the game for T. McConnell,,30-39,,
7:43.0,,,30-39,,J. Wall enters the game for B. Beal
7:43.0,,,30-39,,M. Gortat enters the game for J. Hickson
7:27.0,J. Grant misses 2-pt shot from 1 ft,,30-39,,
7:26.0,,,30-39,,Defensive rebound by M. Morris
7:20.0,,,30-39,,M. Gortat misses 2-pt shot from 2 ft
7:19.0,Defensive rebound by R. Holmes,,30-39,,
7:08.0,R. Holmes misses 2-pt shot from 3 ft (block by M. Gortat),,30-39,,
7:07.0,,,30-39,,Defensive rebound by M. Morris
6:58.0,,,30-39,,J. Wall misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by N. Stauskas,,30-39,,
6:45.0,J. Grant makes 2-pt shot at rim (assist by N. Stauskas),2,32-39,,
6:29.0,,,32-39,,M. Morris misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by I. Smith,,32-39,,
6:24.0,Shooting foul by G. Temple (drawn by I. Smith),,32-39,,
6:24.0,I. Smith makes free throw 1 of 2,1,33-39,,
6:24.0,C. Landry enters the game for J. Grant,,33-39,,
6:24.0,I. Smith misses free throw 2 of 2,,33-39,,
6:23.0,,,33-39,,Defensive rebound by M. Gortat
6:04.0,,,33-41,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:52.0,I. Smith makes 2-pt shot from 1 ft,2,35-41,,
5:37.0,,,35-44,3,G. Temple makes 3-pt shot from 23 ft (assist by M. Morris)
5:26.0,Turnover by R. Holmes (bad pass; steal by J. Wall),,35-44,,
5:16.0,,,35-44,,Shooting foul by R. Holmes (drawn by J. Wall)
5:16.0,Official timeout,,35-44,,
5:16.0,,,35-44,,O. Porter enters the game for R. Sessions
5:16.0,,,35-45,1,J. Wall makes free throw 1 of 2
5:16.0,,,35-46,1,J. Wall makes free throw 2 of 2
4:57.0,N. Stauskas makes 2-pt shot from 19 ft,2,37-46,,
4:41.0,,,37-48,2,G. Temple makes 2-pt shot from 6 ft (assist by M. Morris)
4:34.0,,,37-48,,Personal foul by M. Morris (drawn by C. Landry)
4:34.0,,,37-48,,B. Beal enters the game for G. Temple
4:18.0,I. Smith makes 2-pt shot from 5 ft,2,39-48,,
4:12.0,,,39-48,,J. Wall misses 2-pt shot from 1 ft
4:11.0,,,39-48,,Offensive rebound by O. Porter
4:09.0,,,39-50,2,O. Porter makes 2-pt shot at rim
4:00.0,Philadelphia full timeout,,39-50,,
4:00.0,I. Canaan enters the game for R. Holmes,,39-50,,
3:49.0,N. Stauskas makes 2-pt shot from 2 ft (assist by I. Smith),2,41-50,,
3:32.0,,,41-52,2,B. Beal makes 2-pt shot from 22 ft (assist by M. Morris)
3:20.0,I. Smith misses 3-pt shot from 26 ft,,41-52,,
3:19.0,,,41-52,,Defensive rebound by M. Morris
3:03.0,,,41-52,,O. Porter misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by I. Canaan,,41-52,,
2:44.0,N. Stauskas misses 3-pt shot from 25 ft,,41-52,,
2:43.0,,,41-52,,Defensive rebound by M. Gortat
2:29.0,,,41-54,2,J. Wall makes 2-pt shot from 16 ft
2:16.0,I. Canaan makes 3-pt shot from 23 ft (assist by I. Smith),3,44-54,,
1:56.0,,,44-54,,Turnover by J. Wall (bad pass)
1:56.0,,,44-54,,Washington full timeout
1:56.0,,,44-54,,J. Dudley enters the game for M. Morris
1:38.0,R. Covington misses 3-pt shot from 27 ft,,44-54,,
1:37.0,,,44-54,,Defensive rebound by J. Wall
1:23.0,,,44-56,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
1:01.0,C. Landry makes 2-pt shot at rim (assist by I. Smith),2,46-56,,
0:44.0,,,46-56,,J. Dudley misses 3-pt shot from 24 ft
0:43.0,,,46-56,,Offensive rebound by O. Porter
0:38.0,,,46-58,2,M. Gortat makes 2-pt shot from 5 ft (assist by O. Porter)
0:25.0,C. Landry makes 2-pt shot from 1 ft (assist by R. Covington),2,48-58,,
0:06.0,Personal foul by R. Covington (drawn by J. Wall),,48-58,,
0:06.0,,,48-58,,Washington full timeout
0:06.0,J. Grant enters the game for N. Stauskas,,48-58,,
0:06.0,T. McConnell enters the game for C. Landry,,48-58,,
0:03.0,,,48-60,2,B. Beal makes 2-pt shot at rim (assist by O. Porter)
0:01.0,I. Smith misses 3-pt shot from 36 ft,,48-60,,
0:00.0,Offensive rebound by Team,,48-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-62,2,M. Morris makes 2-pt shot from 6 ft
11:16.0,I. Smith misses 2-pt shot from 1 ft,,48-62,,
11:15.0,,,48-62,,Defensive rebound by M. Gortat
11:08.0,Def 3 sec tech foul by R. Covington,,48-62,,
11:08.0,,,48-62,,J. Wall misses technical free throw
11:08.0,,,48-62,,Offensive rebound by Team
10:58.0,,,48-62,,Turnover by G. Temple (lost ball; steal by R. Covington)
10:54.0,Turnover by R. Covington (bad pass; steal by J. Wall),,48-62,,
10:53.0,Personal foul by I. Canaan (drawn by J. Wall),,48-62,,
10:28.0,,,48-62,,O. Porter misses 3-pt shot from 38 ft
10:28.0,,,48-62,,Offensive rebound by Team
10:28.0,,,48-62,,Turnover by Team (shot clock)
10:14.0,I. Smith makes 3-pt shot from 28 ft (assist by N. Noel),3,51-62,,
9:59.0,,,51-62,,O. Porter misses 2-pt shot from 20 ft
9:58.0,Defensive rebound by J. Grant,,51-62,,
9:50.0,R. Covington makes 3-pt shot from 27 ft (assist by I. Smith),3,54-62,,
9:41.0,Personal foul by I. Smith (drawn by M. Gortat),,54-62,,
9:36.0,,,54-62,,Turnover by O. Porter (lost ball; steal by R. Covington)
9:27.0,Shooting foul by M. Gortat (drawn by I. Smith),,54-62,,
9:27.0,I. Smith makes free throw 1 of 2,1,55-62,,
9:27.0,I. Smith makes free throw 2 of 2,1,56-62,,
9:13.0,,,56-62,,J. Wall misses 2-pt shot from 5 ft (block by J. Grant)
9:11.0,,,56-62,,Offensive rebound by M. Gortat
9:03.0,,,56-62,,J. Wall misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by R. Covington,,56-62,,
8:56.0,I. Canaan makes 2-pt shot from 1 ft (assist by J. Grant),2,58-62,,
8:56.0,,,58-62,,Washington full timeout
8:41.0,,,58-64,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
8:35.0,Shooting foul by M. Morris (drawn by R. Covington),,58-64,,
8:35.0,R. Covington makes free throw 1 of 2,1,59-64,,
8:35.0,R. Covington makes free throw 2 of 2,1,60-64,,
8:25.0,,,60-64,,Shooting foul by R. Covington (drawn by M. Morris)
8:25.0,,,60-65,1,M. Morris makes free throw 1 of 2
8:25.0,N. Stauskas enters the game for R. Covington,,60-65,,
8:25.0,,,60-66,1,M. Morris makes free throw 2 of 2
8:02.0,N. Noel makes 3-pt shot from 25 ft (assist by N. Stauskas),3,63-66,,
7:46.0,,,63-66,,M. Morris misses 2-pt shot from 16 ft
7:45.0,Defensive rebound by N. Noel,,63-66,,
7:40.0,I. Smith makes 2-pt shot at rim,2,65-66,,
7:40.0,Shooting foul by G. Temple (drawn by I. Smith),,65-66,,
7:40.0,,,65-66,,J. Dudley enters the game for M. Morris
7:40.0,,,65-66,,B. Beal enters the game for G. Temple
7:40.0,I. Smith misses free throw 1 of 1,,65-66,,
7:38.0,,,65-66,,Defensive rebound by O. Porter
7:25.0,,,65-66,,Turnover by O. Porter (bad pass; steal by N. Stauskas)
7:18.0,I. Canaan misses 3-pt shot from 27 ft,,65-66,,
7:17.0,Offensive rebound by N. Noel,,65-66,,
7:15.0,N. Noel makes 2-pt shot at rim,2,67-66,,
6:56.0,,,67-66,,O. Porter misses 3-pt shot from 24 ft
6:55.0,,,67-66,,Offensive rebound by M. Gortat
6:52.0,,,67-66,,B. Beal misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by J. Grant,,67-66,,
6:36.0,I. Canaan makes 3-pt shot from 23 ft (assist by N. Noel),3,70-66,,
6:36.0,,,70-66,,Washington full timeout
6:23.0,,,70-66,,B. Beal misses 2-pt shot from 6 ft
6:22.0,,,70-66,,Offensive rebound by M. Gortat
6:17.0,,,70-66,,Turnover by M. Gortat (traveling)
5:55.0,I. Canaan misses 3-pt shot from 26 ft,,70-66,,
5:53.0,,,70-66,,Defensive rebound by J. Dudley
5:49.0,,,70-66,,J. Wall misses 2-pt shot at rim (block by I. Smith)
5:47.0,,,70-66,,Offensive rebound by J. Dudley
5:43.0,,,70-66,,Turnover by J. Dudley (bad pass; steal by I. Smith)
5:40.0,I. Smith makes 2-pt shot at rim,2,72-66,,
5:20.0,Personal foul by J. Grant (drawn by J. Wall),,72-66,,
5:20.0,,,72-66,,R. Sessions enters the game for O. Porter
5:20.0,C. Landry enters the game for J. Grant,,72-66,,
5:17.0,,,72-66,,B. Beal misses 2-pt shot from 1 ft (block by N. Noel)
5:14.0,Defensive rebound by N. Noel,,72-66,,
5:02.0,N. Noel makes 2-pt shot from 5 ft (assist by N. Stauskas),2,74-66,,
5:02.0,Shooting foul by J. Dudley (drawn by N. Noel),,74-66,,
5:02.0,N. Noel misses free throw 1 of 1,,74-66,,
5:02.0,,,74-66,,Defensive rebound by Team
4:50.0,,,74-66,,J. Wall misses 2-pt shot from 20 ft
4:49.0,Defensive rebound by N. Noel,,74-66,,
4:45.0,Offensive foul by C. Landry,,74-66,,
4:45.0,Turnover by C. Landry (offensive foul),,74-66,,
4:27.0,,,74-68,2,B. Beal makes 2-pt shot from 10 ft
4:15.0,Turnover by N. Noel (bad pass),,74-68,,
4:15.0,T. McConnell enters the game for I. Canaan,,74-68,,
4:01.0,,,74-68,,B. Beal misses 2-pt shot from 8 ft
4:00.0,,,74-68,,Offensive rebound by R. Sessions
3:56.0,,,74-71,3,J. Dudley makes 3-pt shot from 26 ft (assist by R. Sessions)
3:39.0,I. Smith misses 2-pt shot from 4 ft,,74-71,,
3:39.0,,,74-71,,Defensive rebound by J. Dudley
3:39.0,Personal foul by C. Landry (drawn by J. Dudley),,74-71,,
3:39.0,,,74-71,,J. Dudley misses free throw 1 of 2
3:39.0,,,74-71,,Offensive rebound by Team
3:39.0,J. Grant enters the game for N. Noel,,74-71,,
3:39.0,,,74-72,1,J. Dudley makes free throw 2 of 2
3:15.0,I. Smith misses 2-pt shot from 1 ft (block by J. Wall),,74-72,,
3:14.0,,,74-72,,Defensive rebound by J. Dudley
3:07.0,,,74-74,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
3:07.0,Technical foul by Team,,74-74,,
3:07.0,,,74-74,,J. Wall misses technical free throw
3:07.0,Offensive rebound by Team,,74-74,,
2:49.0,J. Grant makes 2-pt shot from 2 ft (assist by T. McConnell),2,76-74,,
2:23.0,,,76-74,,B. Beal misses 2-pt shot from 1 ft
2:22.0,Defensive rebound by T. McConnell,,76-74,,
2:07.0,C. Landry makes 2-pt shot from 18 ft (assist by T. McConnell),2,78-74,,
1:53.0,,,78-74,,Shooting foul by C. Landry (drawn by J. Wall)
1:53.0,,,78-76,2,J. Wall makes 2-pt shot from 1 ft
1:53.0,R. Covington enters the game for I. Smith,,78-76,,
1:53.0,,,78-76,,M. Morris enters the game for M. Gortat
1:53.0,,,78-77,1,J. Wall makes free throw 1 of 1
1:37.0,J. Grant makes 2-pt shot from 5 ft,2,80-77,,
1:28.0,Personal foul by C. Landry (drawn by J. Wall),,80-77,,
1:28.0,,,80-78,1,J. Wall makes free throw 1 of 2
1:28.0,R. Holmes enters the game for C. Landry,,80-78,,
1:28.0,,,80-79,1,J. Wall makes free throw 2 of 2
1:28.0,Philadelphia full timeout,,80-79,,
1:17.0,N. Stauskas misses 3-pt shot from 26 ft,,80-79,,
1:16.0,,,80-79,,Defensive rebound by R. Sessions
1:05.0,,,80-79,,Offensive foul by M. Morris
1:05.0,,,80-79,,Turnover by M. Morris (offensive foul)
0:43.0,Turnover by J. Grant (bad pass),,80-79,,
0:29.0,,,80-79,,Offensive foul by J. Dudley
0:29.0,,,80-79,,Turnover by J. Dudley (offensive foul)
0:08.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,82-79,,
0:02.0,,,82-79,,J. Wall misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by Team,,82-79,,
0:01.0,,,82-79,,O. Porter enters the game for J. Dudley
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,T. McConnell misses 2-pt shot from 3 ft (block by M. Gortat),,82-79,,
11:33.0,,,82-79,,Defensive rebound by M. Gortat
11:27.0,,,82-79,,Shooting foul by N. Stauskas (drawn by J. Wall)
11:27.0,,,82-80,1,J. Wall makes free throw 1 of 2
11:27.0,,,82-81,1,J. Wall makes free throw 2 of 2
11:09.0,N. Stauskas makes 3-pt shot from 24 ft (assist by T. McConnell),3,85-81,,
10:44.0,,,85-83,2,B. Beal makes 2-pt shot from 22 ft
10:23.0,R. Holmes makes 3-pt shot from 27 ft (assist by T. McConnell),3,88-83,,
10:09.0,,,88-83,,M. Gortat misses 2-pt shot from 16 ft
10:08.0,Defensive rebound by N. Stauskas,,88-83,,
9:59.0,T. McConnell makes 2-pt shot at rim,2,90-83,,
9:59.0,,,90-83,,Washington full timeout
9:59.0,,,90-83,,Turnover by M. Morris (inbound)
9:55.0,Turnover by R. Covington (traveling),,90-83,,
9:38.0,,,90-83,,J. Wall misses 2-pt shot from 16 ft
9:36.0,,,90-83,,Offensive rebound by J. Wall
9:25.0,,,90-83,,Shooting foul by R. Covington (drawn by M. Gortat)
9:25.0,,,90-83,,M. Gortat misses free throw 1 of 2
9:25.0,,,90-83,,Offensive rebound by Team
9:25.0,N. Noel enters the game for R. Holmes,,90-83,,
9:25.0,,,90-84,1,M. Gortat makes free throw 2 of 2
9:10.0,Turnover by J. Grant (lost ball; steal by M. Morris),,90-84,,
9:07.0,,,90-86,2,J. Wall makes 2-pt shot at rim (assist by M. Morris)
9:07.0,,,90-86,,Shooting foul by T. McConnell (drawn by J. Wall)
9:07.0,,,90-86,,J. Wall misses free throw 1 of 1
9:06.0,Defensive rebound by T. McConnell,,90-86,,
8:59.0,T. McConnell makes 2-pt shot from 14 ft (assist by J. Grant),2,92-86,,
8:49.0,,,92-86,,B. Beal misses 3-pt shot from 27 ft
8:47.0,Defensive rebound by T. McConnell,,92-86,,
8:44.0,,,92-86,,Flagrant foul type 1 by B. Beal (drawn by J. Grant)
8:44.0,J. Grant misses flagrant free throw 1 of 2,,92-86,,
8:44.0,Offensive rebound by Team,,92-86,,
8:44.0,J. Grant makes flagrant free throw 2 of 2,1,93-86,,
8:33.0,T. McConnell misses 2-pt shot from 14 ft,,93-86,,
8:31.0,Offensive rebound by N. Noel,,93-86,,
8:30.0,N. Noel misses 2-pt shot from 1 ft,,93-86,,
8:29.0,,,93-86,,Defensive rebound by M. Morris
8:19.0,,,93-89,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat)
7:54.0,N. Stauskas misses 3-pt shot from 26 ft,,93-89,,
7:53.0,,,93-89,,Defensive rebound by M. Gortat
7:43.0,,,93-89,,B. Beal misses 3-pt shot from 25 ft
7:42.0,,,93-89,,Offensive rebound by M. Gortat
7:42.0,,,93-91,2,M. Gortat makes 2-pt shot at rim
7:42.0,,,93-91,,Shooting foul by R. Covington (drawn by M. Gortat)
7:42.0,,,93-91,,G. Temple enters the game for B. Beal
7:42.0,,,93-91,,O. Porter enters the game for R. Sessions
7:42.0,I. Canaan enters the game for N. Stauskas,,93-91,,
7:42.0,I. Smith enters the game for T. McConnell,,93-91,,
7:42.0,,,93-92,1,M. Gortat makes free throw 1 of 1
7:42.0,Philadelphia full timeout,,93-92,,
7:19.0,J. Grant misses 2-pt shot from 9 ft (block by M. Morris),,93-92,,
7:18.0,Offensive rebound by Team,,93-92,,
7:18.0,Turnover by Team (shot clock),,93-92,,
7:05.0,,,93-92,,J. Wall misses 2-pt shot from 20 ft
7:04.0,,,93-92,,Offensive rebound by M. Gortat
7:01.0,,,93-94,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
7:01.0,,,93-94,,Shooting foul by R. Covington (drawn by J. Wall)
7:01.0,,,93-95,1,J. Wall makes free throw 1 of 1
6:43.0,Turnover by N. Noel (lost ball; steal by G. Temple),,93-95,,
6:38.0,,,93-97,2,J. Wall makes 2-pt shot at rim
6:19.0,R. Covington misses 3-pt shot from 30 ft,,93-97,,
6:17.0,,,93-97,,Defensive rebound by J. Wall
