time,Brooklyn,pts.away,score,pts.home,Indiana
10:27.0,,,20-27,2,C. Budinger makes 2-pt shot from 3 ft
10:14.0,M. Brown enters the game for B. Bogdanovic,,20-27,,
10:09.0,D. Sloan makes 2-pt shot at rim (assist by A. Bargnani),2,22-27,,
9:55.0,,,22-29,2,C. Budinger makes 2-pt shot at rim (assist by J. Hill)
9:38.0,A. Bargnani makes 2-pt shot from 2 ft,2,24-29,,
9:34.0,Personal foul by D. Sloan (drawn by G. Hill),,24-29,,
9:25.0,,,24-29,,C. Budinger misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by Team,,24-29,,
9:25.0,,,24-29,,Loose ball foul by J. Hill (drawn by W. Reed)
9:15.0,M. Brown misses 2-pt shot from 9 ft,,24-29,,
9:14.0,,,24-29,,Defensive rebound by R. Stuckey
9:05.0,,,24-31,2,L. Allen makes 2-pt shot from 21 ft (assist by R. Stuckey)
8:44.0,M. Brown misses 3-pt shot from 26 ft,,24-31,,
8:44.0,,,24-31,,Defensive rebound by G. Hill
8:34.0,Def 3 sec tech foul by A. Bargnani,,24-31,,
8:34.0,Official timeout,,24-31,,
8:34.0,B. Lopez enters the game for W. Reed,,24-31,,
8:34.0,,,24-31,,R. Stuckey misses technical free throw
8:34.0,,,24-31,,Offensive rebound by Team
8:28.0,Violation by B. Lopez (kicked ball),,24-31,,
8:18.0,,,24-33,2,C. Budinger makes 2-pt shot from 1 ft
7:59.0,B. Lopez misses 2-pt shot from 3 ft,,24-33,,
7:59.0,,,24-33,,Defensive rebound by L. Allen
7:44.0,,,24-33,,Turnover by J. Hill (lost ball)
7:44.0,J. Jack enters the game for M. Brown,,24-33,,
7:34.0,A. Bargnani makes 2-pt shot from 16 ft (assist by D. Sloan),2,26-33,,
7:24.0,,,26-33,,Shooting foul by W. Ellington (drawn by R. Stuckey)
7:24.0,,,26-34,1,R. Stuckey makes free throw 1 of 2
7:24.0,,,26-35,1,R. Stuckey makes free throw 2 of 2
7:12.0,B. Lopez makes 2-pt shot from 6 ft (assist by J. Jack),2,28-35,,
6:48.0,,,28-35,,G. Hill misses 3-pt shot from 25 ft
6:46.0,,,28-35,,Offensive rebound by J. Hill
6:45.0,,,28-37,2,J. Hill makes 2-pt shot from 3 ft
6:29.0,W. Ellington makes 3-pt shot from 23 ft (assist by D. Sloan),3,31-37,,
6:22.0,,,31-39,2,L. Allen makes 2-pt shot at rim (assist by C. Budinger)
6:02.0,Shooting foul by J. Hill (drawn by B. Lopez),,31-39,,
6:02.0,B. Lopez makes free throw 1 of 2,1,32-39,,
6:02.0,,,32-39,,I. Mahinmi enters the game for J. Hill
6:02.0,B. Lopez makes free throw 2 of 2,1,33-39,,
5:42.0,,,33-39,,G. Hill misses 2-pt shot at rim
5:40.0,Defensive rebound by W. Ellington,,33-39,,
5:20.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Jack),2,35-39,,
5:09.0,,,35-39,,L. Allen misses 2-pt shot from 17 ft
5:08.0,Defensive rebound by D. Sloan,,35-39,,
5:00.0,D. Sloan misses 2-pt shot from 13 ft,,35-39,,
4:59.0,,,35-39,,Defensive rebound by I. Mahinmi
4:50.0,,,35-41,2,R. Stuckey makes 2-pt shot from 16 ft (assist by I. Mahinmi)
4:42.0,Brooklyn full timeout,,35-41,,
4:24.0,D. Sloan makes 2-pt shot from 1 ft,2,37-41,,
4:04.0,,,37-43,2,I. Mahinmi makes 2-pt shot from 3 ft (assist by G. Hill)
3:49.0,B. Lopez makes 2-pt shot at rim (assist by J. Jack),2,39-43,,
3:32.0,,,39-43,,L. Allen misses 2-pt shot from 14 ft
3:31.0,,,39-43,,Offensive rebound by C. Budinger
3:31.0,,,39-43,,Shooting foul by J. Jack (drawn by C. Budinger)
3:31.0,,,39-44,1,C. Budinger makes free throw 1 of 2
3:31.0,J. Johnson enters the game for A. Bargnani,,39-44,,
3:31.0,T. Young enters the game for W. Ellington,,39-44,,
3:31.0,,,39-44,,C. Miles enters the game for G. Hill
3:31.0,,,39-44,,M. Ellis enters the game for L. Allen
3:31.0,,,39-44,,P. George enters the game for R. Stuckey
3:31.0,,,39-45,1,C. Budinger makes free throw 2 of 2
3:16.0,B. Lopez makes 2-pt shot from 12 ft,2,41-45,,
3:02.0,,,41-45,,Turnover by P. George (bad pass)
2:46.0,J. Jack makes 2-pt shot from 18 ft,2,43-45,,
2:35.0,,,43-45,,C. Miles misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by B. Lopez,,43-45,,
2:31.0,Turnover by T. Young (lost ball),,43-45,,
2:31.0,,,43-45,,Indiana full timeout
2:31.0,,,43-45,,R. Stuckey enters the game for C. Budinger
2:09.0,,,43-47,2,R. Stuckey makes 2-pt shot from 11 ft
1:47.0,B. Lopez misses 2-pt shot from 15 ft,,43-47,,
1:46.0,,,43-47,,Defensive rebound by Team
1:34.0,,,43-47,,M. Ellis misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by D. Sloan,,43-47,,
1:14.0,J. Johnson misses 2-pt shot from 17 ft,,43-47,,
1:13.0,,,43-47,,Defensive rebound by C. Miles
1:04.0,,,43-49,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Miles)
0:41.0,Shooting foul by C. Miles (drawn by B. Lopez),,43-49,,
0:41.0,B. Lopez makes free throw 1 of 2,1,44-49,,
0:41.0,,,44-49,,Indiana full timeout
0:41.0,B. Lopez makes free throw 2 of 2,1,45-49,,
0:36.0,,,45-49,,P. George misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by T. Young,,45-49,,
0:27.0,Brooklyn full timeout,,45-49,,
0:27.0,B. Bogdanovic enters the game for T. Young,,45-49,,
0:27.0,A. Bargnani enters the game for D. Sloan,,45-49,,
0:19.0,Shooting foul by M. Ellis (drawn by J. Jack),,45-49,,
0:19.0,J. Jack makes free throw 1 of 2,1,46-49,,
0:19.0,D. Sloan enters the game for A. Bargnani,,46-49,,
0:19.0,T. Young enters the game for J. Johnson,,46-49,,
0:19.0,J. Jack makes free throw 2 of 2,1,47-49,,
0:05.0,Personal take foul by B. Bogdanovic (drawn by P. George),,47-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by B. Bogdanovic (lost ball; steal by M. Ellis),,47-49,,
11:39.0,,,47-49,,G. Hill misses 2-pt shot at rim (block by J. Jack)
11:39.0,,,47-49,,Offensive rebound by Team
11:26.0,,,47-52,3,G. Hill makes 3-pt shot from 25 ft (assist by M. Ellis)
11:11.0,J. Jack misses 3-pt shot from 25 ft,,47-52,,
11:10.0,,,47-52,,Defensive rebound by P. George
10:58.0,,,47-52,,Turnover by G. Hill (bad pass; steal by T. Young)
10:49.0,B. Bogdanovic misses 3-pt shot from 23 ft,,47-52,,
10:48.0,,,47-52,,Defensive rebound by P. George
10:36.0,,,47-52,,C. Miles misses 3-pt shot from 26 ft
10:36.0,Defensive rebound by J. Jack,,47-52,,
10:19.0,T. Young misses 2-pt shot from 4 ft (block by C. Miles),,47-52,,
10:18.0,Offensive rebound by T. Young,,47-52,,
10:16.0,T. Young makes 2-pt shot from 4 ft,2,49-52,,
10:05.0,,,49-52,,G. Hill misses 2-pt shot at rim
10:04.0,Defensive rebound by J. Jack,,49-52,,
9:52.0,J. Johnson misses 2-pt shot from 14 ft,,49-52,,
9:51.0,,,49-52,,Defensive rebound by M. Ellis
9:37.0,,,49-52,,Shooting foul by B. Lopez (drawn by P. George)
9:37.0,,,49-53,1,P. George makes free throw 1 of 2
9:37.0,,,49-54,1,P. George makes free throw 2 of 2
9:29.0,Shooting foul by M. Ellis (drawn by J. Jack),,49-54,,
9:29.0,J. Jack makes free throw 1 of 2,1,50-54,,
9:29.0,J. Jack makes free throw 2 of 2,1,51-54,,
9:09.0,,,51-57,3,G. Hill makes 3-pt shot from 26 ft
8:46.0,J. Jack makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,54-57,,
8:34.0,,,54-57,,I. Mahinmi misses 2-pt shot from 1 ft (block by B. Lopez)
8:33.0,Defensive rebound by T. Young,,54-57,,
8:29.0,Shooting foul by C. Miles (drawn by T. Young),,54-57,,
8:29.0,T. Young makes free throw 1 of 2,1,55-57,,
8:29.0,T. Young makes free throw 2 of 2,1,56-57,,
8:16.0,,,56-57,,M. Ellis misses 2-pt shot from 18 ft
8:15.0,,,56-57,,Offensive rebound by I. Mahinmi
8:14.0,,,56-59,2,I. Mahinmi makes 2-pt shot at rim
7:55.0,B. Lopez misses 2-pt shot from 11 ft,,56-59,,
7:54.0,Offensive rebound by T. Young,,56-59,,
7:51.0,T. Young misses 2-pt shot from 4 ft,,56-59,,
7:50.0,,,56-59,,Defensive rebound by P. George
7:44.0,,,56-59,,G. Hill misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by T. Young,,56-59,,
7:27.0,J. Johnson makes 2-pt shot from 17 ft,2,58-59,,
7:16.0,,,58-59,,C. Miles misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by J. Jack,,58-59,,
7:03.0,Brooklyn full timeout,,58-59,,
6:56.0,J. Jack misses 2-pt shot from 18 ft,,58-59,,
6:55.0,,,58-59,,Defensive rebound by I. Mahinmi
6:40.0,,,58-59,,M. Ellis misses 2-pt shot from 12 ft
6:37.0,Defensive rebound by Team,,58-59,,
6:27.0,Shooting foul by P. George (drawn by J. Jack),,58-59,,
6:27.0,J. Jack makes free throw 1 of 2,1,59-59,,
6:27.0,J. Jack makes free throw 2 of 2,1,60-59,,
6:22.0,,,60-61,2,C. Miles makes 2-pt shot from 10 ft
6:00.0,J. Johnson makes 3-pt shot from 26 ft (assist by T. Young),3,63-61,,
5:44.0,,,63-63,2,P. George makes 2-pt shot from 1 ft
5:37.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,65-63,,
5:25.0,,,65-63,,C. Miles misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by J. Jack,,65-63,,
5:20.0,Turnover by J. Jack (bad pass; steal by C. Miles),,65-63,,
5:02.0,,,65-63,,Shooting foul by B. Lopez (drawn by C. Miles)
5:02.0,,,65-64,1,C. Miles makes free throw 1 of 2
5:02.0,A. Bargnani enters the game for B. Lopez,,65-64,,
5:02.0,,,65-64,,R. Stuckey enters the game for G. Hill
5:02.0,,,65-65,1,C. Miles makes free throw 2 of 2
4:52.0,A. Bargnani misses 2-pt shot from 16 ft,,65-65,,
4:52.0,,,65-65,,Defensive rebound by I. Mahinmi
4:45.0,,,65-67,2,C. Miles makes 2-pt shot at rim
4:45.0,,,65-67,,Shooting foul by A. Bargnani (drawn by C. Miles)
4:45.0,D. Sloan enters the game for B. Bogdanovic,,65-67,,
4:45.0,,,65-68,1,C. Miles makes free throw 1 of 1
4:26.0,D. Sloan misses 2-pt shot from 16 ft,,65-68,,
4:26.0,,,65-68,,Defensive rebound by P. George
4:17.0,,,65-68,,R. Stuckey misses 3-pt shot from 24 ft
4:16.0,Defensive rebound by D. Sloan,,65-68,,
4:05.0,J. Jack makes 2-pt shot from 9 ft,2,67-68,,
4:04.0,,,67-68,,Indiana full timeout
4:04.0,,,67-68,,L. Allen enters the game for C. Miles
3:52.0,,,67-68,,P. George misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by J. Jack,,67-68,,
3:38.0,A. Bargnani makes 2-pt shot from 12 ft (assist by T. Young),2,69-68,,
3:23.0,,,69-68,,P. George misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by D. Sloan,,69-68,,
3:21.0,,,69-68,,Technical foul by Team
3:21.0,J. Jack makes technical free throw,1,70-68,,
3:05.0,J. Jack makes 3-pt shot from 26 ft,3,73-68,,
2:48.0,,,73-68,,M. Ellis misses 2-pt shot from 19 ft
2:48.0,Defensive rebound by Team,,73-68,,
2:48.0,,,73-68,,Loose ball foul by P. George (drawn by T. Young)
2:34.0,T. Young misses 2-pt shot from 17 ft,,73-68,,
2:34.0,,,73-68,,Defensive rebound by I. Mahinmi
2:15.0,,,73-68,,L. Allen misses 2-pt shot at rim (block by A. Bargnani)
2:14.0,,,73-68,,Offensive rebound by L. Allen
2:12.0,,,73-68,,L. Allen misses 2-pt shot from 4 ft
2:11.0,Defensive rebound by A. Bargnani,,73-68,,
1:57.0,J. Johnson misses 3-pt shot from 24 ft,,73-68,,
1:57.0,,,73-68,,Defensive rebound by P. George
1:50.0,,,73-70,2,P. George makes 2-pt shot from 3 ft
1:50.0,,,73-70,,Shooting foul by J. Jack (drawn by P. George)
1:50.0,,,73-70,,J. Hill enters the game for I. Mahinmi
1:50.0,W. Ellington enters the game for J. Jack,,73-70,,
1:50.0,,,73-70,,P. George misses free throw 1 of 1
1:50.0,Defensive rebound by A. Bargnani,,73-70,,
1:24.0,J. Johnson misses 2-pt shot from 22 ft,,73-70,,
1:24.0,,,73-70,,Defensive rebound by L. Allen
1:17.0,,,73-70,,R. Stuckey misses 2-pt shot at rim
1:17.0,,,73-70,,Offensive rebound by J. Hill
1:15.0,Personal foul by D. Sloan (drawn by J. Hill),,73-70,,
1:15.0,,,73-71,1,J. Hill makes free throw 1 of 2
1:15.0,,,73-72,1,J. Hill makes free throw 2 of 2
1:00.0,Shooting foul by J. Hill (drawn by A. Bargnani),,73-72,,
1:00.0,A. Bargnani makes free throw 1 of 2,1,74-72,,
1:00.0,W. Reed enters the game for T. Young,,74-72,,
1:00.0,A. Bargnani makes free throw 2 of 2,1,75-72,,
0:42.0,,,75-72,,M. Ellis misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by D. Sloan,,75-72,,
0:29.0,W. Ellington misses 2-pt shot from 18 ft,,75-72,,
0:29.0,,,75-72,,Defensive rebound by J. Hill
0:07.0,,,75-72,,Offensive charge foul by P. George
0:07.0,,,75-72,,Turnover by P. George (offensive foul)
0:07.0,,,75-72,,C. Budinger enters the game for P. George
0:01.0,D. Sloan makes 2-pt shot from 4 ft,2,77-72,,
0:00.0,,,77-72,,M. Ellis misses 3-pt shot from 58 ft
0:00.0,,,77-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,77-72,,C. Budinger misses 2-pt shot from 1 ft (block by W. Reed)
11:38.0,Defensive rebound by W. Ellington,,77-72,,
11:35.0,W. Ellington makes 2-pt shot at rim,2,79-72,,
11:27.0,,,79-74,2,R. Stuckey makes 2-pt shot from 19 ft
11:04.0,A. Bargnani makes 2-pt shot from 18 ft,2,81-74,,
10:38.0,,,81-74,,J. Hill misses 2-pt shot from 9 ft
10:37.0,,,81-74,,Offensive rebound by L. Allen
10:35.0,,,81-76,2,L. Allen makes 2-pt shot at rim
10:18.0,D. Sloan misses 2-pt shot from 16 ft,,81-76,,
10:17.0,,,81-76,,Defensive rebound by R. Stuckey
10:13.0,,,81-76,,Shooting foul by W. Ellington (drawn by R. Stuckey)
10:13.0,,,81-77,1,R. Stuckey makes free throw 1 of 2
10:13.0,J. Jack enters the game for W. Ellington,,81-77,,
10:13.0,,,81-78,1,R. Stuckey makes free throw 2 of 2
9:54.0,J. Jack misses 2-pt shot from 10 ft,,81-78,,
9:54.0,Offensive rebound by Team,,81-78,,
9:54.0,,,81-78,,Loose ball foul by C. Budinger (drawn by W. Reed)
9:46.0,D. Sloan misses 2-pt shot from 1 ft (block by L. Allen),,81-78,,
9:44.0,,,81-78,,Defensive rebound by J. Hill
9:28.0,Personal foul by W. Reed (drawn by G. Hill),,81-78,,
9:19.0,,,81-78,,C. Budinger misses 2-pt shot from 1 ft
9:19.0,,,81-78,,Offensive rebound by Team
9:19.0,Loose ball foul by W. Reed (drawn by J. Hill),,81-78,,
9:19.0,B. Lopez enters the game for W. Reed,,81-78,,
9:12.0,,,81-78,,R. Stuckey misses 2-pt shot at rim
9:12.0,,,81-78,,Offensive rebound by R. Stuckey
9:11.0,,,81-80,2,R. Stuckey makes 2-pt shot at rim
8:52.0,B. Lopez misses 2-pt shot from 17 ft,,81-80,,
8:52.0,,,81-80,,Defensive rebound by J. Hill
8:32.0,,,81-80,,C. Budinger misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by J. Jack,,81-80,,
8:20.0,Offensive foul by B. Lopez,,81-80,,
8:20.0,Turnover by B. Lopez (offensive foul),,81-80,,
8:20.0,Official timeout,,81-80,,
8:20.0,,,81-80,,P. George enters the game for C. Budinger
8:20.0,J. Johnson enters the game for B. Bogdanovic,,81-80,,
8:07.0,,,81-80,,J. Hill misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by A. Bargnani,,81-80,,
7:53.0,B. Lopez misses 2-pt shot from 5 ft,,81-80,,
7:52.0,,,81-80,,Defensive rebound by G. Hill
7:44.0,,,81-83,3,G. Hill makes 3-pt shot from 26 ft
7:26.0,B. Lopez makes 2-pt shot from 9 ft,2,83-83,,
7:10.0,,,83-85,2,L. Allen makes 2-pt shot from 16 ft (assist by P. George)
6:55.0,,,83-85,,Personal foul by P. George (drawn by J. Johnson)
6:46.0,Turnover by D. Sloan (traveling),,83-85,,
6:34.0,Shooting block foul by B. Lopez (drawn by P. George),,83-85,,
6:34.0,,,83-86,1,P. George makes free throw 1 of 2
6:34.0,W. Reed enters the game for B. Lopez,,83-86,,
6:34.0,T. Young enters the game for A. Bargnani,,83-86,,
6:34.0,,,83-86,,M. Ellis enters the game for G. Hill
6:34.0,,,83-87,1,P. George makes free throw 2 of 2
6:26.0,Turnover by W. Reed (lost ball; steal by P. George),,83-87,,
6:21.0,,,83-89,2,P. George makes 2-pt shot at rim
6:04.0,Turnover by D. Sloan (bad pass),,83-89,,
5:57.0,,,83-89,,P. George misses 3-pt shot from 27 ft
5:56.0,Defensive rebound by T. Young,,83-89,,
5:51.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. Sloan),3,86-89,,
5:50.0,,,86-89,,Indiana full timeout
5:50.0,,,86-89,,C. Miles enters the game for L. Allen
5:50.0,B. Bogdanovic enters the game for D. Sloan,,86-89,,
5:38.0,Shooting block foul by T. Young (drawn by J. Hill),,86-89,,
5:38.0,,,86-90,1,J. Hill makes free throw 1 of 2
5:38.0,,,86-91,1,J. Hill makes free throw 2 of 2
5:30.0,Turnover by J. Jack (bad pass),,86-91,,
5:16.0,,,86-93,2,J. Hill makes 2-pt shot from 1 ft (assist by M. Ellis)
5:02.0,,,86-93,,Personal foul by M. Ellis (drawn by J. Johnson)
5:02.0,B. Lopez enters the game for W. Reed,,86-93,,
5:02.0,,,86-93,,G. Hill enters the game for R. Stuckey
4:52.0,B. Bogdanovic misses 3-pt shot from 24 ft,,86-93,,
4:51.0,,,86-93,,Defensive rebound by P. George
4:33.0,,,86-93,,Turnover by M. Ellis (lost ball; steal by J. Johnson)
4:29.0,B. Bogdanovic makes 2-pt shot at rim,2,88-93,,
4:14.0,,,88-95,2,J. Hill makes 2-pt shot from 16 ft (assist by G. Hill)
3:48.0,B. Lopez makes 2-pt shot from 14 ft,2,90-95,,
3:31.0,,,90-98,3,P. George makes 3-pt shot from 23 ft (assist by M. Ellis)
3:19.0,J. Jack misses 2-pt shot from 7 ft,,90-98,,
3:18.0,Offensive rebound by T. Young,,90-98,,
3:18.0,Shooting foul by C. Miles (drawn by T. Young),,90-98,,
3:18.0,T. Young makes free throw 1 of 2,1,91-98,,
3:18.0,T. Young makes free throw 2 of 2,1,92-98,,
3:01.0,,,92-100,2,J. Hill makes 2-pt shot from 11 ft (assist by M. Ellis)
2:50.0,Turnover by J. Johnson (bad pass),,92-100,,
