time,Cleveland,pts.away,score,pts.home,Phoenix
7:08.0,,,42-44,2,B. Knight makes 2-pt shot from 19 ft (assist by P. Tucker)
6:44.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,45-44,,
6:34.0,,,45-44,,T. Warren misses 2-pt shot from 11 ft
6:32.0,,,45-44,,Offensive rebound by A. Len
6:32.0,,,45-44,,A. Len misses 2-pt shot from 1 ft
6:29.0,,,45-44,,Offensive rebound by T. Warren
6:29.0,,,45-46,2,T. Warren makes 2-pt shot from 3 ft
6:14.0,Turnover by K. Love (bad pass; steal by P. Tucker),,45-46,,
6:09.0,,,45-48,2,P. Tucker makes 2-pt shot from 1 ft
5:47.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,48-48,,
5:23.0,,,48-48,,Turnover by A. Len (bad pass)
5:23.0,Official timeout,,48-48,,
5:23.0,,,48-48,,J. Leuer enters the game for T. Warren
5:03.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Love),3,51-48,,
4:47.0,,,51-48,,A. Len misses 2-pt shot from 3 ft
4:45.0,Defensive rebound by K. Love,,51-48,,
4:33.0,J. Smith misses 3-pt shot from 23 ft,,51-48,,
4:32.0,Offensive rebound by Team,,51-48,,
4:26.0,K. Irving misses 2-pt shot from 1 ft,,51-48,,
4:23.0,,,51-48,,Defensive rebound by P. Tucker
4:16.0,,,51-48,,B. Knight misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by K. Love,,51-48,,
4:03.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,53-48,,
3:38.0,,,53-48,,J. Leuer misses 2-pt shot from 18 ft
3:36.0,,,53-48,,Offensive rebound by D. Booker
3:24.0,,,53-48,,Shooting foul by K. Love (drawn by A. Len)
3:24.0,,,53-49,1,A. Len makes free throw 1 of 2
3:24.0,,,53-49,,A. Len misses free throw 2 of 2
3:23.0,Defensive rebound by J. Smith,,53-49,,
3:06.0,K. Irving makes 2-pt shot from 1 ft,2,55-49,,
2:40.0,,,55-49,,P. Tucker misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by K. Love,,55-49,,
2:36.0,,,55-49,,Phoenix full timeout
2:36.0,,,55-49,,T. Chandler enters the game for A. Len
2:36.0,M. Dellavedova enters the game for K. Irving,,55-49,,
2:36.0,Jump ball: J. Leuer vs. J. Smith (P. Tucker gains possession),,,,Jump ball: J. Leuer vs. J. Smith (P. Tucker gains possession)
2:36.0,Turnover by J. Smith (lost ball; steal by J. Leuer),,55-49,,
2:22.0,,,55-49,,Turnover by J. Leuer (bad pass; steal by M. Dellavedova)
2:04.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James),3,58-49,,
1:44.0,,,58-49,,Turnover by B. Knight (bad pass)
1:28.0,Turnover by T. Thompson (3 sec),,58-49,,
1:17.0,,,58-52,3,J. Leuer makes 3-pt shot from 25 ft (assist by B. Knight)
0:57.0,J. Smith misses 3-pt shot from 22 ft,,58-52,,
0:55.0,,,58-52,,Defensive rebound by P. Tucker
0:54.0,,,58-54,2,D. Booker makes 2-pt shot at rim (assist by P. Tucker)
0:32.0,K. Love makes 2-pt shot from 7 ft,2,60-54,,
0:14.0,,,60-54,,B. Knight misses 2-pt shot from 7 ft
0:12.0,Defensive rebound by T. Thompson,,60-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Love misses 3-pt shot from 22 ft,,60-54,,
11:41.0,Offensive rebound by T. Thompson,,60-54,,
11:35.0,K. Love makes 3-pt shot from 22 ft (assist by J. Smith),3,63-54,,
11:19.0,,,63-54,,J. Leuer misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by K. Love,,63-54,,
11:10.0,K. Irving misses 2-pt shot from 17 ft,,63-54,,
11:08.0,,,63-54,,Defensive rebound by D. Booker
11:04.0,,,63-54,,Turnover by D. Booker (lost ball; steal by L. James)
11:04.0,,,63-54,,Personal take foul by D. Booker (drawn by L. James)
10:51.0,L. James makes 2-pt shot from 21 ft (assist by K. Irving),2,65-54,,
10:38.0,,,65-57,3,B. Knight makes 3-pt shot from 24 ft (assist by J. Leuer)
10:24.0,K. Irving misses 3-pt shot from 23 ft,,65-57,,
10:22.0,,,65-57,,Defensive rebound by J. Leuer
10:18.0,,,65-59,2,D. Booker makes 2-pt shot from 1 ft (assist by J. Leuer)
10:07.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,67-59,,
10:07.0,Shooting foul by A. Len (drawn by T. Thompson),,67-59,,
10:07.0,T. Thompson misses free throw 1 of 1,,67-59,,
10:06.0,,,67-59,,Defensive rebound by J. Leuer
9:56.0,,,67-61,2,B. Knight makes 2-pt shot from 15 ft
9:36.0,J. Smith misses 3-pt shot from 24 ft,,67-61,,
9:34.0,Offensive rebound by K. Love,,67-61,,
9:30.0,L. James misses 3-pt shot from 25 ft,,67-61,,
9:29.0,,,67-61,,Defensive rebound by Team
9:20.0,,,67-63,2,P. Tucker makes 2-pt shot at rim (assist by B. Knight)
9:00.0,K. Love misses 3-pt shot from 25 ft,,67-63,,
8:58.0,Offensive rebound by T. Thompson,,67-63,,
8:50.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,70-63,,
8:36.0,,,70-65,2,B. Knight makes 2-pt shot from 20 ft (assist by J. Leuer)
8:19.0,,,70-65,,Personal foul by A. Len (drawn by T. Thompson)
8:06.0,J. Smith misses 3-pt shot from 24 ft,,70-65,,
8:03.0,,,70-65,,Defensive rebound by A. Len
8:00.0,Violation by T. Thompson (def goaltending),,70-65,,
8:00.0,,,70-67,2,P. Tucker makes 2-pt shot from 3 ft
7:44.0,Shooting foul by A. Len (drawn by L. James),,70-67,,
7:44.0,L. James makes free throw 1 of 2,1,71-67,,
7:44.0,,,71-67,,T. Chandler enters the game for A. Len
7:44.0,L. James misses free throw 2 of 2,,71-67,,
7:42.0,,,71-67,,Defensive rebound by J. Leuer
7:36.0,Personal foul by L. James (drawn by D. Booker),,71-67,,
7:32.0,Personal foul by K. Love (drawn by T. Chandler),,71-67,,
7:32.0,M. Dellavedova enters the game for K. Irving,,71-67,,
7:32.0,Inbound foul by L. James,,71-67,,
7:32.0,,,71-68,1,B. Knight makes free throw 1 of 2
7:32.0,,,71-69,1,B. Knight makes free throw 2 of 2
7:23.0,,,71-69,,Violation by T. Chandler (kicked ball)
7:11.0,J. Smith makes 3-pt shot from 25 ft,3,74-69,,
7:05.0,Personal foul by M. Dellavedova (drawn by B. Knight),,74-69,,
7:05.0,,,74-69,,T. Warren enters the game for D. Booker
7:01.0,,,74-69,,B. Knight misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by L. James,,74-69,,
6:52.0,Offensive charge foul by L. James,,74-69,,
6:52.0,Turnover by L. James (offensive foul),,74-69,,
6:44.0,,,74-69,,Turnover by B. Knight (offensive foul)
6:44.0,,,74-69,,Offensive foul by B. Knight
6:32.0,T. Thompson misses 2-pt shot from 2 ft,,74-69,,
6:29.0,,,74-69,,Defensive rebound by P. Tucker
6:25.0,,,74-69,,P. Tucker misses 2-pt shot from 19 ft
6:22.0,Defensive rebound by T. Thompson,,74-69,,
6:20.0,K. Love misses 2-pt shot from 1 ft,,74-69,,
6:19.0,,,74-69,,Defensive rebound by J. Leuer
6:07.0,,,74-69,,Shooting foul by K. Love (drawn by T. Chandler)
6:07.0,,,74-69,,T. Chandler misses free throw 1 of 2
6:07.0,,,74-69,,Offensive rebound by Team
6:07.0,,,74-69,,R. Price enters the game for B. Knight
6:07.0,,,74-69,,M. Teletovic enters the game for J. Leuer
6:07.0,,,74-70,1,T. Chandler makes free throw 2 of 2
5:55.0,L. James misses 2-pt shot from 18 ft,,74-70,,
5:53.0,,,74-70,,Defensive rebound by T. Chandler
5:53.0,Personal foul by T. Thompson (drawn by T. Chandler),,74-70,,
5:53.0,,,74-70,,Phoenix full timeout
5:53.0,J. Jones enters the game for K. Love,,74-70,,
5:53.0,T. Mozgov enters the game for T. Thompson,,74-70,,
5:53.0,,,74-70,,T. Chandler misses free throw 1 of 2
5:53.0,,,74-70,,Offensive rebound by Team
5:53.0,,,74-71,1,T. Chandler makes free throw 2 of 2
5:31.0,J. Jones misses 3-pt shot from 23 ft,,74-71,,
5:29.0,,,74-71,,Defensive rebound by P. Tucker
5:14.0,,,74-71,,M. Teletovic misses 2-pt shot from 9 ft
5:11.0,,,74-71,,Offensive rebound by R. Price
4:59.0,,,74-71,,T. Chandler misses 2-pt shot from 2 ft (block by L. James)
4:56.0,Defensive rebound by M. Dellavedova,,74-71,,
4:46.0,J. Smith misses 3-pt shot from 24 ft,,74-71,,
4:45.0,Offensive rebound by Team,,74-71,,
4:40.0,Turnover by M. Dellavedova (lost ball; steal by R. Price),,74-71,,
4:36.0,,,74-73,2,M. Teletovic makes 2-pt shot at rim (assist by R. Price)
4:16.0,Offensive foul by J. Jones,,74-73,,
4:16.0,Turnover by J. Jones (offensive foul),,74-73,,
4:05.0,,,74-73,,T. Warren misses 2-pt shot from 15 ft
4:02.0,Defensive rebound by L. James,,74-73,,
3:41.0,Turnover by J. Jones (bad pass),,74-73,,
