time,Dallas,pts.away,score,pts.home,Milwaukee
6:58.0,,,26-36,,Defensive rebound by G. Monroe
6:53.0,,,26-36,,Shooting foul by Z. Pachulia (drawn by M. Carter-Williams)
6:53.0,,,26-37,1,M. Carter-Williams makes free throw 1 of 2
6:53.0,D. Harris enters the game for D. Williams,,26-37,,
6:53.0,,,26-38,1,M. Carter-Williams makes free throw 2 of 2
6:41.0,,,26-38,,Def 3 sec tech foul by O. Mayo
6:41.0,W. Matthews misses technical free throw,,26-38,,
6:41.0,Offensive rebound by Team,,26-38,,
6:33.0,C. Parsons misses 3-pt shot from 25 ft,,26-38,,
6:32.0,,,26-38,,Defensive rebound by O. Mayo
6:19.0,,,26-38,,Turnover by G. Monroe (lost ball; steal by Z. Pachulia)
6:12.0,D. Harris makes 2-pt shot from 1 ft (assist by R. Felton),2,28-38,,
5:56.0,,,28-40,2,M. Carter-Williams makes 2-pt shot from 1 ft
5:39.0,,,28-40,,Milwaukee full timeout
5:39.0,,,28-40,,J. Henson enters the game for G. Monroe
5:39.0,,,28-40,,K. Middleton enters the game for R. Vaughn
5:35.0,Turnover by R. Felton (bad pass),,28-40,,
5:25.0,Def 3 sec tech foul by D. Harris,,28-40,,
5:25.0,,,28-41,1,K. Middleton makes technical free throw
5:19.0,,,28-43,2,J. Henson makes 2-pt shot from 6 ft (assist by K. Middleton)
4:57.0,C. Parsons misses 3-pt shot from 23 ft,,28-43,,
4:55.0,Offensive rebound by Z. Pachulia,,28-43,,
4:51.0,W. Matthews misses 3-pt shot from 25 ft,,28-43,,
4:49.0,,,28-43,,Defensive rebound by J. Henson
4:43.0,,,28-45,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
4:37.0,Dallas full timeout,,28-45,,
4:37.0,D. Powell enters the game for C. Parsons,,28-45,,
4:37.0,J. Barea enters the game for Z. Pachulia,,28-45,,
4:37.0,D. Nowitzki enters the game for D. Harris,,28-45,,
4:20.0,D. Powell makes 2-pt shot from 1 ft (assist by R. Felton),2,30-45,,
4:02.0,,,30-45,,J. Parker misses 2-pt shot from 18 ft
4:00.0,Defensive rebound by D. Nowitzki,,30-45,,
3:57.0,Shooting foul by M. Carter-Williams (drawn by R. Felton),,30-45,,
3:57.0,R. Felton misses free throw 1 of 2,,30-45,,
3:57.0,Offensive rebound by Team,,30-45,,
3:57.0,,,30-45,,G. Antetokounmpo enters the game for O. Mayo
3:57.0,R. Felton makes free throw 2 of 2,1,31-45,,
3:44.0,,,31-47,2,K. Middleton makes 2-pt shot from 9 ft
3:28.0,J. Barea makes 3-pt shot from 23 ft (assist by R. Felton),3,34-47,,
3:11.0,,,34-47,,Turnover by J. Henson (step out of bounds)
2:50.0,W. Matthews misses 3-pt shot from 26 ft,,34-47,,
2:48.0,,,34-47,,Defensive rebound by G. Antetokounmpo
2:43.0,,,34-49,2,J. Henson makes 2-pt shot at rim (assist by J. Parker)
2:22.0,J. Barea misses 3-pt shot from 23 ft,,34-49,,
2:18.0,Offensive rebound by D. Nowitzki,,34-49,,
2:13.0,D. Nowitzki misses 2-pt shot from 16 ft,,34-49,,
2:11.0,Offensive rebound by J. Barea,,34-49,,
2:07.0,W. Matthews misses 3-pt shot from 27 ft,,34-49,,
2:06.0,Offensive rebound by J. Barea,,34-49,,
2:00.0,J. Barea makes 3-pt shot from 26 ft,3,37-49,,
1:43.0,,,37-49,,K. Middleton misses 2-pt shot from 12 ft
1:42.0,,,37-49,,Offensive rebound by M. Carter-Williams
1:38.0,,,37-49,,Milwaukee full timeout
1:38.0,,,37-49,,O. Mayo enters the game for M. Carter-Williams
1:30.0,,,37-51,2,J. Henson makes 2-pt shot from 3 ft (assist by O. Mayo)
1:05.0,J. Barea misses 3-pt shot from 26 ft,,37-51,,
1:03.0,Offensive rebound by D. Nowitzki,,37-51,,
1:02.0,D. Nowitzki misses 2-pt shot from 1 ft (block by J. Henson),,37-51,,
1:01.0,Offensive rebound by D. Powell,,37-51,,
1:01.0,D. Powell makes 2-pt shot at rim,2,39-51,,
0:45.0,,,39-53,2,K. Middleton makes 2-pt shot from 4 ft
0:34.0,,,39-53,,Personal foul by K. Middleton (drawn by D. Nowitzki)
0:23.0,R. Felton misses 3-pt shot from 24 ft,,39-53,,
0:22.0,,,39-53,,Defensive rebound by J. Henson
0:03.0,,,39-55,2,J. Parker makes 2-pt shot at rim (assist by O. Mayo)
0:00.0,R. Felton misses 3-pt shot from 53 ft,,39-55,,
0:00.0,Offensive rebound by Team,,39-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,D. Williams makes 2-pt shot from 1 ft (assist by C. Parsons),2,41-55,,
11:08.0,,,41-55,,K. Middleton misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. Nowitzki,,41-55,,
11:03.0,W. Matthews makes 2-pt shot from 16 ft (assist by D. Williams),2,43-55,,
11:03.0,Shooting foul by J. Parker (drawn by W. Matthews),,43-55,,
11:03.0,W. Matthews makes free throw 1 of 1,1,44-55,,
10:53.0,,,44-55,,J. Parker misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by Z. Pachulia,,44-55,,
10:49.0,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia),2,46-55,,
10:30.0,,,46-57,2,K. Middleton makes 2-pt shot from 1 ft
10:11.0,Z. Pachulia misses 2-pt shot at rim (block by G. Antetokounmpo),,46-57,,
10:08.0,Offensive rebound by Z. Pachulia,,46-57,,
10:06.0,Z. Pachulia makes 2-pt shot from 1 ft,2,48-57,,
9:50.0,,,48-57,,M. Carter-Williams misses 2-pt shot from 15 ft
9:49.0,Defensive rebound by Z. Pachulia,,48-57,,
9:42.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,51-57,,
9:42.0,,,51-57,,Milwaukee full timeout
9:23.0,,,51-57,,Shooting foul by Z. Pachulia (drawn by K. Middleton)
9:23.0,,,51-58,1,K. Middleton makes free throw 1 of 2
9:23.0,,,51-59,1,K. Middleton makes free throw 2 of 2
9:08.0,W. Matthews misses 3-pt shot from 26 ft,,51-59,,
9:07.0,,,51-59,,Defensive rebound by G. Antetokounmpo
8:56.0,,,51-59,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by C. Parsons)
8:56.0,Defensive rebound by Team,,51-59,,
8:38.0,C. Parsons misses 3-pt shot from 28 ft,,51-59,,
8:37.0,,,51-59,,Defensive rebound by M. Carter-Williams
8:28.0,,,51-59,,J. Parker misses 2-pt shot from 3 ft
8:24.0,,,51-59,,Offensive rebound by G. Monroe
8:24.0,,,51-59,,G. Monroe misses 2-pt shot at rim
8:23.0,Defensive rebound by D. Nowitzki,,51-59,,
8:12.0,Turnover by D. Williams (bad pass; steal by G. Monroe),,51-59,,
8:04.0,Personal foul by C. Parsons (drawn by J. Parker),,51-59,,
7:59.0,,,51-59,,Turnover by J. Parker (traveling)
7:44.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by C. Parsons),2,53-59,,
7:18.0,,,53-61,2,K. Middleton makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
6:53.0,Shooting foul by G. Antetokounmpo (drawn by Z. Pachulia),,53-61,,
6:53.0,Z. Pachulia misses free throw 1 of 2,,53-61,,
6:53.0,Offensive rebound by Team,,53-61,,
6:53.0,,,53-61,,O. Mayo enters the game for J. Parker
6:53.0,R. Felton enters the game for C. Parsons,,53-61,,
6:53.0,Z. Pachulia makes free throw 2 of 2,1,54-61,,
6:34.0,,,54-63,2,M. Carter-Williams makes 2-pt shot from 21 ft (assist by O. Mayo)
6:07.0,R. Felton makes 2-pt shot from 21 ft,2,56-63,,
5:52.0,,,56-63,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by D. Nowitzki)
5:52.0,,,56-63,,Offensive rebound by Team
5:52.0,,,56-63,,J. Henson enters the game for G. Monroe
5:50.0,,,56-63,,Turnover by O. Mayo (bad pass; steal by D. Nowitzki)
5:39.0,Turnover by W. Matthews (bad pass; steal by M. Carter-Williams),,56-63,,
5:38.0,Flagrant foul type 1 by D. Williams (drawn by M. Carter-Williams),,56-63,,
5:38.0,,,56-64,1,M. Carter-Williams makes flagrant free throw 1 of 2
5:38.0,,,56-64,,M. Carter-Williams misses flagrant free throw 2 of 2
5:38.0,,,56-64,,Offensive rebound by Team
5:38.0,C. Villanueva enters the game for D. Nowitzki,,56-64,,
5:29.0,,,56-66,2,J. Henson makes 2-pt shot from 3 ft (assist by M. Carter-Williams)
5:08.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,59-66,,
5:00.0,Personal foul by W. Matthews (drawn by K. Middleton),,59-66,,
5:00.0,,,59-66,,J. Parker enters the game for G. Antetokounmpo
4:51.0,,,59-68,2,M. Carter-Williams makes 2-pt shot at rim (assist by J. Henson)
4:34.0,Z. Pachulia makes 2-pt shot at rim (assist by R. Felton),2,61-68,,
4:13.0,,,61-68,,O. Mayo misses 2-pt shot from 1 ft
4:11.0,,,61-68,,Offensive rebound by O. Mayo
4:11.0,,,61-70,2,O. Mayo makes 2-pt shot at rim
3:56.0,Z. Pachulia makes 2-pt shot at rim,2,63-70,,
3:40.0,Personal foul by D. Williams (drawn by M. Carter-Williams),,63-70,,
3:40.0,,,63-71,1,M. Carter-Williams makes free throw 1 of 2
3:40.0,D. Harris enters the game for D. Williams,,63-71,,
3:40.0,,,63-71,,M. Carter-Williams misses free throw 2 of 2
3:38.0,Defensive rebound by C. Villanueva,,63-71,,
3:25.0,W. Matthews misses 2-pt shot from 17 ft,,63-71,,
3:23.0,Offensive rebound by R. Felton,,63-71,,
3:19.0,D. Harris misses 3-pt shot from 24 ft,,63-71,,
3:16.0,Offensive rebound by W. Matthews,,63-71,,
3:10.0,D. Harris makes 3-pt shot from 24 ft (assist by W. Matthews),3,66-71,,
2:53.0,,,66-71,,K. Middleton misses 2-pt shot from 16 ft
2:52.0,Defensive rebound by D. Harris,,66-71,,
2:43.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Harris),2,68-71,,
2:16.0,,,68-73,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
2:14.0,Dallas full timeout,,68-73,,
2:14.0,,,68-73,,G. Monroe enters the game for M. Carter-Williams
2:14.0,,,68-73,,R. Vaughn enters the game for J. Henson
2:14.0,J. Barea enters the game for R. Felton,,68-73,,
2:14.0,D. Nowitzki enters the game for C. Villanueva,,68-73,,
2:07.0,,,68-73,,Personal foul by K. Middleton (drawn by W. Matthews)
1:59.0,D. Nowitzki misses 2-pt shot from 11 ft,,68-73,,
1:57.0,,,68-73,,Defensive rebound by Team
1:43.0,,,68-73,,G. Monroe misses 2-pt shot at rim
1:42.0,,,68-73,,Offensive rebound by J. Parker
1:36.0,,,68-73,,R. Vaughn misses 2-pt shot from 18 ft
1:35.0,,,68-73,,Offensive rebound by G. Monroe
1:30.0,,,68-75,2,G. Monroe makes 2-pt shot from 3 ft
1:18.0,D. Harris makes 2-pt shot from 1 ft,2,70-75,,
1:00.0,,,70-77,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
0:52.0,,,70-77,,Personal foul by G. Monroe (drawn by Z. Pachulia)
0:39.0,D. Harris misses 3-pt shot from 24 ft,,70-77,,
0:38.0,Offensive rebound by Z. Pachulia,,70-77,,
0:35.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,73-77,,
0:15.0,,,73-77,,R. Vaughn misses 3-pt shot from 22 ft
0:15.0,,,73-77,,Offensive rebound by J. Parker
0:15.0,,,73-77,,Shooting foul by D. Harris (drawn by J. Parker)
0:15.0,,,73-78,1,J. Parker makes free throw 1 of 2
0:15.0,,,73-79,1,J. Parker makes free throw 2 of 2
0:03.0,,,73-79,,Personal block foul by J. Parker (drawn by D. Nowitzki)
0:03.0,D. Nowitzki makes free throw 1 of 2,1,74-79,,
0:03.0,,,74-79,,G. Antetokounmpo enters the game for J. Parker
0:03.0,R. Felton enters the game for Z. Pachulia,,74-79,,
0:03.0,D. Powell enters the game for J. Barea,,74-79,,
0:03.0,D. Nowitzki makes free throw 2 of 2,1,75-79,,
0:00.0,,,75-79,,O. Mayo misses 3-pt shot from 43 ft
0:00.0,,,75-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,75-79,,G. Monroe misses 2-pt shot from 1 ft
11:33.0,,,75-79,,Offensive rebound by G. Monroe
11:33.0,,,75-79,,G. Monroe misses 2-pt shot at rim
11:32.0,Defensive rebound by D. Nowitzki,,75-79,,
11:23.0,D. Nowitzki misses 3-pt shot from 28 ft,,75-79,,
11:22.0,,,75-79,,Defensive rebound by O. Mayo
11:12.0,,,75-82,3,O. Mayo makes 3-pt shot from 22 ft (assist by M. Carter-Williams)
11:00.0,,,75-82,,Personal foul by R. Vaughn (drawn by J. McGee)
10:48.0,Turnover by J. Barea (bad pass; steal by M. Carter-Williams),,75-82,,
10:39.0,,,75-82,,R. Vaughn misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by J. McGee,,75-82,,
10:22.0,J. McGee makes 2-pt shot at rim (assist by D. Harris),2,77-82,,
10:03.0,,,77-82,,R. Vaughn misses 2-pt shot from 1 ft (block by C. Parsons)
10:00.0,,,77-82,,Offensive rebound by R. Vaughn
9:59.0,,,77-82,,R. Vaughn misses 2-pt shot at rim
9:59.0,,,77-82,,Offensive rebound by G. Monroe
9:59.0,,,77-82,,Shooting foul by D. Nowitzki (drawn by G. Monroe)
9:59.0,,,77-82,,G. Monroe misses free throw 1 of 2
9:59.0,,,77-82,,Offensive rebound by Team
9:59.0,,,77-83,1,G. Monroe makes free throw 2 of 2
9:49.0,J. Barea makes 2-pt shot from 1 ft,2,79-83,,
9:33.0,,,79-83,,G. Antetokounmpo misses 2-pt shot from 4 ft
9:32.0,,,79-83,,Offensive rebound by G. Monroe
9:31.0,,,79-83,,G. Monroe misses 2-pt shot from 1 ft
9:30.0,,,79-83,,Offensive rebound by G. Antetokounmpo
9:30.0,,,79-83,,Shooting foul by D. Nowitzki (drawn by G. Antetokounmpo)
9:30.0,,,79-83,,G. Antetokounmpo misses free throw 1 of 2
9:30.0,,,79-83,,Offensive rebound by Team
9:30.0,,,79-83,,K. Middleton enters the game for R. Vaughn
9:30.0,W. Matthews enters the game for C. Parsons,,79-83,,
9:30.0,,,79-84,1,G. Antetokounmpo makes free throw 2 of 2
9:14.0,J. Barea misses 3-pt shot from 25 ft,,79-84,,
9:13.0,,,79-84,,Defensive rebound by M. Carter-Williams
9:07.0,,,79-84,,Offensive foul by G. Monroe
9:07.0,,,79-84,,Turnover by G. Monroe (offensive foul)
8:49.0,Turnover by W. Matthews (lost ball; steal by M. Carter-Williams),,79-84,,
8:47.0,Personal take foul by D. Nowitzki (drawn by G. Antetokounmpo),,79-84,,
8:47.0,Official timeout,,79-84,,
8:47.0,C. Parsons enters the game for D. Nowitzki,,79-84,,
8:43.0,,,79-84,,Turnover by M. Carter-Williams (traveling)
8:25.0,C. Parsons misses 3-pt shot from 26 ft,,79-84,,
8:24.0,,,79-84,,Defensive rebound by G. Monroe
8:09.0,,,79-86,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
7:39.0,D. Harris makes 2-pt shot from 3 ft (assist by W. Matthews),2,81-86,,
7:29.0,,,81-86,,Shooting foul by J. McGee (drawn by M. Carter-Williams)
7:29.0,,,81-87,1,M. Carter-Williams makes free throw 1 of 2
7:29.0,,,81-87,,J. Henson enters the game for G. Monroe
7:29.0,Z. Pachulia enters the game for J. McGee,,81-87,,
7:29.0,,,81-87,,M. Carter-Williams misses free throw 2 of 2
7:28.0,Defensive rebound by W. Matthews,,81-87,,
7:05.0,D. Harris misses 2-pt shot from 17 ft,,81-87,,
7:04.0,,,81-87,,Defensive rebound by K. Middleton
6:49.0,,,81-89,2,J. Henson makes 2-pt shot from 1 ft (assist by O. Mayo)
6:49.0,Dallas full timeout,,81-89,,
6:49.0,D. Williams enters the game for C. Parsons,,81-89,,
6:49.0,D. Nowitzki enters the game for D. Harris,,81-89,,
6:49.0,R. Felton enters the game for J. Barea,,81-89,,
6:49.0,,,81-89,,J. Parker enters the game for G. Antetokounmpo
6:34.0,D. Nowitzki misses 2-pt shot from 3 ft,,81-89,,
6:33.0,,,81-89,,Defensive rebound by J. Henson
6:13.0,,,81-89,,K. Middleton misses 2-pt shot from 4 ft (block by W. Matthews)
