time,LA Lakers,pts.away,score,pts.home,Oklahoma City
6:18.0,,,50-77,,Turnover by K. Durant (bad pass; steal by L. Nance)
5:53.0,J. Clarkson misses 3-pt shot from 25 ft,,50-77,,
5:53.0,,,50-77,,Defensive rebound by R. Westbrook
5:50.0,,,50-77,,Turnover by R. Westbrook (bad pass; steal by J. Clarkson)
5:48.0,J. Clarkson makes 2-pt shot from 1 ft,2,52-77,,
5:48.0,,,52-77,,Oklahoma City full timeout
5:32.0,,,52-77,,K. Durant misses 2-pt shot from 13 ft
5:31.0,Defensive rebound by J. Clarkson,,52-77,,
5:10.0,L. Williams misses 3-pt shot from 22 ft,,52-77,,
5:09.0,,,52-77,,Defensive rebound by K. Durant
4:56.0,,,52-79,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:36.0,A. Brown misses 2-pt shot from 22 ft,,52-79,,
4:35.0,,,52-79,,Defensive rebound by S. Adams
4:32.0,,,52-79,,Turnover by R. Westbrook (bad pass)
4:17.0,L. Nance misses 2-pt shot from 20 ft,,52-79,,
4:17.0,,,52-79,,Defensive rebound by K. Durant
4:03.0,,,52-81,2,S. Ibaka makes 2-pt shot from 7 ft (assist by R. Westbrook)
3:46.0,Shooting foul by S. Adams (drawn by J. Clarkson),,52-81,,
3:46.0,J. Clarkson misses free throw 1 of 2,,52-81,,
3:46.0,Offensive rebound by Team,,52-81,,
3:46.0,D. Russell enters the game for L. Williams,,52-81,,
3:46.0,N. Young enters the game for A. Brown,,52-81,,
3:46.0,,,52-81,,D. Waiters enters the game for A. Roberson
3:46.0,,,52-81,,N. Collison enters the game for S. Ibaka
3:46.0,J. Randle enters the game for L. Nance,,52-81,,
3:46.0,J. Clarkson makes free throw 2 of 2,1,53-81,,
3:36.0,,,53-83,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
3:08.0,N. Young misses 3-pt shot from 27 ft,,53-83,,
3:07.0,Offensive rebound by D. Russell,,53-83,,
2:50.0,Turnover by D. Russell (lost ball; steal by D. Waiters),,53-83,,
2:45.0,,,53-85,2,D. Waiters makes 2-pt shot at rim
2:45.0,,,53-85,,Shooting foul by R. Hibbert (drawn by D. Waiters)
2:45.0,LA Lakers full timeout,,53-85,,
2:45.0,,,53-85,,D. Augustin enters the game for R. Westbrook
2:45.0,R. Sacre enters the game for R. Hibbert,,53-85,,
2:45.0,,,53-86,1,D. Waiters makes free throw 1 of 1
2:31.0,Turnover by N. Young (lost ball),,53-86,,
2:21.0,,,53-86,,D. Augustin misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by J. Randle,,53-86,,
2:09.0,,,53-86,,Personal foul by N. Collison (drawn by J. Randle)
2:09.0,,,53-86,,E. Kanter enters the game for S. Adams
1:56.0,R. Sacre misses 2-pt shot from 3 ft,,53-86,,
1:56.0,,,53-86,,Defensive rebound by N. Collison
1:37.0,,,53-86,,K. Durant misses 3-pt shot from 24 ft
1:35.0,,,53-86,,Offensive rebound by E. Kanter
1:35.0,,,53-86,,E. Kanter misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by R. Sacre,,53-86,,
1:28.0,N. Young misses 3-pt shot from 24 ft,,53-86,,
1:28.0,,,53-86,,Defensive rebound by D. Waiters
1:17.0,,,53-88,2,D. Waiters makes 2-pt shot at rim
1:17.0,,,53-88,,Shooting foul by R. Sacre (drawn by D. Waiters)
1:17.0,,,53-88,,D. Waiters misses free throw 1 of 1
1:17.0,Defensive rebound by J. Clarkson,,53-88,,
1:06.0,J. Clarkson misses 2-pt shot from 3 ft,,53-88,,
1:06.0,,,53-88,,Defensive rebound by E. Kanter
0:56.0,,,53-88,,A. Morrow enters the game for K. Durant
0:50.0,,,53-90,2,E. Kanter makes 2-pt shot from 17 ft (assist by D. Waiters)
0:40.0,J. Randle misses 2-pt shot at rim,,53-90,,
0:39.0,,,53-90,,Defensive rebound by D. Waiters
0:21.0,,,53-92,2,E. Kanter makes 2-pt shot from 13 ft (assist by D. Augustin)
0:07.0,D. Russell misses 2-pt shot from 14 ft,,53-92,,
0:06.0,Offensive rebound by Team,,53-92,,
0:05.0,,,53-92,,Loose ball foul by D. Augustin (drawn by R. Sacre)
0:05.0,R. Sacre misses free throw 1 of 2,,53-92,,
0:05.0,Offensive rebound by Team,,53-92,,
0:05.0,R. Sacre misses free throw 2 of 2,,53-92,,
0:05.0,Offensive rebound by D. Russell,,53-92,,
0:04.0,D. Russell makes 2-pt shot from 1 ft,2,55-92,,
0:00.0,,,55-92,,D. Waiters misses 3-pt shot from 40 ft
0:00.0,,,55-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,55-92,,E. Kanter misses 2-pt shot from 4 ft
11:42.0,,,55-92,,Offensive rebound by E. Kanter
11:31.0,,,55-92,,A. Morrow misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by D. Russell,,55-92,,
11:13.0,N. Young makes 2-pt shot from 2 ft,2,57-92,,
10:52.0,,,57-92,,D. Waiters misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by R. Sacre,,57-92,,
10:41.0,N. Young makes 3-pt shot from 24 ft (assist by D. Russell),3,60-92,,
10:41.0,,,60-92,,Oklahoma City full timeout
10:24.0,,,60-94,2,N. Collison makes 2-pt shot from 1 ft (assist by A. Morrow)
10:24.0,,,60-94,,Shooting foul by R. Sacre (drawn by N. Collison)
10:24.0,B. Bass enters the game for R. Sacre,,60-94,,
10:24.0,,,60-95,1,N. Collison makes free throw 1 of 1
10:06.0,N. Young misses 2-pt shot from 19 ft,,60-95,,
10:06.0,,,60-95,,Defensive rebound by D. Waiters
9:51.0,,,60-95,,Turnover by N. Collison (bad pass; steal by D. Russell)
9:43.0,N. Young makes 3-pt shot from 23 ft (assist by M. Huertas),3,63-95,,
9:30.0,,,63-97,2,E. Kanter makes 2-pt shot from 6 ft (assist by N. Collison)
9:30.0,,,63-97,,Shooting foul by B. Bass (drawn by E. Kanter)
9:30.0,,,63-97,,C. Payne enters the game for D. Waiters
9:30.0,,,63-98,1,E. Kanter makes free throw 1 of 1
9:17.0,N. Young makes 3-pt shot from 25 ft (assist by D. Russell),3,66-98,,
8:52.0,,,66-98,,A. Morrow misses 2-pt shot from 9 ft
8:51.0,Defensive rebound by J. Randle,,66-98,,
8:43.0,B. Bass misses 2-pt shot at rim (block by E. Kanter),,66-98,,
8:43.0,Offensive rebound by Team,,66-98,,
8:38.0,Turnover by J. Randle (lost ball; steal by C. Payne),,66-98,,
8:22.0,Personal foul by J. Randle (drawn by E. Kanter),,66-98,,
8:16.0,,,66-100,2,E. Kanter makes 2-pt shot from 4 ft (assist by D. Augustin)
8:00.0,D. Russell misses 3-pt shot from 23 ft,,66-100,,
7:59.0,,,66-100,,Defensive rebound by E. Kanter
7:42.0,,,66-102,2,A. Morrow makes 2-pt shot from 1 ft (assist by N. Collison)
7:25.0,N. Young misses 3-pt shot from 24 ft,,66-102,,
7:25.0,,,66-102,,Defensive rebound by E. Kanter
7:06.0,,,66-104,2,E. Kanter makes 2-pt shot from 9 ft
6:49.0,M. Huertas misses 2-pt shot from 8 ft,,66-104,,
6:49.0,,,66-104,,Defensive rebound by C. Payne
6:44.0,,,66-104,,Turnover by E. Kanter (traveling)
6:44.0,,,66-104,,K. Singler enters the game for D. Augustin
6:27.0,D. Russell misses 2-pt shot from 6 ft,,66-104,,
6:26.0,,,66-104,,Defensive rebound by E. Kanter
6:19.0,,,66-106,2,E. Kanter makes 2-pt shot at rim (assist by C. Payne)
6:00.0,,,66-106,,S. Novak enters the game for N. Collison
6:00.0,A. Brown enters the game for N. Young,,66-106,,
5:45.0,D. Russell misses 3-pt shot from 24 ft,,66-106,,
5:44.0,Offensive rebound by J. Randle,,66-106,,
5:42.0,J. Randle makes 2-pt shot at rim,2,68-106,,
5:25.0,,,68-106,,S. Novak misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by D. Russell,,68-106,,
5:16.0,A. Brown misses 2-pt shot from 7 ft (block by C. Payne),,68-106,,
5:15.0,Offensive rebound by A. Brown,,68-106,,
5:14.0,A. Brown misses 2-pt shot from 1 ft,,68-106,,
5:12.0,,,68-106,,Defensive rebound by K. Singler
5:04.0,,,68-108,2,C. Payne makes 2-pt shot from 1 ft
4:40.0,B. Bass makes 2-pt shot at rim,2,70-108,,
4:22.0,,,70-110,2,C. Payne makes 2-pt shot at rim
4:09.0,B. Bass makes 2-pt shot at rim (assist by D. Russell),2,72-110,,
3:47.0,,,72-110,,Turnover by K. Singler (lost ball)
3:47.0,Official timeout,,72-110,,
3:47.0,LA Lakers full timeout,,72-110,,
3:33.0,B. Bass misses 2-pt shot from 6 ft,,72-110,,
3:33.0,,,72-110,,Defensive rebound by K. Singler
3:19.0,,,72-113,3,S. Novak makes 3-pt shot from 23 ft (assist by C. Payne)
2:57.0,M. Huertas misses 2-pt shot from 1 ft,,72-113,,
2:56.0,,,72-113,,Defensive rebound by E. Kanter
2:41.0,,,72-113,,A. Morrow misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by J. Randle,,72-113,,
2:33.0,Turnover by J. Randle (lost ball; steal by C. Payne),,72-113,,
2:30.0,,,72-115,2,C. Payne makes 2-pt shot at rim (assist by E. Kanter)
2:16.0,B. Bass misses 2-pt shot from 4 ft,,72-115,,
2:16.0,,,72-115,,Defensive rebound by E. Kanter
2:03.0,,,72-115,,E. Kanter misses 2-pt shot from 13 ft
2:03.0,Defensive rebound by D. Russell,,72-115,,
