time,Cleveland,pts.away,score,pts.home,LA Lakers
8:19.0,,,41-40,2,J. Randle makes 2-pt shot from 4 ft
7:57.0,J. Smith misses 3-pt shot from 23 ft,,41-40,,
7:56.0,,,41-40,,Defensive rebound by J. Randle
7:49.0,,,41-42,2,J. Randle makes 2-pt shot at rim
7:38.0,K. Irving misses 2-pt shot from 1 ft (block by M. Huertas),,41-42,,
7:36.0,Offensive rebound by T. Thompson,,41-42,,
7:36.0,Shooting foul by B. Bass (drawn by T. Thompson),,41-42,,
7:36.0,T. Thompson makes free throw 1 of 2,1,42-42,,
7:36.0,C. Frye enters the game for J. Jones,,42-42,,
7:36.0,,,42-42,,T. Black enters the game for B. Bass
7:36.0,T. Thompson misses free throw 2 of 2,,42-42,,
7:35.0,,,42-42,,Defensive rebound by T. Black
7:27.0,Personal foul by I. Shumpert,,42-42,,
7:15.0,,,42-42,,Turnover by J. Randle (3 sec)
7:00.0,J. Smith makes 2-pt shot from 19 ft,2,44-42,,
6:33.0,,,44-42,,J. Clarkson misses 3-pt shot from 24 ft (block by J. Smith)
6:31.0,Defensive rebound by C. Frye,,44-42,,
6:24.0,C. Frye makes 3-pt shot from 24 ft (assist by K. Irving),3,47-42,,
6:07.0,Personal foul by J. Smith,,47-42,,
6:07.0,L. James enters the game for I. Shumpert,,47-42,,
6:00.0,,,47-42,,J. Clarkson misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by Team,,47-42,,
5:47.0,C. Frye misses 3-pt shot from 23 ft,,47-42,,
5:46.0,,,47-42,,Defensive rebound by M. Huertas
5:39.0,,,47-42,,Turnover by T. Black (lost ball; steal by J. Smith)
5:36.0,,,47-42,,Personal take foul by M. Huertas
5:36.0,,,47-42,,LA Lakers full timeout
5:28.0,Turnover by T. Thompson (lost ball; steal by K. Bryant),,47-42,,
5:27.0,Personal take foul by K. Irving,,47-42,,
5:19.0,,,47-44,2,T. Black makes 2-pt shot at rim (assist by M. Huertas)
5:02.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,49-44,,
4:39.0,,,49-46,2,J. Randle makes 2-pt shot at rim (assist by M. Huertas)
4:14.0,L. James misses 3-pt shot from 24 ft,,49-46,,
4:13.0,Offensive rebound by C. Frye,,49-46,,
4:11.0,C. Frye makes 2-pt shot at rim,2,51-46,,
3:58.0,,,51-46,,T. Black misses 2-pt shot from 14 ft
3:57.0,Defensive rebound by L. James,,51-46,,
3:43.0,Turnover by L. James (lost ball; steal by J. Clarkson),,51-46,,
3:33.0,,,51-46,,M. Huertas misses 2-pt shot from 6 ft
3:30.0,,,51-46,,Offensive rebound by J. Randle
3:30.0,,,51-48,2,J. Randle makes 2-pt shot from 1 ft
3:16.0,K. Irving misses 3-pt shot from 25 ft,,51-48,,
3:14.0,,,51-48,,Defensive rebound by J. Randle
3:05.0,,,51-48,,J. Clarkson misses 2-pt shot from 9 ft
3:04.0,,,51-48,,Offensive rebound by K. Bryant
3:01.0,,,51-48,,K. Bryant misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by C. Frye,,51-48,,
2:55.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,54-48,,
2:30.0,,,54-48,,Turnover by T. Black (lost ball; steal by C. Frye)
2:25.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,56-48,,
2:15.0,,,56-48,,LA Lakers full timeout
2:15.0,Cleveland full timeout,,56-48,,
2:15.0,,,56-48,,D. Russell enters the game for M. Huertas
2:15.0,,,56-48,,L. Nance enters the game for T. Black
2:02.0,,,56-50,2,K. Bryant makes 2-pt shot from 13 ft
1:37.0,L. James makes 3-pt shot from 23 ft (assist by J. Smith),3,59-50,,
1:17.0,,,59-52,2,K. Bryant makes 2-pt shot from 12 ft
0:57.0,,,59-52,,Personal foul by D. Russell
0:57.0,M. Dellavedova enters the game for J. Smith,,59-52,,
0:48.0,L. James makes 2-pt shot at rim,2,61-52,,
0:33.0,,,61-55,3,K. Bryant makes 3-pt shot from 24 ft
0:17.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Irving),3,64-55,,
0:00.0,,,64-55,,D. Russell misses 3-pt shot from 27 ft
0:00.0,,,64-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Irving makes 2-pt shot from 18 ft,2,66-55,,
11:25.0,,,66-57,2,R. Hibbert makes 2-pt shot from 9 ft
11:09.0,K. Irving makes 3-pt shot from 24 ft,3,69-57,,
10:49.0,,,69-60,3,K. Bryant makes 3-pt shot from 25 ft (assist by D. Russell)
10:33.0,K. Irving misses 3-pt shot from 24 ft,,69-60,,
10:32.0,,,69-60,,Defensive rebound by K. Bryant
10:24.0,,,69-62,2,K. Bryant makes 2-pt shot from 14 ft
10:16.0,L. James misses 2-pt shot from 2 ft,,69-62,,
10:14.0,,,69-62,,Defensive rebound by J. Clarkson
10:09.0,Personal foul by L. James,,69-62,,
10:07.0,,,69-62,,Turnover by R. Hibbert (bad pass)
9:49.0,K. Irving misses 3-pt shot from 23 ft,,69-62,,
9:48.0,Offensive rebound by T. Thompson,,69-62,,
9:45.0,L. James makes 2-pt shot at rim (assist by T. Thompson),2,71-62,,
9:23.0,,,71-62,,Turnover by R. Hibbert (lost ball; steal by J. Smith)
9:09.0,Turnover by K. Irving (lost ball; steal by J. Randle),,71-62,,
9:08.0,Personal foul by C. Frye,,71-62,,
8:56.0,,,71-62,,Offensive foul by R. Hibbert
8:56.0,,,71-62,,Turnover by R. Hibbert (offensive foul)
8:40.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,74-62,,
8:17.0,,,74-64,2,K. Bryant makes 2-pt shot from 18 ft
7:55.0,C. Frye misses 3-pt shot from 25 ft,,74-64,,
7:54.0,Offensive rebound by Team,,74-64,,
7:50.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,77-64,,
7:31.0,,,77-64,,D. Russell misses 2-pt shot from 15 ft
7:30.0,Defensive rebound by T. Thompson,,77-64,,
7:21.0,Turnover by L. James (lost ball; steal by J. Randle),,77-64,,
7:15.0,,,77-66,2,J. Clarkson makes 2-pt shot at rim (assist by D. Russell)
7:15.0,Cleveland full timeout,,77-66,,
6:55.0,L. James misses 2-pt shot from 13 ft,,77-66,,
6:55.0,Offensive rebound by Team,,77-66,,
6:55.0,,,77-66,,Loose ball foul by R. Hibbert
6:48.0,L. James misses 3-pt shot from 24 ft,,77-66,,
6:47.0,Offensive rebound by L. James,,77-66,,
6:42.0,L. James makes 2-pt shot from 8 ft,2,79-66,,
6:21.0,,,79-66,,Shooting foul by C. Frye (drawn by J. Randle)
6:21.0,,,79-67,1,J. Randle makes free throw 1 of 2
6:21.0,,,79-67,,M. Huertas enters the game for J. Clarkson
6:21.0,,,79-68,1,J. Randle makes free throw 2 of 2
6:09.0,L. James misses 2-pt shot from 8 ft,,79-68,,
6:06.0,,,79-68,,Defensive rebound by K. Bryant
6:01.0,,,79-71,3,D. Russell makes 3-pt shot from 25 ft (assist by K. Bryant)
5:44.0,K. Irving makes 2-pt shot from 11 ft,2,81-71,,
5:25.0,,,81-74,3,D. Russell makes 3-pt shot from 23 ft (assist by K. Bryant)
5:14.0,Turnover by K. Irving (lost ball; steal by R. Hibbert),,81-74,,
5:07.0,,,81-74,,D. Russell misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by C. Frye,,81-74,,
4:56.0,J. Smith makes 3-pt shot from 24 ft (assist by C. Frye),3,84-74,,
4:42.0,,,84-74,,J. Randle misses 2-pt shot from 1 ft (block by L. James)
4:42.0,,,84-74,,Offensive rebound by Team
4:42.0,M. Dellavedova enters the game for K. Irving,,84-74,,
4:42.0,,,84-74,,L. Nance enters the game for J. Randle
4:42.0,,,84-74,,B. Bass enters the game for R. Hibbert
4:36.0,Personal foul by J. Smith,,84-74,,
4:36.0,Violation by Team (jump ball),,84-74,,
4:31.0,,,84-74,,Shooting foul by J. Smith (drawn by D. Russell)
4:31.0,,,84-75,1,D. Russell makes free throw 1 of 2
4:31.0,I. Shumpert enters the game for J. Smith,,84-75,,
4:31.0,,,84-76,1,D. Russell makes free throw 2 of 2
4:13.0,C. Frye makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,86-76,,
3:55.0,,,86-76,,K. Bryant misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by C. Frye,,86-76,,
3:33.0,I. Shumpert misses 3-pt shot from 24 ft,,86-76,,
3:33.0,Offensive rebound by L. James,,86-76,,
3:33.0,Shooting foul by K. Bryant (drawn by L. James),,86-76,,
3:33.0,L. James misses free throw 1 of 2,,86-76,,
3:33.0,Offensive rebound by Team,,86-76,,
3:33.0,,,86-76,,M. World Peace enters the game for K. Bryant
3:33.0,L. James makes free throw 2 of 2,1,87-76,,
3:14.0,,,87-76,,M. World Peace misses 3-pt shot from 23 ft
3:13.0,Defensive rebound by T. Thompson,,87-76,,
3:06.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by I. Shumpert),3,90-76,,
3:05.0,,,90-76,,LA Lakers full timeout
3:05.0,J. Jones enters the game for C. Frye,,90-76,,
2:54.0,,,90-76,,Shooting foul by I. Shumpert (drawn by D. Russell)
2:54.0,,,90-77,1,D. Russell makes free throw 1 of 2
2:54.0,,,90-78,1,D. Russell makes free throw 2 of 2
2:37.0,,,90-78,,Personal foul by L. Nance
2:27.0,M. Dellavedova misses 3-pt shot from 25 ft,,90-78,,
2:26.0,,,90-78,,Defensive rebound by M. World Peace
2:22.0,,,90-80,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
1:57.0,M. Dellavedova misses 2-pt shot from 6 ft,,90-80,,
1:56.0,,,90-80,,Defensive rebound by B. Bass
1:48.0,,,90-80,,Turnover by M. Huertas (lost ball; steal by T. Thompson)
1:40.0,I. Shumpert makes 2-pt shot from 2 ft,2,92-80,,
1:23.0,,,92-80,,Shooting foul by I. Shumpert (drawn by M. World Peace)
1:23.0,,,92-80,,M. World Peace misses free throw 1 of 2
1:23.0,,,92-80,,Offensive rebound by Team
1:23.0,,,92-80,,M. World Peace misses free throw 2 of 2
1:21.0,Defensive rebound by T. Thompson,,92-80,,
1:02.0,L. James makes 2-pt shot at rim,2,94-80,,
0:45.0,,,94-82,2,B. Bass makes 2-pt shot from 6 ft
0:37.0,,,94-82,,Personal foul by B. Bass
0:27.0,I. Shumpert misses 2-pt shot from 10 ft,,94-82,,
0:24.0,,,94-82,,Defensive rebound by D. Russell
0:06.0,,,94-82,,D. Russell misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by T. Thompson,,94-82,,
0:04.0,,,94-82,,Personal foul by M. World Peace
0:04.0,T. Thompson misses free throw 1 of 2,,94-82,,
0:04.0,Offensive rebound by Team,,94-82,,
0:04.0,K. Irving enters the game for L. James,,94-82,,
0:04.0,T. Thompson makes free throw 2 of 2,1,95-82,,
0:01.0,,,95-82,,D. Russell misses 2-pt shot from 10 ft
0:00.0,,,95-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,95-82,,M. Huertas misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by I. Shumpert,,95-82,,
11:26.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,97-82,,
11:07.0,,,97-84,2,M. Huertas makes 2-pt shot from 9 ft (assist by L. Nance)
10:41.0,K. Irving misses 3-pt shot from 25 ft,,97-84,,
10:40.0,,,97-84,,Defensive rebound by M. Huertas
10:25.0,,,97-84,,Shooting foul by M. Dellavedova (drawn by M. World Peace)
10:25.0,,,97-85,1,M. World Peace makes free throw 1 of 2
10:25.0,,,97-85,,R. Hibbert enters the game for B. Bass
10:25.0,,,97-86,1,M. World Peace makes free throw 2 of 2
10:15.0,K. Irving makes 2-pt shot from 16 ft,2,99-86,,
10:03.0,Personal foul by K. Irving,,99-86,,
9:48.0,,,99-86,,M. Huertas misses 2-pt shot from 10 ft
9:46.0,Defensive rebound by J. Jones,,99-86,,
9:44.0,Turnover by M. Dellavedova (lost ball; steal by M. World Peace),,99-86,,
9:40.0,,,99-86,,Shooting foul by M. Dellavedova (drawn by L. Nance)
9:40.0,,,99-86,,L. Nance misses free throw 1 of 2
9:40.0,,,99-86,,Offensive rebound by Team
9:40.0,,,99-86,,J. Clarkson enters the game for D. Russell
9:40.0,J. Smith enters the game for M. Dellavedova,,99-86,,
9:40.0,,,99-87,1,L. Nance makes free throw 2 of 2
9:30.0,K. Irving makes 2-pt shot at rim,2,101-87,,
9:13.0,,,101-87,,J. Clarkson misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by Team,,101-87,,
9:00.0,J. Jones makes 3-pt shot from 24 ft (assist by K. Irving),3,104-87,,
8:41.0,,,104-89,2,M. World Peace makes 2-pt shot from 10 ft
8:32.0,Shooting foul by M. Huertas (drawn by K. Irving),,104-89,,
8:32.0,Official timeout,,104-89,,
8:32.0,K. Irving makes free throw 1 of 2,1,105-89,,
8:32.0,K. Irving makes free throw 2 of 2,1,106-89,,
8:14.0,,,106-89,,M. Huertas misses 2-pt shot from 1 ft (block by K. Irving)
8:14.0,,,106-89,,Offensive rebound by Team
8:12.0,,,106-91,2,J. Clarkson makes 2-pt shot from 12 ft (assist by M. World Peace)
7:52.0,K. Irving makes 2-pt shot from 18 ft,2,108-91,,
7:41.0,,,108-91,,J. Clarkson misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by K. Irving,,108-91,,
7:37.0,,,108-91,,Personal foul by M. Huertas
7:37.0,,,108-91,,K. Bryant enters the game for M. World Peace
7:37.0,,,108-91,,B. Bass enters the game for R. Hibbert
7:18.0,T. Mozgov misses 2-pt shot from 11 ft,,108-91,,
7:15.0,,,108-91,,Defensive rebound by K. Bryant
7:07.0,,,108-91,,L. Nance misses 2-pt shot from 1 ft (block by T. Mozgov)
7:05.0,Defensive rebound by J. Smith,,108-91,,
6:59.0,J. Smith misses 3-pt shot from 24 ft,,108-91,,
6:56.0,,,108-91,,Defensive rebound by B. Bass
6:49.0,,,108-93,2,B. Bass makes 2-pt shot from 10 ft (assist by M. Huertas)
6:31.0,K. Irving makes 2-pt shot from 17 ft,2,110-93,,
6:12.0,,,110-93,,Shooting foul by I. Shumpert (drawn by K. Bryant)
6:12.0,Violation by T. Mozgov (lane),,110-93,,
6:12.0,,,110-94,1,K. Bryant makes free throw 1 of 2
6:12.0,,,110-94,,J. Randle enters the game for L. Nance
6:12.0,L. James enters the game for J. Jones,,110-94,,
6:12.0,,,110-94,,K. Bryant misses free throw 2 of 2
6:11.0,Defensive rebound by I. Shumpert,,110-94,,
5:50.0,,,110-94,,Personal foul by B. Bass
5:50.0,,,110-94,,LA Lakers full timeout
5:39.0,J. Smith misses 2-pt shot from 17 ft,,110-94,,
5:37.0,,,110-94,,Defensive rebound by J. Randle
5:18.0,,,110-94,,J. Randle misses 2-pt shot from 10 ft
5:16.0,Defensive rebound by L. James,,110-94,,
5:11.0,Shooting foul by J. Randle (drawn by L. James),,110-94,,
5:11.0,L. James misses free throw 1 of 2,,110-94,,
5:11.0,Offensive rebound by Team,,110-94,,
5:11.0,L. James makes free throw 2 of 2,1,111-94,,
4:50.0,,,111-94,,K. Bryant misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by J. Smith,,111-94,,
4:38.0,L. James misses 2-pt shot from 11 ft,,111-94,,
4:36.0,,,111-94,,Defensive rebound by J. Randle
4:32.0,,,111-94,,Offensive foul by J. Randle
4:32.0,,,111-94,,Turnover by J. Randle (offensive foul)
4:32.0,,,111-94,,D. Russell enters the game for M. Huertas
4:22.0,K. Irving misses 2-pt shot from 13 ft (block by K. Bryant),,111-94,,
4:21.0,,,111-94,,Defensive rebound by Team
4:21.0,Loose ball foul by T. Mozgov,,111-94,,
4:21.0,,,111-95,1,B. Bass makes free throw 1 of 2
4:21.0,,,111-96,1,B. Bass makes free throw 2 of 2
4:11.0,L. James misses 2-pt shot at rim,,111-96,,
4:10.0,,,111-96,,Defensive rebound by B. Bass
4:03.0,,,111-98,2,D. Russell makes 2-pt shot from 2 ft
4:01.0,Cleveland full timeout,,111-98,,
4:01.0,T. Thompson enters the game for T. Mozgov,,111-98,,
3:47.0,L. James misses 3-pt shot from 24 ft,,111-98,,
3:46.0,Offensive rebound by T. Thompson,,111-98,,
3:26.0,L. James makes 2-pt shot from 2 ft,2,113-98,,
3:17.0,,,113-101,3,K. Bryant makes 3-pt shot from 24 ft
2:59.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,115-101,,
2:39.0,,,115-101,,D. Russell misses 2-pt shot from 17 ft
2:36.0,,,115-101,,Offensive rebound by D. Russell
2:32.0,,,115-101,,J. Clarkson misses 3-pt shot from 24 ft
2:31.0,Defensive rebound by I. Shumpert,,115-101,,
2:10.0,Shooting foul by D. Russell (drawn by L. James),,115-101,,
2:10.0,L. James makes free throw 1 of 2,1,116-101,,
2:10.0,M. Dellavedova enters the game for K. Irving,,116-101,,
2:10.0,,,116-101,,L. Nance enters the game for K. Bryant
2:10.0,L. James misses free throw 2 of 2,,116-101,,
2:09.0,,,116-101,,Defensive rebound by J. Randle
1:52.0,Violation by L. James (def goaltending),,116-101,,
1:52.0,,,116-103,2,J. Randle makes 2-pt shot at rim (assist by B. Bass)
1:52.0,,,116-103,,Shooting foul by L. James (drawn by J. Randle)
1:52.0,,,116-104,1,J. Randle makes free throw 1 of 1
1:38.0,T. Thompson misses 2-pt shot from 1 ft,,116-104,,
1:37.0,,,116-104,,Defensive rebound by B. Bass
1:25.0,,,116-104,,Turnover by J. Randle (traveling)
1:25.0,J. McRae enters the game for L. James,,116-104,,
1:07.0,M. Dellavedova makes 2-pt shot from 15 ft,2,118-104,,
0:57.0,,,118-104,,J. Randle misses 2-pt shot from 20 ft
0:57.0,Defensive rebound by T. Thompson,,118-104,,
0:57.0,Cleveland full timeout,,118-104,,
0:57.0,S. Kaun enters the game for T. Thompson,,118-104,,
0:57.0,J. Jones enters the game for J. Smith,,118-104,,
0:38.0,J. Jones misses 3-pt shot from 25 ft,,118-104,,
0:37.0,,,118-104,,Defensive rebound by B. Bass
0:29.0,,,118-106,2,B. Bass makes 2-pt shot from 9 ft (assist by D. Russell)
0:08.0,J. McRae makes 2-pt shot from 18 ft,2,120-106,,
0:02.0,,,120-108,2,D. Russell makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
