time,Oklahoma City,pts.away,score,pts.home,Philadelphia
8:05.0,Defensive rebound by R. Westbrook,,9-8,,
7:50.0,S. Adams misses 2-pt shot from 2 ft (block by J. Grant),,9-8,,
7:50.0,,,9-8,,Defensive rebound by N. Noel
7:50.0,Personal foul by R. Westbrook,,9-8,,
7:36.0,,,9-8,,J. Grant misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by S. Adams,,9-8,,
7:14.0,N. Collison misses 2-pt shot from 4 ft,,9-8,,
7:12.0,Offensive rebound by S. Adams,,9-8,,
7:12.0,S. Adams misses 2-pt shot from 1 ft,,9-8,,
7:08.0,,,9-8,,Defensive rebound by I. Canaan
6:54.0,,,9-8,,N. Noel misses 2-pt shot from 5 ft
6:51.0,Defensive rebound by A. Roberson,,9-8,,
6:34.0,N. Collison makes 2-pt shot from 8 ft (assist by K. Durant),2,11-8,,
6:23.0,,,11-8,,I. Canaan misses 3-pt shot from 22 ft
6:22.0,Defensive rebound by N. Collison,,11-8,,
6:11.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,13-8,,
5:54.0,,,13-8,,Shooting foul by N. Collison (drawn by J. Grant)
5:54.0,,,13-9,1,J. Grant makes free throw 1 of 2
5:54.0,K. Singler enters the game for K. Durant,,13-9,,
5:54.0,R. Foye enters the game for A. Roberson,,13-9,,
5:54.0,,,13-9,,E. Brand enters the game for N. Noel
5:54.0,E. Kanter enters the game for S. Adams,,13-9,,
5:54.0,,,13-10,1,J. Grant makes free throw 2 of 2
5:42.0,R. Westbrook makes 2-pt shot at rim,2,15-10,,
5:39.0,Personal foul by R. Foye,,15-10,,
5:39.0,,,15-10,,N. Stauskas enters the game for H. Thompson
5:21.0,,,15-12,2,J. Grant makes 2-pt shot at rim
5:06.0,E. Kanter makes 2-pt shot from 7 ft (assist by R. Foye),2,17-12,,
4:52.0,,,17-12,,I. Smith misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by E. Kanter,,17-12,,
4:27.0,Turnover by K. Singler (lost ball; steal by I. Smith),,17-12,,
4:22.0,,,17-14,2,I. Smith makes 2-pt shot at rim
4:08.0,R. Westbrook misses 3-pt shot from 25 ft,,17-14,,
4:07.0,Offensive rebound by R. Foye,,17-14,,
3:58.0,R. Foye misses 3-pt shot from 25 ft,,17-14,,
3:57.0,,,17-14,,Defensive rebound by I. Smith
3:47.0,,,17-16,2,E. Brand makes 2-pt shot from 16 ft (assist by I. Smith)
3:33.0,,,17-16,,Personal foul by E. Brand
3:33.0,,,17-16,,S. Weems enters the game for I. Smith
3:33.0,,,17-16,,T. McConnell enters the game for I. Canaan
3:33.0,M. McGary enters the game for N. Collison,,17-16,,
3:33.0,,,17-16,,C. Landry enters the game for J. Grant
3:28.0,,,17-16,,Personal foul by S. Weems
3:22.0,E. Kanter makes 2-pt shot from 5 ft (assist by R. Westbrook),2,19-16,,
3:14.0,,,19-16,,C. Landry misses 2-pt shot from 16 ft
3:12.0,Defensive rebound by R. Westbrook,,19-16,,
3:08.0,R. Westbrook makes 2-pt shot at rim,2,21-16,,
2:49.0,,,21-19,3,N. Stauskas makes 3-pt shot from 24 ft (assist by T. McConnell)
2:32.0,M. McGary misses 2-pt shot from 16 ft,,21-19,,
2:31.0,,,21-19,,Defensive rebound by N. Stauskas
2:20.0,,,21-19,,S. Weems misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by E. Kanter,,21-19,,
2:12.0,E. Kanter misses 2-pt shot from 18 ft,,21-19,,
2:11.0,,,21-19,,Defensive rebound by N. Stauskas
2:00.0,,,21-19,,C. Landry misses 2-pt shot from 16 ft
1:58.0,Defensive rebound by R. Westbrook,,21-19,,
1:41.0,M. McGary makes 2-pt shot from 18 ft (assist by R. Foye),2,23-19,,
1:14.0,,,23-19,,E. Brand misses 2-pt shot from 15 ft
1:13.0,Defensive rebound by R. Westbrook,,23-19,,
1:04.0,R. Westbrook makes 2-pt shot from 1 ft,2,25-19,,
0:58.0,,,25-22,3,N. Stauskas makes 3-pt shot from 23 ft (assist by T. McConnell)
0:52.0,Oklahoma City full timeout,,25-22,,
0:52.0,K. Durant enters the game for R. Westbrook,,25-22,,
0:52.0,,,25-22,,Personal foul by T. McConnell
0:52.0,R. Foye makes free throw 1 of 2,1,26-22,,
0:52.0,R. Foye makes free throw 2 of 2,1,27-22,,
0:45.0,,,27-22,,Turnover by T. McConnell (lost ball)
0:37.0,R. Foye misses 3-pt shot from 26 ft,,27-22,,
0:36.0,,,27-22,,Defensive rebound by Team
0:36.0,Loose ball foul by E. Kanter,,27-22,,
0:36.0,,,27-22,,E. Brand misses free throw 1 of 2
0:36.0,,,27-22,,Offensive rebound by Team
0:36.0,,,27-23,1,E. Brand makes free throw 2 of 2
0:33.0,Turnover by K. Durant (lost ball; steal by N. Stauskas),,27-23,,
0:13.0,,,27-23,,E. Brand misses 2-pt shot from 14 ft
0:12.0,Defensive rebound by K. Durant,,27-23,,
0:03.0,K. Durant misses 3-pt shot from 24 ft,,27-23,,
0:01.0,,,27-23,,Defensive rebound by T. McConnell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-25,2,N. Stauskas makes 2-pt shot from 18 ft (assist by N. Noel)
11:31.0,D. Waiters misses 2-pt shot from 3 ft (block by N. Noel),,27-25,,
11:28.0,,,27-25,,Defensive rebound by H. Thompson
11:15.0,,,27-27,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
10:57.0,E. Kanter misses 2-pt shot from 7 ft (block by N. Noel),,27-27,,
10:55.0,Offensive rebound by E. Kanter,,27-27,,
10:54.0,Turnover by E. Kanter (lost ball; steal by H. Thompson),,27-27,,
10:44.0,,,27-27,,Shooting foul by R. Foye (drawn by J. Grant)
10:44.0,,,27-28,1,J. Grant makes free throw 1 of 2
10:44.0,K. Singler enters the game for R. Foye,,27-28,,
10:44.0,,,27-29,1,J. Grant makes free throw 2 of 2
10:28.0,Turnover by K. Durant (bad pass),,27-29,,
10:05.0,,,27-31,2,T. McConnell makes 2-pt shot from 1 ft (assist by J. Grant)
9:54.0,K. Singler misses 2-pt shot from 16 ft,,27-31,,
9:52.0,,,27-31,,Defensive rebound by H. Thompson
9:42.0,,,27-33,2,N. Noel makes 2-pt shot from 1 ft (assist by T. McConnell)
9:42.0,,,27-33,,Shooting foul by C. Payne (drawn by N. Noel)
9:42.0,Oklahoma City full timeout,,27-33,,
9:42.0,,,27-34,1,N. Noel makes free throw 1 of 1
9:28.0,K. Durant makes 2-pt shot from 16 ft (assist by D. Waiters),2,29-34,,
9:14.0,,,29-34,,J. Grant misses 2-pt shot from 1 ft
9:12.0,Defensive rebound by E. Kanter,,29-34,,
9:09.0,D. Waiters misses 2-pt shot from 19 ft,,29-34,,
9:07.0,Offensive rebound by K. Singler,,29-34,,
9:06.0,K. Singler misses 2-pt shot from 2 ft,,29-34,,
9:04.0,Offensive rebound by K. Singler,,29-34,,
9:04.0,K. Singler makes 2-pt shot at rim,2,31-34,,
8:56.0,,,31-34,,N. Noel misses 2-pt shot at rim
8:55.0,Defensive rebound by E. Kanter,,31-34,,
8:43.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Payne),2,33-34,,
8:18.0,,,33-36,2,H. Thompson makes 2-pt shot from 11 ft (assist by N. Noel)
8:05.0,K. Durant misses 3-pt shot from 26 ft,,33-36,,
8:03.0,,,33-36,,Defensive rebound by H. Thompson
7:50.0,,,33-38,2,N. Stauskas makes 2-pt shot from 1 ft
7:34.0,K. Durant makes 2-pt shot from 1 ft,2,35-38,,
7:11.0,,,35-38,,J. Grant misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by D. Waiters,,35-38,,
7:01.0,Offensive charge foul by E. Kanter,,35-38,,
7:01.0,Turnover by E. Kanter (offensive foul),,35-38,,
7:01.0,,,35-38,,Philadelphia full timeout
7:01.0,R. Westbrook enters the game for K. Durant,,35-38,,
7:01.0,R. Foye enters the game for E. Kanter,,35-38,,
7:01.0,S. Adams enters the game for C. Payne,,35-38,,
7:01.0,,,35-38,,I. Smith enters the game for T. McConnell
7:01.0,,,35-38,,I. Canaan enters the game for N. Stauskas
6:44.0,,,35-38,,J. Grant misses 2-pt shot from 4 ft (block by S. Adams)
6:42.0,Defensive rebound by S. Adams,,35-38,,
6:36.0,R. Westbrook makes 2-pt shot at rim (assist by S. Adams),2,37-38,,
6:17.0,,,37-40,2,I. Smith makes 2-pt shot from 15 ft
5:54.0,S. Adams misses 2-pt shot from 6 ft,,37-40,,
5:52.0,,,37-40,,Defensive rebound by J. Grant
5:47.0,,,37-42,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
5:30.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Foye),2,39-42,,
5:16.0,Personal foul by D. Waiters,,39-42,,
5:16.0,,,39-42,,N. Stauskas enters the game for J. Grant
5:16.0,N. Collison enters the game for K. Singler,,39-42,,
5:09.0,,,39-42,,H. Thompson misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by R. Westbrook,,39-42,,
5:02.0,R. Westbrook makes 2-pt shot from 2 ft,2,41-42,,
4:57.0,,,41-44,2,I. Smith makes 2-pt shot at rim
4:57.0,Shooting block foul by R. Westbrook (drawn by I. Smith),,41-44,,
4:57.0,K. Durant enters the game for N. Collison,,41-44,,
4:57.0,,,41-44,,I. Smith misses free throw 1 of 1
4:55.0,Defensive rebound by K. Durant,,41-44,,
4:50.0,Shooting foul by H. Thompson (drawn by K. Durant),,41-44,,
4:50.0,K. Durant makes free throw 1 of 3,1,42-44,,
4:50.0,K. Durant makes free throw 2 of 3,1,43-44,,
4:50.0,K. Durant makes free throw 3 of 3,1,44-44,,
4:27.0,,,44-44,,Turnover by N. Noel (3 sec)
4:15.0,D. Waiters misses 3-pt shot from 22 ft,,44-44,,
4:14.0,Offensive rebound by R. Westbrook,,44-44,,
4:10.0,R. Foye makes 2-pt shot at rim (assist by K. Durant),2,46-44,,
4:07.0,,,46-44,,Turnover by N. Noel (lost ball; steal by R. Westbrook)
4:02.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,48-44,,
4:01.0,,,48-44,,Philadelphia full timeout
3:48.0,,,48-44,,I. Canaan misses 2-pt shot from 15 ft
3:47.0,Defensive rebound by S. Adams,,48-44,,
3:30.0,K. Durant makes 3-pt shot from 26 ft (assist by D. Waiters),3,51-44,,
3:10.0,,,51-44,,N. Noel misses 2-pt shot from 6 ft
3:08.0,Defensive rebound by K. Durant,,51-44,,
2:57.0,Shooting foul by I. Smith (drawn by D. Waiters),,51-44,,
2:57.0,Official timeout,,51-44,,
2:57.0,D. Waiters makes free throw 1 of 2,1,52-44,,
2:57.0,D. Waiters misses free throw 2 of 2,,52-44,,
2:56.0,,,52-44,,Defensive rebound by I. Smith
2:44.0,,,52-47,3,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Smith)
2:17.0,R. Foye misses 3-pt shot from 23 ft,,52-47,,
2:15.0,Offensive rebound by R. Foye,,52-47,,
2:11.0,Turnover by R. Westbrook (step out of bounds),,52-47,,
2:11.0,,,52-47,,J. Grant enters the game for H. Thompson
2:11.0,,,52-47,,E. Brand enters the game for N. Noel
1:57.0,,,52-47,,I. Smith misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by S. Adams,,52-47,,
1:38.0,Shooting foul by E. Brand (drawn by R. Westbrook),,52-47,,
1:38.0,R. Westbrook misses free throw 1 of 2,,52-47,,
1:38.0,Offensive rebound by Team,,52-47,,
1:38.0,R. Westbrook makes free throw 2 of 2,1,53-47,,
1:19.0,,,53-47,,N. Stauskas misses 3-pt shot from 27 ft
1:17.0,Defensive rebound by R. Westbrook,,53-47,,
1:10.0,K. Durant misses 3-pt shot from 25 ft,,53-47,,
1:07.0,Offensive rebound by S. Adams,,53-47,,
1:05.0,R. Westbrook misses 2-pt shot from 3 ft (block by J. Grant),,53-47,,
1:02.0,,,53-47,,Defensive rebound by I. Canaan
0:57.0,,,53-47,,I. Smith misses 2-pt shot from 3 ft (block by R. Foye)
0:54.0,Defensive rebound by K. Durant,,53-47,,
0:51.0,Turnover by R. Westbrook (bad pass),,53-47,,
0:38.0,,,53-47,,J. Grant misses 3-pt shot from 23 ft
0:37.0,Defensive rebound by R. Westbrook,,53-47,,
0:31.0,R. Westbrook misses 3-pt shot from 27 ft,,53-47,,
0:31.0,,,53-47,,Defensive rebound by Team
0:31.0,,,53-47,,H. Thompson enters the game for J. Grant
0:10.0,,,53-47,,H. Thompson misses 3-pt shot from 25 ft (block by K. Durant)
0:08.0,Defensive rebound by R. Westbrook,,53-47,,
0:01.0,R. Westbrook misses 3-pt shot from 25 ft,,53-47,,
0:00.0,,,53-47,,Defensive rebound by E. Brand
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,53-47,,Shooting foul by S. Adams (drawn by J. Grant)
11:39.0,,,53-47,,J. Grant misses free throw 1 of 2
11:39.0,,,53-47,,Offensive rebound by Team
11:39.0,,,53-47,,J. Grant misses free throw 2 of 2
11:39.0,Defensive rebound by A. Roberson,,53-47,,
11:16.0,A. Roberson misses 3-pt shot from 25 ft,,53-47,,
11:14.0,,,53-47,,Defensive rebound by I. Smith
11:07.0,,,53-47,,I. Canaan misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by K. Durant,,53-47,,
10:52.0,R. Westbrook misses 2-pt shot from 12 ft,,53-47,,
10:50.0,Offensive rebound by N. Collison,,53-47,,
10:50.0,N. Collison makes 2-pt shot from 2 ft,2,55-47,,
10:37.0,,,55-47,,I. Smith misses 3-pt shot from 27 ft
10:35.0,Defensive rebound by S. Adams,,55-47,,
10:22.0,R. Westbrook misses 2-pt shot from 2 ft,,55-47,,
10:20.0,,,55-47,,Defensive rebound by N. Noel
10:06.0,,,55-47,,Shooting foul by A. Roberson (drawn by N. Noel)
10:06.0,,,55-48,1,N. Noel makes free throw 1 of 2
10:06.0,,,55-48,,N. Noel misses free throw 2 of 2
10:06.0,Defensive rebound by K. Durant,,55-48,,
9:54.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,57-48,,
9:37.0,,,57-48,,Shooting foul by A. Roberson (drawn by I. Canaan)
9:37.0,,,57-48,,I. Canaan misses free throw 1 of 2
9:37.0,,,57-48,,Offensive rebound by Team
9:37.0,,,57-49,1,I. Canaan makes free throw 2 of 2
9:20.0,Turnover by R. Westbrook (lost ball; steal by H. Thompson),,57-49,,
9:13.0,,,57-52,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
8:59.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,59-52,,
8:40.0,,,59-52,,J. Grant misses 2-pt shot from 4 ft (block by S. Adams)
8:38.0,Defensive rebound by R. Westbrook,,59-52,,
8:35.0,Shooting foul by H. Thompson (drawn by R. Westbrook),,59-52,,
8:35.0,R. Westbrook makes free throw 1 of 2,1,60-52,,
8:35.0,R. Westbrook misses free throw 2 of 2,,60-52,,
8:33.0,Offensive rebound by Team,,60-52,,
8:33.0,,,60-52,,Personal foul by N. Noel
8:26.0,R. Westbrook makes 3-pt shot from 25 ft (assist by K. Durant),3,63-52,,
8:02.0,,,63-52,,I. Canaan misses 2-pt shot from 1 ft (block by S. Adams)
8:00.0,Defensive rebound by K. Durant,,63-52,,
7:54.0,K. Durant makes 2-pt shot from 18 ft,2,65-52,,
7:53.0,,,65-52,,Philadelphia full timeout
7:53.0,,,65-52,,C. Landry enters the game for J. Grant
7:38.0,,,65-52,,C. Landry misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by Team,,65-52,,
7:37.0,,,65-52,,Personal foul by N. Noel
7:15.0,A. Roberson misses 3-pt shot from 23 ft,,65-52,,
7:13.0,,,65-52,,Defensive rebound by N. Noel
6:55.0,,,65-52,,I. Smith misses 2-pt shot from 21 ft
6:53.0,,,65-52,,Offensive rebound by H. Thompson
6:51.0,,,65-54,2,H. Thompson makes 2-pt shot at rim
6:34.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,67-54,,
6:19.0,,,67-54,,C. Landry misses 2-pt shot from 13 ft
6:17.0,Defensive rebound by R. Westbrook,,67-54,,
6:12.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,69-54,,
6:04.0,Personal block foul by N. Collison,,69-54,,
6:04.0,,,69-54,,N. Stauskas enters the game for I. Canaan
5:51.0,,,69-56,2,C. Landry makes 2-pt shot from 1 ft (assist by H. Thompson)
5:33.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,71-56,,
5:22.0,,,71-56,,N. Noel misses 2-pt shot from 17 ft
5:21.0,Defensive rebound by K. Durant,,71-56,,
5:07.0,R. Westbrook misses 2-pt shot from 2 ft,,71-56,,
5:06.0,Offensive rebound by R. Westbrook,,71-56,,
5:02.0,Turnover by R. Westbrook (lost ball),,71-56,,
5:02.0,K. Singler enters the game for K. Durant,,71-56,,
5:02.0,,,71-56,,J. Grant enters the game for N. Noel
4:47.0,,,71-56,,Turnover by N. Stauskas (bad pass)
4:31.0,N. Collison makes 2-pt shot from 1 ft (assist by K. Singler),2,73-56,,
4:21.0,,,73-56,,Shooting foul by K. Singler (drawn by H. Thompson)
4:21.0,,,73-57,1,H. Thompson makes free throw 1 of 2
4:21.0,E. Kanter enters the game for N. Collison,,73-57,,
4:21.0,,,73-57,,T. McConnell enters the game for I. Smith
4:21.0,,,73-58,1,H. Thompson makes free throw 2 of 2
4:12.0,R. Westbrook makes 2-pt shot at rim,2,75-58,,
3:53.0,,,75-58,,J. Grant misses 2-pt shot from 21 ft
3:51.0,Defensive rebound by E. Kanter,,75-58,,
3:44.0,E. Kanter misses 2-pt shot from 19 ft,,75-58,,
3:43.0,,,75-58,,Defensive rebound by J. Grant
3:39.0,,,75-58,,Philadelphia full timeout
3:39.0,,,75-58,,S. Weems enters the game for H. Thompson
3:22.0,,,75-58,,C. Landry misses 2-pt shot from 21 ft
3:20.0,Defensive rebound by A. Roberson,,75-58,,
3:10.0,R. Westbrook misses 2-pt shot from 19 ft,,75-58,,
3:08.0,Offensive rebound by Team,,75-58,,
3:08.0,K. Durant enters the game for R. Westbrook,,75-58,,
3:08.0,R. Foye enters the game for A. Roberson,,75-58,,
3:01.0,K. Durant makes 2-pt shot from 16 ft,2,77-58,,
2:45.0,,,77-60,2,N. Stauskas makes 2-pt shot from 1 ft
2:28.0,Turnover by K. Durant (lost ball; steal by T. McConnell),,77-60,,
2:24.0,,,77-62,2,J. Grant makes 2-pt shot at rim (assist by T. McConnell)
2:23.0,Oklahoma City full timeout,,77-62,,
2:23.0,,,77-62,,N. Noel enters the game for C. Landry
2:13.0,Offensive foul by K. Durant,,77-62,,
2:13.0,Turnover by K. Durant (offensive foul),,77-62,,
2:01.0,,,77-62,,N. Noel misses 2-pt shot from 8 ft (block by E. Kanter)
1:58.0,,,77-62,,Offensive rebound by N. Noel
1:58.0,,,77-64,2,N. Noel makes 2-pt shot from 3 ft
1:43.0,E. Kanter makes 3-pt shot from 25 ft (assist by K. Durant),3,80-64,,
1:33.0,,,80-64,,J. Grant misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by S. Adams,,80-64,,
1:11.0,Shooting foul by J. Grant (drawn by E. Kanter),,80-64,,
1:11.0,E. Kanter makes free throw 1 of 2,1,81-64,,
1:11.0,D. Waiters enters the game for S. Adams,,81-64,,
1:11.0,E. Kanter makes free throw 2 of 2,1,82-64,,
1:05.0,Personal foul by R. Foye,,82-64,,
1:05.0,,,82-65,1,T. McConnell makes free throw 1 of 2
1:05.0,,,82-66,1,T. McConnell makes free throw 2 of 2
0:57.0,,,82-66,,Personal foul by S. Weems
0:57.0,D. Waiters makes free throw 1 of 2,1,83-66,,
0:57.0,D. Waiters misses free throw 2 of 2,,83-66,,
0:56.0,,,83-66,,Defensive rebound by N. Noel
0:46.0,,,83-66,,N. Stauskas misses 2-pt shot from 2 ft
0:44.0,,,83-66,,Offensive rebound by N. Stauskas
0:43.0,,,83-66,,N. Stauskas misses 2-pt shot from 1 ft
0:42.0,,,83-66,,Offensive rebound by J. Grant
0:42.0,,,83-66,,J. Grant misses 2-pt shot from 1 ft
0:41.0,,,83-66,,Offensive rebound by N. Noel
0:40.0,,,83-66,,N. Noel misses 2-pt shot from 2 ft
0:40.0,,,83-66,,Offensive rebound by N. Noel
0:39.0,,,83-68,2,N. Noel makes 2-pt shot from 3 ft
0:29.0,Turnover by E. Kanter (lost ball; steal by N. Stauskas),,83-68,,
0:26.0,,,83-68,,Turnover by N. Stauskas (lost ball; steal by R. Foye)
0:08.0,,,83-68,,Personal foul by S. Weems
0:08.0,R. Foye makes free throw 1 of 2,1,84-68,,
0:08.0,R. Foye makes free throw 2 of 2,1,85-68,,
0:01.0,,,85-68,,T. McConnell misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by K. Durant,,85-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,D. Waiters makes 3-pt shot from 23 ft (assist by K. Durant),3,88-68,,
11:16.0,,,88-68,,H. Thompson misses 3-pt shot from 23 ft
11:14.0,,,88-68,,Offensive rebound by N. Noel
11:06.0,,,88-70,2,N. Noel makes 2-pt shot from 1 ft (assist by H. Thompson)
10:45.0,Turnover by E. Kanter (lost ball; steal by N. Noel),,88-70,,
10:39.0,,,88-70,,H. Thompson misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by K. Durant,,88-70,,
10:29.0,D. Waiters misses 3-pt shot from 26 ft,,88-70,,
10:27.0,Offensive rebound by K. Singler,,88-70,,
10:24.0,,,88-70,,Personal foul by T. McConnell
10:11.0,R. Foye makes 3-pt shot from 25 ft,3,91-70,,
9:49.0,,,91-72,2,H. Thompson makes 2-pt shot from 13 ft (assist by I. Canaan)
9:36.0,K. Durant makes 2-pt shot from 17 ft,2,93-72,,
9:24.0,,,93-72,,N. Noel misses 2-pt shot from 4 ft
9:22.0,Defensive rebound by K. Singler,,93-72,,
9:17.0,E. Kanter makes 2-pt shot at rim (assist by R. Foye),2,95-72,,
9:17.0,,,95-72,,Philadelphia full timeout
9:08.0,,,95-72,,H. Thompson misses 2-pt shot from 23 ft
9:07.0,,,95-72,,Offensive rebound by Team
9:07.0,Loose ball foul by K. Durant,,95-72,,
8:59.0,,,95-72,,H. Thompson misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by K. Singler,,95-72,,
8:45.0,Turnover by K. Durant (lost ball; steal by N. Stauskas),,95-72,,
8:40.0,,,95-75,3,I. Canaan makes 3-pt shot from 26 ft (assist by N. Stauskas)
8:20.0,D. Waiters misses 2-pt shot from 20 ft,,95-75,,
8:16.0,,,95-75,,Defensive rebound by N. Stauskas
8:08.0,,,95-78,3,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Canaan)
8:08.0,Oklahoma City full timeout,,95-78,,
8:08.0,R. Westbrook enters the game for K. Durant,,95-78,,
8:08.0,,,95-78,,I. Smith enters the game for T. McConnell
8:08.0,,,95-78,,J. Grant enters the game for H. Thompson
7:55.0,Offensive foul by E. Kanter,,95-78,,
7:55.0,Turnover by E. Kanter (offensive foul),,95-78,,
7:37.0,Violation by K. Singler (kicked ball),,95-78,,
7:26.0,Personal foul by R. Foye,,95-78,,
7:17.0,,,95-78,,Shooting foul by K. Singler (drawn by J. Grant)
7:17.0,,,95-78,,J. Grant misses free throw 1 of 2
7:17.0,,,95-78,,Offensive rebound by Team
7:17.0,A. Roberson enters the game for K. Singler,,95-78,,
7:17.0,,,95-78,,J. Grant misses free throw 2 of 2
7:15.0,Defensive rebound by R. Westbrook,,95-78,,
7:05.0,D. Waiters makes 2-pt shot at rim (assist by R. Westbrook),2,97-78,,
6:47.0,,,97-78,,Turnover by J. Grant (3 sec)
6:38.0,Offensive foul by E. Kanter,,97-78,,
6:38.0,Turnover by E. Kanter (offensive foul),,97-78,,
6:24.0,,,97-81,3,I. Canaan makes 3-pt shot from 27 ft (assist by I. Smith)
6:06.0,R. Foye misses 3-pt shot from 22 ft,,97-81,,
6:06.0,Offensive rebound by E. Kanter,,97-81,,
6:06.0,E. Kanter makes 2-pt shot at rim,2,99-81,,
6:06.0,Shooting foul by I. Canaan (drawn by E. Kanter),,99-81,,
6:06.0,K. Durant enters the game for D. Waiters,,99-81,,
6:06.0,E. Kanter makes free throw 1 of 1,1,100-81,,
5:43.0,,,100-81,,J. Grant misses 2-pt shot at rim
5:38.0,,,100-81,,Offensive rebound by J. Grant
5:37.0,,,100-83,2,J. Grant makes 2-pt shot at rim (assist by N. Stauskas)
5:24.0,Turnover by R. Westbrook (lost ball; steal by I. Canaan),,100-83,,
5:21.0,,,100-83,,N. Stauskas misses 2-pt shot from 1 ft (block by R. Westbrook)
5:18.0,,,100-83,,Offensive rebound by I. Smith
5:14.0,,,100-86,3,N. Stauskas makes 3-pt shot from 22 ft (assist by I. Smith)
4:59.0,Turnover by A. Roberson (lost ball; steal by I. Canaan),,100-86,,
