time,Portland,pts.away,score,pts.home,Charlotte
2:55.0,E. Davis enters the game for M. Plumlee,,20-24,,
2:55.0,,,20-24,,S. Hawes enters the game for A. Jefferson
2:55.0,,,20-24,,J. Lin enters the game for K. Walker
2:50.0,A. Crabbe makes 2-pt shot from 20 ft (assist by E. Davis),2,22-24,,
2:30.0,,,22-27,3,J. Lamb makes 3-pt shot from 26 ft (assist by S. Hawes)
2:08.0,M. Harkless misses 3-pt shot from 25 ft,,22-27,,
2:07.0,,,22-27,,Defensive rebound by C. Zeller
1:44.0,,,22-30,3,J. Lin makes 3-pt shot from 23 ft (assist by J. Lamb)
1:33.0,D. Lillard misses 2-pt shot from 1 ft,,22-30,,
1:33.0,,,22-30,,Defensive rebound by Team
1:20.0,,,22-30,,S. Hawes misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by C. Alexander,,22-30,,
1:13.0,D. Lillard makes 2-pt shot at rim,2,24-30,,
1:13.0,Shooting foul by S. Hawes (drawn by D. Lillard),,24-30,,
1:13.0,C. McCollum enters the game for M. Harkless,,24-30,,
1:13.0,D. Lillard makes free throw 1 of 1,1,25-30,,
0:59.0,,,25-32,2,N. Batum makes 2-pt shot from 17 ft (assist by S. Hawes)
0:47.0,D. Lillard makes 2-pt shot from 11 ft,2,27-32,,
0:30.0,,,27-32,,C. Zeller misses 2-pt shot from 1 ft (block by C. Alexander)
0:28.0,Defensive rebound by D. Lillard,,27-32,,
0:19.0,E. Davis misses 2-pt shot from 5 ft,,27-32,,
0:18.0,,,27-32,,Defensive rebound by S. Hawes
0:07.0,Personal foul by A. Crabbe (drawn by N. Batum),,27-32,,
0:07.0,G. Henderson enters the game for D. Lillard,,27-32,,
0:00.0,,,27-35,3,N. Batum makes 3-pt shot from 26 ft (assist by J. Lamb)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-37,2,J. Lin makes 2-pt shot from 2 ft
11:17.0,G. Henderson misses 2-pt shot from 14 ft,,27-37,,
11:15.0,Offensive rebound by M. Harkless,,27-37,,
11:03.0,A. Aminu misses 2-pt shot from 1 ft,,27-37,,
11:03.0,,,27-37,,Defensive rebound by Team
10:46.0,,,27-39,2,J. Lamb makes 2-pt shot at rim
10:21.0,Turnover by G. Henderson (bad pass; steal by J. Lin),,27-39,,
10:19.0,Personal foul by A. Aminu (drawn by J. Lin),,27-39,,
10:19.0,A. Crabbe enters the game for A. Aminu,,27-39,,
10:06.0,,,27-39,,J. Lamb misses 3-pt shot from 27 ft
10:05.0,,,27-39,,Offensive rebound by Team
9:59.0,,,27-41,2,J. Lamb makes 2-pt shot at rim (assist by S. Hawes)
9:59.0,Portland full timeout,,27-41,,
9:43.0,G. Henderson misses 3-pt shot from 23 ft,,27-41,,
9:42.0,,,27-41,,Defensive rebound by J. Lamb
9:26.0,,,27-43,2,M. Williams makes 2-pt shot from 22 ft (assist by J. Lin)
9:07.0,E. Davis misses 2-pt shot from 1 ft (block by J. Lamb),,27-43,,
9:07.0,Offensive rebound by M. Harkless,,27-43,,
8:55.0,C. McCollum misses 3-pt shot from 24 ft,,27-43,,
8:54.0,,,27-43,,Defensive rebound by C. Zeller
8:35.0,,,27-43,,C. Zeller misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by E. Davis,,27-43,,
8:28.0,C. McCollum misses 2-pt shot from 2 ft (block by C. Zeller),,27-43,,
8:28.0,,,27-43,,Defensive rebound by Team
8:28.0,N. Vonleh enters the game for M. Harkless,,27-43,,
8:13.0,,,27-45,2,J. Lamb makes 2-pt shot from 19 ft (assist by S. Hawes)
7:59.0,Offensive foul by N. Vonleh,,27-45,,
7:59.0,Turnover by N. Vonleh (offensive foul),,27-45,,
7:59.0,D. Lillard enters the game for A. Crabbe,,27-45,,
7:50.0,,,27-47,2,J. Lamb makes 2-pt shot at rim (assist by J. Lin)
7:33.0,G. Henderson misses 2-pt shot from 15 ft,,27-47,,
7:31.0,Offensive rebound by N. Vonleh,,27-47,,
7:31.0,Shooting foul by J. Lamb (drawn by N. Vonleh),,27-47,,
7:31.0,N. Vonleh misses free throw 1 of 2,,27-47,,
7:31.0,Offensive rebound by Team,,27-47,,
7:31.0,,,27-47,,P. Hairston enters the game for C. Zeller
7:31.0,N. Vonleh makes free throw 2 of 2,1,28-47,,
7:24.0,,,28-47,,Offensive foul by M. Williams
7:24.0,,,28-47,,Turnover by M. Williams (offensive foul)
7:10.0,D. Lillard misses 2-pt shot from 13 ft,,28-47,,
7:09.0,,,28-47,,Defensive rebound by M. Williams
6:57.0,,,28-47,,J. Lin misses 2-pt shot from 11 ft
6:56.0,Defensive rebound by G. Henderson,,28-47,,
6:48.0,Turnover by G. Henderson (bad pass; steal by P. Hairston),,28-47,,
6:42.0,,,28-47,,J. Lin misses 2-pt shot from 1 ft
6:40.0,,,28-47,,Offensive rebound by P. Hairston
6:40.0,,,28-49,2,P. Hairston makes 2-pt shot at rim
6:39.0,Portland full timeout,,28-49,,
6:39.0,,,28-49,,A. Jefferson enters the game for S. Hawes
6:39.0,,,28-49,,K. Walker enters the game for J. Lin
6:31.0,Turnover by D. Lillard (lost ball),,28-49,,
6:09.0,,,28-49,,Shooting foul by E. Davis (drawn by A. Jefferson)
6:09.0,,,28-50,1,A. Jefferson makes free throw 1 of 2
6:09.0,M. Plumlee enters the game for E. Davis,,28-50,,
6:09.0,,,28-50,,N. Batum enters the game for P. Hairston
6:09.0,,,28-50,,A. Jefferson misses free throw 2 of 2
6:08.0,Defensive rebound by N. Vonleh,,28-50,,
5:52.0,C. McCollum misses 2-pt shot from 17 ft,,28-50,,
5:51.0,Offensive rebound by M. Plumlee,,28-50,,
5:46.0,D. Lillard makes 2-pt shot from 19 ft,2,30-50,,
5:33.0,Personal foul by G. Henderson (drawn by N. Batum),,30-50,,
5:33.0,Official timeout,,30-50,,
5:33.0,A. Crabbe enters the game for G. Henderson,,30-50,,
5:29.0,Personal foul by A. Crabbe (drawn by M. Williams),,30-50,,
5:16.0,,,30-52,2,A. Jefferson makes 2-pt shot from 16 ft
5:03.0,A. Crabbe makes 2-pt shot from 20 ft (assist by N. Vonleh),2,32-52,,
4:50.0,,,32-54,2,A. Jefferson makes 2-pt shot from 3 ft (assist by N. Batum)
4:35.0,C. McCollum misses 3-pt shot from 25 ft,,32-54,,
4:34.0,,,32-54,,Defensive rebound by J. Lamb
4:32.0,Personal foul by C. McCollum (drawn by N. Batum),,32-54,,
4:32.0,,,32-54,,N. Batum misses free throw 1 of 2
4:32.0,,,32-54,,Offensive rebound by Team
4:32.0,,,32-55,1,N. Batum makes free throw 2 of 2
4:12.0,Offensive foul by N. Vonleh,,32-55,,
4:12.0,Turnover by N. Vonleh (offensive foul),,32-55,,
4:01.0,,,32-58,3,N. Batum makes 3-pt shot from 24 ft (assist by A. Jefferson)
3:52.0,D. Lillard misses 3-pt shot from 27 ft,,32-58,,
3:50.0,Offensive rebound by A. Crabbe,,32-58,,
3:44.0,D. Lillard makes 2-pt shot from 1 ft,2,34-58,,
3:44.0,Shooting foul by A. Jefferson (drawn by D. Lillard),,34-58,,
3:44.0,D. Lillard makes free throw 1 of 1,1,35-58,,
3:30.0,,,35-58,,N. Batum misses 2-pt shot from 10 ft
3:29.0,Defensive rebound by N. Vonleh,,35-58,,
3:21.0,D. Lillard makes 2-pt shot from 6 ft,2,37-58,,
3:04.0,,,37-60,2,K. Walker makes 2-pt shot from 2 ft
2:50.0,A. Crabbe misses 2-pt shot from 17 ft,,37-60,,
2:48.0,Offensive rebound by M. Plumlee,,37-60,,
2:36.0,C. McCollum misses 2-pt shot from 2 ft (block by M. Williams),,37-60,,
2:36.0,Offensive rebound by Team,,37-60,,
2:36.0,,,37-60,,Charlotte full timeout
2:36.0,,,37-60,,C. Zeller enters the game for M. Williams
2:30.0,A. Crabbe makes 2-pt shot at rim,2,39-60,,
2:11.0,,,39-60,,Shooting foul by M. Plumlee (drawn by C. Zeller)
2:11.0,,,39-61,1,C. Zeller makes free throw 1 of 2
2:11.0,,,39-61,,C. Zeller misses free throw 2 of 2
2:10.0,Defensive rebound by A. Crabbe,,39-61,,
2:02.0,D. Lillard misses 3-pt shot from 24 ft,,39-61,,
2:00.0,,,39-61,,Defensive rebound by J. Lamb
1:56.0,Personal foul by A. Crabbe (drawn by N. Batum),,39-61,,
1:56.0,,,39-62,1,N. Batum makes free throw 1 of 2
1:56.0,M. Harkless enters the game for A. Crabbe,,39-62,,
1:56.0,,,39-63,1,N. Batum makes free throw 2 of 2
1:43.0,Shooting foul by N. Batum (drawn by C. McCollum),,39-63,,
1:43.0,C. McCollum makes free throw 1 of 2,1,40-63,,
1:43.0,C. McCollum makes free throw 2 of 2,1,41-63,,
1:29.0,,,41-66,3,N. Batum makes 3-pt shot from 25 ft (assist by C. Zeller)
1:20.0,,,41-66,,Violation by J. Lamb (kicked ball)
1:12.0,D. Lillard misses 2-pt shot from 1 ft,,41-66,,
1:11.0,Offensive rebound by M. Plumlee,,41-66,,
1:11.0,M. Plumlee misses 2-pt shot from 1 ft,,41-66,,
1:07.0,,,41-66,,Defensive rebound by K. Walker
1:01.0,,,41-66,,J. Lamb misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by M. Plumlee,,41-66,,
0:57.0,,,41-66,,Personal foul by K. Walker
0:57.0,,,41-66,,Technical foul by K. Walker
0:57.0,D. Lillard misses technical free throw,,41-66,,
0:57.0,Offensive rebound by Team,,41-66,,
0:57.0,M. Harkless makes free throw 1 of 2,1,42-66,,
0:57.0,M. Harkless makes free throw 2 of 2,1,43-66,,
0:40.0,,,43-68,2,A. Jefferson makes 2-pt shot from 3 ft
0:40.0,,,43-68,,Shooting foul by M. Plumlee (drawn by A. Jefferson)
0:40.0,A. Crabbe enters the game for N. Vonleh,,43-68,,
0:40.0,,,43-68,,M. Williams enters the game for C. Zeller
0:40.0,,,43-69,1,A. Jefferson makes free throw 1 of 1
0:34.0,D. Lillard makes 2-pt shot from 1 ft,2,45-69,,
0:24.0,,,45-69,,K. Walker misses 3-pt shot from 24 ft
0:22.0,,,45-69,,Offensive rebound by A. Jefferson
0:22.0,,,45-71,2,A. Jefferson makes 2-pt shot from 1 ft
0:01.0,D. Lillard misses 2-pt shot from 18 ft,,45-71,,
0:00.0,,,45-71,,Defensive rebound by M. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,,,45-73,2,A. Jefferson makes 2-pt shot from 9 ft
11:20.0,A. Aminu makes 2-pt shot from 6 ft,2,47-73,,
11:14.0,Personal foul by M. Plumlee (drawn by A. Jefferson),,47-73,,
11:02.0,,,47-73,,K. Walker misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by A. Aminu,,47-73,,
10:51.0,M. Plumlee makes 2-pt shot from 2 ft (assist by A. Aminu),2,49-73,,
10:34.0,,,49-73,,Turnover by N. Batum (bad pass; steal by D. Lillard)
10:29.0,C. McCollum misses 2-pt shot from 14 ft,,49-73,,
10:27.0,Offensive rebound by N. Vonleh,,49-73,,
10:26.0,N. Vonleh misses 2-pt shot from 1 ft (block by A. Jefferson),,49-73,,
10:23.0,,,49-73,,Defensive rebound by M. Williams
10:17.0,,,49-75,2,A. Jefferson makes 2-pt shot from 2 ft (assist by K. Walker)
10:17.0,,,49-75,,Shooting foul by C. McCollum (drawn by A. Jefferson)
10:17.0,,,49-76,1,A. Jefferson makes free throw 1 of 1
10:04.0,Shooting foul by N. Batum (drawn by A. Aminu),,49-76,,
10:04.0,A. Aminu makes free throw 1 of 2,1,50-76,,
10:04.0,A. Aminu makes free throw 2 of 2,1,51-76,,
9:51.0,Personal foul by N. Vonleh (drawn by K. Walker),,51-76,,
9:46.0,,,51-76,,N. Batum misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by N. Vonleh,,51-76,,
9:36.0,D. Lillard misses 2-pt shot from 20 ft,,51-76,,
9:34.0,,,51-76,,Defensive rebound by N. Batum
9:22.0,,,51-76,,M. Williams misses 3-pt shot from 22 ft
9:21.0,Defensive rebound by D. Lillard,,51-76,,
9:11.0,N. Vonleh makes 2-pt shot from 2 ft,2,53-76,,
8:52.0,,,53-78,2,J. Lamb makes 2-pt shot from 1 ft (assist by A. Jefferson)
8:39.0,N. Vonleh misses 3-pt shot from 26 ft,,53-78,,
8:37.0,,,53-78,,Defensive rebound by N. Batum
8:27.0,,,53-78,,J. Lamb misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by M. Plumlee,,53-78,,
8:15.0,Turnover by D. Lillard (lost ball; steal by K. Walker),,53-78,,
8:09.0,,,53-80,2,N. Batum makes 2-pt shot at rim (assist by J. Lamb)
7:48.0,C. McCollum misses 3-pt shot from 24 ft,,53-80,,
7:47.0,,,53-80,,Defensive rebound by A. Jefferson
7:37.0,,,53-82,2,M. Williams makes 2-pt shot from 1 ft
7:37.0,Portland full timeout,,53-82,,
7:23.0,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard),3,56-82,,
7:02.0,,,56-82,,A. Jefferson misses 2-pt shot from 2 ft (block by M. Plumlee)
7:00.0,Defensive rebound by C. McCollum,,56-82,,
6:53.0,D. Lillard misses 3-pt shot from 22 ft,,56-82,,
6:53.0,Offensive rebound by N. Vonleh,,56-82,,
6:53.0,Shooting foul by A. Jefferson (drawn by N. Vonleh),,56-82,,
6:53.0,N. Vonleh makes free throw 1 of 2,1,57-82,,
6:53.0,N. Vonleh makes free throw 2 of 2,1,58-82,,
6:39.0,,,58-82,,Turnover by K. Walker (bad pass; steal by A. Aminu)
6:28.0,C. McCollum misses 3-pt shot from 25 ft,,58-82,,
6:27.0,,,58-82,,Defensive rebound by M. Williams
6:10.0,,,58-82,,Turnover by A. Jefferson (bad pass; steal by C. McCollum)
5:59.0,D. Lillard misses 3-pt shot from 26 ft,,58-82,,
5:57.0,,,58-82,,Defensive rebound by M. Williams
5:46.0,,,58-82,,Turnover by J. Lamb (turnover)
5:30.0,M. Plumlee misses 2-pt shot from 4 ft (block by M. Williams),,58-82,,
5:27.0,Offensive rebound by M. Plumlee,,58-82,,
5:27.0,M. Plumlee misses 2-pt shot from 1 ft (block by J. Lamb),,58-82,,
5:25.0,Offensive rebound by M. Plumlee,,58-82,,
5:23.0,Turnover by M. Plumlee (bad pass; steal by K. Walker),,58-82,,
5:12.0,,,58-82,,K. Walker misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by M. Plumlee,,58-82,,
5:03.0,D. Lillard misses 2-pt shot from 1 ft,,58-82,,
4:58.0,,,58-82,,Defensive rebound by A. Jefferson
4:50.0,,,58-82,,A. Jefferson misses 2-pt shot from 18 ft
4:49.0,Defensive rebound by C. McCollum,,58-82,,
4:36.0,C. McCollum misses 2-pt shot from 21 ft,,58-82,,
4:35.0,,,58-82,,Defensive rebound by M. Williams
4:19.0,,,58-82,,K. Walker misses 2-pt shot from 12 ft
4:18.0,Defensive rebound by M. Plumlee,,58-82,,
4:07.0,D. Lillard misses 2-pt shot from 14 ft,,58-82,,
4:07.0,Offensive rebound by M. Plumlee,,58-82,,
4:07.0,Shooting foul by J. Lamb (drawn by M. Plumlee),,58-82,,
4:07.0,M. Plumlee makes free throw 1 of 2,1,59-82,,
4:07.0,,,59-82,,J. Lin enters the game for M. Williams
4:07.0,,,59-82,,C. Zeller enters the game for A. Jefferson
4:07.0,,,59-82,,S. Hawes enters the game for J. Lamb
4:07.0,A. Crabbe enters the game for N. Vonleh,,59-82,,
4:07.0,C. Alexander enters the game for C. McCollum,,59-82,,
4:07.0,M. Plumlee makes free throw 2 of 2,1,60-82,,
3:58.0,Personal foul by A. Aminu (drawn by N. Batum),,60-82,,
3:58.0,E. Davis enters the game for M. Plumlee,,60-82,,
3:41.0,,,60-82,,J. Lin misses 2-pt shot from 14 ft
3:39.0,,,60-82,,Offensive rebound by C. Zeller
3:35.0,,,60-85,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
3:08.0,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe),2,62-85,,
2:56.0,,,62-87,2,N. Batum makes 2-pt shot from 11 ft
2:39.0,Turnover by D. Lillard (lost ball),,62-87,,
2:39.0,,,62-87,,Charlotte full timeout
2:24.0,,,62-87,,J. Lin misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by E. Davis,,62-87,,
2:10.0,A. Crabbe makes 2-pt shot from 22 ft (assist by D. Lillard),2,64-87,,
2:00.0,,,64-87,,Turnover by N. Batum (bad pass)
1:45.0,E. Davis misses 2-pt shot at rim,,64-87,,
1:44.0,,,64-87,,Defensive rebound by N. Batum
1:37.0,,,64-87,,N. Batum misses 2-pt shot from 2 ft
1:36.0,Defensive rebound by E. Davis,,64-87,,
1:22.0,C. Alexander misses 2-pt shot from 5 ft,,64-87,,
1:20.0,,,64-87,,Defensive rebound by S. Hawes
1:07.0,,,64-87,,C. Zeller misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by A. Aminu,,64-87,,
0:58.0,D. Lillard makes 2-pt shot from 1 ft (assist by A. Aminu),2,66-87,,
0:40.0,,,66-87,,K. Walker misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by A. Aminu,,66-87,,
0:31.0,D. Lillard misses 3-pt shot from 25 ft,,66-87,,
0:30.0,,,66-87,,Defensive rebound by Team
0:30.0,Loose ball foul by E. Davis (drawn by S. Hawes),,66-87,,
0:30.0,,,66-88,1,S. Hawes makes free throw 1 of 2
0:30.0,,,66-89,1,S. Hawes makes free throw 2 of 2
0:07.0,A. Crabbe misses 2-pt shot from 2 ft,,66-89,,
0:06.0,,,66-89,,Defensive rebound by C. Zeller
0:00.0,,,66-89,,N. Batum misses 3-pt shot from 27 ft
0:00.0,,,66-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,E. Davis misses 2-pt shot from 1 ft (block by S. Hawes),,66-89,,
11:39.0,,,66-89,,Offensive rebound by Team
11:39.0,Jump ball: E. Davis vs. S. Hawes (M. Williams gains possession),,,,Jump ball: E. Davis vs. S. Hawes (M. Williams gains possession)
11:26.0,Personal foul by A. Crabbe (drawn by J. Lin),,66-89,,
11:18.0,,,66-89,,S. Hawes misses 3-pt shot from 25 ft
11:16.0,,,66-89,,Offensive rebound by C. Zeller
11:13.0,,,66-89,,J. Lin misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by Team,,66-89,,
11:00.0,A. Crabbe makes 2-pt shot from 18 ft (assist by E. Davis),2,68-89,,
10:40.0,,,68-89,,M. Williams misses 2-pt shot from 10 ft
10:39.0,Defensive rebound by C. Alexander,,68-89,,
10:34.0,C. McCollum misses 2-pt shot from 8 ft (block by J. Lin),,68-89,,
10:33.0,,,68-89,,Defensive rebound by M. Williams
10:33.0,Personal foul by E. Davis (drawn by M. Williams),,68-89,,
10:21.0,,,68-89,,J. Lin misses 3-pt shot from 24 ft
10:20.0,,,68-89,,Offensive rebound by B. Roberts
10:14.0,,,68-91,2,M. Williams makes 2-pt shot from 22 ft (assist by B. Roberts)
10:01.0,,,68-91,,Personal foul by J. Lin (drawn by A. Crabbe)
9:43.0,C. McCollum makes 2-pt shot from 4 ft (assist by M. Harkless),2,70-91,,
9:21.0,,,70-91,,Turnover by C. Zeller (3 sec)
9:05.0,C. McCollum makes 2-pt shot from 17 ft,2,72-91,,
8:49.0,,,72-91,,Turnover by J. Lin (bad pass; steal by M. Harkless)
8:44.0,C. McCollum makes 3-pt shot from 24 ft (assist by A. Crabbe),3,75-91,,
8:44.0,,,75-91,,Charlotte full timeout
8:44.0,,,75-91,,N. Batum enters the game for M. Williams
8:44.0,,,75-91,,K. Walker enters the game for B. Roberts
8:35.0,,,75-91,,Turnover by K. Walker (bad pass; steal by E. Davis)
8:27.0,A. Crabbe makes 2-pt shot from 13 ft (assist by C. McCollum),2,77-91,,
8:13.0,,,77-91,,Turnover by S. Hawes (offensive foul)
8:13.0,,,77-91,,Offensive foul by S. Hawes
7:56.0,M. Harkless makes 2-pt shot from 1 ft (assist by E. Davis),2,79-91,,
7:31.0,,,79-91,,K. Walker misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by C. Alexander,,79-91,,
7:18.0,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),3,82-91,,
7:00.0,,,82-91,,J. Lin misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by E. Davis,,82-91,,
6:50.0,Shooting foul by K. Walker (drawn by C. McCollum),,82-91,,
6:50.0,C. McCollum makes free throw 1 of 2,1,83-91,,
6:50.0,,,83-91,,J. Lamb enters the game for J. Lin
6:50.0,,,83-91,,A. Jefferson enters the game for S. Hawes
6:50.0,C. McCollum makes free throw 2 of 2,1,84-91,,
6:31.0,,,84-91,,N. Batum misses 3-pt shot from 25 ft
6:30.0,,,84-91,,Offensive rebound by C. Zeller
6:16.0,,,84-93,2,N. Batum makes 2-pt shot from 5 ft (assist by K. Walker)
6:04.0,A. Crabbe misses 2-pt shot from 2 ft (block by C. Zeller),,84-93,,
6:04.0,,,84-93,,Defensive rebound by Team
6:04.0,,,84-93,,M. Williams enters the game for C. Zeller
5:50.0,,,84-95,2,N. Batum makes 2-pt shot from 1 ft (assist by M. Williams)
5:50.0,,,84-95,,Shooting foul by E. Davis (drawn by N. Batum)
5:50.0,Official timeout,,84-95,,
5:50.0,A. Aminu enters the game for C. McCollum,,84-95,,
5:50.0,D. Lillard enters the game for M. Harkless,,84-95,,
5:50.0,,,84-96,1,N. Batum makes free throw 1 of 1
5:40.0,D. Lillard misses 3-pt shot from 28 ft,,84-96,,
5:39.0,,,84-96,,Defensive rebound by J. Lamb
5:28.0,,,84-98,2,N. Batum makes 2-pt shot from 17 ft (assist by K. Walker)
5:13.0,A. Aminu misses 2-pt shot from 2 ft,,84-98,,
5:12.0,Offensive rebound by C. Alexander,,84-98,,
5:12.0,C. Alexander makes 2-pt shot from 1 ft,2,86-98,,
5:00.0,Violation by D. Lillard (kicked ball),,86-98,,
4:53.0,,,86-98,,J. Lamb misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by D. Lillard,,86-98,,
4:45.0,Shooting foul by A. Jefferson (drawn by D. Lillard),,86-98,,
4:45.0,D. Lillard makes free throw 1 of 2,1,87-98,,
4:45.0,M. Harkless enters the game for C. Alexander,,87-98,,
4:45.0,D. Lillard makes free throw 2 of 2,1,88-98,,
4:25.0,,,88-98,,N. Batum misses 2-pt shot from 6 ft
4:24.0,Defensive rebound by E. Davis,,88-98,,
4:18.0,D. Lillard misses 3-pt shot from 25 ft,,88-98,,
4:17.0,,,88-98,,Defensive rebound by K. Walker
4:02.0,,,88-98,,A. Jefferson misses 2-pt shot from 10 ft
4:01.0,Defensive rebound by D. Lillard,,88-98,,
3:52.0,Turnover by D. Lillard (bad pass; steal by A. Jefferson),,88-98,,
3:34.0,,,88-98,,A. Jefferson misses 2-pt shot from 4 ft (block by E. Davis)
3:34.0,,,88-98,,Offensive rebound by Team
3:34.0,C. McCollum enters the game for A. Crabbe,,88-98,,
3:28.0,,,88-98,,K. Walker misses 2-pt shot from 3 ft
3:28.0,Defensive rebound by Team,,88-98,,
