time,Utah,pts.away,score,pts.home,Milwaukee
7:26.0,D. Favors misses 2-pt shot from 20 ft,,12-7,,
7:25.0,,,12-7,,Defensive rebound by J. Parker
7:18.0,,,12-7,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by D. Favors,,12-7,,
7:03.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,14-7,,
6:42.0,,,14-9,2,J. Parker makes 2-pt shot from 19 ft (assist by J. Bayless)
6:17.0,R. Hood misses 3-pt shot from 23 ft,,14-9,,
6:15.0,Offensive rebound by D. Favors,,14-9,,
6:06.0,Turnover by R. Gobert (bad pass),,14-9,,
5:54.0,,,14-9,,G. Monroe misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by S. Mack,,14-9,,
5:36.0,G. Hayward misses 3-pt shot from 24 ft,,14-9,,
5:35.0,,,14-9,,Defensive rebound by G. Antetokounmpo
5:23.0,,,14-9,,G. Antetokounmpo misses 2-pt shot from 19 ft
5:22.0,Defensive rebound by G. Hayward,,14-9,,
5:07.0,Shooting foul by J. Bayless (drawn by S. Mack),,14-9,,
5:07.0,,,14-9,,Milwaukee full timeout
5:07.0,,,14-9,,J. Henson enters the game for J. Parker
5:07.0,,,14-9,,M. Plumlee enters the game for G. Monroe
5:07.0,T. Booker enters the game for G. Hayward,,14-9,,
5:07.0,J. Ingles enters the game for R. Gobert,,14-9,,
5:07.0,S. Mack makes free throw 1 of 2,1,15-9,,
5:07.0,S. Mack makes free throw 2 of 2,1,16-9,,
4:51.0,,,16-11,2,J. Henson makes 2-pt shot from 1 ft (assist by J. Bayless)
4:35.0,R. Hood misses 3-pt shot from 25 ft,,16-11,,
4:32.0,Offensive rebound by D. Favors,,16-11,,
4:22.0,S. Mack misses 2-pt shot from 1 ft,,16-11,,
4:20.0,,,16-11,,Defensive rebound by G. Antetokounmpo
4:13.0,,,16-11,,G. Antetokounmpo misses 2-pt shot at rim
4:09.0,,,16-11,,Offensive rebound by M. Plumlee
4:09.0,,,16-13,2,M. Plumlee makes 2-pt shot at rim
3:45.0,S. Mack makes 2-pt shot from 2 ft (assist by R. Hood),2,18-13,,
3:20.0,,,18-15,2,K. Middleton makes 2-pt shot at rim
3:11.0,T. Booker misses 2-pt shot from 1 ft,,18-15,,
3:09.0,,,18-15,,Defensive rebound by M. Plumlee
2:51.0,,,18-15,,J. Henson misses 2-pt shot from 2 ft
2:49.0,Defensive rebound by D. Favors,,18-15,,
2:35.0,Utah full timeout,,18-15,,
2:35.0,,,18-15,,T. Ennis enters the game for J. Bayless
2:25.0,R. Hood makes 3-pt shot from 24 ft (assist by S. Mack),3,21-15,,
2:08.0,,,21-17,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
1:54.0,R. Hood misses 2-pt shot from 8 ft,,21-17,,
1:53.0,,,21-17,,Defensive rebound by J. Henson
1:44.0,,,21-20,3,K. Middleton makes 3-pt shot from 24 ft (assist by T. Ennis)
1:29.0,D. Favors misses 2-pt shot from 1 ft (block by M. Plumlee),,21-20,,
1:27.0,,,21-20,,Defensive rebound by G. Antetokounmpo
1:27.0,Personal foul by J. Ingles,,21-20,,
1:27.0,R. Neto enters the game for S. Mack,,21-20,,
1:26.0,Personal foul by T. Booker,,21-20,,
1:26.0,,,21-21,1,J. Henson makes free throw 1 of 2
1:26.0,,,21-22,1,J. Henson makes free throw 2 of 2
1:10.0,Shooting foul by J. Henson (drawn by D. Favors),,21-22,,
1:10.0,D. Favors makes free throw 1 of 2,1,22-22,,
1:10.0,D. Favors makes free throw 2 of 2,1,23-22,,
0:52.0,,,23-22,,K. Middleton misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by J. Ingles,,23-22,,
0:43.0,Turnover by R. Hood (traveling),,23-22,,
0:36.0,,,23-22,,Turnover by G. Antetokounmpo (lost ball; steal by R. Hood)
0:21.0,D. Favors misses 2-pt shot from 1 ft (block by J. Henson),,23-22,,
0:19.0,,,23-22,,Defensive rebound by T. Ennis
0:04.0,,,23-22,,Shooting foul by D. Favors (drawn by M. Plumlee)
0:04.0,,,23-22,,M. Plumlee misses free throw 1 of 2
0:04.0,,,23-22,,Offensive rebound by Team
0:04.0,,,23-22,,J. Cunningham enters the game for K. Middleton
0:04.0,,,23-22,,M. Plumlee misses free throw 2 of 2
0:03.0,Defensive rebound by R. Hood,,23-22,,
0:01.0,R. Hood misses 3-pt shot from 36 ft,,23-22,,
0:00.0,Offensive rebound by Team,,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-22,,T. Ennis misses 2-pt shot at rim
11:47.0,Defensive rebound by J. Ingles,,23-22,,
11:26.0,Turnover by J. Ingles (lost ball; steal by T. Ennis),,23-22,,
11:21.0,,,23-24,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
11:08.0,,,23-24,,Personal foul by T. Ennis
10:56.0,R. Neto misses 3-pt shot from 23 ft,,23-24,,
10:55.0,,,23-24,,Defensive rebound by J. Parker
10:33.0,,,23-24,,M. Plumlee misses 2-pt shot from 9 ft
10:31.0,Defensive rebound by R. Gobert,,23-24,,
10:22.0,G. Hayward misses 3-pt shot from 23 ft,,23-24,,
10:21.0,,,23-24,,Defensive rebound by T. Ennis
10:02.0,,,23-24,,J. Henson misses 2-pt shot from 9 ft
10:00.0,Defensive rebound by T. Booker,,23-24,,
9:39.0,G. Hayward misses 3-pt shot from 24 ft,,23-24,,
9:37.0,Offensive rebound by G. Hayward,,23-24,,
9:33.0,Turnover by G. Hayward (bad pass),,23-24,,
9:33.0,T. Lyles enters the game for J. Ingles,,23-24,,
9:33.0,C. Johnson enters the game for T. Booker,,23-24,,
9:21.0,,,23-26,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
8:57.0,C. Johnson misses 3-pt shot from 22 ft,,23-26,,
8:55.0,Offensive rebound by T. Lyles,,23-26,,
8:45.0,T. Lyles makes 2-pt shot at rim,2,25-26,,
8:25.0,,,25-26,,J. Parker misses 2-pt shot from 14 ft
8:24.0,Defensive rebound by R. Gobert,,25-26,,
8:08.0,R. Neto makes 3-pt shot from 24 ft (assist by C. Johnson),3,28-26,,
7:48.0,,,28-26,,Offensive foul by T. Ennis
7:48.0,,,28-26,,Turnover by T. Ennis (offensive foul)
7:48.0,Official timeout,,28-26,,
7:48.0,S. Mack enters the game for R. Neto,,28-26,,
7:48.0,,,28-26,,J. Bayless enters the game for M. Plumlee
7:48.0,,,28-26,,D. Inglis enters the game for T. Ennis
7:30.0,G. Hayward misses 3-pt shot from 24 ft,,28-26,,
7:29.0,,,28-26,,Defensive rebound by J. Bayless
7:18.0,,,28-26,,D. Inglis misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by T. Lyles,,28-26,,
7:10.0,S. Mack makes 2-pt shot from 2 ft,2,30-26,,
6:56.0,,,30-26,,Turnover by D. Inglis (lost ball; steal by G. Hayward)
6:39.0,Turnover by R. Gobert (lost ball),,30-26,,
6:28.0,,,30-28,2,J. Henson makes 2-pt shot at rim (assist by J. Parker)
6:02.0,C. Johnson misses 3-pt shot from 24 ft,,30-28,,
6:01.0,,,30-28,,Defensive rebound by D. Inglis
5:42.0,,,30-28,,J. Henson misses 2-pt shot from 8 ft
5:40.0,Defensive rebound by R. Gobert,,30-28,,
5:23.0,T. Lyles makes 3-pt shot from 24 ft (assist by R. Gobert),3,33-28,,
5:06.0,Def 3 sec tech foul by R. Gobert,,33-28,,
5:06.0,,,33-28,,Milwaukee full timeout
5:06.0,,,33-28,,G. Monroe enters the game for J. Henson
5:06.0,,,33-28,,G. Antetokounmpo enters the game for J. Cunningham
5:06.0,R. Hood enters the game for R. Gobert,,33-28,,
5:06.0,D. Favors enters the game for C. Johnson,,33-28,,
5:06.0,,,33-29,1,J. Parker makes technical free throw
4:53.0,,,33-31,2,G. Antetokounmpo makes 2-pt shot from 22 ft (assist by J. Bayless)
4:29.0,Turnover by S. Mack (bad pass),,33-31,,
4:16.0,,,33-31,,G. Monroe misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by T. Lyles,,33-31,,
4:02.0,Turnover by S. Mack (lost ball; steal by G. Antetokounmpo),,33-31,,
3:56.0,,,33-31,,Turnover by G. Antetokounmpo (bad pass)
3:33.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,35-31,,
3:07.0,,,35-33,2,G. Antetokounmpo makes 2-pt shot from 22 ft
2:56.0,T. Lyles misses 2-pt shot at rim (block by G. Antetokounmpo),,35-33,,
2:53.0,,,35-33,,Defensive rebound by G. Antetokounmpo
2:51.0,Personal foul by S. Mack,,35-33,,
2:51.0,Utah full timeout,,35-33,,
2:51.0,,,35-33,,K. Middleton enters the game for D. Inglis
2:39.0,,,35-35,2,J. Parker makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
2:13.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,37-35,,
1:52.0,,,37-37,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
1:33.0,T. Lyles makes 2-pt shot from 12 ft (assist by S. Mack),2,39-37,,
1:08.0,,,39-39,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:45.0,D. Favors misses 2-pt shot from 5 ft (block by G. Antetokounmpo),,39-39,,
0:44.0,Offensive rebound by Team,,39-39,,
0:42.0,T. Lyles misses 2-pt shot from 8 ft,,39-39,,
0:41.0,,,39-39,,Defensive rebound by G. Monroe
0:33.0,,,39-41,2,K. Middleton makes 2-pt shot from 3 ft
0:15.0,T. Lyles misses 3-pt shot from 23 ft,,39-41,,
0:14.0,Offensive rebound by D. Favors,,39-41,,
0:01.0,T. Lyles makes 3-pt shot from 23 ft (assist by S. Mack),3,42-41,,
0:00.0,,,42-41,,G. Antetokounmpo misses 3-pt shot from 68 ft
0:00.0,,,42-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Violation by G. Hayward (kicked ball),,42-41,,
11:39.0,,,42-41,,G. Monroe misses 2-pt shot from 5 ft (block by R. Gobert)
11:35.0,Defensive rebound by R. Gobert,,42-41,,
11:14.0,Turnover by Team (shot clock),,42-41,,
10:57.0,,,42-43,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:52.0,,,42-43,,Personal foul by J. Parker
10:34.0,D. Favors misses 2-pt shot from 14 ft,,42-43,,
10:33.0,Offensive rebound by R. Gobert,,42-43,,
10:31.0,R. Gobert makes 2-pt shot at rim,2,44-43,,
10:20.0,,,44-45,2,K. Middleton makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
10:06.0,G. Hayward misses 3-pt shot from 24 ft,,44-45,,
10:05.0,,,44-45,,Defensive rebound by G. Monroe
9:59.0,,,44-47,2,G. Antetokounmpo makes 2-pt shot from 3 ft
9:37.0,Turnover by S. Mack (lost ball; steal by K. Middleton),,44-47,,
9:37.0,Personal foul by R. Hood,,44-47,,
9:21.0,,,44-49,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
9:04.0,R. Hood misses 3-pt shot from 25 ft,,44-49,,
9:02.0,,,44-49,,Defensive rebound by J. Parker
8:42.0,,,44-49,,J. Parker misses 2-pt shot from 1 ft (block by R. Gobert)
8:39.0,Defensive rebound by S. Mack,,44-49,,
8:33.0,G. Hayward makes 3-pt shot from 23 ft (assist by S. Mack),3,47-49,,
8:22.0,,,47-49,,Shooting foul by D. Favors (drawn by J. Parker)
8:22.0,,,47-50,1,J. Parker makes free throw 1 of 2
8:22.0,,,47-51,1,J. Parker makes free throw 2 of 2
8:06.0,D. Favors makes 2-pt shot from 5 ft (assist by R. Hood),2,49-51,,
7:52.0,,,49-51,,G. Antetokounmpo misses 2-pt shot from 19 ft
7:50.0,Defensive rebound by S. Mack,,49-51,,
7:39.0,D. Favors misses 2-pt shot at rim (block by J. Parker),,49-51,,
7:39.0,Offensive rebound by Team,,49-51,,
7:30.0,Turnover by S. Mack (lost ball; steal by K. Middleton),,49-51,,
7:14.0,,,49-51,,Turnover by J. Parker (lost ball; steal by G. Hayward)
7:08.0,G. Hayward makes 2-pt shot at rim (assist by S. Mack),2,51-51,,
6:54.0,,,51-51,,Shooting foul by R. Gobert (drawn by G. Antetokounmpo)
6:54.0,,,51-52,1,G. Antetokounmpo makes free throw 1 of 2
6:54.0,,,51-53,1,G. Antetokounmpo makes free throw 2 of 2
6:36.0,G. Hayward makes 2-pt shot from 13 ft,2,53-53,,
6:24.0,,,53-53,,Turnover by K. Middleton (lost ball; steal by R. Gobert)
6:18.0,Shooting foul by G. Antetokounmpo (drawn by R. Gobert),,53-53,,
6:18.0,R. Gobert makes free throw 1 of 2,1,54-53,,
6:18.0,R. Gobert makes free throw 2 of 2,1,55-53,,
6:09.0,,,55-53,,G. Monroe misses 2-pt shot from 18 ft
6:08.0,Defensive rebound by R. Gobert,,55-53,,
5:50.0,R. Hood misses 3-pt shot from 24 ft,,55-53,,
5:47.0,Offensive rebound by D. Favors,,55-53,,
5:31.0,R. Hood makes 2-pt shot at rim (assist by S. Mack),2,57-53,,
5:03.0,,,57-53,,K. Middleton misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by S. Mack,,57-53,,
4:54.0,Shooting foul by K. Middleton (drawn by G. Hayward),,57-53,,
4:54.0,,,57-53,,Milwaukee full timeout
4:54.0,,,57-53,,M. Plumlee enters the game for J. Parker
4:54.0,,,57-53,,J. Henson enters the game for G. Monroe
4:54.0,T. Lyles enters the game for D. Favors,,57-53,,
4:54.0,G. Hayward makes free throw 1 of 2,1,58-53,,
4:54.0,G. Hayward makes free throw 2 of 2,1,59-53,,
4:30.0,,,59-53,,Turnover by Team (shot clock)
4:22.0,,,59-53,,Def 3 sec tech foul by M. Plumlee
4:22.0,G. Hayward makes technical free throw,1,60-53,,
4:16.0,Turnover by R. Gobert (lost ball; steal by J. Bayless),,60-53,,
4:09.0,,,60-53,,Turnover by J. Bayless (lost ball; steal by R. Gobert)
3:59.0,S. Mack misses 2-pt shot from 7 ft,,60-53,,
3:56.0,Offensive rebound by R. Gobert,,60-53,,
3:53.0,R. Gobert makes 2-pt shot from 1 ft,2,62-53,,
3:41.0,,,62-53,,J. Bayless misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by R. Gobert,,62-53,,
3:32.0,S. Mack misses 2-pt shot at rim,,62-53,,
3:29.0,Offensive rebound by R. Gobert,,62-53,,
3:29.0,R. Gobert misses 2-pt shot from 2 ft (block by M. Plumlee),,62-53,,
3:26.0,Offensive rebound by R. Gobert,,62-53,,
3:12.0,Turnover by R. Hood (lost ball; steal by K. Middleton),,62-53,,
3:08.0,,,62-53,,Turnover by K. Middleton (lost ball)
3:08.0,Utah full timeout,,62-53,,
3:08.0,,,62-53,,J. Parker enters the game for G. Antetokounmpo
3:08.0,J. Ingles enters the game for R. Hood,,62-53,,
2:55.0,,,62-53,,Violation by K. Middleton (kicked ball)
2:47.0,T. Lyles makes 2-pt shot from 14 ft (assist by S. Mack),2,64-53,,
2:23.0,,,64-55,2,J. Bayless makes 2-pt shot from 6 ft
2:03.0,S. Mack makes 2-pt shot from 17 ft (assist by T. Lyles),2,66-55,,
1:46.0,,,66-55,,Turnover by J. Parker (lost ball; steal by S. Mack)
1:35.0,G. Hayward makes 3-pt shot from 24 ft,3,69-55,,
1:17.0,,,69-57,2,K. Middleton makes 2-pt shot from 1 ft
1:00.0,S. Mack makes 2-pt shot from 1 ft,2,71-57,,
1:00.0,Shooting foul by K. Middleton (drawn by S. Mack),,71-57,,
1:00.0,,,71-57,,T. Ennis enters the game for J. Bayless
1:00.0,S. Mack misses free throw 1 of 1,,71-57,,
1:00.0,,,71-57,,Defensive rebound by J. Parker
0:44.0,,,71-57,,K. Middleton misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by R. Gobert,,71-57,,
0:35.0,R. Neto enters the game for S. Mack,,71-57,,
0:29.0,T. Lyles misses 2-pt shot at rim (block by M. Plumlee),,71-57,,
0:28.0,Offensive rebound by Team,,71-57,,
0:24.0,Shooting foul by J. Henson (drawn by T. Lyles),,71-57,,
0:24.0,T. Lyles makes free throw 1 of 2,1,72-57,,
0:24.0,T. Lyles makes free throw 2 of 2,1,73-57,,
0:01.0,,,73-59,2,K. Middleton makes 2-pt shot from 11 ft
0:00.0,R. Neto misses 3-pt shot from 59 ft,,73-59,,
0:00.0,Offensive rebound by Team,,73-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,R. Neto misses 3-pt shot from 22 ft,,73-59,,
11:46.0,,,73-59,,Defensive rebound by J. Parker
11:34.0,,,73-61,2,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis)
11:07.0,D. Favors misses 2-pt shot at rim,,73-61,,
11:05.0,,,73-61,,Defensive rebound by J. Henson
11:02.0,,,73-61,,Shooting foul by R. Hood (drawn by J. Cunningham)
11:02.0,,,73-62,1,J. Cunningham makes free throw 1 of 2
11:02.0,,,73-63,1,J. Cunningham makes free throw 2 of 2
10:41.0,J. Ingles makes 3-pt shot from 23 ft (assist by T. Lyles),3,76-63,,
10:21.0,,,76-63,,T. Ennis misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by R. Hood,,76-63,,
10:03.0,J. Ingles makes 3-pt shot from 22 ft (assist by T. Lyles),3,79-63,,
10:00.0,,,79-63,,Milwaukee full timeout
9:47.0,,,79-65,2,J. Parker makes 2-pt shot from 2 ft
9:26.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Lyles),3,82-65,,
9:13.0,,,82-65,,J. Parker misses 2-pt shot from 18 ft
9:12.0,Defensive rebound by J. Ingles,,82-65,,
8:54.0,R. Hood misses 3-pt shot from 26 ft,,82-65,,
8:53.0,,,82-65,,Defensive rebound by J. Parker
8:46.0,,,82-65,,J. Cunningham misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by D. Favors,,82-65,,
8:37.0,Turnover by R. Neto (lost ball; steal by J. Parker),,82-65,,
8:32.0,,,82-67,2,J. Parker makes 2-pt shot at rim
8:21.0,,,82-67,,Personal foul by J. Parker
8:14.0,R. Neto misses 3-pt shot from 24 ft,,82-67,,
8:13.0,,,82-67,,Defensive rebound by J. Parker
8:07.0,,,82-67,,J. Parker misses 2-pt shot from 1 ft (block by D. Favors)
8:07.0,,,82-67,,Offensive rebound by Team
8:07.0,S. Mack enters the game for R. Neto,,82-67,,
8:07.0,R. Gobert enters the game for T. Lyles,,82-67,,
8:01.0,,,82-70,3,T. Ennis makes 3-pt shot from 24 ft (assist by J. Cunningham)
7:35.0,R. Hood misses 3-pt shot from 23 ft,,82-70,,
7:34.0,,,82-70,,Defensive rebound by J. Cunningham
7:23.0,,,82-70,,Turnover by J. Cunningham (lost ball; steal by D. Favors)
7:08.0,R. Hood makes 3-pt shot from 23 ft (assist by J. Ingles),3,85-70,,
6:54.0,,,85-72,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
6:29.0,R. Hood makes 2-pt shot from 8 ft (assist by S. Mack),2,87-72,,
6:14.0,,,87-74,2,T. Ennis makes 2-pt shot from 9 ft
6:08.0,Utah full timeout,,87-74,,
6:08.0,G. Hayward enters the game for J. Ingles,,87-74,,
6:08.0,J. Ingles enters the game for R. Hood,,87-74,,
6:08.0,,,87-74,,K. Middleton enters the game for J. Parker
6:08.0,,,87-74,,G. Antetokounmpo enters the game for M. Plumlee
6:08.0,,,87-74,,G. Monroe enters the game for J. Cunningham
5:53.0,J. Ingles makes 3-pt shot from 24 ft (assist by S. Mack),3,90-74,,
5:38.0,Personal foul by D. Favors,,90-74,,
5:31.0,,,90-76,2,J. Henson makes 2-pt shot at rim (assist by G. Monroe)
5:10.0,S. Mack misses 2-pt shot from 2 ft (block by J. Henson),,90-76,,
5:08.0,Offensive rebound by D. Favors,,90-76,,
5:05.0,D. Favors makes 2-pt shot at rim,2,92-76,,
4:50.0,,,92-76,,Shooting foul by R. Gobert (drawn by G. Monroe)
4:50.0,,,92-77,1,G. Monroe makes free throw 1 of 2
4:50.0,,,92-78,1,G. Monroe makes free throw 2 of 2
4:35.0,Turnover by S. Mack (lost ball; steal by T. Ennis),,92-78,,
4:33.0,Personal foul by G. Hayward,,92-78,,
4:33.0,R. Hood enters the game for J. Ingles,,92-78,,
4:28.0,,,92-78,,K. Middleton misses 2-pt shot from 15 ft
4:27.0,Defensive rebound by R. Hood,,92-78,,
4:11.0,D. Favors misses 2-pt shot at rim (block by G. Monroe),,92-78,,
4:11.0,Offensive rebound by Team,,92-78,,
4:11.0,T. Lyles enters the game for D. Favors,,92-78,,
4:07.0,G. Hayward misses 2-pt shot from 3 ft,,92-78,,
4:06.0,Offensive rebound by Team,,92-78,,
4:06.0,Turnover by G. Hayward (traveling),,92-78,,
3:56.0,,,92-78,,Turnover by K. Middleton (bad pass)
3:38.0,G. Hayward misses 3-pt shot from 25 ft,,92-78,,
3:37.0,Offensive rebound by R. Hood,,92-78,,
3:16.0,T. Lyles misses 2-pt shot from 2 ft,,92-78,,
3:15.0,,,92-78,,Defensive rebound by G. Monroe
3:08.0,,,92-78,,G. Monroe misses 2-pt shot at rim (block by R. Hood)
3:05.0,,,92-78,,Offensive rebound by G. Monroe
3:04.0,,,92-80,2,G. Monroe makes 2-pt shot at rim
2:50.0,G. Hayward misses 2-pt shot at rim (block by J. Henson),,92-80,,
2:49.0,Offensive rebound by Team,,92-80,,
2:49.0,Official timeout,,92-80,,
2:49.0,,,92-80,,M. Plumlee enters the game for G. Antetokounmpo
2:49.0,,,92-80,,D. Inglis enters the game for G. Monroe
2:49.0,,,92-80,,J. O'Bryant enters the game for K. Middleton
2:49.0,,,92-80,,J. Cunningham enters the game for J. Henson
2:44.0,S. Mack misses 3-pt shot from 23 ft,,92-80,,
2:43.0,Offensive rebound by R. Gobert,,92-80,,
2:40.0,R. Gobert misses 2-pt shot from 1 ft,,92-80,,
2:39.0,Offensive rebound by R. Gobert,,92-80,,
2:39.0,,,92-80,,Violation by M. Plumlee (def goaltending)
2:39.0,R. Gobert makes 2-pt shot from 1 ft,2,94-80,,
2:23.0,,,94-80,,D. Inglis misses 2-pt shot from 15 ft
2:22.0,Defensive rebound by T. Lyles,,94-80,,
1:59.0,T. Lyles misses 3-pt shot from 27 ft,,94-80,,
1:57.0,,,94-80,,Defensive rebound by D. Inglis
1:44.0,,,94-82,2,D. Inglis makes 2-pt shot from 4 ft (assist by T. Ennis)
1:22.0,G. Hayward misses 2-pt shot from 4 ft,,94-82,,
1:21.0,,,94-82,,Defensive rebound by J. O'Bryant
1:13.0,,,94-82,,Turnover by T. Ennis (lost ball; steal by R. Hood)
0:53.0,R. Gobert misses 2-pt shot at rim,,94-82,,
0:50.0,Offensive rebound by R. Hood,,94-82,,
0:48.0,Turnover by R. Hood (lost ball; steal by J. Cunningham),,94-82,,
0:47.0,,,94-82,,Shooting foul by G. Hayward (drawn by J. Cunningham)
0:47.0,,,94-83,1,J. Cunningham makes free throw 1 of 2
0:47.0,J. Ingles enters the game for G. Hayward,,94-83,,
0:47.0,,,94-84,1,J. Cunningham makes free throw 2 of 2
0:30.0,Turnover by S. Mack (bad pass),,94-84,,
0:12.0,,,94-84,,Shooting foul by S. Mack (drawn by M. Plumlee)
0:12.0,,,94-84,,M. Plumlee misses free throw 1 of 2
0:12.0,,,94-84,,Offensive rebound by Team
0:12.0,,,94-85,1,M. Plumlee makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
