time,Milwaukee,pts.away,score,pts.home,Houston
7:00.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,9-15,,
6:40.0,,,9-15,,Shooting foul by J. Bayless (drawn by C. Brewer)
6:40.0,,,9-16,1,C. Brewer makes free throw 1 of 2
6:40.0,,,9-16,,T. Lawson enters the game for J. Terry
6:40.0,,,9-17,1,C. Brewer makes free throw 2 of 2
6:24.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Bayless),2,11-17,,
6:09.0,,,11-20,3,T. Ariza makes 3-pt shot from 24 ft (assist by T. Lawson)
5:52.0,G. Monroe misses 2-pt shot from 5 ft,,11-20,,
5:51.0,,,11-20,,Defensive rebound by T. Lawson
5:48.0,Shooting block foul by G. Monroe (drawn by J. Harden),,11-20,,
5:48.0,,,11-21,1,J. Harden makes free throw 1 of 2
5:48.0,,,11-21,,T. Jones enters the game for C. Brewer
5:48.0,J. Henson enters the game for G. Monroe,,11-21,,
5:48.0,,,11-22,1,J. Harden makes free throw 2 of 2
5:41.0,,,11-22,,Personal foul by T. Lawson (drawn by J. Bayless)
5:31.0,J. Bayless misses 3-pt shot from 24 ft,,11-22,,
5:30.0,,,11-22,,Defensive rebound by C. Capela
5:15.0,,,11-22,,T. Jones misses 2-pt shot from 3 ft (block by K. Middleton)
5:14.0,,,11-22,,Offensive rebound by T. Jones
5:12.0,,,11-22,,T. Jones misses 2-pt shot from 3 ft (block by J. Henson)
5:11.0,Defensive rebound by J. Henson,,11-22,,
5:07.0,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton),2,13-22,,
4:55.0,,,13-22,,J. Harden misses 3-pt shot from 26 ft
4:53.0,,,13-22,,Offensive rebound by C. Capela
4:50.0,,,13-24,2,J. Harden makes 2-pt shot from 3 ft (assist by C. Capela)
4:33.0,J. Henson makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,15-24,,
4:21.0,,,15-24,,J. Harden misses 2-pt shot from 2 ft
4:20.0,Defensive rebound by K. Middleton,,15-24,,
4:15.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,17-24,,
4:15.0,,,17-24,,Houston full timeout
4:15.0,J. O'Bryant enters the game for M. Carter-Williams,,17-24,,
4:15.0,,,17-24,,J. Smith enters the game for C. Capela
4:04.0,,,17-24,,Shooting foul by G. Antetokounmpo (drawn by J. Harden)
4:04.0,,,17-25,1,J. Harden makes free throw 1 of 2
4:04.0,,,17-26,1,J. Harden makes free throw 2 of 2
3:52.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,17-26,,
3:51.0,,,17-26,,Defensive rebound by T. Jones
3:42.0,,,17-26,,T. Jones misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by J. Henson,,17-26,,
3:26.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by T. Jones),,17-26,,
3:25.0,,,17-26,,Defensive rebound by T. Jones
3:16.0,,,17-26,,T. Ariza misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by G. Antetokounmpo,,17-26,,
3:04.0,K. Middleton misses 2-pt shot from 1 ft,,17-26,,
3:04.0,,,17-26,,Defensive rebound by Team
3:04.0,,,17-26,,C. Brewer enters the game for T. Ariza
2:59.0,,,17-26,,Turnover by T. Lawson (traveling)
2:49.0,K. Middleton makes 2-pt shot from 21 ft,2,19-26,,
2:34.0,,,19-26,,J. Smith misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by Team,,19-26,,
2:34.0,,,19-26,,Loose ball foul by J. Harden (drawn by J. O'Bryant)
2:34.0,,,19-26,,M. Thornton enters the game for J. Harden
2:34.0,J. Parker enters the game for G. Antetokounmpo,,19-26,,
2:24.0,K. Middleton makes 2-pt shot from 21 ft (assist by J. Bayless),2,21-26,,
2:11.0,,,21-29,3,M. Thornton makes 3-pt shot from 24 ft (assist by C. Brewer)
1:54.0,K. Middleton misses 2-pt shot from 5 ft (block by J. Smith),,21-29,,
1:53.0,,,21-29,,Defensive rebound by Team
1:42.0,,,21-29,,J. Smith misses 2-pt shot from 7 ft (block by J. Henson)
1:41.0,Defensive rebound by J. O'Bryant,,21-29,,
1:28.0,J. Henson makes 2-pt shot at rim (assist by J. Parker),2,23-29,,
1:16.0,,,23-29,,Offensive charge foul by J. Smith
1:16.0,,,23-29,,Turnover by J. Smith (offensive foul)
1:05.0,K. Middleton makes 2-pt shot from 8 ft,2,25-29,,
1:05.0,Shooting foul by T. Lawson (drawn by K. Middleton),,25-29,,
1:05.0,K. Middleton makes free throw 1 of 1,1,26-29,,
0:51.0,,,26-29,,M. Thornton misses 3-pt shot from 25 ft
0:51.0,,,26-29,,Offensive rebound by T. Lawson
0:46.0,,,26-31,2,T. Jones makes 2-pt shot at rim (assist by C. Brewer)
0:37.0,K. Middleton makes 2-pt shot from 19 ft (assist by J. Bayless),2,28-31,,
0:26.0,,,28-31,,T. Lawson misses 2-pt shot from 20 ft
0:25.0,Defensive rebound by J. Parker,,28-31,,
0:10.0,Turnover by K. Middleton (lost ball; steal by C. Brewer),,28-31,,
0:06.0,,,28-31,,M. Thornton misses 2-pt shot from 2 ft (block by J. Parker)
0:06.0,,,28-31,,Offensive rebound by Team
0:00.0,,,28-31,,J. Smith misses 2-pt shot from 20 ft
0:00.0,,,28-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by J. Bayless (bad pass; steal by J. Smith),,28-31,,
11:33.0,,,28-31,,M. Thornton misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by J. Parker,,28-31,,
11:18.0,J. O'Bryant makes 2-pt shot at rim (assist by J. Henson),2,30-31,,
10:55.0,,,30-31,,Turnover by T. Jones (lost ball; steal by J. Bayless)
10:49.0,R. Vaughn makes 3-pt shot from 25 ft (assist by J. Bayless),3,33-31,,
10:40.0,,,33-33,2,C. Brewer makes 2-pt shot from 2 ft (assist by T. Lawson)
10:18.0,J. Henson misses 2-pt shot from 8 ft,,33-33,,
10:17.0,,,33-33,,Defensive rebound by C. Brewer
10:08.0,,,33-33,,J. Smith misses 2-pt shot from 3 ft
10:07.0,,,33-33,,Offensive rebound by J. Smith
10:07.0,,,33-33,,Shooting foul by J. Bayless (drawn by J. Smith)
10:07.0,,,33-33,,J. Smith misses free throw 1 of 2
10:07.0,,,33-33,,Offensive rebound by Team
10:07.0,,,33-33,,C. Capela enters the game for T. Jones
10:07.0,,,33-33,,J. Smith misses free throw 2 of 2
10:07.0,Defensive rebound by J. O'Bryant,,33-33,,
9:45.0,J. Bayless misses 2-pt shot from 21 ft,,33-33,,
9:44.0,,,33-33,,Defensive rebound by C. Brewer
9:31.0,,,33-36,3,T. Lawson makes 3-pt shot from 24 ft (assist by J. Smith)
9:11.0,J. O'Bryant misses 2-pt shot from 4 ft,,33-36,,
9:10.0,,,33-36,,Defensive rebound by J. Smith
9:10.0,Personal foul by J. Henson (drawn by J. Smith),,33-36,,
9:10.0,,,33-36,,T. Ariza enters the game for J. Smith
9:10.0,M. Carter-Williams enters the game for J. Bayless,,33-36,,
9:10.0,G. Monroe enters the game for J. Henson,,33-36,,
8:55.0,,,33-36,,M. Thornton misses 2-pt shot from 9 ft
8:54.0,Defensive rebound by M. Carter-Williams,,33-36,,
8:45.0,M. Carter-Williams misses 2-pt shot from 2 ft,,33-36,,
8:44.0,Offensive rebound by M. Carter-Williams,,33-36,,
8:44.0,M. Carter-Williams misses 2-pt shot from 2 ft,,33-36,,
8:42.0,Offensive rebound by J. O'Bryant,,33-36,,
8:42.0,J. O'Bryant misses 2-pt shot from 1 ft,,33-36,,
8:40.0,Offensive rebound by G. Monroe,,33-36,,
8:32.0,Offensive charge foul by J. Parker,,33-36,,
8:32.0,Turnover by J. Parker (offensive foul),,33-36,,
8:32.0,Official timeout,,33-36,,
8:32.0,,,33-36,,J. Harden enters the game for C. Brewer
8:32.0,,,33-36,,T. Jones enters the game for M. Thornton
8:17.0,,,33-38,2,T. Jones makes 2-pt shot from 1 ft (assist by T. Ariza)
7:57.0,J. O'Bryant misses 2-pt shot from 16 ft,,33-38,,
7:56.0,,,33-38,,Defensive rebound by C. Capela
7:35.0,,,33-40,2,T. Lawson makes 2-pt shot from 17 ft (assist by C. Capela)
7:22.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by C. Capela),,33-40,,
7:20.0,,,33-40,,Defensive rebound by T. Jones
7:10.0,,,33-40,,T. Lawson misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by J. Parker,,33-40,,
6:57.0,G. Monroe misses 2-pt shot from 2 ft,,33-40,,
6:56.0,Offensive rebound by M. Carter-Williams,,33-40,,
6:52.0,M. Carter-Williams misses 3-pt shot from 25 ft,,33-40,,
6:51.0,,,33-40,,Defensive rebound by J. Harden
6:45.0,,,33-42,2,J. Harden makes 2-pt shot from 2 ft
6:43.0,Milwaukee full timeout,,33-42,,
6:43.0,K. Middleton enters the game for J. O'Bryant,,33-42,,
6:43.0,G. Antetokounmpo enters the game for R. Vaughn,,33-42,,
6:43.0,,,33-42,,J. Terry enters the game for T. Lawson
6:28.0,K. Middleton misses 2-pt shot from 16 ft,,33-42,,
6:28.0,Offensive rebound by M. Carter-Williams,,33-42,,
6:26.0,G. Monroe misses 2-pt shot from 4 ft (block by T. Jones),,33-42,,
6:25.0,,,33-42,,Defensive rebound by J. Harden
6:22.0,,,33-42,,Shooting foul by M. Carter-Williams (drawn by J. Harden)
6:22.0,,,33-43,1,J. Harden makes free throw 1 of 2
6:22.0,,,33-44,1,J. Harden makes free throw 2 of 2
6:07.0,K. Middleton makes 2-pt shot from 2 ft (assist by G. Monroe),2,35-44,,
5:55.0,,,35-44,,T. Ariza misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by G. Monroe,,35-44,,
5:40.0,G. Monroe misses 2-pt shot from 2 ft (block by T. Jones),,35-44,,
5:39.0,,,35-44,,Defensive rebound by C. Capela
5:33.0,,,35-46,2,T. Jones makes 2-pt shot from 4 ft (assist by T. Ariza)
5:19.0,,,35-46,,Personal foul by T. Jones (drawn by G. Antetokounmpo)
5:13.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,37-46,,
4:47.0,,,37-46,,J. Terry misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by M. Carter-Williams,,37-46,,
4:40.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,39-46,,
4:23.0,,,39-49,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
4:00.0,K. Middleton misses 3-pt shot from 24 ft,,39-49,,
4:00.0,,,39-49,,Defensive rebound by C. Capela
3:36.0,,,39-52,3,J. Harden makes 3-pt shot from 25 ft
3:19.0,G. Monroe misses 2-pt shot from 3 ft (block by T. Ariza),,39-52,,
3:19.0,Offensive rebound by Team,,39-52,,
3:19.0,J. Henson enters the game for G. Monroe,,39-52,,
3:14.0,Turnover by K. Middleton (lost ball; steal by J. Harden),,39-52,,
3:01.0,,,39-52,,T. Ariza misses 3-pt shot from 23 ft
3:00.0,Defensive rebound by J. Henson,,39-52,,
2:38.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,41-52,,
2:31.0,,,41-52,,Houston full timeout
2:31.0,,,41-52,,J. Smith enters the game for C. Capela
2:31.0,,,41-52,,T. Lawson enters the game for J. Terry
2:20.0,,,41-52,,J. Smith misses 2-pt shot from 2 ft
2:19.0,,,41-52,,Offensive rebound by J. Smith
2:19.0,,,41-52,,J. Smith misses 2-pt shot from 2 ft
2:19.0,,,41-52,,Offensive rebound by Team
2:13.0,Personal foul by K. Middleton (drawn by T. Jones),,41-52,,
1:54.0,,,41-52,,T. Lawson misses 2-pt shot from 9 ft (block by J. Parker)
1:53.0,Defensive rebound by J. Henson,,41-52,,
1:49.0,K. Middleton makes 2-pt shot from 2 ft (assist by J. Henson),2,43-52,,
1:39.0,,,43-52,,J. Smith misses 3-pt shot from 23 ft
1:38.0,Defensive rebound by G. Antetokounmpo,,43-52,,
1:33.0,K. Middleton misses 3-pt shot from 24 ft,,43-52,,
1:32.0,Offensive rebound by J. Henson,,43-52,,
1:32.0,Shooting foul by J. Smith (drawn by J. Henson),,43-52,,
1:32.0,J. Henson makes free throw 1 of 2,1,44-52,,
1:32.0,J. Henson makes free throw 2 of 2,1,45-52,,
1:18.0,,,45-55,3,J. Harden makes 3-pt shot from 23 ft (assist by J. Smith)
0:51.0,J. Parker misses 2-pt shot from 19 ft,,45-55,,
0:49.0,,,45-55,,Defensive rebound by J. Smith
0:39.0,,,45-55,,Turnover by J. Harden (bad pass; steal by G. Antetokounmpo)
0:35.0,,,45-55,,C. Brewer enters the game for T. Lawson
0:31.0,K. Middleton misses 2-pt shot from 17 ft,,45-55,,
0:30.0,,,45-55,,Defensive rebound by J. Harden
0:07.0,,,45-57,2,T. Jones makes 2-pt shot from 2 ft
0:00.0,J. Parker misses 2-pt shot from 6 ft,,45-57,,
0:00.0,Offensive rebound by Team,,45-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by M. Carter-Williams (bad pass; steal by J. Terry),,45-57,,
11:21.0,,,45-57,,J. Terry misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by G. Monroe,,45-57,,
10:57.0,K. Middleton misses 3-pt shot from 25 ft,,45-57,,
10:57.0,Offensive rebound by J. Parker,,45-57,,
10:52.0,G. Monroe makes 2-pt shot from 2 ft (assist by J. Parker),2,47-57,,
10:39.0,,,47-57,,Turnover by C. Capela (lost ball; steal by M. Carter-Williams)
10:37.0,Shooting foul by C. Capela (drawn by M. Carter-Williams),,47-57,,
10:37.0,M. Carter-Williams makes free throw 1 of 2,1,48-57,,
10:37.0,M. Carter-Williams makes free throw 2 of 2,1,49-57,,
10:15.0,,,49-57,,J. Terry misses 2-pt shot from 21 ft
10:14.0,Defensive rebound by M. Carter-Williams,,49-57,,
10:07.0,Turnover by M. Carter-Williams (bad pass; steal by J. Terry),,49-57,,
10:01.0,,,49-57,,T. Ariza misses 2-pt shot at rim (block by G. Monroe)
10:00.0,Defensive rebound by M. Carter-Williams,,49-57,,
9:42.0,Offensive charge foul by G. Antetokounmpo,,49-57,,
9:42.0,Turnover by G. Antetokounmpo (offensive foul),,49-57,,
9:20.0,,,49-57,,J. Harden misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by Team,,49-57,,
8:59.0,J. Parker makes 2-pt shot from 16 ft (assist by G. Antetokounmpo),2,51-57,,
8:35.0,,,51-59,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
8:23.0,Shooting foul by C. Capela (drawn by M. Carter-Williams),,51-59,,
8:23.0,M. Carter-Williams misses free throw 1 of 2,,51-59,,
8:23.0,Offensive rebound by Team,,51-59,,
8:23.0,M. Carter-Williams makes free throw 2 of 2,1,52-59,,
8:04.0,,,52-59,,C. Brewer misses 3-pt shot from 24 ft
8:04.0,,,52-59,,Offensive rebound by C. Capela
8:02.0,Violation by K. Middleton (kicked ball),,52-59,,
7:56.0,,,52-59,,J. Terry misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by J. Parker,,52-59,,
7:49.0,M. Carter-Williams makes 2-pt shot at rim (assist by J. Parker),2,54-59,,
7:35.0,,,54-59,,J. Harden misses 2-pt shot from 2 ft (block by G. Monroe)
7:35.0,,,54-59,,Offensive rebound by Team
7:26.0,,,54-61,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
7:20.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,56-61,,
7:20.0,,,56-61,,Houston full timeout
7:20.0,,,56-61,,T. Jones enters the game for C. Capela
7:20.0,,,56-61,,T. Lawson enters the game for J. Terry
7:08.0,,,56-61,,Turnover by J. Harden (bad pass; steal by M. Carter-Williams)
7:05.0,,,56-61,,Personal foul by T. Lawson (drawn by M. Carter-Williams)
6:56.0,G. Monroe misses 2-pt shot from 2 ft,,56-61,,
6:55.0,Offensive rebound by G. Antetokounmpo,,56-61,,
6:55.0,Shooting foul by T. Jones (drawn by G. Antetokounmpo),,56-61,,
6:55.0,G. Antetokounmpo makes free throw 1 of 2,1,57-61,,
6:55.0,J. Henson enters the game for G. Monroe,,57-61,,
6:55.0,G. Antetokounmpo makes free throw 2 of 2,1,58-61,,
6:47.0,Personal foul by J. Henson (drawn by T. Jones),,58-61,,
6:37.0,,,58-61,,C. Brewer misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by J. Parker,,58-61,,
6:29.0,J. Parker makes 2-pt shot from 1 ft,2,60-61,,
6:12.0,,,60-61,,T. Ariza misses 2-pt shot from 2 ft
6:12.0,Defensive rebound by M. Carter-Williams,,60-61,,
6:08.0,Turnover by M. Carter-Williams (bad pass),,60-61,,
5:44.0,,,60-63,2,T. Lawson makes 2-pt shot from 18 ft (assist by J. Harden)
5:33.0,M. Carter-Williams misses 2-pt shot from 6 ft (block by T. Jones),,60-63,,
5:32.0,,,60-63,,Defensive rebound by T. Ariza
5:28.0,,,60-65,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
5:28.0,Milwaukee full timeout,,60-65,,
5:28.0,,,60-65,,J. Smith enters the game for C. Brewer
5:14.0,,,60-65,,Personal foul by T. Jones (drawn by J. Henson)
5:14.0,J. Henson makes free throw 1 of 2,1,61-65,,
5:14.0,J. Henson makes free throw 2 of 2,1,62-65,,
5:02.0,,,62-65,,Turnover by T. Ariza (bad pass)
4:49.0,G. Antetokounmpo makes 2-pt shot from 15 ft (assist by J. Parker),2,64-65,,
4:27.0,,,64-68,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith)
4:14.0,K. Middleton misses 3-pt shot from 24 ft,,64-68,,
4:13.0,,,64-68,,Defensive rebound by T. Ariza
4:04.0,,,64-71,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Smith)
3:46.0,M. Carter-Williams misses 3-pt shot from 23 ft,,64-71,,
3:44.0,Offensive rebound by J. Henson,,64-71,,
3:39.0,J. Parker misses 2-pt shot from 5 ft,,64-71,,
3:38.0,Offensive rebound by M. Carter-Williams,,64-71,,
3:36.0,Shooting foul by J. Smith (drawn by G. Antetokounmpo),,64-71,,
3:36.0,G. Antetokounmpo makes free throw 1 of 2,1,65-71,,
3:36.0,J. O'Bryant enters the game for M. Carter-Williams,,65-71,,
3:36.0,J. Bayless enters the game for J. Parker,,65-71,,
3:36.0,G. Antetokounmpo makes free throw 2 of 2,1,66-71,,
3:24.0,,,66-71,,J. Harden misses 3-pt shot from 25 ft
3:23.0,,,66-71,,Offensive rebound by T. Ariza
3:18.0,,,66-71,,J. Smith misses 3-pt shot from 25 ft
3:17.0,,,66-71,,Offensive rebound by T. Jones
3:10.0,,,66-73,2,T. Lawson makes 2-pt shot from 1 ft
2:49.0,Turnover by J. Henson (lost ball; steal by J. Harden),,66-73,,
2:44.0,,,66-75,2,J. Harden makes 2-pt shot from 1 ft
2:36.0,Milwaukee full timeout,,66-75,,
2:36.0,,,66-75,,M. Thornton enters the game for J. Harden
2:19.0,G. Antetokounmpo misses 2-pt shot from 7 ft (block by J. Smith),,66-75,,
2:18.0,Offensive rebound by Team,,66-75,,
2:12.0,K. Middleton misses 2-pt shot from 11 ft,,66-75,,
2:11.0,,,66-75,,Defensive rebound by T. Lawson
2:05.0,,,66-77,2,T. Lawson makes 2-pt shot from 3 ft
1:46.0,Turnover by K. Middleton (bad pass; steal by J. Smith),,66-77,,
1:24.0,,,66-77,,M. Thornton misses 2-pt shot from 21 ft
1:23.0,,,66-77,,Offensive rebound by Team
1:23.0,J. Parker enters the game for G. Antetokounmpo,,66-77,,
1:15.0,,,66-77,,T. Ariza misses 2-pt shot from 2 ft
1:14.0,,,66-77,,Offensive rebound by Team
1:07.0,,,66-79,2,M. Thornton makes 2-pt shot from 1 ft (assist by J. Smith)
0:44.0,J. Henson misses 2-pt shot at rim (block by J. Smith),,66-79,,
0:44.0,,,66-79,,Defensive rebound by Team
0:44.0,G. Monroe enters the game for J. Henson,,66-79,,
0:34.0,,,66-79,,T. Jones misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by G. Monroe,,66-79,,
0:10.0,J. Bayless misses 2-pt shot from 7 ft,,66-79,,
0:07.0,,,66-79,,Defensive rebound by T. Jones
0:00.0,,,66-79,,T. Lawson misses 3-pt shot from 25 ft
0:00.0,,,66-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,66-81,2,J. Smith makes 2-pt shot from 2 ft
11:24.0,G. Monroe makes 2-pt shot from 3 ft (assist by J. Bayless),2,68-81,,
11:15.0,,,68-81,,C. Brewer misses 2-pt shot from 6 ft (block by G. Monroe)
11:15.0,,,68-81,,Offensive rebound by C. Brewer
11:15.0,Personal foul by J. O'Bryant (drawn by C. Brewer),,68-81,,
11:04.0,,,68-81,,Turnover by T. Lawson (bad pass; steal by K. Middleton)
11:02.0,,,68-81,,Personal foul by M. Thornton (drawn by J. Parker)
10:49.0,G. Monroe makes 2-pt shot from 4 ft (assist by J. O'Bryant),2,70-81,,
10:34.0,,,70-81,,T. Lawson misses 3-pt shot from 24 ft
10:32.0,,,70-81,,Offensive rebound by C. Capela
10:20.0,,,70-81,,M. Thornton misses 3-pt shot from 25 ft
10:20.0,,,70-81,,Offensive rebound by J. Smith
10:11.0,,,70-83,2,M. Thornton makes 2-pt shot from 2 ft
9:48.0,K. Middleton misses 3-pt shot from 23 ft,,70-83,,
9:48.0,Offensive rebound by J. Parker,,70-83,,
9:41.0,,,70-83,,Personal foul by C. Capela (drawn by J. Bayless)
9:33.0,,,70-83,,Personal foul by J. Smith (drawn by G. Monroe)
9:33.0,M. Carter-Williams enters the game for J. O'Bryant,,70-83,,
9:27.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,72-83,,
9:07.0,,,72-83,,Turnover by J. Smith (bad pass; steal by J. Parker)
9:00.0,Turnover by J. Bayless (bad pass),,72-83,,
8:44.0,,,72-83,,M. Thornton misses 2-pt shot from 16 ft
8:42.0,,,72-83,,Offensive rebound by C. Brewer
8:37.0,,,72-86,3,M. Thornton makes 3-pt shot from 23 ft (assist by C. Brewer)
8:24.0,,,72-86,,Shooting block foul by C. Capela (drawn by K. Middleton)
8:24.0,Official timeout,,72-86,,
8:24.0,,,72-86,,T. Jones enters the game for C. Capela
8:24.0,K. Middleton makes free throw 1 of 2,1,73-86,,
8:24.0,K. Middleton makes free throw 2 of 2,1,74-86,,
8:17.0,Personal foul by M. Carter-Williams (drawn by T. Lawson),,74-86,,
8:08.0,,,74-86,,M. Thornton misses 2-pt shot from 6 ft
8:07.0,Defensive rebound by G. Monroe,,74-86,,
7:53.0,J. Bayless misses 3-pt shot from 23 ft,,74-86,,
7:52.0,Offensive rebound by J. Parker,,74-86,,
7:48.0,J. Parker makes 2-pt shot from 7 ft,2,76-86,,
7:33.0,,,76-86,,J. Smith misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by M. Carter-Williams,,76-86,,
7:17.0,J. Bayless makes 3-pt shot from 23 ft (assist by G. Monroe),3,79-86,,
7:00.0,,,79-88,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Smith)
6:44.0,,,79-88,,Def 3 sec tech foul by J. Smith
6:44.0,K. Middleton makes technical free throw,1,80-88,,
6:44.0,,,80-88,,T. Ariza enters the game for M. Thornton
6:44.0,,,80-88,,J. Harden enters the game for J. Smith
6:44.0,G. Antetokounmpo enters the game for J. Bayless,,80-88,,
6:31.0,K. Middleton makes 2-pt shot from 21 ft,2,82-88,,
6:01.0,,,82-88,,T. Ariza misses 3-pt shot from 22 ft
6:00.0,,,82-88,,Offensive rebound by T. Lawson
5:56.0,,,82-91,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Jones)
5:43.0,G. Monroe makes 2-pt shot from 5 ft (assist by K. Middleton),2,84-91,,
5:32.0,Personal foul by G. Monroe (drawn by J. Harden),,84-91,,
5:32.0,,,84-91,,Houston full timeout
5:32.0,,,84-91,,J. Terry enters the game for T. Lawson
5:18.0,,,84-91,,T. Jones misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by M. Carter-Williams,,84-91,,
5:02.0,K. Middleton misses 2-pt shot from 11 ft,,84-91,,
5:01.0,,,84-91,,Defensive rebound by J. Harden
4:57.0,,,84-93,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
