time,Charlotte,pts.away,score,pts.home,Milwaukee
4:29.0,M. Williams makes 2-pt shot from 16 ft (assist by N. Batum),2,21-10,,
4:11.0,,,21-13,3,K. Middleton makes 3-pt shot from 22 ft (assist by G. Monroe)
3:51.0,Shooting foul by K. Middleton (drawn by N. Batum),,21-13,,
3:51.0,N. Batum makes free throw 1 of 3,1,22-13,,
3:51.0,N. Batum makes free throw 2 of 3,1,23-13,,
3:51.0,A. Jefferson enters the game for C. Zeller,,23-13,,
3:51.0,J. Lin enters the game for C. Lee,,23-13,,
3:51.0,,,23-13,,J. Henson enters the game for G. Monroe
3:51.0,,,23-13,,M. Plumlee enters the game for J. Parker
3:51.0,N. Batum makes free throw 3 of 3,1,24-13,,
3:29.0,,,24-13,,K. Middleton misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by N. Batum,,24-13,,
3:18.0,J. Lin makes 2-pt shot from 1 ft,2,26-13,,
3:00.0,,,26-13,,J. Bayless misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by A. Jefferson,,26-13,,
2:38.0,Shooting foul by J. Henson (drawn by A. Jefferson),,26-13,,
2:38.0,Charlotte full timeout,,26-13,,
2:38.0,F. Kaminsky enters the game for K. Walker,,26-13,,
2:38.0,J. Lamb enters the game for M. Williams,,26-13,,
2:38.0,,,26-13,,T. Ennis enters the game for J. Bayless
2:38.0,A. Jefferson makes free throw 1 of 2,1,27-13,,
2:38.0,A. Jefferson misses free throw 2 of 2,,27-13,,
2:37.0,,,27-13,,Defensive rebound by M. Plumlee
2:19.0,,,27-13,,Turnover by M. Plumlee (lost ball; steal by J. Lin)
2:03.0,A. Jefferson misses 2-pt shot from 10 ft,,27-13,,
2:02.0,,,27-13,,Defensive rebound by J. Henson
1:53.0,,,27-13,,Turnover by T. Ennis (lost ball; steal by J. Lin)
1:38.0,N. Batum misses 2-pt shot from 2 ft,,27-13,,
1:36.0,,,27-13,,Defensive rebound by T. Ennis
1:29.0,,,27-15,2,J. Henson makes 2-pt shot from 1 ft (assist by T. Ennis)
1:11.0,N. Batum misses 2-pt shot from 3 ft,,27-15,,
1:10.0,,,27-15,,Defensive rebound by J. Henson
0:58.0,,,27-15,,T. Ennis misses 2-pt shot from 14 ft
0:56.0,Defensive rebound by Team,,27-15,,
0:36.0,F. Kaminsky misses 2-pt shot from 11 ft (block by J. Henson),,27-15,,
0:33.0,,,27-15,,Defensive rebound by T. Ennis
0:31.0,,,27-17,2,K. Middleton makes 2-pt shot at rim (assist by T. Ennis)
0:12.0,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,29-17,,
0:05.0,Personal foul by N. Batum,,29-17,,
0:00.0,,,29-17,,K. Middleton misses 2-pt shot from 18 ft
0:00.0,,,29-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by J. Lamb (step out of bounds),,29-17,,
11:40.0,,,29-17,,M. Plumlee misses 2-pt shot from 1 ft (block by J. Lamb)
11:38.0,Defensive rebound by F. Kaminsky,,29-17,,
11:20.0,F. Kaminsky makes 2-pt shot from 18 ft (assist by C. Lee),2,31-17,,
10:58.0,,,31-17,,Shooting foul by C. Lee (drawn by J. Parker)
10:58.0,,,31-18,1,J. Parker makes free throw 1 of 2
10:58.0,,,31-19,1,J. Parker makes free throw 2 of 2
10:34.0,F. Kaminsky makes 2-pt shot from 15 ft,2,33-19,,
10:17.0,,,33-19,,M. Plumlee misses 2-pt shot from 2 ft
10:13.0,,,33-19,,Offensive rebound by J. Henson
10:13.0,,,33-21,2,J. Henson makes 2-pt shot from 1 ft
10:02.0,A. Jefferson misses 2-pt shot at rim,,33-21,,
10:00.0,,,33-21,,Defensive rebound by J. Henson
9:51.0,Personal foul by J. Lamb,,33-21,,
9:51.0,M. Williams enters the game for J. Lamb,,33-21,,
9:41.0,,,33-21,,T. Ennis misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by C. Lee,,33-21,,
9:28.0,C. Lee makes 2-pt shot from 14 ft (assist by A. Jefferson),2,35-21,,
9:07.0,,,35-23,2,G. Antetokounmpo makes 2-pt shot from 7 ft
8:44.0,A. Jefferson misses 2-pt shot from 7 ft,,35-23,,
8:43.0,Offensive rebound by M. Williams,,35-23,,
8:37.0,Official timeout,,35-23,,
8:37.0,C. Zeller enters the game for A. Jefferson,,35-23,,
8:30.0,J. Lin misses 3-pt shot from 25 ft,,35-23,,
8:29.0,,,35-23,,Defensive rebound by J. Parker
8:23.0,,,35-25,2,M. Plumlee makes 2-pt shot at rim (assist by J. Parker)
8:09.0,J. Lin makes 2-pt shot from 2 ft,2,37-25,,
7:57.0,,,37-27,2,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis)
7:33.0,C. Lee misses 2-pt shot from 21 ft,,37-27,,
7:31.0,,,37-27,,Defensive rebound by T. Ennis
7:12.0,,,37-27,,G. Antetokounmpo misses 3-pt shot from 24 ft
7:10.0,,,37-27,,Offensive rebound by J. Henson
6:56.0,,,37-27,,J. Parker misses 2-pt shot from 5 ft
6:54.0,Defensive rebound by M. Williams,,37-27,,
6:45.0,Turnover by J. Lin (bad pass),,37-27,,
6:30.0,,,37-27,,J. Parker misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by J. Lin,,37-27,,
6:22.0,C. Zeller misses 2-pt shot at rim (block by J. Henson),,37-27,,
6:17.0,,,37-27,,Defensive rebound by T. Ennis
6:13.0,,,37-27,,G. Antetokounmpo misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by M. Williams,,37-27,,
5:57.0,C. Lee misses 3-pt shot from 26 ft,,37-27,,
5:52.0,,,37-27,,Defensive rebound by G. Antetokounmpo
5:39.0,,,37-30,3,T. Ennis makes 3-pt shot from 24 ft (assist by J. Parker)
5:30.0,Charlotte full timeout,,37-30,,
5:30.0,N. Batum enters the game for C. Lee,,37-30,,
5:30.0,K. Walker enters the game for J. Lin,,37-30,,
5:30.0,,,37-30,,G. Monroe enters the game for J. Henson
5:30.0,,,37-30,,J. Bayless enters the game for M. Plumlee
5:13.0,N. Batum misses 2-pt shot from 12 ft,,37-30,,
5:12.0,,,37-30,,Defensive rebound by G. Monroe
4:52.0,,,37-32,2,J. Parker makes 2-pt shot from 19 ft (assist by T. Ennis)
4:38.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,40-32,,
4:38.0,Shooting foul by J. Bayless (drawn by N. Batum),,40-32,,
4:38.0,N. Batum makes free throw 1 of 1,1,41-32,,
4:24.0,Shooting block foul by C. Zeller (drawn by G. Monroe),,41-32,,
4:24.0,,,41-33,1,G. Monroe makes free throw 1 of 2
4:24.0,C. Lee enters the game for F. Kaminsky,,41-33,,
4:24.0,,,41-33,,G. Monroe misses free throw 2 of 2
4:23.0,Defensive rebound by M. Williams,,41-33,,
4:08.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,44-33,,
3:48.0,,,44-33,,G. Monroe misses 2-pt shot from 2 ft (block by M. Williams)
3:46.0,Defensive rebound by N. Batum,,44-33,,
3:35.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,47-33,,
3:13.0,Shooting block foul by C. Zeller (drawn by G. Monroe),,47-33,,
3:13.0,,,47-33,,G. Monroe misses free throw 1 of 2
3:13.0,,,47-33,,Offensive rebound by Team
3:13.0,,,47-33,,K. Middleton enters the game for T. Ennis
3:13.0,A. Jefferson enters the game for C. Zeller,,47-33,,
3:13.0,,,47-34,1,G. Monroe makes free throw 2 of 2
3:00.0,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker),3,50-34,,
2:36.0,,,50-34,,J. Bayless misses 2-pt shot from 12 ft
2:35.0,,,50-34,,Offensive rebound by G. Monroe
2:35.0,Personal foul by M. Williams,,50-34,,
2:35.0,,,50-34,,Milwaukee full timeout
2:35.0,,,50-35,1,G. Monroe makes free throw 1 of 2
2:35.0,,,50-36,1,G. Monroe makes free throw 2 of 2
2:16.0,M. Williams makes 2-pt shot from 21 ft (assist by C. Lee),2,52-36,,
2:02.0,,,52-36,,J. Parker misses 2-pt shot from 6 ft
2:01.0,Defensive rebound by Team,,52-36,,
2:01.0,,,52-36,,Loose ball foul by J. Parker
1:41.0,Charlotte full timeout,,52-36,,
1:39.0,N. Batum misses 3-pt shot from 24 ft,,52-36,,
1:38.0,,,52-36,,Defensive rebound by G. Monroe
1:19.0,,,52-36,,J. Parker misses 2-pt shot from 15 ft
1:18.0,Defensive rebound by A. Jefferson,,52-36,,
1:08.0,Turnover by K. Walker (lost ball; steal by G. Antetokounmpo),,52-36,,
0:50.0,,,52-36,,K. Middleton misses 3-pt shot from 24 ft
0:48.0,,,52-36,,Offensive rebound by Team
0:47.0,,,52-38,2,J. Bayless makes 2-pt shot from 17 ft (assist by G. Antetokounmpo)
0:25.0,,,52-38,,Shooting block foul by J. Parker (drawn by K. Walker)
0:25.0,K. Walker makes free throw 1 of 3,1,53-38,,
0:25.0,K. Walker makes free throw 2 of 3,1,54-38,,
0:25.0,K. Walker makes free throw 3 of 3,1,55-38,,
0:05.0,,,55-38,,J. Bayless misses 2-pt shot from 21 ft
0:04.0,Defensive rebound by A. Jefferson,,55-38,,
0:01.0,C. Lee misses 3-pt shot from 24 ft,,55-38,,
0:00.0,Offensive rebound by Team,,55-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Walker misses 3-pt shot from 27 ft,,55-38,,
11:41.0,,,55-38,,Defensive rebound by J. Parker
11:23.0,,,55-38,,Shooting foul by C. Zeller (drawn by G. Monroe)
11:23.0,,,55-39,1,G. Monroe makes free throw 1 of 2
11:23.0,,,55-40,1,G. Monroe makes free throw 2 of 2
11:11.0,M. Williams makes 2-pt shot from 18 ft (assist by C. Zeller),2,57-40,,
10:43.0,,,57-40,,J. Bayless misses 2-pt shot from 6 ft
10:42.0,Defensive rebound by M. Williams,,57-40,,
10:36.0,N. Batum misses 3-pt shot from 25 ft,,57-40,,
10:36.0,Offensive rebound by Team,,57-40,,
10:36.0,,,57-40,,Loose ball foul by G. Antetokounmpo
10:19.0,C. Lee makes 2-pt shot at rim,2,59-40,,
9:57.0,,,59-40,,Shooting foul by M. Williams (drawn by G. Antetokounmpo)
9:57.0,,,59-41,1,G. Antetokounmpo makes free throw 1 of 2
9:57.0,,,59-42,1,G. Antetokounmpo makes free throw 2 of 2
9:34.0,N. Batum misses 3-pt shot from 27 ft,,59-42,,
9:33.0,,,59-42,,Defensive rebound by G. Antetokounmpo
9:25.0,,,59-44,2,J. Parker makes 2-pt shot at rim
9:25.0,Charlotte full timeout,,59-44,,
9:07.0,,,59-44,,Personal foul by G. Antetokounmpo
8:53.0,Turnover by Team (shot clock),,59-44,,
8:31.0,,,59-44,,G. Antetokounmpo misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by M. Williams,,59-44,,
8:22.0,M. Williams makes 3-pt shot from 26 ft (assist by C. Lee),3,62-44,,
8:03.0,,,62-46,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
7:38.0,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker),3,65-46,,
7:13.0,,,65-48,2,K. Middleton makes 2-pt shot from 18 ft
7:02.0,K. Walker makes 3-pt shot from 27 ft (assist by N. Batum),3,68-48,,
6:36.0,,,68-50,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
6:18.0,Turnover by M. Williams (lost ball; steal by G. Antetokounmpo),,68-50,,
6:14.0,,,68-52,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:50.0,C. Lee makes 3-pt shot from 26 ft (assist by N. Batum),3,71-52,,
5:31.0,,,71-52,,K. Middleton misses 2-pt shot from 18 ft
5:29.0,,,71-52,,Offensive rebound by J. Parker
5:20.0,,,71-52,,J. Parker misses 2-pt shot from 15 ft
5:18.0,,,71-52,,Offensive rebound by G. Monroe
5:12.0,,,71-52,,G. Antetokounmpo misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by Team,,71-52,,
5:11.0,A. Jefferson enters the game for C. Zeller,,71-52,,
5:04.0,Shooting foul by J. Bayless (drawn by K. Walker),,71-52,,
5:04.0,K. Walker makes free throw 1 of 2,1,72-52,,
5:04.0,,,72-52,,T. Ennis enters the game for J. Bayless
5:04.0,J. Lin enters the game for C. Lee,,72-52,,
5:04.0,K. Walker makes free throw 2 of 2,1,73-52,,
4:43.0,,,73-54,2,G. Monroe makes 2-pt shot from 3 ft
4:27.0,M. Williams misses 3-pt shot from 23 ft,,73-54,,
4:26.0,Offensive rebound by A. Jefferson,,73-54,,
4:21.0,J. Lin makes 3-pt shot from 26 ft (assist by N. Batum),3,76-54,,
4:07.0,,,76-56,2,G. Monroe makes 2-pt shot from 15 ft (assist by K. Middleton)
3:56.0,,,76-56,,Personal foul by K. Middleton
3:48.0,K. Walker makes 3-pt shot from 27 ft,3,79-56,,
3:39.0,,,79-56,,Offensive foul by K. Middleton
3:39.0,,,79-56,,Turnover by K. Middleton (offensive foul)
3:20.0,Shooting foul by G. Monroe (drawn by A. Jefferson),,79-56,,
3:20.0,A. Jefferson makes free throw 1 of 2,1,80-56,,
3:20.0,A. Jefferson misses free throw 2 of 2,,80-56,,
3:18.0,,,80-56,,Defensive rebound by G. Monroe
3:06.0,,,80-56,,Turnover by K. Middleton (lost ball; steal by J. Lin)
2:58.0,K. Walker makes 3-pt shot from 26 ft (assist by J. Lin),3,83-56,,
2:57.0,,,83-56,,Milwaukee full timeout
2:57.0,F. Kaminsky enters the game for M. Williams,,83-56,,
2:57.0,,,83-56,,M. Plumlee enters the game for G. Antetokounmpo
2:57.0,,,83-56,,R. Vaughn enters the game for G. Monroe
2:57.0,,,83-56,,J. Henson enters the game for K. Middleton
2:40.0,,,83-56,,R. Vaughn misses 2-pt shot from 11 ft
2:39.0,,,83-56,,Offensive rebound by R. Vaughn
2:35.0,,,83-56,,R. Vaughn misses 2-pt shot from 5 ft
2:34.0,Defensive rebound by A. Jefferson,,83-56,,
2:14.0,J. Lin makes 2-pt shot at rim,2,85-56,,
2:05.0,,,85-58,2,J. Henson makes 2-pt shot from 2 ft (assist by T. Ennis)
2:05.0,,,85-58,,Shooting foul by A. Jefferson (drawn by J. Henson)
2:05.0,,,85-59,1,J. Henson makes free throw 1 of 1
1:51.0,Shooting foul by J. Henson (drawn by A. Jefferson),,85-59,,
1:51.0,A. Jefferson misses free throw 1 of 2,,85-59,,
1:51.0,Offensive rebound by Team,,85-59,,
1:51.0,A. Jefferson makes free throw 2 of 2,1,86-59,,
1:41.0,,,86-59,,Turnover by T. Ennis (lost ball; steal by J. Lin)
1:37.0,Turnover by J. Lin (lost ball; steal by T. Ennis),,86-59,,
1:23.0,,,86-59,,Turnover by R. Vaughn (lost ball; steal by J. Lin)
1:14.0,Shooting foul by J. Henson (drawn by A. Jefferson),,86-59,,
1:14.0,A. Jefferson makes free throw 1 of 2,1,87-59,,
1:14.0,A. Jefferson makes free throw 2 of 2,1,88-59,,
0:58.0,,,88-59,,T. Ennis misses 3-pt shot from 27 ft
0:57.0,,,88-59,,Offensive rebound by J. Henson
0:57.0,,,88-61,2,J. Henson makes 2-pt shot from 2 ft
0:48.0,K. Walker misses 2-pt shot from 2 ft,,88-61,,
0:46.0,,,88-61,,Defensive rebound by J. Parker
0:42.0,,,88-61,,Turnover by J. Parker (bad pass)
0:26.0,N. Batum makes 2-pt shot from 15 ft (assist by F. Kaminsky),2,90-61,,
0:12.0,,,90-64,3,J. Parker makes 3-pt shot from 24 ft (assist by T. Ennis)
0:03.0,K. Walker misses 3-pt shot from 26 ft,,90-64,,
0:02.0,,,90-64,,Defensive rebound by M. Plumlee
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,90-64,,J. Henson misses 2-pt shot at rim
11:39.0,Defensive rebound by A. Jefferson,,90-64,,
11:18.0,K. Walker misses 3-pt shot from 42 ft,,90-64,,
11:18.0,Offensive rebound by Team,,90-64,,
11:18.0,Turnover by Team (shot clock),,90-64,,
11:07.0,,,90-66,2,J. Parker makes 2-pt shot at rim (assist by T. Ennis)
10:46.0,Turnover by J. Lin (lost ball; steal by J. Parker),,90-66,,
10:35.0,,,90-68,2,J. Henson makes 2-pt shot from 3 ft (assist by T. Ennis)
10:19.0,K. Walker makes 2-pt shot from 18 ft,2,92-68,,
10:05.0,,,92-71,3,R. Vaughn makes 3-pt shot from 24 ft (assist by T. Ennis)
9:48.0,A. Jefferson makes 2-pt shot at rim (assist by K. Walker),2,94-71,,
9:34.0,,,94-71,,T. Ennis misses 2-pt shot from 7 ft
9:33.0,Defensive rebound by J. Lin,,94-71,,
9:26.0,K. Walker misses 2-pt shot from 2 ft (block by J. Henson),,94-71,,
9:24.0,,,94-71,,Defensive rebound by J. Parker
9:21.0,,,94-73,2,R. Vaughn makes 2-pt shot at rim (assist by J. Parker)
9:20.0,Charlotte full timeout,,94-73,,
9:05.0,A. Jefferson misses 2-pt shot from 12 ft,,94-73,,
9:04.0,,,94-73,,Defensive rebound by J. Parker
8:54.0,,,94-75,2,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis)
8:36.0,Shooting foul by M. Plumlee (drawn by A. Jefferson),,94-75,,
8:36.0,A. Jefferson makes free throw 1 of 2,1,95-75,,
8:36.0,M. Williams enters the game for F. Kaminsky,,95-75,,
8:36.0,N. Batum enters the game for K. Walker,,95-75,,
8:36.0,A. Jefferson makes free throw 2 of 2,1,96-75,,
8:20.0,,,96-75,,R. Vaughn misses 2-pt shot from 15 ft (block by C. Lee)
8:20.0,,,96-75,,Offensive rebound by Team
8:10.0,,,96-77,2,T. Ennis makes 2-pt shot from 21 ft (assist by R. Vaughn)
7:49.0,A. Jefferson makes 2-pt shot at rim (assist by N. Batum),2,98-77,,
7:42.0,,,98-77,,J. Parker misses 2-pt shot from 3 ft (block by M. Williams)
7:41.0,Defensive rebound by J. Lin,,98-77,,
7:30.0,M. Williams misses 3-pt shot from 25 ft,,98-77,,
7:29.0,Offensive rebound by C. Lee,,98-77,,
7:17.0,M. Williams misses 3-pt shot from 23 ft,,98-77,,
7:16.0,,,98-77,,Defensive rebound by M. Plumlee
7:03.0,,,98-79,2,T. Ennis makes 2-pt shot from 14 ft
6:38.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,101-79,,
6:20.0,,,101-81,2,J. Henson makes 2-pt shot from 10 ft (assist by T. Ennis)
6:07.0,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,103-81,,
5:52.0,,,103-81,,Turnover by M. Plumlee (offensive goaltending)
5:52.0,Official timeout,,103-81,,
5:52.0,S. Hawes enters the game for A. Jefferson,,103-81,,
5:52.0,,,103-81,,J. O'Bryant enters the game for J. Parker
5:52.0,,,103-81,,D. Inglis enters the game for M. Plumlee
5:37.0,C. Lee makes 2-pt shot from 19 ft (assist by S. Hawes),2,105-81,,
5:21.0,,,105-81,,J. O'Bryant misses 2-pt shot from 15 ft
5:20.0,Defensive rebound by N. Batum,,105-81,,
5:07.0,Turnover by J. Lin (lost ball; steal by J. Henson),,105-81,,
5:02.0,,,105-81,,D. Inglis misses 2-pt shot from 2 ft
4:59.0,Defensive rebound by N. Batum,,105-81,,
4:43.0,S. Hawes misses 2-pt shot from 17 ft,,105-81,,
4:42.0,,,105-81,,Defensive rebound by J. Henson
4:31.0,,,105-83,2,T. Ennis makes 2-pt shot from 13 ft (assist by R. Vaughn)
4:13.0,M. Williams makes 3-pt shot from 24 ft (assist by J. Lin),3,108-83,,
3:47.0,,,108-83,,D. Inglis misses 3-pt shot from 23 ft
3:45.0,Defensive rebound by J. Lin,,108-83,,
3:33.0,S. Hawes misses 2-pt shot from 9 ft,,108-83,,
3:32.0,,,108-83,,Defensive rebound by D. Inglis
3:15.0,T. Hansbrough enters the game for N. Batum,,108-83,,
3:15.0,J. Lamb enters the game for M. Williams,,108-83,,
3:15.0,T. Daniels enters the game for C. Lee,,108-83,,
3:14.0,,,108-83,,Shooting foul by T. Hansbrough (drawn by J. Henson)
3:14.0,,,108-84,1,J. Henson makes free throw 1 of 2
3:14.0,,,108-85,1,J. Henson makes free throw 2 of 2
2:52.0,T. Daniels makes 3-pt shot from 23 ft (assist by S. Hawes),3,111-85,,
2:41.0,,,111-85,,T. Ennis misses 2-pt shot from 1 ft (block by S. Hawes)
2:41.0,,,111-85,,Offensive rebound by Team
2:41.0,,,111-85,,Milwaukee full timeout
2:41.0,J. Gutierrez enters the game for J. Lin,,111-85,,
2:31.0,,,111-85,,J. O'Bryant misses 2-pt shot from 5 ft
2:31.0,,,111-85,,Offensive rebound by Team
2:31.0,Loose ball foul by J. Lamb,,111-85,,
2:19.0,,,111-85,,T. Ennis misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by J. Lamb,,111-85,,
1:58.0,T. Hansbrough misses 2-pt shot from 3 ft,,111-85,,
1:57.0,,,111-85,,Defensive rebound by J. O'Bryant
1:44.0,,,111-87,2,J. O'Bryant makes 2-pt shot from 17 ft (assist by T. Ennis)
1:23.0,J. Lamb misses 2-pt shot at rim,,111-87,,
1:22.0,,,111-87,,Defensive rebound by J. O'Bryant
1:15.0,,,111-87,,J. Henson misses 2-pt shot at rim
1:15.0,,,111-87,,Offensive rebound by J. Henson
1:15.0,,,111-89,2,J. Henson makes 2-pt shot at rim
1:00.0,T. Daniels makes 2-pt shot from 5 ft (assist by J. Gutierrez),2,113-89,,
0:49.0,,,113-91,2,J. Henson makes 2-pt shot from 5 ft (assist by D. Inglis)
0:36.0,T. Daniels makes 2-pt shot from 5 ft,2,115-91,,
0:22.0,,,115-91,,J. O'Bryant misses 2-pt shot from 14 ft
0:21.0,Defensive rebound by J. Lamb,,115-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
