time,New Orleans,pts.away,score,pts.home,Detroit
6:16.0,O. Asik makes 2-pt shot from 5 ft (assist by D. Cunningham),2,15-9,,
6:02.0,,,15-12,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson)
5:40.0,A. Davis makes 2-pt shot from 7 ft,2,17-12,,
5:28.0,,,17-12,,R. Jackson misses 2-pt shot from 12 ft
5:28.0,Defensive rebound by A. Davis,,17-12,,
5:22.0,N. Cole misses 3-pt shot from 26 ft,,17-12,,
5:21.0,,,17-12,,Defensive rebound by K. Caldwell-Pope
5:14.0,,,17-15,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by M. Morris)
4:58.0,Shooting foul by R. Jackson (drawn by O. Asik),,17-15,,
4:58.0,O. Asik misses free throw 1 of 2,,17-15,,
4:58.0,Offensive rebound by Team,,17-15,,
4:58.0,,,17-15,,T. Harris enters the game for M. Morris
4:58.0,J. Holiday enters the game for B. Dejean-Jones,,17-15,,
4:58.0,O. Asik makes free throw 2 of 2,1,18-15,,
4:49.0,,,18-15,,Shooting foul by N. Cole (drawn by R. Jackson)
4:49.0,,,18-16,1,R. Jackson makes free throw 1 of 2
4:49.0,A. Ajinca enters the game for O. Asik,,18-16,,
4:49.0,,,18-17,1,R. Jackson makes free throw 2 of 2
4:38.0,Turnover by J. Holiday (lost ball; steal by K. Caldwell-Pope),,18-17,,
4:24.0,,,18-17,,T. Harris misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by A. Davis,,18-17,,
4:16.0,N. Cole makes 2-pt shot at rim (assist by A. Davis),2,20-17,,
4:13.0,,,20-17,,Detroit full timeout
4:13.0,,,20-17,,M. Morris enters the game for A. Tolliver
4:00.0,,,20-19,2,T. Harris makes 2-pt shot from 14 ft
3:49.0,Turnover by A. Ajinca (lost ball),,20-19,,
3:32.0,,,20-19,,K. Caldwell-Pope misses 2-pt shot from 7 ft
3:32.0,,,20-19,,Offensive rebound by A. Drummond
3:27.0,,,20-19,,R. Jackson misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by A. Davis,,20-19,,
3:18.0,,,20-19,,Personal foul by R. Jackson (drawn by N. Cole)
3:18.0,,,20-19,,S. Blake enters the game for R. Jackson
3:10.0,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday),2,22-19,,
2:51.0,,,22-19,,T. Harris misses 2-pt shot from 5 ft
2:50.0,Defensive rebound by D. Cunningham,,22-19,,
2:41.0,J. Holiday misses 2-pt shot at rim (block by A. Drummond),,22-19,,
2:41.0,Offensive rebound by A. Ajinca,,22-19,,
2:41.0,A. Ajinca makes 2-pt shot at rim,2,24-19,,
2:41.0,Technical foul by Team,,24-19,,
2:41.0,,,24-20,1,K. Caldwell-Pope makes technical free throw
2:41.0,T. Douglas enters the game for N. Cole,,24-20,,
2:41.0,,,24-20,,S. Johnson enters the game for K. Caldwell-Pope
2:41.0,New Orleans full timeout,,24-20,,
2:27.0,,,24-20,,M. Morris misses 2-pt shot from 18 ft
2:27.0,Defensive rebound by D. Cunningham,,24-20,,
2:14.0,Turnover by J. Holiday (bad pass),,24-20,,
1:56.0,,,24-20,,Shooting foul by D. Cunningham (drawn by T. Harris)
1:56.0,,,24-20,,T. Harris misses free throw 1 of 2
1:56.0,,,24-20,,Offensive rebound by Team
1:56.0,,,24-21,1,T. Harris makes free throw 2 of 2
1:34.0,A. Ajinca misses 2-pt shot from 1 ft,,24-21,,
1:34.0,,,24-21,,Defensive rebound by M. Morris
1:30.0,,,24-21,,Turnover by M. Morris (bad pass)
1:30.0,A. Gee enters the game for D. Cunningham,,24-21,,
1:30.0,R. Anderson enters the game for A. Davis,,24-21,,
1:19.0,A. Ajinca misses 2-pt shot at rim,,24-21,,
1:18.0,,,24-21,,Defensive rebound by S. Johnson
1:04.0,,,24-23,2,T. Harris makes 2-pt shot at rim (assist by S. Blake)
0:52.0,A. Ajinca misses 2-pt shot from 2 ft (block by T. Harris),,24-23,,
0:51.0,Offensive rebound by J. Holiday,,24-23,,
0:50.0,Shooting foul by S. Johnson (drawn by J. Holiday),,24-23,,
0:50.0,J. Holiday makes free throw 1 of 2,1,25-23,,
0:50.0,J. Holiday makes free throw 2 of 2,1,26-23,,
0:31.0,,,26-25,2,A. Drummond makes 2-pt shot from 6 ft
0:21.0,Shooting foul by M. Morris (drawn by R. Anderson),,26-25,,
0:21.0,R. Anderson makes free throw 1 of 2,1,27-25,,
0:21.0,R. Anderson makes free throw 2 of 2,1,28-25,,
0:01.0,,,28-25,,T. Harris misses 2-pt shot from 6 ft
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,R. Anderson misses 2-pt shot from 4 ft (block by T. Harris),,28-25,,
11:48.0,Offensive rebound by A. Ajinca,,28-25,,
11:47.0,A. Ajinca misses 2-pt shot at rim,,28-25,,
11:44.0,Jump ball: A. Baynes vs. A. Gee,,,,Jump ball: A. Baynes vs. A. Gee
11:39.0,Jump ball: A. Baynes vs. A. Gee (T. Harris gains possession),,,,Jump ball: A. Baynes vs. A. Gee (T. Harris gains possession)
11:38.0,,,28-25,,Defensive rebound by Team
11:26.0,,,28-27,2,T. Harris makes 2-pt shot at rim
11:26.0,,,28-27,,Shooting foul by A. Ajinca (drawn by T. Harris)
11:26.0,,,28-28,1,T. Harris makes free throw 1 of 1
11:08.0,R. Anderson misses 2-pt shot from 14 ft,,28-28,,
11:08.0,,,28-28,,Defensive rebound by S. Johnson
10:59.0,,,28-31,3,D. Hilliard makes 3-pt shot from 26 ft (assist by S. Blake)
10:49.0,,,28-31,,Personal foul by S. Blake (drawn by R. Anderson)
10:49.0,A. Davis enters the game for A. Ajinca,,28-31,,
10:37.0,J. Holiday misses 3-pt shot from 25 ft,,28-31,,
10:36.0,,,28-31,,Defensive rebound by S. Johnson
10:29.0,,,28-31,,A. Baynes misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by J. Holiday,,28-31,,
10:21.0,R. Anderson misses 3-pt shot from 25 ft,,28-31,,
10:20.0,,,28-31,,Defensive rebound by T. Harris
10:12.0,,,28-31,,T. Harris misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by R. Anderson,,28-31,,
9:54.0,A. Davis misses 2-pt shot from 5 ft (block by A. Baynes),,28-31,,
9:53.0,Offensive rebound by A. Davis,,28-31,,
9:53.0,,,28-31,,Personal foul by A. Baynes (drawn by A. Davis)
9:44.0,J. Holiday makes 2-pt shot at rim,2,30-31,,
9:26.0,,,30-31,,D. Hilliard misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by J. Holiday,,30-31,,
9:20.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,32-31,,
8:54.0,,,32-33,2,A. Baynes makes 2-pt shot at rim (assist by S. Blake)
8:49.0,J. Holiday makes 2-pt shot from 9 ft (assist by A. Gee),2,34-33,,
8:49.0,Shooting foul by D. Hilliard (drawn by J. Holiday),,34-33,,
8:49.0,Official timeout,,34-33,,
8:49.0,J. Holiday misses free throw 1 of 1,,34-33,,
8:48.0,,,34-33,,Defensive rebound by T. Harris
8:36.0,,,34-33,,Turnover by S. Blake (lost ball; steal by T. Douglas)
8:32.0,Turnover by A. Davis (bad pass),,34-33,,
8:19.0,,,34-33,,S. Blake misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by A. Davis,,34-33,,
8:05.0,A. Davis misses 2-pt shot at rim,,34-33,,
8:05.0,Offensive rebound by A. Davis,,34-33,,
7:57.0,A. Davis makes 2-pt shot at rim,2,36-33,,
7:50.0,,,36-33,,Shooting foul by J. Holiday (drawn by S. Johnson)
7:50.0,,,36-33,,S. Johnson misses free throw 1 of 2
7:50.0,,,36-33,,Offensive rebound by Team
7:50.0,,,36-34,1,S. Johnson makes free throw 2 of 2
7:39.0,J. Holiday misses 2-pt shot at rim,,36-34,,
7:39.0,,,36-34,,Defensive rebound by T. Harris
7:28.0,,,36-34,,Turnover by D. Hilliard (bad pass)
7:11.0,A. Davis makes 2-pt shot from 20 ft,2,38-34,,
6:59.0,,,38-37,3,S. Johnson makes 3-pt shot from 23 ft (assist by S. Blake)
6:49.0,T. Douglas makes 3-pt shot from 25 ft,3,41-37,,
6:24.0,,,41-37,,T. Harris misses 2-pt shot from 7 ft
6:23.0,Defensive rebound by A. Gee,,41-37,,
6:19.0,,,41-37,,Personal foul by S. Blake (drawn by T. Douglas)
6:19.0,,,41-37,,M. Morris enters the game for T. Harris
6:19.0,,,41-37,,R. Jackson enters the game for S. Blake
6:19.0,,,41-37,,K. Caldwell-Pope enters the game for D. Hilliard
6:19.0,N. Cole enters the game for T. Douglas,,41-37,,
6:10.0,A. Davis makes 2-pt shot at rim (assist by N. Cole),2,43-37,,
6:06.0,,,43-37,,Detroit full timeout
5:54.0,,,43-37,,Shooting foul by J. Holiday (drawn by A. Baynes)
5:54.0,,,43-38,1,A. Baynes makes free throw 1 of 2
5:54.0,,,43-39,1,A. Baynes makes free throw 2 of 2
5:36.0,R. Anderson misses 2-pt shot at rim,,43-39,,
5:35.0,,,43-39,,Defensive rebound by M. Morris
5:22.0,,,43-39,,Shooting foul by N. Cole (drawn by A. Baynes)
5:22.0,,,43-39,,A. Baynes misses free throw 1 of 2
5:22.0,,,43-39,,Offensive rebound by Team
5:22.0,,,43-39,,A. Baynes misses free throw 2 of 2
5:21.0,Defensive rebound by A. Davis,,43-39,,
5:01.0,A. Davis makes 2-pt shot from 15 ft,2,45-39,,
4:47.0,,,45-41,2,R. Jackson makes 2-pt shot from 18 ft
4:36.0,Shooting foul by A. Baynes (drawn by A. Davis),,45-41,,
4:36.0,A. Davis misses free throw 1 of 2,,45-41,,
4:36.0,Offensive rebound by Team,,45-41,,
4:36.0,,,45-41,,A. Drummond enters the game for A. Baynes
4:36.0,A. Davis makes free throw 2 of 2,1,46-41,,
4:28.0,,,46-41,,Shooting foul by N. Cole (drawn by R. Jackson)
4:28.0,,,46-42,1,R. Jackson makes free throw 1 of 2
4:28.0,T. Douglas enters the game for N. Cole,,46-42,,
4:28.0,,,46-43,1,R. Jackson makes free throw 2 of 2
4:13.0,R. Anderson misses 2-pt shot at rim,,46-43,,
4:12.0,Offensive rebound by A. Davis,,46-43,,
4:07.0,A. Davis makes 2-pt shot at rim,2,48-43,,
3:54.0,,,48-46,3,R. Jackson makes 3-pt shot from 24 ft
3:42.0,R. Anderson misses 3-pt shot from 25 ft,,48-46,,
3:42.0,,,48-46,,Defensive rebound by S. Johnson
3:31.0,,,48-46,,Turnover by S. Johnson (bad pass)
3:31.0,B. Dejean-Jones enters the game for J. Holiday,,48-46,,
3:11.0,T. Douglas misses 3-pt shot from 26 ft,,48-46,,
3:10.0,,,48-46,,Defensive rebound by A. Drummond
3:03.0,Personal foul by T. Douglas (drawn by R. Jackson),,48-46,,
3:03.0,,,48-47,1,R. Jackson makes free throw 1 of 2
3:03.0,,,48-48,1,R. Jackson makes free throw 2 of 2
2:49.0,Turnover by T. Douglas (bad pass),,48-48,,
2:49.0,New Orleans full timeout,,48-48,,
2:49.0,,,48-48,,T. Harris enters the game for S. Johnson
2:31.0,,,48-50,2,A. Drummond makes 2-pt shot from 6 ft (assist by M. Morris)
2:19.0,A. Davis misses 2-pt shot at rim (block by A. Drummond),,48-50,,
2:18.0,,,48-50,,Defensive rebound by R. Jackson
2:13.0,,,48-50,,Shooting foul by R. Anderson (drawn by A. Drummond)
2:13.0,,,48-50,,A. Drummond misses free throw 1 of 2
2:13.0,,,48-50,,Offensive rebound by Team
2:13.0,,,48-51,1,A. Drummond makes free throw 2 of 2
1:59.0,A. Davis misses 2-pt shot from 20 ft,,48-51,,
1:59.0,,,48-51,,Defensive rebound by M. Morris
1:54.0,,,48-53,2,R. Jackson makes 2-pt shot at rim
1:37.0,B. Dejean-Jones misses 3-pt shot from 25 ft,,48-53,,
1:37.0,,,48-53,,Defensive rebound by A. Drummond
1:29.0,,,48-53,,Turnover by M. Morris (bad pass; steal by R. Anderson)
1:18.0,R. Anderson makes 2-pt shot from 19 ft,2,50-53,,
0:55.0,,,50-53,,R. Jackson misses 3-pt shot from 26 ft
0:55.0,,,50-53,,Offensive rebound by A. Drummond
0:55.0,,,50-55,2,A. Drummond makes 2-pt shot at rim
0:46.0,A. Davis makes 2-pt shot at rim (assist by T. Douglas),2,52-55,,
0:46.0,Shooting foul by M. Morris (drawn by A. Davis),,52-55,,
0:46.0,,,52-55,,S. Blake enters the game for R. Jackson
0:46.0,,,52-55,,S. Johnson enters the game for M. Morris
0:46.0,A. Davis makes free throw 1 of 1,1,53-55,,
0:32.0,,,53-55,,Offensive charge foul by T. Harris
0:32.0,,,53-55,,Turnover by T. Harris (offensive foul)
0:17.0,R. Anderson misses 2-pt shot from 19 ft,,53-55,,
0:16.0,Offensive rebound by A. Davis,,53-55,,
0:02.0,T. Douglas misses 2-pt shot at rim,,53-55,,
0:01.0,Offensive rebound by A. Davis,,53-55,,
0:00.0,,,53-55,,Violation by A. Drummond (def goaltending)
0:00.0,A. Davis makes 2-pt shot at rim,2,55-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,N. Cole misses 2-pt shot at rim,,55-55,,
11:36.0,,,55-55,,Defensive rebound by M. Morris
11:22.0,,,55-55,,A. Drummond misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by K. Perkins,,55-55,,
11:07.0,A. Davis makes 2-pt shot from 7 ft (assist by B. Dejean-Jones),2,57-55,,
10:53.0,,,57-55,,Turnover by M. Morris (step out of bounds)
10:36.0,A. Davis makes 2-pt shot from 12 ft,2,59-55,,
10:16.0,,,59-57,2,T. Harris makes 2-pt shot from 14 ft (assist by M. Morris)
9:59.0,A. Davis misses 2-pt shot from 17 ft,,59-57,,
9:59.0,,,59-57,,Defensive rebound by A. Drummond
9:47.0,,,59-57,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Perkins)
9:38.0,Turnover by B. Dejean-Jones (bad pass; steal by T. Harris),,59-57,,
9:30.0,,,59-59,2,R. Jackson makes 2-pt shot at rim
9:18.0,Turnover by N. Cole (bad pass; steal by A. Drummond),,59-59,,
9:10.0,,,59-61,2,M. Morris makes 2-pt shot at rim (assist by A. Drummond)
8:43.0,A. Davis misses 2-pt shot from 10 ft,,59-61,,
8:41.0,Offensive rebound by K. Perkins,,59-61,,
8:35.0,D. Cunningham misses 3-pt shot from 23 ft,,59-61,,
8:34.0,Offensive rebound by A. Davis,,59-61,,
8:28.0,A. Davis makes 2-pt shot at rim,2,61-61,,
8:12.0,,,61-61,,K. Caldwell-Pope misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by N. Cole,,61-61,,
8:03.0,N. Cole misses 2-pt shot from 14 ft,,61-61,,
8:02.0,,,61-61,,Defensive rebound by A. Drummond
7:58.0,,,61-61,,Shooting foul by K. Perkins (drawn by R. Jackson)
7:58.0,,,61-63,2,R. Jackson makes 2-pt shot at rim
7:58.0,,,61-64,1,R. Jackson makes free throw 1 of 1
7:50.0,Turnover by N. Cole (step out of bounds),,61-64,,
7:32.0,,,61-64,,Shooting foul by A. Davis (drawn by A. Drummond)
7:32.0,,,61-64,,A. Drummond misses free throw 1 of 2
7:32.0,,,61-64,,Offensive rebound by Team
7:32.0,T. Douglas enters the game for N. Cole,,61-64,,
7:32.0,,,61-64,,A. Drummond misses free throw 2 of 2
7:30.0,Defensive rebound by K. Perkins,,61-64,,
7:09.0,B. Dejean-Jones makes 3-pt shot from 22 ft (assist by A. Davis),3,64-64,,
7:03.0,,,64-64,,Turnover by R. Jackson (lost ball; steal by T. Douglas)
7:01.0,,,64-64,,Loose ball foul by R. Jackson (drawn by B. Dejean-Jones)
6:53.0,Turnover by T. Douglas (bad pass; steal by K. Caldwell-Pope),,64-64,,
6:51.0,Personal foul by B. Dejean-Jones (drawn by K. Caldwell-Pope),,64-64,,
6:51.0,J. Holiday enters the game for T. Douglas,,64-64,,
6:31.0,,,64-64,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by Team,,64-64,,
6:23.0,,,64-64,,Personal foul by K. Caldwell-Pope (drawn by J. Holiday)
6:11.0,J. Holiday makes 2-pt shot from 7 ft,2,66-64,,
5:45.0,,,66-66,2,K. Caldwell-Pope makes 2-pt shot from 10 ft
5:31.0,A. Davis makes 3-pt shot from 26 ft (assist by D. Cunningham),3,69-66,,
5:13.0,,,69-69,3,R. Jackson makes 3-pt shot from 26 ft
4:58.0,D. Cunningham misses 2-pt shot from 1 ft,,69-69,,
4:58.0,,,69-69,,Defensive rebound by A. Drummond
4:51.0,,,69-69,,K. Caldwell-Pope misses 3-pt shot from 22 ft
4:50.0,Defensive rebound by A. Davis,,69-69,,
4:50.0,,,69-69,,Loose ball foul by A. Drummond (drawn by A. Davis)
4:50.0,,,69-69,,Detroit full timeout
4:50.0,,,69-69,,S. Johnson enters the game for T. Harris
4:50.0,A. Ajinca enters the game for K. Perkins,,69-69,,
4:36.0,J. Holiday misses 2-pt shot from 11 ft,,69-69,,
4:36.0,,,69-69,,Defensive rebound by A. Drummond
4:20.0,,,69-69,,M. Morris misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by D. Cunningham,,69-69,,
4:04.0,A. Davis makes 2-pt shot from 6 ft,2,71-69,,
3:43.0,,,71-69,,Turnover by K. Caldwell-Pope (bad pass; steal by B. Dejean-Jones)
3:35.0,D. Cunningham makes 2-pt shot at rim (assist by A. Davis),2,73-69,,
3:22.0,Def 3 sec tech foul by A. Davis,,73-69,,
3:22.0,,,73-70,1,R. Jackson makes technical free throw
3:17.0,,,73-70,,A. Drummond misses 2-pt shot at rim
3:15.0,,,73-70,,Offensive rebound by K. Caldwell-Pope
3:08.0,,,73-72,2,A. Drummond makes 2-pt shot at rim (assist by S. Johnson)
3:08.0,,,73-72,,Violation by Team (delay of game)
3:08.0,,,73-72,,Technical foul by Team
3:08.0,A. Davis makes technical free throw,1,74-72,,
2:49.0,J. Holiday misses 3-pt shot from 25 ft,,74-72,,
2:48.0,,,74-72,,Defensive rebound by K. Caldwell-Pope
2:44.0,,,74-72,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:44.0,,,74-72,,Offensive rebound by S. Johnson
2:44.0,New Orleans full timeout,,74-72,,
2:44.0,,,74-72,,S. Blake enters the game for M. Morris
2:44.0,,,74-72,,T. Harris enters the game for R. Jackson
2:33.0,,,74-72,,S. Johnson misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by B. Dejean-Jones,,74-72,,
2:16.0,J. Holiday misses 3-pt shot from 27 ft,,74-72,,
2:15.0,Offensive rebound by J. Holiday,,74-72,,
2:10.0,J. Holiday makes 2-pt shot at rim,2,76-72,,
1:54.0,,,76-72,,Shooting foul by B. Dejean-Jones (drawn by K. Caldwell-Pope)
1:54.0,,,76-73,1,K. Caldwell-Pope makes free throw 1 of 2
1:54.0,A. Gee enters the game for D. Cunningham,,76-73,,
1:54.0,T. Douglas enters the game for B. Dejean-Jones,,76-73,,
1:54.0,,,76-73,,K. Caldwell-Pope misses free throw 2 of 2
1:53.0,Defensive rebound by A. Ajinca,,76-73,,
1:38.0,Turnover by T. Douglas (bad pass; steal by K. Caldwell-Pope),,76-73,,
1:29.0,,,76-73,,T. Harris misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by A. Gee,,76-73,,
1:16.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,78-73,,
0:57.0,,,78-73,,K. Caldwell-Pope misses 2-pt shot from 7 ft
0:57.0,Defensive rebound by Team,,78-73,,
0:57.0,,,78-73,,Loose ball foul by A. Drummond (drawn by A. Ajinca)
0:57.0,,,78-73,,A. Baynes enters the game for A. Drummond
0:46.0,A. Ajinca makes 2-pt shot at rim (assist by J. Holiday),2,80-73,,
0:34.0,Personal foul by J. Holiday (drawn by K. Caldwell-Pope),,80-73,,
0:34.0,,,80-74,1,K. Caldwell-Pope makes free throw 1 of 2
0:34.0,R. Anderson enters the game for A. Ajinca,,80-74,,
0:34.0,,,80-75,1,K. Caldwell-Pope makes free throw 2 of 2
0:24.0,A. Davis misses 2-pt shot from 17 ft,,80-75,,
0:23.0,,,80-75,,Defensive rebound by S. Blake
0:06.0,,,80-75,,S. Blake misses 3-pt shot from 27 ft
0:04.0,Defensive rebound by R. Anderson,,80-75,,
0:02.0,R. Anderson misses 3-pt shot from 54 ft,,80-75,,
0:00.0,Offensive rebound by Team,,80-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,80-78,3,S. Blake makes 3-pt shot from 23 ft (assist by S. Johnson)
11:24.0,R. Anderson misses 3-pt shot from 24 ft,,80-78,,
11:24.0,,,80-78,,Defensive rebound by T. Harris
11:08.0,,,80-78,,T. Harris misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by R. Anderson,,80-78,,
10:48.0,D. Cunningham misses 3-pt shot from 25 ft,,80-78,,
10:47.0,,,80-78,,Defensive rebound by S. Johnson
10:31.0,Personal foul by D. Cunningham (drawn by S. Blake),,80-78,,
10:22.0,,,80-81,3,T. Harris makes 3-pt shot from 26 ft (assist by S. Blake)
10:09.0,J. Holiday misses 3-pt shot from 25 ft,,80-81,,
10:09.0,,,80-81,,Defensive rebound by S. Johnson
10:02.0,Violation by R. Anderson (kicked ball),,80-81,,
10:02.0,A. Davis enters the game for D. Cunningham,,80-81,,
9:49.0,,,80-81,,S. Johnson misses 2-pt shot from 17 ft
9:49.0,Defensive rebound by T. Douglas,,80-81,,
9:33.0,T. Douglas misses 3-pt shot from 26 ft,,80-81,,
9:32.0,,,80-81,,Defensive rebound by D. Hilliard
9:22.0,,,80-81,,A. Baynes misses 2-pt shot at rim
9:20.0,Defensive rebound by A. Davis,,80-81,,
9:13.0,R. Anderson misses 3-pt shot from 24 ft,,80-81,,
9:13.0,Offensive rebound by Team,,80-81,,
9:11.0,Shooting foul by A. Baynes (drawn by A. Davis),,80-81,,
9:11.0,A. Davis makes free throw 1 of 2,1,81-81,,
9:11.0,A. Davis makes free throw 2 of 2,1,82-81,,
8:56.0,,,82-83,2,S. Johnson makes 2-pt shot from 6 ft
8:44.0,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday),2,84-83,,
8:27.0,,,84-83,,S. Johnson misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by A. Davis,,84-83,,
8:16.0,R. Anderson misses 3-pt shot from 25 ft,,84-83,,
8:15.0,,,84-83,,Defensive rebound by S. Johnson
8:03.0,,,84-83,,T. Harris misses 3-pt shot from 22 ft
8:03.0,Defensive rebound by T. Douglas,,84-83,,
7:46.0,Turnover by A. Davis (bad pass; steal by D. Hilliard),,84-83,,
7:42.0,,,84-83,,Offensive charge foul by S. Johnson
7:42.0,,,84-83,,Turnover by S. Johnson (offensive foul)
7:42.0,Official timeout,,84-83,,
7:42.0,,,84-83,,R. Jackson enters the game for S. Blake
7:42.0,,,84-83,,M. Morris enters the game for S. Johnson
7:42.0,,,84-83,,A. Drummond enters the game for A. Baynes
7:30.0,A. Davis misses 2-pt shot from 11 ft,,84-83,,
7:29.0,,,84-83,,Defensive rebound by T. Harris
7:06.0,,,84-83,,D. Hilliard misses 2-pt shot from 14 ft
7:05.0,Defensive rebound by A. Gee,,84-83,,
6:57.0,J. Holiday makes 2-pt shot from 16 ft,2,86-83,,
6:40.0,,,86-83,,R. Jackson misses 2-pt shot from 4 ft (block by A. Davis)
6:38.0,Defensive rebound by A. Gee,,86-83,,
6:30.0,,,86-83,,K. Caldwell-Pope enters the game for D. Hilliard
6:26.0,J. Holiday makes 2-pt shot at rim (assist by A. Gee),2,88-83,,
6:04.0,,,88-85,2,K. Caldwell-Pope makes 2-pt shot at rim
5:55.0,Turnover by J. Holiday (bad pass; steal by A. Drummond),,88-85,,
