time,Brooklyn,pts.away,score,pts.home,Orlando
3:20.0,T. Robinson enters the game for T. Young,,16-17,,
3:11.0,T. Robinson makes 2-pt shot from 2 ft (assist by B. Lopez),2,18-17,,
2:50.0,,,18-17,,Orlando full timeout
2:46.0,,,18-17,,Shooting foul by S. Larkin (drawn by S. Napier)
2:46.0,,,18-18,1,S. Napier makes free throw 1 of 2
2:46.0,,,18-19,1,S. Napier makes free throw 2 of 2
2:37.0,T. Robinson misses 2-pt shot from 1 ft,,18-19,,
2:34.0,,,18-19,,Defensive rebound by S. Napier
2:23.0,,,18-19,,Shooting foul by T. Robinson (drawn by T. Harris)
2:23.0,,,18-20,1,T. Harris makes free throw 1 of 2
2:23.0,,,18-21,1,T. Harris makes free throw 2 of 2
2:14.0,B. Lopez makes 2-pt shot at rim (assist by S. Larkin),2,20-21,,
1:56.0,,,20-21,,N. Vucevic misses 2-pt shot from 11 ft
1:55.0,,,20-21,,Offensive rebound by V. Oladipo
1:39.0,,,20-24,3,V. Oladipo makes 3-pt shot from 26 ft (assist by S. Napier)
1:21.0,Shooting foul by V. Oladipo (drawn by W. Ellington),,20-24,,
1:21.0,W. Ellington makes free throw 1 of 2,1,21-24,,
1:21.0,,,21-24,,A. Gordon enters the game for T. Harris
1:21.0,B. Bogdanovic enters the game for J. Johnson,,21-24,,
1:21.0,W. Reed enters the game for B. Lopez,,21-24,,
1:21.0,W. Ellington makes free throw 2 of 2,1,22-24,,
1:17.0,,,22-24,,Turnover by N. Vucevic (lost ball; steal by T. Robinson)
1:04.0,T. Robinson misses 2-pt shot from 10 ft,,22-24,,
1:02.0,,,22-24,,Defensive rebound by N. Vucevic
0:45.0,,,22-24,,A. Nicholson misses 2-pt shot from 2 ft
0:45.0,,,22-24,,Offensive rebound by N. Vucevic
0:45.0,,,22-26,2,N. Vucevic makes 2-pt shot from 1 ft
0:30.0,B. Bogdanovic misses 2-pt shot from 11 ft (block by A. Gordon),,22-26,,
0:30.0,Offensive rebound by Team,,22-26,,
0:26.0,W. Reed makes 2-pt shot from 6 ft (assist by B. Bogdanovic),2,24-26,,
0:03.0,,,24-26,,Turnover by V. Oladipo (bad pass; steal by T. Robinson)
0:00.0,T. Robinson makes 2-pt shot from 13 ft,2,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:57.0,,,26-26,,Turnover by A. Nicholson (bad pass; steal by S. Larkin)
11:55.0,,,26-26,,C. Frye enters the game for A. Nicholson
11:46.0,Turnover by W. Ellington (step out of bounds),,26-26,,
11:35.0,,,26-26,,D. Dedmon misses 2-pt shot at rim (block by T. Robinson)
11:34.0,Jump ball: D. Dedmon vs. T. Robinson (V. Oladipo gains possession),,,,Jump ball: D. Dedmon vs. T. Robinson (V. Oladipo gains possession)
11:34.0,,,26-26,,Offensive rebound by Team
11:24.0,,,26-26,,V. Oladipo misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by B. Bogdanovic,,26-26,,
11:15.0,W. Reed makes 2-pt shot at rim (assist by S. Larkin),2,28-26,,
11:09.0,Personal foul by T. Robinson (drawn by C. Frye),,28-26,,
11:09.0,A. Bargnani enters the game for T. Robinson,,28-26,,
11:02.0,,,28-26,,C. Frye misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by B. Bogdanovic,,28-26,,
10:50.0,B. Bogdanovic makes 2-pt shot from 8 ft,2,30-26,,
10:50.0,Shooting foul by V. Oladipo (drawn by B. Bogdanovic),,30-26,,
10:50.0,B. Bogdanovic makes free throw 1 of 1,1,31-26,,
10:38.0,,,31-26,,V. Oladipo misses 2-pt shot from 20 ft
10:37.0,,,31-26,,Offensive rebound by D. Dedmon
10:33.0,,,31-26,,V. Oladipo misses 2-pt shot at rim
10:31.0,,,31-26,,Offensive rebound by A. Gordon
10:31.0,,,31-26,,Shooting foul by W. Reed (drawn by A. Gordon)
10:31.0,,,31-26,,A. Gordon misses free throw 1 of 2
10:31.0,,,31-26,,Offensive rebound by Team
10:31.0,,,31-27,1,A. Gordon makes free throw 2 of 2
10:12.0,W. Reed misses 2-pt shot from 5 ft,,31-27,,
10:10.0,,,31-27,,Defensive rebound by D. Dedmon
9:58.0,,,31-29,2,D. Dedmon makes 2-pt shot from 2 ft (assist by M. Hezonja)
9:40.0,W. Ellington makes 2-pt shot from 15 ft,2,33-29,,
9:26.0,B. Lopez enters the game for W. Reed,,33-29,,
9:17.0,,,33-32,3,A. Gordon makes 3-pt shot from 23 ft (assist by V. Oladipo)
8:58.0,A. Bargnani misses 2-pt shot from 21 ft,,33-32,,
8:56.0,Offensive rebound by B. Lopez,,33-32,,
8:52.0,B. Lopez misses 3-pt shot from 26 ft (block by A. Gordon),,33-32,,
8:50.0,,,33-32,,Defensive rebound by D. Dedmon
8:36.0,,,33-32,,M. Hezonja misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by B. Lopez,,33-32,,
8:19.0,B. Bogdanovic misses 2-pt shot from 12 ft (block by M. Hezonja),,33-32,,
8:17.0,Offensive rebound by B. Bogdanovic,,33-32,,
8:15.0,B. Bogdanovic makes 2-pt shot at rim,2,35-32,,
7:59.0,,,35-32,,D. Dedmon misses 2-pt shot at rim
7:57.0,Defensive rebound by S. Larkin,,35-32,,
7:54.0,B. Bogdanovic misses 2-pt shot from 2 ft,,35-32,,
7:53.0,,,35-32,,Defensive rebound by A. Gordon
7:47.0,,,35-32,,Turnover by V. Oladipo (bad pass)
7:47.0,,,35-32,,E. Fournier enters the game for M. Hezonja
7:47.0,J. Jack enters the game for W. Ellington,,35-32,,
7:31.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,37-32,,
7:16.0,,,37-32,,E. Fournier misses 2-pt shot from 2 ft (block by B. Lopez)
7:13.0,Defensive rebound by B. Lopez,,37-32,,
7:04.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,39-32,,
6:44.0,,,39-34,2,A. Gordon makes 2-pt shot from 8 ft (assist by E. Fournier)
6:29.0,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin),2,41-34,,
6:01.0,,,41-34,,E. Fournier misses 3-pt shot from 27 ft
6:00.0,,,41-34,,Offensive rebound by C. Frye
5:49.0,,,41-34,,Turnover by V. Oladipo (bad pass; steal by A. Bargnani)
5:42.0,Shooting foul by E. Fournier (drawn by B. Lopez),,41-34,,
5:42.0,,,41-34,,Orlando full timeout
5:42.0,J. Johnson enters the game for S. Larkin,,41-34,,
5:42.0,,,41-34,,N. Vucevic enters the game for V. Oladipo
5:42.0,,,41-34,,T. Harris enters the game for A. Gordon
5:42.0,,,41-34,,S. Napier enters the game for D. Dedmon
5:42.0,B. Lopez makes free throw 1 of 2,1,42-34,,
5:42.0,B. Lopez makes free throw 2 of 2,1,43-34,,
5:21.0,,,43-36,2,N. Vucevic makes 2-pt shot from 1 ft
5:04.0,,,43-36,,Personal foul by S. Napier (drawn by J. Jack)
4:56.0,B. Lopez makes 2-pt shot from 12 ft (assist by J. Jack),2,45-36,,
4:39.0,,,45-36,,S. Napier misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by B. Bogdanovic,,45-36,,
4:26.0,A. Bargnani misses 2-pt shot from 16 ft,,45-36,,
4:24.0,,,45-36,,Defensive rebound by C. Frye
4:10.0,,,45-36,,T. Harris misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by B. Lopez,,45-36,,
3:56.0,A. Bargnani misses 2-pt shot from 17 ft,,45-36,,
3:55.0,,,45-36,,Defensive rebound by C. Frye
3:34.0,,,45-39,3,E. Fournier makes 3-pt shot from 24 ft (assist by C. Frye)
3:16.0,B. Lopez makes 2-pt shot from 13 ft,2,47-39,,
2:58.0,Personal foul by B. Bogdanovic (drawn by C. Frye),,47-39,,
2:58.0,Brooklyn full timeout,,47-39,,
2:58.0,T. Young enters the game for A. Bargnani,,47-39,,
2:51.0,Personal foul by T. Young (drawn by N. Vucevic),,47-39,,
2:48.0,,,47-39,,Turnover by T. Harris (lost ball; steal by J. Jack)
2:43.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack),2,49-39,,
2:20.0,,,49-39,,N. Vucevic misses 2-pt shot from 16 ft
2:19.0,Defensive rebound by B. Lopez,,49-39,,
1:57.0,J. Jack makes 2-pt shot from 6 ft,2,51-39,,
1:57.0,Shooting foul by S. Napier (drawn by J. Jack),,51-39,,
1:57.0,,,51-39,,V. Oladipo enters the game for S. Napier
1:57.0,J. Jack makes free throw 1 of 1,1,52-39,,
1:46.0,Violation by B. Lopez (def goaltending),,52-39,,
1:46.0,,,52-41,2,T. Harris makes 2-pt shot from 3 ft
1:46.0,,,52-41,,Shooting foul by J. Johnson (drawn by T. Harris)
1:46.0,,,52-41,,T. Harris misses free throw 1 of 1
1:44.0,Defensive rebound by J. Johnson,,52-41,,
1:22.0,B. Bogdanovic misses 3-pt shot from 23 ft,,52-41,,
1:21.0,Offensive rebound by B. Lopez,,52-41,,
1:20.0,B. Lopez misses 2-pt shot from 1 ft,,52-41,,
1:18.0,Offensive rebound by B. Lopez,,52-41,,
1:18.0,B. Lopez misses 2-pt shot at rim,,52-41,,
1:17.0,,,52-41,,Defensive rebound by N. Vucevic
1:05.0,,,52-43,2,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic)
0:51.0,Turnover by B. Bogdanovic (back court),,52-43,,
0:37.0,Personal foul by T. Young (drawn by E. Fournier),,52-43,,
0:37.0,,,52-44,1,E. Fournier makes free throw 1 of 2
0:37.0,S. Larkin enters the game for T. Young,,52-44,,
0:37.0,,,52-44,,A. Gordon enters the game for C. Frye
0:37.0,,,52-45,1,E. Fournier makes free throw 2 of 2
0:29.0,J. Jack misses 2-pt shot from 17 ft,,52-45,,
0:27.0,,,52-45,,Defensive rebound by T. Harris
0:06.0,,,52-45,,V. Oladipo misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by B. Lopez,,52-45,,
0:00.0,B. Bogdanovic misses 3-pt shot from 25 ft,,52-45,,
0:00.0,Offensive rebound by Team,,52-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,52-45,,Turnover by S. Napier (bad pass; steal by B. Lopez)
11:22.0,J. Johnson makes 2-pt shot from 15 ft,2,54-45,,
10:55.0,,,54-47,2,S. Napier makes 2-pt shot from 18 ft
10:33.0,J. Jack makes 2-pt shot from 16 ft (assist by B. Bogdanovic),2,56-47,,
10:18.0,,,56-47,,Turnover by E. Fournier (bad pass; steal by J. Johnson)
10:14.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack),2,58-47,,
9:57.0,,,58-47,,Turnover by C. Frye (bad pass; steal by B. Lopez)
9:51.0,B. Bogdanovic misses 3-pt shot from 24 ft,,58-47,,
9:50.0,,,58-47,,Defensive rebound by T. Harris
9:33.0,,,58-49,2,N. Vucevic makes 2-pt shot from 4 ft
9:26.0,Turnover by J. Jack (lost ball; steal by S. Napier),,58-49,,
9:19.0,,,58-51,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
9:04.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by T. Young),3,61-51,,
8:49.0,,,61-53,2,N. Vucevic makes 2-pt shot at rim (assist by S. Napier)
8:35.0,B. Bogdanovic misses 3-pt shot from 26 ft,,61-53,,
8:34.0,,,61-53,,Defensive rebound by S. Napier
8:31.0,,,61-53,,Turnover by S. Napier (bad pass)
8:22.0,Offensive foul by B. Lopez,,61-53,,
8:22.0,Turnover by B. Lopez (offensive foul),,61-53,,
8:06.0,,,61-53,,C. Frye misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by B. Bogdanovic,,61-53,,
7:53.0,T. Young misses 2-pt shot from 10 ft,,61-53,,
7:52.0,,,61-53,,Defensive rebound by T. Harris
7:43.0,,,61-55,2,C. Frye makes 2-pt shot at rim (assist by T. Harris)
7:41.0,Brooklyn full timeout,,61-55,,
7:19.0,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic),2,63-55,,
6:53.0,,,63-55,,C. Frye misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by B. Lopez,,63-55,,
6:42.0,J. Jack misses 2-pt shot from 17 ft,,63-55,,
6:41.0,,,63-55,,Defensive rebound by C. Frye
6:29.0,,,63-55,,T. Harris misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by J. Jack,,63-55,,
6:16.0,J. Johnson makes 2-pt shot from 12 ft,2,65-55,,
5:57.0,,,65-55,,C. Frye misses 2-pt shot from 7 ft
5:56.0,,,65-55,,Offensive rebound by N. Vucevic
5:56.0,,,65-55,,N. Vucevic misses 2-pt shot from 2 ft
5:55.0,,,65-55,,Offensive rebound by N. Vucevic
5:55.0,,,65-55,,N. Vucevic misses 2-pt shot from 2 ft
5:53.0,Defensive rebound by B. Lopez,,65-55,,
5:46.0,Shooting foul by C. Frye (drawn by T. Young),,65-55,,
5:46.0,T. Young makes free throw 1 of 2,1,66-55,,
5:46.0,,,66-55,,V. Oladipo enters the game for S. Napier
5:46.0,,,66-55,,A. Gordon enters the game for C. Frye
5:46.0,T. Young makes free throw 2 of 2,1,67-55,,
5:28.0,,,67-55,,V. Oladipo misses 3-pt shot from 24 ft
5:27.0,,,67-55,,Offensive rebound by T. Harris
5:27.0,,,67-57,2,T. Harris makes 2-pt shot at rim
5:07.0,J. Jack misses 3-pt shot from 22 ft,,67-57,,
5:05.0,,,67-57,,Defensive rebound by A. Gordon
4:47.0,,,67-59,2,N. Vucevic makes 2-pt shot from 16 ft
4:27.0,Turnover by J. Johnson (lost ball; steal by E. Fournier),,67-59,,
4:26.0,Personal foul by B. Bogdanovic (drawn by V. Oladipo),,67-59,,
4:08.0,,,67-61,2,E. Fournier makes 2-pt shot from 5 ft
4:00.0,Turnover by J. Jack (bad pass; steal by E. Fournier),,67-61,,
3:55.0,,,67-64,3,E. Fournier makes 3-pt shot from 26 ft (assist by V. Oladipo)
3:52.0,Brooklyn full timeout,,67-64,,
3:52.0,S. Larkin enters the game for B. Bogdanovic,,67-64,,
3:52.0,W. Ellington enters the game for J. Jack,,67-64,,
3:52.0,Violation by Team (delay of game),,67-64,,
3:30.0,B. Lopez misses 2-pt shot from 12 ft,,67-64,,
3:28.0,,,67-64,,Defensive rebound by V. Oladipo
3:09.0,,,67-64,,N. Vucevic misses 2-pt shot from 18 ft
3:07.0,Defensive rebound by B. Lopez,,67-64,,
3:04.0,Shooting foul by N. Vucevic (drawn by T. Young),,67-64,,
3:04.0,T. Young makes free throw 1 of 2,1,68-64,,
3:04.0,W. Reed enters the game for B. Lopez,,68-64,,
3:04.0,T. Young makes free throw 2 of 2,1,69-64,,
2:49.0,,,69-64,,N. Vucevic misses 2-pt shot from 10 ft
2:46.0,,,69-64,,Offensive rebound by A. Gordon
2:46.0,,,69-66,2,A. Gordon makes 2-pt shot from 2 ft
2:34.0,Turnover by T. Young (bad pass; steal by V. Oladipo),,69-66,,
2:30.0,,,69-66,,V. Oladipo misses 2-pt shot at rim
2:30.0,Defensive rebound by Team,,69-66,,
2:30.0,,,69-66,,Loose ball foul by A. Gordon (drawn by W. Reed)
2:30.0,,,69-66,,Orlando full timeout
2:11.0,Turnover by W. Ellington (lost ball; steal by T. Harris),,69-66,,
1:58.0,,,69-66,,Turnover by E. Fournier (bad pass; steal by T. Young)
1:53.0,W. Ellington makes 2-pt shot from 19 ft (assist by T. Young),2,71-66,,
1:37.0,,,71-68,2,E. Fournier makes 2-pt shot from 18 ft
1:18.0,W. Reed makes 2-pt shot from 3 ft,2,73-68,,
0:53.0,,,73-68,,E. Fournier misses 3-pt shot from 23 ft
0:52.0,,,73-68,,Offensive rebound by Team
0:51.0,,,73-68,,Turnover by Team (shot clock)
0:51.0,,,73-68,,J. Smith enters the game for N. Vucevic
0:39.0,J. Johnson misses 2-pt shot from 19 ft,,73-68,,
0:37.0,,,73-68,,Defensive rebound by V. Oladipo
0:16.0,,,73-68,,A. Gordon misses 2-pt shot from 10 ft
0:14.0,,,73-68,,Offensive rebound by T. Harris
0:14.0,,,73-68,,T. Harris misses 2-pt shot from 1 ft
0:11.0,Defensive rebound by T. Young,,73-68,,
0:09.0,W. Ellington misses 3-pt shot from 28 ft,,73-68,,
0:06.0,Offensive rebound by W. Reed,,73-68,,
0:06.0,W. Reed misses 2-pt shot from 2 ft,,73-68,,
0:05.0,,,73-68,,Defensive rebound by A. Gordon
0:03.0,,,73-68,,Turnover by T. Harris (bad pass; steal by S. Larkin)
0:02.0,S. Larkin misses 2-pt shot at rim,,73-68,,
0:00.0,,,73-68,,Defensive rebound by J. Smith
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,W. Ellington misses 3-pt shot from 25 ft,,73-68,,
11:36.0,,,73-68,,Defensive rebound by J. Smith
11:18.0,,,73-70,2,J. Smith makes 2-pt shot from 19 ft (assist by E. Fournier)
11:06.0,Turnover by S. Larkin (bad pass),,73-70,,
10:46.0,,,73-72,2,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo)
10:24.0,W. Ellington misses 3-pt shot from 23 ft,,73-72,,
10:23.0,,,73-72,,Defensive rebound by J. Smith
10:12.0,,,73-72,,Shooting foul by W. Reed (drawn by J. Smith)
10:12.0,,,73-73,1,J. Smith makes free throw 1 of 2
10:12.0,B. Lopez enters the game for W. Reed,,73-73,,
10:12.0,J. Jack enters the game for W. Ellington,,73-73,,
10:12.0,,,73-74,1,J. Smith makes free throw 2 of 2
9:58.0,,,73-74,,Violation by J. Smith (def goaltending)
9:58.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,75-74,,
9:39.0,,,75-77,3,E. Fournier makes 3-pt shot from 25 ft
9:16.0,B. Lopez misses 2-pt shot from 1 ft,,75-77,,
9:14.0,Offensive rebound by B. Lopez,,75-77,,
9:14.0,B. Lopez misses 2-pt shot from 1 ft,,75-77,,
9:12.0,,,75-77,,Defensive rebound by V. Oladipo
9:08.0,,,75-77,,Turnover by V. Oladipo (bad pass; steal by J. Jack)
9:04.0,B. Lopez makes 2-pt shot at rim (assist by J. Jack),2,77-77,,
8:39.0,,,77-80,3,V. Oladipo makes 3-pt shot from 27 ft
8:25.0,B. Bogdanovic makes 2-pt shot at rim (assist by S. Larkin),2,79-80,,
8:13.0,,,79-80,,Shooting foul by S. Larkin (drawn by V. Oladipo)
8:13.0,Official timeout,,79-80,,
8:13.0,,,79-80,,T. Harris enters the game for M. Hezonja
8:13.0,,,79-80,,Violation by Team (delay of game)
8:13.0,,,79-81,1,V. Oladipo makes free throw 1 of 2
8:13.0,,,79-82,1,V. Oladipo makes free throw 2 of 2
8:00.0,S. Larkin misses 2-pt shot from 2 ft (block by J. Smith),,79-82,,
7:57.0,,,79-82,,Defensive rebound by V. Oladipo
7:43.0,,,79-82,,J. Smith misses 2-pt shot from 17 ft
7:42.0,Defensive rebound by J. Jack,,79-82,,
7:34.0,,,79-82,,Personal foul by J. Smith (drawn by B. Lopez)
7:29.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,81-82,,
7:29.0,Shooting foul by J. Smith (drawn by B. Lopez),,81-82,,
7:29.0,,,81-82,,N. Vucevic enters the game for J. Smith
7:29.0,B. Lopez makes free throw 1 of 1,1,82-82,,
7:17.0,,,82-82,,Shooting foul by J. Jack (drawn by E. Fournier)
7:17.0,,,82-83,1,E. Fournier makes free throw 1 of 2
7:17.0,,,82-84,1,E. Fournier makes free throw 2 of 2
7:05.0,,,82-84,,Personal foul by A. Gordon (drawn by B. Bogdanovic)
6:54.0,B. Lopez misses 2-pt shot from 13 ft,,82-84,,
6:53.0,,,82-84,,Defensive rebound by V. Oladipo
6:32.0,,,82-84,,T. Harris misses 2-pt shot from 6 ft (block by B. Lopez)
6:31.0,Defensive rebound by B. Lopez,,82-84,,
6:23.0,Shooting foul by N. Vucevic (drawn by B. Lopez),,82-84,,
6:23.0,B. Lopez misses free throw 1 of 2,,82-84,,
6:23.0,Offensive rebound by Team,,82-84,,
6:23.0,B. Lopez misses free throw 2 of 2,,82-84,,
6:22.0,,,82-84,,Defensive rebound by T. Harris
6:08.0,,,82-84,,T. Harris misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by S. Larkin,,82-84,,
5:57.0,Turnover by S. Larkin (bad pass),,82-84,,
5:57.0,,,82-84,,Orlando full timeout
5:57.0,J. Johnson enters the game for A. Bargnani,,82-84,,
5:42.0,,,82-84,,N. Vucevic misses 2-pt shot from 19 ft
5:41.0,Defensive rebound by B. Bogdanovic,,82-84,,
5:25.0,J. Jack misses 2-pt shot from 16 ft,,82-84,,
5:24.0,,,82-84,,Defensive rebound by N. Vucevic
5:01.0,,,82-86,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Fournier)
4:42.0,B. Bogdanovic misses 3-pt shot from 23 ft,,82-86,,
4:41.0,Offensive rebound by B. Lopez,,82-86,,
4:25.0,J. Johnson makes 3-pt shot from 26 ft (assist by B. Lopez),3,85-86,,
4:06.0,Personal foul by B. Lopez (drawn by N. Vucevic),,85-86,,
4:06.0,T. Young enters the game for S. Larkin,,85-86,,
4:00.0,,,85-86,,Turnover by V. Oladipo (bad pass)
3:43.0,T. Young makes 2-pt shot from 17 ft,2,87-86,,
3:21.0,,,87-86,,N. Vucevic misses 2-pt shot from 6 ft
3:20.0,,,87-86,,Offensive rebound by A. Gordon
3:06.0,,,87-86,,A. Gordon misses 2-pt shot from 13 ft
3:04.0,,,87-86,,Offensive rebound by V. Oladipo
3:02.0,,,87-86,,V. Oladipo misses 2-pt shot at rim (block by B. Lopez)
3:00.0,Defensive rebound by J. Jack,,87-86,,
2:55.0,J. Johnson misses 3-pt shot from 24 ft,,87-86,,
2:55.0,Offensive rebound by Team,,87-86,,
2:55.0,,,87-86,,Loose ball foul by E. Fournier (drawn by T. Young)
2:55.0,Brooklyn full timeout,,87-86,,
2:55.0,T. Young makes free throw 1 of 2,1,88-86,,
2:55.0,T. Young makes free throw 2 of 2,1,89-86,,
2:34.0,,,89-88,2,N. Vucevic makes 2-pt shot at rim (assist by T. Harris)
2:17.0,Shooting foul by N. Vucevic (drawn by B. Lopez),,89-88,,
2:17.0,B. Lopez makes free throw 1 of 2,1,90-88,,
2:17.0,B. Lopez makes free throw 2 of 2,1,91-88,,
1:58.0,,,91-90,2,N. Vucevic makes 2-pt shot from 1 ft (assist by T. Harris)
1:43.0,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young),2,93-90,,
1:32.0,,,93-90,,V. Oladipo misses 2-pt shot at rim
1:32.0,,,93-90,,Offensive rebound by N. Vucevic
1:32.0,,,93-92,2,N. Vucevic makes 2-pt shot from 1 ft
