time,Dallas,pts.away,score,pts.home,Oklahoma City
4:25.0,,,15-19,2,S. Adams makes 2-pt shot from 1 ft (assist by D. Waiters)
4:10.0,Shooting foul by A. Roberson (drawn by C. Parsons),,15-19,,
4:10.0,C. Parsons misses free throw 1 of 2,,15-19,,
4:10.0,Offensive rebound by Team,,15-19,,
4:10.0,C. Parsons misses free throw 2 of 2,,15-19,,
4:09.0,,,15-19,,Defensive rebound by S. Adams
3:49.0,,,15-19,,R. Westbrook misses 2-pt shot from 7 ft
3:48.0,Defensive rebound by C. Parsons,,15-19,,
3:38.0,D. Powell misses 2-pt shot from 1 ft,,15-19,,
3:36.0,,,15-19,,Defensive rebound by R. Westbrook
3:33.0,Violation by C. Parsons (def goaltending),,15-19,,
3:33.0,,,15-21,2,D. Waiters makes 2-pt shot from 2 ft
3:20.0,Z. Pachulia makes 2-pt shot from 1 ft,2,17-21,,
3:11.0,,,17-21,,Turnover by S. Adams (offensive foul)
3:11.0,,,17-21,,Offensive foul by S. Adams
3:11.0,W. Matthews enters the game for C. Parsons,,17-21,,
3:11.0,R. Felton enters the game for D. Williams,,17-21,,
3:11.0,,,17-21,,E. Kanter enters the game for S. Adams
3:11.0,,,17-21,,A. Morrow enters the game for A. Roberson
3:00.0,D. Powell makes 2-pt shot from 17 ft (assist by D. Harris),2,19-21,,
2:36.0,,,19-21,,D. Waiters misses 2-pt shot from 1 ft
2:35.0,,,19-21,,Offensive rebound by N. Collison
2:35.0,,,19-21,,N. Collison misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by Z. Pachulia,,19-21,,
2:27.0,W. Matthews misses 3-pt shot from 24 ft,,19-21,,
2:26.0,,,19-21,,Defensive rebound by E. Kanter
2:16.0,,,19-21,,Shooting foul by D. Powell (drawn by N. Collison)
2:16.0,,,19-21,,Oklahoma City full timeout
2:16.0,J. McGee enters the game for Z. Pachulia,,19-21,,
2:16.0,D. Nowitzki enters the game for D. Powell,,19-21,,
2:16.0,,,19-22,1,N. Collison makes free throw 1 of 2
2:16.0,,,19-23,1,N. Collison makes free throw 2 of 2
2:00.0,J. McGee makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,21-23,,
1:45.0,,,21-23,,R. Westbrook misses 2-pt shot from 3 ft
1:44.0,,,21-23,,Offensive rebound by N. Collison
1:44.0,,,21-25,2,N. Collison makes 2-pt shot at rim
1:28.0,J. McGee makes 2-pt shot from 4 ft (assist by D. Harris),2,23-25,,
1:17.0,,,23-25,,Shooting foul by R. Felton (drawn by D. Waiters)
1:17.0,,,23-26,1,D. Waiters makes free throw 1 of 2
1:17.0,,,23-27,1,D. Waiters makes free throw 2 of 2
1:04.0,J. McGee makes 2-pt shot at rim (assist by D. Harris),2,25-27,,
0:54.0,,,25-27,,R. Westbrook misses 2-pt shot from 11 ft
0:53.0,,,25-27,,Offensive rebound by E. Kanter
0:51.0,,,25-29,2,E. Kanter makes 2-pt shot from 4 ft
0:31.0,Turnover by J. McGee (offensive goaltending),,25-29,,
0:12.0,,,25-31,2,N. Collison makes 2-pt shot from 2 ft (assist by R. Westbrook)
0:06.0,,,25-31,,Personal take foul by D. Waiters (drawn by R. Felton)
0:00.0,D. Harris misses 2-pt shot from 17 ft,,25-31,,
0:00.0,Offensive rebound by Team,,25-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,25-31,,A. Morrow misses 2-pt shot from 7 ft
11:41.0,,,25-31,,Offensive rebound by E. Kanter
11:41.0,Violation by J. McGee (def goaltending),,25-31,,
11:41.0,,,25-33,2,E. Kanter makes 2-pt shot from 2 ft
11:20.0,J. McGee makes 2-pt shot at rim (assist by R. Felton),2,27-33,,
10:57.0,,,27-35,2,A. Morrow makes 2-pt shot from 10 ft (assist by S. Ibaka)
10:36.0,D. Nowitzki misses 2-pt shot from 14 ft,,27-35,,
10:35.0,,,27-35,,Defensive rebound by S. Ibaka
10:28.0,,,27-37,2,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Augustin)
10:11.0,,,27-37,,Personal foul by K. Singler (drawn by D. Harris)
10:11.0,J. Barea enters the game for D. Harris,,27-37,,
10:06.0,R. Felton makes 2-pt shot from 3 ft,2,29-37,,
10:06.0,Shooting foul by K. Singler (drawn by R. Felton),,29-37,,
10:06.0,R. Felton makes free throw 1 of 1,1,30-37,,
9:48.0,,,30-39,2,D. Augustin makes 2-pt shot from 18 ft
9:32.0,J. Barea misses 2-pt shot from 2 ft,,30-39,,
9:31.0,,,30-39,,Defensive rebound by D. Augustin
9:23.0,,,30-39,,K. Singler misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by J. McGee,,30-39,,
9:13.0,R. Felton misses 3-pt shot from 24 ft,,30-39,,
9:11.0,Offensive rebound by J. McGee,,30-39,,
9:11.0,J. McGee misses 2-pt shot from 2 ft,,30-39,,
9:10.0,,,30-39,,Defensive rebound by S. Ibaka
8:59.0,,,30-39,,E. Kanter misses 2-pt shot at rim
8:58.0,Defensive rebound by J. McGee,,30-39,,
8:52.0,,,30-39,,Personal foul by S. Ibaka (drawn by D. Nowitzki)
8:52.0,Official timeout,,30-39,,
8:52.0,,,30-39,,C. Payne enters the game for K. Singler
8:52.0,D. Powell enters the game for J. McGee,,30-39,,
8:52.0,,,30-39,,Violation by Team (delay of game)
8:43.0,D. Powell misses 2-pt shot from 14 ft,,30-39,,
8:43.0,,,30-39,,Defensive rebound by C. Payne
8:26.0,,,30-41,2,C. Payne makes 2-pt shot from 16 ft
8:13.0,D. Powell makes 2-pt shot at rim (assist by R. Felton),2,32-41,,
7:50.0,,,32-41,,Turnover by A. Morrow (bad pass; steal by D. Powell)
7:42.0,W. Matthews makes 2-pt shot from 2 ft,2,34-41,,
7:24.0,,,34-44,3,A. Morrow makes 3-pt shot from 24 ft (assist by E. Kanter)
7:11.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,36-44,,
6:50.0,,,36-46,2,S. Ibaka makes 2-pt shot from 4 ft (assist by C. Payne)
6:29.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,38-46,,
6:14.0,,,38-46,,C. Payne misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by J. Barea,,38-46,,
6:07.0,Shooting foul by E. Kanter (drawn by D. Nowitzki),,38-46,,
6:07.0,D. Nowitzki makes free throw 1 of 2,1,39-46,,
6:07.0,C. Parsons enters the game for W. Matthews,,39-46,,
6:07.0,D. Williams enters the game for R. Felton,,39-46,,
6:07.0,,,39-46,,R. Westbrook enters the game for E. Kanter
6:07.0,,,39-46,,S. Adams enters the game for D. Augustin
6:07.0,D. Nowitzki misses free throw 2 of 2,,39-46,,
6:06.0,,,39-46,,Defensive rebound by S. Adams
5:50.0,,,39-46,,R. Westbrook misses 2-pt shot from 3 ft
5:49.0,Defensive rebound by C. Parsons,,39-46,,
5:41.0,D. Williams misses 2-pt shot from 4 ft (block by A. Morrow),,39-46,,
5:40.0,,,39-46,,Defensive rebound by C. Payne
5:37.0,,,39-46,,Turnover by S. Ibaka (lost ball)
5:37.0,,,39-46,,Oklahoma City full timeout
5:37.0,Z. Pachulia enters the game for D. Nowitzki,,39-46,,
5:21.0,J. Barea misses 3-pt shot from 22 ft,,39-46,,
5:21.0,Offensive rebound by Team,,39-46,,
5:20.0,,,39-46,,D. Waiters enters the game for A. Morrow
5:13.0,D. Williams makes 2-pt shot from 2 ft,2,41-46,,
4:55.0,,,41-48,2,S. Ibaka makes 2-pt shot from 1 ft (assist by S. Adams)
4:39.0,J. Barea makes 2-pt shot from 5 ft,2,43-48,,
4:28.0,,,43-48,,C. Payne misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by Z. Pachulia,,43-48,,
4:22.0,Turnover by J. Barea (lost ball; steal by R. Westbrook),,43-48,,
4:15.0,,,43-48,,Turnover by C. Payne (bad pass)
4:15.0,D. Harris enters the game for J. Barea,,43-48,,
4:07.0,D. Williams makes 3-pt shot from 24 ft (assist by D. Harris),3,46-48,,
3:48.0,,,46-48,,R. Westbrook misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by D. Williams,,46-48,,
3:41.0,Shooting foul by C. Payne (drawn by D. Williams),,46-48,,
3:41.0,D. Williams makes free throw 1 of 2,1,47-48,,
3:41.0,,,47-48,,A. Roberson enters the game for C. Payne
3:41.0,D. Williams makes free throw 2 of 2,1,48-48,,
3:29.0,,,48-50,2,R. Westbrook makes 2-pt shot from 13 ft
3:20.0,D. Williams misses 2-pt shot from 15 ft,,48-50,,
3:19.0,,,48-50,,Defensive rebound by Team
3:19.0,Loose ball foul by Z. Pachulia (drawn by S. Ibaka),,48-50,,
3:09.0,,,48-50,,Turnover by R. Westbrook (lost ball)
2:51.0,Turnover by Z. Pachulia (traveling),,48-50,,
2:51.0,Dallas full timeout,,48-50,,
2:51.0,D. Nowitzki enters the game for D. Powell,,48-50,,
2:37.0,,,48-50,,Turnover by R. Westbrook (bad pass; steal by D. Harris)
2:23.0,C. Parsons makes 2-pt shot from 2 ft,2,50-50,,
1:59.0,,,50-52,2,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Westbrook)
1:43.0,D. Williams misses 2-pt shot from 17 ft,,50-52,,
1:43.0,,,50-52,,Defensive rebound by R. Westbrook
1:39.0,,,50-54,2,R. Westbrook makes 2-pt shot from 1 ft
1:39.0,,,50-54,,Shooting foul by D. Williams (drawn by R. Westbrook)
1:39.0,,,50-55,1,R. Westbrook makes free throw 1 of 1
1:24.0,C. Parsons misses 2-pt shot from 14 ft,,50-55,,
1:23.0,Offensive rebound by Z. Pachulia,,50-55,,
1:22.0,Z. Pachulia misses 2-pt shot from 3 ft,,50-55,,
1:20.0,,,50-55,,Defensive rebound by S. Ibaka
1:16.0,,,50-55,,Shooting foul by D. Harris (drawn by R. Westbrook)
1:16.0,,,50-57,2,R. Westbrook makes 2-pt shot from 2 ft
1:16.0,,,50-58,1,R. Westbrook makes free throw 1 of 1
1:07.0,D. Williams makes 2-pt shot at rim,2,52-58,,
0:55.0,,,52-58,,D. Waiters misses 2-pt shot from 18 ft
0:54.0,,,52-58,,Offensive rebound by S. Ibaka
0:54.0,,,52-58,,S. Ibaka misses 2-pt shot from 17 ft
0:53.0,Defensive rebound by D. Harris,,52-58,,
0:45.0,D. Nowitzki misses 2-pt shot from 16 ft,,52-58,,
0:45.0,,,52-58,,Defensive rebound by S. Ibaka
0:39.0,,,52-58,,D. Waiters misses 3-pt shot from 25 ft
0:38.0,,,52-58,,Offensive rebound by S. Ibaka
0:27.0,,,52-60,2,D. Waiters makes 2-pt shot from 2 ft (assist by S. Adams)
0:03.0,D. Harris misses 2-pt shot from 3 ft,,52-60,,
0:03.0,,,52-60,,Defensive rebound by S. Ibaka
0:01.0,,,52-60,,Turnover by S. Ibaka (lost ball; steal by D. Harris)
0:01.0,Dallas full timeout,,52-60,,
0:01.0,C. Villanueva enters the game for Z. Pachulia,,52-60,,
0:01.0,,,52-60,,N. Collison enters the game for S. Adams
0:00.0,C. Parsons misses 2-pt shot at rim (block by A. Roberson),,52-60,,
0:00.0,Offensive rebound by Team,,52-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,52-60,,D. Waiters misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by W. Matthews,,52-60,,
11:25.0,Z. Pachulia makes 2-pt shot from 14 ft (assist by D. Williams),2,54-60,,
11:05.0,,,54-60,,S. Ibaka misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by Z. Pachulia,,54-60,,
10:46.0,W. Matthews makes 3-pt shot from 23 ft (assist by Z. Pachulia),3,57-60,,
10:28.0,,,57-60,,S. Ibaka misses 2-pt shot from 6 ft
10:27.0,Defensive rebound by Team,,57-60,,
10:27.0,,,57-60,,Loose ball foul by S. Adams (drawn by Z. Pachulia)
10:19.0,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia),2,59-60,,
10:18.0,,,59-60,,Oklahoma City full timeout
10:13.0,,,59-60,,Turnover by D. Waiters (discontinued dribble)
10:05.0,D. Williams makes 3-pt shot from 22 ft (assist by D. Nowitzki),3,62-60,,
9:44.0,,,62-63,3,A. Roberson makes 3-pt shot from 23 ft (assist by D. Waiters)
9:25.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams),2,64-63,,
9:14.0,,,64-63,,Turnover by R. Westbrook (lost ball; steal by W. Matthews)
9:12.0,,,64-63,,Clear path foul by S. Ibaka
9:12.0,D. Williams makes clear path free throw 1 of 2,1,65-63,,
9:12.0,D. Williams makes clear path free throw 2 of 2,1,66-63,,
9:07.0,Offensive foul by Z. Pachulia,,66-63,,
9:07.0,Turnover by Z. Pachulia (offensive foul),,66-63,,
8:55.0,,,66-65,2,R. Westbrook makes 2-pt shot from 14 ft
8:40.0,Turnover by Z. Pachulia (traveling),,66-65,,
8:29.0,,,66-65,,S. Ibaka misses 3-pt shot from 22 ft
8:27.0,Defensive rebound by D. Williams,,66-65,,
8:21.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,69-65,,
8:06.0,,,69-67,2,S. Ibaka makes 2-pt shot from 3 ft (assist by R. Westbrook)
7:34.0,D. Williams makes 2-pt shot from 3 ft,2,71-67,,
7:15.0,,,71-69,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
6:55.0,,,71-69,,Personal foul by S. Ibaka (drawn by D. Nowitzki)
6:55.0,D. Harris enters the game for W. Matthews,,71-69,,
6:55.0,D. Powell enters the game for D. Nowitzki,,71-69,,
6:45.0,D. Powell makes 2-pt shot from 18 ft (assist by D. Williams),2,73-69,,
6:27.0,,,73-69,,D. Waiters misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by D. Williams,,73-69,,
6:20.0,Shooting foul by A. Roberson (drawn by D. Williams),,73-69,,
6:20.0,D. Williams misses free throw 1 of 2,,73-69,,
6:20.0,Offensive rebound by Team,,73-69,,
6:20.0,,,73-69,,N. Collison enters the game for S. Ibaka
6:20.0,D. Williams makes free throw 2 of 2,1,74-69,,
6:10.0,,,74-69,,R. Westbrook misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by D. Williams,,74-69,,
6:01.0,C. Parsons makes 3-pt shot from 24 ft (assist by D. Harris),3,77-69,,
5:43.0,Personal foul by D. Powell (drawn by R. Westbrook),,77-69,,
5:43.0,,,77-69,,A. Morrow enters the game for A. Roberson
5:43.0,R. Felton enters the game for D. Williams,,77-69,,
5:40.0,Personal foul by D. Harris (drawn by R. Westbrook),,77-69,,
5:39.0,,,77-69,,Turnover by A. Morrow (bad pass; steal by D. Powell)
5:36.0,Shooting foul by N. Collison (drawn by D. Powell),,77-69,,
5:36.0,D. Powell makes free throw 1 of 2,1,78-69,,
5:36.0,D. Powell makes free throw 2 of 2,1,79-69,,
5:27.0,,,79-69,,Shooting foul by Z. Pachulia (drawn by R. Westbrook)
5:27.0,,,79-70,1,R. Westbrook makes free throw 1 of 2
5:27.0,,,79-70,,E. Kanter enters the game for S. Adams
5:27.0,J. McGee enters the game for Z. Pachulia,,79-70,,
5:27.0,,,79-70,,A. Roberson enters the game for D. Waiters
5:27.0,,,79-70,,R. Westbrook misses free throw 2 of 2
5:27.0,Defensive rebound by D. Powell,,79-70,,
5:12.0,Turnover by D. Harris (bad pass; steal by A. Morrow),,79-70,,
5:09.0,,,79-70,,Shooting foul by C. Parsons (drawn by R. Westbrook)
5:09.0,,,79-71,1,R. Westbrook makes free throw 1 of 2
5:09.0,,,79-72,1,R. Westbrook makes free throw 2 of 2
4:54.0,Shooting foul by E. Kanter (drawn by D. Powell),,79-72,,
4:54.0,D. Powell misses free throw 1 of 2,,79-72,,
4:54.0,Offensive rebound by Team,,79-72,,
4:54.0,D. Powell makes free throw 2 of 2,1,80-72,,
4:36.0,,,80-72,,A. Roberson misses 2-pt shot from 2 ft
4:36.0,Defensive rebound by J. McGee,,80-72,,
4:31.0,D. Harris makes 2-pt shot from 2 ft,2,82-72,,
4:19.0,Personal foul by R. Felton (drawn by A. Morrow),,82-72,,
4:19.0,,,82-73,1,A. Morrow makes free throw 1 of 2
4:19.0,,,82-74,1,A. Morrow makes free throw 2 of 2
4:02.0,D. Harris misses 3-pt shot from 24 ft,,82-74,,
4:01.0,,,82-74,,Defensive rebound by A. Morrow
3:52.0,,,82-76,2,N. Collison makes 2-pt shot from 8 ft (assist by R. Westbrook)
3:52.0,Dallas full timeout,,82-76,,
3:52.0,D. Nowitzki enters the game for D. Powell,,82-76,,
3:41.0,R. Felton misses 2-pt shot from 4 ft,,82-76,,
3:41.0,Offensive rebound by J. McGee,,82-76,,
3:41.0,Shooting foul by N. Collison (drawn by J. McGee),,82-76,,
3:41.0,J. McGee misses free throw 1 of 2,,82-76,,
3:41.0,Offensive rebound by Team,,82-76,,
3:41.0,J. McGee misses free throw 2 of 2,,82-76,,
3:40.0,,,82-76,,Defensive rebound by E. Kanter
3:22.0,,,82-76,,E. Kanter misses 2-pt shot from 2 ft
3:21.0,,,82-76,,Offensive rebound by N. Collison
3:21.0,,,82-76,,N. Collison misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by Team,,82-76,,
3:06.0,C. Parsons misses 2-pt shot from 5 ft,,82-76,,
3:05.0,,,82-76,,Defensive rebound by A. Morrow
2:59.0,,,82-78,2,R. Westbrook makes 2-pt shot from 14 ft
2:39.0,,,82-78,,Shooting block foul by E. Kanter (drawn by D. Harris)
2:39.0,D. Harris misses free throw 1 of 2,,82-78,,
2:39.0,Offensive rebound by Team,,82-78,,
2:39.0,W. Matthews enters the game for C. Parsons,,82-78,,
2:39.0,D. Harris makes free throw 2 of 2,1,83-78,,
2:26.0,,,83-81,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
2:10.0,W. Matthews misses 3-pt shot from 24 ft,,83-81,,
2:09.0,,,83-81,,Defensive rebound by R. Westbrook
1:56.0,Violation by J. McGee (kicked ball),,83-81,,
1:43.0,,,83-81,,A. Morrow misses 2-pt shot from 22 ft
1:42.0,Defensive rebound by J. McGee,,83-81,,
1:34.0,Turnover by J. McGee (lost ball),,83-81,,
1:18.0,,,83-81,,Shooting foul by J. McGee (drawn by E. Kanter)
1:18.0,,,83-82,1,E. Kanter makes free throw 1 of 2
1:18.0,,,83-83,1,E. Kanter makes free throw 2 of 2
1:03.0,Turnover by D. Harris (step out of bounds),,83-83,,
0:54.0,,,83-83,,Turnover by R. Westbrook (bad pass; steal by R. Felton)
0:49.0,R. Felton misses 2-pt shot from 2 ft (block by R. Westbrook),,83-83,,
0:48.0,,,83-83,,Defensive rebound by A. Roberson
0:43.0,,,83-85,2,A. Morrow makes 2-pt shot from 4 ft
0:24.0,W. Matthews makes 2-pt shot from 4 ft,2,85-85,,
0:02.0,D. Powell enters the game for D. Nowitzki,,85-85,,
0:00.0,,,85-87,2,E. Kanter makes 2-pt shot from 11 ft (assist by R. Westbrook)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by W. Matthews (lost ball; steal by A. Roberson),,85-87,,
11:38.0,,,85-89,2,N. Collison makes 2-pt shot from 18 ft (assist by D. Augustin)
11:19.0,Shooting foul by A. Roberson (drawn by D. Williams),,85-89,,
11:19.0,D. Williams makes free throw 1 of 2,1,86-89,,
11:19.0,D. Williams misses free throw 2 of 2,,86-89,,
11:18.0,,,86-89,,Defensive rebound by A. Roberson
11:00.0,,,86-91,2,E. Kanter makes 2-pt shot from 13 ft
10:43.0,W. Matthews makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,89-91,,
10:28.0,,,89-91,,Offensive foul by N. Collison
10:28.0,,,89-91,,Turnover by N. Collison (offensive foul)
10:13.0,D. Williams misses 2-pt shot from 2 ft,,89-91,,
10:13.0,Offensive rebound by Z. Pachulia,,89-91,,
10:05.0,W. Matthews misses 3-pt shot from 22 ft,,89-91,,
10:04.0,Offensive rebound by W. Matthews,,89-91,,
10:01.0,W. Matthews misses 2-pt shot from 16 ft,,89-91,,
10:00.0,,,89-91,,Defensive rebound by N. Collison
9:54.0,,,89-91,,A. Morrow misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by Z. Pachulia,,89-91,,
9:32.0,J. Barea makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,91-91,,
9:17.0,,,91-91,,D. Augustin misses 2-pt shot at rim (block by Z. Pachulia)
9:17.0,,,91-91,,Offensive rebound by Team
9:17.0,D. Powell enters the game for D. Nowitzki,,91-91,,
9:12.0,,,91-93,2,A. Morrow makes 2-pt shot from 2 ft (assist by N. Collison)
8:57.0,Z. Pachulia misses 2-pt shot from 2 ft,,91-93,,
8:56.0,Offensive rebound by Z. Pachulia,,91-93,,
8:55.0,Z. Pachulia misses 2-pt shot at rim (block by N. Collison),,91-93,,
8:54.0,,,91-93,,Defensive rebound by N. Collison
8:49.0,Personal block foul by W. Matthews (drawn by A. Roberson),,91-93,,
8:49.0,Official timeout,,91-93,,
8:49.0,C. Villanueva enters the game for D. Powell,,91-93,,
8:41.0,,,91-93,,D. Augustin misses 2-pt shot from 16 ft
8:40.0,,,91-93,,Offensive rebound by E. Kanter
8:39.0,,,91-95,2,E. Kanter makes 2-pt shot from 1 ft
8:19.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by C. Villanueva),2,93-95,,
7:56.0,,,93-98,3,D. Augustin makes 3-pt shot from 24 ft
7:38.0,J. Barea makes 2-pt shot from 13 ft,2,95-98,,
7:27.0,,,95-98,,A. Roberson misses 3-pt shot from 22 ft (block by D. Williams)
7:26.0,,,95-98,,Offensive rebound by A. Roberson
7:20.0,,,95-98,,A. Morrow misses 2-pt shot from 15 ft
7:18.0,,,95-98,,Offensive rebound by A. Roberson
7:15.0,,,95-98,,D. Augustin misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by Z. Pachulia,,95-98,,
7:00.0,C. Villanueva makes 3-pt shot from 24 ft (assist by W. Matthews),3,98-98,,
6:46.0,Personal foul by Z. Pachulia (drawn by E. Kanter),,98-98,,
6:46.0,,,98-98,,R. Westbrook enters the game for A. Morrow
6:46.0,,,98-98,,S. Ibaka enters the game for N. Collison
6:33.0,,,98-101,3,R. Westbrook makes 3-pt shot from 24 ft (assist by A. Roberson)
6:27.0,Dallas full timeout,,98-101,,
6:20.0,C. Villanueva makes 3-pt shot from 22 ft (assist by D. Williams),3,101-101,,
5:59.0,,,101-101,,A. Roberson misses 3-pt shot from 24 ft
5:59.0,,,101-101,,Offensive rebound by E. Kanter
5:58.0,Personal foul by J. Barea,,101-101,,
5:54.0,,,101-101,,R. Westbrook misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by W. Matthews,,101-101,,
5:39.0,J. Barea misses 2-pt shot from 10 ft,,101-101,,
5:38.0,,,101-101,,Defensive rebound by E. Kanter
5:33.0,,,101-101,,Turnover by R. Westbrook (lost ball)
5:24.0,J. Barea misses 2-pt shot from 2 ft,,101-101,,
5:24.0,,,101-101,,Defensive rebound by S. Ibaka
5:20.0,,,101-101,,Shooting foul by C. Villanueva (drawn by A. Roberson)
5:20.0,,,101-101,,A. Roberson misses free throw 1 of 2
5:20.0,,,101-101,,Offensive rebound by Team
5:20.0,,,101-101,,D. Waiters enters the game for D. Augustin
5:20.0,R. Felton enters the game for W. Matthews,,101-101,,
5:20.0,D. Nowitzki enters the game for J. Barea,,101-101,,
5:20.0,D. Harris enters the game for C. Villanueva,,101-101,,
5:20.0,,,101-102,1,A. Roberson makes free throw 2 of 2
4:58.0,R. Felton misses 2-pt shot from 18 ft,,101-102,,
4:57.0,Offensive rebound by D. Williams,,101-102,,
4:51.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,103-102,,
4:51.0,Shooting foul by S. Ibaka (drawn by Z. Pachulia),,103-102,,
