time,LA Lakers,pts.away,score,pts.home,New Orleans
6:01.0,,,18-8,2,B. Dejean-Jones makes 2-pt shot from 18 ft (assist by J. Holiday)
5:40.0,J. Clarkson makes 2-pt shot from 7 ft (assist by J. Randle),2,20-8,,
5:32.0,D. Russell enters the game for J. Clarkson,,20-8,,
5:32.0,Jump ball: A. Davis vs. J. Randle (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. J. Randle (D. Cunningham gains possession)
5:19.0,,,20-10,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
5:01.0,J. Randle makes 2-pt shot from 20 ft (assist by K. Bryant),2,22-10,,
4:49.0,,,22-12,2,A. Davis makes 2-pt shot at rim
4:49.0,,,22-12,,Shooting foul by R. Hibbert (drawn by A. Davis)
4:49.0,,,22-12,,A. Davis misses free throw 1 of 1
4:47.0,Defensive rebound by J. Randle,,22-12,,
4:40.0,Turnover by K. Bryant (bad pass),,22-12,,
4:26.0,,,22-12,,J. Holiday misses 2-pt shot from 9 ft
4:26.0,Defensive rebound by Team,,22-12,,
4:26.0,B. Bass enters the game for R. Hibbert,,22-12,,
4:05.0,K. Bryant misses 3-pt shot from 23 ft,,22-12,,
4:04.0,Offensive rebound by K. Bryant,,22-12,,
3:58.0,K. Bryant misses 2-pt shot from 15 ft (block by J. Holiday),,22-12,,
3:58.0,Offensive rebound by K. Bryant,,22-12,,
3:57.0,K. Bryant makes 2-pt shot from 15 ft,2,24-12,,
3:50.0,,,24-12,,Shooting foul by D. Russell (drawn by B. Dejean-Jones)
3:50.0,,,24-12,,B. Dejean-Jones misses free throw 1 of 2
3:50.0,,,24-12,,Offensive rebound by Team
3:50.0,N. Young enters the game for K. Bryant,,24-12,,
3:50.0,,,24-13,1,B. Dejean-Jones makes free throw 2 of 2
3:42.0,Shooting foul by J. Holiday (drawn by L. Williams),,24-13,,
3:42.0,L. Williams misses free throw 1 of 2,,24-13,,
3:42.0,Offensive rebound by Team,,24-13,,
3:42.0,L. Williams misses free throw 2 of 2,,24-13,,
3:41.0,,,24-13,,Defensive rebound by O. Asik
3:37.0,,,24-13,,Shooting foul by L. Williams (drawn by D. Cunningham)
3:37.0,,,24-14,1,D. Cunningham makes free throw 1 of 2
3:37.0,,,24-14,,D. Cunningham misses free throw 2 of 2
3:36.0,Defensive rebound by J. Randle,,24-14,,
3:18.0,J. Randle makes 2-pt shot from 19 ft (assist by D. Russell),2,26-14,,
3:13.0,Personal foul by J. Randle (drawn by A. Davis),,26-14,,
3:13.0,,,26-15,1,A. Davis makes free throw 1 of 2
3:13.0,,,26-15,,R. Anderson enters the game for O. Asik
3:13.0,,,26-15,,A. Davis misses free throw 2 of 2
3:09.0,,,26-15,,Offensive rebound by D. Cunningham
2:59.0,,,26-17,2,B. Dejean-Jones makes 2-pt shot from 1 ft
2:37.0,L. Williams misses 3-pt shot from 26 ft,,26-17,,
2:36.0,,,26-17,,Defensive rebound by A. Davis
2:30.0,,,26-20,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Holiday)
2:21.0,LA Lakers full timeout,,26-20,,
2:21.0,T. Black enters the game for J. Randle,,26-20,,
2:12.0,D. Russell misses 2-pt shot from 15 ft,,26-20,,
2:11.0,,,26-20,,Defensive rebound by A. Davis
1:56.0,,,26-22,2,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday)
1:56.0,,,26-22,,Shooting foul by N. Young (drawn by A. Davis)
1:56.0,,,26-23,1,A. Davis makes free throw 1 of 1
1:41.0,Turnover by D. Russell (bad pass),,26-23,,
1:27.0,,,26-23,,A. Davis misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by T. Black,,26-23,,
1:12.0,B. Bass misses 2-pt shot from 2 ft,,26-23,,
1:11.0,Offensive rebound by B. Bass,,26-23,,
1:11.0,B. Bass misses 2-pt shot from 2 ft,,26-23,,
1:10.0,,,26-23,,Defensive rebound by B. Dejean-Jones
1:04.0,,,26-26,3,B. Dejean-Jones makes 3-pt shot from 24 ft
0:46.0,D. Russell misses 2-pt shot from 2 ft,,26-26,,
0:44.0,,,26-26,,Defensive rebound by Team
0:33.0,,,26-28,2,J. Holiday makes 2-pt shot from 17 ft
0:14.0,Turnover by B. Bass (traveling),,26-28,,
0:00.0,,,26-28,,R. Anderson misses 2-pt shot from 21 ft
0:00.0,,,26-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by B. Bass (bad pass; steal by T. Douglas),,26-28,,
11:36.0,,,26-28,,T. Douglas misses 2-pt shot from 1 ft
11:36.0,,,26-28,,Offensive rebound by D. Cunningham
11:36.0,Loose ball foul by J. Clarkson (drawn by D. Cunningham),,26-28,,
11:21.0,,,26-28,,A. Ajinca misses 2-pt shot from 1 ft
11:20.0,Defensive rebound by N. Young,,26-28,,
11:07.0,N. Young makes 3-pt shot from 23 ft (assist by D. Russell),3,29-28,,
10:52.0,,,29-30,2,R. Anderson makes 2-pt shot from 14 ft
10:33.0,N. Young makes 2-pt shot from 20 ft,2,31-30,,
10:23.0,,,31-30,,Shooting foul by D. Russell (drawn by A. Ajinca)
10:23.0,,,31-31,1,A. Ajinca makes free throw 1 of 2
10:23.0,,,31-31,,A. Ajinca misses free throw 2 of 2
10:22.0,Defensive rebound by B. Bass,,31-31,,
10:05.0,Shooting foul by D. Cunningham (drawn by N. Young),,31-31,,
10:05.0,N. Young makes free throw 1 of 3,1,32-31,,
10:05.0,N. Young makes free throw 2 of 3,1,33-31,,
10:05.0,N. Young makes free throw 3 of 3,1,34-31,,
9:52.0,,,34-34,3,R. Anderson makes 3-pt shot from 27 ft (assist by D. Cunningham)
9:28.0,B. Bass misses 2-pt shot from 1 ft (block by A. Ajinca),,34-34,,
9:27.0,,,34-34,,Defensive rebound by R. Anderson
9:16.0,,,34-36,2,R. Anderson makes 2-pt shot from 7 ft (assist by T. Douglas)
8:56.0,N. Young misses 3-pt shot from 26 ft,,34-36,,
8:55.0,,,34-36,,Defensive rebound by A. Ajinca
8:39.0,,,34-36,,R. Anderson misses 2-pt shot from 15 ft
8:39.0,Defensive rebound by Team,,34-36,,
8:39.0,,,34-36,,Loose ball foul by A. Ajinca (drawn by T. Black)
8:39.0,Official timeout,,34-36,,
8:39.0,K. Bryant enters the game for N. Young,,34-36,,
8:39.0,,,34-36,,A. Gee enters the game for D. Cunningham
8:18.0,K. Bryant misses 3-pt shot from 28 ft,,34-36,,
8:17.0,,,34-36,,Defensive rebound by A. Ajinca
7:59.0,,,34-36,,J. Holiday misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by B. Bass,,34-36,,
7:52.0,B. Bass makes 2-pt shot from 2 ft (assist by J. Clarkson),2,36-36,,
7:42.0,,,36-36,,T. Douglas misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by K. Bryant,,36-36,,
7:36.0,J. Clarkson makes 2-pt shot from 16 ft,2,38-36,,
7:22.0,,,38-36,,J. Holiday misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by K. Bryant,,38-36,,
7:14.0,D. Russell makes 2-pt shot from 9 ft,2,40-36,,
7:14.0,Shooting foul by T. Douglas (drawn by D. Russell),,40-36,,
7:14.0,R. Hibbert enters the game for T. Black,,40-36,,
7:14.0,,,40-36,,N. Cole enters the game for T. Douglas
7:14.0,,,40-36,,A. Davis enters the game for A. Ajinca
7:14.0,,,40-36,,B. Dejean-Jones enters the game for J. Holiday
7:14.0,D. Russell makes free throw 1 of 1,1,41-36,,
7:04.0,,,41-38,2,A. Davis makes 2-pt shot from 17 ft (assist by A. Gee)
6:43.0,J. Clarkson makes 3-pt shot from 28 ft (assist by R. Hibbert),3,44-38,,
6:29.0,Personal foul by B. Bass (drawn by R. Anderson),,44-38,,
6:29.0,J. Randle enters the game for B. Bass,,44-38,,
6:29.0,,,44-38,,Offensive foul by N. Cole
6:29.0,,,44-38,,Turnover by N. Cole (offensive foul)
6:19.0,,,44-38,,Personal foul by N. Cole (drawn by D. Russell)
6:11.0,J. Randle misses 2-pt shot from 3 ft,,44-38,,
6:10.0,,,44-38,,Defensive rebound by Team
5:50.0,,,44-38,,Turnover by A. Gee (bad pass; steal by K. Bryant)
5:48.0,J. Clarkson makes 2-pt shot from 1 ft (assist by K. Bryant),2,46-38,,
5:30.0,,,46-38,,R. Anderson misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by K. Bryant,,46-38,,
5:16.0,D. Russell makes 2-pt shot from 15 ft,2,48-38,,
5:10.0,,,48-38,,New Orleans full timeout
5:02.0,,,48-38,,N. Cole misses 2-pt shot from 20 ft
5:01.0,Defensive rebound by R. Hibbert,,48-38,,
4:43.0,D. Russell makes 2-pt shot from 9 ft,2,50-38,,
4:43.0,Shooting foul by N. Cole (drawn by D. Russell),,50-38,,
4:43.0,,,50-38,,J. Holiday enters the game for N. Cole
4:43.0,D. Russell misses free throw 1 of 1,,50-38,,
4:42.0,Offensive rebound by R. Hibbert,,50-38,,
4:42.0,R. Hibbert misses 2-pt shot from 1 ft,,50-38,,
4:41.0,,,50-38,,Defensive rebound by R. Anderson
4:27.0,,,50-40,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:05.0,D. Russell misses 2-pt shot from 14 ft,,50-40,,
4:03.0,,,50-40,,Defensive rebound by B. Dejean-Jones
3:53.0,,,50-40,,A. Davis misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by Team,,50-40,,
3:42.0,Turnover by J. Clarkson (bad pass),,50-40,,
3:21.0,,,50-42,2,R. Anderson makes 2-pt shot from 1 ft
3:06.0,,,50-42,,Personal foul by A. Gee (drawn by K. Bryant)
3:06.0,L. Williams enters the game for D. Russell,,50-42,,
3:06.0,K. Bryant makes free throw 1 of 2,1,51-42,,
3:06.0,,,51-42,,D. Cunningham enters the game for A. Gee
3:06.0,K. Bryant makes free throw 2 of 2,1,52-42,,
2:56.0,,,52-42,,A. Davis misses 2-pt shot from 15 ft
2:55.0,Defensive rebound by J. Clarkson,,52-42,,
2:49.0,J. Clarkson makes 3-pt shot from 26 ft,3,55-42,,
2:37.0,,,55-44,2,J. Holiday makes 2-pt shot from 2 ft
2:18.0,L. Williams makes 2-pt shot from 17 ft,2,57-44,,
2:04.0,,,57-46,2,J. Holiday makes 2-pt shot from 10 ft
1:44.0,Turnover by L. Williams (bad pass),,57-46,,
1:44.0,LA Lakers full timeout,,57-46,,
1:31.0,,,57-46,,J. Holiday misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by K. Bryant,,57-46,,
1:13.0,K. Bryant misses 3-pt shot from 26 ft,,57-46,,
1:13.0,,,57-46,,Defensive rebound by B. Dejean-Jones
0:59.0,,,57-46,,Shooting foul by R. Hibbert (drawn by B. Dejean-Jones)
0:59.0,,,57-46,,B. Dejean-Jones misses free throw 1 of 2
0:59.0,,,57-46,,Offensive rebound by Team
0:59.0,,,57-46,,T. Douglas enters the game for J. Holiday
0:59.0,,,57-47,1,B. Dejean-Jones makes free throw 2 of 2
0:46.0,K. Bryant misses 2-pt shot from 19 ft,,57-47,,
0:45.0,,,57-47,,Defensive rebound by R. Anderson
0:31.0,,,57-47,,Shooting foul by J. Randle (drawn by R. Anderson)
0:31.0,,,57-48,1,R. Anderson makes free throw 1 of 2
0:31.0,,,57-48,,R. Anderson misses free throw 2 of 2
0:30.0,Defensive rebound by J. Randle,,57-48,,
0:06.0,J. Randle makes 2-pt shot from 7 ft,2,59-48,,
0:01.0,,,59-48,,T. Douglas misses 2-pt shot from 9 ft
0:00.0,,,59-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by L. Williams (lost ball; steal by N. Cole),,59-48,,
11:20.0,,,59-48,,N. Cole misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by J. Randle,,59-48,,
11:08.0,J. Randle misses 2-pt shot from 21 ft,,59-48,,
11:07.0,,,59-48,,Defensive rebound by O. Asik
11:00.0,,,59-48,,N. Cole misses 2-pt shot from 5 ft
10:58.0,Defensive rebound by K. Bryant,,59-48,,
10:53.0,K. Bryant misses 3-pt shot from 24 ft,,59-48,,
10:52.0,,,59-48,,Defensive rebound by A. Davis
10:35.0,Personal foul by J. Randle (drawn by A. Davis),,59-48,,
10:29.0,,,59-50,2,A. Davis makes 2-pt shot from 10 ft (assist by N. Cole)
10:14.0,Turnover by L. Williams (lost ball; steal by N. Cole),,59-50,,
10:02.0,,,59-50,,N. Cole misses 2-pt shot from 18 ft
10:00.0,Defensive rebound by R. Hibbert,,59-50,,
9:44.0,K. Bryant misses 2-pt shot from 15 ft,,59-50,,
9:43.0,,,59-50,,Defensive rebound by B. Dejean-Jones
9:43.0,Personal foul by J. Clarkson (drawn by B. Dejean-Jones),,59-50,,
9:26.0,,,59-50,,Turnover by A. Davis (bad pass; steal by R. Hibbert)
9:08.0,,,59-50,,Personal foul by O. Asik (drawn by R. Hibbert)
8:57.0,J. Clarkson makes 2-pt shot from 14 ft,2,61-50,,
8:41.0,,,61-52,2,A. Davis makes 2-pt shot from 1 ft (assist by N. Cole)
8:41.0,,,61-52,,Shooting foul by J. Clarkson (drawn by A. Davis)
8:41.0,,,61-53,1,A. Davis makes free throw 1 of 1
8:32.0,J. Clarkson misses 2-pt shot from 1 ft,,61-53,,
8:31.0,,,61-53,,Defensive rebound by O. Asik
8:21.0,,,61-53,,N. Cole misses 2-pt shot from 15 ft
8:20.0,,,61-53,,Offensive rebound by A. Davis
8:20.0,,,61-55,2,A. Davis makes 2-pt shot at rim
7:54.0,R. Hibbert makes 2-pt shot from 17 ft (assist by J. Randle),2,63-55,,
7:34.0,,,63-55,,A. Davis misses 2-pt shot from 8 ft
7:33.0,Defensive rebound by R. Hibbert,,63-55,,
7:17.0,J. Randle misses 2-pt shot from 2 ft,,63-55,,
7:17.0,Offensive rebound by J. Clarkson,,63-55,,
7:11.0,Offensive foul by J. Randle,,63-55,,
7:11.0,Turnover by J. Randle (offensive foul),,63-55,,
6:54.0,,,63-55,,A. Davis misses 3-pt shot from 22 ft
6:53.0,Defensive rebound by J. Randle,,63-55,,
6:49.0,Shooting foul by B. Dejean-Jones (drawn by L. Williams),,63-55,,
6:49.0,L. Williams makes free throw 1 of 2,1,64-55,,
6:49.0,B. Bass enters the game for J. Randle,,64-55,,
6:49.0,L. Williams makes free throw 2 of 2,1,65-55,,
6:30.0,,,65-55,,B. Dejean-Jones misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by B. Bass,,65-55,,
6:12.0,K. Bryant misses 2-pt shot from 14 ft,,65-55,,
6:10.0,,,65-55,,Defensive rebound by A. Davis
6:06.0,,,65-57,2,A. Davis makes 2-pt shot from 1 ft
5:55.0,L. Williams misses 2-pt shot from 20 ft,,65-57,,
5:54.0,,,65-57,,Defensive rebound by O. Asik
5:43.0,,,65-57,,New Orleans full timeout
5:43.0,D. Russell enters the game for J. Clarkson,,65-57,,
5:43.0,,,65-57,,J. Holiday enters the game for N. Cole
5:36.0,,,65-57,,R. Anderson enters the game for O. Asik
5:28.0,,,65-59,2,J. Holiday makes 2-pt shot from 19 ft
5:04.0,L. Williams misses 2-pt shot from 10 ft,,65-59,,
5:03.0,Offensive rebound by R. Hibbert,,65-59,,
4:55.0,,,65-59,,Personal foul by R. Anderson (drawn by B. Bass)
4:45.0,D. Russell makes 2-pt shot from 9 ft,2,67-59,,
4:35.0,,,67-59,,J. Holiday misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by R. Hibbert,,67-59,,
4:20.0,K. Bryant makes 2-pt shot from 2 ft,2,69-59,,
4:05.0,,,69-59,,Shooting foul by D. Russell (drawn by A. Davis)
4:05.0,,,69-60,1,A. Davis makes free throw 1 of 2
4:05.0,,,69-60,,A. Davis misses free throw 2 of 2
4:04.0,Defensive rebound by R. Hibbert,,69-60,,
3:51.0,D. Russell misses 3-pt shot from 24 ft,,69-60,,
3:51.0,,,69-60,,Defensive rebound by Team
3:42.0,,,69-60,,J. Holiday misses 2-pt shot from 17 ft
3:41.0,Defensive rebound by K. Bryant,,69-60,,
3:34.0,B. Bass misses 2-pt shot from 2 ft (block by A. Davis),,69-60,,
3:31.0,,,69-60,,Defensive rebound by D. Cunningham
3:25.0,,,69-60,,R. Anderson misses 3-pt shot from 25 ft
3:24.0,,,69-60,,Offensive rebound by A. Davis
3:12.0,,,69-62,2,A. Davis makes 2-pt shot from 12 ft
3:12.0,,,69-62,,Shooting foul by R. Hibbert (drawn by A. Davis)
3:12.0,N. Young enters the game for K. Bryant,,69-62,,
3:12.0,T. Black enters the game for R. Hibbert,,69-62,,
3:12.0,,,69-63,1,A. Davis makes free throw 1 of 1
3:04.0,,,69-63,,Personal block foul by A. Davis
3:04.0,,,69-63,,A. Gee enters the game for D. Cunningham
2:56.0,L. Williams misses 3-pt shot from 26 ft,,69-63,,
2:55.0,Offensive rebound by T. Black,,69-63,,
2:41.0,Shooting foul by A. Gee (drawn by N. Young),,69-63,,
2:41.0,LA Lakers full timeout,,69-63,,
2:41.0,N. Young makes free throw 1 of 3,1,70-63,,
2:41.0,N. Young makes free throw 2 of 3,1,71-63,,
2:41.0,N. Young makes free throw 3 of 3,1,72-63,,
2:30.0,,,72-65,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:16.0,L. Williams makes 2-pt shot from 7 ft,2,74-65,,
1:59.0,,,74-65,,J. Holiday misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by B. Bass,,74-65,,
1:47.0,D. Russell makes 2-pt shot from 8 ft (assist by N. Young),2,76-65,,
1:33.0,,,76-67,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:21.0,Shooting foul by A. Davis (drawn by B. Bass),,76-67,,
1:21.0,B. Bass misses free throw 1 of 2,,76-67,,
1:21.0,Offensive rebound by Team,,76-67,,
1:21.0,,,76-67,,A. Ajinca enters the game for A. Davis
1:21.0,B. Bass makes free throw 2 of 2,1,77-67,,
1:08.0,,,77-69,2,J. Holiday makes 2-pt shot from 8 ft
0:54.0,Turnover by L. Williams (bad pass; steal by A. Gee),,77-69,,
0:46.0,,,77-69,,R. Anderson misses 3-pt shot from 24 ft
0:44.0,,,77-69,,Offensive rebound by B. Dejean-Jones
0:39.0,,,77-69,,Turnover by B. Dejean-Jones (bad pass; steal by N. Young)
0:38.0,Turnover by N. Young (bad pass),,77-69,,
0:27.0,,,77-69,,J. Holiday misses 2-pt shot from 11 ft
0:26.0,Defensive rebound by N. Young,,77-69,,
0:04.0,B. Bass makes 2-pt shot at rim (assist by L. Williams),2,79-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-69,,Turnover by A. Gee (lost ball)
11:24.0,D. Russell misses 2-pt shot from 11 ft,,79-69,,
11:23.0,,,79-69,,Defensive rebound by A. Ajinca
11:10.0,,,79-71,2,J. Holiday makes 2-pt shot from 1 ft
10:56.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,81-71,,
10:42.0,,,81-71,,J. Holiday misses 2-pt shot from 10 ft
10:42.0,Defensive rebound by N. Young,,81-71,,
10:37.0,,,81-71,,Personal foul by R. Anderson (drawn by B. Bass)
10:37.0,J. Randle enters the game for B. Bass,,81-71,,
10:32.0,Turnover by L. Williams (bad pass),,81-71,,
10:17.0,,,81-73,2,B. Dejean-Jones makes 2-pt shot from 17 ft
9:59.0,,,81-73,,Personal foul by A. Ajinca (drawn by J. Randle)
9:59.0,J. Clarkson enters the game for L. Williams,,81-73,,
9:45.0,T. Black makes 2-pt shot from 6 ft,2,83-73,,
9:35.0,,,83-73,,A. Ajinca misses 2-pt shot from 17 ft
9:34.0,Defensive rebound by J. Clarkson,,83-73,,
9:27.0,Turnover by J. Clarkson (lost ball; steal by J. Holiday),,83-73,,
9:09.0,,,83-73,,B. Dejean-Jones misses 2-pt shot at rim
9:08.0,Defensive rebound by Team,,83-73,,
8:50.0,Turnover by D. Russell (bad pass; steal by B. Dejean-Jones),,83-73,,
8:39.0,,,83-73,,J. Holiday misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by Team,,83-73,,
8:39.0,Official timeout,,83-73,,
8:39.0,,,83-73,,A. Davis enters the game for A. Ajinca
8:31.0,J. Randle makes 2-pt shot from 1 ft,2,85-73,,
8:31.0,Shooting foul by A. Davis (drawn by J. Randle),,85-73,,
8:31.0,,,85-73,,D. Cunningham enters the game for A. Gee
8:31.0,J. Randle misses free throw 1 of 1,,85-73,,
8:28.0,,,85-73,,Defensive rebound by R. Anderson
8:19.0,Personal foul by J. Clarkson (drawn by B. Dejean-Jones),,85-73,,
8:11.0,,,85-75,2,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday)
7:56.0,J. Clarkson misses 2-pt shot from 8 ft,,85-75,,
7:56.0,,,85-75,,Defensive rebound by A. Davis
7:44.0,,,85-77,2,B. Dejean-Jones makes 2-pt shot from 2 ft
7:37.0,Turnover by J. Clarkson (lost ball; steal by A. Davis),,85-77,,
7:34.0,,,85-79,2,A. Davis makes 2-pt shot at rim
7:11.0,J. Clarkson misses 2-pt shot from 18 ft,,85-79,,
7:10.0,,,85-79,,Defensive rebound by B. Dejean-Jones
6:56.0,,,85-79,,B. Dejean-Jones misses 3-pt shot from 28 ft
6:56.0,Defensive rebound by N. Young,,85-79,,
6:38.0,J. Clarkson misses 3-pt shot from 25 ft,,85-79,,
6:38.0,,,85-79,,Defensive rebound by A. Davis
6:30.0,Personal foul by D. Russell (drawn by J. Holiday),,85-79,,
6:30.0,K. Bryant enters the game for N. Young,,85-79,,
6:22.0,,,85-79,,Shooting foul by T. Black (drawn by A. Davis)
6:22.0,,,85-79,,A. Davis misses free throw 1 of 2
6:22.0,,,85-79,,Offensive rebound by Team
6:22.0,B. Bass enters the game for T. Black,,85-79,,
6:22.0,,,85-79,,A. Davis misses free throw 2 of 2
6:21.0,Defensive rebound by K. Bryant,,85-79,,
6:05.0,K. Bryant makes 3-pt shot from 24 ft (assist by B. Bass),3,88-79,,
5:53.0,,,88-79,,R. Anderson misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by D. Russell,,88-79,,
5:40.0,,,88-79,,New Orleans full timeout
5:32.0,K. Bryant makes 3-pt shot from 26 ft (assist by J. Clarkson),3,91-79,,
5:22.0,,,91-81,2,J. Holiday makes 2-pt shot at rim
5:01.0,K. Bryant misses 2-pt shot from 4 ft,,91-81,,
5:01.0,,,91-81,,Defensive rebound by D. Cunningham
4:43.0,,,91-81,,Shooting foul by J. Randle (drawn by A. Davis)
4:43.0,,,91-82,1,A. Davis makes free throw 1 of 2
4:43.0,,,91-83,1,A. Davis makes free throw 2 of 2
4:30.0,K. Bryant misses 2-pt shot from 19 ft,,91-83,,
4:30.0,,,91-83,,Defensive rebound by A. Davis
4:15.0,,,91-83,,Turnover by J. Holiday (bad pass; steal by K. Bryant)
4:12.0,J. Randle misses 2-pt shot at rim (block by D. Cunningham),,91-83,,
4:11.0,Offensive rebound by K. Bryant,,91-83,,
4:11.0,K. Bryant makes 2-pt shot at rim,2,93-83,,
4:02.0,,,93-83,,R. Anderson misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by D. Russell,,93-83,,
3:41.0,D. Russell misses 3-pt shot from 25 ft,,93-83,,
3:41.0,,,93-83,,Defensive rebound by A. Davis
3:35.0,,,93-86,3,J. Holiday makes 3-pt shot from 25 ft
3:07.0,J. Clarkson misses 2-pt shot from 2 ft,,93-86,,
3:05.0,,,93-86,,Defensive rebound by A. Davis
3:01.0,,,93-86,,A. Davis misses 2-pt shot at rim
2:59.0,Defensive rebound by D. Russell,,93-86,,
2:54.0,D. Russell makes 2-pt shot from 2 ft,2,95-86,,
2:45.0,,,95-88,2,B. Dejean-Jones makes 2-pt shot from 1 ft
2:44.0,LA Lakers full timeout,,95-88,,
2:44.0,L. Williams enters the game for D. Russell,,95-88,,
2:24.0,J. Clarkson misses 2-pt shot from 4 ft,,95-88,,
2:24.0,Offensive rebound by J. Clarkson,,95-88,,
2:02.0,K. Bryant misses 3-pt shot from 24 ft,,95-88,,
1:59.0,,,95-88,,Defensive rebound by B. Dejean-Jones
1:50.0,,,95-90,2,R. Anderson makes 2-pt shot at rim (assist by D. Cunningham)
1:30.0,Turnover by J. Clarkson (lost ball; steal by B. Dejean-Jones),,95-90,,
