time,Dallas,pts.away,score,pts.home,San Antonio
8:19.0,D. Nowitzki misses 2-pt shot from 9 ft,,2-5,,
8:18.0,,,2-5,,Defensive rebound by T. Parker
8:12.0,,,2-5,,Shooting foul by W. Matthews (drawn by T. Parker)
8:12.0,,,2-6,1,T. Parker makes free throw 1 of 2
8:12.0,,,2-7,1,T. Parker makes free throw 2 of 2
7:59.0,C. Parsons makes 2-pt shot from 17 ft (assist by D. Williams),2,4-7,,
7:47.0,,,4-7,,T. Parker misses 2-pt shot from 17 ft
7:46.0,Defensive rebound by D. Nowitzki,,4-7,,
7:30.0,D. Nowitzki misses 2-pt shot from 17 ft,,4-7,,
7:30.0,,,4-7,,Defensive rebound by Team
7:08.0,,,4-7,,L. Aldridge misses 2-pt shot from 8 ft
7:07.0,Defensive rebound by C. Parsons,,4-7,,
6:57.0,D. Williams misses 2-pt shot from 14 ft,,4-7,,
6:56.0,,,4-7,,Defensive rebound by T. Parker
6:51.0,,,4-7,,T. Parker misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by D. Nowitzki,,4-7,,
6:41.0,Z. Pachulia misses 2-pt shot from 3 ft (block by D. Green),,4-7,,
6:39.0,Offensive rebound by Z. Pachulia,,4-7,,
6:35.0,W. Matthews misses 3-pt shot from 24 ft,,4-7,,
6:34.0,,,4-7,,Defensive rebound by T. Duncan
6:30.0,,,4-7,,K. Leonard misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by D. Williams,,4-7,,
6:20.0,C. Parsons misses 2-pt shot from 21 ft,,4-7,,
6:19.0,,,4-7,,Defensive rebound by T. Parker
6:14.0,,,4-7,,Turnover by T. Parker (bad pass; steal by C. Parsons)
5:57.0,D. Williams makes 2-pt shot from 12 ft,2,6-7,,
5:50.0,,,6-7,,San Antonio full timeout
5:50.0,,,6-7,,M. Ginobili enters the game for D. Green
5:50.0,,,6-7,,B. Diaw enters the game for T. Duncan
5:50.0,D. Powell enters the game for D. Nowitzki,,6-7,,
5:50.0,R. Felton enters the game for C. Parsons,,6-7,,
5:42.0,,,6-7,,K. Leonard misses 2-pt shot from 3 ft
5:40.0,Defensive rebound by D. Powell,,6-7,,
5:21.0,W. Matthews makes 2-pt shot from 16 ft (assist by R. Felton),2,8-7,,
5:03.0,,,8-7,,B. Diaw misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by Z. Pachulia,,8-7,,
4:50.0,D. Williams misses 2-pt shot from 17 ft,,8-7,,
4:49.0,,,8-7,,Defensive rebound by L. Aldridge
4:43.0,,,8-7,,T. Parker misses 2-pt shot from 5 ft
4:41.0,Defensive rebound by Z. Pachulia,,8-7,,
4:27.0,D. Williams misses 2-pt shot from 17 ft,,8-7,,
4:26.0,,,8-7,,Defensive rebound by K. Leonard
4:10.0,Personal foul by W. Matthews (drawn by K. Leonard),,8-7,,
4:10.0,,,8-7,,P. Mills enters the game for T. Parker
4:10.0,C. Parsons enters the game for W. Matthews,,8-7,,
4:02.0,Def 3 sec tech foul by D. Powell,,8-7,,
4:02.0,,,8-8,1,K. Leonard makes technical free throw
4:02.0,,,8-8,,D. West enters the game for L. Aldridge
3:56.0,,,8-8,,P. Mills misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by D. Williams,,8-8,,
3:44.0,Turnover by D. Powell (lost ball; steal by K. Leonard),,8-8,,
3:40.0,,,8-8,,Turnover by K. Leonard (traveling)
3:19.0,D. Powell makes 2-pt shot from 16 ft (assist by R. Felton),2,10-8,,
3:05.0,,,10-10,2,B. Diaw makes 2-pt shot from 2 ft (assist by D. West)
2:41.0,R. Felton misses 2-pt shot from 16 ft,,10-10,,
2:40.0,,,10-10,,Defensive rebound by B. Diaw
2:34.0,,,10-10,,K. Leonard misses 2-pt shot from 3 ft (block by D. Powell)
2:34.0,,,10-10,,Offensive rebound by Team
2:34.0,Dallas full timeout,,10-10,,
2:34.0,,,10-10,,D. Green enters the game for K. Leonard
2:34.0,D. Harris enters the game for D. Williams,,10-10,,
2:29.0,,,10-10,,Turnover by P. Mills (bad pass)
2:15.0,D. Powell makes 2-pt shot at rim (assist by Z. Pachulia),2,12-10,,
2:15.0,Shooting foul by D. Green (drawn by D. Powell),,12-10,,
2:15.0,D. Powell makes free throw 1 of 1,1,13-10,,
2:04.0,Personal foul by D. Powell (drawn by B. Diaw),,13-10,,
1:53.0,,,13-12,2,B. Diaw makes 2-pt shot from 5 ft
1:41.0,,,13-12,,Def 3 sec tech foul by D. West
1:41.0,R. Felton makes technical free throw,1,14-12,,
1:41.0,D. Nowitzki enters the game for D. Powell,,14-12,,
1:41.0,J. McGee enters the game for Z. Pachulia,,14-12,,
1:37.0,,,14-12,,Personal foul by B. Diaw (drawn by R. Felton)
1:32.0,R. Felton misses 2-pt shot from 4 ft,,14-12,,
1:31.0,,,14-12,,Defensive rebound by D. West
1:21.0,,,14-12,,M. Ginobili misses 2-pt shot from 2 ft (block by J. McGee)
1:20.0,Defensive rebound by D. Nowitzki,,14-12,,
1:11.0,D. Nowitzki misses 3-pt shot from 25 ft,,14-12,,
1:09.0,,,14-12,,Defensive rebound by P. Mills
1:01.0,,,14-14,2,D. West makes 2-pt shot from 7 ft
0:37.0,R. Felton makes 2-pt shot from 20 ft (assist by D. Nowitzki),2,16-14,,
0:30.0,,,16-14,,D. Green misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by D. Harris,,16-14,,
0:08.0,R. Felton misses 3-pt shot from 26 ft,,16-14,,
0:07.0,,,16-14,,Defensive rebound by M. Ginobili
0:00.0,,,16-14,,B. Diaw misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by J. McGee,,16-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,D. Nowitzki misses 2-pt shot from 12 ft,,16-14,,
11:34.0,,,16-14,,Defensive rebound by D. Green
11:17.0,,,16-16,2,M. Ginobili makes 2-pt shot from 4 ft
11:08.0,J. Barea misses 2-pt shot from 3 ft,,16-16,,
11:06.0,,,16-16,,Defensive rebound by D. West
10:53.0,,,16-16,,M. Ginobili misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by J. McGee,,16-16,,
10:44.0,J. McGee makes 2-pt shot from 1 ft (assist by J. Barea),2,18-16,,
10:44.0,Shooting foul by B. Diaw (drawn by J. McGee),,18-16,,
10:44.0,J. McGee makes free throw 1 of 1,1,19-16,,
10:33.0,Personal foul by D. Harris (drawn by M. Ginobili),,19-16,,
10:27.0,,,19-16,,D. West misses 2-pt shot from 18 ft (block by J. McGee)
10:25.0,,,19-16,,Offensive rebound by B. Diaw
10:23.0,,,19-16,,B. Diaw misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by Team,,19-16,,
10:05.0,J. McGee makes 2-pt shot at rim (assist by D. Harris),2,21-16,,
10:05.0,,,21-16,,San Antonio full timeout
10:05.0,,,21-16,,T. Parker enters the game for P. Mills
10:05.0,,,21-16,,J. Simmons enters the game for M. Ginobili
9:59.0,,,21-16,,Violation by Team (delay of game)
9:51.0,,,21-18,2,D. West makes 2-pt shot from 17 ft (assist by T. Parker)
9:35.0,D. Harris misses 2-pt shot from 4 ft (block by D. Green),,21-18,,
9:32.0,,,21-18,,Defensive rebound by D. Green
9:23.0,,,21-18,,D. West misses 2-pt shot from 17 ft
9:22.0,Defensive rebound by C. Parsons,,21-18,,
9:06.0,D. Harris misses 3-pt shot from 24 ft,,21-18,,
9:05.0,Offensive rebound by J. McGee,,21-18,,
8:59.0,D. Nowitzki misses 3-pt shot from 25 ft,,21-18,,
8:58.0,,,21-18,,Defensive rebound by D. Green
8:48.0,,,21-21,3,B. Diaw makes 3-pt shot from 25 ft (assist by T. Parker)
8:34.0,J. Barea misses 3-pt shot from 24 ft,,21-21,,
8:33.0,Offensive rebound by Team,,21-21,,
8:33.0,,,21-21,,L. Aldridge enters the game for B. Diaw
8:30.0,C. Parsons misses 2-pt shot from 2 ft,,21-21,,
8:29.0,,,21-21,,Defensive rebound by D. West
8:22.0,,,21-21,,J. Simmons misses 2-pt shot at rim (block by J. McGee)
8:22.0,,,21-21,,Offensive rebound by Team
8:22.0,W. Matthews enters the game for C. Parsons,,21-21,,
8:22.0,,,21-21,,K. Leonard enters the game for D. Green
8:19.0,,,21-21,,L. Aldridge misses 2-pt shot from 15 ft
8:19.0,Defensive rebound by J. McGee,,21-21,,
8:03.0,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,24-21,,
7:45.0,Personal foul by J. Barea,,24-21,,
7:32.0,,,24-24,3,J. Simmons makes 3-pt shot from 23 ft (assist by D. West)
7:13.0,D. Nowitzki makes 2-pt shot from 14 ft,2,26-24,,
6:42.0,,,26-27,3,J. Simmons makes 3-pt shot from 24 ft (assist by D. West)
6:41.0,Dallas full timeout,,26-27,,
6:41.0,,,26-27,,T. Duncan enters the game for D. West
6:32.0,J. McGee misses 2-pt shot at rim,,26-27,,
6:30.0,,,26-27,,Defensive rebound by T. Parker
6:11.0,,,26-27,,J. Simmons misses 2-pt shot from 4 ft
6:09.0,Defensive rebound by J. McGee,,26-27,,
6:02.0,W. Matthews makes 2-pt shot from 17 ft (assist by D. Harris),2,28-27,,
5:42.0,,,28-29,2,K. Leonard makes 2-pt shot from 16 ft
5:30.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea),2,30-29,,
5:10.0,,,30-29,,T. Duncan misses 2-pt shot from 4 ft
5:08.0,Defensive rebound by J. McGee,,30-29,,
5:05.0,,,30-29,,Personal block foul by J. Simmons
5:05.0,D. Williams enters the game for D. Nowitzki,,30-29,,
5:05.0,D. Powell enters the game for D. Harris,,30-29,,
5:05.0,Z. Pachulia enters the game for J. McGee,,30-29,,
5:05.0,R. Felton enters the game for J. Barea,,30-29,,
4:53.0,Shooting foul by T. Duncan (drawn by W. Matthews),,30-29,,
4:53.0,W. Matthews makes free throw 1 of 2,1,31-29,,
4:53.0,W. Matthews misses free throw 2 of 2,,31-29,,
4:52.0,,,31-29,,Defensive rebound by L. Aldridge
4:39.0,,,31-29,,Shooting foul by D. Powell (drawn by T. Duncan)
4:39.0,,,31-30,1,T. Duncan makes free throw 1 of 2
4:39.0,,,31-30,,P. Mills enters the game for J. Simmons
4:39.0,,,31-31,1,T. Duncan makes free throw 2 of 2
4:20.0,D. Powell misses 2-pt shot from 21 ft,,31-31,,
4:18.0,,,31-31,,Defensive rebound by K. Leonard
4:10.0,,,31-31,,T. Duncan misses 2-pt shot from 19 ft
4:09.0,Defensive rebound by D. Powell,,31-31,,
3:59.0,D. Williams misses 3-pt shot from 24 ft,,31-31,,
3:57.0,,,31-31,,Defensive rebound by L. Aldridge
3:54.0,Personal foul by Z. Pachulia (drawn by T. Duncan),,31-31,,
3:44.0,,,31-34,3,K. Leonard makes 3-pt shot from 23 ft (assist by L. Aldridge)
3:18.0,D. Powell misses 2-pt shot from 18 ft,,31-34,,
3:17.0,,,31-34,,Defensive rebound by Team
3:17.0,Flagrant foul type 1 by Z. Pachulia (drawn by P. Mills),,31-34,,
3:17.0,,,31-34,,M. Ginobili enters the game for T. Parker
3:17.0,,,31-35,1,P. Mills makes flagrant free throw 1 of 2
3:17.0,,,31-36,1,P. Mills makes flagrant free throw 2 of 2
2:56.0,,,31-36,,Turnover by P. Mills (bad pass; steal by Z. Pachulia)
2:50.0,Z. Pachulia misses 2-pt shot from 2 ft,,31-36,,
2:48.0,,,31-36,,Defensive rebound by P. Mills
2:40.0,,,31-38,2,K. Leonard makes 2-pt shot from 16 ft
2:37.0,Dallas full timeout,,31-38,,
2:37.0,Official timeout,,31-38,,
2:37.0,D. Nowitzki enters the game for D. Powell,,31-38,,
2:37.0,C. Parsons enters the game for R. Felton,,31-38,,
2:37.0,,,31-38,,T. Parker enters the game for P. Mills
2:31.0,,,31-38,,Personal foul by M. Ginobili (drawn by W. Matthews)
2:27.0,Turnover by C. Parsons (lost ball; steal by T. Parker),,31-38,,
2:03.0,,,31-40,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker)
1:50.0,Turnover by D. Williams (bad pass; steal by M. Ginobili),,31-40,,
1:45.0,,,31-42,2,M. Ginobili makes 2-pt shot from 1 ft
1:34.0,Shooting foul by T. Duncan (drawn by D. Williams),,31-42,,
1:34.0,D. Williams makes free throw 1 of 2,1,32-42,,
1:34.0,D. Williams makes free throw 2 of 2,1,33-42,,
1:26.0,Personal foul by Z. Pachulia (drawn by L. Aldridge),,33-42,,
1:26.0,,,33-43,1,L. Aldridge makes free throw 1 of 2
1:26.0,J. McGee enters the game for Z. Pachulia,,33-43,,
1:26.0,,,33-44,1,L. Aldridge makes free throw 2 of 2
1:16.0,Turnover by J. McGee (bad pass),,33-44,,
1:01.0,,,33-44,,Shooting foul by J. McGee (drawn by L. Aldridge)
1:01.0,,,33-45,1,L. Aldridge makes free throw 1 of 2
1:01.0,,,33-46,1,L. Aldridge makes free throw 2 of 2
0:49.0,Turnover by D. Nowitzki (bad pass),,33-46,,
0:31.0,,,33-46,,L. Aldridge misses 2-pt shot from 12 ft
0:30.0,Defensive rebound by D. Williams,,33-46,,
0:24.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,36-46,,
0:08.0,,,36-46,,K. Leonard misses 2-pt shot from 23 ft
0:07.0,Defensive rebound by D. Nowitzki,,36-46,,
0:01.0,Turnover by C. Parsons (lost ball; steal by K. Leonard),,36-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Z. Pachulia misses 2-pt shot from 18 ft,,36-46,,
11:45.0,,,36-46,,Defensive rebound by T. Parker
11:30.0,,,36-46,,T. Duncan misses 2-pt shot from 10 ft
11:28.0,Defensive rebound by C. Parsons,,36-46,,
11:09.0,W. Matthews misses 3-pt shot from 26 ft,,36-46,,
11:08.0,,,36-46,,Defensive rebound by Team
10:49.0,,,36-46,,K. Leonard misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by C. Parsons,,36-46,,
10:42.0,Shooting foul by T. Parker (drawn by D. Williams),,36-46,,
10:42.0,D. Williams makes free throw 1 of 2,1,37-46,,
10:42.0,D. Williams makes free throw 2 of 2,1,38-46,,
10:31.0,Personal foul by Z. Pachulia (drawn by L. Aldridge),,38-46,,
10:31.0,J. McGee enters the game for Z. Pachulia,,38-46,,
10:20.0,,,38-46,,T. Duncan misses 2-pt shot from 5 ft
10:18.0,,,38-46,,Offensive rebound by L. Aldridge
10:15.0,,,38-48,2,L. Aldridge makes 2-pt shot from 1 ft
9:53.0,W. Matthews misses 2-pt shot from 1 ft,,38-48,,
9:51.0,Offensive rebound by J. McGee,,38-48,,
9:48.0,J. McGee misses 2-pt shot from 1 ft,,38-48,,
9:45.0,,,38-48,,Defensive rebound by T. Duncan
9:41.0,,,38-48,,D. Green misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by J. McGee,,38-48,,
9:24.0,C. Parsons misses 2-pt shot from 4 ft,,38-48,,
9:22.0,,,38-48,,Defensive rebound by D. Green
9:12.0,,,38-48,,L. Aldridge misses 2-pt shot from 15 ft
9:09.0,Defensive rebound by D. Williams,,38-48,,
8:47.0,W. Matthews misses 3-pt shot from 24 ft,,38-48,,
8:46.0,,,38-48,,Defensive rebound by T. Duncan
8:36.0,,,38-50,2,L. Aldridge makes 2-pt shot from 2 ft
8:36.0,,,38-50,,Shooting foul by J. McGee (drawn by L. Aldridge)
8:36.0,Dallas full timeout,,38-50,,
8:36.0,C. Villanueva enters the game for C. Parsons,,38-50,,
8:36.0,R. Felton enters the game for J. McGee,,38-50,,
8:36.0,,,38-51,1,L. Aldridge makes free throw 1 of 1
8:15.0,C. Villanueva misses 3-pt shot from 23 ft,,38-51,,
8:14.0,,,38-51,,Defensive rebound by D. Green
8:08.0,,,38-51,,Shooting foul by D. Williams (drawn by K. Leonard)
8:08.0,,,38-52,1,K. Leonard makes free throw 1 of 2
8:08.0,,,38-52,,K. Leonard misses free throw 2 of 2
8:06.0,Defensive rebound by C. Villanueva,,38-52,,
7:51.0,R. Felton makes 2-pt shot from 1 ft,2,40-52,,
7:35.0,,,40-54,2,L. Aldridge makes 2-pt shot from 8 ft
7:19.0,W. Matthews makes 2-pt shot from 1 ft (assist by R. Felton),2,42-54,,
6:58.0,,,42-56,2,L. Aldridge makes 2-pt shot from 8 ft (assist by T. Parker)
6:47.0,C. Villanueva misses 3-pt shot from 26 ft,,42-56,,
6:46.0,,,42-56,,Defensive rebound by D. Green
6:35.0,,,42-58,2,L. Aldridge makes 2-pt shot from 12 ft (assist by T. Parker)
6:35.0,Dallas full timeout,,42-58,,
6:35.0,,,42-58,,J. Simmons enters the game for D. Green
6:25.0,D. Williams makes 2-pt shot at rim,2,44-58,,
6:07.0,,,44-58,,Shooting foul by D. Williams (drawn by J. Simmons)
6:07.0,,,44-59,1,J. Simmons makes free throw 1 of 2
6:07.0,,,44-60,1,J. Simmons makes free throw 2 of 2
5:54.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams),3,47-60,,
5:36.0,,,47-62,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Duncan)
5:17.0,D. Nowitzki misses 2-pt shot from 3 ft (block by T. Duncan),,47-62,,
5:13.0,,,47-62,,Defensive rebound by L. Aldridge
5:12.0,Personal foul by D. Williams (drawn by K. Leonard),,47-62,,
5:12.0,,,47-62,,K. Leonard misses free throw 1 of 2
5:12.0,,,47-62,,Offensive rebound by Team
5:12.0,C. Parsons enters the game for D. Nowitzki,,47-62,,
5:12.0,Z. Pachulia enters the game for C. Villanueva,,47-62,,
5:12.0,,,47-62,,M. Ginobili enters the game for J. Simmons
5:12.0,,,47-63,1,K. Leonard makes free throw 2 of 2
5:01.0,Turnover by D. Williams (bad pass; steal by T. Parker),,47-63,,
4:57.0,,,47-65,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
4:43.0,R. Felton misses 2-pt shot from 19 ft,,47-65,,
4:41.0,,,47-65,,Defensive rebound by K. Leonard
4:34.0,,,47-65,,M. Ginobili misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by W. Matthews,,47-65,,
4:18.0,Z. Pachulia misses 2-pt shot from 16 ft,,47-65,,
4:16.0,,,47-65,,Defensive rebound by L. Aldridge
3:57.0,,,47-65,,M. Ginobili misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by Z. Pachulia,,47-65,,
3:48.0,R. Felton makes 2-pt shot from 2 ft (assist by D. Williams),2,49-65,,
3:48.0,,,49-65,,San Antonio full timeout
3:48.0,,,49-65,,P. Mills enters the game for T. Parker
3:48.0,,,49-65,,B. Diaw enters the game for T. Duncan
3:48.0,D. Harris enters the game for D. Williams,,49-65,,
3:22.0,,,49-65,,B. Diaw misses 3-pt shot from 25 ft
3:20.0,,,49-65,,Offensive rebound by M. Ginobili
3:05.0,,,49-67,2,B. Diaw makes 2-pt shot from 1 ft
2:54.0,,,49-67,,Personal foul by B. Diaw (drawn by D. Harris)
2:40.0,R. Felton makes 2-pt shot from 5 ft,2,51-67,,
2:29.0,,,51-69,2,K. Leonard makes 2-pt shot from 16 ft (assist by B. Diaw)
2:08.0,W. Matthews makes 2-pt shot from 3 ft (assist by C. Parsons),2,53-69,,
1:54.0,,,53-69,,Shooting foul by W. Matthews (drawn by B. Diaw)
1:54.0,,,53-70,1,B. Diaw makes free throw 1 of 2
1:54.0,C. Villanueva enters the game for W. Matthews,,53-70,,
1:54.0,,,53-71,1,B. Diaw makes free throw 2 of 2
1:45.0,Z. Pachulia misses 2-pt shot from 3 ft,,53-71,,
1:44.0,,,53-71,,Defensive rebound by B. Diaw
1:35.0,,,53-71,,Turnover by B. Diaw (bad pass; steal by C. Parsons)
1:30.0,,,53-71,,Personal foul by L. Aldridge (drawn by Z. Pachulia)
1:30.0,Z. Pachulia makes free throw 1 of 2,1,54-71,,
1:30.0,,,54-71,,D. West enters the game for L. Aldridge
1:30.0,Z. Pachulia makes free throw 2 of 2,1,55-71,,
1:16.0,,,55-73,2,P. Mills makes 2-pt shot from 17 ft
1:00.0,C. Villanueva misses 2-pt shot from 3 ft,,55-73,,
0:58.0,,,55-73,,Defensive rebound by D. West
0:51.0,,,55-73,,M. Ginobili misses 3-pt shot from 28 ft
0:48.0,Defensive rebound by C. Villanueva,,55-73,,
0:41.0,,,55-73,,Personal foul by M. Ginobili (drawn by Z. Pachulia)
0:41.0,Z. Pachulia makes free throw 1 of 2,1,56-73,,
0:41.0,,,56-73,,J. Simmons enters the game for K. Leonard
0:41.0,Z. Pachulia misses free throw 2 of 2,,56-73,,
0:39.0,,,56-73,,Defensive rebound by J. Simmons
0:31.0,,,56-76,3,B. Diaw makes 3-pt shot from 26 ft (assist by D. West)
0:11.0,Z. Pachulia misses 2-pt shot from 3 ft (block by D. West),,56-76,,
0:07.0,,,56-76,,Defensive rebound by M. Ginobili
0:01.0,,,56-78,2,M. Ginobili makes 2-pt shot from 19 ft (assist by B. Diaw)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,56-78,,Offensive foul by D. West
11:50.0,,,56-78,,Turnover by D. West (offensive foul)
11:40.0,,,56-78,,Personal foul by J. Simmons (drawn by C. Parsons)
11:40.0,,,56-78,,K. Anderson enters the game for J. Simmons
11:32.0,J. Barea misses 2-pt shot from 10 ft,,56-78,,
11:31.0,,,56-78,,Defensive rebound by K. Anderson
11:17.0,Personal foul by J. Barea,,56-78,,
11:17.0,Technical foul by Team,,56-78,,
11:17.0,Technical foul by Team,,56-78,,
11:17.0,,,56-78,,M. Ginobili misses technical free throw
11:17.0,,,56-78,,Offensive rebound by Team
11:17.0,,,56-79,1,M. Ginobili makes technical free throw
11:06.0,,,56-79,,P. Mills misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by J. McGee,,56-79,,
11:02.0,,,56-79,,Personal foul by K. Anderson (drawn by C. Parsons)
10:50.0,D. Harris makes 3-pt shot from 24 ft (assist by C. Villanueva),3,59-79,,
10:35.0,,,59-81,2,D. West makes 2-pt shot from 11 ft (assist by B. Diaw)
10:26.0,,,59-81,,Personal foul by P. Mills
10:26.0,J. Barea misses free throw 1 of 2,,59-81,,
10:26.0,Offensive rebound by Team,,59-81,,
10:26.0,J. Barea makes free throw 2 of 2,1,60-81,,
10:14.0,,,60-81,,B. Diaw misses 2-pt shot from 1 ft
10:14.0,,,60-81,,Offensive rebound by D. West
10:14.0,,,60-83,2,D. West makes 2-pt shot from 1 ft
10:14.0,,,60-83,,Shooting foul by C. Parsons (drawn by D. West)
10:14.0,,,60-83,,D. Green enters the game for M. Ginobili
10:14.0,,,60-83,,D. West misses free throw 1 of 1
10:08.0,Defensive rebound by J. McGee,,60-83,,
10:01.0,,,60-83,,Personal foul by P. Mills
9:54.0,Offensive foul by J. McGee,,60-83,,
9:54.0,Turnover by J. McGee (offensive foul),,60-83,,
9:41.0,Violation by J. McGee (def goaltending),,60-83,,
9:41.0,,,60-85,2,B. Diaw makes 2-pt shot from 3 ft
9:20.0,Turnover by C. Parsons (lost ball; steal by B. Diaw),,60-85,,
9:12.0,,,60-85,,D. West misses 2-pt shot from 6 ft
9:10.0,,,60-85,,Offensive rebound by Team
9:10.0,J. Evans enters the game for C. Parsons,,60-85,,
9:10.0,,,60-85,,R. Butler enters the game for B. Diaw
9:06.0,,,60-85,,D. West misses 2-pt shot from 16 ft
9:04.0,Defensive rebound by C. Villanueva,,60-85,,
8:55.0,Turnover by C. Villanueva (traveling),,60-85,,
8:55.0,Official timeout,,60-85,,
8:55.0,,,60-85,,B. Marjanovic enters the game for D. West
8:55.0,J. Jenkins enters the game for J. McGee,,60-85,,
8:55.0,D. Powell enters the game for D. Harris,,60-85,,
8:47.0,,,60-87,2,P. Mills makes 2-pt shot from 18 ft
8:26.0,D. Powell makes 3-pt shot from 22 ft (assist by J. Barea),3,63-87,,
8:04.0,,,63-87,,B. Marjanovic misses 2-pt shot from 8 ft
8:02.0,Defensive rebound by C. Villanueva,,63-87,,
7:56.0,J. Barea misses 3-pt shot from 26 ft,,63-87,,
7:54.0,,,63-87,,Defensive rebound by D. Green
7:43.0,,,63-89,2,B. Marjanovic makes 2-pt shot from 4 ft (assist by D. Green)
7:26.0,,,63-89,,Personal foul by P. Mills (drawn by D. Powell)
7:26.0,D. Powell makes free throw 1 of 2,1,64-89,,
7:26.0,,,64-89,,J. Simmons enters the game for P. Mills
7:26.0,D. Powell makes free throw 2 of 2,1,65-89,,
7:01.0,,,65-91,2,B. Marjanovic makes 2-pt shot from 4 ft
6:52.0,D. Powell misses 3-pt shot from 25 ft,,65-91,,
6:50.0,,,65-91,,Defensive rebound by R. Butler
6:41.0,,,65-93,2,K. Anderson makes 2-pt shot from 17 ft
6:32.0,Dallas full timeout,,65-93,,
6:32.0,Technical foul by J. Barea,,65-93,,
6:32.0,,,65-93,,D. Green misses technical free throw
6:32.0,Offensive rebound by Team,,65-93,,
6:17.0,J. Evans misses 3-pt shot from 23 ft,,65-93,,
6:15.0,,,65-93,,Defensive rebound by B. Marjanovic
6:05.0,,,65-93,,D. Green misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by J. Jenkins,,65-93,,
5:56.0,J. Jenkins misses 2-pt shot from 17 ft,,65-93,,
5:54.0,,,65-93,,Defensive rebound by K. Anderson
5:48.0,Personal foul by J. Evans (drawn by B. Marjanovic),,65-93,,
5:43.0,,,65-93,,D. Green misses 2-pt shot from 6 ft
5:40.0,Defensive rebound by J. Evans,,65-93,,
5:28.0,D. Powell makes 3-pt shot from 22 ft (assist by J. Jenkins),3,68-93,,
5:12.0,,,68-93,,Turnover by K. Anderson (bad pass; steal by J. Evans)
5:06.0,,,68-93,,Def 3 sec tech foul by B. Marjanovic
