time,Miami,pts.away,score,pts.home,Denver
6:29.0,,,8-10,,Defensive rebound by K. Faried
6:23.0,,,8-10,,Shooting foul by G. Green (drawn by G. Harris)
6:23.0,,,8-11,1,G. Harris makes free throw 1 of 2
6:23.0,,,8-11,,W. Barton enters the game for K. Faried
6:23.0,,,8-12,1,G. Harris makes free throw 2 of 2
6:16.0,L. Deng makes 2-pt shot from 1 ft (assist by B. Udrih),2,10-12,,
5:59.0,,,10-14,2,J. Nelson makes 2-pt shot from 19 ft
5:43.0,,,10-14,,Def 3 sec tech foul by W. Barton
5:43.0,,,10-14,,Denver full timeout
5:43.0,G. Green misses technical free throw,,10-14,,
5:43.0,Offensive rebound by Team,,10-14,,
5:25.0,L. Deng misses 2-pt shot from 12 ft,,10-14,,
5:23.0,,,10-14,,Defensive rebound by W. Barton
5:11.0,,,10-14,,W. Barton misses 2-pt shot from 1 ft (block by H. Whiteside)
5:09.0,Defensive rebound by L. Deng,,10-14,,
5:00.0,B. Udrih makes 2-pt shot from 2 ft (assist by G. Green),2,12-14,,
4:48.0,,,12-14,,Turnover by J. Nelson (bad pass; steal by H. Whiteside)
4:34.0,Offensive foul by L. Deng,,12-14,,
4:34.0,Turnover by L. Deng (offensive foul),,12-14,,
4:34.0,T. Johnson enters the game for G. Green,,12-14,,
4:34.0,,,12-14,,E. Mudiay enters the game for J. Nelson
4:34.0,,,12-14,,N. Jokic enters the game for D. Arthur
4:22.0,,,12-14,,Turnover by D. Gallinari (lost ball)
4:03.0,Shooting foul by N. Jokic (drawn by H. Whiteside),,12-14,,
4:03.0,H. Whiteside makes 2-pt shot from 5 ft (assist by B. Udrih),2,14-14,,
4:03.0,H. Whiteside makes free throw 1 of 1,1,15-14,,
3:50.0,,,15-17,3,E. Mudiay makes 3-pt shot from 24 ft (assist by D. Gallinari)
3:42.0,Miami full timeout,,15-17,,
3:32.0,T. Johnson misses 2-pt shot from 8 ft,,15-17,,
3:31.0,,,15-17,,Defensive rebound by Team
3:14.0,,,15-19,2,N. Jokic makes 2-pt shot from 9 ft
3:01.0,B. Udrih makes 3-pt shot from 24 ft,3,18-19,,
2:42.0,,,18-21,2,E. Mudiay makes 2-pt shot from 9 ft
2:20.0,H. Whiteside misses 2-pt shot from 7 ft,,18-21,,
2:19.0,,,18-21,,Defensive rebound by W. Barton
2:14.0,,,18-24,3,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Barton)
1:58.0,Turnover by T. Johnson (lost ball),,18-24,,
1:58.0,J. Richardson enters the game for B. Udrih,,18-24,,
1:58.0,C. Bosh enters the game for L. Deng,,18-24,,
1:58.0,A. Stoudemire enters the game for H. Whiteside,,18-24,,
1:46.0,,,18-26,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
1:24.0,J. Richardson misses 3-pt shot from 24 ft,,18-26,,
1:23.0,,,18-26,,Defensive rebound by D. Gallinari
1:13.0,,,18-26,,E. Mudiay misses 2-pt shot from 2 ft
1:12.0,Defensive rebound by J. Winslow,,18-26,,
0:49.0,J. Winslow misses 2-pt shot from 3 ft (block by N. Jokic),,18-26,,
0:47.0,,,18-26,,Defensive rebound by D. Gallinari
0:42.0,,,18-29,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
0:28.0,T. Johnson makes 2-pt shot from 7 ft,2,20-29,,
0:06.0,,,20-31,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
0:00.0,T. Johnson misses 2-pt shot from 22 ft,,20-31,,
0:00.0,Offensive rebound by Team,,20-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,20-34,3,W. Barton makes 3-pt shot from 23 ft (assist by E. Mudiay)
11:27.0,Turnover by J. Winslow (bad pass),,20-34,,
11:12.0,,,20-36,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Arthur)
10:46.0,C. Bosh makes 2-pt shot from 1 ft,2,22-36,,
10:35.0,,,22-36,,Shooting foul by C. Bosh (drawn by D. Arthur)
10:35.0,,,22-37,1,D. Arthur makes free throw 1 of 2
10:35.0,,,22-38,1,D. Arthur makes free throw 2 of 2
10:21.0,T. Johnson makes 2-pt shot from 18 ft (assist by A. Stoudemire),2,24-38,,
10:03.0,,,24-38,,Shooting foul by A. Stoudemire (drawn by W. Barton)
10:03.0,,,24-39,1,W. Barton makes free throw 1 of 2
10:03.0,G. Green enters the game for J. Winslow,,24-39,,
10:03.0,,,24-40,1,W. Barton makes free throw 2 of 2
9:43.0,A. Stoudemire misses 2-pt shot from 1 ft (block by W. Barton),,24-40,,
9:43.0,Offensive rebound by A. Stoudemire,,24-40,,
9:43.0,A. Stoudemire makes 2-pt shot from 1 ft,2,26-40,,
9:43.0,Shooting foul by D. Arthur (drawn by A. Stoudemire),,26-40,,
9:43.0,A. Stoudemire makes free throw 1 of 1,1,27-40,,
9:18.0,,,27-42,2,D. Arthur makes 2-pt shot from 20 ft (assist by R. Foye)
9:00.0,C. Bosh misses 2-pt shot from 1 ft,,27-42,,
8:58.0,Offensive rebound by A. Stoudemire,,27-42,,
8:58.0,A. Stoudemire makes 2-pt shot from 1 ft,2,29-42,,
8:40.0,,,29-44,2,D. Arthur makes 2-pt shot from 1 ft (assist by N. Jokic)
8:29.0,T. Johnson misses 2-pt shot from 2 ft,,29-44,,
8:28.0,,,29-44,,Defensive rebound by N. Jokic
8:18.0,,,29-44,,D. Arthur misses 2-pt shot from 14 ft
8:17.0,Defensive rebound by T. Johnson,,29-44,,
8:04.0,A. Stoudemire misses 2-pt shot from 1 ft,,29-44,,
8:04.0,,,29-44,,Defensive rebound by N. Jokic
7:55.0,,,29-44,,E. Mudiay misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by G. Green,,29-44,,
7:42.0,J. Richardson misses 2-pt shot from 22 ft,,29-44,,
7:41.0,,,29-44,,Defensive rebound by N. Jokic
7:36.0,,,29-44,,Shooting foul by J. Richardson (drawn by E. Mudiay)
7:36.0,Official timeout,,29-44,,
7:36.0,L. Deng enters the game for C. Bosh,,29-44,,
7:36.0,H. Whiteside enters the game for A. Stoudemire,,29-44,,
7:36.0,Violation by Team (delay of game),,29-44,,
7:36.0,,,29-45,1,E. Mudiay makes free throw 1 of 2
7:36.0,,,29-46,1,E. Mudiay makes free throw 2 of 2
7:20.0,,,29-46,,Personal foul by W. Barton (drawn by G. Green)
7:05.0,H. Whiteside misses 2-pt shot from 5 ft,,29-46,,
7:04.0,,,29-46,,Defensive rebound by D. Arthur
6:56.0,,,29-46,,W. Barton misses 2-pt shot from 21 ft
6:55.0,Defensive rebound by H. Whiteside,,29-46,,
6:45.0,Shooting foul by D. Arthur (drawn by L. Deng),,29-46,,
6:45.0,L. Deng makes free throw 1 of 2,1,30-46,,
6:45.0,,,30-46,,K. Faried enters the game for D. Arthur
6:45.0,,,30-46,,D. Gallinari enters the game for N. Jokic
6:45.0,L. Deng makes free throw 2 of 2,1,31-46,,
6:31.0,,,31-46,,Turnover by E. Mudiay (bad pass; steal by L. Deng)
6:25.0,J. Richardson makes 2-pt shot from 1 ft (assist by T. Johnson),2,33-46,,
6:08.0,,,33-46,,R. Foye misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by J. Richardson,,33-46,,
5:44.0,J. Richardson misses 2-pt shot from 4 ft,,33-46,,
5:43.0,,,33-46,,Defensive rebound by R. Foye
5:36.0,,,33-48,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
5:18.0,T. Johnson makes 2-pt shot from 2 ft,2,35-48,,
5:04.0,,,35-48,,Shooting foul by J. Richardson (drawn by W. Barton)
5:04.0,,,35-48,,Denver full timeout
5:04.0,Technical foul by Team,,35-48,,
5:04.0,B. Udrih enters the game for J. Richardson,,35-48,,
5:04.0,,,35-48,,J. Nelson enters the game for R. Foye
5:04.0,,,35-49,1,D. Gallinari makes technical free throw
5:04.0,,,35-50,1,E. Mudiay makes free throw 1 of 2
5:04.0,,,35-51,1,E. Mudiay makes free throw 2 of 2
4:50.0,T. Johnson misses 2-pt shot from 17 ft,,35-51,,
4:49.0,Offensive rebound by H. Whiteside,,35-51,,
4:45.0,H. Whiteside makes 2-pt shot from 2 ft,2,37-51,,
4:28.0,,,37-53,2,K. Faried makes 2-pt shot from 3 ft (assist by E. Mudiay)
4:14.0,B. Udrih makes 2-pt shot from 17 ft,2,39-53,,
3:58.0,,,39-53,,Shooting foul by G. Green (drawn by D. Gallinari)
3:58.0,,,39-54,1,D. Gallinari makes free throw 1 of 2
3:58.0,,,39-54,,G. Harris enters the game for W. Barton
3:58.0,C. Bosh enters the game for T. Johnson,,39-54,,
3:58.0,,,39-55,1,D. Gallinari makes free throw 2 of 2
3:42.0,L. Deng misses 2-pt shot from 21 ft,,39-55,,
3:42.0,,,39-55,,Defensive rebound by D. Gallinari
3:29.0,,,39-57,2,K. Faried makes 2-pt shot from 3 ft (assist by J. Nelson)
3:29.0,,,39-57,,Shooting foul by B. Udrih (drawn by K. Faried)
3:29.0,,,39-57,,K. Faried misses free throw 1 of 1
3:28.0,Defensive rebound by L. Deng,,39-57,,
3:24.0,Miami full timeout,,39-57,,
3:22.0,,,39-57,,Personal foul by J. Nelson (drawn by G. Green)
3:12.0,Shooting foul by K. Faried (drawn by C. Bosh),,39-57,,
3:12.0,C. Bosh makes free throw 1 of 2,1,40-57,,
3:12.0,C. Bosh makes free throw 2 of 2,1,41-57,,
2:54.0,,,41-57,,K. Faried misses 2-pt shot from 3 ft
2:53.0,Defensive rebound by G. Green,,41-57,,
2:46.0,Offensive foul by H. Whiteside,,41-57,,
2:46.0,Turnover by H. Whiteside (offensive foul),,41-57,,
2:37.0,,,41-57,,E. Mudiay misses 2-pt shot from 1 ft (block by H. Whiteside)
2:36.0,,,41-57,,Offensive rebound by Team
2:27.0,,,41-57,,D. Gallinari misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by H. Whiteside,,41-57,,
2:13.0,H. Whiteside makes 2-pt shot from 1 ft (assist by B. Udrih),2,43-57,,
2:05.0,,,43-57,,Shooting foul by B. Udrih (drawn by D. Gallinari)
2:05.0,,,43-58,1,D. Gallinari makes free throw 1 of 2
2:05.0,,,43-58,,W. Barton enters the game for E. Mudiay
2:05.0,T. Johnson enters the game for B. Udrih,,43-58,,
2:05.0,,,43-59,1,D. Gallinari makes free throw 2 of 2
1:58.0,,,43-59,,Personal foul by J. Nelson (drawn by T. Johnson)
1:58.0,T. Johnson makes free throw 1 of 2,1,44-59,,
1:58.0,T. Johnson misses free throw 2 of 2,,44-59,,
1:57.0,,,44-59,,Defensive rebound by W. Barton
1:40.0,,,44-59,,G. Harris misses 2-pt shot from 2 ft (block by H. Whiteside)
1:38.0,Defensive rebound by G. Green,,44-59,,
1:32.0,Offensive foul by G. Green,,44-59,,
1:32.0,Turnover by G. Green (offensive foul),,44-59,,
1:32.0,,,44-59,,N. Jokic enters the game for K. Faried
1:32.0,J. Richardson enters the game for G. Green,,44-59,,
1:11.0,,,44-59,,N. Jokic misses 2-pt shot from 20 ft (block by H. Whiteside)
1:10.0,,,44-59,,Offensive rebound by Team
1:10.0,,,44-59,,Denver full timeout
1:08.0,,,44-59,,Turnover by Team (shot clock)
0:48.0,C. Bosh makes 2-pt shot from 1 ft (assist by L. Deng),2,46-59,,
0:45.0,,,46-59,,Turnover by W. Barton (traveling)
0:30.0,C. Bosh misses 2-pt shot from 15 ft,,46-59,,
0:29.0,,,46-59,,Defensive rebound by W. Barton
0:09.0,,,46-59,,G. Harris misses 3-pt shot from 23 ft
0:08.0,,,46-59,,Offensive rebound by N. Jokic
0:08.0,,,46-61,2,N. Jokic makes 2-pt shot from 2 ft
0:08.0,,,46-61,,Shooting foul by T. Johnson (drawn by N. Jokic)
0:08.0,,,46-61,,S. Kilpatrick enters the game for J. Nelson
0:08.0,,,46-62,1,N. Jokic makes free throw 1 of 1
0:05.0,Miami full timeout,,46-62,,
0:05.0,G. Green enters the game for J. Richardson,,46-62,,
0:05.0,Turnover by Team (5 sec inbounds),,46-62,,
0:05.0,,,46-62,,J. Nelson enters the game for S. Kilpatrick
0:05.0,J. Richardson enters the game for G. Green,,46-62,,
0:01.0,,,46-62,,Turnover by W. Barton (lost ball; steal by T. Johnson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,46-64,2,D. Arthur makes 2-pt shot from 21 ft (assist by K. Faried)
11:28.0,C. Bosh makes 2-pt shot from 2 ft,2,48-64,,
11:17.0,,,48-64,,D. Gallinari misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by B. Udrih,,48-64,,
10:57.0,Shooting foul by K. Faried (drawn by H. Whiteside),,48-64,,
10:57.0,H. Whiteside makes free throw 1 of 2,1,49-64,,
10:57.0,H. Whiteside misses free throw 2 of 2,,49-64,,
10:55.0,,,49-64,,Defensive rebound by D. Arthur
10:37.0,,,49-64,,D. Gallinari misses 2-pt shot from 20 ft
10:36.0,Defensive rebound by Team,,49-64,,
10:17.0,Turnover by H. Whiteside (3 sec),,49-64,,
10:01.0,,,49-64,,G. Harris misses 2-pt shot from 12 ft (block by H. Whiteside)
9:59.0,Defensive rebound by H. Whiteside,,49-64,,
9:48.0,B. Udrih makes 2-pt shot from 16 ft,2,51-64,,
9:48.0,,,51-64,,Denver full timeout
9:38.0,,,51-64,,G. Harris misses 3-pt shot from 23 ft
9:37.0,Defensive rebound by H. Whiteside,,51-64,,
9:23.0,L. Deng makes 2-pt shot from 1 ft (assist by B. Udrih),2,53-64,,
9:11.0,,,53-64,,K. Faried misses 2-pt shot from 3 ft (block by H. Whiteside)
9:10.0,,,53-64,,Offensive rebound by Team
9:02.0,,,53-66,2,D. Gallinari makes 2-pt shot from 21 ft (assist by J. Nelson)
8:45.0,G. Green misses 3-pt shot from 25 ft,,53-66,,
8:44.0,,,53-66,,Defensive rebound by D. Arthur
8:38.0,,,53-66,,Loose ball foul by D. Gallinari (drawn by H. Whiteside)
8:38.0,,,53-66,,Turnover by D. Gallinari (offensive foul)
8:27.0,Turnover by C. Bosh (lost ball; steal by K. Faried),,53-66,,
8:25.0,,,53-66,,Turnover by J. Nelson (bad pass)
8:11.0,Shooting foul by D. Arthur (drawn by C. Bosh),,53-66,,
8:11.0,C. Bosh makes free throw 1 of 2,1,54-66,,
8:11.0,C. Bosh makes free throw 2 of 2,1,55-66,,
7:59.0,,,55-66,,Turnover by D. Arthur (lost ball)
7:41.0,C. Bosh makes 2-pt shot from 14 ft,2,57-66,,
7:24.0,,,57-66,,Shooting foul by C. Bosh (drawn by K. Faried)
7:24.0,,,57-67,1,K. Faried makes free throw 1 of 2
7:24.0,,,57-68,1,K. Faried makes free throw 2 of 2
7:05.0,C. Bosh makes 2-pt shot from 17 ft,2,59-68,,
6:56.0,Personal foul by L. Deng (drawn by D. Gallinari),,59-68,,
6:49.0,,,59-68,,D. Gallinari misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by C. Bosh,,59-68,,
6:32.0,G. Green misses 2-pt shot from 7 ft (block by J. Nelson),,59-68,,
6:31.0,,,59-68,,Defensive rebound by D. Arthur
6:29.0,,,59-68,,Shooting foul by C. Bosh (drawn by K. Faried)
6:29.0,,,59-69,1,K. Faried makes free throw 1 of 2
6:29.0,J. Winslow enters the game for L. Deng,,59-69,,
6:29.0,,,59-70,1,K. Faried makes free throw 2 of 2
6:17.0,,,59-70,,Personal foul by D. Arthur (drawn by G. Green)
6:17.0,,,59-70,,W. Barton enters the game for D. Arthur
6:01.0,B. Udrih misses 2-pt shot from 21 ft,,59-70,,
6:00.0,,,59-70,,Defensive rebound by K. Faried
5:57.0,,,59-70,,E. Mudiay enters the game for J. Nelson
5:43.0,,,59-72,2,K. Faried makes 2-pt shot from 16 ft
5:42.0,Miami full timeout,,59-72,,
5:21.0,C. Bosh misses 3-pt shot from 22 ft,,59-72,,
5:20.0,,,59-72,,Defensive rebound by E. Mudiay
5:11.0,,,59-72,,W. Barton misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by J. Winslow,,59-72,,
5:08.0,J. Winslow misses 2-pt shot from 2 ft (block by K. Faried),,59-72,,
5:07.0,Offensive rebound by Team,,59-72,,
4:59.0,C. Bosh makes 2-pt shot from 1 ft (assist by B. Udrih),2,61-72,,
4:44.0,,,61-74,2,E. Mudiay makes 2-pt shot at rim
4:27.0,T. Johnson enters the game for G. Green,,61-74,,
4:23.0,T. Johnson misses 2-pt shot from 3 ft (block by E. Mudiay),,61-74,,
4:21.0,Offensive rebound by T. Johnson,,61-74,,
4:19.0,T. Johnson misses 2-pt shot from 6 ft (block by K. Faried),,61-74,,
4:16.0,Offensive rebound by H. Whiteside,,61-74,,
4:15.0,H. Whiteside makes 2-pt shot at rim,2,63-74,,
4:02.0,,,63-74,,E. Mudiay misses 2-pt shot from 17 ft
4:02.0,Defensive rebound by H. Whiteside,,63-74,,
3:54.0,,,63-74,,N. Jokic enters the game for K. Faried
3:44.0,H. Whiteside makes 2-pt shot from 13 ft (assist by T. Johnson),2,65-74,,
3:23.0,L. Deng enters the game for C. Bosh,,65-74,,
3:17.0,,,65-74,,G. Harris misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by H. Whiteside,,65-74,,
3:01.0,H. Whiteside makes 2-pt shot from 12 ft (assist by T. Johnson),2,67-74,,
3:01.0,,,67-74,,Denver full timeout
2:51.0,,,67-76,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
2:29.0,H. Whiteside misses 2-pt shot from 9 ft,,67-76,,
2:28.0,,,67-76,,Defensive rebound by N. Jokic
2:18.0,,,67-76,,W. Barton misses 2-pt shot from 9 ft
2:17.0,,,67-76,,Offensive rebound by W. Barton
2:16.0,,,67-76,,Shooting foul by H. Whiteside (drawn by W. Barton)
2:16.0,,,67-77,1,W. Barton makes free throw 1 of 2
2:16.0,,,67-78,1,W. Barton makes free throw 2 of 2
2:04.0,,,67-78,,Personal foul by G. Harris (drawn by T. Johnson)
2:04.0,T. Johnson makes free throw 1 of 2,1,68-78,,
2:04.0,T. Johnson makes free throw 2 of 2,1,69-78,,
1:50.0,,,69-78,,G. Harris misses 2-pt shot from 11 ft
1:50.0,,,69-78,,Offensive rebound by N. Jokic
1:47.0,,,69-78,,N. Jokic misses 2-pt shot from 4 ft (block by H. Whiteside)
1:45.0,,,69-78,,Offensive rebound by W. Barton
1:41.0,,,69-78,,D. Gallinari misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by Team,,69-78,,
1:17.0,T. Johnson makes 2-pt shot from 21 ft (assist by H. Whiteside),2,71-78,,
1:06.0,,,71-78,,N. Jokic misses 2-pt shot from 1 ft (block by H. Whiteside)
1:04.0,Defensive rebound by J. Winslow,,71-78,,
1:03.0,Turnover by J. Winslow (bad pass),,71-78,,
0:52.0,,,71-78,,G. Harris misses 2-pt shot from 7 ft (block by H. Whiteside)
0:50.0,Defensive rebound by H. Whiteside,,71-78,,
0:39.0,J. Winslow makes 3-pt shot from 25 ft (assist by B. Udrih),3,74-78,,
0:29.0,,,74-78,,Offensive foul by N. Jokic
0:29.0,,,74-78,,Turnover by N. Jokic (offensive foul)
0:07.0,H. Whiteside makes 2-pt shot at rim (assist by B. Udrih),2,76-78,,
0:01.0,,,76-78,,W. Barton misses 2-pt shot from 13 ft
0:00.0,,,76-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,L. Deng misses 2-pt shot from 1 ft,,76-78,,
11:42.0,,,76-78,,Defensive rebound by W. Barton
11:28.0,,,76-80,2,W. Barton makes 2-pt shot from 20 ft (assist by N. Jokic)
11:08.0,L. Deng makes 2-pt shot from 20 ft (assist by H. Whiteside),2,78-80,,
10:57.0,,,78-82,2,E. Mudiay makes 2-pt shot from 18 ft
10:28.0,L. Deng makes 2-pt shot from 20 ft (assist by J. Winslow),2,80-82,,
10:04.0,,,80-82,,E. Mudiay misses 2-pt shot from 14 ft (block by H. Whiteside)
10:03.0,Defensive rebound by B. Udrih,,80-82,,
9:51.0,J. Winslow makes 2-pt shot from 1 ft (assist by B. Udrih),2,82-82,,
9:35.0,Personal foul by J. Winslow (drawn by W. Barton),,82-82,,
9:35.0,,,82-82,,K. Faried enters the game for N. Jokic
9:35.0,,,82-82,,G. Harris enters the game for W. Barton
9:25.0,,,82-82,,G. Harris misses 2-pt shot at rim (block by H. Whiteside)
9:24.0,,,82-82,,Offensive rebound by Team
9:19.0,,,82-82,,K. Faried misses 2-pt shot from 3 ft
9:18.0,Defensive rebound by H. Whiteside,,82-82,,
9:09.0,J. Winslow makes 3-pt shot from 26 ft (assist by B. Udrih),3,85-82,,
8:50.0,,,85-82,,Turnover by E. Mudiay (bad pass; steal by J. Winslow)
8:45.0,L. Deng makes 2-pt shot from 2 ft (assist by T. Johnson),2,87-82,,
8:45.0,,,87-82,,Denver full timeout
8:28.0,,,87-85,3,J. Nelson makes 3-pt shot from 25 ft (assist by E. Mudiay)
8:02.0,B. Udrih misses 2-pt shot from 15 ft,,87-85,,
8:01.0,Offensive rebound by H. Whiteside,,87-85,,
7:46.0,L. Deng misses 2-pt shot from 15 ft,,87-85,,
7:45.0,Offensive rebound by H. Whiteside,,87-85,,
7:42.0,Turnover by H. Whiteside (lost ball; steal by D. Arthur),,87-85,,
7:36.0,,,87-85,,E. Mudiay misses 2-pt shot from 2 ft
7:36.0,Defensive rebound by T. Johnson,,87-85,,
7:18.0,L. Deng misses 3-pt shot from 23 ft,,87-85,,
7:17.0,Offensive rebound by H. Whiteside,,87-85,,
7:17.0,H. Whiteside misses 2-pt shot from 2 ft,,87-85,,
7:16.0,Offensive rebound by H. Whiteside,,87-85,,
7:15.0,Shooting foul by K. Faried (drawn by H. Whiteside),,87-85,,
7:15.0,H. Whiteside makes free throw 1 of 2,1,88-85,,
7:15.0,C. Bosh enters the game for T. Johnson,,88-85,,
7:15.0,H. Whiteside misses free throw 2 of 2,,88-85,,
7:13.0,,,88-85,,Defensive rebound by K. Faried
6:54.0,,,88-87,2,D. Arthur makes 2-pt shot from 20 ft
6:47.0,Miami full timeout,,88-87,,
6:47.0,T. Johnson enters the game for H. Whiteside,,88-87,,
6:47.0,,,88-87,,D. Gallinari enters the game for E. Mudiay
6:34.0,C. Bosh makes 3-pt shot from 25 ft (assist by L. Deng),3,91-87,,
6:17.0,,,91-89,2,J. Nelson makes 2-pt shot from 21 ft (assist by G. Harris)
6:02.0,Turnover by C. Bosh (lost ball; steal by D. Arthur),,91-89,,
5:49.0,,,91-89,,Shooting foul by C. Bosh (drawn by K. Faried)
5:49.0,,,91-90,1,K. Faried makes free throw 1 of 2
5:49.0,,,91-91,1,K. Faried makes free throw 2 of 2
5:32.0,T. Johnson makes 2-pt shot from 3 ft (assist by C. Bosh),2,93-91,,
5:14.0,,,93-91,,G. Harris misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by C. Bosh,,93-91,,
4:56.0,T. Johnson misses 3-pt shot from 24 ft,,93-91,,
4:56.0,,,93-91,,Defensive rebound by K. Faried
4:47.0,,,93-91,,J. Nelson misses 2-pt shot from 3 ft
4:45.0,,,93-91,,Offensive rebound by J. Nelson
4:41.0,,,93-91,,K. Faried misses 2-pt shot from 1 ft (block by J. Winslow)
4:40.0,Defensive rebound by J. Winslow,,93-91,,
4:40.0,Offensive foul by J. Winslow,,93-91,,
4:40.0,Turnover by J. Winslow (offensive foul),,93-91,,
4:28.0,,,93-91,,J. Nelson misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by L. Deng,,93-91,,
4:08.0,B. Udrih misses 3-pt shot from 25 ft,,93-91,,
4:08.0,,,93-91,,Defensive rebound by G. Harris
3:48.0,,,93-91,,K. Faried misses 2-pt shot from 4 ft
3:47.0,,,93-91,,Offensive rebound by D. Arthur
3:46.0,Loose ball foul by J. Winslow (drawn by D. Arthur),,93-91,,
3:46.0,H. Whiteside enters the game for J. Winslow,,93-91,,
3:24.0,,,93-91,,D. Arthur misses 2-pt shot from 18 ft (block by C. Bosh)
3:22.0,Defensive rebound by L. Deng,,93-91,,
3:12.0,T. Johnson makes 2-pt shot from 1 ft (assist by B. Udrih),2,95-91,,
3:12.0,,,95-91,,Denver full timeout
3:03.0,,,95-91,,Turnover by D. Gallinari (bad pass)
2:42.0,T. Johnson misses 2-pt shot from 21 ft,,95-91,,
2:41.0,,,95-91,,Defensive rebound by D. Arthur
2:32.0,,,95-93,2,D. Arthur makes 2-pt shot from 20 ft (assist by J. Nelson)
2:17.0,,,95-93,,Personal foul by J. Nelson (drawn by T. Johnson)
2:17.0,Official timeout,,95-93,,
2:17.0,,,95-93,,W. Barton enters the game for K. Faried
2:12.0,,,95-93,,Personal block foul by J. Nelson (drawn by B. Udrih)
1:57.0,B. Udrih misses 2-pt shot from 2 ft,,95-93,,
1:56.0,,,95-93,,Defensive rebound by W. Barton
1:46.0,,,95-95,2,D. Arthur makes 2-pt shot from 20 ft (assist by W. Barton)
1:28.0,Turnover by H. Whiteside (bad pass),,95-95,,
