time,LA Lakers,pts.away,score,pts.home,Utah
7:39.0,L. Williams misses 2-pt shot from 2 ft (block by R. Gobert),,7-9,,
7:39.0,Offensive rebound by Team,,7-9,,
7:39.0,,,7-9,,Loose ball foul by R. Hood (drawn by R. Hibbert)
7:29.0,J. Clarkson misses 2-pt shot from 11 ft,,7-9,,
7:28.0,,,7-9,,Defensive rebound by R. Gobert
7:20.0,,,7-11,2,R. Neto makes 2-pt shot at rim
7:08.0,J. Randle misses 2-pt shot from 20 ft,,7-11,,
7:07.0,,,7-11,,Defensive rebound by G. Hayward
6:57.0,,,7-14,3,R. Hood makes 3-pt shot from 24 ft
6:43.0,K. Bryant misses 2-pt shot from 7 ft,,7-14,,
6:42.0,,,7-14,,Defensive rebound by T. Lyles
6:36.0,,,7-14,,G. Hayward misses 2-pt shot from 1 ft
6:36.0,,,7-14,,Offensive rebound by Team
6:33.0,,,7-14,,Turnover by R. Hood (bad pass; steal by L. Williams)
6:21.0,L. Williams misses 3-pt shot from 25 ft,,7-14,,
6:21.0,,,7-14,,Defensive rebound by G. Hayward
6:06.0,,,7-14,,G. Hayward misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by J. Clarkson,,7-14,,
6:03.0,D. Russell enters the game for J. Clarkson,,7-14,,
5:48.0,,,7-14,,Def 3 sec tech foul by T. Lyles
5:48.0,,,7-14,,Utah full timeout
5:48.0,,,7-14,,T. Burke enters the game for R. Neto
5:48.0,,,7-14,,C. Johnson enters the game for R. Hood
5:48.0,K. Bryant makes technical free throw,1,8-14,,
5:34.0,J. Randle makes 2-pt shot from 10 ft (assist by R. Hibbert),2,10-14,,
5:11.0,,,10-14,,Shooting foul by R. Hibbert (drawn by C. Johnson)
5:11.0,,,10-15,1,C. Johnson makes free throw 1 of 2
5:11.0,,,10-16,1,C. Johnson makes free throw 2 of 2
5:01.0,Turnover by D. Russell (bad pass; steal by C. Johnson),,10-16,,
4:55.0,,,10-18,2,G. Hayward makes 2-pt shot at rim (assist by C. Johnson)
4:49.0,LA Lakers full timeout,,10-18,,
4:31.0,L. Williams misses 2-pt shot from 18 ft,,10-18,,
4:31.0,,,10-18,,Defensive rebound by T. Lyles
4:08.0,,,10-20,2,G. Hayward makes 2-pt shot from 19 ft
3:50.0,A. Brown enters the game for R. Hibbert,,10-20,,
3:50.0,T. Black enters the game for K. Bryant,,10-20,,
3:50.0,,,10-20,,J. Withey enters the game for R. Gobert
3:45.0,J. Randle misses 2-pt shot from 10 ft,,10-20,,
3:44.0,Offensive rebound by T. Black,,10-20,,
3:38.0,D. Russell makes 3-pt shot from 23 ft (assist by T. Black),3,13-20,,
3:15.0,,,13-23,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
3:05.0,Turnover by D. Russell (lost ball),,13-23,,
2:50.0,,,13-23,,G. Hayward misses 3-pt shot from 23 ft
2:50.0,Defensive rebound by J. Randle,,13-23,,
2:43.0,,,13-23,,Violation by C. Johnson (kicked ball)
2:29.0,J. Randle misses 2-pt shot from 20 ft,,13-23,,
2:27.0,Offensive rebound by T. Black,,13-23,,
2:27.0,Turnover by T. Black (traveling),,13-23,,
2:10.0,,,13-25,2,J. Withey makes 2-pt shot from 1 ft (assist by T. Burke)
1:56.0,Turnover by L. Williams (bad pass; steal by J. Withey),,13-25,,
1:51.0,,,13-27,2,T. Burke makes 2-pt shot from 1 ft
1:39.0,Turnover by D. Russell (bad pass; steal by G. Hayward),,13-27,,
1:39.0,Personal foul by A. Brown (drawn by G. Hayward),,13-27,,
1:39.0,,,13-27,,R. Hood enters the game for G. Hayward
1:29.0,,,13-30,3,T. Burke makes 3-pt shot from 24 ft (assist by C. Johnson)
1:07.0,L. Williams misses 2-pt shot from 6 ft,,13-30,,
1:07.0,Offensive rebound by Team,,13-30,,
1:07.0,,,13-30,,J. Ingles enters the game for T. Lyles
1:07.0,,,13-30,,Personal foul by T. Burke (drawn by D. Russell)
0:55.0,A. Brown makes 3-pt shot from 25 ft (assist by J. Randle),3,16-30,,
0:30.0,,,16-30,,R. Hood misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by J. Randle,,16-30,,
0:10.0,Shooting foul by J. Withey (drawn by L. Williams),,16-30,,
0:10.0,L. Williams makes free throw 1 of 2,1,17-30,,
0:10.0,L. Williams makes free throw 2 of 2,1,18-30,,
0:06.0,Personal block foul by L. Williams,,18-30,,
0:06.0,,,18-31,1,R. Hood makes free throw 1 of 2
0:06.0,,,18-32,1,R. Hood makes free throw 2 of 2
0:01.0,D. Russell misses 3-pt shot from 24 ft,,18-32,,
0:00.0,,,18-32,,Defensive rebound by R. Hood
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,18-35,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Hood)
11:22.0,J. Clarkson misses 2-pt shot from 6 ft,,18-35,,
11:22.0,,,18-35,,Defensive rebound by J. Withey
11:13.0,,,18-35,,T. Burke misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by Team,,18-35,,
10:52.0,J. Clarkson makes 2-pt shot from 20 ft,2,20-35,,
10:39.0,,,20-35,,R. Gobert misses 2-pt shot from 3 ft
10:38.0,,,20-35,,Offensive rebound by R. Gobert
10:37.0,,,20-37,2,R. Gobert makes 2-pt shot from 1 ft
10:24.0,D. Russell misses 2-pt shot from 2 ft,,20-37,,
10:24.0,,,20-37,,Defensive rebound by R. Gobert
10:15.0,,,20-39,2,T. Burke makes 2-pt shot from 2 ft
9:52.0,A. Brown makes 3-pt shot from 25 ft (assist by D. Russell),3,23-39,,
9:35.0,,,23-42,3,J. Ingles makes 3-pt shot from 23 ft (assist by T. Burke)
9:19.0,Turnover by J. Clarkson (bad pass),,23-42,,
9:19.0,K. Bryant enters the game for A. Brown,,23-42,,
8:59.0,,,23-42,,T. Burke misses 2-pt shot from 21 ft
8:59.0,,,23-42,,Offensive rebound by J. Withey
8:56.0,,,23-42,,J. Withey misses 2-pt shot from 2 ft
8:54.0,,,23-42,,Offensive rebound by R. Gobert
8:51.0,,,23-44,2,R. Gobert makes 2-pt shot at rim
8:33.0,J. Clarkson misses 3-pt shot from 24 ft,,23-44,,
8:33.0,Offensive rebound by K. Bryant,,23-44,,
8:29.0,K. Bryant makes 2-pt shot from 16 ft,2,25-44,,
8:15.0,,,25-44,,R. Gobert misses 2-pt shot from 2 ft (block by J. Randle)
8:15.0,Defensive rebound by Team,,25-44,,
8:15.0,R. Kelly enters the game for J. Randle,,25-44,,
8:15.0,LA Lakers full timeout,,25-44,,
8:15.0,R. Hibbert enters the game for T. Black,,25-44,,
8:15.0,,,25-44,,T. Lyles enters the game for J. Withey
8:02.0,K. Bryant makes 2-pt shot from 11 ft (assist by R. Kelly),2,27-44,,
7:52.0,Personal foul by D. Russell (drawn by T. Burke),,27-44,,
7:36.0,,,27-44,,T. Lyles misses 2-pt shot from 18 ft
7:35.0,,,27-44,,Offensive rebound by R. Gobert
7:34.0,,,27-46,2,R. Gobert makes 2-pt shot from 3 ft
7:34.0,,,27-46,,Shooting foul by J. Clarkson (drawn by R. Gobert)
7:34.0,,,27-46,,R. Neto enters the game for T. Burke
7:34.0,,,27-47,1,R. Gobert makes free throw 1 of 1
7:28.0,,,27-47,,Personal foul by R. Neto (drawn by D. Russell)
7:28.0,,,27-47,,T. Pleiss enters the game for R. Gobert
7:28.0,,,27-47,,C. Johnson enters the game for J. Ingles
7:20.0,R. Kelly misses 2-pt shot from 17 ft,,27-47,,
7:19.0,,,27-47,,Defensive rebound by R. Hood
7:06.0,,,27-47,,T. Pleiss misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by R. Kelly,,27-47,,
6:59.0,K. Bryant misses 3-pt shot from 24 ft,,27-47,,
6:58.0,,,27-47,,Defensive rebound by T. Lyles
6:53.0,,,27-47,,Utah full timeout
6:41.0,,,27-47,,Turnover by T. Pleiss (lost ball; steal by R. Kelly)
6:36.0,R. Kelly makes 2-pt shot from 1 ft (assist by K. Bryant),2,29-47,,
6:22.0,,,29-50,3,R. Hood makes 3-pt shot from 24 ft (assist by T. Lyles)
6:05.0,J. Clarkson misses 2-pt shot from 6 ft,,29-50,,
6:03.0,Offensive rebound by R. Hibbert,,29-50,,
6:03.0,R. Hibbert misses 2-pt shot at rim,,29-50,,
6:03.0,Offensive rebound by R. Hibbert,,29-50,,
6:03.0,,,29-50,,Personal foul by T. Pleiss (drawn by R. Hibbert)
6:03.0,,,29-50,,R. Gobert enters the game for T. Pleiss
6:03.0,,,29-50,,G. Hayward enters the game for R. Hood
5:45.0,D. Russell misses 3-pt shot from 24 ft,,29-50,,
5:44.0,,,29-50,,Defensive rebound by R. Gobert
5:30.0,,,29-50,,G. Hayward misses 2-pt shot from 6 ft
5:29.0,Defensive rebound by R. Hibbert,,29-50,,
5:23.0,K. Bryant misses 3-pt shot from 24 ft,,29-50,,
5:23.0,,,29-50,,Defensive rebound by R. Gobert
5:12.0,,,29-50,,R. Neto misses 2-pt shot from 8 ft
5:11.0,Defensive rebound by R. Kelly,,29-50,,
4:54.0,D. Russell makes 2-pt shot from 11 ft,2,31-50,,
4:32.0,,,31-50,,Turnover by T. Lyles (step out of bounds)
4:32.0,L. Williams enters the game for D. Russell,,31-50,,
4:10.0,Turnover by J. Clarkson (lost ball; steal by R. Neto),,31-50,,
3:58.0,Personal foul by J. Clarkson (drawn by R. Neto),,31-50,,
3:49.0,,,31-50,,Shooting foul by R. Kelly (drawn by T. Lyles)
3:49.0,,,31-51,1,T. Lyles makes free throw 1 of 2
3:49.0,,,31-51,,T. Burke enters the game for R. Neto
3:49.0,,,31-51,,R. Hood enters the game for C. Johnson
3:49.0,,,31-52,1,T. Lyles makes free throw 2 of 2
3:38.0,K. Bryant misses 3-pt shot from 25 ft,,31-52,,
3:37.0,,,31-52,,Defensive rebound by R. Hood
3:30.0,,,31-52,,R. Hood misses 2-pt shot from 2 ft
3:29.0,,,31-52,,Offensive rebound by G. Hayward
3:29.0,,,31-54,2,G. Hayward makes 2-pt shot from 1 ft
3:10.0,R. Kelly misses 3-pt shot from 24 ft,,31-54,,
3:10.0,,,31-54,,Defensive rebound by R. Hood
2:49.0,,,31-54,,Shooting foul by R. Kelly (drawn by R. Gobert)
2:49.0,LA Lakers full timeout,,31-54,,
2:49.0,A. Brown enters the game for K. Bryant,,31-54,,
2:49.0,,,31-54,,R. Gobert misses free throw 1 of 2
2:49.0,,,31-54,,Offensive rebound by Team
2:49.0,,,31-55,1,R. Gobert makes free throw 2 of 2
2:35.0,Shooting foul by G. Hayward (drawn by L. Williams),,31-55,,
2:35.0,L. Williams misses free throw 1 of 2,,31-55,,
2:35.0,Offensive rebound by Team,,31-55,,
2:35.0,L. Williams makes free throw 2 of 2,1,32-55,,
2:35.0,,,32-55,,Turnover by Team (5 sec inbounds)
2:33.0,L. Williams misses 2-pt shot from 18 ft,,32-55,,
2:31.0,,,32-55,,Defensive rebound by G. Hayward
2:26.0,,,32-55,,G. Hayward misses 2-pt shot from 2 ft
2:22.0,,,32-55,,Offensive rebound by T. Lyles
2:22.0,,,32-57,2,T. Lyles makes 2-pt shot from 2 ft
2:03.0,R. Kelly misses 2-pt shot from 9 ft,,32-57,,
2:02.0,,,32-57,,Defensive rebound by R. Gobert
1:57.0,,,32-57,,Shooting foul by R. Hibbert (drawn by T. Lyles)
1:57.0,,,32-58,1,T. Lyles makes free throw 1 of 2
1:57.0,T. Black enters the game for R. Hibbert,,32-58,,
1:57.0,,,32-58,,T. Lyles misses free throw 2 of 2
1:56.0,Defensive rebound by R. Kelly,,32-58,,
1:46.0,T. Black misses 2-pt shot from 2 ft,,32-58,,
1:44.0,Offensive rebound by L. Williams,,32-58,,
1:41.0,L. Williams makes 2-pt shot from 1 ft,2,34-58,,
1:20.0,,,34-60,2,T. Burke makes 2-pt shot from 21 ft
0:56.0,A. Brown misses 2-pt shot from 2 ft,,34-60,,
0:54.0,,,34-60,,Defensive rebound by R. Gobert
0:38.0,,,34-60,,T. Burke misses 2-pt shot from 17 ft
0:38.0,Defensive rebound by A. Brown,,34-60,,
0:30.0,J. Clarkson misses 2-pt shot from 2 ft,,34-60,,
0:29.0,Offensive rebound by J. Clarkson,,34-60,,
0:29.0,J. Clarkson makes 2-pt shot from 2 ft,2,36-60,,
0:05.0,,,36-60,,G. Hayward misses 2-pt shot from 12 ft
0:04.0,Defensive rebound by R. Kelly,,36-60,,
0:02.0,R. Kelly misses 3-pt shot from 32 ft,,36-60,,
0:00.0,Offensive rebound by Team,,36-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,36-63,3,R. Hood makes 3-pt shot from 25 ft
11:09.0,J. Randle misses 2-pt shot from 3 ft,,36-63,,
11:09.0,,,36-63,,Defensive rebound by R. Gobert
10:58.0,,,36-65,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
10:42.0,R. Hibbert makes 2-pt shot from 7 ft,2,38-65,,
10:20.0,,,38-65,,T. Lyles misses 3-pt shot from 24 ft
10:19.0,,,38-65,,Offensive rebound by Team
10:13.0,,,38-68,3,G. Hayward makes 3-pt shot from 23 ft (assist by R. Neto)
10:00.0,J. Clarkson makes 2-pt shot from 2 ft,2,40-68,,
9:34.0,,,40-71,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles)
9:22.0,J. Clarkson misses 2-pt shot from 20 ft,,40-71,,
9:22.0,,,40-71,,Defensive rebound by T. Lyles
9:14.0,,,40-71,,Offensive foul by T. Lyles
9:14.0,,,40-71,,Turnover by T. Lyles (offensive foul)
8:57.0,R. Hibbert misses 2-pt shot from 11 ft,,40-71,,
8:56.0,,,40-71,,Defensive rebound by R. Gobert
8:45.0,,,40-73,2,T. Lyles makes 2-pt shot from 4 ft
8:31.0,J. Clarkson misses 2-pt shot from 3 ft (block by T. Lyles),,40-73,,
8:31.0,Offensive rebound by Team,,40-73,,
8:20.0,L. Williams misses 2-pt shot from 11 ft (block by R. Gobert),,40-73,,
8:19.0,Offensive rebound by L. Williams,,40-73,,
8:16.0,L. Williams misses 2-pt shot from 9 ft,,40-73,,
8:15.0,,,40-73,,Defensive rebound by R. Gobert
8:09.0,,,40-73,,R. Hood misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by A. Brown,,40-73,,
7:56.0,J. Randle misses 2-pt shot from 4 ft (block by R. Gobert),,40-73,,
7:55.0,,,40-73,,Defensive rebound by R. Hood
7:37.0,,,40-73,,Shooting foul by J. Randle (drawn by G. Hayward)
7:37.0,,,40-73,,G. Hayward misses free throw 1 of 2
7:37.0,,,40-73,,Offensive rebound by Team
7:37.0,,,40-73,,J. Withey enters the game for T. Lyles
7:37.0,,,40-74,1,G. Hayward makes free throw 2 of 2
7:29.0,Turnover by L. Williams (bad pass),,40-74,,
7:15.0,,,40-74,,Shooting foul by R. Hibbert (drawn by R. Gobert)
7:15.0,,,40-75,1,R. Gobert makes free throw 1 of 2
7:15.0,,,40-76,1,R. Gobert makes free throw 2 of 2
7:02.0,Turnover by L. Williams (bad pass; steal by G. Hayward),,40-76,,
6:55.0,,,40-76,,G. Hayward misses 2-pt shot from 4 ft
6:54.0,Defensive rebound by A. Brown,,40-76,,
6:42.0,Shooting foul by R. Neto (drawn by L. Williams),,40-76,,
6:42.0,L. Williams makes free throw 1 of 2,1,41-76,,
6:42.0,,,41-76,,T. Burke enters the game for R. Neto
6:42.0,L. Williams makes free throw 2 of 2,1,42-76,,
6:30.0,,,42-76,,R. Hood misses 2-pt shot from 17 ft
6:28.0,Defensive rebound by J. Randle,,42-76,,
6:15.0,J. Randle misses 2-pt shot from 1 ft,,42-76,,
6:15.0,Offensive rebound by J. Randle,,42-76,,
6:14.0,J. Randle makes 2-pt shot from 1 ft,2,44-76,,
6:14.0,,,44-76,,Utah full timeout
6:14.0,,,44-76,,C. Johnson enters the game for R. Hood
6:00.0,,,44-76,,Offensive foul by R. Gobert
6:00.0,,,44-76,,Turnover by R. Gobert (offensive foul)
5:47.0,L. Williams misses 2-pt shot from 18 ft,,44-76,,
5:46.0,Offensive rebound by J. Randle,,44-76,,
5:38.0,L. Williams makes 3-pt shot from 23 ft (assist by J. Clarkson),3,47-76,,
5:25.0,,,47-76,,J. Withey misses 2-pt shot at rim (block by R. Hibbert)
5:24.0,,,47-76,,Offensive rebound by J. Withey
5:22.0,,,47-78,2,J. Withey makes 2-pt shot from 2 ft
5:16.0,Shooting foul by C. Johnson (drawn by L. Williams),,47-78,,
5:16.0,L. Williams makes free throw 1 of 2,1,48-78,,
5:16.0,D. Russell enters the game for J. Clarkson,,48-78,,
5:16.0,L. Williams makes free throw 2 of 2,1,49-78,,
4:59.0,,,49-78,,T. Burke misses 2-pt shot from 17 ft
4:59.0,Defensive rebound by A. Brown,,49-78,,
4:43.0,R. Hibbert misses 2-pt shot from 5 ft,,49-78,,
4:43.0,,,49-78,,Defensive rebound by J. Withey
4:32.0,,,49-80,2,J. Withey makes 2-pt shot at rim (assist by T. Burke)
4:06.0,L. Williams makes 2-pt shot from 14 ft,2,51-80,,
3:52.0,,,51-80,,Turnover by G. Hayward (bad pass; steal by J. Randle)
3:47.0,Shooting foul by T. Burke (drawn by D. Russell),,51-80,,
3:47.0,D. Russell misses free throw 1 of 2,,51-80,,
3:47.0,Offensive rebound by Team,,51-80,,
3:47.0,,,51-80,,T. Lyles enters the game for R. Gobert
3:47.0,D. Russell misses free throw 2 of 2,,51-80,,
3:46.0,,,51-80,,Defensive rebound by T. Lyles
3:30.0,,,51-83,3,T. Lyles makes 3-pt shot from 22 ft (assist by G. Hayward)
3:17.0,D. Russell misses 2-pt shot from 3 ft,,51-83,,
3:16.0,,,51-83,,Defensive rebound by T. Lyles
3:08.0,,,51-85,2,T. Burke makes 2-pt shot from 3 ft
2:57.0,L. Williams misses 2-pt shot from 2 ft (block by J. Withey),,51-85,,
2:56.0,,,51-85,,Defensive rebound by C. Johnson
2:50.0,,,51-85,,G. Hayward misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by D. Russell,,51-85,,
2:43.0,L. Williams misses 2-pt shot from 2 ft,,51-85,,
2:42.0,,,51-85,,Defensive rebound by C. Johnson
2:35.0,Personal foul by J. Randle (drawn by T. Lyles),,51-85,,
2:35.0,LA Lakers full timeout,,51-85,,
2:35.0,,,51-85,,R. Hood enters the game for G. Hayward
2:22.0,,,51-85,,C. Johnson misses 2-pt shot from 1 ft (block by J. Randle)
2:21.0,Defensive rebound by A. Brown,,51-85,,
2:00.0,J. Randle misses 2-pt shot from 14 ft,,51-85,,
2:00.0,,,51-85,,Defensive rebound by J. Withey
1:39.0,,,51-85,,T. Burke misses 2-pt shot from 18 ft
1:38.0,Defensive rebound by J. Randle,,51-85,,
1:28.0,A. Brown makes 3-pt shot from 24 ft (assist by D. Russell),3,54-85,,
1:06.0,,,54-87,2,J. Withey makes 2-pt shot from 10 ft (assist by C. Johnson)
0:47.0,L. Williams makes 3-pt shot from 27 ft (assist by R. Hibbert),3,57-87,,
0:32.0,,,57-87,,C. Johnson misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by A. Brown,,57-87,,
0:19.0,J. Randle makes 2-pt shot from 3 ft (assist by D. Russell),2,59-87,,
0:02.0,,,59-89,2,T. Burke makes 2-pt shot from 19 ft
0:01.0,D. Russell misses 3-pt shot from 52 ft,,59-89,,
0:00.0,Offensive rebound by Team,,59-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,N. Young misses 3-pt shot from 24 ft,,59-89,,
11:46.0,,,59-89,,Defensive rebound by T. Burke
11:25.0,,,59-89,,J. Withey misses 2-pt shot from 11 ft
11:25.0,Defensive rebound by D. Russell,,59-89,,
11:18.0,D. Russell misses 2-pt shot from 7 ft,,59-89,,
11:17.0,,,59-89,,Defensive rebound by J. Withey
10:55.0,,,59-91,2,J. Ingles makes 2-pt shot from 16 ft
10:39.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,61-91,,
10:20.0,,,61-91,,T. Burke misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by N. Young,,61-91,,
10:14.0,Turnover by D. Russell (lost ball; steal by T. Burke),,61-91,,
10:01.0,,,61-91,,J. Withey misses 2-pt shot from 5 ft
10:00.0,Defensive rebound by T. Black,,61-91,,
9:59.0,,,61-91,,Personal foul by J. Ingles (drawn by M. Huertas)
9:59.0,,,61-91,,R. Neto enters the game for T. Lyles
9:50.0,D. Russell makes 3-pt shot from 24 ft (assist by M. Huertas),3,64-91,,
9:27.0,,,64-91,,J. Ingles misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by M. Huertas,,64-91,,
9:05.0,D. Russell makes 3-pt shot from 24 ft (assist by N. Young),3,67-91,,
9:03.0,,,67-91,,Utah full timeout
9:03.0,,,67-91,,R. Gobert enters the game for J. Withey
9:03.0,,,67-91,,G. Hayward enters the game for C. Johnson
8:44.0,,,67-91,,T. Burke misses 3-pt shot from 23 ft
8:44.0,,,67-91,,Offensive rebound by R. Gobert
8:33.0,,,67-93,2,R. Neto makes 2-pt shot from 2 ft
8:33.0,,,67-93,,Shooting foul by T. Black (drawn by R. Neto)
8:33.0,,,67-94,1,R. Neto makes free throw 1 of 1
8:26.0,M. Huertas misses 2-pt shot from 15 ft,,67-94,,
8:25.0,Offensive rebound by T. Black,,67-94,,
8:23.0,T. Black makes 2-pt shot from 4 ft,2,69-94,,
8:04.0,,,69-96,2,R. Gobert makes 2-pt shot from 1 ft
7:49.0,D. Russell makes 2-pt shot from 2 ft,2,71-96,,
7:27.0,,,71-98,2,G. Hayward makes 2-pt shot from 18 ft
7:15.0,R. Kelly misses 2-pt shot from 14 ft,,71-98,,
7:14.0,,,71-98,,Defensive rebound by R. Gobert
7:02.0,,,71-98,,J. Ingles misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by N. Young,,71-98,,
6:43.0,R. Kelly misses 3-pt shot from 23 ft,,71-98,,
6:41.0,Offensive rebound by T. Black,,71-98,,
6:39.0,Shooting foul by R. Gobert (drawn by T. Black),,71-98,,
6:39.0,T. Black misses free throw 1 of 2,,71-98,,
6:39.0,Offensive rebound by Team,,71-98,,
6:39.0,,,71-98,,R. Hood enters the game for T. Burke
6:39.0,T. Black misses free throw 2 of 2,,71-98,,
6:38.0,,,71-98,,Defensive rebound by G. Hayward
6:21.0,,,71-98,,J. Ingles misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by R. Kelly,,71-98,,
6:09.0,R. Kelly misses 2-pt shot from 2 ft (block by R. Gobert),,71-98,,
6:09.0,,,71-98,,Defensive rebound by Team
5:50.0,,,71-100,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
5:36.0,D. Russell misses 2-pt shot from 13 ft,,71-100,,
5:36.0,,,71-100,,Defensive rebound by R. Gobert
5:36.0,,,71-100,,Utah full timeout
5:36.0,,,71-100,,Utah full timeout
5:36.0,A. Brown enters the game for D. Russell,,71-100,,
5:36.0,,,71-100,,C. Johnson enters the game for G. Hayward
5:36.0,,,71-100,,T. Lyles enters the game for R. Gobert
5:36.0,,,71-100,,J. Withey enters the game for R. Hood
5:11.0,,,71-100,,T. Lyles misses 2-pt shot from 3 ft
5:10.0,,,71-100,,Offensive rebound by J. Withey
5:07.0,,,71-100,,J. Withey misses 2-pt shot from 1 ft
5:06.0,,,71-100,,Offensive rebound by T. Lyles
5:04.0,,,71-102,2,T. Lyles makes 2-pt shot from 1 ft
4:53.0,N. Young misses 2-pt shot from 18 ft,,71-102,,
4:52.0,,,71-102,,Defensive rebound by J. Ingles
4:30.0,,,71-102,,J. Withey misses 2-pt shot from 6 ft
4:29.0,Defensive rebound by M. Huertas,,71-102,,
4:27.0,,,71-102,,Personal foul by J. Ingles (drawn by M. Huertas)
4:27.0,,,71-102,,T. Pleiss enters the game for J. Withey
4:27.0,,,71-102,,J. O'Brien enters the game for T. Lyles
4:22.0,Shooting foul by J. O'Brien (drawn by R. Kelly),,71-102,,
4:22.0,R. Kelly makes free throw 1 of 2,1,72-102,,
4:22.0,R. Kelly misses free throw 2 of 2,,72-102,,
4:21.0,,,72-102,,Defensive rebound by J. Ingles
4:09.0,,,72-104,2,J. Ingles makes 2-pt shot from 1 ft
3:57.0,M. Huertas makes 2-pt shot from 2 ft,2,74-104,,
3:40.0,,,74-104,,Turnover by T. Pleiss (3 sec)
3:24.0,Turnover by M. Huertas (bad pass; steal by R. Neto),,74-104,,
3:11.0,,,74-104,,R. Neto misses 2-pt shot from 2 ft (block by R. Kelly)
3:10.0,Defensive rebound by M. Huertas,,74-104,,
3:04.0,M. Huertas misses 3-pt shot from 24 ft,,74-104,,
3:03.0,,,74-104,,Defensive rebound by J. O'Brien
2:52.0,,,74-107,3,R. Neto makes 3-pt shot from 24 ft
2:31.0,N. Young makes 2-pt shot from 20 ft,2,76-107,,
2:11.0,,,76-107,,T. Pleiss misses 2-pt shot from 4 ft
2:11.0,Defensive rebound by T. Black,,76-107,,
2:01.0,Turnover by N. Young (lost ball; steal by J. O'Brien),,76-107,,
1:57.0,,,76-107,,Turnover by C. Johnson (bad pass; steal by M. Huertas)
1:52.0,R. Kelly makes 2-pt shot from 16 ft (assist by M. Huertas),2,78-107,,
