time,Minnesota,pts.away,score,pts.home,Detroit
5:14.0,N. Bjelica misses 2-pt shot from 1 ft,,16-7,,
5:13.0,,,16-7,,Defensive rebound by A. Drummond
5:11.0,,,16-7,,Turnover by A. Drummond (bad pass; steal by T. Prince)
5:02.0,Minnesota full timeout,,16-7,,
4:58.0,,,16-7,,Personal foul by K. Caldwell-Pope (drawn by A. Wiggins)
4:43.0,R. Rubio misses 3-pt shot from 24 ft,,16-7,,
4:43.0,Offensive rebound by Team,,16-7,,
4:43.0,Turnover by Team (shot clock),,16-7,,
4:29.0,,,16-9,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:14.0,A. Wiggins misses 2-pt shot from 14 ft,,16-9,,
4:13.0,,,16-9,,Defensive rebound by M. Morris
4:05.0,,,16-9,,Shooting foul by K. Towns (drawn by A. Drummond)
4:05.0,,,16-9,,A. Drummond misses free throw 1 of 2
4:05.0,,,16-9,,Offensive rebound by Team
4:05.0,,,16-9,,S. Johnson enters the game for K. Caldwell-Pope
4:05.0,G. Dieng enters the game for K. Towns,,16-9,,
4:05.0,,,16-10,1,A. Drummond makes free throw 2 of 2
3:41.0,G. Dieng misses 2-pt shot from 6 ft,,16-10,,
3:40.0,,,16-10,,Defensive rebound by S. Johnson
3:31.0,,,16-13,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by R. Jackson)
3:10.0,Turnover by A. Wiggins (bad pass; steal by E. Ilyasova),,16-13,,
3:03.0,,,16-13,,E. Ilyasova misses 2-pt shot at rim
3:03.0,Defensive rebound by A. Wiggins,,16-13,,
3:01.0,Turnover by R. Rubio (lost ball; steal by M. Morris),,16-13,,
2:56.0,,,16-13,,M. Morris misses 2-pt shot from 5 ft
2:55.0,Defensive rebound by R. Rubio,,16-13,,
2:55.0,,,16-13,,Violation by A. Drummond (kicked ball)
2:55.0,S. Muhammad enters the game for A. Wiggins,,16-13,,
2:55.0,T. Jones enters the game for R. Rubio,,16-13,,
2:55.0,,,16-13,,B. Jennings enters the game for R. Jackson
2:42.0,S. Muhammad makes 2-pt shot from 7 ft,2,18-13,,
2:27.0,,,18-13,,Shooting foul by S. Muhammad (drawn by A. Drummond)
2:27.0,,,18-13,,A. Drummond misses free throw 1 of 2
2:27.0,,,18-13,,Offensive rebound by Team
2:27.0,,,18-13,,A. Drummond misses free throw 2 of 2
2:27.0,,,18-13,,Offensive rebound by Team
2:27.0,Loose ball foul by G. Dieng (drawn by M. Morris),,18-13,,
2:27.0,,,18-14,1,M. Morris makes free throw 1 of 2
2:27.0,,,18-15,1,M. Morris makes free throw 2 of 2
2:08.0,T. Prince misses 2-pt shot from 5 ft,,18-15,,
2:07.0,,,18-15,,Defensive rebound by A. Drummond
2:02.0,,,18-15,,Turnover by M. Morris (bad pass)
1:46.0,S. Muhammad makes 3-pt shot from 23 ft (assist by G. Dieng),3,21-15,,
1:29.0,,,21-15,,Offensive foul by E. Ilyasova
1:29.0,,,21-15,,Turnover by E. Ilyasova (offensive foul)
1:09.0,T. Prince misses 2-pt shot from 11 ft,,21-15,,
1:07.0,,,21-15,,Defensive rebound by B. Jennings
0:56.0,,,21-15,,Turnover by B. Jennings (lost ball)
0:45.0,Turnover by G. Dieng (traveling),,21-15,,
0:30.0,,,21-15,,M. Morris misses 3-pt shot from 22 ft
0:29.0,,,21-15,,Offensive rebound by S. Johnson
0:07.0,,,21-15,,B. Jennings misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by Team,,21-15,,
0:00.0,T. Jones misses 2-pt shot from 1 ft,,21-15,,
0:00.0,Offensive rebound by S. Muhammad,,21-15,,
0:00.0,Shooting foul by B. Jennings (drawn by S. Muhammad),,21-15,,
0:00.0,S. Muhammad makes free throw 1 of 2,1,22-15,,
0:00.0,S. Muhammad misses free throw 2 of 2,,22-15,,
0:00.0,,,22-15,,Defensive rebound by A. Drummond
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,N. Bjelica misses 3-pt shot from 26 ft,,22-15,,
11:44.0,,,22-15,,Defensive rebound by A. Baynes
11:23.0,,,22-15,,S. Johnson misses 2-pt shot from 12 ft
11:22.0,Defensive rebound by T. Jones,,22-15,,
11:08.0,Shooting foul by A. Baynes (drawn by S. Muhammad),,22-15,,
11:08.0,S. Muhammad makes free throw 1 of 2,1,23-15,,
11:08.0,S. Muhammad makes free throw 2 of 2,1,24-15,,
10:47.0,,,24-15,,B. Jennings misses 2-pt shot at rim
10:47.0,Defensive rebound by K. Towns,,24-15,,
10:41.0,T. Jones misses 2-pt shot from 14 ft,,24-15,,
10:41.0,,,24-15,,Defensive rebound by Team
10:25.0,,,24-18,3,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson)
10:10.0,Offensive charge foul by Z. LaVine,,24-18,,
10:10.0,Turnover by Z. LaVine (offensive foul),,24-18,,
9:48.0,,,24-18,,A. Tolliver misses 3-pt shot from 24 ft
9:47.0,,,24-18,,Offensive rebound by A. Baynes
9:44.0,,,24-20,2,A. Baynes makes 2-pt shot at rim
9:28.0,Z. LaVine misses 2-pt shot from 13 ft,,24-20,,
9:28.0,,,24-20,,Defensive rebound by A. Tolliver
9:22.0,,,24-23,3,B. Jennings makes 3-pt shot from 26 ft
9:01.0,T. Jones makes 2-pt shot at rim (assist by S. Muhammad),2,26-23,,
8:38.0,,,26-23,,S. Johnson misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by T. Jones,,26-23,,
8:27.0,K. Towns misses 2-pt shot from 14 ft,,26-23,,
8:26.0,,,26-23,,Defensive rebound by A. Tolliver
8:20.0,Personal foul by N. Bjelica (drawn by B. Jennings),,26-23,,
8:20.0,Official timeout,,26-23,,
8:17.0,Personal foul by Z. LaVine (drawn by K. Caldwell-Pope),,26-23,,
8:10.0,,,26-25,2,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by B. Jennings)
7:46.0,Turnover by K. Towns (3 sec),,26-25,,
7:32.0,,,26-25,,K. Caldwell-Pope misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by T. Jones,,26-25,,
7:20.0,N. Bjelica makes 2-pt shot at rim (assist by T. Jones),2,28-25,,
7:07.0,R. Rubio enters the game for T. Jones,,28-25,,
7:07.0,A. Wiggins enters the game for S. Muhammad,,28-25,,
6:59.0,,,28-28,3,A. Tolliver makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
6:39.0,Z. LaVine misses 2-pt shot from 15 ft,,28-28,,
6:37.0,,,28-28,,Defensive rebound by A. Tolliver
6:31.0,,,28-28,,Turnover by B. Jennings (lost ball)
6:11.0,K. Towns misses 2-pt shot from 3 ft,,28-28,,
6:10.0,Offensive rebound by K. Towns,,28-28,,
6:06.0,K. Towns misses 2-pt shot from 3 ft,,28-28,,
6:06.0,,,28-28,,Defensive rebound by A. Tolliver
5:56.0,Personal foul by N. Bjelica (drawn by A. Baynes),,28-28,,
5:56.0,,,28-28,,Detroit full timeout
5:56.0,,,28-28,,M. Morris enters the game for S. Johnson
5:56.0,D. Rudez enters the game for N. Bjelica,,28-28,,
5:41.0,,,28-28,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by K. Towns,,28-28,,
5:28.0,A. Wiggins misses 2-pt shot from 12 ft,,28-28,,
5:28.0,,,28-28,,Defensive rebound by A. Baynes
5:19.0,,,28-30,2,B. Jennings makes 2-pt shot at rim
5:00.0,K. Towns misses 2-pt shot from 18 ft,,28-30,,
5:00.0,,,28-30,,Defensive rebound by A. Tolliver
4:53.0,,,28-30,,B. Jennings misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by A. Wiggins,,28-30,,
4:32.0,R. Rubio misses 2-pt shot from 15 ft,,28-30,,
4:32.0,Offensive rebound by Team,,28-30,,
4:32.0,,,28-30,,R. Jackson enters the game for B. Jennings
4:32.0,,,28-30,,A. Drummond enters the game for A. Baynes
4:32.0,,,28-30,,E. Ilyasova enters the game for A. Tolliver
4:25.0,A. Wiggins misses 2-pt shot from 18 ft,,28-30,,
4:25.0,,,28-30,,Defensive rebound by A. Drummond
4:06.0,,,28-32,2,R. Jackson makes 2-pt shot from 18 ft (assist by A. Drummond)
3:52.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,30-32,,
3:40.0,,,30-32,,Shooting foul by D. Rudez (drawn by M. Morris)
3:40.0,,,30-33,1,M. Morris makes free throw 1 of 2
3:40.0,T. Prince enters the game for Z. LaVine,,30-33,,
3:40.0,,,30-34,1,M. Morris makes free throw 2 of 2
3:25.0,K. Towns makes 2-pt shot from 12 ft (assist by D. Rudez),2,32-34,,
3:13.0,,,32-37,3,R. Jackson makes 3-pt shot from 25 ft
2:56.0,R. Rubio makes 2-pt shot from 1 ft,2,34-37,,
2:41.0,,,34-37,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:40.0,,,34-37,,Offensive rebound by A. Drummond
2:36.0,,,34-39,2,A. Drummond makes 2-pt shot from 1 ft
2:22.0,R. Rubio misses 2-pt shot from 5 ft,,34-39,,
2:21.0,,,34-39,,Defensive rebound by E. Ilyasova
2:11.0,,,34-39,,K. Caldwell-Pope misses 3-pt shot from 22 ft
2:11.0,Defensive rebound by K. Towns,,34-39,,
2:00.0,D. Rudez misses 3-pt shot from 23 ft,,34-39,,
1:59.0,,,34-39,,Defensive rebound by A. Drummond
1:58.0,,,34-39,,Turnover by A. Drummond (bad pass; steal by A. Wiggins)
1:57.0,Minnesota full timeout,,34-39,,
1:44.0,K. Towns misses 2-pt shot from 19 ft,,34-39,,
1:43.0,,,34-39,,Defensive rebound by E. Ilyasova
1:40.0,,,34-41,2,A. Drummond makes 2-pt shot from 6 ft
1:40.0,,,34-41,,Shooting foul by D. Rudez (drawn by A. Drummond)
1:40.0,,,34-41,,A. Drummond misses free throw 1 of 1
1:39.0,Defensive rebound by K. Towns,,34-41,,
1:27.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,36-41,,
1:04.0,,,36-41,,A. Drummond misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by R. Rubio,,36-41,,
0:58.0,D. Rudez misses 2-pt shot at rim (block by E. Ilyasova),,36-41,,
0:56.0,,,36-41,,Defensive rebound by K. Caldwell-Pope
0:53.0,,,36-43,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
0:41.0,,,36-43,,Def 3 sec tech foul by A. Drummond
0:41.0,R. Rubio makes technical free throw,1,37-43,,
0:30.0,R. Rubio misses 2-pt shot at rim,,37-43,,
0:28.0,,,37-43,,Defensive rebound by M. Morris
0:21.0,,,37-43,,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by K. Towns)
0:19.0,,,37-43,,Offensive rebound by K. Caldwell-Pope
0:19.0,,,37-43,,K. Caldwell-Pope misses 2-pt shot from 5 ft
0:19.0,,,37-43,,Offensive rebound by Team
0:09.0,,,37-43,,Shooting foul by T. Prince (drawn by M. Morris)
0:09.0,,,37-44,1,M. Morris makes free throw 1 of 2
0:09.0,,,37-45,1,M. Morris makes free throw 2 of 2
0:02.0,R. Rubio misses 2-pt shot from 15 ft,,37-45,,
0:01.0,,,37-45,,Defensive rebound by E. Ilyasova
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Wiggins misses 2-pt shot from 15 ft,,37-45,,
11:45.0,Offensive rebound by Team,,37-45,,
11:42.0,K. Towns misses 3-pt shot from 25 ft,,37-45,,
11:41.0,Offensive rebound by G. Dieng,,37-45,,
11:38.0,G. Dieng misses 2-pt shot from 3 ft (block by E. Ilyasova),,37-45,,
11:38.0,,,37-45,,Defensive rebound by Team
11:38.0,Loose ball foul by G. Dieng (drawn by M. Morris),,37-45,,
11:27.0,,,37-45,,Turnover by R. Jackson (bad pass; steal by T. Prince)
11:18.0,R. Rubio misses 2-pt shot from 17 ft,,37-45,,
11:18.0,Offensive rebound by R. Rubio,,37-45,,
11:12.0,G. Dieng makes 2-pt shot from 16 ft (assist by R. Rubio),2,39-45,,
11:12.0,,,39-45,,Detroit full timeout
10:53.0,,,39-47,2,K. Caldwell-Pope makes 2-pt shot from 16 ft
10:30.0,A. Wiggins makes 2-pt shot from 17 ft (assist by K. Towns),2,41-47,,
10:19.0,,,41-50,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson)
9:57.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,43-50,,
9:40.0,,,43-52,2,R. Jackson makes 2-pt shot from 12 ft
9:25.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,45-52,,
9:12.0,,,45-52,,Turnover by A. Drummond (3 sec)
8:59.0,Offensive foul by K. Towns,,45-52,,
8:59.0,Turnover by K. Towns (offensive foul),,45-52,,
8:48.0,,,45-52,,R. Jackson misses 2-pt shot at rim
8:47.0,,,45-52,,Offensive rebound by A. Drummond
8:45.0,,,45-54,2,A. Drummond makes 2-pt shot at rim
8:30.0,A. Wiggins makes 2-pt shot from 13 ft,2,47-54,,
8:18.0,,,47-56,2,R. Jackson makes 2-pt shot at rim
8:01.0,,,47-56,,Personal foul by A. Drummond (drawn by G. Dieng)
7:57.0,A. Wiggins misses 3-pt shot from 24 ft,,47-56,,
7:57.0,,,47-56,,Defensive rebound by A. Drummond
7:46.0,,,47-58,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:46.0,Minnesota full timeout,,47-58,,
7:46.0,N. Bjelica enters the game for G. Dieng,,47-58,,
7:27.0,Shooting foul by R. Jackson (drawn by A. Wiggins),,47-58,,
7:27.0,A. Wiggins makes free throw 1 of 2,1,48-58,,
7:27.0,S. Muhammad enters the game for T. Prince,,48-58,,
7:27.0,A. Wiggins makes free throw 2 of 2,1,49-58,,
7:15.0,,,49-58,,Shooting foul by N. Bjelica (drawn by E. Ilyasova)
7:15.0,,,49-58,,E. Ilyasova misses free throw 1 of 2
7:15.0,,,49-58,,Offensive rebound by Team
7:15.0,,,49-59,1,E. Ilyasova makes free throw 2 of 2
7:02.0,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio),2,51-59,,
6:47.0,,,51-59,,R. Jackson misses 2-pt shot from 15 ft
6:47.0,Defensive rebound by K. Towns,,51-59,,
6:41.0,Turnover by R. Rubio (bad pass; steal by K. Caldwell-Pope),,51-59,,
6:36.0,,,51-61,2,K. Caldwell-Pope makes 2-pt shot at rim
6:20.0,N. Bjelica misses 2-pt shot at rim,,51-61,,
6:19.0,,,51-61,,Defensive rebound by A. Drummond
6:10.0,,,51-63,2,A. Drummond makes 2-pt shot from 5 ft (assist by M. Morris)
5:46.0,K. Towns makes 2-pt shot from 13 ft (assist by A. Wiggins),2,53-63,,
5:29.0,,,53-63,,M. Morris misses 3-pt shot from 26 ft
5:28.0,,,53-63,,Offensive rebound by A. Drummond
5:24.0,,,53-65,2,A. Drummond makes 2-pt shot at rim
5:13.0,Shooting foul by E. Ilyasova (drawn by R. Rubio),,53-65,,
5:13.0,R. Rubio makes free throw 1 of 2,1,54-65,,
5:13.0,R. Rubio makes free throw 2 of 2,1,55-65,,
5:00.0,,,55-68,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
4:41.0,A. Wiggins misses 2-pt shot from 2 ft,,55-68,,
4:40.0,Offensive rebound by K. Towns,,55-68,,
4:37.0,K. Towns makes 2-pt shot from 1 ft,2,57-68,,
4:28.0,,,57-68,,Shooting foul by S. Muhammad (drawn by K. Caldwell-Pope)
4:28.0,,,57-69,1,K. Caldwell-Pope makes free throw 1 of 3
4:28.0,,,57-70,1,K. Caldwell-Pope makes free throw 2 of 3
4:28.0,Z. LaVine enters the game for R. Rubio,,57-70,,
4:28.0,,,57-71,1,K. Caldwell-Pope makes free throw 3 of 3
4:14.0,A. Wiggins misses 2-pt shot from 1 ft,,57-71,,
4:13.0,,,57-71,,Defensive rebound by E. Ilyasova
4:06.0,,,57-71,,Turnover by R. Jackson (bad pass; steal by S. Muhammad)
4:00.0,S. Muhammad makes 2-pt shot from 5 ft,2,59-71,,
3:40.0,,,59-71,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by Z. LaVine,,59-71,,
3:31.0,Shooting foul by K. Caldwell-Pope (drawn by S. Muhammad),,59-71,,
3:31.0,S. Muhammad misses free throw 1 of 2,,59-71,,
3:31.0,Offensive rebound by Team,,59-71,,
3:31.0,G. Dieng enters the game for K. Towns,,59-71,,
3:31.0,,,59-71,,S. Johnson enters the game for K. Caldwell-Pope
3:31.0,S. Muhammad makes free throw 2 of 2,1,60-71,,
3:19.0,,,60-71,,R. Jackson misses 2-pt shot from 2 ft (block by G. Dieng)
3:18.0,,,60-71,,Offensive rebound by R. Jackson
3:13.0,,,60-74,3,R. Jackson makes 3-pt shot from 24 ft (assist by S. Johnson)
2:49.0,S. Muhammad makes 2-pt shot from 6 ft,2,62-74,,
2:38.0,Personal foul by N. Bjelica (drawn by E. Ilyasova),,62-74,,
2:38.0,,,62-74,,B. Jennings enters the game for R. Jackson
2:30.0,,,62-76,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
2:11.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,64-76,,
2:06.0,Personal take foul by A. Wiggins (drawn by A. Drummond),,64-76,,
2:06.0,,,64-76,,A. Drummond misses free throw 1 of 2
2:06.0,,,64-76,,Offensive rebound by Team
2:06.0,,,64-76,,A. Drummond misses free throw 2 of 2
2:04.0,Defensive rebound by Z. LaVine,,64-76,,
1:56.0,Shooting foul by E. Ilyasova (drawn by Z. LaVine),,64-76,,
1:56.0,Z. LaVine misses free throw 1 of 2,,64-76,,
1:56.0,Offensive rebound by Team,,64-76,,
1:56.0,,,64-76,,A. Baynes enters the game for A. Drummond
1:56.0,Z. LaVine makes free throw 2 of 2,1,65-76,,
1:38.0,,,65-76,,A. Baynes misses 2-pt shot from 5 ft (block by G. Dieng)
1:34.0,Defensive rebound by Z. LaVine,,65-76,,
1:31.0,Z. LaVine makes 2-pt shot at rim,2,67-76,,
1:15.0,,,67-76,,A. Baynes misses 2-pt shot from 4 ft
1:13.0,Defensive rebound by N. Bjelica,,67-76,,
1:07.0,Z. LaVine misses 2-pt shot at rim,,67-76,,
1:06.0,,,67-76,,Defensive rebound by A. Baynes
1:00.0,,,67-78,2,S. Johnson makes 2-pt shot from 7 ft
0:47.0,A. Wiggins makes 2-pt shot from 11 ft (assist by Z. LaVine),2,69-78,,
0:26.0,,,69-78,,S. Johnson misses 2-pt shot from 17 ft
0:26.0,Defensive rebound by Z. LaVine,,69-78,,
0:03.0,Shooting foul by A. Baynes (drawn by Z. LaVine),,69-78,,
0:03.0,,,69-78,,Violation by Team (delay of game)
0:03.0,Z. LaVine misses free throw 1 of 2,,69-78,,
0:03.0,Offensive rebound by Team,,69-78,,
0:03.0,Z. LaVine makes free throw 2 of 2,1,70-78,,
0:02.0,,,70-78,,B. Jennings misses 3-pt shot from 41 ft
0:00.0,,,70-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,70-81,3,A. Tolliver makes 3-pt shot from 25 ft (assist by B. Jennings)
11:22.0,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng),2,72-81,,
11:01.0,,,72-83,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings)
11:01.0,,,72-83,,Shooting foul by Z. LaVine (drawn by K. Caldwell-Pope)
11:01.0,,,72-84,1,K. Caldwell-Pope makes free throw 1 of 1
10:42.0,Z. LaVine misses 2-pt shot from 15 ft,,72-84,,
10:40.0,,,72-84,,Defensive rebound by K. Caldwell-Pope
10:30.0,,,72-87,3,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson)
9:57.0,A. Wiggins misses 3-pt shot from 25 ft,,72-87,,
9:56.0,,,72-87,,Defensive rebound by B. Jennings
9:53.0,,,72-87,,Turnover by B. Jennings (bad pass; steal by A. Wiggins)
9:47.0,Shooting foul by A. Baynes (drawn by K. Towns),,72-87,,
9:47.0,K. Towns makes free throw 1 of 2,1,73-87,,
9:47.0,T. Prince enters the game for S. Muhammad,,73-87,,
9:47.0,K. Towns makes free throw 2 of 2,1,74-87,,
9:33.0,,,74-90,3,S. Johnson makes 3-pt shot from 25 ft (assist by A. Tolliver)
9:23.0,Minnesota full timeout,,74-90,,
9:23.0,R. Rubio enters the game for G. Dieng,,74-90,,
9:09.0,Z. LaVine misses 3-pt shot from 25 ft,,74-90,,
9:08.0,,,74-90,,Defensive rebound by S. Johnson
8:55.0,,,74-90,,Turnover by A. Baynes (bad pass; steal by A. Wiggins)
8:54.0,Z. LaVine misses 2-pt shot from 2 ft,,74-90,,
8:53.0,,,74-90,,Defensive rebound by B. Jennings
8:47.0,,,74-90,,S. Johnson misses 2-pt shot from 3 ft
8:46.0,,,74-90,,Offensive rebound by A. Baynes
8:45.0,,,74-90,,A. Baynes misses 2-pt shot at rim
8:44.0,Defensive rebound by K. Towns,,74-90,,
8:26.0,Turnover by A. Wiggins (bad pass; steal by K. Caldwell-Pope),,74-90,,
8:21.0,,,74-90,,K. Caldwell-Pope misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by Team,,74-90,,
8:08.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,76-90,,
8:08.0,Shooting foul by S. Johnson (drawn by A. Wiggins),,76-90,,
8:08.0,A. Wiggins makes free throw 1 of 1,1,77-90,,
7:52.0,,,77-90,,S. Johnson misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by R. Rubio,,77-90,,
7:37.0,R. Rubio makes 2-pt shot at rim,2,79-90,,
7:31.0,,,79-90,,Detroit full timeout
7:31.0,,,79-90,,A. Drummond enters the game for S. Johnson
7:31.0,,,79-90,,R. Jackson enters the game for B. Jennings
7:31.0,,,79-90,,M. Morris enters the game for A. Baynes
7:20.0,,,79-93,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
6:56.0,T. Prince misses 2-pt shot from 19 ft,,79-93,,
6:56.0,,,79-93,,Defensive rebound by A. Drummond
6:46.0,,,79-96,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson)
6:29.0,R. Rubio misses 2-pt shot from 7 ft,,79-96,,
6:27.0,,,79-96,,Defensive rebound by R. Jackson
6:22.0,,,79-98,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:08.0,A. Wiggins misses 2-pt shot from 14 ft,,79-98,,
6:07.0,,,79-98,,Defensive rebound by R. Jackson
6:00.0,,,79-100,2,K. Caldwell-Pope makes 2-pt shot from 4 ft (assist by R. Jackson)
6:00.0,,,79-100,,Shooting foul by A. Wiggins (drawn by K. Caldwell-Pope)
6:00.0,,,79-101,1,K. Caldwell-Pope makes free throw 1 of 1
5:52.0,Turnover by R. Rubio (bad pass; steal by A. Tolliver),,79-101,,
5:50.0,,,79-101,,Turnover by R. Jackson (bad pass; steal by R. Rubio)
5:28.0,K. Towns misses 2-pt shot at rim,,79-101,,
5:27.0,,,79-101,,Defensive rebound by K. Caldwell-Pope
5:21.0,,,79-104,3,A. Tolliver makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
5:21.0,Minnesota full timeout,,79-104,,
5:21.0,T. Jones enters the game for T. Prince,,79-104,,
5:21.0,G. Dieng enters the game for K. Towns,,79-104,,
5:21.0,S. Muhammad enters the game for A. Wiggins,,79-104,,
5:21.0,N. Bjelica enters the game for R. Rubio,,79-104,,
5:11.0,Turnover by G. Dieng (traveling),,79-104,,
4:55.0,,,79-104,,A. Tolliver misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by T. Jones,,79-104,,
4:47.0,,,79-104,,Personal foul by R. Jackson (drawn by T. Jones)
4:41.0,Z. LaVine misses 2-pt shot from 16 ft,,79-104,,
4:40.0,Offensive rebound by Team,,79-104,,
