time,Dallas,pts.away,score,pts.home,Sacramento
1:16.0,,,25-23,,Shooting foul by D. Nowitzki (drawn by O. Casspi)
1:16.0,,,25-23,,O. Casspi misses free throw 1 of 1
1:15.0,Defensive rebound by J. McGee,,25-23,,
0:58.0,D. Harris makes 2-pt shot from 8 ft,2,27-23,,
0:42.0,,,27-23,,K. Koufos misses 2-pt shot from 10 ft
0:41.0,,,27-23,,Offensive rebound by K. Koufos
0:40.0,,,27-23,,K. Koufos misses 2-pt shot from 6 ft
0:39.0,,,27-23,,Offensive rebound by D. Collison
0:33.0,,,27-23,,R. Rondo misses 3-pt shot from 23 ft
0:32.0,Defensive rebound by D. Nowitzki,,27-23,,
0:27.0,,,27-23,,Personal foul by O. Casspi (drawn by D. Harris)
0:27.0,D. Harris makes free throw 1 of 2,1,28-23,,
0:27.0,D. Powell enters the game for D. Nowitzki,,28-23,,
0:27.0,D. Harris makes free throw 2 of 2,1,29-23,,
0:07.0,,,29-23,,Turnover by O. Casspi (bad pass; steal by R. Felton)
0:02.0,C. Parsons makes 3-pt shot from 24 ft (assist by R. Felton),3,32-23,,
0:00.0,,,32-23,,D. Collison misses 3-pt shot from 48 ft
0:00.0,,,32-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-23,,Turnover by M. Belinelli (bad pass; steal by R. Felton)
11:43.0,C. Parsons makes 2-pt shot from 1 ft (assist by R. Felton),2,34-23,,
11:28.0,,,34-23,,R. Gay misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by R. Felton,,34-23,,
11:12.0,J. McGee makes 2-pt shot at rim (assist by C. Parsons),2,36-23,,
10:58.0,Personal foul by C. Parsons (drawn by D. Collison),,36-23,,
10:58.0,,,36-24,1,D. Collison makes free throw 1 of 2
10:58.0,,,36-25,1,D. Collison makes free throw 2 of 2
10:45.0,J. McGee misses 2-pt shot from 2 ft,,36-25,,
10:44.0,,,36-25,,Defensive rebound by K. Koufos
10:38.0,,,36-25,,Shooting foul by D. Harris (drawn by D. Collison)
10:38.0,,,36-26,1,D. Collison makes free throw 1 of 2
10:38.0,,,36-26,,S. Curry enters the game for M. Belinelli
10:38.0,,,36-27,1,D. Collison makes free throw 2 of 2
10:25.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by R. Felton),2,38-27,,
10:17.0,,,38-27,,O. Casspi misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by Team,,38-27,,
9:49.0,R. Felton makes 3-pt shot from 23 ft (assist by C. Parsons),3,41-27,,
9:34.0,,,41-27,,D. Collison misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by D. Nowitzki,,41-27,,
9:24.0,R. Felton misses 2-pt shot from 6 ft,,41-27,,
9:24.0,,,41-27,,Defensive rebound by O. Casspi
9:15.0,,,41-27,,O. Casspi misses 2-pt shot from 5 ft
9:14.0,,,41-27,,Offensive rebound by K. Koufos
9:09.0,,,41-30,3,S. Curry makes 3-pt shot from 24 ft (assist by K. Koufos)
8:52.0,J. McGee misses 2-pt shot from 7 ft,,41-30,,
8:52.0,,,41-30,,Defensive rebound by O. Casspi
8:38.0,,,41-32,2,R. Gay makes 2-pt shot from 14 ft
8:38.0,Dallas full timeout,,41-32,,
8:38.0,,,41-32,,D. Cousins enters the game for K. Koufos
8:38.0,C. Villanueva enters the game for C. Parsons,,41-32,,
8:38.0,W. Matthews enters the game for D. Nowitzki,,41-32,,
8:25.0,Turnover by R. Felton (bad pass; steal by O. Casspi),,41-32,,
8:20.0,,,41-34,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
8:00.0,D. Harris makes 3-pt shot from 23 ft (assist by R. Felton),3,44-34,,
7:44.0,Personal foul by J. McGee (drawn by D. Cousins),,44-34,,
7:44.0,Z. Pachulia enters the game for J. McGee,,44-34,,
7:30.0,,,44-34,,Turnover by Team (shot clock)
7:18.0,Turnover by R. Felton (traveling),,44-34,,
7:12.0,,,44-36,2,D. Collison makes 2-pt shot from 2 ft
7:07.0,Dallas full timeout,,44-36,,
7:07.0,D. Williams enters the game for R. Felton,,44-36,,
6:53.0,C. Villanueva makes 2-pt shot from 5 ft,2,46-36,,
6:43.0,,,46-38,2,D. Cousins makes 2-pt shot from 3 ft
6:25.0,C. Villanueva misses 3-pt shot from 23 ft,,46-38,,
6:25.0,,,46-38,,Defensive rebound by R. Gay
6:09.0,,,46-38,,D. Cousins misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by C. Villanueva,,46-38,,
5:57.0,D. Williams misses 2-pt shot from 16 ft,,46-38,,
5:57.0,,,46-38,,Defensive rebound by D. Cousins
5:40.0,,,46-40,2,R. Gay makes 2-pt shot from 10 ft
5:24.0,D. Williams misses 3-pt shot from 25 ft,,46-40,,
5:24.0,,,46-40,,Defensive rebound by D. Cousins
5:12.0,,,46-42,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
4:56.0,W. Matthews makes 2-pt shot from 9 ft (assist by D. Harris),2,48-42,,
4:36.0,,,48-44,2,D. Cousins makes 2-pt shot from 3 ft (assist by S. Curry)
4:19.0,W. Matthews misses 3-pt shot from 24 ft,,48-44,,
4:18.0,,,48-44,,Defensive rebound by S. Curry
4:06.0,,,48-44,,Turnover by D. Collison (bad pass; steal by D. Harris)
4:00.0,W. Matthews misses 3-pt shot from 25 ft,,48-44,,
4:00.0,,,48-44,,Defensive rebound by Team
4:00.0,Official timeout,,48-44,,
4:00.0,Loose ball foul by Z. Pachulia (drawn by D. Cousins),,48-44,,
4:00.0,C. Parsons enters the game for D. Harris,,48-44,,
4:00.0,D. Nowitzki enters the game for C. Villanueva,,48-44,,
4:00.0,,,48-44,,R. Rondo enters the game for O. Casspi
3:43.0,,,48-47,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Cousins)
3:25.0,Shooting foul by R. Gay (drawn by Z. Pachulia),,48-47,,
3:25.0,Z. Pachulia makes free throw 1 of 2,1,49-47,,
3:25.0,Z. Pachulia makes free throw 2 of 2,1,50-47,,
3:00.0,,,50-47,,D. Collison misses 3-pt shot from 24 ft
2:59.0,,,50-47,,Offensive rebound by Team
2:59.0,,,50-47,,Sacramento full timeout
2:55.0,,,50-47,,Shooting foul by C. Parsons (drawn by S. Curry)
2:55.0,,,50-48,1,S. Curry makes free throw 1 of 2
2:55.0,,,50-49,1,S. Curry makes free throw 2 of 2
2:46.0,Turnover by C. Parsons (traveling),,50-49,,
2:44.0,Personal take foul by D. Williams (drawn by R. Rondo),,50-49,,
2:44.0,,,50-49,,R. Rondo misses free throw 1 of 2
2:44.0,,,50-49,,Offensive rebound by Team
2:44.0,,,50-49,,R. Rondo misses free throw 2 of 2
2:43.0,Defensive rebound by D. Nowitzki,,50-49,,
2:25.0,D. Nowitzki makes 2-pt shot from 12 ft,2,52-49,,
2:07.0,,,52-49,,Turnover by R. Gay (lost ball; steal by W. Matthews)
2:02.0,,,52-49,,Personal foul by S. Curry (drawn by C. Parsons)
2:02.0,,,52-49,,O. Casspi enters the game for R. Gay
2:02.0,,,52-49,,K. Koufos enters the game for D. Collison
1:49.0,D. Nowitzki misses 2-pt shot from 16 ft,,52-49,,
1:49.0,,,52-49,,Defensive rebound by R. Rondo
1:48.0,Personal take foul by W. Matthews (drawn by R. Rondo),,52-49,,
1:48.0,,,52-49,,R. Rondo misses free throw 1 of 2
1:48.0,,,52-49,,Offensive rebound by Team
1:48.0,,,52-50,1,R. Rondo makes free throw 2 of 2
1:36.0,,,52-50,,Personal foul by O. Casspi (drawn by C. Parsons)
1:28.0,W. Matthews misses 2-pt shot from 3 ft,,52-50,,
1:27.0,Offensive rebound by Z. Pachulia,,52-50,,
1:23.0,D. Nowitzki misses 3-pt shot from 25 ft,,52-50,,
1:23.0,Offensive rebound by W. Matthews,,52-50,,
1:16.0,D. Nowitzki misses 2-pt shot from 16 ft,,52-50,,
1:13.0,,,52-50,,Defensive rebound by K. Koufos
1:09.0,,,52-50,,Turnover by D. Cousins (lost ball; steal by D. Williams)
0:59.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,55-50,,
0:45.0,,,55-53,3,O. Casspi makes 3-pt shot from 25 ft (assist by R. Rondo)
0:37.0,Shooting foul by K. Koufos (drawn by Z. Pachulia),,55-53,,
0:37.0,Z. Pachulia misses free throw 1 of 2,,55-53,,
0:37.0,Offensive rebound by Team,,55-53,,
0:37.0,,,55-53,,R. Gay enters the game for K. Koufos
0:37.0,R. Felton enters the game for D. Nowitzki,,55-53,,
0:37.0,Z. Pachulia makes free throw 2 of 2,1,56-53,,
0:36.0,Personal take foul by R. Felton (drawn by R. Rondo),,56-53,,
0:36.0,,,56-53,,R. Rondo misses free throw 1 of 2
0:36.0,,,56-53,,Offensive rebound by Team
0:36.0,D. Nowitzki enters the game for C. Parsons,,56-53,,
0:36.0,,,56-53,,B. McLemore enters the game for O. Casspi
0:36.0,,,56-54,1,R. Rondo makes free throw 2 of 2
0:20.0,D. Nowitzki misses 2-pt shot from 19 ft,,56-54,,
0:19.0,Offensive rebound by Z. Pachulia,,56-54,,
0:19.0,Z. Pachulia makes 2-pt shot from 2 ft,2,58-54,,
0:02.0,,,58-54,,R. Rondo misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by Z. Pachulia,,58-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,58-54,,B. McLemore misses 2-pt shot from 9 ft
11:35.0,Defensive rebound by W. Matthews,,58-54,,
11:17.0,W. Matthews misses 3-pt shot from 25 ft,,58-54,,
11:16.0,Offensive rebound by Z. Pachulia,,58-54,,
11:10.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by C. Parsons),2,60-54,,
10:49.0,,,60-54,,D. Cousins misses 2-pt shot from 8 ft
10:49.0,Defensive rebound by Z. Pachulia,,60-54,,
10:37.0,Turnover by Z. Pachulia (traveling),,60-54,,
10:27.0,,,60-54,,R. Rondo misses 2-pt shot from 2 ft (block by D. Nowitzki)
10:26.0,Defensive rebound by D. Nowitzki,,60-54,,
10:10.0,C. Parsons misses 3-pt shot from 24 ft,,60-54,,
10:09.0,,,60-54,,Defensive rebound by R. Gay
9:50.0,,,60-57,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins)
9:36.0,Turnover by C. Parsons (bad pass),,60-57,,
9:32.0,,,60-57,,Offensive foul by W. Cauley-Stein
9:32.0,,,60-57,,Turnover by W. Cauley-Stein (offensive foul)
9:10.0,W. Matthews misses 3-pt shot from 25 ft,,60-57,,
9:09.0,,,60-57,,Defensive rebound by D. Cousins
9:04.0,,,60-57,,R. Gay misses 2-pt shot at rim
9:02.0,,,60-57,,Offensive rebound by W. Cauley-Stein
8:58.0,Personal foul by D. Nowitzki (drawn by W. Cauley-Stein),,60-57,,
8:58.0,,,60-57,,W. Cauley-Stein misses free throw 1 of 2
8:58.0,,,60-57,,Offensive rebound by Team
8:58.0,,,60-58,1,W. Cauley-Stein makes free throw 2 of 2
8:42.0,Z. Pachulia misses 2-pt shot from 5 ft,,60-58,,
8:42.0,,,60-58,,Defensive rebound by W. Cauley-Stein
8:31.0,,,60-58,,D. Cousins misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by D. Williams,,60-58,,
8:10.0,D. Williams misses 3-pt shot from 24 ft,,60-58,,
8:09.0,,,60-58,,Defensive rebound by R. Gay
7:59.0,,,60-58,,Shooting foul by Z. Pachulia (drawn by D. Cousins)
7:59.0,,,60-59,1,D. Cousins makes free throw 1 of 2
7:59.0,R. Felton enters the game for C. Parsons,,60-59,,
7:59.0,,,60-60,1,D. Cousins makes free throw 2 of 2
7:41.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by W. Matthews),2,62-60,,
7:33.0,,,62-62,2,R. Rondo makes 2-pt shot from 17 ft
7:20.0,D. Nowitzki misses 2-pt shot from 15 ft,,62-62,,
7:19.0,,,62-62,,Defensive rebound by B. McLemore
7:07.0,,,62-62,,Shooting foul by R. Felton (drawn by R. Gay)
7:07.0,,,62-63,1,R. Gay makes free throw 1 of 2
7:07.0,,,62-64,1,R. Gay makes free throw 2 of 2
6:57.0,Turnover by D. Williams (lost ball),,62-64,,
6:44.0,,,62-64,,R. Gay misses 2-pt shot from 15 ft
6:43.0,,,62-64,,Offensive rebound by R. Gay
6:43.0,,,62-64,,Shooting foul by W. Matthews (drawn by R. Gay)
6:43.0,,,62-65,1,R. Gay makes free throw 1 of 2
6:43.0,,,62-65,,O. Casspi enters the game for W. Cauley-Stein
6:43.0,J. McGee enters the game for Z. Pachulia,,62-65,,
6:43.0,,,62-66,1,R. Gay makes free throw 2 of 2
6:28.0,J. McGee makes 2-pt shot from 20 ft (assist by R. Felton),2,64-66,,
6:17.0,,,64-68,2,R. Rondo makes 2-pt shot from 3 ft
5:58.0,R. Felton misses 2-pt shot from 19 ft,,64-68,,
5:57.0,Offensive rebound by D. Nowitzki,,64-68,,
5:54.0,D. Nowitzki misses 3-pt shot from 24 ft,,64-68,,
5:53.0,,,64-68,,Defensive rebound by D. Cousins
5:37.0,,,64-68,,D. Cousins misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by D. Nowitzki,,64-68,,
5:21.0,R. Felton misses 2-pt shot from 5 ft (block by D. Cousins),,64-68,,
5:20.0,,,64-68,,Defensive rebound by Team
5:20.0,,,64-68,,Sacramento full timeout
5:08.0,D. Powell enters the game for D. Nowitzki,,64-68,,
5:08.0,C. Parsons enters the game for W. Matthews,,64-68,,
5:08.0,Personal foul by J. McGee (drawn by D. Cousins),,64-68,,
5:08.0,,,64-69,1,D. Cousins makes free throw 1 of 2
5:08.0,Z. Pachulia enters the game for J. McGee,,64-69,,
5:08.0,,,64-70,1,D. Cousins makes free throw 2 of 2
4:49.0,Turnover by R. Felton (traveling),,64-70,,
4:37.0,,,64-72,2,B. McLemore makes 2-pt shot at rim (assist by R. Rondo)
4:22.0,D. Williams misses 2-pt shot from 4 ft,,64-72,,
4:22.0,Offensive rebound by D. Powell,,64-72,,
4:12.0,D. Powell misses 3-pt shot from 23 ft,,64-72,,
4:11.0,,,64-72,,Defensive rebound by R. Gay
4:05.0,,,64-72,,R. Rondo misses 2-pt shot from 18 ft
4:04.0,Defensive rebound by D. Powell,,64-72,,
3:56.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,66-72,,
3:51.0,Personal take foul by R. Felton (drawn by R. Rondo),,66-72,,
3:51.0,,,66-72,,R. Rondo misses free throw 1 of 2
3:51.0,,,66-72,,Offensive rebound by Team
3:51.0,,,66-72,,S. Curry enters the game for R. Gay
3:51.0,,,66-72,,R. Rondo misses free throw 2 of 2
3:50.0,Defensive rebound by Z. Pachulia,,66-72,,
3:50.0,Turnover by Z. Pachulia (lost ball),,66-72,,
3:49.0,Jump ball: D. Cousins vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: D. Cousins vs. Z. Pachulia (S. Curry gains possession)
3:31.0,,,66-72,,D. Cousins misses 2-pt shot from 5 ft (block by D. Powell)
3:29.0,Defensive rebound by R. Felton,,66-72,,
3:26.0,Offensive charge foul by C. Parsons (drawn by R. Rondo),,66-72,,
3:26.0,Turnover by C. Parsons (offensive foul),,66-72,,
3:26.0,Personal take foul by C. Parsons (drawn by R. Rondo),,66-72,,
3:26.0,,,66-73,1,R. Rondo makes free throw 1 of 2
3:26.0,,,66-73,,K. Koufos enters the game for D. Cousins
3:26.0,D. Harris enters the game for Z. Pachulia,,66-73,,
3:26.0,,,66-74,1,R. Rondo makes free throw 2 of 2
3:16.0,Turnover by C. Parsons (palming),,66-74,,
3:16.0,,,66-74,,D. Collison enters the game for B. McLemore
2:52.0,,,66-74,,K. Koufos misses 2-pt shot from 10 ft
2:50.0,Defensive rebound by D. Harris,,66-74,,
2:35.0,D. Williams misses 2-pt shot from 8 ft,,66-74,,
2:34.0,Offensive rebound by R. Felton,,66-74,,
2:34.0,R. Felton misses 2-pt shot from 2 ft,,66-74,,
2:32.0,Offensive rebound by R. Felton,,66-74,,
2:27.0,D. Williams misses 3-pt shot from 25 ft,,66-74,,
2:27.0,,,66-74,,Defensive rebound by D. Collison
2:16.0,,,66-74,,D. Collison misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by D. Powell,,66-74,,
2:02.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Harris),2,68-74,,
1:48.0,,,68-74,,R. Rondo misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by D. Powell,,68-74,,
1:37.0,D. Williams misses 2-pt shot from 3 ft,,68-74,,
1:36.0,,,68-74,,Defensive rebound by O. Casspi
1:29.0,,,68-74,,O. Casspi misses 3-pt shot from 24 ft
1:28.0,,,68-74,,Offensive rebound by Team
1:28.0,Dallas full timeout,,68-74,,
1:28.0,,,68-74,,M. Belinelli enters the game for R. Rondo
1:28.0,W. Matthews enters the game for C. Parsons,,68-74,,
1:28.0,D. Nowitzki enters the game for D. Williams,,68-74,,
1:19.0,,,68-74,,S. Curry misses 3-pt shot from 23 ft
1:19.0,Defensive rebound by Team,,68-74,,
1:02.0,R. Felton misses 3-pt shot from 23 ft,,68-74,,
1:02.0,,,68-74,,Defensive rebound by Team
1:02.0,Loose ball foul by D. Nowitzki (drawn by K. Koufos),,68-74,,
1:02.0,,,68-74,,K. Koufos misses free throw 1 of 2
1:02.0,,,68-74,,Offensive rebound by Team
1:02.0,,,68-74,,K. Koufos misses free throw 2 of 2
1:00.0,Defensive rebound by D. Powell,,68-74,,
0:45.0,Shooting foul by O. Casspi (drawn by D. Nowitzki),,68-74,,
0:45.0,D. Nowitzki makes free throw 1 of 2,1,69-74,,
0:45.0,D. Nowitzki makes free throw 2 of 2,1,70-74,,
0:43.0,Personal foul by D. Powell (drawn by K. Koufos),,70-74,,
0:43.0,,,70-74,,K. Koufos misses free throw 1 of 2
0:43.0,,,70-74,,Offensive rebound by Team
0:43.0,,,70-74,,K. Koufos misses free throw 2 of 2
0:43.0,Defensive rebound by R. Felton,,70-74,,
0:32.0,R. Felton misses 3-pt shot from 24 ft,,70-74,,
0:31.0,,,70-74,,Defensive rebound by Team
0:31.0,,,70-74,,D. Cousins enters the game for K. Koufos
0:12.0,,,70-76,2,D. Collison makes 2-pt shot from 20 ft
0:03.0,,,70-76,,Personal foul by D. Cousins (drawn by R. Felton)
0:03.0,R. Felton misses free throw 1 of 2,,70-76,,
0:03.0,Offensive rebound by Team,,70-76,,
0:03.0,C. Parsons enters the game for D. Nowitzki,,70-76,,
0:03.0,R. Felton makes free throw 2 of 2,1,71-76,,
0:00.0,,,71-76,,D. Cousins misses 3-pt shot from 43 ft
0:00.0,,,71-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Nowitzki misses 2-pt shot from 20 ft,,71-76,,
11:44.0,,,71-76,,Defensive rebound by D. Cousins
11:29.0,,,71-78,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins)
11:15.0,C. Parsons makes 3-pt shot from 25 ft (assist by R. Felton),3,74-78,,
10:53.0,,,74-78,,Shooting foul by D. Powell (drawn by D. Cousins)
10:53.0,,,74-79,1,D. Cousins makes free throw 1 of 2
10:53.0,W. Matthews enters the game for C. Parsons,,74-79,,
10:53.0,,,74-80,1,D. Cousins makes free throw 2 of 2
10:38.0,Shooting foul by D. Collison (drawn by D. Powell),,74-80,,
10:38.0,D. Powell makes free throw 1 of 2,1,75-80,,
10:38.0,D. Powell makes free throw 2 of 2,1,76-80,,
10:24.0,,,76-80,,Shooting foul by D. Harris (drawn by D. Cousins)
10:24.0,,,76-81,1,D. Cousins makes free throw 1 of 2
10:24.0,,,76-82,1,D. Cousins makes free throw 2 of 2
10:10.0,R. Felton makes 2-pt shot from 21 ft,2,78-82,,
9:52.0,,,78-82,,O. Casspi misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by D. Powell,,78-82,,
9:40.0,,,78-82,,Personal foul by D. Collison (drawn by D. Nowitzki)
9:26.0,R. Felton misses 3-pt shot from 24 ft,,78-82,,
9:25.0,,,78-82,,Defensive rebound by D. Collison
9:17.0,Personal foul by R. Felton (drawn by D. Collison),,78-82,,
9:06.0,,,78-84,2,D. Cousins makes 2-pt shot from 5 ft (assist by O. Casspi)
8:51.0,Shooting foul by O. Casspi (drawn by D. Nowitzki),,78-84,,
8:51.0,Official timeout,,78-84,,
8:51.0,D. Williams enters the game for R. Felton,,78-84,,
8:51.0,Z. Pachulia enters the game for D. Powell,,78-84,,
8:51.0,D. Nowitzki misses free throw 1 of 2,,78-84,,
8:51.0,Offensive rebound by Team,,78-84,,
8:51.0,D. Nowitzki makes free throw 2 of 2,1,79-84,,
8:31.0,,,79-84,,D. Cousins misses 2-pt shot from 3 ft
8:31.0,Defensive rebound by Team,,79-84,,
8:15.0,D. Nowitzki misses 2-pt shot from 14 ft,,79-84,,
8:14.0,,,79-84,,Defensive rebound by D. Collison
8:05.0,,,79-86,2,D. Cousins makes 2-pt shot at rim (assist by O. Casspi)
8:03.0,Dallas full timeout,,79-86,,
