time,Utah,pts.away,score,pts.home,Orlando
8:45.0,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward),3,24-39,,
8:45.0,,,24-39,,Orlando full timeout
8:45.0,,,24-39,,E. Payton enters the game for S. Napier
8:21.0,,,24-39,,E. Fournier misses 2-pt shot from 2 ft (block by J. Withey)
8:20.0,,,24-39,,Offensive rebound by D. Dedmon
8:20.0,,,24-39,,D. Dedmon misses 2-pt shot from 5 ft
8:20.0,,,24-39,,Offensive rebound by Team
8:19.0,,,24-39,,Turnover by Team (shot clock)
8:03.0,T. Booker misses 3-pt shot from 23 ft,,24-39,,
8:02.0,,,24-39,,Defensive rebound by T. Harris
7:51.0,,,24-39,,E. Payton misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by G. Hayward,,24-39,,
7:39.0,J. Withey makes 2-pt shot from 1 ft (assist by G. Hayward),2,26-39,,
7:22.0,,,26-39,,A. Gordon misses 2-pt shot from 19 ft
7:21.0,Defensive rebound by T. Burke,,26-39,,
7:11.0,J. Withey makes 2-pt shot from 2 ft (assist by T. Burke),2,28-39,,
6:58.0,,,28-41,2,D. Dedmon makes 2-pt shot from 16 ft (assist by E. Fournier)
6:35.0,T. Burke misses 3-pt shot from 25 ft,,28-41,,
6:34.0,Offensive rebound by J. Withey,,28-41,,
6:34.0,J. Withey misses 2-pt shot at rim,,28-41,,
6:32.0,Offensive rebound by J. Withey,,28-41,,
6:32.0,J. Withey misses 2-pt shot from 1 ft,,28-41,,
6:30.0,,,28-41,,Defensive rebound by T. Harris
6:19.0,,,28-41,,D. Dedmon misses 2-pt shot from 16 ft
6:18.0,Defensive rebound by T. Booker,,28-41,,
6:10.0,T. Burke makes 2-pt shot from 2 ft,2,30-41,,
5:51.0,,,30-41,,Turnover by D. Dedmon (3 sec)
5:51.0,Official timeout,,30-41,,
5:51.0,D. Favors enters the game for T. Booker,,30-41,,
5:51.0,T. Lyles enters the game for J. Withey,,30-41,,
5:51.0,,,30-41,,C. Frye enters the game for A. Gordon
5:51.0,,,30-41,,N. Vucevic enters the game for D. Dedmon
5:44.0,,,30-41,,Personal foul by E. Payton (drawn by T. Burke)
5:34.0,T. Burke makes 2-pt shot from 19 ft (assist by D. Favors),2,32-41,,
5:16.0,,,32-41,,E. Fournier misses 2-pt shot from 14 ft
5:14.0,,,32-41,,Offensive rebound by C. Frye
5:14.0,,,32-41,,C. Frye misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by C. Johnson,,32-41,,
4:56.0,Turnover by C. Johnson (traveling),,32-41,,
4:38.0,,,32-41,,Shooting foul by C. Johnson (drawn by T. Harris)
4:38.0,,,32-42,1,T. Harris makes free throw 1 of 2
4:38.0,E. Millsap enters the game for C. Johnson,,32-42,,
4:38.0,A. Burks enters the game for T. Burke,,32-42,,
4:38.0,,,32-43,1,T. Harris makes free throw 2 of 2
4:14.0,A. Burks misses 3-pt shot from 25 ft,,32-43,,
4:13.0,,,32-43,,Defensive rebound by T. Harris
4:04.0,Personal foul by E. Millsap (drawn by E. Fournier),,32-43,,
4:04.0,,,32-44,1,E. Fournier makes free throw 1 of 2
4:04.0,,,32-45,1,E. Fournier makes free throw 2 of 2
3:53.0,T. Lyles misses 2-pt shot from 17 ft,,32-45,,
3:51.0,,,32-45,,Defensive rebound by N. Vucevic
3:50.0,Personal foul by T. Lyles (drawn by C. Frye),,32-45,,
3:50.0,,,32-46,1,C. Frye makes free throw 1 of 2
3:50.0,,,32-47,1,C. Frye makes free throw 2 of 2
3:39.0,G. Hayward misses 2-pt shot from 17 ft,,32-47,,
3:38.0,,,32-47,,Defensive rebound by E. Fournier
3:26.0,,,32-47,,Turnover by E. Fournier (bad pass; steal by D. Favors)
3:19.0,G. Hayward misses 3-pt shot from 25 ft,,32-47,,
3:18.0,,,32-47,,Defensive rebound by T. Harris
3:06.0,,,32-47,,Turnover by N. Vucevic (traveling)
2:56.0,A. Burks misses 2-pt shot from 2 ft,,32-47,,
2:53.0,,,32-47,,Defensive rebound by E. Payton
2:38.0,,,32-47,,C. Frye misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by G. Hayward,,32-47,,
2:31.0,G. Hayward makes 2-pt shot from 2 ft,2,34-47,,
2:11.0,,,34-47,,E. Payton misses 2-pt shot from 7 ft
2:10.0,Defensive rebound by D. Favors,,34-47,,
1:59.0,,,34-47,,Personal foul by E. Fournier (drawn by A. Burks)
1:59.0,Utah full timeout,,34-47,,
1:59.0,T. Burke enters the game for T. Lyles,,34-47,,
1:59.0,J. Withey enters the game for D. Favors,,34-47,,
1:59.0,T. Booker enters the game for E. Millsap,,34-47,,
1:59.0,,,34-47,,S. Napier enters the game for E. Fournier
1:59.0,,,34-47,,M. Hezonja enters the game for E. Payton
1:52.0,G. Hayward misses 2-pt shot from 8 ft,,34-47,,
1:51.0,Offensive rebound by J. Withey,,34-47,,
1:51.0,J. Withey makes 2-pt shot at rim,2,36-47,,
1:41.0,,,36-47,,Turnover by S. Napier (bad pass; steal by G. Hayward)
1:35.0,T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward),2,38-47,,
1:26.0,,,38-49,2,N. Vucevic makes 2-pt shot from 20 ft
1:10.0,A. Burks misses 2-pt shot from 18 ft,,38-49,,
1:10.0,Offensive rebound by Team,,38-49,,
1:00.0,T. Burke misses 3-pt shot from 23 ft,,38-49,,
0:59.0,,,38-49,,Defensive rebound by S. Napier
0:53.0,,,38-49,,Turnover by T. Harris (lost ball)
0:43.0,,,38-49,,Personal foul by S. Napier (drawn by G. Hayward)
0:43.0,G. Hayward makes free throw 1 of 2,1,39-49,,
0:43.0,C. Johnson enters the game for A. Burks,,39-49,,
0:43.0,G. Hayward makes free throw 2 of 2,1,40-49,,
0:24.0,,,40-52,3,T. Harris makes 3-pt shot from 23 ft (assist by N. Vucevic)
0:00.0,C. Johnson misses 3-pt shot from 25 ft,,40-52,,
0:00.0,,,40-52,,Defensive rebound by N. Vucevic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,40-52,,N. Vucevic misses 2-pt shot from 2 ft (block by D. Favors)
11:37.0,Defensive rebound by R. Neto,,40-52,,
11:31.0,A. Burks misses 2-pt shot from 2 ft,,40-52,,
11:29.0,,,40-52,,Defensive rebound by E. Payton
11:19.0,,,40-54,2,N. Vucevic makes 2-pt shot from 18 ft
10:55.0,A. Burks misses 2-pt shot from 20 ft,,40-54,,
10:53.0,,,40-54,,Defensive rebound by N. Vucevic
10:42.0,,,40-54,,N. Vucevic misses 2-pt shot from 2 ft (block by J. Withey)
10:40.0,Defensive rebound by D. Favors,,40-54,,
10:35.0,J. Withey makes 2-pt shot at rim (assist by R. Neto),2,42-54,,
10:17.0,,,42-54,,N. Vucevic misses 2-pt shot from 19 ft
10:15.0,Defensive rebound by D. Favors,,42-54,,
10:04.0,A. Burks misses 3-pt shot from 24 ft,,42-54,,
10:02.0,,,42-54,,Defensive rebound by E. Fournier
9:50.0,,,42-57,3,T. Harris makes 3-pt shot from 25 ft (assist by C. Frye)
9:22.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Neto),3,45-57,,
9:16.0,,,45-57,,Turnover by C. Frye (bad pass; steal by R. Neto)
9:06.0,G. Hayward misses 3-pt shot from 23 ft,,45-57,,
9:05.0,,,45-57,,Defensive rebound by T. Harris
8:49.0,,,45-57,,Turnover by E. Payton (bad pass; steal by D. Favors)
8:43.0,G. Hayward misses 2-pt shot from 1 ft,,45-57,,
8:41.0,,,45-57,,Defensive rebound by N. Vucevic
8:35.0,,,45-60,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
8:18.0,A. Burks makes 3-pt shot from 26 ft (assist by G. Hayward),3,48-60,,
8:05.0,,,48-60,,C. Frye misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by D. Favors,,48-60,,
7:53.0,G. Hayward misses 2-pt shot from 1 ft,,48-60,,
7:51.0,Offensive rebound by G. Hayward,,48-60,,
7:45.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,50-60,,
7:20.0,,,50-63,3,E. Payton makes 3-pt shot from 23 ft (assist by N. Vucevic)
6:58.0,A. Burks makes 2-pt shot from 16 ft,2,52-63,,
6:44.0,,,52-63,,C. Frye misses 3-pt shot from 25 ft
6:42.0,,,52-63,,Offensive rebound by T. Harris
6:42.0,,,52-63,,Shooting foul by J. Withey (drawn by T. Harris)
6:42.0,,,52-64,1,T. Harris makes free throw 1 of 2
6:42.0,T. Burke enters the game for R. Neto,,52-64,,
6:42.0,T. Booker enters the game for J. Withey,,52-64,,
6:42.0,,,52-64,,S. Napier enters the game for E. Fournier
6:42.0,,,52-64,,A. Gordon enters the game for E. Payton
6:42.0,,,52-65,1,T. Harris makes free throw 2 of 2
6:30.0,Turnover by D. Favors (bad pass; steal by T. Harris),,52-65,,
6:24.0,,,52-65,,S. Napier misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by D. Favors,,52-65,,
6:14.0,A. Burks misses 2-pt shot from 2 ft,,52-65,,
6:13.0,,,52-65,,Defensive rebound by T. Harris
6:02.0,C. Johnson enters the game for A. Burks,,52-65,,
6:02.0,,,52-65,,Orlando full timeout
5:49.0,,,52-65,,T. Harris misses 3-pt shot from 25 ft
5:49.0,,,52-65,,Offensive rebound by Team
5:49.0,Loose ball foul by G. Hayward (drawn by C. Frye),,52-65,,
5:43.0,,,52-65,,N. Vucevic misses 2-pt shot from 10 ft
5:42.0,Defensive rebound by D. Favors,,52-65,,
5:27.0,Turnover by G. Hayward (bad pass; steal by T. Harris),,52-65,,
5:23.0,,,52-67,2,T. Harris makes 2-pt shot at rim
5:11.0,,,52-67,,Personal foul by N. Vucevic (drawn by D. Favors)
4:59.0,G. Hayward makes 2-pt shot from 4 ft (assist by T. Burke),2,54-67,,
4:59.0,Shooting foul by N. Vucevic (drawn by G. Hayward),,54-67,,
4:59.0,G. Hayward misses free throw 1 of 1,,54-67,,
4:59.0,,,54-67,,Defensive rebound by Team
4:59.0,Loose ball foul by T. Booker (drawn by C. Frye),,54-67,,
4:47.0,,,54-67,,N. Vucevic misses 2-pt shot from 5 ft
4:47.0,,,54-67,,Offensive rebound by Team
4:47.0,Loose ball foul by T. Booker (drawn by C. Frye),,54-67,,
4:36.0,Personal foul by C. Johnson (drawn by A. Gordon),,54-67,,
4:36.0,,,54-68,1,A. Gordon makes free throw 1 of 2
4:36.0,,,54-69,1,A. Gordon makes free throw 2 of 2
4:29.0,,,54-69,,Personal foul by A. Gordon (drawn by D. Favors)
4:22.0,Shooting foul by S. Napier (drawn by T. Burke),,54-69,,
4:22.0,T. Burke makes free throw 1 of 2,1,55-69,,
4:22.0,T. Burke misses free throw 2 of 2,,55-69,,
4:21.0,Offensive rebound by T. Booker,,55-69,,
4:19.0,T. Booker misses 2-pt shot from 2 ft,,55-69,,
4:17.0,,,55-69,,Defensive rebound by N. Vucevic
4:06.0,,,55-69,,Shooting foul by G. Hayward (drawn by T. Harris)
4:06.0,,,55-70,1,T. Harris makes free throw 1 of 2
4:06.0,,,55-70,,E. Payton enters the game for C. Frye
4:06.0,,,55-71,1,T. Harris makes free throw 2 of 2
3:48.0,C. Johnson makes 3-pt shot from 22 ft (assist by G. Hayward),3,58-71,,
3:30.0,,,58-73,2,N. Vucevic makes 2-pt shot from 13 ft
3:16.0,,,58-73,,Personal foul by A. Gordon (drawn by T. Burke)
3:16.0,T. Burke misses free throw 1 of 2,,58-73,,
3:16.0,Offensive rebound by Team,,58-73,,
3:16.0,T. Burke misses free throw 2 of 2,,58-73,,
3:15.0,,,58-73,,Defensive rebound by N. Vucevic
2:50.0,,,58-73,,T. Harris misses 3-pt shot from 23 ft
2:49.0,Defensive rebound by T. Booker,,58-73,,
2:39.0,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke),2,60-73,,
2:39.0,Shooting foul by T. Harris (drawn by D. Favors),,60-73,,
2:39.0,Utah full timeout,,60-73,,
2:39.0,A. Burks enters the game for G. Hayward,,60-73,,
2:39.0,D. Favors makes free throw 1 of 1,1,61-73,,
2:23.0,,,61-73,,T. Harris misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by D. Favors,,61-73,,
2:03.0,T. Burke misses 2-pt shot from 1 ft,,61-73,,
2:01.0,,,61-73,,Defensive rebound by T. Harris
2:00.0,Personal foul by T. Booker (drawn by E. Payton),,61-73,,
2:00.0,,,61-74,1,E. Payton makes free throw 1 of 2
2:00.0,J. Withey enters the game for D. Favors,,61-74,,
2:00.0,,,61-75,1,E. Payton makes free throw 2 of 2
1:50.0,,,61-75,,E. Fournier enters the game for T. Harris
1:50.0,,,61-75,,D. Dedmon enters the game for N. Vucevic
1:39.0,Turnover by C. Johnson (step out of bounds),,61-75,,
1:26.0,,,61-77,2,S. Napier makes 2-pt shot from 16 ft
1:03.0,T. Burke misses 2-pt shot from 3 ft (block by E. Payton),,61-77,,
1:03.0,Offensive rebound by Team,,61-77,,
0:59.0,A. Burks misses 3-pt shot from 24 ft,,61-77,,
0:58.0,Offensive rebound by T. Booker,,61-77,,
0:56.0,T. Booker misses 2-pt shot from 1 ft,,61-77,,
0:55.0,Offensive rebound by A. Burks,,61-77,,
0:55.0,Shooting foul by D. Dedmon (drawn by A. Burks),,61-77,,
0:55.0,A. Burks makes free throw 1 of 2,1,62-77,,
0:55.0,A. Burks makes free throw 2 of 2,1,63-77,,
0:39.0,,,63-80,3,E. Fournier makes 3-pt shot from 29 ft (assist by A. Gordon)
0:18.0,C. Johnson misses 2-pt shot from 14 ft,,63-80,,
0:17.0,Offensive rebound by A. Burks,,63-80,,
0:04.0,A. Burks misses 2-pt shot from 2 ft (block by A. Gordon),,63-80,,
0:04.0,,,63-80,,Defensive rebound by Team
0:00.0,,,63-80,,E. Fournier misses 3-pt shot from 41 ft
0:00.0,,,63-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,C. Johnson misses 3-pt shot from 24 ft,,63-80,,
11:39.0,,,63-80,,Defensive rebound by Team
11:20.0,,,63-80,,D. Dedmon misses 2-pt shot from 1 ft
11:19.0,,,63-80,,Offensive rebound by A. Gordon
11:17.0,,,63-80,,A. Gordon misses 2-pt shot from 2 ft (block by T. Booker)
11:15.0,,,63-80,,Offensive rebound by A. Gordon
11:11.0,,,63-82,2,A. Gordon makes 2-pt shot from 2 ft
10:43.0,T. Booker misses 3-pt shot from 29 ft,,63-82,,
10:42.0,,,63-82,,Defensive rebound by D. Dedmon
10:39.0,,,63-82,,Turnover by E. Payton (bad pass; steal by T. Booker)
10:31.0,T. Booker makes 2-pt shot at rim (assist by A. Burks),2,65-82,,
10:13.0,,,65-82,,Turnover by S. Napier (bad pass; steal by T. Booker)
10:08.0,R. Neto makes 2-pt shot from 1 ft (assist by T. Booker),2,67-82,,
9:59.0,,,67-82,,Turnover by S. Napier (lost ball; steal by J. Withey)
9:53.0,R. Neto misses 2-pt shot from 2 ft (block by D. Dedmon),,67-82,,
9:51.0,Offensive rebound by C. Johnson,,67-82,,
9:51.0,C. Johnson misses 2-pt shot from 2 ft,,67-82,,
9:51.0,Offensive rebound by Team,,67-82,,
9:51.0,Shooting foul by E. Fournier (drawn by A. Burks),,67-82,,
9:51.0,A. Burks makes free throw 1 of 2,1,68-82,,
9:51.0,E. Millsap enters the game for C. Johnson,,68-82,,
9:51.0,A. Burks makes free throw 2 of 2,1,69-82,,
9:36.0,,,69-84,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
9:26.0,T. Booker misses 2-pt shot from 1 ft (block by D. Dedmon),,69-84,,
9:26.0,Offensive rebound by Team,,69-84,,
9:18.0,A. Burks misses 2-pt shot from 8 ft,,69-84,,
9:16.0,,,69-84,,Defensive rebound by A. Gordon
9:13.0,Shooting block foul by E. Millsap (drawn by E. Fournier),,69-84,,
9:13.0,,,69-86,2,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon)
9:13.0,,,69-86,,T. Harris enters the game for S. Napier
9:13.0,,,69-87,1,E. Fournier makes free throw 1 of 1
8:59.0,Shooting foul by A. Gordon (drawn by E. Millsap),,69-87,,
8:59.0,Official timeout,,69-87,,
8:59.0,D. Favors enters the game for A. Burks,,69-87,,
8:59.0,G. Hayward enters the game for J. Withey,,69-87,,
8:59.0,E. Millsap makes free throw 1 of 2,1,70-87,,
8:59.0,E. Millsap makes free throw 2 of 2,1,71-87,,
8:41.0,,,71-89,2,E. Payton makes 2-pt shot from 12 ft (assist by T. Harris)
8:18.0,Turnover by R. Neto (bad pass; steal by A. Gordon),,71-89,,
8:13.0,,,71-91,2,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon)
7:47.0,R. Neto misses 3-pt shot from 24 ft,,71-91,,
7:46.0,,,71-91,,Defensive rebound by E. Fournier
7:25.0,,,71-94,3,T. Harris makes 3-pt shot from 24 ft (assist by E. Payton)
7:20.0,Utah full timeout,,71-94,,
7:20.0,T. Lyles enters the game for G. Hayward,,71-94,,
7:20.0,C. Johnson enters the game for D. Favors,,71-94,,
7:20.0,J. Withey enters the game for T. Booker,,71-94,,
7:10.0,C. Johnson misses 3-pt shot from 27 ft,,71-94,,
7:09.0,,,71-94,,Defensive rebound by T. Harris
6:57.0,,,71-94,,A. Gordon misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by E. Millsap,,71-94,,
6:43.0,T. Lyles misses 3-pt shot from 25 ft,,71-94,,
6:41.0,,,71-94,,Defensive rebound by D. Dedmon
6:24.0,,,71-94,,E. Fournier misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by J. Withey,,71-94,,
6:12.0,T. Lyles makes 2-pt shot at rim (assist by R. Neto),2,73-94,,
5:53.0,,,73-94,,E. Payton misses 2-pt shot from 17 ft
5:51.0,Defensive rebound by J. Withey,,73-94,,
5:51.0,,,73-94,,Loose ball foul by D. Dedmon (drawn by J. Withey)
5:51.0,,,73-94,,A. Nicholson enters the game for D. Dedmon
5:32.0,E. Millsap misses 3-pt shot from 25 ft,,73-94,,
5:30.0,,,73-94,,Defensive rebound by E. Fournier
