time,Orlando,pts.away,score,pts.home,Dallas
5:13.0,,,20-12,,R. Felton misses 3-pt shot from 23 ft
5:12.0,Defensive rebound by A. Gordon,,20-12,,
5:09.0,,,20-12,,Shooting block foul by W. Matthews (drawn by C. Watson)
5:09.0,C. Watson makes free throw 1 of 2,1,21-12,,
5:09.0,,,21-12,,D. Lee enters the game for Z. Pachulia
5:09.0,C. Watson makes free throw 2 of 2,1,22-12,,
4:51.0,,,22-14,2,C. Parsons makes 2-pt shot from 1 ft
4:41.0,N. Vucevic misses 2-pt shot from 9 ft,,22-14,,
4:40.0,,,22-14,,Defensive rebound by D. Williams
4:30.0,,,22-14,,Shooting foul by A. Gordon (drawn by C. Parsons)
4:30.0,,,22-15,1,C. Parsons makes free throw 1 of 2
4:30.0,E. Ilyasova enters the game for A. Gordon,,22-15,,
4:30.0,,,22-16,1,C. Parsons makes free throw 2 of 2
4:20.0,E. Payton misses 2-pt shot from 6 ft,,22-16,,
4:19.0,,,22-16,,Defensive rebound by Team
4:10.0,,,22-18,2,W. Matthews makes 2-pt shot from 18 ft (assist by D. Lee)
4:00.0,N. Vucevic misses 2-pt shot from 7 ft (block by D. Lee),,22-18,,
3:58.0,Offensive rebound by V. Oladipo,,22-18,,
3:56.0,V. Oladipo misses 2-pt shot from 1 ft,,22-18,,
3:55.0,,,22-18,,Defensive rebound by D. Lee
3:49.0,,,22-18,,D. Lee misses 2-pt shot from 8 ft (block by C. Watson)
3:48.0,Defensive rebound by V. Oladipo,,22-18,,
3:44.0,Turnover by E. Payton (lost ball),,22-18,,
3:29.0,,,22-20,2,D. Williams makes 2-pt shot from 13 ft
3:29.0,,,22-20,,Shooting foul by E. Payton (drawn by D. Williams)
3:29.0,,,22-21,1,D. Williams makes free throw 1 of 1
3:17.0,,,22-21,,Personal foul by R. Felton (drawn by V. Oladipo)
3:17.0,B. Jennings enters the game for E. Payton,,22-21,,
3:04.0,V. Oladipo makes 2-pt shot from 16 ft (assist by C. Watson),2,24-21,,
2:51.0,,,24-24,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams)
2:46.0,Orlando full timeout,,24-24,,
2:46.0,J. Smith enters the game for N. Vucevic,,24-24,,
2:33.0,B. Jennings makes 3-pt shot from 24 ft (assist by J. Smith),3,27-24,,
2:14.0,,,27-26,2,D. Williams makes 2-pt shot from 6 ft
2:00.0,Turnover by B. Jennings (lost ball),,27-26,,
2:00.0,,,27-26,,J. Barea enters the game for C. Parsons
2:00.0,,,27-26,,D. Harris enters the game for W. Matthews
2:00.0,,,27-26,,D. Nowitzki enters the game for D. Williams
1:50.0,,,27-28,2,D. Lee makes 2-pt shot at rim (assist by R. Felton)
1:30.0,J. Smith misses 2-pt shot from 19 ft,,27-28,,
1:29.0,,,27-28,,Defensive rebound by D. Nowitzki
1:22.0,,,27-28,,Turnover by R. Felton (traveling)
1:12.0,E. Ilyasova misses 3-pt shot from 24 ft,,27-28,,
1:11.0,,,27-28,,Defensive rebound by D. Lee
1:01.0,,,27-28,,Shooting foul by V. Oladipo (drawn by D. Lee)
1:01.0,,,27-29,1,D. Lee makes free throw 1 of 2
1:01.0,E. Payton enters the game for V. Oladipo,,27-29,,
1:01.0,,,27-30,1,D. Lee makes free throw 2 of 2
0:52.0,J. Smith misses 2-pt shot from 19 ft,,27-30,,
0:51.0,Offensive rebound by C. Watson,,27-30,,
0:47.0,B. Jennings misses 3-pt shot from 24 ft,,27-30,,
0:46.0,Offensive rebound by E. Ilyasova,,27-30,,
0:44.0,Turnover by J. Smith (step out of bounds),,27-30,,
0:35.0,,,27-33,3,J. Barea makes 3-pt shot from 24 ft
0:23.0,E. Ilyasova misses 2-pt shot from 21 ft,,27-33,,
0:22.0,,,27-33,,Defensive rebound by D. Lee
0:19.0,,,27-33,,Turnover by D. Lee (bad pass; steal by J. Smith)
0:17.0,Offensive foul by E. Payton,,27-33,,
0:17.0,Turnover by E. Payton (offensive foul),,27-33,,
0:17.0,S. Napier enters the game for E. Payton,,27-33,,
0:17.0,Violation by Team (jump ball),,27-33,,
0:03.0,,,27-35,2,D. Lee makes 2-pt shot at rim (assist by R. Felton)
0:01.0,,,27-35,,Personal block foul by D. Harris (drawn by B. Jennings)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Smith misses 2-pt shot from 1 ft (block by D. Lee),,27-35,,
11:45.0,,,27-35,,Defensive rebound by J. Barea
11:30.0,,,27-38,3,D. Nowitzki makes 3-pt shot from 22 ft (assist by D. Lee)
11:09.0,J. Smith makes 2-pt shot from 17 ft (assist by S. Napier),2,29-38,,
10:55.0,Personal foul by E. Ilyasova (drawn by R. Felton),,29-38,,
10:47.0,,,29-38,,Shooting foul by C. Watson (drawn by D. Lee)
10:47.0,,,29-38,,D. Lee misses free throw 1 of 2
10:47.0,,,29-38,,Offensive rebound by Team
10:47.0,,,29-39,1,D. Lee makes free throw 2 of 2
10:28.0,E. Ilyasova makes 2-pt shot from 19 ft,2,31-39,,
10:14.0,,,31-39,,Turnover by D. Harris (bad pass; steal by J. Smith)
10:08.0,S. Napier misses 3-pt shot from 25 ft,,31-39,,
10:07.0,Offensive rebound by E. Ilyasova,,31-39,,
10:07.0,E. Ilyasova makes 2-pt shot from 1 ft,2,33-39,,
10:07.0,Shooting foul by D. Lee (drawn by E. Ilyasova),,33-39,,
10:07.0,E. Ilyasova makes free throw 1 of 1,1,34-39,,
9:51.0,,,34-39,,D. Nowitzki misses 2-pt shot from 14 ft
9:50.0,Defensive rebound by S. Napier,,34-39,,
9:43.0,Offensive foul by J. Smith,,34-39,,
9:43.0,Turnover by J. Smith (offensive foul),,34-39,,
9:30.0,,,34-39,,Shooting foul by S. Napier (drawn by J. Barea)
9:30.0,,,34-40,1,J. Barea makes free throw 1 of 2
9:30.0,,,34-41,1,J. Barea makes free throw 2 of 2
9:19.0,,,34-41,,Personal block foul by D. Lee (drawn by J. Smith)
9:12.0,B. Jennings makes 2-pt shot from 15 ft,2,36-41,,
9:01.0,,,36-43,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris)
8:51.0,B. Jennings makes 2-pt shot from 1 ft,2,38-43,,
8:39.0,,,38-45,2,J. Barea makes 2-pt shot from 1 ft
8:26.0,J. Smith misses 2-pt shot from 19 ft,,38-45,,
8:25.0,Offensive rebound by E. Ilyasova,,38-45,,
8:25.0,,,38-45,,Loose ball foul by J. Barea
8:25.0,Official timeout,,38-45,,
8:25.0,,,38-45,,C. Parsons enters the game for D. Nowitzki
8:25.0,M. Hezonja enters the game for C. Watson,,38-45,,
8:25.0,V. Oladipo enters the game for J. Smith,,38-45,,
8:25.0,A. Gordon enters the game for S. Napier,,38-45,,
8:18.0,,,38-45,,Personal foul by D. Lee (drawn by A. Gordon)
8:18.0,,,38-45,,Z. Pachulia enters the game for D. Lee
8:00.0,A. Gordon misses 3-pt shot from 24 ft,,38-45,,
7:59.0,Offensive rebound by M. Hezonja,,38-45,,
7:58.0,M. Hezonja misses 2-pt shot from 3 ft (block by Z. Pachulia),,38-45,,
7:58.0,,,38-45,,Defensive rebound by Team
7:47.0,,,38-47,2,D. Harris makes 2-pt shot at rim (assist by J. Barea)
7:35.0,,,38-47,,Personal foul by D. Harris (drawn by E. Ilyasova)
7:35.0,E. Ilyasova makes free throw 1 of 2,1,39-47,,
7:35.0,,,39-47,,D. Williams enters the game for D. Harris
7:35.0,,,39-47,,W. Matthews enters the game for R. Felton
7:35.0,E. Ilyasova makes free throw 2 of 2,1,40-47,,
7:15.0,,,40-49,2,W. Matthews makes 2-pt shot from 3 ft
7:01.0,B. Jennings misses 2-pt shot from 18 ft,,40-49,,
7:00.0,,,40-49,,Defensive rebound by Z. Pachulia
6:54.0,,,40-49,,C. Parsons misses 2-pt shot from 6 ft
6:53.0,Defensive rebound by Team,,40-49,,
6:40.0,V. Oladipo misses 3-pt shot from 24 ft,,40-49,,
6:39.0,,,40-49,,Defensive rebound by W. Matthews
6:24.0,Personal foul by V. Oladipo (drawn by Z. Pachulia),,40-49,,
6:24.0,E. Payton enters the game for V. Oladipo,,40-49,,
6:24.0,N. Vucevic enters the game for E. Ilyasova,,40-49,,
6:24.0,C. Watson enters the game for B. Jennings,,40-49,,
6:12.0,,,40-49,,Turnover by D. Williams (bad pass; steal by A. Gordon)
6:03.0,N. Vucevic makes 2-pt shot from 18 ft (assist by C. Watson),2,42-49,,
6:02.0,,,42-49,,Dallas full timeout
5:50.0,,,42-51,2,W. Matthews makes 2-pt shot at rim
5:30.0,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic),3,45-51,,
5:11.0,,,45-51,,W. Matthews misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by C. Watson,,45-51,,
5:04.0,,,45-51,,Personal foul by D. Williams (drawn by C. Watson)
5:04.0,C. Watson makes free throw 1 of 2,1,46-51,,
5:04.0,,,46-51,,D. Nowitzki enters the game for J. Barea
5:04.0,C. Watson makes free throw 2 of 2,1,47-51,,
4:49.0,,,47-51,,C. Parsons misses 2-pt shot from 6 ft
4:48.0,,,47-51,,Offensive rebound by C. Parsons
4:43.0,,,47-54,3,W. Matthews makes 3-pt shot from 24 ft (assist by Z. Pachulia)
4:32.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,49-54,,
4:18.0,Shooting block foul by A. Gordon (drawn by D. Nowitzki),,49-54,,
4:18.0,,,49-55,1,D. Nowitzki makes free throw 1 of 2
4:18.0,E. Ilyasova enters the game for A. Gordon,,49-55,,
4:18.0,,,49-56,1,D. Nowitzki makes free throw 2 of 2
4:01.0,C. Watson makes 3-pt shot from 25 ft (assist by N. Vucevic),3,52-56,,
3:49.0,,,52-59,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
3:33.0,M. Hezonja misses 3-pt shot from 24 ft,,52-59,,
3:32.0,,,52-59,,Defensive rebound by W. Matthews
3:23.0,,,52-61,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
2:59.0,C. Watson misses 3-pt shot from 24 ft,,52-61,,
2:58.0,Offensive rebound by N. Vucevic,,52-61,,
2:57.0,,,52-61,,Personal foul by W. Matthews (drawn by N. Vucevic)
2:57.0,Orlando full timeout,,52-61,,
2:57.0,D. Marble enters the game for M. Hezonja,,52-61,,
2:57.0,N. Vucevic makes free throw 1 of 2,1,53-61,,
2:57.0,N. Vucevic makes free throw 2 of 2,1,54-61,,
2:49.0,Personal foul by E. Ilyasova (drawn by D. Nowitzki),,54-61,,
2:49.0,,,54-61,,D. Nowitzki misses free throw 1 of 2
2:49.0,,,54-61,,Offensive rebound by Team
2:49.0,,,54-62,1,D. Nowitzki makes free throw 2 of 2
2:33.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by C. Watson),3,57-62,,
2:13.0,,,57-64,2,D. Nowitzki makes 2-pt shot from 7 ft (assist by D. Williams)
2:13.0,,,57-64,,Shooting foul by E. Ilyasova (drawn by D. Nowitzki)
2:13.0,,,57-65,1,D. Nowitzki makes free throw 1 of 1
1:50.0,E. Payton makes 2-pt shot from 7 ft,2,59-65,,
1:31.0,,,59-67,2,W. Matthews makes 2-pt shot from 11 ft
1:16.0,N. Vucevic misses 2-pt shot from 1 ft (block by D. Nowitzki),,59-67,,
1:14.0,,,59-67,,Defensive rebound by Z. Pachulia
1:12.0,,,59-67,,Turnover by Z. Pachulia (lost ball; steal by D. Marble)
1:06.0,N. Vucevic misses 2-pt shot from 11 ft,,59-67,,
1:05.0,,,59-67,,Defensive rebound by W. Matthews
0:48.0,Shooting block foul by E. Payton (drawn by W. Matthews),,59-67,,
0:48.0,,,59-68,1,W. Matthews makes free throw 1 of 3
0:48.0,,,59-69,1,W. Matthews makes free throw 2 of 3
0:48.0,,,59-69,,R. Felton enters the game for D. Nowitzki
0:48.0,B. Jennings enters the game for E. Payton,,59-69,,
0:48.0,,,59-69,,W. Matthews misses free throw 3 of 3
0:47.0,Defensive rebound by E. Ilyasova,,59-69,,
0:34.0,Turnover by N. Vucevic (lost ball; steal by C. Parsons),,59-69,,
0:30.0,,,59-69,,Turnover by C. Parsons (bad pass; steal by D. Marble)
0:09.0,N. Vucevic makes 2-pt shot from 1 ft (assist by B. Jennings),2,61-69,,
0:01.0,,,61-69,,Z. Pachulia misses 2-pt shot from 3 ft (block by N. Vucevic)
0:00.0,,,61-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Jump ball: E. Payton vs. D. Williams (W. Matthews gains possession),,,,Jump ball: E. Payton vs. D. Williams (W. Matthews gains possession)
11:47.0,Turnover by E. Payton (lost ball; steal by D. Williams),,61-69,,
11:22.0,,,61-69,,D. Nowitzki misses 2-pt shot from 22 ft
11:21.0,Defensive rebound by E. Payton,,61-69,,
11:12.0,M. Hezonja misses 3-pt shot from 24 ft,,61-69,,
11:11.0,,,61-69,,Defensive rebound by D. Nowitzki
11:02.0,,,61-69,,C. Parsons misses 2-pt shot from 4 ft
11:01.0,,,61-69,,Offensive rebound by D. Williams
10:53.0,,,61-69,,C. Parsons misses 3-pt shot from 23 ft
10:52.0,Defensive rebound by A. Gordon,,61-69,,
10:38.0,V. Oladipo misses 3-pt shot from 23 ft,,61-69,,
10:37.0,,,61-69,,Defensive rebound by D. Williams
10:14.0,,,61-69,,D. Williams misses 2-pt shot from 18 ft
10:13.0,Defensive rebound by A. Gordon,,61-69,,
9:49.0,E. Payton misses 3-pt shot from 25 ft,,61-69,,
9:48.0,,,61-69,,Defensive rebound by C. Parsons
9:29.0,,,61-69,,C. Parsons misses 2-pt shot from 3 ft
9:27.0,Defensive rebound by N. Vucevic,,61-69,,
9:27.0,Turnover by N. Vucevic (bad pass),,61-69,,
9:15.0,,,61-71,2,W. Matthews makes 2-pt shot from 17 ft
8:53.0,M. Hezonja misses 2-pt shot from 20 ft,,61-71,,
8:52.0,,,61-71,,Defensive rebound by Z. Pachulia
8:43.0,,,61-73,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by C. Parsons)
8:28.0,N. Vucevic misses 2-pt shot from 19 ft,,61-73,,
8:27.0,Offensive rebound by V. Oladipo,,61-73,,
8:20.0,M. Hezonja misses 3-pt shot from 24 ft,,61-73,,
8:19.0,,,61-73,,Defensive rebound by Z. Pachulia
8:12.0,,,61-75,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Williams)
8:12.0,,,61-75,,Shooting foul by N. Vucevic (drawn by Z. Pachulia)
8:12.0,C. Watson enters the game for M. Hezonja,,61-75,,
8:12.0,,,61-76,1,Z. Pachulia makes free throw 1 of 1
7:59.0,V. Oladipo misses 3-pt shot from 24 ft,,61-76,,
7:58.0,,,61-76,,Defensive rebound by C. Parsons
7:49.0,,,61-78,2,C. Parsons makes 2-pt shot at rim
7:48.0,Orlando full timeout,,61-78,,
7:48.0,D. Marble enters the game for N. Vucevic,,61-78,,
7:48.0,D. Dedmon enters the game for V. Oladipo,,61-78,,
7:48.0,B. Jennings enters the game for E. Payton,,61-78,,
7:35.0,A. Gordon misses 3-pt shot from 25 ft,,61-78,,
7:34.0,,,61-78,,Defensive rebound by D. Williams
7:20.0,,,61-80,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by C. Parsons)
7:06.0,Turnover by C. Watson (traveling),,61-80,,
6:45.0,,,61-80,,D. Nowitzki misses 2-pt shot from 18 ft
6:44.0,Defensive rebound by D. Marble,,61-80,,
6:33.0,Shooting foul by D. Nowitzki (drawn by A. Gordon),,61-80,,
6:33.0,A. Gordon misses free throw 1 of 2,,61-80,,
6:33.0,Offensive rebound by Team,,61-80,,
6:33.0,,,61-80,,D. Lee enters the game for D. Nowitzki
6:33.0,,,61-80,,R. Felton enters the game for Z. Pachulia
6:33.0,A. Gordon misses free throw 2 of 2,,61-80,,
6:32.0,,,61-80,,Defensive rebound by R. Felton
6:15.0,,,61-82,2,W. Matthews makes 2-pt shot from 5 ft
5:53.0,A. Gordon makes 2-pt shot from 18 ft (assist by B. Jennings),2,63-82,,
5:38.0,Personal foul by A. Gordon (drawn by C. Parsons),,63-82,,
5:29.0,,,63-82,,Turnover by C. Parsons (bad pass; steal by B. Jennings)
5:20.0,D. Marble makes 3-pt shot from 24 ft (assist by B. Jennings),3,66-82,,
5:07.0,,,66-82,,D. Williams misses 2-pt shot from 7 ft
5:07.0,,,66-82,,Offensive rebound by Team
5:07.0,Personal foul by D. Marble (drawn by D. Lee),,66-82,,
5:00.0,,,66-82,,D. Williams misses 2-pt shot from 6 ft
4:59.0,Defensive rebound by D. Marble,,66-82,,
4:53.0,D. Marble misses 3-pt shot from 24 ft,,66-82,,
4:52.0,Offensive rebound by D. Dedmon,,66-82,,
4:48.0,D. Dedmon misses 2-pt shot from 6 ft,,66-82,,
4:47.0,Offensive rebound by A. Gordon,,66-82,,
4:46.0,A. Gordon makes 2-pt shot at rim,2,68-82,,
4:46.0,Shooting foul by D. Lee (drawn by A. Gordon),,68-82,,
4:46.0,,,68-82,,Dallas full timeout
4:46.0,,,68-82,,Z. Pachulia enters the game for D. Lee
4:46.0,A. Gordon makes free throw 1 of 1,1,69-82,,
4:31.0,Personal foul by A. Gordon (drawn by C. Parsons),,69-82,,
4:31.0,E. Ilyasova enters the game for A. Gordon,,69-82,,
4:26.0,Personal block foul by D. Marble (drawn by W. Matthews),,69-82,,
4:26.0,,,69-83,1,W. Matthews makes free throw 1 of 2
4:26.0,,,69-84,1,W. Matthews makes free throw 2 of 2
4:12.0,D. Dedmon makes 2-pt shot at rim (assist by D. Marble),2,71-84,,
4:03.0,Personal foul by D. Dedmon (drawn by Z. Pachulia),,71-84,,
4:03.0,,,71-85,1,Z. Pachulia makes free throw 1 of 2
4:03.0,,,71-86,1,Z. Pachulia makes free throw 2 of 2
3:52.0,Turnover by D. Marble (lost ball; steal by W. Matthews),,71-86,,
3:48.0,,,71-88,2,R. Felton makes 2-pt shot from 1 ft
3:31.0,D. Dedmon misses 2-pt shot from 5 ft,,71-88,,
3:29.0,Offensive rebound by D. Dedmon,,71-88,,
3:28.0,D. Dedmon makes 2-pt shot from 4 ft,2,73-88,,
3:07.0,,,73-88,,Turnover by C. Parsons (bad pass)
2:56.0,B. Jennings misses 3-pt shot from 24 ft,,73-88,,
2:55.0,,,73-88,,Defensive rebound by Z. Pachulia
2:47.0,,,73-88,,Turnover by C. Parsons (lost ball; steal by E. Ilyasova)
2:43.0,B. Jennings makes 2-pt shot from 2 ft (assist by C. Watson),2,75-88,,
2:43.0,,,75-88,,Dallas full timeout
2:25.0,,,75-91,3,C. Parsons makes 3-pt shot from 23 ft (assist by W. Matthews)
2:06.0,C. Watson misses 3-pt shot from 24 ft,,75-91,,
2:05.0,,,75-91,,Defensive rebound by Z. Pachulia
1:50.0,,,75-93,2,W. Matthews makes 2-pt shot from 18 ft (assist by D. Williams)
1:29.0,B. Jennings misses 3-pt shot from 23 ft,,75-93,,
1:28.0,,,75-93,,Defensive rebound by W. Matthews
1:19.0,,,75-93,,J. Barea enters the game for D. Williams
1:19.0,,,75-93,,D. Harris enters the game for W. Matthews
1:11.0,,,75-93,,J. Barea misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by E. Ilyasova,,75-93,,
1:03.0,D. Marble makes 3-pt shot from 24 ft (assist by B. Jennings),3,78-93,,
0:51.0,,,78-93,,Turnover by R. Felton (bad pass; steal by B. Jennings)
0:46.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Jennings),2,80-93,,
0:31.0,,,80-93,,J. Barea misses 2-pt shot from 8 ft
0:29.0,Defensive rebound by D. Marble,,80-93,,
0:22.0,D. Marble misses 3-pt shot from 24 ft,,80-93,,
0:21.0,Offensive rebound by E. Ilyasova,,80-93,,
0:21.0,Shooting foul by C. Parsons (drawn by E. Ilyasova),,80-93,,
0:21.0,E. Ilyasova misses free throw 1 of 2,,80-93,,
0:21.0,Offensive rebound by Team,,80-93,,
0:21.0,,,80-93,,D. Nowitzki enters the game for C. Parsons
0:21.0,V. Oladipo enters the game for B. Jennings,,80-93,,
0:21.0,E. Ilyasova makes free throw 2 of 2,1,81-93,,
0:04.0,,,81-96,3,J. Barea makes 3-pt shot from 23 ft (assist by R. Felton)
0:00.0,D. Marble misses 3-pt shot from 29 ft,,81-96,,
0:00.0,Offensive rebound by Team,,81-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-96,,D. Nowitzki misses 3-pt shot from 24 ft
11:47.0,Defensive rebound by D. Dedmon,,81-96,,
11:31.0,Shooting foul by D. Nowitzki (drawn by E. Ilyasova),,81-96,,
11:31.0,E. Ilyasova makes free throw 1 of 2,1,82-96,,
11:31.0,E. Ilyasova makes free throw 2 of 2,1,83-96,,
11:17.0,,,83-98,2,D. Harris makes 2-pt shot from 6 ft (assist by J. Barea)
10:59.0,B. Jennings misses 2-pt shot from 20 ft,,83-98,,
10:58.0,Offensive rebound by D. Dedmon,,83-98,,
10:53.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Marble),2,85-98,,
10:34.0,,,85-100,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Felton)
10:20.0,D. Marble misses 2-pt shot from 17 ft,,85-100,,
10:19.0,,,85-100,,Defensive rebound by D. Lee
10:08.0,,,85-100,,R. Felton misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by D. Dedmon,,85-100,,
9:59.0,B. Jennings misses 2-pt shot from 9 ft,,85-100,,
9:59.0,,,85-100,,Defensive rebound by D. Nowitzki
9:53.0,Shooting block foul by D. Marble (drawn by R. Felton),,85-100,,
9:53.0,,,85-101,1,R. Felton makes free throw 1 of 2
9:53.0,E. Payton enters the game for B. Jennings,,85-101,,
9:53.0,,,85-102,1,R. Felton makes free throw 2 of 2
9:32.0,E. Ilyasova misses 2-pt shot from 16 ft,,85-102,,
9:31.0,Offensive rebound by V. Oladipo,,85-102,,
9:26.0,E. Payton makes 3-pt shot from 24 ft (assist by D. Marble),3,88-102,,
9:14.0,,,88-104,2,J. Barea makes 2-pt shot from 8 ft
9:05.0,,,88-104,,Shooting block foul by D. Lee (drawn by D. Dedmon)
9:05.0,D. Dedmon makes free throw 1 of 2,1,89-104,,
9:05.0,,,89-104,,Z. Pachulia enters the game for D. Lee
9:05.0,D. Dedmon makes free throw 2 of 2,1,90-104,,
8:47.0,,,90-104,,D. Nowitzki misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by D. Marble,,90-104,,
8:40.0,Offensive foul by D. Dedmon,,90-104,,
8:40.0,Turnover by D. Dedmon (offensive foul),,90-104,,
8:40.0,N. Vucevic enters the game for D. Dedmon,,90-104,,
8:26.0,,,90-106,2,R. Felton makes 2-pt shot from 11 ft
8:06.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by E. Payton),3,93-106,,
7:41.0,,,93-109,3,J. Barea makes 3-pt shot from 24 ft (assist by R. Felton)
7:30.0,E. Payton makes 2-pt shot from 7 ft,2,95-109,,
7:08.0,,,95-111,2,J. Barea makes 2-pt shot from 13 ft
6:52.0,,,95-111,,Violation by Z. Pachulia (kicked ball)
6:44.0,V. Oladipo misses 2-pt shot from 20 ft,,95-111,,
6:43.0,,,95-111,,Defensive rebound by Z. Pachulia
6:22.0,,,95-111,,Turnover by Z. Pachulia (lost ball; steal by E. Ilyasova)
6:11.0,E. Payton misses 3-pt shot from 25 ft,,95-111,,
