time,Portland,pts.away,score,pts.home,Phoenix
3:41.0,A. Crabbe makes 3-pt shot from 27 ft (assist by D. Lillard),3,24-17,,
3:31.0,,,24-19,2,D. Booker makes 2-pt shot at rim (assist by M. Teletovic)
3:23.0,A. Crabbe makes 3-pt shot from 24 ft,3,27-19,,
3:07.0,,,27-22,3,M. Teletovic makes 3-pt shot from 25 ft (assist by E. Bledsoe)
2:58.0,Portland full timeout,,27-22,,
2:58.0,,,27-22,,T. Warren enters the game for P. Tucker
2:58.0,M. Leonard enters the game for A. Aminu,,27-22,,
2:58.0,G. Henderson enters the game for N. Vonleh,,27-22,,
2:58.0,E. Davis enters the game for M. Plumlee,,27-22,,
2:43.0,A. Crabbe misses 3-pt shot from 24 ft,,27-22,,
2:42.0,Offensive rebound by Team,,27-22,,
2:34.0,M. Leonard misses 2-pt shot from 14 ft,,27-22,,
2:34.0,Offensive rebound by Team,,27-22,,
2:34.0,,,27-22,,Loose ball foul by D. Booker (drawn by E. Davis)
2:24.0,D. Lillard misses 2-pt shot from 1 ft,,27-22,,
2:23.0,,,27-22,,Defensive rebound by A. Len
2:16.0,,,27-22,,Turnover by M. Teletovic (offensive goaltending)
2:00.0,M. Leonard misses 2-pt shot from 16 ft,,27-22,,
2:00.0,,,27-22,,Defensive rebound by M. Teletovic
1:48.0,,,27-24,2,E. Bledsoe makes 2-pt shot from 6 ft
1:28.0,A. Crabbe makes 2-pt shot from 19 ft (assist by D. Lillard),2,29-24,,
1:19.0,Personal foul by A. Crabbe (drawn by D. Booker),,29-24,,
1:19.0,,,29-24,,C. Jefferson enters the game for A. Len
1:12.0,,,29-26,2,C. Jefferson makes 2-pt shot at rim (assist by E. Bledsoe)
0:51.0,A. Crabbe misses 2-pt shot from 16 ft,,29-26,,
0:50.0,Offensive rebound by A. Crabbe,,29-26,,
0:48.0,A. Crabbe makes 2-pt shot from 3 ft,2,31-26,,
0:32.0,,,31-26,,E. Bledsoe misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by D. Lillard,,31-26,,
0:10.0,E. Davis makes 2-pt shot at rim (assist by G. Henderson),2,33-26,,
0:10.0,Shooting foul by C. Jefferson (drawn by E. Davis),,33-26,,
0:10.0,E. Davis misses free throw 1 of 1,,33-26,,
0:08.0,,,33-26,,Defensive rebound by M. Teletovic
0:00.0,,,33-26,,E. Bledsoe misses 3-pt shot from 24 ft
0:00.0,,,33-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by A. Crabbe (bad pass; steal by B. Knight),,33-26,,
11:34.0,,,33-29,3,D. Booker makes 3-pt shot from 24 ft (assist by B. Knight)
11:15.0,G. Henderson misses 2-pt shot from 9 ft,,33-29,,
11:14.0,,,33-29,,Defensive rebound by M. Teletovic
11:01.0,,,33-32,3,M. Teletovic makes 3-pt shot from 23 ft (assist by B. Knight)
10:36.0,M. Leonard misses 2-pt shot from 6 ft,,33-32,,
10:36.0,Offensive rebound by E. Davis,,33-32,,
10:36.0,E. Davis misses 2-pt shot from 3 ft (block by T. Warren),,33-32,,
10:36.0,,,33-32,,Defensive rebound by M. Teletovic
10:29.0,,,33-32,,Turnover by M. Teletovic (lost ball; steal by A. Crabbe)
10:26.0,C. McCollum misses 2-pt shot from 1 ft (block by D. Booker),,33-32,,
10:25.0,Offensive rebound by A. Crabbe,,33-32,,
10:25.0,A. Crabbe makes 2-pt shot at rim,2,35-32,,
10:00.0,,,35-32,,M. Teletovic misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by E. Davis,,35-32,,
9:50.0,G. Henderson misses 3-pt shot from 24 ft,,35-32,,
9:50.0,,,35-32,,Defensive rebound by B. Knight
9:45.0,,,35-32,,B. Knight misses 2-pt shot from 1 ft (block by G. Henderson)
9:45.0,,,35-32,,Offensive rebound by Team
9:38.0,,,35-35,3,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight)
9:20.0,C. McCollum makes 3-pt shot from 24 ft,3,38-35,,
9:20.0,Shooting foul by B. Knight (drawn by C. McCollum),,38-35,,
9:20.0,C. McCollum makes free throw 1 of 1,1,39-35,,
9:06.0,,,39-35,,Turnover by B. Knight (bad pass)
8:51.0,C. McCollum makes 2-pt shot from 6 ft,2,41-35,,
8:32.0,,,41-37,2,C. Jefferson makes 2-pt shot at rim (assist by D. Booker)
8:10.0,E. Davis makes 2-pt shot from 1 ft (assist by G. Henderson),2,43-37,,
7:59.0,,,43-37,,B. Knight misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by E. Davis,,43-37,,
7:46.0,A. Crabbe misses 3-pt shot from 24 ft,,43-37,,
7:46.0,,,43-37,,Defensive rebound by C. Jefferson
7:35.0,,,43-40,3,D. Booker makes 3-pt shot from 24 ft
7:13.0,G. Henderson makes 3-pt shot from 24 ft (assist by M. Leonard),3,46-40,,
7:07.0,,,46-40,,Phoenix full timeout
7:07.0,,,46-40,,R. Price enters the game for M. Teletovic
7:07.0,,,46-40,,A. Len enters the game for D. Booker
7:07.0,,,46-40,,J. Leuer enters the game for C. Jefferson
6:49.0,,,46-43,3,J. Leuer makes 3-pt shot from 23 ft (assist by B. Knight)
6:27.0,M. Leonard misses 2-pt shot at rim,,46-43,,
6:27.0,,,46-43,,Defensive rebound by J. Leuer
6:21.0,Personal foul by M. Leonard (drawn by B. Knight),,46-43,,
6:21.0,M. Harkless enters the game for A. Crabbe,,46-43,,
6:13.0,,,46-43,,Shooting foul by E. Davis (drawn by A. Len)
6:13.0,,,46-44,1,A. Len makes free throw 1 of 2
6:13.0,,,46-44,,A. Len misses free throw 2 of 2
6:12.0,Defensive rebound by M. Harkless,,46-44,,
5:51.0,M. Leonard misses 3-pt shot from 24 ft,,46-44,,
5:50.0,Offensive rebound by E. Davis,,46-44,,
5:47.0,E. Davis makes 2-pt shot from 5 ft,2,48-44,,
5:33.0,,,48-44,,Shooting foul by C. McCollum (drawn by A. Len)
5:33.0,Official timeout,,48-44,,
5:33.0,,,48-44,,E. Bledsoe enters the game for T. Warren
5:33.0,D. Lillard enters the game for C. McCollum,,48-44,,
5:33.0,A. Aminu enters the game for E. Davis,,48-44,,
5:33.0,M. Plumlee enters the game for M. Leonard,,48-44,,
5:33.0,,,48-45,1,A. Len makes free throw 1 of 2
5:33.0,,,48-46,1,A. Len makes free throw 2 of 2
5:16.0,G. Henderson misses 2-pt shot from 7 ft,,48-46,,
5:14.0,,,48-46,,Defensive rebound by J. Leuer
4:57.0,,,48-49,3,R. Price makes 3-pt shot from 24 ft (assist by B. Knight)
4:45.0,M. Harkless misses 2-pt shot from 2 ft (block by A. Len),,48-49,,
4:44.0,,,48-49,,Defensive rebound by A. Len
4:37.0,,,48-51,2,E. Bledsoe makes 2-pt shot from 5 ft
4:26.0,D. Lillard makes 2-pt shot from 1 ft,2,50-51,,
4:01.0,,,50-54,3,R. Price makes 3-pt shot from 23 ft (assist by E. Bledsoe)
3:41.0,G. Henderson makes 3-pt shot from 23 ft (assist by M. Plumlee),3,53-54,,
3:28.0,,,53-54,,B. Knight misses 3-pt shot from 24 ft
3:27.0,,,53-54,,Offensive rebound by E. Bledsoe
3:20.0,,,53-54,,Shooting foul by D. Lillard (drawn by A. Len)
3:20.0,,,53-55,1,A. Len makes free throw 1 of 2
3:20.0,,,53-55,,A. Len misses free throw 2 of 2
3:20.0,Defensive rebound by D. Lillard,,53-55,,
3:09.0,,,53-55,,Personal foul by B. Knight (drawn by G. Henderson)
3:09.0,Portland full timeout,,53-55,,
3:04.0,Turnover by A. Aminu (traveling),,53-55,,
2:48.0,,,53-55,,B. Knight misses 2-pt shot from 8 ft
2:47.0,Defensive rebound by A. Aminu,,53-55,,
2:41.0,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless),2,55-55,,
2:14.0,,,55-55,,E. Bledsoe misses 2-pt shot from 18 ft
2:13.0,Defensive rebound by A. Aminu,,55-55,,
2:07.0,M. Harkless makes 2-pt shot at rim (assist by A. Aminu),2,57-55,,
1:51.0,,,57-55,,Shooting foul by M. Plumlee (drawn by A. Len)
1:51.0,,,57-55,,A. Len misses free throw 1 of 2
1:51.0,,,57-55,,Offensive rebound by Team
1:51.0,A. Crabbe enters the game for G. Henderson,,57-55,,
1:51.0,,,57-55,,D. Booker enters the game for J. Leuer
1:51.0,,,57-55,,M. Teletovic enters the game for B. Knight
1:51.0,,,57-56,1,A. Len makes free throw 2 of 2
1:37.0,Turnover by D. Lillard (bad pass; steal by R. Price),,57-56,,
1:15.0,,,57-58,2,E. Bledsoe makes 2-pt shot from 17 ft
1:01.0,D. Lillard misses 2-pt shot from 4 ft,,57-58,,
1:00.0,,,57-58,,Defensive rebound by M. Teletovic
0:52.0,,,57-58,,M. Teletovic misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by A. Aminu,,57-58,,
0:45.0,A. Crabbe misses 2-pt shot from 4 ft,,57-58,,
0:44.0,,,57-58,,Defensive rebound by R. Price
0:32.0,,,57-60,2,E. Bledsoe makes 2-pt shot from 5 ft
0:32.0,,,57-60,,Shooting foul by A. Aminu (drawn by E. Bledsoe)
0:32.0,C. McCollum enters the game for M. Harkless,,57-60,,
0:32.0,,,57-61,1,E. Bledsoe makes free throw 1 of 1
0:12.0,D. Lillard misses 2-pt shot from 1 ft (block by E. Bledsoe),,57-61,,
0:09.0,Offensive rebound by A. Aminu,,57-61,,
0:09.0,A. Aminu misses 2-pt shot from 1 ft,,57-61,,
0:08.0,,,57-61,,Defensive rebound by M. Teletovic
0:04.0,,,57-61,,M. Teletovic misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by A. Aminu,,57-61,,
0:01.0,A. Aminu misses 3-pt shot from 71 ft,,57-61,,
0:00.0,Offensive rebound by Team,,57-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,C. McCollum misses 3-pt shot from 24 ft,,57-61,,
11:37.0,,,57-61,,Defensive rebound by A. Len
11:19.0,,,57-63,2,J. Leuer makes 2-pt shot from 12 ft
11:03.0,D. Lillard makes 2-pt shot from 19 ft (assist by N. Vonleh),2,59-63,,
10:52.0,,,59-63,,B. Knight misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by N. Vonleh,,59-63,,
10:42.0,D. Lillard makes 2-pt shot from 18 ft,2,61-63,,
10:27.0,,,61-65,2,A. Len makes 2-pt shot from 16 ft (assist by P. Tucker)
10:00.0,C. McCollum misses 3-pt shot from 24 ft,,61-65,,
9:59.0,,,61-65,,Defensive rebound by E. Bledsoe
9:45.0,,,61-65,,P. Tucker misses 2-pt shot from 16 ft
9:43.0,,,61-65,,Offensive rebound by A. Len
9:39.0,,,61-65,,A. Len misses 2-pt shot from 4 ft (block by A. Aminu)
9:35.0,Defensive rebound by C. McCollum,,61-65,,
9:32.0,A. Aminu makes 2-pt shot at rim (assist by C. McCollum),2,63-65,,
9:25.0,,,63-65,,A. Len misses 2-pt shot at rim
9:24.0,,,63-65,,Offensive rebound by P. Tucker
9:24.0,,,63-67,2,P. Tucker makes 2-pt shot at rim
9:02.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,66-67,,
8:44.0,,,66-67,,Turnover by B. Knight (lost ball; steal by C. McCollum)
8:37.0,D. Lillard misses 3-pt shot from 23 ft,,66-67,,
8:37.0,Offensive rebound by A. Aminu,,66-67,,
8:31.0,M. Plumlee makes 2-pt shot from 6 ft,2,68-67,,
8:03.0,,,68-67,,B. Knight misses 3-pt shot from 24 ft
8:03.0,,,68-67,,Offensive rebound by Team
8:03.0,,,68-67,,Turnover by Team (shot clock)
7:47.0,C. McCollum makes 2-pt shot from 18 ft,2,70-67,,
7:30.0,,,70-67,,Turnover by J. Leuer (bad pass; steal by A. Aminu)
7:29.0,,,70-67,,Personal foul by P. Tucker (drawn by D. Lillard)
7:29.0,,,70-67,,R. Price enters the game for B. Knight
7:10.0,C. McCollum makes 3-pt shot from 25 ft,3,73-67,,
6:57.0,,,73-67,,E. Bledsoe misses 2-pt shot from 3 ft
6:56.0,,,73-67,,Offensive rebound by A. Len
6:53.0,,,73-67,,A. Len misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by M. Plumlee,,73-67,,
6:43.0,A. Aminu misses 2-pt shot from 1 ft,,73-67,,
6:43.0,,,73-67,,Defensive rebound by J. Leuer
6:30.0,,,73-69,2,E. Bledsoe makes 2-pt shot from 1 ft
6:15.0,,,73-69,,M. Teletovic enters the game for A. Len
6:08.0,D. Lillard misses 3-pt shot from 24 ft,,73-69,,
6:08.0,,,73-69,,Defensive rebound by P. Tucker
6:02.0,,,73-72,3,E. Bledsoe makes 3-pt shot from 23 ft
5:38.0,C. McCollum misses 2-pt shot from 17 ft,,73-72,,
5:34.0,,,73-72,,Defensive rebound by E. Bledsoe
5:14.0,,,73-72,,M. Teletovic misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by A. Aminu,,73-72,,
4:58.0,,,73-72,,Phoenix full timeout
4:58.0,G. Henderson enters the game for A. Aminu,,73-72,,
4:58.0,A. Crabbe enters the game for C. McCollum,,73-72,,
4:52.0,Shooting foul by J. Leuer (drawn by D. Lillard),,73-72,,
4:52.0,D. Lillard misses free throw 1 of 2,,73-72,,
4:52.0,Offensive rebound by Team,,73-72,,
4:52.0,D. Lillard makes free throw 2 of 2,1,74-72,,
4:27.0,,,74-74,2,J. Leuer makes 2-pt shot from 10 ft (assist by M. Teletovic)
4:10.0,Turnover by A. Crabbe (bad pass),,74-74,,
4:10.0,M. Leonard enters the game for N. Vonleh,,74-74,,
4:10.0,E. Davis enters the game for M. Plumlee,,74-74,,
3:58.0,,,74-74,,E. Bledsoe misses 2-pt shot from 1 ft
3:56.0,Defensive rebound by E. Davis,,74-74,,
3:53.0,D. Lillard misses 2-pt shot from 3 ft (block by R. Price),,74-74,,
3:53.0,Offensive rebound by Team,,74-74,,
3:41.0,M. Leonard misses 3-pt shot from 24 ft,,74-74,,
3:41.0,,,74-74,,Defensive rebound by Team
3:32.0,,,74-74,,M. Teletovic misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by D. Lillard,,74-74,,
3:21.0,A. Crabbe misses 3-pt shot from 24 ft,,74-74,,
3:19.0,Offensive rebound by E. Davis,,74-74,,
3:19.0,E. Davis misses 2-pt shot from 1 ft,,74-74,,
3:18.0,,,74-74,,Defensive rebound by P. Tucker
3:14.0,Personal foul by G. Henderson (drawn by E. Bledsoe),,74-74,,
3:08.0,,,74-74,,Shooting foul by M. Leonard (drawn by E. Bledsoe)
3:08.0,,,74-74,,E. Bledsoe misses free throw 1 of 2
3:08.0,,,74-74,,Offensive rebound by Team
3:08.0,,,74-74,,E. Bledsoe misses free throw 2 of 2
3:07.0,Defensive rebound by M. Leonard,,74-74,,
2:53.0,M. Leonard makes 2-pt shot from 13 ft (assist by D. Lillard),2,76-74,,
2:35.0,,,76-76,2,M. Teletovic makes 2-pt shot from 3 ft
2:21.0,Turnover by M. Leonard (bad pass; steal by R. Price),,76-76,,
2:18.0,,,76-76,,Shooting foul by D. Lillard (drawn by M. Teletovic)
2:18.0,Portland full timeout,,76-76,,
2:18.0,,,76-76,,D. Booker enters the game for P. Tucker
2:18.0,,,76-76,,C. Jefferson enters the game for J. Leuer
2:18.0,,,76-76,,Violation by Team (delay of game)
2:18.0,,,76-77,1,M. Teletovic makes free throw 1 of 2
2:18.0,,,76-77,,M. Teletovic misses free throw 2 of 2
2:17.0,Defensive rebound by A. Crabbe,,76-77,,
1:53.0,D. Lillard misses 3-pt shot from 25 ft,,76-77,,
1:52.0,Offensive rebound by E. Davis,,76-77,,
1:48.0,E. Davis misses 2-pt shot from 2 ft,,76-77,,
1:48.0,Offensive rebound by M. Leonard,,76-77,,
1:46.0,Turnover by M. Leonard (bad pass; steal by E. Bledsoe),,76-77,,
1:40.0,,,76-79,2,E. Bledsoe makes 2-pt shot from 19 ft
1:22.0,A. Crabbe makes 2-pt shot from 9 ft (assist by D. Lillard),2,78-79,,
1:00.0,,,78-82,3,E. Bledsoe makes 3-pt shot from 24 ft
0:50.0,D. Lillard misses 2-pt shot from 3 ft,,78-82,,
0:49.0,,,78-82,,Defensive rebound by E. Bledsoe
0:43.0,,,78-82,,E. Bledsoe misses 3-pt shot from 22 ft
0:40.0,Defensive rebound by D. Lillard,,78-82,,
0:34.0,D. Lillard misses 2-pt shot at rim (block by C. Jefferson),,78-82,,
0:33.0,Offensive rebound by E. Davis,,78-82,,
0:31.0,E. Davis misses 2-pt shot from 2 ft,,78-82,,
0:30.0,,,78-82,,Defensive rebound by C. Jefferson
0:07.0,,,78-82,,E. Bledsoe misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by E. Davis,,78-82,,
0:01.0,G. Henderson misses 3-pt shot from 41 ft,,78-82,,
0:00.0,Offensive rebound by Team,,78-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,78-82,,M. Teletovic misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by G. Henderson,,78-82,,
11:34.0,G. Henderson misses 2-pt shot from 9 ft,,78-82,,
11:34.0,,,78-82,,Defensive rebound by B. Knight
11:27.0,,,78-82,,M. Teletovic misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by A. Crabbe,,78-82,,
11:04.0,E. Davis makes 2-pt shot at rim (assist by A. Crabbe),2,80-82,,
10:43.0,,,80-82,,C. Jefferson misses 2-pt shot from 8 ft
10:43.0,Defensive rebound by G. Henderson,,80-82,,
10:32.0,A. Crabbe makes 2-pt shot from 18 ft (assist by M. Leonard),2,82-82,,
10:16.0,,,82-82,,B. Knight misses 2-pt shot from 18 ft
10:16.0,Defensive rebound by M. Leonard,,82-82,,
10:03.0,G. Henderson misses 3-pt shot from 24 ft,,82-82,,
10:02.0,,,82-82,,Defensive rebound by B. Knight
9:38.0,,,82-82,,R. Price misses 3-pt shot from 26 ft (block by A. Crabbe)
9:38.0,,,82-82,,Offensive rebound by Team
9:37.0,,,82-82,,Turnover by Team (shot clock)
9:31.0,,,82-82,,Personal foul by R. Price (drawn by C. McCollum)
9:31.0,,,82-82,,T. Warren enters the game for R. Price
9:31.0,,,82-82,,J. Leuer enters the game for C. Jefferson
9:20.0,M. Leonard misses 3-pt shot from 24 ft,,82-82,,
9:20.0,,,82-82,,Defensive rebound by J. Leuer
9:08.0,,,82-85,3,M. Teletovic makes 3-pt shot from 25 ft (assist by B. Knight)
8:47.0,A. Crabbe misses 3-pt shot from 24 ft,,82-85,,
8:46.0,Offensive rebound by G. Henderson,,82-85,,
8:38.0,G. Henderson makes 2-pt shot from 3 ft,2,84-85,,
8:34.0,Personal foul by A. Crabbe (drawn by T. Warren),,84-85,,
8:34.0,Official timeout,,84-85,,
8:34.0,A. Aminu enters the game for M. Leonard,,84-85,,
8:34.0,,,84-85,,T. Warren misses free throw 1 of 2
8:34.0,,,84-85,,Offensive rebound by Team
8:34.0,,,84-86,1,T. Warren makes free throw 2 of 2
8:13.0,Shooting foul by M. Teletovic (drawn by E. Davis),,84-86,,
8:13.0,E. Davis makes free throw 1 of 2,1,85-86,,
8:13.0,,,85-86,,A. Len enters the game for M. Teletovic
8:13.0,E. Davis misses free throw 2 of 2,,85-86,,
8:12.0,,,85-86,,Defensive rebound by J. Leuer
7:55.0,,,85-86,,T. Warren misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by A. Crabbe,,85-86,,
7:45.0,C. McCollum makes 2-pt shot from 8 ft,2,87-86,,
7:34.0,Def 3 sec tech foul by E. Davis,,87-86,,
7:34.0,,,87-87,1,B. Knight makes technical free throw
7:19.0,,,87-87,,Turnover by Team (shot clock)
7:05.0,C. McCollum makes 2-pt shot from 16 ft,2,89-87,,
6:50.0,,,89-87,,D. Booker misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by G. Henderson,,89-87,,
6:39.0,G. Henderson misses 2-pt shot from 17 ft,,89-87,,
6:37.0,,,89-87,,Defensive rebound by J. Leuer
6:23.0,,,89-89,2,T. Warren makes 2-pt shot from 2 ft (assist by B. Knight)
6:00.0,A. Aminu makes 3-pt shot from 22 ft (assist by C. McCollum),3,92-89,,
5:53.0,,,92-89,,Phoenix full timeout
5:53.0,D. Lillard enters the game for G. Henderson,,92-89,,
5:53.0,,,92-89,,E. Bledsoe enters the game for J. Leuer
5:53.0,,,92-89,,P. Tucker enters the game for D. Booker
5:31.0,,,92-89,,E. Bledsoe misses 2-pt shot from 9 ft
5:31.0,Defensive rebound by Team,,92-89,,
5:16.0,A. Crabbe makes 2-pt shot from 17 ft (assist by C. McCollum),2,94-89,,
4:55.0,,,94-89,,E. Bledsoe misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by D. Lillard,,94-89,,
4:47.0,A. Aminu misses 3-pt shot from 24 ft,,94-89,,
4:46.0,,,94-89,,Defensive rebound by T. Warren
4:38.0,,,94-89,,B. Knight misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by A. Aminu,,94-89,,
4:15.0,C. McCollum makes 3-pt shot from 24 ft,3,97-89,,
4:14.0,,,97-89,,Phoenix full timeout
4:14.0,,,97-89,,R. Price enters the game for A. Len
4:14.0,,,97-89,,J. Leuer enters the game for B. Knight
4:14.0,,,97-89,,M. Teletovic enters the game for T. Warren
4:14.0,M. Plumlee enters the game for E. Davis,,97-89,,
4:06.0,,,97-89,,E. Bledsoe misses 2-pt shot from 1 ft
4:06.0,Defensive rebound by Team,,97-89,,
3:48.0,M. Plumlee makes 2-pt shot from 1 ft,2,99-89,,
3:32.0,,,99-89,,Turnover by R. Price (lost ball; steal by C. McCollum)
3:12.0,D. Lillard makes 3-pt shot from 25 ft,3,102-89,,
3:02.0,,,102-89,,Shooting foul by M. Plumlee (drawn by E. Bledsoe)
3:02.0,,,102-90,1,E. Bledsoe makes free throw 1 of 2
3:02.0,,,102-90,,D. Booker enters the game for J. Leuer
3:02.0,,,102-91,1,E. Bledsoe makes free throw 2 of 2
2:40.0,D. Lillard makes 2-pt shot from 19 ft,2,104-91,,
2:27.0,,,104-94,3,E. Bledsoe makes 3-pt shot from 24 ft
2:19.0,Portland full timeout,,104-94,,
2:19.0,,,104-94,,B. Knight enters the game for P. Tucker
2:04.0,D. Lillard misses 3-pt shot from 25 ft,,104-94,,
2:04.0,,,104-94,,Defensive rebound by B. Knight
1:56.0,,,104-94,,Turnover by E. Bledsoe (bad pass; steal by A. Aminu)
