time,Washington,pts.away,score,pts.home,LA Clippers
1:09.0,,,20-30,,A. Rivers misses 2-pt shot from 13 ft
1:07.0,Defensive rebound by N. Hilario,,20-30,,
1:02.0,G. Temple misses 2-pt shot from 1 ft,,20-30,,
1:00.0,,,20-30,,Defensive rebound by D. Jordan
0:56.0,,,20-30,,J. Green misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by N. Hilario,,20-30,,
0:49.0,R. Sessions misses 2-pt shot at rim (block by D. Jordan),,20-30,,
0:46.0,Offensive rebound by R. Sessions,,20-30,,
0:44.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Dudley),3,23-30,,
0:30.0,,,23-33,3,J. Crawford makes 3-pt shot from 28 ft (assist by A. Rivers)
0:17.0,J. Dudley misses 2-pt shot from 9 ft,,23-33,,
0:14.0,,,23-33,,Defensive rebound by D. Jordan
0:03.0,,,23-33,,J. Crawford misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by O. Porter,,23-33,,
0:01.0,O. Porter misses 3-pt shot from 68 ft,,23-33,,
0:00.0,Offensive rebound by Team,,23-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-33,,Inbound foul by J. Crawford
11:48.0,G. Temple misses free throw 1 of 2,,23-33,,
11:48.0,Offensive rebound by Team,,23-33,,
11:48.0,G. Temple makes free throw 2 of 2,1,24-33,,
11:35.0,,,24-33,,Turnover by J. Green (lost ball; steal by G. Temple)
11:29.0,G. Temple makes 2-pt shot at rim,2,26-33,,
11:15.0,Personal foul by J. Dudley,,26-33,,
11:07.0,,,26-35,2,C. Aldrich makes 2-pt shot from 3 ft (assist by A. Rivers)
10:52.0,N. Hilario misses 2-pt shot from 16 ft,,26-35,,
10:51.0,,,26-35,,Defensive rebound by W. Johnson
10:40.0,,,26-35,,W. Johnson misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by J. Dudley,,26-35,,
10:34.0,,,26-35,,Violation by C. Aldrich (kicked ball)
10:25.0,J. Wall misses 3-pt shot from 23 ft,,26-35,,
10:24.0,,,26-35,,Defensive rebound by J. Crawford
10:16.0,,,26-35,,J. Crawford misses 2-pt shot from 19 ft
10:14.0,Defensive rebound by G. Temple,,26-35,,
10:10.0,,,26-35,,Personal foul by W. Johnson
9:58.0,G. Temple misses 3-pt shot from 24 ft,,26-35,,
9:57.0,,,26-35,,Defensive rebound by J. Crawford
9:42.0,,,26-37,2,A. Rivers makes 2-pt shot from 20 ft
9:35.0,Turnover by J. Wall (lost ball; steal by C. Aldrich),,26-37,,
9:30.0,,,26-39,2,J. Crawford makes 2-pt shot from 1 ft (assist by A. Rivers)
9:30.0,Washington full timeout,,26-39,,
9:30.0,B. Beal enters the game for R. Sessions,,26-39,,
9:18.0,,,26-39,,Personal block foul by C. Aldrich
9:09.0,G. Temple misses 3-pt shot from 24 ft,,26-39,,
9:09.0,,,26-39,,Defensive rebound by W. Johnson
8:54.0,,,26-39,,Turnover by J. Green (lost ball; steal by J. Wall)
8:47.0,J. Wall makes 2-pt shot from 1 ft,2,28-39,,
8:28.0,,,28-41,2,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford)
8:24.0,Shooting foul by C. Aldrich (drawn by J. Wall),,28-41,,
8:24.0,J. Wall makes free throw 1 of 2,1,29-41,,
8:24.0,M. Thornton enters the game for G. Temple,,29-41,,
8:24.0,,,29-41,,B. Griffin enters the game for C. Aldrich
8:24.0,J. Wall makes free throw 2 of 2,1,30-41,,
8:13.0,,,30-41,,J. Crawford misses 2-pt shot from 19 ft
8:11.0,Defensive rebound by N. Hilario,,30-41,,
8:06.0,J. Wall misses 2-pt shot from 19 ft,,30-41,,
8:05.0,Offensive rebound by B. Beal,,30-41,,
8:00.0,M. Thornton misses 3-pt shot from 23 ft,,30-41,,
8:00.0,Offensive rebound by J. Dudley,,30-41,,
7:55.0,B. Beal misses 3-pt shot from 23 ft,,30-41,,
7:53.0,,,30-41,,Defensive rebound by B. Griffin
7:41.0,,,30-41,,J. Green misses 2-pt shot from 10 ft (block by J. Dudley)
7:40.0,Defensive rebound by J. Wall,,30-41,,
7:34.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,32-41,,
7:13.0,,,32-41,,Turnover by J. Green (bad pass)
7:13.0,,,32-41,,J. Redick enters the game for J. Crawford
7:13.0,,,32-41,,C. Paul enters the game for J. Green
7:04.0,J. Dudley misses 2-pt shot from 20 ft,,32-41,,
7:04.0,,,32-41,,Defensive rebound by B. Griffin
6:52.0,,,32-41,,A. Rivers misses 2-pt shot from 4 ft
6:49.0,,,32-41,,Offensive rebound by A. Rivers
6:49.0,,,32-43,2,A. Rivers makes 2-pt shot at rim
6:41.0,Shooting foul by B. Griffin (drawn by B. Beal),,32-43,,
6:41.0,B. Beal makes free throw 1 of 2,1,33-43,,
6:41.0,M. Morris enters the game for J. Dudley,,33-43,,
6:41.0,,,33-43,,D. Jordan enters the game for W. Johnson
6:41.0,B. Beal makes free throw 2 of 2,1,34-43,,
6:26.0,Personal foul by M. Thornton,,34-43,,
6:26.0,,,34-43,,L. Mbah a Moute enters the game for A. Rivers
6:19.0,,,34-45,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:05.0,,,34-45,,Personal foul by D. Jordan
6:05.0,N. Hilario misses free throw 1 of 2,,34-45,,
6:05.0,Offensive rebound by Team,,34-45,,
6:05.0,N. Hilario misses free throw 2 of 2,,34-45,,
6:03.0,,,34-45,,Defensive rebound by J. Redick
5:58.0,Personal foul by M. Thornton,,34-45,,
5:58.0,Official timeout,,34-45,,
5:58.0,M. Gortat enters the game for N. Hilario,,34-45,,
5:48.0,,,34-47,2,C. Paul makes 2-pt shot from 18 ft
5:26.0,B. Beal misses 2-pt shot from 18 ft,,34-47,,
5:26.0,,,34-47,,Defensive rebound by L. Mbah a Moute
5:11.0,,,34-47,,Turnover by B. Griffin (lost ball; steal by B. Beal)
5:03.0,J. Wall misses 3-pt shot from 24 ft,,34-47,,
5:02.0,,,34-47,,Defensive rebound by C. Paul
4:55.0,,,34-47,,Shooting foul by B. Beal (drawn by L. Mbah a Moute)
4:55.0,,,34-47,,L. Mbah a Moute misses free throw 1 of 2
4:55.0,,,34-47,,Offensive rebound by Team
4:55.0,,,34-48,1,L. Mbah a Moute makes free throw 2 of 2
4:42.0,M. Morris misses 3-pt shot from 24 ft,,34-48,,
4:41.0,,,34-48,,Defensive rebound by D. Jordan
4:25.0,,,34-51,3,J. Redick makes 3-pt shot from 25 ft
4:08.0,M. Thornton makes 3-pt shot from 25 ft (assist by B. Beal),3,37-51,,
4:00.0,Personal foul by J. Wall,,37-51,,
4:00.0,,,37-51,,L. Mbah a Moute misses free throw 1 of 2
4:00.0,,,37-51,,Offensive rebound by Team
4:00.0,R. Sessions enters the game for M. Thornton,,37-51,,
4:00.0,O. Porter enters the game for J. Wall,,37-51,,
4:00.0,,,37-51,,W. Johnson enters the game for B. Griffin
4:00.0,,,37-52,1,L. Mbah a Moute makes free throw 2 of 2
3:51.0,Offensive foul by M. Gortat,,37-52,,
3:51.0,Turnover by M. Gortat (offensive foul),,37-52,,
3:38.0,,,37-52,,J. Redick misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by M. Morris,,37-52,,
3:20.0,M. Gortat makes 2-pt shot from 11 ft (assist by R. Sessions),2,39-52,,
3:06.0,,,39-54,2,C. Paul makes 2-pt shot from 16 ft
2:51.0,B. Beal misses 2-pt shot from 10 ft,,39-54,,
2:49.0,Offensive rebound by R. Sessions,,39-54,,
2:48.0,Shooting foul by L. Mbah a Moute (drawn by R. Sessions),,39-54,,
2:48.0,,,39-54,,LA Clippers full timeout
2:48.0,,,39-54,,J. Crawford enters the game for L. Mbah a Moute
2:48.0,R. Sessions makes free throw 1 of 2,1,40-54,,
2:48.0,R. Sessions misses free throw 2 of 2,,40-54,,
2:46.0,Offensive rebound by B. Beal,,40-54,,
2:35.0,M. Morris misses 2-pt shot from 1 ft,,40-54,,
2:34.0,Offensive rebound by M. Morris,,40-54,,
2:29.0,M. Gortat makes 2-pt shot from 12 ft (assist by M. Morris),2,42-54,,
2:05.0,,,42-56,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
1:47.0,B. Beal misses 2-pt shot from 10 ft,,42-56,,
1:45.0,Offensive rebound by M. Gortat,,42-56,,
1:37.0,R. Sessions makes 2-pt shot from 1 ft,2,44-56,,
1:13.0,,,44-56,,C. Paul misses 2-pt shot from 22 ft
1:11.0,Defensive rebound by R. Sessions,,44-56,,
1:04.0,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions),2,46-56,,
0:50.0,,,46-56,,Turnover by C. Paul (lost ball; steal by B. Beal)
0:47.0,Shooting foul by C. Paul (drawn by B. Beal),,46-56,,
0:47.0,B. Beal makes free throw 1 of 2,1,47-56,,
0:47.0,N. Hilario enters the game for M. Gortat,,47-56,,
0:47.0,,,47-56,,C. Aldrich enters the game for D. Jordan
0:47.0,,,47-56,,A. Rivers enters the game for W. Johnson
0:47.0,B. Beal misses free throw 2 of 2,,47-56,,
0:44.0,Offensive rebound by N. Hilario,,47-56,,
0:44.0,N. Hilario makes 2-pt shot from 1 ft,2,49-56,,
0:37.0,,,49-58,2,J. Crawford makes 2-pt shot from 1 ft (assist by C. Paul)
0:30.0,B. Beal misses 2-pt shot from 5 ft,,49-58,,
0:30.0,,,49-58,,Defensive rebound by Team
0:30.0,Loose ball foul by N. Hilario,,49-58,,
0:30.0,,,49-59,1,J. Redick makes free throw 1 of 2
0:30.0,,,49-59,,W. Johnson enters the game for C. Paul
0:30.0,,,49-60,1,J. Redick makes free throw 2 of 2
0:23.0,N. Hilario misses 2-pt shot from 1 ft,,49-60,,
0:22.0,Offensive rebound by N. Hilario,,49-60,,
0:20.0,N. Hilario misses 2-pt shot from 1 ft,,49-60,,
0:20.0,,,49-60,,Defensive rebound by C. Aldrich
0:20.0,,,49-60,,LA Clippers full timeout
0:20.0,G. Temple enters the game for N. Hilario,,49-60,,
0:20.0,,,49-60,,C. Paul enters the game for W. Johnson
0:02.0,,,49-60,,A. Rivers misses 3-pt shot from 24 ft
0:00.0,,,49-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Wall misses 2-pt shot from 18 ft,,49-60,,
11:44.0,,,49-60,,Defensive rebound by D. Jordan
11:26.0,,,49-60,,C. Paul misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by M. Morris,,49-60,,
11:14.0,M. Morris makes 2-pt shot from 9 ft (assist by B. Beal),2,51-60,,
10:58.0,,,51-60,,J. Redick misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by O. Porter,,51-60,,
10:42.0,M. Gortat misses 2-pt shot from 6 ft,,51-60,,
10:42.0,,,51-60,,Defensive rebound by Team
10:29.0,,,51-60,,C. Paul misses 2-pt shot from 16 ft
10:27.0,Defensive rebound by M. Morris,,51-60,,
10:19.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,54-60,,
9:59.0,,,54-60,,B. Griffin misses 2-pt shot from 5 ft
9:57.0,Defensive rebound by M. Gortat,,54-60,,
9:47.0,M. Morris misses 2-pt shot from 20 ft,,54-60,,
9:46.0,,,54-60,,Defensive rebound by L. Mbah a Moute
9:44.0,Personal block foul by M. Morris,,54-60,,
9:30.0,,,54-60,,J. Redick misses 2-pt shot from 21 ft
9:30.0,Defensive rebound by M. Gortat,,54-60,,
9:20.0,O. Porter makes 2-pt shot from 21 ft (assist by J. Wall),2,56-60,,
9:01.0,,,56-60,,C. Paul misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by O. Porter,,56-60,,
8:49.0,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall),2,58-60,,
8:49.0,,,58-60,,LA Clippers full timeout
8:26.0,,,58-60,,B. Griffin misses 2-pt shot from 17 ft
8:22.0,Defensive rebound by M. Morris,,58-60,,
8:19.0,Shooting foul by D. Jordan (drawn by M. Gortat),,58-60,,
8:19.0,M. Gortat misses free throw 1 of 2,,58-60,,
8:19.0,Offensive rebound by Team,,58-60,,
8:19.0,M. Gortat makes free throw 2 of 2,1,59-60,,
8:04.0,,,59-60,,Shooting foul by M. Gortat (drawn by D. Jordan)
8:04.0,,,59-60,,D. Jordan misses free throw 1 of 2
8:04.0,,,59-60,,Offensive rebound by Team
8:04.0,,,59-61,1,D. Jordan makes free throw 2 of 2
7:49.0,B. Beal misses 2-pt shot from 15 ft,,59-61,,
7:48.0,,,59-61,,Defensive rebound by C. Paul
7:47.0,,,59-61,,Shooting foul by M. Morris (drawn by B. Griffin)
7:47.0,,,59-62,1,B. Griffin makes free throw 1 of 2
7:47.0,,,59-63,1,B. Griffin makes free throw 2 of 2
7:33.0,J. Wall misses 3-pt shot from 23 ft,,59-63,,
7:32.0,,,59-63,,Defensive rebound by B. Griffin
7:26.0,,,59-66,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
7:03.0,B. Beal misses 3-pt shot from 23 ft,,59-66,,
7:01.0,,,59-66,,Defensive rebound by D. Jordan
6:48.0,,,59-66,,B. Griffin misses 2-pt shot at rim
6:45.0,,,59-66,,Offensive rebound by J. Redick
6:38.0,,,59-68,2,C. Paul makes 2-pt shot from 12 ft
6:38.0,Washington full timeout,,59-68,,
6:38.0,,,59-68,,W. Johnson enters the game for B. Griffin
6:20.0,M. Morris makes 2-pt shot from 11 ft (assist by J. Wall),2,61-68,,
6:01.0,Personal foul by B. Beal,,61-68,,
5:48.0,,,61-70,2,C. Paul makes 2-pt shot from 12 ft
5:26.0,M. Morris misses 2-pt shot from 14 ft,,61-70,,
5:24.0,,,61-70,,Defensive rebound by J. Redick
5:15.0,,,61-70,,J. Redick misses 2-pt shot from 2 ft
5:15.0,,,61-70,,Offensive rebound by D. Jordan
5:15.0,,,61-70,,Shooting foul by B. Beal (drawn by D. Jordan)
5:15.0,,,61-72,2,D. Jordan makes 2-pt shot from 7 ft
5:15.0,,,61-73,1,D. Jordan makes free throw 1 of 1
4:58.0,Jump ball: W. Johnson vs. M. Morris (D. Jordan gains possession),,,,Jump ball: W. Johnson vs. M. Morris (D. Jordan gains possession)
4:58.0,Turnover by B. Beal (lost ball; steal by W. Johnson),,61-73,,
4:45.0,,,61-73,,C. Paul misses 2-pt shot from 9 ft
4:42.0,Defensive rebound by M. Gortat,,61-73,,
4:37.0,O. Porter makes 3-pt shot from 22 ft (assist by B. Beal),3,64-73,,
4:17.0,,,64-75,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
4:04.0,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall),2,66-75,,
3:58.0,,,66-77,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
3:33.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,69-77,,
3:21.0,,,69-77,,W. Johnson misses 3-pt shot from 22 ft
3:20.0,Defensive rebound by M. Gortat,,69-77,,
3:07.0,Turnover by J. Wall (bad pass),,69-77,,
3:07.0,,,69-77,,J. Crawford enters the game for J. Redick
3:07.0,,,69-77,,J. Green enters the game for L. Mbah a Moute
3:07.0,G. Temple enters the game for B. Beal,,69-77,,
2:48.0,,,69-79,2,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul)
2:29.0,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris),2,71-79,,
2:08.0,,,71-79,,Turnover by D. Jordan (lost ball; steal by M. Morris)
1:52.0,J. Wall misses 3-pt shot from 24 ft,,71-79,,
1:52.0,,,71-79,,Defensive rebound by J. Crawford
1:32.0,,,71-79,,C. Paul misses 2-pt shot from 20 ft
1:31.0,,,71-79,,Offensive rebound by D. Jordan
1:31.0,,,71-79,,D. Jordan misses 2-pt shot at rim
1:31.0,,,71-79,,Offensive rebound by D. Jordan
1:31.0,,,71-79,,Shooting foul by M. Gortat (drawn by D. Jordan)
1:31.0,,,71-79,,D. Jordan misses free throw 1 of 2
1:31.0,,,71-79,,Offensive rebound by Team
1:31.0,N. Hilario enters the game for M. Gortat,,71-79,,
1:31.0,,,71-79,,A. Rivers enters the game for C. Paul
1:31.0,,,71-79,,D. Jordan misses free throw 2 of 2
1:30.0,Defensive rebound by O. Porter,,71-79,,
1:24.0,J. Wall misses 2-pt shot from 1 ft (block by W. Johnson),,71-79,,
1:21.0,,,71-79,,Defensive rebound by D. Jordan
1:17.0,Personal foul by G. Temple,,71-79,,
1:17.0,,,71-79,,A. Rivers misses free throw 1 of 2
1:17.0,,,71-79,,Offensive rebound by Team
1:17.0,R. Sessions enters the game for J. Wall,,71-79,,
1:17.0,,,71-79,,C. Aldrich enters the game for D. Jordan
1:17.0,,,71-80,1,A. Rivers makes free throw 2 of 2
0:57.0,O. Porter misses 2-pt shot from 17 ft,,71-80,,
0:56.0,,,71-80,,Defensive rebound by A. Rivers
0:46.0,,,71-80,,J. Crawford misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by N. Hilario,,71-80,,
0:37.0,Turnover by R. Sessions (lost ball; steal by W. Johnson),,71-80,,
0:26.0,,,71-82,2,J. Green makes 2-pt shot from 6 ft (assist by J. Crawford)
0:07.0,,,71-82,,Violation by C. Aldrich (def goaltending)
0:07.0,R. Sessions makes 2-pt shot from 1 ft,2,73-82,,
0:01.0,,,73-82,,Shooting foul by G. Temple (drawn by J. Crawford)
0:01.0,,,73-83,1,J. Crawford makes free throw 1 of 2
0:01.0,,,73-84,1,J. Crawford makes free throw 2 of 2
0:00.0,O. Porter misses 3-pt shot from 41 ft,,73-84,,
0:00.0,Offensive rebound by Team,,73-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,73-84,,Turnover by J. Crawford (lost ball; steal by J. Dudley)
11:29.0,J. Dudley makes 2-pt shot from 19 ft (assist by G. Temple),2,75-84,,
11:14.0,,,75-84,,A. Rivers misses 2-pt shot from 7 ft
11:13.0,,,75-84,,Offensive rebound by A. Rivers
11:10.0,,,75-84,,A. Rivers misses 2-pt shot from 2 ft
11:08.0,,,75-84,,Offensive rebound by C. Aldrich
10:59.0,,,75-84,,Turnover by J. Crawford (lost ball; steal by J. Dudley)
10:50.0,R. Sessions misses 2-pt shot from 4 ft,,75-84,,
10:48.0,Offensive rebound by G. Temple,,75-84,,
10:44.0,G. Temple makes 2-pt shot from 1 ft,2,77-84,,
10:32.0,,,77-84,,A. Rivers misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by J. Dudley,,77-84,,
10:26.0,G. Temple misses 3-pt shot from 23 ft,,77-84,,
10:26.0,,,77-84,,Defensive rebound by A. Rivers
10:26.0,,,77-84,,LA Clippers full timeout
10:26.0,,,77-84,,B. Griffin enters the game for J. Green
10:17.0,,,77-84,,Offensive foul by C. Aldrich
10:17.0,,,77-84,,Turnover by C. Aldrich (offensive foul)
10:09.0,Turnover by J. Dudley (lost ball; steal by A. Rivers),,77-84,,
9:58.0,,,77-84,,Offensive foul by C. Aldrich
9:58.0,,,77-84,,Turnover by C. Aldrich (offensive foul)
9:47.0,Turnover by N. Hilario (traveling),,77-84,,
9:34.0,,,77-84,,Shooting foul by B. Beal (drawn by C. Aldrich)
9:34.0,,,77-85,1,C. Aldrich makes free throw 1 of 2
9:34.0,,,77-86,1,C. Aldrich makes free throw 2 of 2
9:14.0,N. Hilario makes 2-pt shot from 3 ft (assist by R. Sessions),2,79-86,,
9:01.0,,,79-88,2,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford)
8:44.0,Turnover by G. Temple (lost ball; steal by A. Rivers),,79-88,,
8:43.0,Personal take foul by J. Dudley,,79-88,,
8:43.0,J. Wall enters the game for G. Temple,,79-88,,
8:30.0,,,79-88,,W. Johnson misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by N. Hilario,,79-88,,
8:27.0,Turnover by N. Hilario (lost ball; steal by C. Aldrich),,79-88,,
8:19.0,,,79-88,,C. Aldrich misses 2-pt shot from 1 ft
8:18.0,,,79-88,,Offensive rebound by W. Johnson
8:18.0,,,79-88,,W. Johnson misses 2-pt shot at rim
8:16.0,Defensive rebound by R. Sessions,,79-88,,
8:09.0,R. Sessions makes 2-pt shot at rim (assist by J. Wall),2,81-88,,
7:45.0,,,81-88,,B. Griffin misses 2-pt shot from 18 ft
7:43.0,Defensive rebound by J. Wall,,81-88,,
7:35.0,J. Wall misses 2-pt shot from 18 ft,,81-88,,
7:32.0,,,81-88,,Defensive rebound by W. Johnson
7:30.0,Personal foul by N. Hilario,,81-88,,
7:30.0,M. Morris enters the game for J. Dudley,,81-88,,
7:30.0,,,81-88,,D. Jordan enters the game for C. Aldrich
7:15.0,,,81-91,3,A. Rivers makes 3-pt shot from 23 ft (assist by B. Griffin)
7:03.0,B. Beal makes 3-pt shot from 23 ft,3,84-91,,
6:40.0,,,84-94,3,J. Crawford makes 3-pt shot from 23 ft (assist by A. Rivers)
6:26.0,R. Sessions makes 2-pt shot from 7 ft (assist by J. Wall),2,86-94,,
6:26.0,Shooting foul by W. Johnson (drawn by R. Sessions),,86-94,,
6:26.0,,,86-94,,C. Paul enters the game for W. Johnson
6:26.0,R. Sessions makes free throw 1 of 1,1,87-94,,
