time,Houston,pts.away,score,pts.home,Atlanta
4:27.0,,,12-15,,Defensive rebound by T. Sefolosha
4:15.0,,,12-15,,T. Hardaway misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by M. Beasley,,12-15,,
4:04.0,D. Howard makes 2-pt shot from 1 ft,2,14-15,,
3:48.0,Personal foul by J. Terry,,14-15,,
3:48.0,,,14-15,,D. Schroder enters the game for J. Teague
3:36.0,,,14-15,,Shooting foul by M. Beasley (drawn by P. Millsap)
3:36.0,,,14-16,1,P. Millsap makes free throw 1 of 2
3:36.0,,,14-16,,P. Millsap misses free throw 2 of 2
3:33.0,,,14-16,,Offensive rebound by K. Humphries
3:19.0,,,14-16,,K. Humphries misses 2-pt shot from 20 ft
3:18.0,Defensive rebound by D. Howard,,14-16,,
3:11.0,J. Harden misses 3-pt shot from 25 ft,,14-16,,
3:09.0,,,14-16,,Defensive rebound by T. Hardaway
3:03.0,,,14-18,2,K. Humphries makes 2-pt shot at rim (assist by T. Sefolosha)
2:42.0,D. Howard misses 2-pt shot from 10 ft,,14-18,,
2:40.0,,,14-18,,Defensive rebound by K. Humphries
2:20.0,,,14-21,3,T. Hardaway makes 3-pt shot from 22 ft (assist by T. Sefolosha)
2:04.0,Turnover by C. Brewer (lost ball; steal by T. Sefolosha),,14-21,,
1:59.0,,,14-23,2,K. Humphries makes 2-pt shot at rim (assist by T. Sefolosha)
1:41.0,J. Harden makes 2-pt shot at rim,2,16-23,,
1:41.0,,,16-23,,Atlanta full timeout
1:41.0,T. Ariza enters the game for J. Harden,,16-23,,
1:30.0,Personal foul by C. Brewer,,16-23,,
1:25.0,,,16-23,,D. Schroder misses 2-pt shot from 18 ft
1:23.0,Defensive rebound by M. Beasley,,16-23,,
1:18.0,Turnover by M. Beasley (traveling),,16-23,,
1:06.0,,,16-26,3,T. Hardaway makes 3-pt shot from 22 ft (assist by K. Humphries)
0:58.0,C. Brewer misses 2-pt shot from 17 ft,,16-26,,
0:56.0,,,16-26,,Defensive rebound by K. Humphries
0:53.0,,,16-28,2,T. Hardaway makes 2-pt shot at rim (assist by K. Humphries)
0:34.0,D. Howard misses 2-pt shot from 7 ft,,16-28,,
0:32.0,,,16-28,,Defensive rebound by P. Millsap
0:26.0,,,16-28,,D. Schroder misses 2-pt shot from 1 ft
0:24.0,,,16-28,,Offensive rebound by T. Sefolosha
0:02.0,,,16-30,2,T. Sefolosha makes 2-pt shot from 17 ft (assist by D. Schroder)
0:00.0,C. Brewer misses 3-pt shot from 50 ft,,16-30,,
0:00.0,Offensive rebound by Team,,16-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,16-30,,A. Horford misses 2-pt shot from 6 ft
11:36.0,Defensive rebound by M. Beasley,,16-30,,
11:26.0,M. Beasley makes 2-pt shot from 12 ft,2,18-30,,
11:14.0,,,18-30,,A. Horford misses 2-pt shot from 3 ft
11:12.0,Defensive rebound by C. Capela,,18-30,,
11:05.0,M. Beasley makes 2-pt shot from 7 ft (assist by P. Beverley),2,20-30,,
11:05.0,Shooting foul by M. Scott (drawn by M. Beasley),,20-30,,
11:05.0,,,20-30,,K. Korver enters the game for T. Sefolosha
11:05.0,M. Beasley makes free throw 1 of 1,1,21-30,,
11:01.0,Personal foul by P. Beverley,,21-30,,
10:49.0,,,21-32,2,A. Horford makes 2-pt shot at rim (assist by M. Scott)
10:31.0,M. Beasley misses 2-pt shot from 14 ft,,21-32,,
10:29.0,,,21-32,,Defensive rebound by Team
10:23.0,,,21-32,,Turnover by D. Schroder (lost ball; steal by T. Ariza)
10:23.0,,,21-32,,Clear path foul by D. Schroder
10:23.0,T. Ariza makes clear path free throw 1 of 2,1,22-32,,
10:23.0,T. Ariza makes clear path free throw 2 of 2,1,23-32,,
10:09.0,M. Beasley makes 2-pt shot from 16 ft,2,25-32,,
9:51.0,,,25-32,,M. Scott misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by M. Beasley,,25-32,,
9:37.0,M. Beasley misses 2-pt shot from 2 ft,,25-32,,
9:35.0,Offensive rebound by C. Capela,,25-32,,
9:35.0,C. Capela misses 2-pt shot at rim,,25-32,,
9:34.0,Offensive rebound by C. Capela,,25-32,,
9:33.0,C. Capela misses 2-pt shot at rim,,25-32,,
9:32.0,Offensive rebound by C. Capela,,25-32,,
9:32.0,C. Capela misses 2-pt shot at rim,,25-32,,
9:31.0,Offensive rebound by M. Beasley,,25-32,,
9:25.0,Turnover by T. Ariza (lost ball; steal by T. Hardaway),,25-32,,
9:18.0,,,25-32,,Turnover by D. Schroder (bad pass)
9:05.0,Turnover by M. Beasley (palming),,25-32,,
8:45.0,,,25-34,2,A. Horford makes 2-pt shot from 7 ft
8:32.0,M. Beasley makes 2-pt shot from 21 ft,2,27-34,,
8:15.0,,,27-37,3,T. Hardaway makes 3-pt shot from 24 ft (assist by A. Horford)
8:15.0,,,27-37,,Shooting foul by P. Beverley (drawn by T. Hardaway)
8:15.0,Official timeout,,27-37,,
8:15.0,,,27-38,1,T. Hardaway makes free throw 1 of 1
8:03.0,,,27-38,,Personal foul by T. Hardaway
7:54.0,M. Beasley misses 2-pt shot from 19 ft,,27-38,,
7:52.0,,,27-38,,Defensive rebound by T. Hardaway
7:39.0,,,27-38,,A. Horford misses 2-pt shot from 1 ft
7:39.0,,,27-38,,Offensive rebound by A. Horford
7:38.0,,,27-38,,A. Horford misses 2-pt shot from 1 ft
7:37.0,,,27-38,,Offensive rebound by M. Scott
7:37.0,,,27-38,,Shooting foul by M. Beasley (drawn by M. Scott)
7:37.0,,,27-38,,M. Scott misses free throw 1 of 2
7:37.0,,,27-38,,Offensive rebound by Team
7:37.0,J. Harden enters the game for J. Terry,,27-38,,
7:37.0,,,27-38,,J. Teague enters the game for D. Schroder
7:37.0,,,27-38,,K. Bazemore enters the game for T. Hardaway
7:37.0,,,27-39,1,M. Scott makes free throw 2 of 2
7:21.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,29-39,,
7:16.0,,,29-39,,J. Teague misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by M. Beasley,,29-39,,
7:13.0,Shooting foul by K. Korver (drawn by C. Capela),,29-39,,
7:13.0,C. Capela makes free throw 1 of 2,1,30-39,,
7:13.0,D. Motiejunas enters the game for M. Beasley,,30-39,,
7:13.0,C. Capela misses free throw 2 of 2,,30-39,,
7:12.0,,,30-39,,Defensive rebound by K. Korver
6:51.0,,,30-41,2,A. Horford makes 2-pt shot at rim (assist by K. Bazemore)
6:39.0,T. Ariza misses 2-pt shot from 21 ft,,30-41,,
6:38.0,Offensive rebound by P. Beverley,,30-41,,
6:30.0,Turnover by T. Ariza (lost ball; steal by M. Scott),,30-41,,
6:22.0,,,30-43,2,M. Scott makes 2-pt shot from 10 ft (assist by J. Teague)
6:03.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,32-43,,
5:41.0,,,32-43,,Turnover by J. Teague (lost ball)
5:41.0,,,32-43,,Atlanta full timeout
5:41.0,D. Howard enters the game for C. Capela,,32-43,,
5:41.0,,,32-43,,K. Humphries enters the game for A. Horford
5:39.0,,,32-43,,Personal take foul by K. Humphries
5:39.0,D. Howard makes free throw 1 of 2,1,33-43,,
5:39.0,D. Howard makes free throw 2 of 2,1,34-43,,
5:25.0,,,34-45,2,J. Teague makes 2-pt shot from 6 ft
5:15.0,,,34-45,,Personal foul by K. Bazemore
5:15.0,J. Harden makes free throw 1 of 2,1,35-45,,
5:15.0,,,35-45,,P. Millsap enters the game for M. Scott
5:15.0,J. Harden makes free throw 2 of 2,1,36-45,,
5:03.0,,,36-45,,J. Teague misses 2-pt shot from 10 ft
5:01.0,Defensive rebound by J. Harden,,36-45,,
4:49.0,D. Motiejunas makes 2-pt shot from 9 ft (assist by P. Beverley),2,38-45,,
4:33.0,,,38-45,,Turnover by P. Millsap (lost ball; steal by D. Motiejunas)
4:28.0,J. Harden makes 2-pt shot at rim,2,40-45,,
4:27.0,,,40-45,,Atlanta full timeout
4:09.0,,,40-45,,Turnover by J. Teague (lost ball; steal by D. Howard)
4:02.0,J. Harden makes 2-pt shot from 1 ft,2,42-45,,
3:57.0,Personal foul by D. Motiejunas,,42-45,,
3:57.0,,,42-45,,D. Schroder enters the game for J. Teague
3:51.0,,,42-45,,Turnover by K. Korver (lost ball; steal by D. Howard)
3:38.0,J. Harden makes 3-pt shot from 25 ft,3,45-45,,
3:21.0,,,45-45,,K. Korver misses 3-pt shot from 22 ft
3:20.0,Defensive rebound by D. Howard,,45-45,,
3:13.0,Shooting foul by K. Bazemore (drawn by J. Harden),,45-45,,
3:13.0,J. Harden makes free throw 1 of 2,1,46-45,,
3:13.0,,,46-45,,T. Sefolosha enters the game for K. Bazemore
3:13.0,,,46-45,,A. Horford enters the game for K. Humphries
3:13.0,J. Harden makes free throw 2 of 2,1,47-45,,
2:59.0,,,47-47,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Schroder)
2:44.0,D. Motiejunas makes 2-pt shot from 11 ft (assist by J. Harden),2,49-47,,
2:32.0,,,49-47,,P. Millsap misses 2-pt shot from 10 ft
2:30.0,Defensive rebound by D. Howard,,49-47,,
2:24.0,,,49-47,,Personal foul by D. Schroder
2:24.0,D. Howard makes free throw 1 of 2,1,50-47,,
2:24.0,D. Howard makes free throw 2 of 2,1,51-47,,
2:04.0,,,51-50,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha)
1:42.0,D. Motiejunas misses 3-pt shot from 24 ft,,51-50,,
1:40.0,,,51-50,,Defensive rebound by T. Sefolosha
1:19.0,,,51-50,,T. Sefolosha misses 3-pt shot from 22 ft
1:16.0,,,51-50,,Offensive rebound by P. Millsap
1:12.0,,,51-50,,K. Korver misses 3-pt shot from 23 ft
1:10.0,,,51-50,,Offensive rebound by A. Horford
1:06.0,,,51-50,,Offensive foul by P. Millsap
1:06.0,,,51-50,,Turnover by P. Millsap (offensive foul)
1:06.0,M. Beasley enters the game for D. Motiejunas,,51-50,,
1:06.0,,,51-50,,K. Bazemore enters the game for K. Korver
0:57.0,P. Beverley misses 2-pt shot from 1 ft (block by P. Millsap),,51-50,,
0:55.0,,,51-50,,Defensive rebound by P. Millsap
0:52.0,,,51-50,,Turnover by D. Schroder (palming)
0:52.0,,,51-50,,Violation by Team (jump ball)
0:42.0,M. Beasley makes 2-pt shot from 1 ft (assist by P. Beverley),2,53-50,,
0:33.0,,,53-50,,P. Millsap misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by J. Harden,,53-50,,
0:25.0,J. Harden makes 3-pt shot from 24 ft,3,56-50,,
0:19.0,,,56-50,,Atlanta full timeout
0:19.0,,,56-50,,K. Korver enters the game for T. Sefolosha
0:06.0,,,56-50,,Turnover by D. Schroder (lost ball; steal by T. Ariza)
0:03.0,T. Ariza makes 2-pt shot at rim,2,58-50,,
0:00.0,,,58-52,2,K. Bazemore makes 2-pt shot from 20 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-52,,Turnover by J. Teague (lost ball; steal by T. Ariza)
11:37.0,T. Ariza misses 3-pt shot from 24 ft,,58-52,,
11:36.0,,,58-52,,Defensive rebound by Team
11:18.0,,,58-52,,J. Teague misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by D. Motiejunas,,58-52,,
11:06.0,D. Motiejunas makes 2-pt shot from 12 ft (assist by J. Harden),2,60-52,,
10:50.0,,,60-52,,K. Bazemore misses 2-pt shot from 1 ft
10:49.0,Defensive rebound by D. Howard,,60-52,,
10:40.0,P. Beverley misses 3-pt shot from 23 ft,,60-52,,
10:38.0,,,60-52,,Defensive rebound by P. Millsap
10:29.0,,,60-52,,P. Millsap misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by T. Ariza,,60-52,,
10:16.0,P. Beverley misses 3-pt shot from 23 ft,,60-52,,
10:15.0,,,60-52,,Defensive rebound by A. Horford
10:03.0,Personal foul by P. Beverley,,60-52,,
9:59.0,Personal foul by J. Harden,,60-52,,
9:51.0,,,60-54,2,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague)
9:35.0,Shooting foul by K. Bazemore (drawn by D. Motiejunas),,60-54,,
9:35.0,D. Motiejunas makes free throw 1 of 2,1,61-54,,
9:35.0,D. Motiejunas makes free throw 2 of 2,1,62-54,,
9:25.0,,,62-57,3,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague)
9:05.0,D. Howard misses 2-pt shot from 7 ft,,62-57,,
9:03.0,,,62-57,,Defensive rebound by P. Millsap
8:59.0,,,62-60,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
8:41.0,Shooting foul by K. Bazemore (drawn by J. Harden),,62-60,,
8:41.0,J. Harden makes free throw 1 of 2,1,63-60,,
8:41.0,,,63-60,,T. Sefolosha enters the game for K. Bazemore
8:41.0,J. Harden makes free throw 2 of 2,1,64-60,,
8:21.0,,,64-60,,K. Korver misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by D. Howard,,64-60,,
8:08.0,D. Motiejunas misses 2-pt shot from 11 ft,,64-60,,
8:05.0,,,64-60,,Defensive rebound by K. Korver
7:58.0,,,64-60,,Turnover by J. Teague (lost ball; steal by D. Howard)
7:48.0,D. Motiejunas misses 3-pt shot from 23 ft,,64-60,,
7:48.0,,,64-60,,Defensive rebound by Team
7:48.0,Loose ball foul by D. Howard,,64-60,,
7:33.0,,,64-60,,Shooting foul by D. Motiejunas (drawn by J. Teague)
7:33.0,,,64-61,1,J. Teague makes free throw 1 of 2
7:33.0,,,64-61,,J. Teague misses free throw 2 of 2
7:32.0,Defensive rebound by D. Motiejunas,,64-61,,
7:21.0,Turnover by J. Harden (lost ball; steal by T. Sefolosha),,64-61,,
7:17.0,,,64-63,2,K. Korver makes 2-pt shot at rim (assist by T. Sefolosha)
7:07.0,Houston full timeout,,64-63,,
7:07.0,M. Beasley enters the game for D. Motiejunas,,64-63,,
7:00.0,T. Ariza misses 3-pt shot from 24 ft,,64-63,,
6:59.0,,,64-63,,Defensive rebound by Team
6:53.0,,,64-63,,K. Korver misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by D. Howard,,64-63,,
6:41.0,J. Harden misses 2-pt shot from 11 ft,,64-63,,
6:40.0,,,64-63,,Defensive rebound by P. Millsap
6:23.0,,,64-63,,P. Millsap misses 2-pt shot from 13 ft
6:21.0,Defensive rebound by D. Howard,,64-63,,
6:02.0,T. Ariza misses 2-pt shot from 1 ft (block by P. Millsap),,64-63,,
5:59.0,,,64-63,,Defensive rebound by T. Sefolosha
5:54.0,,,64-66,3,K. Korver makes 3-pt shot from 24 ft
5:36.0,Turnover by D. Howard (lost ball; steal by T. Sefolosha),,64-66,,
5:22.0,,,64-66,,Turnover by A. Horford (bad pass)
5:22.0,,,64-66,,K. Humphries enters the game for A. Horford
5:10.0,J. Harden makes 2-pt shot from 1 ft,2,66-66,,
4:51.0,,,66-68,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
4:40.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Harden),2,68-68,,
4:40.0,Shooting foul by K. Humphries (drawn by M. Beasley),,68-68,,
4:40.0,J. Terry enters the game for P. Beverley,,68-68,,
4:40.0,C. Capela enters the game for D. Howard,,68-68,,
4:40.0,M. Beasley makes free throw 1 of 1,1,69-68,,
4:25.0,,,69-68,,Turnover by K. Korver (lost ball; steal by T. Ariza)
4:10.0,Offensive charge foul by M. Beasley,,69-68,,
4:10.0,Turnover by M. Beasley (offensive foul),,69-68,,
4:10.0,,,69-68,,D. Schroder enters the game for J. Teague
3:57.0,,,69-70,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
3:44.0,T. Ariza misses 3-pt shot from 23 ft,,69-70,,
3:42.0,Offensive rebound by C. Capela,,69-70,,
3:34.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,71-70,,
3:14.0,,,71-70,,T. Sefolosha misses 3-pt shot from 23 ft
3:12.0,,,71-70,,Offensive rebound by P. Millsap
3:09.0,,,71-72,2,T. Sefolosha makes 2-pt shot from 13 ft (assist by P. Millsap)
3:02.0,,,71-72,,Personal take foul by D. Schroder
3:02.0,C. Brewer enters the game for T. Ariza,,71-72,,
3:02.0,D. Motiejunas enters the game for C. Capela,,71-72,,
2:52.0,J. Harden misses 2-pt shot from 1 ft (block by K. Humphries),,71-72,,
2:50.0,,,71-72,,Defensive rebound by D. Schroder
2:44.0,,,71-72,,D. Schroder misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by D. Motiejunas,,71-72,,
2:33.0,J. Terry misses 3-pt shot from 22 ft,,71-72,,
2:32.0,,,71-72,,Defensive rebound by P. Millsap
2:23.0,,,71-74,2,K. Humphries makes 2-pt shot from 14 ft (assist by P. Millsap)
2:03.0,Shooting foul by P. Millsap (drawn by M. Beasley),,71-74,,
2:03.0,,,71-74,,Atlanta full timeout
2:03.0,,,71-74,,T. Hardaway enters the game for K. Korver
2:03.0,M. Beasley makes free throw 1 of 2,1,72-74,,
2:03.0,M. Beasley makes free throw 2 of 2,1,73-74,,
1:52.0,Away from play foul by C. Brewer,,73-74,,
1:52.0,,,73-76,2,D. Schroder makes 2-pt shot at rim
1:52.0,,,73-76,,K. Humphries misses free throw 1 of 1
1:51.0,Defensive rebound by M. Beasley,,73-76,,
1:41.0,J. Harden makes 3-pt shot from 24 ft,3,76-76,,
1:33.0,,,76-78,2,D. Schroder makes 2-pt shot at rim
1:21.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden),3,79-78,,
0:55.0,,,79-78,,T. Hardaway misses 3-pt shot from 25 ft (block by C. Brewer)
0:53.0,Defensive rebound by J. Harden,,79-78,,
0:49.0,,,79-78,,Personal block foul by T. Sefolosha
0:49.0,J. Harden makes free throw 1 of 2,1,80-78,,
0:49.0,,,80-78,,M. Scott enters the game for P. Millsap
0:49.0,J. Harden makes free throw 2 of 2,1,81-78,,
0:30.0,,,81-80,2,D. Schroder makes 2-pt shot at rim
0:09.0,M. Beasley makes 2-pt shot from 14 ft (assist by D. Motiejunas),2,83-80,,
0:03.0,Personal foul by D. Motiejunas,,83-80,,
0:03.0,,,83-81,1,D. Schroder makes free throw 1 of 2
0:03.0,,,83-82,1,D. Schroder makes free throw 2 of 2
0:00.0,C. Brewer misses 3-pt shot from 54 ft,,83-82,,
0:00.0,Offensive rebound by Team,,83-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Terry misses 2-pt shot from 18 ft,,83-82,,
11:46.0,,,83-82,,Defensive rebound by Team
11:38.0,,,83-82,,Turnover by D. Schroder (lost ball; steal by J. Terry)
11:31.0,M. Beasley makes 2-pt shot from 1 ft (assist by P. Beverley),2,85-82,,
11:18.0,Personal foul by D. Howard,,85-82,,
11:05.0,,,85-82,,A. Horford misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by D. Howard,,85-82,,
10:43.0,J. Terry misses 3-pt shot from 23 ft,,85-82,,
10:41.0,,,85-82,,Defensive rebound by M. Scott
10:33.0,,,85-82,,Turnover by D. Schroder (lost ball; steal by D. Howard)
10:28.0,Turnover by C. Brewer (lost ball; steal by M. Scott),,85-82,,
10:16.0,,,85-82,,T. Hardaway misses 2-pt shot from 16 ft
10:14.0,Defensive rebound by D. Howard,,85-82,,
9:50.0,M. Beasley makes 2-pt shot from 12 ft,2,87-82,,
9:30.0,,,87-82,,A. Horford misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by D. Howard,,87-82,,
9:05.0,M. Beasley misses 2-pt shot from 18 ft,,87-82,,
9:03.0,Offensive rebound by D. Howard,,87-82,,
8:57.0,P. Beverley misses 2-pt shot from 7 ft,,87-82,,
8:55.0,,,87-82,,Defensive rebound by M. Scott
8:46.0,,,87-85,3,D. Schroder makes 3-pt shot from 24 ft (assist by K. Korver)
8:32.0,Turnover by D. Howard (lost ball; steal by A. Horford),,87-85,,
8:26.0,,,87-88,3,T. Hardaway makes 3-pt shot from 24 ft (assist by M. Scott)
8:25.0,,,87-88,,T. Sefolosha enters the game for K. Korver
8:25.0,T. Ariza enters the game for J. Terry,,87-88,,
8:25.0,J. Harden enters the game for C. Brewer,,87-88,,
8:15.0,Turnover by P. Beverley (lost ball; steal by D. Schroder),,87-88,,
8:09.0,,,87-90,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
7:55.0,Turnover by M. Beasley (lost ball; steal by T. Hardaway),,87-90,,
7:45.0,,,87-90,,T. Sefolosha misses 3-pt shot from 23 ft
7:44.0,Defensive rebound by J. Harden,,87-90,,
7:36.0,M. Beasley misses 2-pt shot from 21 ft,,87-90,,
7:35.0,,,87-90,,Defensive rebound by A. Horford
7:18.0,,,87-90,,D. Schroder misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by T. Ariza,,87-90,,
7:03.0,J. Harden misses 2-pt shot from 1 ft (block by A. Horford),,87-90,,
7:02.0,Offensive rebound by D. Howard,,87-90,,
7:02.0,D. Howard misses 2-pt shot from 1 ft,,87-90,,
7:01.0,,,87-90,,Defensive rebound by T. Hardaway
6:57.0,,,87-90,,T. Hardaway misses 2-pt shot from 22 ft
6:55.0,,,87-90,,Offensive rebound by A. Horford
6:55.0,,,87-90,,A. Horford misses 2-pt shot at rim
6:54.0,Defensive rebound by T. Ariza,,87-90,,
6:35.0,M. Beasley makes 2-pt shot from 1 ft,2,89-90,,
6:10.0,Personal foul by D. Howard,,89-90,,
6:10.0,,,89-90,,P. Millsap enters the game for A. Horford
6:10.0,,,89-90,,J. Teague enters the game for D. Schroder
6:10.0,,,89-90,,K. Korver enters the game for T. Sefolosha
6:03.0,,,89-90,,M. Scott misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by D. Howard,,89-90,,
5:49.0,J. Harden misses 2-pt shot from 19 ft,,89-90,,
5:47.0,,,89-90,,Defensive rebound by M. Scott
5:39.0,,,89-93,3,T. Hardaway makes 3-pt shot from 22 ft (assist by P. Millsap)
5:16.0,Shooting foul by M. Scott (drawn by M. Beasley),,89-93,,
5:16.0,Official timeout,,89-93,,
5:16.0,M. Beasley makes free throw 1 of 2,1,90-93,,
5:16.0,M. Beasley makes free throw 2 of 2,1,91-93,,
4:53.0,,,91-93,,J. Teague misses 2-pt shot from 2 ft (block by D. Howard)
4:53.0,,,91-93,,Offensive rebound by Team
4:53.0,,,91-93,,A. Horford enters the game for M. Scott
4:51.0,,,91-95,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver)
4:34.0,M. Beasley makes 2-pt shot from 19 ft,2,93-95,,
4:17.0,,,93-95,,Turnover by A. Horford (lost ball; steal by J. Harden)
