time,Milwaukee,pts.away,score,pts.home,Toronto
8:46.0,Defensive rebound by G. Monroe,,6-4,,
8:42.0,,,6-4,,Personal foul by T. Ross (drawn by K. Middleton)
8:36.0,,,6-4,,Violation by T. Ross (kicked ball)
8:26.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,8-4,,
8:14.0,,,8-4,,K. Lowry misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by G. Monroe,,8-4,,
8:03.0,J. Parker misses 2-pt shot from 16 ft,,8-4,,
8:02.0,,,8-4,,Defensive rebound by B. Biyombo
7:51.0,Personal foul by O. Mayo (drawn by K. Lowry),,8-4,,
7:51.0,M. Carter-Williams enters the game for G. Antetokounmpo,,8-4,,
7:39.0,,,8-4,,Turnover by L. Scola (bad pass; steal by O. Mayo)
7:28.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,11-4,,
7:21.0,,,11-4,,Toronto full timeout
7:21.0,,,11-4,,C. Joseph enters the game for T. Ross
7:21.0,,,11-4,,P. Patterson enters the game for L. Scola
7:13.0,,,11-6,2,D. DeRozan makes 2-pt shot from 11 ft (assist by K. Lowry)
6:54.0,K. Middleton misses 2-pt shot from 12 ft,,11-6,,
6:53.0,,,11-6,,Defensive rebound by B. Biyombo
6:39.0,,,11-6,,P. Patterson misses 3-pt shot from 22 ft
6:39.0,,,11-6,,Offensive rebound by B. Biyombo
6:30.0,,,11-8,2,C. Joseph makes 2-pt shot from 1 ft (assist by K. Lowry)
6:13.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by B. Biyombo),,11-8,,
6:13.0,Offensive rebound by Team,,11-8,,
6:05.0,K. Middleton makes 2-pt shot from 23 ft (assist by J. Parker),2,13-8,,
5:39.0,,,13-10,2,D. DeRozan makes 2-pt shot from 3 ft
5:27.0,,,13-10,,Personal foul by D. DeRozan (drawn by K. Middleton)
5:23.0,K. Middleton misses 3-pt shot from 25 ft,,13-10,,
5:22.0,,,13-10,,Defensive rebound by P. Patterson
5:01.0,,,13-10,,Shooting foul by K. Middleton (drawn by C. Joseph)
5:01.0,,,13-10,,C. Joseph misses free throw 1 of 2
5:01.0,,,13-10,,Offensive rebound by Team
5:01.0,J. O'Bryant enters the game for J. Parker,,13-10,,
5:01.0,,,13-11,1,C. Joseph makes free throw 2 of 2
4:50.0,Turnover by M. Carter-Williams (bad pass; steal by C. Joseph),,13-11,,
4:31.0,,,13-11,,K. Lowry misses 2-pt shot from 14 ft
4:30.0,,,13-11,,Offensive rebound by B. Biyombo
4:27.0,,,13-11,,Turnover by B. Biyombo (lost ball; steal by O. Mayo)
4:20.0,O. Mayo misses 2-pt shot from 21 ft,,13-11,,
4:19.0,,,13-11,,Defensive rebound by B. Biyombo
4:02.0,,,13-13,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
3:45.0,G. Monroe makes 2-pt shot from 4 ft (assist by M. Carter-Williams),2,15-13,,
3:24.0,,,15-13,,Turnover by K. Lowry (bad pass)
3:07.0,O. Mayo makes 2-pt shot from 16 ft (assist by K. Middleton),2,17-13,,
2:48.0,,,17-15,2,D. DeRozan makes 2-pt shot from 1 ft
2:40.0,Milwaukee full timeout,,17-15,,
2:40.0,G. Antetokounmpo enters the game for O. Mayo,,17-15,,
2:40.0,,,17-15,,T. Ross enters the game for K. Lowry
2:27.0,K. Middleton misses 2-pt shot from 1 ft,,17-15,,
2:27.0,,,17-15,,Defensive rebound by C. Joseph
2:13.0,Personal foul by J. O'Bryant (drawn by D. DeRozan),,17-15,,
2:06.0,,,17-17,2,D. DeRozan makes 2-pt shot from 1 ft (assist by C. Joseph)
1:45.0,G. Monroe misses 2-pt shot from 15 ft,,17-17,,
1:44.0,,,17-17,,Defensive rebound by P. Patterson
1:28.0,,,17-20,3,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson)
1:13.0,M. Carter-Williams misses 2-pt shot from 3 ft (block by C. Joseph),,17-20,,
1:12.0,Offensive rebound by G. Antetokounmpo,,17-20,,
1:10.0,Turnover by G. Antetokounmpo (bad pass; steal by C. Joseph),,17-20,,
1:05.0,,,17-20,,T. Ross misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by M. Carter-Williams,,17-20,,
1:00.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by P. Patterson),,17-20,,
0:58.0,,,17-20,,Defensive rebound by D. DeRozan
0:56.0,,,17-20,,Shooting foul by M. Carter-Williams (drawn by D. DeRozan)
0:56.0,,,17-21,1,D. DeRozan makes free throw 1 of 2
0:56.0,,,17-22,1,D. DeRozan makes free throw 2 of 2
0:38.0,,,17-22,,Personal foul by D. DeRozan (drawn by G. Antetokounmpo)
0:38.0,,,17-22,,J. Johnson enters the game for D. DeRozan
0:23.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,17-22,,
0:22.0,,,17-22,,Defensive rebound by J. Johnson
0:01.0,,,17-24,2,T. Ross makes 2-pt shot from 8 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,17-24,,Personal foul by J. Johnson (drawn by M. Carter-Williams)
11:44.0,M. Carter-Williams misses 2-pt shot from 6 ft,,17-24,,
11:43.0,Offensive rebound by G. Antetokounmpo,,17-24,,
11:38.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,19-24,,
11:21.0,,,19-27,3,P. Patterson makes 3-pt shot from 23 ft (assist by T. Ross)
10:55.0,M. Carter-Williams misses 3-pt shot from 26 ft,,19-27,,
10:54.0,,,19-27,,Defensive rebound by T. Ross
10:42.0,,,19-29,2,L. Scola makes 2-pt shot from 6 ft
10:20.0,R. Vaughn misses 3-pt shot from 22 ft,,19-29,,
10:19.0,,,19-29,,Defensive rebound by Team
10:19.0,Loose ball foul by G. Antetokounmpo (drawn by J. Johnson),,19-29,,
10:07.0,,,19-29,,J. Johnson misses 2-pt shot from 6 ft
10:07.0,Defensive rebound by J. O'Bryant,,19-29,,
10:06.0,Jump ball: J. Johnson vs. J. O'Bryant (M. Carter-Williams gains possession),,,,Jump ball: J. Johnson vs. J. O'Bryant (M. Carter-Williams gains possession)
9:50.0,Shooting foul by J. Johnson (drawn by R. Vaughn),,19-29,,
9:50.0,R. Vaughn makes free throw 1 of 2,1,20-29,,
9:50.0,,,20-29,,K. Lowry enters the game for J. Johnson
9:50.0,R. Vaughn makes free throw 2 of 2,1,21-29,,
9:38.0,,,21-29,,C. Joseph misses 2-pt shot from 12 ft
9:37.0,Defensive rebound by J. Henson,,21-29,,
9:28.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,23-29,,
9:10.0,,,23-29,,T. Ross misses 3-pt shot from 26 ft
9:10.0,,,23-29,,Offensive rebound by L. Scola
9:05.0,,,23-29,,K. Lowry misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by J. O'Bryant,,23-29,,
8:47.0,J. O'Bryant misses 2-pt shot from 5 ft,,23-29,,
8:46.0,Offensive rebound by J. O'Bryant,,23-29,,
8:36.0,J. O'Bryant misses 2-pt shot from 2 ft (block by T. Ross),,23-29,,
8:34.0,Offensive rebound by J. O'Bryant,,23-29,,
8:31.0,J. O'Bryant misses 2-pt shot from 2 ft,,23-29,,
8:30.0,,,23-29,,Defensive rebound by C. Joseph
8:24.0,,,23-29,,L. Scola misses 2-pt shot from 1 ft
8:24.0,Defensive rebound by M. Carter-Williams,,23-29,,
8:16.0,J. O'Bryant misses 2-pt shot from 1 ft,,23-29,,
8:15.0,Offensive rebound by J. O'Bryant,,23-29,,
8:15.0,J. O'Bryant misses 2-pt shot from 1 ft,,23-29,,
8:15.0,Offensive rebound by Team,,23-29,,
8:15.0,,,23-29,,Violation by P. Patterson (kicked ball)
8:15.0,Official timeout,,23-29,,
8:15.0,,,23-29,,B. Biyombo enters the game for P. Patterson
8:15.0,J. Parker enters the game for J. O'Bryant,,23-29,,
8:00.0,Turnover by G. Antetokounmpo (bad pass; steal by C. Joseph),,23-29,,
7:51.0,,,23-32,3,K. Lowry makes 3-pt shot from 26 ft (assist by T. Ross)
7:38.0,M. Carter-Williams misses 2-pt shot from 9 ft,,23-32,,
7:38.0,Offensive rebound by J. Henson,,23-32,,
7:34.0,J. Henson makes 2-pt shot at rim,2,25-32,,
7:21.0,,,25-32,,Shooting foul by R. Vaughn (drawn by C. Joseph)
7:21.0,,,25-32,,C. Joseph misses free throw 1 of 2
7:21.0,,,25-32,,Offensive rebound by Team
7:21.0,,,25-33,1,C. Joseph makes free throw 2 of 2
7:06.0,Turnover by J. Henson (traveling),,25-33,,
6:49.0,,,25-35,2,B. Biyombo makes 2-pt shot at rim (assist by T. Ross)
6:49.0,,,25-35,,Shooting foul by R. Vaughn (drawn by B. Biyombo)
6:49.0,O. Mayo enters the game for M. Carter-Williams,,25-35,,
6:49.0,,,25-35,,D. DeRozan enters the game for C. Joseph
6:49.0,K. Middleton enters the game for R. Vaughn,,25-35,,
6:49.0,,,25-35,,B. Biyombo misses free throw 1 of 1
6:47.0,Defensive rebound by J. Henson,,25-35,,
6:42.0,O. Mayo misses 2-pt shot from 1 ft (block by K. Lowry),,25-35,,
6:42.0,,,25-35,,Defensive rebound by Team
6:25.0,,,25-35,,D. DeRozan misses 2-pt shot from 17 ft
6:24.0,,,25-35,,Offensive rebound by L. Scola
6:17.0,,,25-35,,L. Scola misses 2-pt shot from 6 ft (block by J. Henson)
6:15.0,,,25-35,,Offensive rebound by L. Scola
6:04.0,,,25-35,,Shooting foul by J. Parker (drawn by D. DeRozan)
6:04.0,,,25-36,1,D. DeRozan makes free throw 1 of 2
6:04.0,,,25-37,1,D. DeRozan makes free throw 2 of 2
5:44.0,O. Mayo misses 3-pt shot from 25 ft,,25-37,,
5:44.0,,,25-37,,Defensive rebound by Team
5:44.0,,,25-37,,Toronto full timeout
5:44.0,,,25-37,,P. Patterson enters the game for B. Biyombo
5:44.0,G. Monroe enters the game for J. Henson,,25-37,,
5:32.0,,,25-37,,D. DeRozan misses 2-pt shot from 7 ft
5:31.0,Defensive rebound by G. Antetokounmpo,,25-37,,
5:17.0,Turnover by O. Mayo (bad pass; steal by T. Ross),,25-37,,
5:09.0,,,25-37,,L. Scola misses 2-pt shot from 3 ft
5:09.0,Defensive rebound by G. Monroe,,25-37,,
4:56.0,K. Middleton misses 2-pt shot from 14 ft,,25-37,,
4:56.0,,,25-37,,Defensive rebound by Team
4:34.0,,,25-37,,K. Lowry misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by G. Monroe,,25-37,,
4:25.0,O. Mayo makes 2-pt shot from 1 ft,2,27-37,,
4:05.0,,,27-37,,P. Patterson misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by K. Middleton,,27-37,,
3:43.0,J. Parker misses 2-pt shot from 18 ft,,27-37,,
3:43.0,,,27-37,,Defensive rebound by D. DeRozan
3:36.0,,,27-37,,Shooting foul by J. Parker (drawn by D. DeRozan)
3:36.0,,,27-38,1,D. DeRozan makes free throw 1 of 2
3:36.0,,,27-38,,C. Joseph enters the game for T. Ross
3:36.0,,,27-39,1,D. DeRozan makes free throw 2 of 2
3:22.0,,,27-39,,Personal foul by L. Scola (drawn by G. Monroe)
3:15.0,J. Parker misses 2-pt shot from 4 ft,,27-39,,
3:15.0,Offensive rebound by Team,,27-39,,
3:15.0,,,27-39,,Loose ball foul by K. Lowry (drawn by J. Parker)
3:15.0,,,27-39,,B. Biyombo enters the game for L. Scola
3:05.0,Turnover by J. Parker (bad pass),,27-39,,
2:43.0,,,27-41,2,D. DeRozan makes 2-pt shot from 1 ft
2:27.0,Turnover by G. Monroe (lost ball),,27-41,,
2:27.0,Milwaukee full timeout,,27-41,,
2:15.0,,,27-41,,K. Lowry misses 2-pt shot from 22 ft
2:14.0,Defensive rebound by J. Parker,,27-41,,
1:56.0,G. Monroe misses 2-pt shot from 4 ft,,27-41,,
1:55.0,,,27-41,,Defensive rebound by B. Biyombo
1:45.0,,,27-43,2,P. Patterson makes 2-pt shot from 13 ft (assist by K. Lowry)
1:29.0,Shooting foul by P. Patterson (drawn by J. Parker),,27-43,,
1:29.0,K. Middleton makes free throw 1 of 2,1,28-43,,
1:29.0,,,28-43,,T. Ross enters the game for D. DeRozan
1:29.0,K. Middleton makes free throw 2 of 2,1,29-43,,
1:12.0,,,29-43,,Shooting foul by K. Middleton (drawn by C. Joseph)
1:12.0,,,29-44,1,C. Joseph makes free throw 1 of 2
1:12.0,,,29-44,,C. Joseph misses free throw 2 of 2
1:11.0,Defensive rebound by G. Antetokounmpo,,29-44,,
0:53.0,K. Middleton misses 2-pt shot from 6 ft,,29-44,,
0:53.0,,,29-44,,Defensive rebound by C. Joseph
0:44.0,,,29-47,3,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry)
0:37.0,Offensive charge foul by J. Parker,,29-47,,
0:37.0,Turnover by J. Parker (offensive foul),,29-47,,
0:28.0,,,29-47,,K. Lowry misses 3-pt shot from 26 ft (block by O. Mayo)
0:26.0,Defensive rebound by J. Parker,,29-47,,
0:08.0,G. Monroe makes 2-pt shot from 3 ft (assist by O. Mayo),2,31-47,,
0:02.0,,,31-49,2,C. Joseph makes 2-pt shot from 6 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,G. Monroe makes 2-pt shot at rim,2,33-49,,
11:22.0,,,33-49,,K. Lowry misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by O. Mayo,,33-49,,
11:11.0,J. Parker makes 2-pt shot from 19 ft (assist by O. Mayo),2,35-49,,
10:51.0,,,35-49,,Turnover by T. Ross (bad pass; steal by G. Monroe)
10:51.0,,,35-49,,Personal foul by B. Biyombo (drawn by G. Monroe)
10:39.0,G. Monroe misses 2-pt shot from 8 ft,,35-49,,
10:38.0,,,35-49,,Defensive rebound by L. Scola
10:21.0,,,35-51,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
10:09.0,,,35-51,,Violation by D. DeRozan (kicked ball)
10:07.0,Shooting foul by B. Biyombo (drawn by G. Antetokounmpo),,35-51,,
10:07.0,G. Antetokounmpo makes free throw 1 of 2,1,36-51,,
10:07.0,G. Antetokounmpo misses free throw 2 of 2,,36-51,,
10:06.0,,,36-51,,Defensive rebound by B. Biyombo
9:44.0,,,36-51,,T. Ross misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by J. Parker,,36-51,,
9:29.0,J. Parker makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,38-51,,
9:06.0,,,38-53,2,D. DeRozan makes 2-pt shot from 21 ft
8:50.0,O. Mayo misses 2-pt shot from 17 ft,,38-53,,
8:49.0,,,38-53,,Defensive rebound by L. Scola
8:34.0,,,38-56,3,K. Lowry makes 3-pt shot from 25 ft
8:21.0,K. Middleton makes 3-pt shot from 27 ft (assist by G. Monroe),3,41-56,,
8:09.0,,,41-58,2,L. Scola makes 2-pt shot from 3 ft
7:58.0,J. Parker misses 2-pt shot from 19 ft,,41-58,,
7:58.0,,,41-58,,Defensive rebound by K. Lowry
7:45.0,,,41-58,,D. DeRozan misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by J. Parker,,41-58,,
7:39.0,Turnover by O. Mayo (bad pass; steal by D. DeRozan),,41-58,,
7:32.0,,,41-58,,Toronto full timeout
7:25.0,,,41-58,,Turnover by K. Lowry (bad pass)
7:06.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,41-58,,
7:05.0,,,41-58,,Defensive rebound by K. Lowry
6:58.0,,,41-58,,Offensive foul by B. Biyombo
6:58.0,,,41-58,,Turnover by B. Biyombo (offensive foul)
6:49.0,G. Monroe makes 2-pt shot from 2 ft (assist by O. Mayo),2,43-58,,
6:28.0,,,43-60,2,L. Scola makes 2-pt shot from 1 ft (assist by D. DeRozan)
6:16.0,J. Parker makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,45-60,,
5:58.0,,,45-60,,Shooting foul by G. Antetokounmpo (drawn by D. DeRozan)
5:58.0,,,45-61,1,D. DeRozan makes free throw 1 of 2
5:58.0,,,45-62,1,D. DeRozan makes free throw 2 of 2
5:49.0,J. Parker misses 2-pt shot from 18 ft,,45-62,,
5:49.0,,,45-62,,Defensive rebound by K. Lowry
5:36.0,,,45-62,,T. Ross misses 2-pt shot from 12 ft
5:36.0,Defensive rebound by G. Monroe,,45-62,,
5:29.0,J. Parker misses 2-pt shot from 2 ft,,45-62,,
5:26.0,,,45-62,,Defensive rebound by K. Lowry
5:22.0,,,45-64,2,K. Lowry makes 2-pt shot from 1 ft
5:01.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,47-64,,
4:49.0,,,47-64,,D. DeRozan misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
4:48.0,Defensive rebound by K. Middleton,,47-64,,
4:47.0,,,47-64,,Personal foul by K. Lowry (drawn by K. Middleton)
4:30.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,49-64,,
4:12.0,,,49-64,,K. Lowry misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by Team,,49-64,,
4:11.0,,,49-64,,P. Patterson enters the game for T. Ross
4:11.0,,,49-64,,C. Joseph enters the game for L. Scola
3:55.0,K. Middleton makes 2-pt shot from 15 ft,2,51-64,,
3:36.0,,,51-66,2,D. DeRozan makes 2-pt shot from 4 ft
3:13.0,O. Mayo misses 3-pt shot from 26 ft,,51-66,,
3:13.0,,,51-66,,Defensive rebound by K. Lowry
3:05.0,,,51-66,,K. Lowry misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by O. Mayo,,51-66,,
2:58.0,G. Monroe makes 2-pt shot from 2 ft (assist by O. Mayo),2,53-66,,
2:34.0,,,53-66,,B. Biyombo misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by G. Monroe,,53-66,,
2:27.0,,,53-66,,Personal foul by D. DeRozan (drawn by G. Antetokounmpo)
2:27.0,Milwaukee full timeout,,53-66,,
2:27.0,M. Carter-Williams enters the game for J. Parker,,53-66,,
2:27.0,J. O'Bryant enters the game for O. Mayo,,53-66,,
2:27.0,,,53-66,,J. Johnson enters the game for B. Biyombo
2:27.0,,,53-66,,L. Scola enters the game for K. Lowry
2:20.0,K. Middleton makes 2-pt shot from 18 ft,2,55-66,,
2:01.0,,,55-66,,Shooting foul by K. Middleton (drawn by D. DeRozan)
2:01.0,,,55-66,,D. DeRozan misses free throw 1 of 2
2:01.0,,,55-66,,Offensive rebound by Team
2:01.0,,,55-67,1,D. DeRozan makes free throw 2 of 2
1:43.0,Shooting foul by J. Johnson (drawn by K. Middleton),,55-67,,
1:43.0,K. Middleton makes free throw 1 of 2,1,56-67,,
1:43.0,K. Middleton makes free throw 2 of 2,1,57-67,,
1:27.0,,,57-67,,Turnover by C. Joseph (lost ball; steal by G. Monroe)
1:11.0,,,57-67,,Personal foul by L. Scola (drawn by G. Monroe)
1:11.0,G. Monroe makes free throw 1 of 2,1,58-67,,
1:11.0,G. Monroe misses free throw 2 of 2,,58-67,,
1:10.0,,,58-67,,Defensive rebound by D. DeRozan
0:59.0,Personal foul by M. Carter-Williams (drawn by J. Johnson),,58-67,,
0:53.0,,,58-69,2,J. Johnson makes 2-pt shot at rim
0:38.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,60-69,,
0:26.0,Shooting block foul by J. O'Bryant (drawn by C. Joseph),,60-69,,
0:26.0,,,60-70,1,C. Joseph makes free throw 1 of 2
0:26.0,,,60-70,,T. Ross enters the game for D. DeRozan
0:26.0,,,60-70,,C. Joseph misses free throw 2 of 2
0:25.0,Defensive rebound by G. Antetokounmpo,,60-70,,
0:03.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Johnson),,60-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,60-70,,Shooting foul by J. O'Bryant (drawn by J. Johnson)
11:41.0,,,60-70,,J. Johnson misses free throw 1 of 2
11:41.0,,,60-70,,Offensive rebound by Team
11:41.0,,,60-70,,J. Johnson misses free throw 2 of 2
11:40.0,Defensive rebound by J. O'Bryant,,60-70,,
11:25.0,K. Middleton makes 2-pt shot from 3 ft,2,62-70,,
11:15.0,Personal foul by M. Carter-Williams (drawn by C. Joseph),,62-70,,
11:06.0,,,62-72,2,L. Scola makes 2-pt shot from 13 ft (assist by C. Joseph)
10:53.0,,,62-72,,Personal foul by T. Ross (drawn by K. Middleton)
10:39.0,J. O'Bryant misses 2-pt shot from 16 ft,,62-72,,
10:39.0,,,62-72,,Defensive rebound by P. Patterson
10:32.0,,,62-72,,Turnover by J. Johnson (lost ball; steal by J. O'Bryant)
10:24.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,65-72,,
10:05.0,,,65-74,2,C. Joseph makes 2-pt shot from 1 ft
9:47.0,J. O'Bryant misses 2-pt shot from 2 ft,,65-74,,
9:47.0,,,65-74,,Defensive rebound by L. Scola
9:39.0,,,65-74,,Offensive foul by C. Joseph
9:39.0,,,65-74,,Turnover by C. Joseph (offensive foul)
9:21.0,M. Carter-Williams misses 2-pt shot from 14 ft,,65-74,,
9:20.0,,,65-74,,Defensive rebound by J. Johnson
8:57.0,,,65-76,2,J. Johnson makes 2-pt shot from 3 ft (assist by L. Scola)
8:57.0,Milwaukee full timeout,,65-76,,
8:57.0,O. Mayo enters the game for J. O'Bryant,,65-76,,
8:45.0,K. Middleton makes 2-pt shot from 17 ft,2,67-76,,
8:19.0,,,67-79,3,J. Johnson makes 3-pt shot from 27 ft (assist by L. Scola)
8:05.0,,,67-79,,Personal foul by J. Johnson (drawn by K. Middleton)
7:50.0,O. Mayo misses 3-pt shot from 22 ft,,67-79,,
7:50.0,,,67-79,,Defensive rebound by P. Patterson
7:42.0,,,67-79,,Turnover by L. Scola (lost ball; steal by G. Antetokounmpo)
7:36.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,69-79,,
7:18.0,,,69-81,2,T. Ross makes 2-pt shot from 16 ft
6:58.0,K. Middleton misses 2-pt shot from 2 ft,,69-81,,
6:58.0,Offensive rebound by J. Henson,,69-81,,
6:54.0,J. Henson misses 2-pt shot from 2 ft,,69-81,,
6:53.0,Offensive rebound by J. Henson,,69-81,,
6:51.0,J. Henson makes 2-pt shot at rim,2,71-81,,
6:34.0,,,71-81,,Turnover by T. Ross (bad pass)
6:34.0,,,71-81,,K. Lowry enters the game for T. Ross
6:34.0,,,71-81,,B. Biyombo enters the game for P. Patterson
6:34.0,,,71-81,,D. DeRozan enters the game for J. Johnson
6:14.0,J. Henson makes 2-pt shot from 5 ft (assist by K. Middleton),2,73-81,,
5:48.0,,,73-81,,D. DeRozan misses 2-pt shot from 17 ft
5:47.0,Defensive rebound by K. Middleton,,73-81,,
5:44.0,,,73-81,,Shooting block foul by C. Joseph (drawn by K. Middleton)
5:44.0,Official timeout,,73-81,,
5:44.0,,,73-81,,P. Patterson enters the game for L. Scola
5:44.0,K. Middleton makes free throw 1 of 2,1,74-81,,
5:44.0,K. Middleton makes free throw 2 of 2,1,75-81,,
5:24.0,,,75-81,,K. Lowry misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by G. Antetokounmpo,,75-81,,
5:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,77-81,,
4:47.0,,,77-84,3,C. Joseph makes 3-pt shot from 25 ft (assist by P. Patterson)
4:30.0,Turnover by K. Middleton (lost ball; steal by D. DeRozan),,77-84,,
4:07.0,,,77-84,,C. Joseph misses 2-pt shot from 3 ft (block by M. Carter-Williams)
4:07.0,,,77-84,,Offensive rebound by Team
4:07.0,,,77-84,,D. DeRozan misses 2-pt shot from 13 ft
4:06.0,,,77-84,,Offensive rebound by Team
4:06.0,,,77-84,,Turnover by Team (shot clock)
3:45.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,77-84,,
3:45.0,,,77-84,,Defensive rebound by B. Biyombo
3:23.0,,,77-84,,P. Patterson misses 2-pt shot from 12 ft
3:22.0,,,77-84,,Offensive rebound by P. Patterson
3:15.0,,,77-84,,Shooting foul by J. Henson (drawn by D. DeRozan)
3:15.0,,,77-85,1,D. DeRozan makes free throw 1 of 2
3:15.0,G. Monroe enters the game for J. Henson,,77-85,,
3:15.0,,,77-86,1,D. DeRozan makes free throw 2 of 2
3:04.0,O. Mayo makes 2-pt shot from 21 ft (assist by M. Carter-Williams),2,79-86,,
2:48.0,,,79-86,,Offensive foul by K. Lowry
2:48.0,,,79-86,,Turnover by K. Lowry (offensive foul)
2:48.0,,,79-86,,Toronto full timeout
2:29.0,O. Mayo misses 2-pt shot from 18 ft (block by K. Lowry),,79-86,,
2:29.0,Offensive rebound by Team,,79-86,,
2:26.0,Turnover by M. Carter-Williams (offensive goaltending),,79-86,,
2:10.0,,,79-86,,D. DeRozan misses 2-pt shot from 3 ft
2:09.0,Defensive rebound by M. Carter-Williams,,79-86,,
2:00.0,Turnover by M. Carter-Williams (bad pass; steal by B. Biyombo),,79-86,,
1:57.0,,,79-86,,Turnover by B. Biyombo (bad pass; steal by G. Monroe)
1:53.0,O. Mayo makes 3-pt shot from 25 ft (assist by G. Monroe),3,82-86,,
1:42.0,,,82-88,2,D. DeRozan makes 2-pt shot from 19 ft
1:25.0,Shooting foul by P. Patterson (drawn by K. Middleton),,82-88,,
1:25.0,K. Middleton makes free throw 1 of 2,1,83-88,,
1:25.0,K. Middleton misses free throw 2 of 2,,83-88,,
1:24.0,,,83-88,,Defensive rebound by P. Patterson
