time,Minnesota,pts.away,score,pts.home,Oklahoma City
8:49.0,A. Wiggins makes 2-pt shot at rim,2,9-2,,
8:43.0,,,9-2,,Oklahoma City full timeout
8:36.0,,,9-4,2,E. Kanter makes 2-pt shot at rim (assist by K. Durant)
8:18.0,A. Wiggins misses 2-pt shot from 2 ft,,9-4,,
8:17.0,,,9-4,,Defensive rebound by E. Kanter
8:06.0,,,9-4,,R. Westbrook misses 2-pt shot from 18 ft
8:06.0,,,9-4,,Offensive rebound by A. Roberson
8:02.0,,,9-4,,Turnover by R. Westbrook (lost ball; steal by G. Dieng)
7:54.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,11-4,,
7:40.0,,,11-4,,E. Kanter misses 2-pt shot from 1 ft (block by G. Dieng)
7:39.0,Defensive rebound by Z. LaVine,,11-4,,
7:31.0,G. Dieng misses 2-pt shot from 17 ft,,11-4,,
7:30.0,Offensive rebound by K. Towns,,11-4,,
7:26.0,K. Towns misses 2-pt shot from 3 ft (block by S. Ibaka),,11-4,,
7:25.0,,,11-4,,Defensive rebound by R. Westbrook
7:21.0,,,11-4,,R. Westbrook misses 2-pt shot from 1 ft (block by G. Dieng)
7:21.0,,,11-4,,Offensive rebound by Team
7:13.0,,,11-4,,K. Durant misses 2-pt shot from 20 ft
7:13.0,Defensive rebound by K. Towns,,11-4,,
7:07.0,G. Dieng misses 2-pt shot at rim,,11-4,,
7:06.0,,,11-4,,Defensive rebound by K. Durant
6:59.0,,,11-4,,S. Ibaka misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by R. Rubio,,11-4,,
6:54.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,13-4,,
6:34.0,,,13-4,,Shooting foul by G. Dieng (drawn by R. Westbrook)
6:34.0,,,13-5,1,R. Westbrook makes free throw 1 of 2
6:34.0,,,13-6,1,R. Westbrook makes free throw 2 of 2
6:10.0,K. Towns misses 2-pt shot from 15 ft,,13-6,,
6:09.0,Offensive rebound by G. Dieng,,13-6,,
6:02.0,R. Rubio misses 3-pt shot from 24 ft,,13-6,,
6:01.0,,,13-6,,Defensive rebound by K. Durant
5:53.0,,,13-6,,Turnover by K. Durant (lost ball; steal by G. Dieng)
5:45.0,A. Wiggins misses 3-pt shot from 22 ft,,13-6,,
5:45.0,,,13-6,,Defensive rebound by A. Roberson
5:36.0,,,13-6,,Turnover by E. Kanter (lost ball)
5:28.0,Offensive foul by K. Towns,,13-6,,
5:28.0,Turnover by K. Towns (offensive foul),,13-6,,
5:13.0,,,13-6,,K. Durant misses 2-pt shot from 11 ft
5:12.0,Defensive rebound by R. Rubio,,13-6,,
5:06.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,15-6,,
4:56.0,,,15-6,,Shooting foul by Z. LaVine (drawn by R. Westbrook)
4:56.0,,,15-7,1,R. Westbrook makes free throw 1 of 2
4:56.0,,,15-7,,K. Singler enters the game for K. Durant
4:56.0,,,15-8,1,R. Westbrook makes free throw 2 of 2
4:46.0,,,15-8,,Personal foul by S. Ibaka
4:37.0,A. Wiggins makes 2-pt shot from 2 ft,2,17-8,,
4:11.0,,,17-8,,S. Ibaka misses 2-pt shot from 20 ft
4:09.0,,,17-8,,Offensive rebound by A. Roberson
4:09.0,,,17-8,,A. Roberson misses 2-pt shot at rim
4:08.0,,,17-8,,Offensive rebound by E. Kanter
4:08.0,,,17-8,,E. Kanter misses 2-pt shot at rim
4:07.0,Defensive rebound by G. Dieng,,17-8,,
3:57.0,G. Dieng makes 2-pt shot from 19 ft (assist by R. Rubio),2,19-8,,
3:57.0,,,19-8,,Oklahoma City full timeout
3:57.0,,,19-8,,R. Foye enters the game for A. Roberson
3:51.0,,,19-8,,Offensive foul by S. Ibaka
3:51.0,,,19-8,,Turnover by S. Ibaka (offensive foul)
3:51.0,,,19-8,,N. Collison enters the game for S. Ibaka
3:37.0,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine),2,21-8,,
3:27.0,,,21-11,3,R. Westbrook makes 3-pt shot from 24 ft
3:05.0,R. Rubio misses 3-pt shot from 24 ft,,21-11,,
3:04.0,,,21-11,,Defensive rebound by E. Kanter
2:57.0,,,21-11,,R. Foye misses 3-pt shot from 24 ft
2:57.0,,,21-11,,Offensive rebound by N. Collison
2:56.0,,,21-11,,Shooting foul by G. Dieng (drawn by N. Collison)
2:56.0,Minnesota full timeout,,21-11,,
2:56.0,,,21-11,,K. Durant enters the game for R. Westbrook
2:56.0,A. Payne enters the game for G. Dieng,,21-11,,
2:56.0,T. Jones enters the game for Z. LaVine,,21-11,,
2:56.0,S. Muhammad enters the game for R. Rubio,,21-11,,
2:56.0,,,21-12,1,N. Collison makes free throw 1 of 2
2:56.0,,,21-12,,N. Collison misses free throw 2 of 2
2:54.0,,,21-12,,Offensive rebound by E. Kanter
2:54.0,,,21-14,2,E. Kanter makes 2-pt shot at rim
2:41.0,,,21-14,,Personal foul by K. Singler
2:39.0,Turnover by A. Wiggins (traveling),,21-14,,
2:23.0,,,21-14,,K. Durant misses 2-pt shot from 21 ft
2:22.0,Defensive rebound by S. Muhammad,,21-14,,
2:11.0,A. Wiggins misses 3-pt shot from 23 ft,,21-14,,
2:11.0,,,21-14,,Defensive rebound by K. Singler
2:04.0,,,21-14,,Turnover by K. Durant (lost ball)
2:04.0,T. Prince enters the game for A. Wiggins,,21-14,,
1:51.0,T. Jones makes 3-pt shot from 24 ft,3,24-14,,
1:32.0,,,24-14,,R. Foye misses 2-pt shot from 22 ft
1:32.0,,,24-14,,Offensive rebound by Team
1:32.0,Loose ball foul by A. Payne,,24-14,,
1:32.0,,,24-15,1,E. Kanter makes free throw 1 of 2
1:32.0,N. Bjelica enters the game for K. Towns,,24-15,,
1:32.0,,,24-16,1,E. Kanter makes free throw 2 of 2
1:22.0,,,24-16,,Personal foul by R. Foye
1:22.0,,,24-16,,A. Morrow enters the game for E. Kanter
1:13.0,S. Muhammad misses 2-pt shot from 5 ft,,24-16,,
1:13.0,,,24-16,,Defensive rebound by Team
1:00.0,,,24-18,2,K. Durant makes 2-pt shot from 1 ft
1:00.0,,,24-18,,Shooting foul by A. Payne (drawn by K. Durant)
1:00.0,,,24-19,1,K. Durant makes free throw 1 of 1
0:39.0,T. Jones misses 3-pt shot from 24 ft,,24-19,,
0:39.0,,,24-19,,Defensive rebound by N. Collison
0:33.0,,,24-19,,A. Morrow misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by S. Muhammad,,24-19,,
0:14.0,A. Payne misses 2-pt shot from 7 ft,,24-19,,
0:14.0,,,24-19,,Defensive rebound by Team
0:14.0,Loose ball foul by N. Bjelica,,24-19,,
0:14.0,,,24-20,1,K. Durant makes free throw 1 of 2
0:14.0,,,24-21,1,K. Durant makes free throw 2 of 2
0:00.0,S. Muhammad misses 2-pt shot from 9 ft,,24-21,,
0:00.0,Offensive rebound by Team,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Offensive charge foul by N. Bjelica,,24-21,,
11:38.0,Turnover by N. Bjelica (offensive foul),,24-21,,
11:23.0,,,24-23,2,R. Foye makes 2-pt shot from 1 ft
11:10.0,S. Muhammad misses 2-pt shot from 7 ft,,24-23,,
11:10.0,,,24-23,,Defensive rebound by N. Collison
11:05.0,,,24-23,,Shooting foul by A. Payne (drawn by K. Singler)
11:05.0,,,24-23,,K. Singler misses free throw 1 of 2
11:05.0,,,24-23,,Offensive rebound by Team
11:05.0,G. Smith enters the game for A. Payne,,24-23,,
11:05.0,,,24-24,1,K. Singler makes free throw 2 of 2
10:46.0,S. Muhammad misses 3-pt shot from 24 ft,,24-24,,
10:46.0,,,24-24,,Defensive rebound by K. Durant
10:38.0,,,24-27,3,K. Durant makes 3-pt shot from 24 ft
10:25.0,N. Bjelica misses 3-pt shot from 24 ft,,24-27,,
10:24.0,,,24-27,,Defensive rebound by R. Foye
10:13.0,,,24-27,,A. Morrow misses 3-pt shot from 22 ft
10:12.0,Defensive rebound by T. Prince,,24-27,,
9:50.0,S. Muhammad makes 2-pt shot from 9 ft (assist by T. Jones),2,26-27,,
9:36.0,,,26-27,,Shooting foul by S. Muhammad (drawn by R. Foye)
9:36.0,,,26-27,,R. Foye misses free throw 1 of 2
9:36.0,,,26-27,,Offensive rebound by Team
9:36.0,,,26-27,,A. Roberson enters the game for K. Singler
9:36.0,,,26-28,1,R. Foye makes free throw 2 of 2
9:20.0,G. Smith makes 2-pt shot from 2 ft (assist by T. Prince),2,28-28,,
9:12.0,Personal foul by N. Bjelica,,28-28,,
9:12.0,,,28-28,,R. Westbrook enters the game for K. Durant
9:12.0,,,28-28,,S. Adams enters the game for N. Collison
9:12.0,K. Towns enters the game for N. Bjelica,,28-28,,
8:59.0,,,28-30,2,S. Adams makes 2-pt shot from 3 ft (assist by A. Morrow)
8:47.0,T. Prince makes 2-pt shot from 1 ft,2,30-30,,
8:29.0,,,30-30,,A. Morrow misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by K. Towns,,30-30,,
8:16.0,Official timeout,,30-30,,
8:16.0,,,30-30,,S. Ibaka enters the game for R. Foye
8:06.0,T. Jones misses 2-pt shot from 1 ft (block by S. Adams),,30-30,,
8:05.0,,,30-30,,Defensive rebound by S. Adams
8:00.0,,,30-30,,Shooting foul by K. Towns (drawn by A. Morrow)
8:00.0,,,30-30,,A. Morrow misses free throw 1 of 3
8:00.0,,,30-30,,Offensive rebound by Team
8:00.0,,,30-30,,A. Morrow misses free throw 2 of 3
8:00.0,,,30-30,,Offensive rebound by Team
8:00.0,Z. LaVine enters the game for T. Jones,,30-30,,
8:00.0,R. Rubio enters the game for S. Muhammad,,30-30,,
8:00.0,A. Wiggins enters the game for T. Prince,,30-30,,
8:00.0,,,30-31,1,A. Morrow makes free throw 3 of 3
7:48.0,Shooting foul by S. Ibaka (drawn by K. Towns),,30-31,,
7:48.0,K. Towns makes free throw 1 of 2,1,31-31,,
7:48.0,,,31-31,,E. Kanter enters the game for S. Ibaka
7:48.0,K. Towns misses free throw 2 of 2,,31-31,,
7:47.0,,,31-31,,Defensive rebound by S. Adams
7:38.0,,,31-31,,A. Roberson misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by K. Towns,,31-31,,
7:34.0,Turnover by K. Towns (lost ball; steal by A. Roberson),,31-31,,
7:22.0,,,31-33,2,A. Morrow makes 2-pt shot from 6 ft (assist by R. Westbrook)
7:02.0,A. Wiggins misses 2-pt shot at rim (block by A. Roberson),,31-33,,
7:02.0,Offensive rebound by Team,,31-33,,
6:58.0,A. Wiggins makes 2-pt shot from 3 ft (assist by R. Rubio),2,33-33,,
6:32.0,,,33-36,3,R. Westbrook makes 3-pt shot from 23 ft
6:14.0,K. Towns misses 2-pt shot from 18 ft,,33-36,,
6:13.0,,,33-36,,Defensive rebound by E. Kanter
5:59.0,,,33-36,,A. Morrow misses 3-pt shot from 26 ft
5:59.0,,,33-36,,Offensive rebound by S. Adams
5:57.0,,,33-38,2,S. Adams makes 2-pt shot at rim
5:57.0,,,33-38,,Shooting foul by G. Smith (drawn by S. Adams)
5:57.0,,,33-38,,Oklahoma City full timeout
5:57.0,G. Dieng enters the game for G. Smith,,33-38,,
5:57.0,,,33-38,,K. Durant enters the game for A. Morrow
5:57.0,,,33-38,,S. Adams misses free throw 1 of 1
5:56.0,,,33-38,,Offensive rebound by E. Kanter
5:52.0,,,33-40,2,E. Kanter makes 2-pt shot from 1 ft
5:45.0,,,33-40,,Personal foul by R. Westbrook
5:29.0,R. Rubio makes 3-pt shot from 23 ft,3,36-40,,
5:06.0,,,36-43,3,R. Westbrook makes 3-pt shot from 24 ft
4:51.0,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins),2,38-43,,
4:51.0,Shooting foul by A. Roberson (drawn by G. Dieng),,38-43,,
4:51.0,G. Dieng makes free throw 1 of 1,1,39-43,,
4:26.0,,,39-43,,R. Westbrook misses 2-pt shot from 8 ft
4:25.0,,,39-43,,Offensive rebound by E. Kanter
4:24.0,,,39-43,,Turnover by E. Kanter (lost ball; steal by R. Rubio)
4:14.0,G. Dieng makes 2-pt shot from 2 ft (assist by A. Wiggins),2,41-43,,
4:09.0,,,41-43,,Turnover by R. Westbrook (lost ball; steal by R. Rubio)
4:03.0,Shooting foul by K. Durant (drawn by G. Dieng),,41-43,,
4:03.0,G. Dieng makes free throw 1 of 2,1,42-43,,
4:03.0,G. Dieng makes free throw 2 of 2,1,43-43,,
3:42.0,,,43-45,2,E. Kanter makes 2-pt shot from 5 ft
3:38.0,Minnesota full timeout,,43-45,,
3:38.0,,,43-45,,N. Collison enters the game for S. Adams
3:38.0,,,43-45,,R. Foye enters the game for A. Roberson
3:24.0,Z. LaVine makes 2-pt shot from 1 ft,2,45-45,,
3:08.0,,,45-47,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
2:45.0,R. Rubio makes 3-pt shot from 22 ft (assist by G. Dieng),3,48-47,,
2:20.0,,,48-47,,R. Westbrook misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by G. Dieng,,48-47,,
2:02.0,,,48-47,,Personal foul by R. Foye
2:02.0,R. Rubio makes free throw 1 of 2,1,49-47,,
2:02.0,R. Rubio makes free throw 2 of 2,1,50-47,,
1:46.0,,,50-47,,R. Foye misses 3-pt shot from 24 ft (block by Z. LaVine)
1:45.0,Defensive rebound by R. Rubio,,50-47,,
1:43.0,Turnover by Z. LaVine (dbl dribble),,50-47,,
1:43.0,,,50-47,,K. Singler enters the game for E. Kanter
1:43.0,N. Bjelica enters the game for K. Towns,,50-47,,
1:35.0,Shooting block foul by N. Bjelica (drawn by R. Westbrook),,50-47,,
1:35.0,,,50-48,1,R. Westbrook makes free throw 1 of 2
1:35.0,T. Prince enters the game for N. Bjelica,,50-48,,
1:35.0,,,50-49,1,R. Westbrook makes free throw 2 of 2
1:18.0,A. Wiggins misses 2-pt shot at rim,,50-49,,
1:18.0,,,50-49,,Defensive rebound by N. Collison
1:12.0,,,50-51,2,K. Singler makes 2-pt shot from 1 ft (assist by R. Foye)
0:56.0,R. Rubio misses 2-pt shot from 1 ft,,50-51,,
0:55.0,,,50-51,,Defensive rebound by N. Collison
0:47.0,,,50-53,2,R. Westbrook makes 2-pt shot from 1 ft
0:28.0,A. Wiggins misses 2-pt shot from 12 ft,,50-53,,
0:27.0,,,50-53,,Defensive rebound by K. Durant
0:06.0,,,50-53,,Turnover by N. Collison (lost ball; steal by A. Wiggins)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,50-53,,Personal foul by R. Westbrook
11:29.0,K. Towns misses 2-pt shot from 18 ft,,50-53,,
11:29.0,,,50-53,,Defensive rebound by K. Durant
11:16.0,,,50-53,,Turnover by K. Durant (lost ball; steal by R. Rubio)
11:10.0,Turnover by G. Dieng (lost ball; steal by R. Foye),,50-53,,
11:04.0,,,50-55,2,R. Westbrook makes 2-pt shot at rim
11:03.0,,,50-55,,Violation by Team (jump ball)
10:41.0,G. Dieng makes 2-pt shot from 22 ft (assist by R. Rubio),2,52-55,,
10:25.0,,,52-57,2,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook)
10:07.0,K. Towns makes 2-pt shot at rim,2,54-57,,
9:53.0,,,54-59,2,K. Durant makes 2-pt shot at rim
9:29.0,A. Wiggins makes 3-pt shot from 23 ft (assist by R. Rubio),3,57-59,,
9:19.0,,,57-59,,Turnover by R. Westbrook (lost ball; steal by A. Wiggins)
9:14.0,A. Wiggins makes 2-pt shot from 1 ft,2,59-59,,
8:54.0,Personal foul by R. Rubio,,59-59,,
8:41.0,,,59-59,,Turnover by K. Durant (bad pass)
8:26.0,A. Wiggins misses 2-pt shot from 2 ft (block by S. Adams),,59-59,,
8:25.0,,,59-59,,Defensive rebound by S. Adams
8:18.0,,,59-59,,R. Foye misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by R. Rubio,,59-59,,
8:11.0,Minnesota full timeout,,59-59,,
7:57.0,Z. LaVine misses 2-pt shot from 18 ft,,59-59,,
7:57.0,,,59-59,,Defensive rebound by S. Adams
7:46.0,,,59-59,,Turnover by K. Durant (lost ball; steal by Z. LaVine)
7:41.0,Turnover by Z. LaVine (bad pass),,59-59,,
7:29.0,,,59-59,,Turnover by R. Westbrook (lost ball; steal by A. Wiggins)
7:18.0,A. Wiggins makes 2-pt shot at rim,2,61-59,,
7:02.0,,,61-61,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:47.0,A. Wiggins misses 2-pt shot from 3 ft,,61-61,,
6:47.0,,,61-61,,Defensive rebound by S. Ibaka
6:39.0,,,61-63,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:19.0,K. Towns makes 2-pt shot from 15 ft (assist by R. Rubio),2,63-63,,
6:05.0,,,63-63,,R. Westbrook misses 2-pt shot at rim (block by K. Towns)
6:04.0,Defensive rebound by G. Dieng,,63-63,,
6:00.0,Z. LaVine misses 2-pt shot from 1 ft (block by K. Durant),,63-63,,
5:58.0,,,63-63,,Defensive rebound by S. Ibaka
5:55.0,Technical foul by Z. LaVine,,63-63,,
5:55.0,,,63-64,1,K. Durant makes technical free throw
5:55.0,,,63-64,,K. Singler enters the game for K. Durant
5:47.0,,,63-64,,Shooting foul by G. Dieng (drawn by R. Westbrook)
5:47.0,,,63-64,,R. Westbrook misses free throw 1 of 2
5:47.0,,,63-64,,Offensive rebound by Team
5:47.0,,,63-65,1,R. Westbrook makes free throw 2 of 2
5:35.0,Shooting foul by S. Ibaka (drawn by G. Dieng),,63-65,,
5:35.0,G. Dieng makes free throw 1 of 2,1,64-65,,
5:35.0,G. Dieng makes free throw 2 of 2,1,65-65,,
5:23.0,,,65-65,,Turnover by R. Foye (bad pass)
5:23.0,,,65-65,,N. Collison enters the game for S. Ibaka
5:10.0,K. Towns makes 2-pt shot from 21 ft (assist by R. Rubio),2,67-65,,
4:50.0,,,67-65,,Turnover by S. Adams (3 sec)
4:38.0,R. Rubio misses 2-pt shot at rim,,67-65,,
4:37.0,,,67-65,,Defensive rebound by N. Collison
4:31.0,,,67-67,2,R. Westbrook makes 2-pt shot at rim
4:14.0,G. Dieng misses 2-pt shot from 15 ft,,67-67,,
4:13.0,,,67-67,,Defensive rebound by R. Westbrook
4:05.0,,,67-67,,R. Westbrook misses 2-pt shot from 2 ft
4:05.0,,,67-67,,Offensive rebound by S. Adams
4:05.0,Personal foul by G. Dieng,,67-67,,
4:05.0,,,67-67,,A. Morrow enters the game for R. Foye
4:05.0,S. Muhammad enters the game for Z. LaVine,,67-67,,
4:05.0,G. Smith enters the game for G. Dieng,,67-67,,
4:01.0,,,67-69,2,R. Westbrook makes 2-pt shot at rim (assist by N. Collison)
3:37.0,G. Smith misses 2-pt shot at rim (block by S. Adams),,67-69,,
3:37.0,,,67-69,,Defensive rebound by S. Adams
3:28.0,,,67-69,,K. Singler misses 3-pt shot from 23 ft
3:27.0,,,67-69,,Offensive rebound by N. Collison
3:27.0,,,67-71,2,N. Collison makes 2-pt shot at rim
3:04.0,Offensive charge foul by A. Wiggins,,67-71,,
3:04.0,Turnover by A. Wiggins (offensive foul),,67-71,,
3:04.0,,,67-71,,Oklahoma City full timeout
3:04.0,T. Prince enters the game for A. Wiggins,,67-71,,
2:46.0,,,67-71,,A. Morrow misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by T. Prince,,67-71,,
2:31.0,,,67-71,,Personal foul by N. Collison
2:31.0,,,67-71,,K. Durant enters the game for R. Westbrook
2:25.0,K. Towns misses 2-pt shot from 8 ft,,67-71,,
2:25.0,Offensive rebound by K. Towns,,67-71,,
2:21.0,Turnover by K. Towns (3 sec),,67-71,,
2:07.0,,,67-71,,Turnover by N. Collison (lost ball; steal by K. Towns)
1:55.0,K. Towns misses 2-pt shot from 3 ft,,67-71,,
1:55.0,,,67-71,,Defensive rebound by K. Singler
1:40.0,,,67-71,,Turnover by S. Adams (bad pass)
1:40.0,T. Jones enters the game for R. Rubio,,67-71,,
1:21.0,S. Muhammad misses 3-pt shot from 24 ft,,67-71,,
1:20.0,,,67-71,,Defensive rebound by S. Adams
1:06.0,,,67-71,,K. Singler misses 2-pt shot from 5 ft
1:05.0,Defensive rebound by K. Towns,,67-71,,
1:00.0,T. Jones makes 2-pt shot from 18 ft,2,69-71,,
0:44.0,,,69-71,,S. Adams misses 2-pt shot from 9 ft
0:44.0,Defensive rebound by Team,,69-71,,
0:42.0,,,69-71,,E. Kanter enters the game for S. Adams
0:42.0,,,69-71,,R. Foye enters the game for N. Collison
0:42.0,N. Bjelica enters the game for K. Towns,,69-71,,
0:26.0,T. Jones misses 2-pt shot from 20 ft,,69-71,,
0:26.0,,,69-71,,Defensive rebound by Team
0:09.0,Personal take foul by T. Prince,,69-71,,
0:03.0,,,69-73,2,K. Durant makes 2-pt shot from 1 ft
0:00.0,T. Jones misses 3-pt shot from 44 ft,,69-73,,
0:00.0,Offensive rebound by Team,,69-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,69-73,,K. Singler misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by N. Bjelica,,69-73,,
11:20.0,S. Muhammad makes 2-pt shot from 10 ft (assist by N. Bjelica),2,71-73,,
11:04.0,,,71-75,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Foye)
10:50.0,Turnover by S. Muhammad (lost ball),,71-75,,
10:27.0,,,71-75,,K. Singler misses 3-pt shot from 23 ft
10:26.0,Defensive rebound by S. Muhammad,,71-75,,
10:17.0,,,71-75,,Personal foul by R. Foye
10:17.0,Z. LaVine enters the game for N. Bjelica,,71-75,,
10:07.0,S. Muhammad makes 2-pt shot from 9 ft,2,73-75,,
9:50.0,,,73-75,,Turnover by R. Foye (step out of bounds)
9:37.0,S. Muhammad misses 3-pt shot from 24 ft,,73-75,,
9:36.0,,,73-75,,Defensive rebound by E. Kanter
9:31.0,,,73-75,,A. Morrow misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by G. Smith,,73-75,,
9:25.0,,,73-75,,Personal foul by K. Durant
9:25.0,K. Towns enters the game for G. Smith,,73-75,,
9:25.0,,,73-75,,R. Westbrook enters the game for A. Morrow
9:16.0,T. Prince misses 2-pt shot from 17 ft,,73-75,,
9:16.0,,,73-75,,Defensive rebound by E. Kanter
9:05.0,,,73-77,2,E. Kanter makes 2-pt shot from 1 ft (assist by K. Singler)
8:48.0,T. Prince misses 2-pt shot from 20 ft,,73-77,,
8:48.0,Offensive rebound by K. Towns,,73-77,,
8:44.0,T. Jones misses 3-pt shot from 24 ft,,73-77,,
8:43.0,,,73-77,,Defensive rebound by E. Kanter
8:32.0,,,73-80,3,R. Foye makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:31.0,Minnesota full timeout,,73-80,,
8:31.0,,,73-80,,S. Ibaka enters the game for K. Durant
8:31.0,R. Rubio enters the game for T. Jones,,73-80,,
8:20.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,75-80,,
8:04.0,A. Wiggins enters the game for S. Muhammad,,75-80,,
8:04.0,G. Dieng enters the game for T. Prince,,75-80,,
7:57.0,,,75-80,,Offensive charge foul by E. Kanter
7:57.0,,,75-80,,Turnover by E. Kanter (offensive foul)
7:40.0,K. Towns makes 2-pt shot from 22 ft,2,77-80,,
7:24.0,,,77-80,,R. Foye misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by K. Towns,,77-80,,
7:17.0,Z. LaVine misses 2-pt shot at rim,,77-80,,
7:16.0,,,77-80,,Defensive rebound by E. Kanter
7:11.0,,,77-80,,Turnover by R. Westbrook (lost ball; steal by A. Wiggins)
7:09.0,Turnover by Z. LaVine (lost ball; steal by S. Ibaka),,77-80,,
7:06.0,,,77-80,,S. Ibaka misses 2-pt shot from 7 ft
7:06.0,,,77-80,,Offensive rebound by E. Kanter
7:06.0,Personal foul by G. Dieng,,77-80,,
6:56.0,,,77-80,,R. Westbrook misses 2-pt shot from 16 ft
6:55.0,Defensive rebound by G. Dieng,,77-80,,
6:54.0,,,77-80,,Personal foul by R. Westbrook
6:54.0,,,77-80,,K. Durant enters the game for K. Singler
6:40.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,79-80,,
6:17.0,,,79-80,,R. Westbrook misses 3-pt shot from 24 ft
6:16.0,,,79-80,,Offensive rebound by E. Kanter
6:15.0,,,79-82,2,E. Kanter makes 2-pt shot from 1 ft
6:15.0,,,79-82,,Shooting foul by K. Towns (drawn by E. Kanter)
6:15.0,,,79-83,1,E. Kanter makes free throw 1 of 1
6:00.0,A. Wiggins misses 3-pt shot from 25 ft,,79-83,,
5:58.0,Official timeout,,79-83,,
5:57.0,Jump ball: G. Dieng vs. E. Kanter (S. Ibaka gains possession),,,,Jump ball: G. Dieng vs. E. Kanter (S. Ibaka gains possession)
5:57.0,,,79-83,,Defensive rebound by E. Kanter
5:46.0,,,79-85,2,K. Durant makes 2-pt shot at rim
5:44.0,Minnesota full timeout,,79-85,,
5:44.0,,,79-85,,S. Adams enters the game for E. Kanter
5:26.0,Shooting foul by S. Ibaka (drawn by A. Wiggins),,79-85,,
5:26.0,A. Wiggins misses free throw 1 of 2,,79-85,,
5:26.0,Offensive rebound by Team,,79-85,,
5:26.0,,,79-85,,K. Singler enters the game for S. Ibaka
5:26.0,A. Wiggins makes free throw 2 of 2,1,80-85,,
5:11.0,,,80-85,,R. Westbrook misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by R. Rubio,,80-85,,
