time,Portland,pts.away,score,pts.home,Denver
7:05.0,M. Plumlee misses free throw 2 of 2,,41-44,,
7:05.0,,,41-44,,Defensive rebound by K. Papanikolaou
6:49.0,,,41-44,,J. Hickson misses 2-pt shot from 4 ft
6:48.0,,,41-44,,Offensive rebound by J. Hickson
6:48.0,,,41-44,,Shooting foul by M. Plumlee (drawn by J. Hickson)
6:48.0,,,41-44,,J. Hickson misses free throw 1 of 2
6:48.0,,,41-44,,Offensive rebound by Team
6:48.0,,,41-44,,D. Gallinari enters the game for K. Papanikolaou
6:48.0,,,41-44,,K. Faried enters the game for D. Arthur
6:48.0,,,41-44,,J. Hickson misses free throw 2 of 2
6:46.0,Defensive rebound by A. Crabbe,,41-44,,
6:38.0,Turnover by D. Lillard (bad pass),,41-44,,
6:19.0,Shooting block foul by M. Plumlee (drawn by J. Hickson),,41-44,,
6:19.0,,,41-44,,J. Hickson misses free throw 1 of 2
6:19.0,,,41-44,,Offensive rebound by Team
6:19.0,M. Leonard enters the game for N. Vonleh,,41-44,,
6:19.0,,,41-44,,J. Hickson misses free throw 2 of 2
6:18.0,Defensive rebound by M. Plumlee,,41-44,,
5:55.0,A. Aminu misses 2-pt shot from 8 ft,,41-44,,
5:54.0,,,41-44,,Defensive rebound by J. Hickson
5:44.0,,,41-44,,D. Gallinari misses 3-pt shot from 25 ft
5:42.0,,,41-44,,Offensive rebound by K. Faried
5:42.0,,,41-46,2,K. Faried makes 2-pt shot from 3 ft
5:26.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee),2,43-46,,
5:10.0,,,43-46,,K. Faried misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by M. Leonard,,43-46,,
5:07.0,Turnover by M. Leonard (lost ball; steal by K. Faried),,43-46,,
5:01.0,,,43-48,2,K. Faried makes 2-pt shot from 1 ft
4:53.0,A. Crabbe makes 2-pt shot from 3 ft (assist by M. Plumlee),2,45-48,,
4:29.0,,,45-48,,Turnover by D. Gallinari (lost ball; steal by M. Plumlee)
4:26.0,Shooting foul by E. Mudiay (drawn by M. Plumlee),,45-48,,
4:26.0,,,45-48,,G. Harris enters the game for W. Barton
4:26.0,M. Plumlee makes free throw 1 of 2,1,46-48,,
4:26.0,M. Plumlee makes free throw 2 of 2,1,47-48,,
4:10.0,,,47-48,,D. Gallinari misses 2-pt shot at rim
4:09.0,Defensive rebound by M. Leonard,,47-48,,
4:00.0,D. Lillard misses 2-pt shot from 7 ft,,47-48,,
3:59.0,,,47-48,,Defensive rebound by J. Hickson
3:41.0,,,47-48,,D. Gallinari misses 3-pt shot from 27 ft
3:40.0,Defensive rebound by A. Crabbe,,47-48,,
3:31.0,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard),3,50-48,,
3:15.0,,,50-48,,D. Gallinari misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by A. Crabbe,,50-48,,
3:08.0,A. Crabbe misses 2-pt shot from 21 ft,,50-48,,
3:07.0,Offensive rebound by M. Leonard,,50-48,,
3:02.0,D. Lillard makes 3-pt shot from 24 ft (assist by M. Leonard),3,53-48,,
3:02.0,,,53-48,,Denver full timeout
2:40.0,,,53-48,,Shooting foul by D. Lillard (drawn by E. Mudiay)
2:40.0,,,53-48,,E. Mudiay misses free throw 1 of 3
2:40.0,,,53-48,,Offensive rebound by Team
2:40.0,,,53-49,1,E. Mudiay makes free throw 2 of 3
2:40.0,,,53-50,1,E. Mudiay makes free throw 3 of 3
2:27.0,D. Lillard makes 2-pt shot from 1 ft,2,55-50,,
2:27.0,Shooting foul by E. Mudiay (drawn by D. Lillard),,55-50,,
2:27.0,C. McCollum enters the game for A. Crabbe,,55-50,,
2:27.0,D. Lillard makes free throw 1 of 1,1,56-50,,
2:10.0,,,56-50,,J. Hickson misses 2-pt shot from 2 ft
2:10.0,Defensive rebound by M. Plumlee,,56-50,,
2:02.0,D. Lillard misses 2-pt shot at rim (block by J. Hickson),,56-50,,
2:01.0,,,56-50,,Defensive rebound by D. Gallinari
1:58.0,,,56-52,2,D. Gallinari makes 2-pt shot from 1 ft
1:36.0,D. Lillard makes 2-pt shot from 20 ft,2,58-52,,
1:21.0,,,58-52,,G. Harris misses 2-pt shot from 4 ft
1:20.0,Defensive rebound by C. McCollum,,58-52,,
1:09.0,D. Lillard misses 3-pt shot from 25 ft,,58-52,,
1:08.0,,,58-52,,Defensive rebound by D. Gallinari
1:00.0,,,58-54,2,E. Mudiay makes 2-pt shot from 18 ft
0:45.0,A. Aminu misses 2-pt shot from 5 ft,,58-54,,
0:44.0,,,58-54,,Defensive rebound by J. Hickson
0:42.0,,,58-54,,Turnover by E. Mudiay (bad pass)
0:42.0,,,58-54,,R. Foye enters the game for E. Mudiay
0:30.0,C. McCollum misses 2-pt shot from 19 ft,,58-54,,
0:28.0,Offensive rebound by Team,,58-54,,
0:22.0,A. Aminu misses 2-pt shot from 4 ft,,58-54,,
0:21.0,,,58-54,,Defensive rebound by J. Hickson
0:05.0,,,58-57,3,R. Foye makes 3-pt shot from 25 ft
0:01.0,D. Lillard misses 2-pt shot from 1 ft,,58-57,,
0:00.0,Offensive rebound by Team,,58-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,58-57,,Personal foul by J. Hickson (drawn by A. Aminu)
11:37.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard),3,61-57,,
11:24.0,,,61-59,2,K. Faried makes 2-pt shot from 3 ft (assist by D. Gallinari)
11:24.0,,,61-59,,Shooting foul by M. Leonard (drawn by K. Faried)
11:24.0,,,61-59,,K. Faried misses free throw 1 of 1
11:21.0,Defensive rebound by M. Plumlee,,61-59,,
11:08.0,M. Leonard misses 2-pt shot from 2 ft,,61-59,,
11:07.0,,,61-59,,Defensive rebound by J. Hickson
10:56.0,,,61-61,2,E. Mudiay makes 2-pt shot from 1 ft
10:37.0,A. Aminu makes 2-pt shot from 6 ft,2,63-61,,
10:25.0,,,63-61,,Shooting foul by M. Leonard (drawn by J. Hickson)
10:25.0,,,63-62,1,J. Hickson makes free throw 1 of 2
10:25.0,,,63-62,,J. Hickson misses free throw 2 of 2
10:24.0,Defensive rebound by M. Leonard,,63-62,,
10:04.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,65-62,,
9:52.0,,,65-62,,G. Harris misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by Team,,65-62,,
9:35.0,C. McCollum misses 2-pt shot from 5 ft,,65-62,,
9:31.0,,,65-62,,Defensive rebound by Team
9:31.0,Jump ball: K. Faried vs. D. Lillard (E. Mudiay gains possession),,,,Jump ball: K. Faried vs. D. Lillard (E. Mudiay gains possession)
9:12.0,,,65-62,,G. Harris misses 2-pt shot from 1 ft
9:11.0,,,65-62,,Offensive rebound by Team
9:00.0,,,65-62,,D. Gallinari misses 2-pt shot from 20 ft
8:57.0,,,65-62,,Offensive rebound by K. Faried
8:57.0,,,65-64,2,K. Faried makes 2-pt shot at rim
8:40.0,A. Aminu misses 3-pt shot from 23 ft,,65-64,,
8:39.0,,,65-64,,Defensive rebound by G. Harris
8:31.0,,,65-64,,D. Gallinari misses 3-pt shot from 24 ft
8:28.0,,,65-64,,Offensive rebound by Team
8:17.0,,,65-66,2,J. Hickson makes 2-pt shot from 11 ft (assist by E. Mudiay)
8:00.0,M. Leonard misses 3-pt shot from 25 ft,,65-66,,
7:58.0,,,65-66,,Defensive rebound by E. Mudiay
7:51.0,,,65-66,,E. Mudiay misses 2-pt shot from 1 ft
7:50.0,Defensive rebound by M. Leonard,,65-66,,
7:42.0,A. Aminu misses 2-pt shot from 1 ft,,65-66,,
7:41.0,Offensive rebound by C. McCollum,,65-66,,
7:26.0,D. Lillard misses 2-pt shot from 4 ft,,65-66,,
7:25.0,Offensive rebound by D. Lillard,,65-66,,
7:18.0,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard),3,68-66,,
7:14.0,Personal foul by A. Aminu (drawn by D. Gallinari),,68-66,,
6:56.0,,,68-68,2,K. Faried makes 2-pt shot from 2 ft
6:56.0,,,68-68,,Shooting foul by M. Leonard (drawn by K. Faried)
6:56.0,N. Vonleh enters the game for M. Leonard,,68-68,,
6:56.0,,,68-68,,K. Faried misses free throw 1 of 1
6:55.0,Defensive rebound by N. Vonleh,,68-68,,
6:50.0,,,68-68,,Shooting block foul by E. Mudiay (drawn by C. McCollum)
6:50.0,C. McCollum makes free throw 1 of 2,1,69-68,,
6:50.0,C. McCollum makes free throw 2 of 2,1,70-68,,
6:38.0,,,70-68,,K. Faried misses 2-pt shot from 1 ft (block by M. Plumlee)
6:32.0,,,70-68,,Offensive rebound by E. Mudiay
6:32.0,,,70-70,2,E. Mudiay makes 2-pt shot from 1 ft
6:26.0,Turnover by A. Aminu (traveling),,70-70,,
6:12.0,,,70-70,,E. Mudiay misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by M. Plumlee,,70-70,,
5:58.0,M. Plumlee makes 2-pt shot from 1 ft,2,72-70,,
5:48.0,,,72-73,3,E. Mudiay makes 3-pt shot from 23 ft (assist by G. Harris)
5:31.0,C. McCollum misses 3-pt shot from 24 ft,,72-73,,
5:30.0,,,72-73,,Defensive rebound by J. Hickson
5:22.0,,,72-73,,E. Mudiay misses 2-pt shot from 12 ft
5:22.0,Defensive rebound by Team,,72-73,,
5:22.0,,,72-73,,Denver full timeout
5:22.0,A. Crabbe enters the game for C. McCollum,,72-73,,
4:56.0,A. Aminu misses 3-pt shot from 22 ft,,72-73,,
4:56.0,,,72-73,,Defensive rebound by E. Mudiay
4:40.0,,,72-73,,Turnover by G. Harris (step out of bounds)
4:40.0,,,72-73,,R. Foye enters the game for E. Mudiay
4:24.0,A. Crabbe misses 3-pt shot from 24 ft,,72-73,,
4:23.0,,,72-73,,Defensive rebound by R. Foye
4:12.0,,,72-73,,D. Gallinari misses 3-pt shot from 25 ft
4:10.0,,,72-73,,Offensive rebound by J. Hickson
4:07.0,,,72-75,2,J. Hickson makes 2-pt shot from 2 ft
3:47.0,D. Lillard misses 2-pt shot from 1 ft,,72-75,,
3:46.0,Offensive rebound by D. Lillard,,72-75,,
3:41.0,D. Lillard misses 2-pt shot from 11 ft,,72-75,,
3:40.0,,,72-75,,Defensive rebound by J. Hickson
3:31.0,,,72-75,,K. Faried misses 2-pt shot from 15 ft
3:31.0,,,72-75,,Offensive rebound by K. Faried
3:31.0,,,72-77,2,K. Faried makes 2-pt shot from 15 ft
3:31.0,Portland full timeout,,72-77,,
3:31.0,M. Harkless enters the game for A. Aminu,,72-77,,
3:31.0,E. Davis enters the game for M. Plumlee,,72-77,,
3:31.0,,,72-77,,D. Arthur enters the game for K. Faried
3:11.0,M. Harkless misses 2-pt shot from 3 ft (block by D. Arthur),,72-77,,
3:11.0,Offensive rebound by Team,,72-77,,
3:06.0,N. Vonleh misses 2-pt shot from 1 ft,,72-77,,
3:05.0,,,72-77,,Defensive rebound by J. Hickson
2:47.0,,,72-79,2,G. Harris makes 2-pt shot from 1 ft (assist by R. Foye)
2:27.0,A. Crabbe misses 2-pt shot from 19 ft,,72-79,,
2:26.0,,,72-79,,Defensive rebound by D. Gallinari
2:18.0,,,72-79,,Turnover by D. Gallinari (lost ball; steal by E. Davis)
2:12.0,A. Crabbe misses 3-pt shot from 24 ft,,72-79,,
2:10.0,Offensive rebound by N. Vonleh,,72-79,,
2:07.0,N. Vonleh misses 2-pt shot from 4 ft,,72-79,,
2:07.0,Offensive rebound by E. Davis,,72-79,,
2:07.0,,,72-79,,Personal foul by G. Harris (drawn by E. Davis)
2:07.0,M. Leonard enters the game for N. Vonleh,,72-79,,
2:07.0,,,72-79,,N. Jokic enters the game for J. Hickson
1:48.0,A. Crabbe makes 2-pt shot from 10 ft (assist by M. Leonard),2,74-79,,
1:20.0,,,74-79,,Turnover by Team (shot clock)
1:20.0,,,74-79,,W. Barton enters the game for G. Harris
1:07.0,Turnover by M. Harkless (lost ball; steal by N. Jokic),,74-79,,
0:50.0,,,74-79,,Turnover by W. Barton (discontinued dribble)
0:50.0,C. McCollum enters the game for A. Crabbe,,74-79,,
0:50.0,,,74-79,,K. Papanikolaou enters the game for D. Gallinari
0:34.0,D. Lillard makes 2-pt shot from 2 ft,2,76-79,,
0:14.0,,,76-79,,D. Arthur misses 2-pt shot from 19 ft
0:13.0,Defensive rebound by C. McCollum,,76-79,,
0:05.0,D. Lillard makes 3-pt shot from 29 ft,3,79-79,,
0:05.0,Shooting foul by R. Foye (drawn by D. Lillard),,79-79,,
0:05.0,D. Lillard makes free throw 1 of 1,1,80-79,,
0:01.0,,,80-79,,R. Foye misses 3-pt shot from 26 ft
0:00.0,,,80-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,80-81,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur)
11:14.0,E. Davis misses 2-pt shot from 7 ft,,80-81,,
11:13.0,,,80-81,,Defensive rebound by K. Papanikolaou
11:00.0,,,80-83,2,N. Jokic makes 2-pt shot from 1 ft
10:42.0,A. Crabbe misses 3-pt shot from 23 ft,,80-83,,
10:42.0,,,80-83,,Defensive rebound by D. Arthur
10:29.0,,,80-86,3,R. Foye makes 3-pt shot from 24 ft (assist by K. Papanikolaou)
10:29.0,Portland full timeout,,80-86,,
10:12.0,M. Harkless misses 2-pt shot from 3 ft,,80-86,,
10:11.0,,,80-86,,Defensive rebound by N. Jokic
9:52.0,,,80-86,,R. Foye misses 2-pt shot from 20 ft
9:51.0,Defensive rebound by E. Davis,,80-86,,
9:42.0,C. McCollum makes 2-pt shot from 8 ft,2,82-86,,
9:25.0,,,82-86,,W. Barton misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by M. Harkless,,82-86,,
9:04.0,C. McCollum makes 2-pt shot from 2 ft,2,84-86,,
8:49.0,,,84-86,,W. Barton misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by M. Leonard,,84-86,,
8:27.0,C. McCollum makes 3-pt shot from 24 ft,3,87-86,,
8:27.0,,,87-86,,Denver full timeout
8:27.0,D. Lillard enters the game for A. Crabbe,,87-86,,
8:27.0,A. Aminu enters the game for M. Harkless,,87-86,,
8:18.0,,,87-88,2,K. Papanikolaou makes 2-pt shot from 22 ft (assist by N. Jokic)
8:00.0,M. Leonard misses 3-pt shot from 26 ft,,87-88,,
8:00.0,Offensive rebound by Team,,87-88,,
8:00.0,,,87-88,,Loose ball foul by N. Jokic (drawn by E. Davis)
7:52.0,A. Aminu misses 3-pt shot from 22 ft,,87-88,,
7:51.0,,,87-88,,Defensive rebound by Team
7:51.0,Loose ball foul by E. Davis (drawn by N. Jokic),,87-88,,
7:51.0,,,87-88,,K. Faried enters the game for N. Jokic
7:41.0,,,87-88,,Offensive foul by D. Arthur
7:41.0,,,87-88,,Turnover by D. Arthur (offensive foul)
7:27.0,C. McCollum misses 2-pt shot from 18 ft,,87-88,,
7:27.0,,,87-88,,Defensive rebound by K. Faried
7:21.0,,,87-88,,W. Barton misses 2-pt shot from 1 ft
7:20.0,,,87-88,,Offensive rebound by K. Papanikolaou
7:13.0,,,87-88,,D. Arthur misses 3-pt shot from 22 ft
7:12.0,Defensive rebound by A. Aminu,,87-88,,
7:04.0,A. Aminu misses 2-pt shot from 1 ft (block by D. Arthur),,87-88,,
7:02.0,,,87-88,,Defensive rebound by Team
7:02.0,,,87-88,,D. Gallinari enters the game for K. Papanikolaou
7:02.0,,,87-88,,E. Mudiay enters the game for R. Foye
7:02.0,M. Plumlee enters the game for E. Davis,,87-88,,
6:46.0,,,87-91,3,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay)
6:19.0,A. Aminu misses 3-pt shot from 24 ft,,87-91,,
6:18.0,,,87-91,,Defensive rebound by W. Barton
6:08.0,,,87-93,2,W. Barton makes 2-pt shot from 7 ft
5:51.0,Shooting foul by K. Faried (drawn by M. Plumlee),,87-93,,
5:51.0,M. Plumlee makes free throw 1 of 2,1,88-93,,
5:51.0,M. Plumlee makes free throw 2 of 2,1,89-93,,
5:40.0,,,89-93,,Turnover by K. Faried (lost ball; steal by D. Lillard)
5:37.0,Shooting foul by D. Arthur (drawn by D. Lillard),,89-93,,
5:37.0,D. Lillard makes free throw 1 of 2,1,90-93,,
5:37.0,,,90-93,,J. Hickson enters the game for D. Arthur
5:37.0,D. Lillard makes free throw 2 of 2,1,91-93,,
5:15.0,,,91-93,,E. Mudiay misses 3-pt shot from 28 ft
5:14.0,Defensive rebound by M. Leonard,,91-93,,
5:05.0,D. Lillard misses 3-pt shot from 29 ft,,91-93,,
5:04.0,,,91-93,,Defensive rebound by K. Faried
4:53.0,,,91-93,,Turnover by D. Gallinari (lost ball; steal by A. Aminu)
4:50.0,A. Aminu makes 2-pt shot at rim,2,93-93,,
