time,LA Clippers,pts.away,score,pts.home,Miami
7:06.0,,,5-5,,J. Winslow enters the game for C. Bosh
7:06.0,C. Paul makes free throw 2 of 2,1,6-5,,
6:51.0,,,6-5,,D. Wade misses 2-pt shot from 8 ft
6:51.0,,,6-5,,Offensive rebound by D. Wade
6:51.0,,,6-5,,Turnover by D. Wade (traveling)
6:44.0,L. Mbah a Moute misses 2-pt shot at rim,,6-5,,
6:43.0,,,6-5,,Defensive rebound by J. Winslow
6:36.0,,,6-8,3,G. Dragic makes 3-pt shot from 23 ft (assist by A. Stoudemire)
6:20.0,C. Paul misses 2-pt shot at rim,,6-8,,
6:19.0,,,6-8,,Defensive rebound by A. Stoudemire
6:03.0,,,6-8,,J. Winslow misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by D. Jordan,,6-8,,
5:53.0,C. Paul misses 2-pt shot from 8 ft,,6-8,,
5:52.0,,,6-8,,Defensive rebound by A. Stoudemire
5:40.0,,,6-8,,Miami full timeout
5:40.0,W. Johnson enters the game for P. Pierce,,6-8,,
5:40.0,J. Crawford enters the game for L. Mbah a Moute,,6-8,,
5:33.0,,,6-8,,D. Wade misses 2-pt shot from 4 ft
5:32.0,Defensive rebound by W. Johnson,,6-8,,
5:14.0,J. Redick misses 2-pt shot from 18 ft,,6-8,,
5:13.0,,,6-8,,Defensive rebound by D. Wade
5:00.0,,,6-10,2,L. Deng makes 2-pt shot at rim (assist by G. Dragic)
4:43.0,J. Crawford misses 2-pt shot from 16 ft,,6-10,,
4:42.0,,,6-10,,Defensive rebound by D. Wade
4:22.0,,,6-12,2,A. Stoudemire makes 2-pt shot from 17 ft (assist by G. Dragic)
4:04.0,W. Johnson misses 3-pt shot from 22 ft,,6-12,,
4:04.0,Offensive rebound by Team,,6-12,,
4:04.0,,,6-12,,Loose ball foul by A. Stoudemire (drawn by W. Johnson)
3:58.0,J. Crawford misses 3-pt shot from 23 ft,,6-12,,
3:57.0,,,6-12,,Defensive rebound by J. Winslow
3:46.0,,,6-12,,G. Dragic misses 2-pt shot from 16 ft
3:45.0,Defensive rebound by W. Johnson,,6-12,,
3:38.0,Turnover by C. Paul (bad pass; steal by D. Wade),,6-12,,
3:30.0,,,6-12,,Turnover by D. Wade (bad pass; steal by C. Paul)
3:16.0,C. Paul misses 3-pt shot from 23 ft,,6-12,,
3:15.0,Offensive rebound by W. Johnson,,6-12,,
3:07.0,C. Paul misses 2-pt shot from 3 ft,,6-12,,
3:06.0,,,6-12,,Defensive rebound by A. Stoudemire
3:00.0,,,6-14,2,D. Wade makes 2-pt shot at rim
3:00.0,LA Clippers full timeout,,6-14,,
3:00.0,L. Stephenson enters the game for J. Redick,,6-14,,
3:00.0,P. Prigioni enters the game for C. Paul,,6-14,,
3:00.0,,,6-14,,G. Green enters the game for A. Stoudemire
3:00.0,,,6-14,,H. Whiteside enters the game for D. Wade
2:47.0,W. Johnson makes 2-pt shot from 14 ft (assist by P. Prigioni),2,8-14,,
2:29.0,,,8-14,,Turnover by G. Dragic (bad pass; steal by W. Johnson)
2:24.0,J. Crawford misses 2-pt shot from 17 ft,,8-14,,
2:23.0,,,8-14,,Defensive rebound by H. Whiteside
2:11.0,,,8-14,,Turnover by G. Dragic (3 sec)
2:11.0,,,8-14,,B. Udrih enters the game for G. Dragic
1:53.0,P. Prigioni makes 2-pt shot from 20 ft (assist by J. Crawford),2,10-14,,
1:40.0,,,10-16,2,B. Udrih makes 2-pt shot from 10 ft
1:24.0,J. Crawford makes 2-pt shot from 15 ft,2,12-16,,
1:24.0,Shooting foul by G. Green (drawn by J. Crawford),,12-16,,
1:24.0,J. Crawford makes free throw 1 of 1,1,13-16,,
1:04.0,,,13-16,,B. Udrih misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by Team,,13-16,,
1:04.0,,,13-16,,Loose ball foul by H. Whiteside (drawn by D. Jordan)
1:04.0,D. Jordan misses free throw 1 of 2,,13-16,,
1:04.0,Offensive rebound by Team,,13-16,,
1:04.0,D. Jordan misses free throw 2 of 2,,13-16,,
1:03.0,,,13-16,,Defensive rebound by H. Whiteside
0:46.0,,,13-18,2,L. Deng makes 2-pt shot from 6 ft
0:29.0,L. Stephenson makes 2-pt shot from 2 ft,2,15-18,,
0:17.0,,,15-18,,Turnover by G. Green (lost ball)
0:13.0,,,15-18,,Personal take foul by B. Udrih (drawn by D. Jordan)
0:13.0,D. Jordan misses free throw 1 of 2,,15-18,,
0:13.0,Offensive rebound by Team,,15-18,,
0:13.0,D. Jordan misses free throw 2 of 2,,15-18,,
0:13.0,,,15-18,,Defensive rebound by H. Whiteside
0:06.0,Personal foul by P. Prigioni (drawn by B. Udrih),,15-18,,
0:06.0,C. Aldrich enters the game for D. Jordan,,15-18,,
0:05.0,Personal take foul by C. Aldrich (drawn by H. Whiteside),,15-18,,
0:05.0,,,15-19,1,H. Whiteside makes free throw 1 of 2
0:05.0,C. Paul enters the game for C. Aldrich,,15-19,,
0:05.0,,,15-19,,H. Whiteside misses free throw 2 of 2
0:05.0,Defensive rebound by W. Johnson,,15-19,,
0:01.0,P. Prigioni misses 3-pt shot from 24 ft,,15-19,,
0:00.0,Offensive rebound by Team,,15-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,15-19,,H. Whiteside misses 2-pt shot from 3 ft
11:45.0,,,15-19,,Offensive rebound by H. Whiteside
11:42.0,,,15-21,2,H. Whiteside makes 2-pt shot from 5 ft
11:23.0,J. Crawford misses 3-pt shot from 27 ft,,15-21,,
11:22.0,Offensive rebound by P. Prigioni,,15-21,,
11:14.0,L. Stephenson makes 2-pt shot from 2 ft,2,17-21,,
11:01.0,,,17-23,2,H. Whiteside makes 2-pt shot at rim (assist by B. Udrih)
10:45.0,Shooting foul by J. Winslow (drawn by C. Aldrich),,17-23,,
10:45.0,C. Aldrich makes free throw 1 of 2,1,18-23,,
10:45.0,C. Aldrich misses free throw 2 of 2,,18-23,,
10:44.0,,,18-23,,Defensive rebound by J. Winslow
10:28.0,Personal foul by W. Johnson (drawn by C. Bosh),,18-23,,
10:23.0,Personal foul by J. Crawford (drawn by G. Green),,18-23,,
10:19.0,Personal foul by L. Stephenson (drawn by J. Winslow),,18-23,,
10:11.0,,,18-23,,G. Green misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by L. Stephenson,,18-23,,
9:49.0,J. Crawford makes 2-pt shot from 2 ft,2,20-23,,
9:33.0,,,20-23,,Shooting foul by W. Johnson (drawn by C. Bosh)
9:33.0,,,20-24,1,C. Bosh makes free throw 1 of 2
9:33.0,,,20-25,1,C. Bosh makes free throw 2 of 2
9:13.0,Turnover by J. Crawford (bad pass; steal by G. Green),,20-25,,
9:03.0,,,20-27,2,G. Green makes 2-pt shot from 9 ft
8:43.0,W. Johnson makes 3-pt shot from 24 ft (assist by P. Prigioni),3,23-27,,
8:28.0,,,23-27,,C. Bosh misses 2-pt shot from 2 ft
8:27.0,,,23-27,,Offensive rebound by H. Whiteside
8:25.0,,,23-29,2,H. Whiteside makes 2-pt shot at rim
8:11.0,L. Stephenson misses 2-pt shot from 4 ft,,23-29,,
8:10.0,,,23-29,,Defensive rebound by J. Winslow
7:57.0,,,23-29,,C. Bosh misses 2-pt shot from 17 ft
7:56.0,Defensive rebound by C. Aldrich,,23-29,,
7:48.0,W. Johnson makes 3-pt shot from 22 ft (assist by L. Stephenson),3,26-29,,
7:34.0,,,26-29,,Turnover by B. Udrih (bad pass; steal by W. Johnson)
7:26.0,L. Stephenson makes 2-pt shot from 1 ft,2,28-29,,
7:25.0,,,28-29,,Miami full timeout
7:25.0,C. Paul enters the game for P. Prigioni,,28-29,,
7:25.0,,,28-29,,G. Dragic enters the game for B. Udrih
7:05.0,,,28-29,,Turnover by C. Bosh (bad pass; steal by L. Stephenson)
6:51.0,J. Crawford misses 3-pt shot from 24 ft,,28-29,,
6:50.0,,,28-29,,Defensive rebound by H. Whiteside
6:39.0,,,28-31,2,G. Green makes 2-pt shot from 11 ft (assist by G. Dragic)
6:22.0,L. Stephenson makes 3-pt shot from 24 ft,3,31-31,,
6:06.0,,,31-31,,C. Bosh misses 2-pt shot from 2 ft (block by C. Aldrich)
6:05.0,,,31-31,,Offensive rebound by C. Bosh
6:04.0,,,31-31,,C. Bosh misses 2-pt shot from 5 ft (block by C. Aldrich)
6:03.0,Defensive rebound by C. Aldrich,,31-31,,
5:46.0,C. Paul misses 2-pt shot from 16 ft,,31-31,,
5:45.0,,,31-31,,Defensive rebound by H. Whiteside
5:41.0,,,31-31,,Shooting foul by W. Johnson (drawn by G. Green)
5:41.0,Official timeout,,31-31,,
5:41.0,D. Jordan enters the game for J. Crawford,,31-31,,
5:41.0,J. Redick enters the game for W. Johnson,,31-31,,
5:41.0,L. Mbah a Moute enters the game for C. Aldrich,,31-31,,
5:41.0,,,31-31,,D. Wade enters the game for C. Bosh
5:41.0,,,31-31,,L. Deng enters the game for J. Winslow
5:41.0,,,31-31,,G. Green misses free throw 1 of 2
5:41.0,,,31-31,,Offensive rebound by Team
5:41.0,,,31-32,1,G. Green makes free throw 2 of 2
5:32.0,C. Paul misses 3-pt shot from 24 ft,,31-32,,
5:31.0,,,31-32,,Defensive rebound by G. Green
5:14.0,,,31-32,,L. Deng misses 2-pt shot from 6 ft
5:13.0,,,31-32,,Offensive rebound by Team
5:02.0,,,31-32,,G. Dragic misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by L. Mbah a Moute,,31-32,,
4:54.0,Turnover by L. Stephenson (offensive foul),,31-32,,
4:54.0,Offensive charge foul by L. Stephenson,,31-32,,
4:42.0,,,31-34,2,L. Deng makes 2-pt shot from 21 ft (assist by D. Wade)
4:13.0,D. Jordan misses 2-pt shot from 4 ft,,31-34,,
4:12.0,,,31-34,,Defensive rebound by H. Whiteside
4:04.0,,,31-36,2,G. Green makes 2-pt shot from 15 ft
3:56.0,LA Clippers full timeout,,31-36,,
3:56.0,J. Crawford enters the game for L. Mbah a Moute,,31-36,,
3:56.0,P. Pierce enters the game for L. Stephenson,,31-36,,
3:48.0,J. Crawford makes 2-pt shot from 2 ft (assist by C. Paul),2,33-36,,
3:34.0,,,33-38,2,D. Wade makes 2-pt shot from 17 ft (assist by G. Dragic)
3:18.0,,,33-38,,Def 3 sec tech foul by H. Whiteside
3:18.0,C. Paul makes technical free throw,1,34-38,,
3:11.0,C. Paul makes 2-pt shot from 16 ft,2,36-38,,
2:58.0,,,36-40,2,D. Wade makes 2-pt shot from 16 ft (assist by G. Dragic)
2:40.0,C. Paul makes 2-pt shot from 15 ft,2,38-40,,
2:16.0,,,38-42,2,D. Wade makes 2-pt shot from 17 ft
1:57.0,C. Paul misses 2-pt shot from 11 ft,,38-42,,
1:56.0,,,38-42,,Defensive rebound by H. Whiteside
1:44.0,,,38-42,,Turnover by G. Dragic (bad pass; steal by J. Redick)
1:40.0,,,38-42,,Shooting block foul by G. Dragic (drawn by J. Crawford)
1:40.0,J. Crawford makes free throw 1 of 2,1,39-42,,
1:40.0,,,39-42,,C. Bosh enters the game for H. Whiteside
1:40.0,J. Crawford makes free throw 2 of 2,1,40-42,,
1:24.0,,,40-42,,D. Wade misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by D. Jordan,,40-42,,
1:17.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,43-42,,
0:55.0,,,43-42,,C. Bosh misses 3-pt shot from 24 ft
0:54.0,,,43-42,,Offensive rebound by L. Deng
0:50.0,,,43-45,3,C. Bosh makes 3-pt shot from 24 ft (assist by L. Deng)
0:39.0,C. Paul misses 2-pt shot from 5 ft,,43-45,,
0:37.0,,,43-45,,Defensive rebound by G. Dragic
0:29.0,,,43-45,,C. Bosh misses 2-pt shot from 12 ft
0:27.0,Defensive rebound by P. Pierce,,43-45,,
0:11.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,46-45,,
0:03.0,,,46-45,,L. Deng misses 3-pt shot from 23 ft
0:02.0,,,46-45,,Offensive rebound by G. Green
0:00.0,,,46-45,,G. Green misses 2-pt shot from 11 ft
0:00.0,,,46-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,46-45,,C. Bosh misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by D. Jordan,,46-45,,
11:26.0,J. Redick misses 2-pt shot from 9 ft,,46-45,,
11:24.0,Offensive rebound by Team,,46-45,,
11:14.0,J. Redick misses 2-pt shot from 19 ft,,46-45,,
11:13.0,,,46-45,,Defensive rebound by A. Stoudemire
10:59.0,,,46-45,,Turnover by A. Stoudemire (bad pass; steal by J. Redick)
10:54.0,,,46-45,,Technical foul by A. Stoudemire
10:54.0,C. Paul makes technical free throw,1,47-45,,
10:37.0,C. Paul makes 2-pt shot from 19 ft,2,49-45,,
10:20.0,Personal foul by C. Paul (drawn by A. Stoudemire),,49-45,,
10:08.0,,,49-45,,G. Dragic misses 2-pt shot from 17 ft
10:07.0,Defensive rebound by L. Mbah a Moute,,49-45,,
9:58.0,J. Redick misses 2-pt shot from 15 ft,,49-45,,
9:57.0,,,49-45,,Defensive rebound by A. Stoudemire
9:41.0,,,49-45,,D. Wade misses 2-pt shot from 6 ft
9:39.0,Defensive rebound by D. Jordan,,49-45,,
9:33.0,P. Pierce misses 3-pt shot from 25 ft,,49-45,,
9:32.0,,,49-45,,Defensive rebound by Team
9:14.0,Personal foul by D. Jordan (drawn by A. Stoudemire),,49-45,,
9:06.0,,,49-45,,Shooting foul by J. Redick (drawn by C. Bosh)
9:06.0,,,49-45,,C. Bosh misses free throw 1 of 2
9:06.0,,,49-45,,Offensive rebound by Team
9:06.0,,,49-46,1,C. Bosh makes free throw 2 of 2
8:50.0,P. Pierce makes 2-pt shot from 17 ft (assist by J. Redick),2,51-46,,
8:28.0,,,51-46,,Shooting foul by L. Mbah a Moute (drawn by D. Wade)
8:28.0,,,51-47,1,D. Wade makes free throw 1 of 2
8:28.0,,,51-48,1,D. Wade makes free throw 2 of 2
8:22.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,53-48,,
8:22.0,Shooting foul by L. Deng (drawn by J. Redick),,53-48,,
8:22.0,J. Redick makes free throw 1 of 1,1,54-48,,
8:13.0,,,54-48,,D. Wade misses 2-pt shot from 16 ft
8:12.0,Defensive rebound by C. Paul,,54-48,,
8:04.0,Turnover by J. Redick (lost ball),,54-48,,
7:49.0,,,54-51,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
7:49.0,,,54-51,,Shooting foul by P. Pierce (drawn by L. Deng)
7:49.0,,,54-52,1,L. Deng makes free throw 1 of 1
7:35.0,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul),2,56-52,,
7:29.0,,,56-52,,Offensive charge foul by D. Wade
7:29.0,,,56-52,,Turnover by D. Wade (offensive foul)
7:17.0,P. Pierce misses 3-pt shot from 24 ft,,56-52,,
7:16.0,Offensive rebound by D. Jordan,,56-52,,
7:10.0,P. Pierce misses 3-pt shot from 24 ft,,56-52,,
7:09.0,,,56-52,,Defensive rebound by A. Stoudemire
7:02.0,,,56-52,,G. Dragic misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by P. Pierce,,56-52,,
7:00.0,,,56-52,,Personal foul by G. Dragic (drawn by C. Paul)
6:44.0,Shooting foul by C. Bosh (drawn by L. Mbah a Moute),,56-52,,
6:44.0,L. Mbah a Moute makes free throw 1 of 2,1,57-52,,
6:44.0,,,57-52,,J. Winslow enters the game for C. Bosh
6:44.0,L. Mbah a Moute makes free throw 2 of 2,1,58-52,,
6:32.0,J. Crawford enters the game for L. Mbah a Moute,,58-52,,
6:32.0,W. Johnson enters the game for P. Pierce,,58-52,,
6:24.0,,,58-52,,D. Wade misses 2-pt shot from 16 ft
6:23.0,Defensive rebound by C. Paul,,58-52,,
6:10.0,C. Paul makes 2-pt shot from 2 ft (assist by D. Jordan),2,60-52,,
6:10.0,,,60-52,,Miami full timeout
5:52.0,,,60-52,,J. Winslow misses 2-pt shot from 5 ft (block by D. Jordan)
5:51.0,Defensive rebound by W. Johnson,,60-52,,
5:41.0,C. Paul makes 2-pt shot from 15 ft,2,62-52,,
5:27.0,,,62-52,,D. Wade misses 2-pt shot from 7 ft (block by D. Jordan)
5:26.0,,,62-52,,Offensive rebound by Team
5:26.0,,,62-52,,H. Whiteside enters the game for A. Stoudemire
5:23.0,,,62-52,,Shooting foul by W. Johnson (drawn by L. Deng)
5:23.0,,,62-53,1,L. Deng makes free throw 1 of 2
5:23.0,,,62-53,,L. Deng misses free throw 2 of 2
5:22.0,Defensive rebound by W. Johnson,,62-53,,
5:06.0,C. Paul misses 2-pt shot from 5 ft,,62-53,,
5:05.0,Offensive rebound by D. Jordan,,62-53,,
5:04.0,D. Jordan makes 2-pt shot from 1 ft,2,64-53,,
4:50.0,,,64-53,,Shooting foul by D. Jordan (drawn by H. Whiteside)
4:50.0,,,64-54,1,H. Whiteside makes free throw 1 of 2
4:50.0,,,64-55,1,H. Whiteside makes free throw 2 of 2
4:40.0,Shooting foul by J. Winslow (drawn by D. Jordan),,64-55,,
4:40.0,D. Jordan misses free throw 1 of 2,,64-55,,
4:40.0,Offensive rebound by Team,,64-55,,
4:40.0,D. Jordan makes free throw 2 of 2,1,65-55,,
4:26.0,,,65-55,,D. Wade misses 2-pt shot from 6 ft
4:25.0,,,65-55,,Offensive rebound by L. Deng
4:25.0,,,65-55,,Shooting foul by J. Redick (drawn by L. Deng)
4:25.0,,,65-56,1,L. Deng makes free throw 1 of 2
4:25.0,,,65-57,1,L. Deng makes free throw 2 of 2
4:23.0,,,65-57,,Personal take foul by D. Wade (drawn by D. Jordan)
4:23.0,D. Jordan misses free throw 1 of 2,,65-57,,
4:23.0,Offensive rebound by Team,,65-57,,
4:23.0,D. Jordan misses free throw 2 of 2,,65-57,,
4:22.0,,,65-57,,Defensive rebound by H. Whiteside
4:06.0,,,65-59,2,G. Dragic makes 2-pt shot from 2 ft
4:02.0,,,65-59,,Personal take foul by L. Deng (drawn by D. Jordan)
4:02.0,D. Jordan makes free throw 1 of 2,1,66-59,,
4:02.0,D. Jordan misses free throw 2 of 2,,66-59,,
4:01.0,,,66-59,,Defensive rebound by J. Winslow
3:50.0,Personal foul by C. Paul (drawn by H. Whiteside),,66-59,,
3:50.0,,,66-59,,H. Whiteside misses free throw 1 of 2
3:50.0,,,66-59,,Offensive rebound by Team
3:50.0,,,66-60,1,H. Whiteside makes free throw 2 of 2
3:49.0,,,66-60,,Personal take foul by J. Winslow (drawn by D. Jordan)
3:49.0,D. Jordan misses free throw 1 of 2,,66-60,,
3:49.0,Offensive rebound by Team,,66-60,,
3:49.0,D. Jordan makes free throw 2 of 2,1,67-60,,
3:36.0,,,67-60,,J. Winslow misses 3-pt shot from 22 ft
3:35.0,Defensive rebound by W. Johnson,,67-60,,
3:26.0,J. Crawford misses 2-pt shot from 8 ft,,67-60,,
3:26.0,Offensive rebound by Team,,67-60,,
3:26.0,,,67-60,,Loose ball foul by L. Deng (drawn by D. Jordan)
3:26.0,D. Jordan misses free throw 1 of 2,,67-60,,
3:26.0,Offensive rebound by Team,,67-60,,
3:26.0,D. Jordan misses free throw 2 of 2,,67-60,,
3:25.0,,,67-60,,Defensive rebound by J. Winslow
3:17.0,,,67-60,,Offensive foul by G. Dragic
3:17.0,,,67-60,,Turnover by G. Dragic (offensive foul)
3:17.0,LA Clippers full timeout,,67-60,,
3:17.0,C. Aldrich enters the game for D. Jordan,,67-60,,
3:05.0,Turnover by J. Redick (step out of bounds),,67-60,,
2:53.0,,,67-62,2,G. Dragic makes 2-pt shot from 8 ft
2:38.0,J. Redick makes 2-pt shot from 19 ft,2,69-62,,
2:23.0,,,69-62,,H. Whiteside misses 2-pt shot from 12 ft
2:21.0,Defensive rebound by C. Aldrich,,69-62,,
2:08.0,C. Paul misses 2-pt shot from 11 ft,,69-62,,
2:07.0,Offensive rebound by C. Aldrich,,69-62,,
2:04.0,C. Aldrich makes 2-pt shot from 1 ft,2,71-62,,
1:51.0,,,71-62,,D. Wade misses 2-pt shot from 18 ft
1:50.0,Defensive rebound by C. Aldrich,,71-62,,
1:50.0,,,71-62,,Loose ball foul by H. Whiteside (drawn by C. Aldrich)
1:50.0,C. Aldrich misses free throw 1 of 2,,71-62,,
1:50.0,Offensive rebound by Team,,71-62,,
1:50.0,,,71-62,,G. Green enters the game for L. Deng
1:50.0,,,71-62,,C. Bosh enters the game for H. Whiteside
1:50.0,C. Aldrich misses free throw 2 of 2,,71-62,,
1:46.0,,,71-62,,Defensive rebound by G. Dragic
1:35.0,,,71-62,,C. Bosh misses 2-pt shot from 15 ft
1:34.0,Defensive rebound by C. Aldrich,,71-62,,
1:22.0,W. Johnson makes 2-pt shot from 17 ft (assist by C. Aldrich),2,73-62,,
1:06.0,,,73-62,,Shooting foul by C. Aldrich (drawn by D. Wade)
1:06.0,,,73-63,1,D. Wade makes free throw 1 of 2
1:06.0,P. Prigioni enters the game for J. Redick,,73-63,,
1:06.0,,,73-63,,B. Udrih enters the game for G. Dragic
1:06.0,L. Stephenson enters the game for C. Paul,,73-63,,
1:06.0,,,73-63,,D. Wade misses free throw 2 of 2
1:04.0,Defensive rebound by C. Aldrich,,73-63,,
0:54.0,J. Crawford misses 2-pt shot from 3 ft,,73-63,,
0:52.0,,,73-63,,Defensive rebound by C. Bosh
0:47.0,,,73-65,2,D. Wade makes 2-pt shot at rim
0:47.0,,,73-65,,Shooting foul by W. Johnson (drawn by D. Wade)
0:47.0,P. Pierce enters the game for W. Johnson,,73-65,,
0:47.0,,,73-65,,D. Wade misses free throw 1 of 1
0:47.0,Defensive rebound by C. Aldrich,,73-65,,
0:31.0,J. Crawford misses 2-pt shot from 8 ft,,73-65,,
0:30.0,,,73-65,,Defensive rebound by J. Winslow
0:25.0,,,73-65,,G. Green misses 3-pt shot from 23 ft
0:23.0,,,73-65,,Offensive rebound by J. Winslow
0:20.0,,,73-65,,J. Winslow misses 2-pt shot from 1 ft
0:18.0,,,73-65,,Offensive rebound by B. Udrih
0:11.0,Technical foul by J. Crawford,,73-65,,
0:11.0,,,73-65,,C. Bosh misses technical free throw
0:11.0,,,73-65,,Offensive rebound by Team
0:11.0,L. Mbah a Moute enters the game for J. Crawford,,73-65,,
0:00.0,,,73-65,,J. Winslow misses 2-pt shot from 8 ft
0:00.0,,,73-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Crawford makes 2-pt shot from 21 ft,2,75-65,,
11:27.0,Personal foul by L. Stephenson (drawn by G. Green),,75-65,,
11:19.0,,,75-65,,C. Bosh misses 2-pt shot from 19 ft
11:19.0,,,75-65,,Offensive rebound by L. Deng
11:19.0,Personal foul by P. Pierce (drawn by L. Deng),,75-65,,
11:12.0,,,75-65,,B. Udrih misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by C. Aldrich,,75-65,,
10:58.0,J. Crawford makes 2-pt shot from 19 ft,2,77-65,,
10:41.0,,,77-68,3,C. Bosh makes 3-pt shot from 24 ft (assist by B. Udrih)
10:16.0,P. Pierce makes 2-pt shot from 16 ft,2,79-68,,
9:50.0,,,79-68,,Shooting foul by P. Prigioni (drawn by J. Winslow)
9:50.0,,,79-69,1,J. Winslow makes free throw 1 of 2
9:50.0,,,79-70,1,J. Winslow makes free throw 2 of 2
9:32.0,C. Aldrich misses 2-pt shot from 2 ft,,79-70,,
9:31.0,Offensive rebound by C. Aldrich,,79-70,,
9:30.0,Turnover by C. Aldrich (lost ball),,79-70,,
9:16.0,,,79-72,2,C. Bosh makes 2-pt shot from 1 ft
9:16.0,LA Clippers full timeout,,79-72,,
9:00.0,J. Crawford misses 2-pt shot from 10 ft,,79-72,,
9:00.0,Offensive rebound by C. Aldrich,,79-72,,
9:00.0,C. Aldrich makes 2-pt shot from 3 ft,2,81-72,,
9:00.0,Shooting foul by C. Bosh (drawn by C. Aldrich),,81-72,,
9:00.0,C. Aldrich misses free throw 1 of 1,,81-72,,
8:59.0,,,81-72,,Defensive rebound by J. Winslow
8:41.0,,,81-72,,Turnover by C. Bosh (bad pass; steal by P. Prigioni)
8:23.0,P. Pierce misses 2-pt shot from 16 ft,,81-72,,
8:22.0,,,81-72,,Defensive rebound by L. Deng
8:18.0,,,81-72,,Shooting foul by L. Stephenson (drawn by B. Udrih)
8:18.0,,,81-73,1,B. Udrih makes free throw 1 of 2
8:18.0,D. Jordan enters the game for C. Aldrich,,81-73,,
