time,Miami,pts.away,score,pts.home,Orlando
0:02.0,,,20-24,,Turnover by V. Oladipo (bad pass)
0:00.0,G. Green misses 3-pt shot from 25 ft,,20-24,,
0:00.0,Offensive rebound by Team,,20-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,20-26,2,J. Smith makes 2-pt shot from 20 ft (assist by V. Oladipo)
11:22.0,C. Bosh misses 2-pt shot from 14 ft,,20-26,,
11:20.0,,,20-26,,Defensive rebound by A. Gordon
10:59.0,,,20-26,,V. Oladipo misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by C. Bosh,,20-26,,
10:51.0,G. Green misses 2-pt shot from 13 ft,,20-26,,
10:51.0,Offensive rebound by Team,,20-26,,
10:51.0,,,20-26,,Loose ball foul by J. Smith (drawn by A. Stoudemire)
10:37.0,B. Udrih misses 2-pt shot at rim,,20-26,,
10:37.0,Offensive rebound by A. Stoudemire,,20-26,,
10:37.0,A. Stoudemire makes 2-pt shot at rim,2,22-26,,
10:24.0,,,22-28,2,V. Oladipo makes 2-pt shot from 16 ft
10:05.0,J. Winslow misses 3-pt shot from 26 ft,,22-28,,
10:03.0,,,22-28,,Defensive rebound by M. Hezonja
9:52.0,,,22-28,,V. Oladipo misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by C. Bosh,,22-28,,
9:41.0,,,22-28,,Personal foul by V. Oladipo (drawn by B. Udrih)
9:41.0,H. Whiteside enters the game for A. Stoudemire,,22-28,,
9:30.0,C. Bosh makes 2-pt shot from 19 ft (assist by J. Winslow),2,24-28,,
9:03.0,,,24-31,3,M. Hezonja makes 3-pt shot from 25 ft
8:46.0,G. Green makes 2-pt shot from 7 ft,2,26-31,,
8:29.0,,,26-31,,V. Oladipo misses 2-pt shot at rim (block by H. Whiteside)
8:27.0,,,26-31,,Offensive rebound by J. Smith
8:26.0,,,26-33,2,J. Smith makes 2-pt shot from 2 ft
8:20.0,Shooting foul by J. Smith (drawn by J. Winslow),,26-33,,
8:20.0,Official timeout,,26-33,,
8:20.0,J. Winslow makes free throw 1 of 2,1,27-33,,
8:20.0,J. Winslow makes free throw 2 of 2,1,28-33,,
8:07.0,,,28-35,2,J. Smith makes 2-pt shot from 16 ft (assist by M. Hezonja)
7:49.0,G. Green makes 2-pt shot from 14 ft (assist by C. Bosh),2,30-35,,
7:36.0,,,30-38,3,M. Hezonja makes 3-pt shot from 25 ft (assist by V. Oladipo)
7:30.0,Miami full timeout,,30-38,,
7:30.0,D. Wade enters the game for C. Bosh,,30-38,,
7:30.0,G. Dragic enters the game for B. Udrih,,30-38,,
7:13.0,G. Green misses 3-pt shot from 25 ft,,30-38,,
7:12.0,Offensive rebound by G. Dragic,,30-38,,
7:03.0,G. Dragic makes 3-pt shot from 26 ft (assist by D. Wade),3,33-38,,
6:47.0,,,33-40,2,J. Smith makes 2-pt shot from 19 ft (assist by M. Hezonja)
6:32.0,Shooting foul by M. Hezonja (drawn by D. Wade),,33-40,,
6:32.0,D. Wade makes free throw 1 of 2,1,34-40,,
6:32.0,,,34-40,,N. Vucevic enters the game for J. Smith
6:32.0,,,34-40,,T. Harris enters the game for A. Nicholson
6:32.0,L. Deng enters the game for J. Winslow,,34-40,,
6:32.0,D. Wade makes free throw 2 of 2,1,35-40,,
6:20.0,,,35-42,2,A. Gordon makes 2-pt shot from 18 ft (assist by V. Oladipo)
6:03.0,D. Wade misses 2-pt shot from 2 ft,,35-42,,
6:02.0,,,35-42,,Defensive rebound by N. Vucevic
5:52.0,,,35-42,,V. Oladipo misses 2-pt shot from 2 ft
5:51.0,,,35-42,,Offensive rebound by N. Vucevic
5:51.0,,,35-42,,N. Vucevic misses 2-pt shot from 1 ft
5:49.0,Defensive rebound by L. Deng,,35-42,,
5:43.0,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic),2,37-42,,
5:22.0,,,37-42,,E. Payton enters the game for V. Oladipo
5:19.0,,,37-42,,N. Vucevic misses 2-pt shot from 9 ft
5:18.0,,,37-42,,Offensive rebound by A. Gordon
5:17.0,,,37-42,,Turnover by Team (shot clock)
5:04.0,D. Wade misses 2-pt shot from 5 ft (block by A. Gordon),,37-42,,
5:02.0,Offensive rebound by D. Wade,,37-42,,
4:59.0,G. Dragic misses 3-pt shot from 25 ft,,37-42,,
4:57.0,,,37-42,,Defensive rebound by T. Harris
4:47.0,,,37-44,2,N. Vucevic makes 2-pt shot from 5 ft (assist by M. Hezonja)
4:29.0,Turnover by G. Dragic (bad pass; steal by N. Vucevic),,37-44,,
4:23.0,,,37-44,,M. Hezonja misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by H. Whiteside,,37-44,,
4:18.0,,,37-44,,E. Fournier enters the game for A. Gordon
4:09.0,G. Dragic makes 2-pt shot from 2 ft,2,39-44,,
3:51.0,,,39-46,2,T. Harris makes 2-pt shot from 2 ft (assist by M. Hezonja)
3:29.0,G. Green misses 2-pt shot from 17 ft,,39-46,,
3:28.0,Offensive rebound by L. Deng,,39-46,,
3:24.0,L. Deng misses 2-pt shot from 16 ft,,39-46,,
3:23.0,,,39-46,,Defensive rebound by N. Vucevic
3:10.0,,,39-46,,M. Hezonja misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by L. Deng,,39-46,,
3:02.0,G. Dragic makes 2-pt shot from 2 ft,2,41-46,,
2:44.0,,,41-46,,E. Payton misses 2-pt shot from 9 ft (block by D. Wade)
2:42.0,,,41-46,,Offensive rebound by N. Vucevic
2:37.0,,,41-49,3,T. Harris makes 3-pt shot from 25 ft (assist by N. Vucevic)
2:18.0,,,41-49,,Personal foul by E. Fournier (drawn by D. Wade)
2:18.0,,,41-49,,Orlando full timeout
2:18.0,C. Bosh enters the game for G. Green,,41-49,,
2:18.0,D. Wade makes free throw 1 of 2,1,42-49,,
2:18.0,D. Wade makes free throw 2 of 2,1,43-49,,
2:04.0,,,43-49,,E. Fournier misses 2-pt shot from 8 ft (block by H. Whiteside)
2:01.0,Defensive rebound by G. Dragic,,43-49,,
1:58.0,D. Wade misses 2-pt shot from 2 ft,,43-49,,
1:58.0,,,43-49,,Defensive rebound by Team
1:46.0,,,43-49,,T. Harris misses 2-pt shot from 3 ft
1:42.0,Defensive rebound by G. Dragic,,43-49,,
1:32.0,Shooting foul by T. Harris (drawn by G. Dragic),,43-49,,
1:32.0,G. Dragic misses free throw 1 of 2,,43-49,,
1:32.0,Offensive rebound by Team,,43-49,,
1:32.0,J. Winslow enters the game for H. Whiteside,,43-49,,
1:32.0,G. Dragic makes free throw 2 of 2,1,44-49,,
1:13.0,,,44-51,2,N. Vucevic makes 2-pt shot from 2 ft
1:01.0,Turnover by G. Dragic (bad pass),,44-51,,
0:42.0,,,44-51,,Shooting foul by C. Bosh (drawn by E. Fournier)
0:42.0,,,44-52,1,E. Fournier makes free throw 1 of 2
0:42.0,,,44-53,1,E. Fournier makes free throw 2 of 2
0:28.0,Turnover by D. Wade (bad pass; steal by E. Fournier),,44-53,,
0:24.0,,,44-56,3,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris)
0:19.0,Miami full timeout,,44-56,,
0:19.0,G. Green enters the game for J. Winslow,,44-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,44-59,3,C. Frye makes 3-pt shot from 24 ft (assist by E. Fournier)
11:20.0,H. Whiteside misses 2-pt shot from 6 ft,,44-59,,
11:19.0,,,44-59,,Defensive rebound by T. Harris
11:13.0,,,44-59,,Turnover by E. Payton (lost ball; steal by G. Dragic)
11:06.0,,,44-59,,Personal foul by E. Fournier (drawn by D. Wade)
10:52.0,G. Dragic makes 2-pt shot from 13 ft,2,46-59,,
10:26.0,,,46-61,2,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic)
10:05.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade),3,49-61,,
9:54.0,,,49-63,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier)
9:27.0,G. Dragic misses 2-pt shot from 17 ft,,49-63,,
9:25.0,,,49-63,,Defensive rebound by C. Frye
9:16.0,Inbound foul by C. Bosh,,49-63,,
9:16.0,,,49-63,,E. Payton misses free throw 1 of 2
9:16.0,,,49-63,,Offensive rebound by Team
9:16.0,,,49-63,,E. Payton misses free throw 2 of 2
9:12.0,Defensive rebound by C. Bosh,,49-63,,
9:03.0,C. Bosh makes 2-pt shot at rim (assist by G. Dragic),2,51-63,,
8:48.0,,,51-63,,C. Frye misses 2-pt shot from 13 ft
8:47.0,Defensive rebound by C. Bosh,,51-63,,
8:38.0,D. Wade misses 2-pt shot from 7 ft,,51-63,,
8:37.0,Offensive rebound by H. Whiteside,,51-63,,
8:37.0,H. Whiteside makes 2-pt shot from 1 ft,2,53-63,,
8:37.0,Shooting foul by N. Vucevic (drawn by H. Whiteside),,53-63,,
8:37.0,H. Whiteside makes free throw 1 of 1,1,54-63,,
8:24.0,,,54-63,,N. Vucevic misses 2-pt shot from 10 ft
8:22.0,Defensive rebound by C. Bosh,,54-63,,
8:11.0,C. Bosh makes 2-pt shot from 1 ft,2,56-63,,
7:59.0,,,56-63,,Shooting foul by D. Wade (drawn by T. Harris)
7:59.0,,,56-63,,T. Harris misses free throw 1 of 2
7:59.0,,,56-63,,Offensive rebound by Team
7:59.0,,,56-63,,T. Harris misses free throw 2 of 2
7:58.0,Defensive rebound by H. Whiteside,,56-63,,
7:38.0,G. Dragic makes 2-pt shot from 2 ft,2,58-63,,
7:38.0,,,58-63,,Orlando full timeout
7:23.0,,,58-63,,Turnover by N. Vucevic (bad pass; steal by D. Wade)
7:17.0,C. Bosh makes 2-pt shot from 2 ft (assist by D. Wade),2,60-63,,
7:00.0,,,60-65,2,E. Payton makes 2-pt shot from 7 ft (assist by C. Frye)
6:43.0,Turnover by C. Bosh (bad pass; steal by N. Vucevic),,60-65,,
6:39.0,Personal foul by G. Dragic (drawn by E. Payton),,60-65,,
6:32.0,,,60-65,,E. Payton misses 2-pt shot from 11 ft
6:31.0,Defensive rebound by H. Whiteside,,60-65,,
6:17.0,G. Dragic misses 2-pt shot from 10 ft,,60-65,,
6:16.0,,,60-65,,Defensive rebound by E. Payton
6:05.0,,,60-65,,E. Fournier misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by D. Wade,,60-65,,
5:58.0,D. Wade makes 2-pt shot from 13 ft,2,62-65,,
5:42.0,,,62-65,,Turnover by N. Vucevic (lost ball)
5:42.0,J. Winslow enters the game for C. Bosh,,62-65,,
5:23.0,L. Deng misses 2-pt shot from 11 ft,,62-65,,
5:22.0,,,62-65,,Defensive rebound by E. Payton
5:19.0,Personal foul by G. Dragic (drawn by E. Payton),,62-65,,
5:12.0,,,62-65,,Shooting foul by L. Deng (drawn by T. Harris)
5:12.0,,,62-65,,T. Harris misses free throw 1 of 2
5:12.0,,,62-65,,Offensive rebound by Team
5:12.0,,,62-66,1,T. Harris makes free throw 2 of 2
4:56.0,D. Wade makes 2-pt shot from 7 ft,2,64-66,,
4:38.0,Jump ball: E. Fournier vs. D. Wade (H. Whiteside gains possession),,,,Jump ball: E. Fournier vs. D. Wade (H. Whiteside gains possession)
4:38.0,,,64-66,,Turnover by E. Payton (bad pass; steal by D. Wade)
4:18.0,L. Deng misses 3-pt shot from 24 ft,,64-66,,
4:17.0,,,64-66,,Defensive rebound by T. Harris
4:00.0,,,64-68,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
3:53.0,Miami full timeout,,64-68,,
3:53.0,,,64-68,,V. Oladipo enters the game for C. Frye
3:53.0,,,64-68,,M. Hezonja enters the game for E. Payton
3:53.0,G. Green enters the game for D. Wade,,64-68,,
3:37.0,Turnover by L. Deng (lost ball; steal by T. Harris),,64-68,,
3:34.0,C. Bosh enters the game for L. Deng,,64-68,,
3:26.0,,,64-68,,Turnover by T. Harris (lost ball)
3:06.0,C. Bosh misses 2-pt shot from 19 ft,,64-68,,
3:05.0,,,64-68,,Defensive rebound by V. Oladipo
2:56.0,Def 3 sec tech foul by J. Winslow,,64-68,,
2:56.0,,,64-68,,N. Vucevic misses technical free throw
2:56.0,,,64-68,,Offensive rebound by Team
2:43.0,,,64-71,3,T. Harris makes 3-pt shot from 25 ft
2:26.0,,,64-71,,J. Smith enters the game for N. Vucevic
2:24.0,Turnover by J. Winslow (bad pass; steal by T. Harris),,64-71,,
2:20.0,,,64-73,2,M. Hezonja makes 2-pt shot at rim (assist by E. Fournier)
1:57.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Winslow),3,67-73,,
1:36.0,,,67-73,,Turnover by J. Smith (traveling)
1:16.0,H. Whiteside misses 2-pt shot from 2 ft,,67-73,,
1:14.0,Offensive rebound by J. Winslow,,67-73,,
1:14.0,J. Winslow misses 2-pt shot from 2 ft,,67-73,,
1:11.0,,,67-73,,Defensive rebound by V. Oladipo
0:51.0,,,67-73,,E. Fournier misses 2-pt shot from 2 ft (block by H. Whiteside)
0:49.0,,,67-73,,Offensive rebound by M. Hezonja
0:30.0,,,67-73,,V. Oladipo misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by H. Whiteside,,67-73,,
0:08.0,Shooting foul by M. Hezonja (drawn by J. Winslow),,67-73,,
0:08.0,J. Winslow makes free throw 1 of 2,1,68-73,,
0:08.0,J. Winslow makes free throw 2 of 2,1,69-73,,
0:00.0,,,69-76,3,V. Oladipo makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,C. Bosh makes 2-pt shot from 2 ft,2,71-76,,
11:20.0,,,71-76,,J. Smith misses 2-pt shot from 17 ft
11:19.0,,,71-76,,Offensive rebound by A. Gordon
11:14.0,,,71-78,2,V. Oladipo makes 2-pt shot from 18 ft (assist by A. Gordon)
10:58.0,,,71-78,,Personal foul by J. Smith (drawn by H. Whiteside)
10:49.0,C. Bosh makes 2-pt shot from 18 ft (assist by B. Udrih),2,73-78,,
10:24.0,,,73-78,,Shooting foul by H. Whiteside (drawn by V. Oladipo)
10:24.0,,,73-78,,V. Oladipo misses free throw 1 of 2
10:24.0,,,73-78,,Offensive rebound by Team
10:24.0,,,73-79,1,V. Oladipo makes free throw 2 of 2
10:00.0,B. Udrih makes 3-pt shot from 25 ft (assist by C. Bosh),3,76-79,,
9:45.0,,,76-81,2,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo)
9:20.0,C. Bosh misses 2-pt shot from 17 ft,,76-81,,
9:18.0,,,76-81,,Defensive rebound by J. Smith
9:08.0,,,76-81,,Turnover by V. Oladipo (bad pass; steal by C. Bosh)
8:57.0,C. Bosh makes 3-pt shot from 25 ft (assist by B. Udrih),3,79-81,,
8:40.0,,,79-81,,E. Payton misses 2-pt shot from 2 ft
8:38.0,,,79-81,,Offensive rebound by A. Gordon
8:38.0,,,79-81,,A. Gordon misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by J. Winslow,,79-81,,
8:33.0,G. Green makes 3-pt shot from 23 ft (assist by J. Winslow),3,82-81,,
8:32.0,,,82-81,,Orlando full timeout
8:32.0,,,82-81,,T. Harris enters the game for V. Oladipo
8:32.0,,,82-81,,E. Fournier enters the game for J. Smith
8:32.0,,,82-81,,N. Vucevic enters the game for M. Hezonja
8:32.0,,,82-81,,C. Frye enters the game for A. Gordon
8:32.0,L. Deng enters the game for J. Winslow,,82-81,,
8:19.0,,,82-83,2,N. Vucevic makes 2-pt shot from 9 ft
7:58.0,C. Bosh misses 3-pt shot from 24 ft,,82-83,,
7:57.0,,,82-83,,Defensive rebound by N. Vucevic
7:48.0,,,82-85,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
7:34.0,C. Bosh makes 2-pt shot from 1 ft (assist by B. Udrih),2,84-85,,
7:09.0,,,84-85,,N. Vucevic misses 2-pt shot from 12 ft
7:07.0,Defensive rebound by L. Deng,,84-85,,
6:57.0,G. Green makes 3-pt shot from 25 ft (assist by B. Udrih),3,87-85,,
6:36.0,,,87-87,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
6:18.0,Shooting foul by N. Vucevic (drawn by H. Whiteside),,87-87,,
6:18.0,H. Whiteside makes free throw 1 of 2,1,88-87,,
6:18.0,D. Wade enters the game for C. Bosh,,88-87,,
6:18.0,G. Dragic enters the game for B. Udrih,,88-87,,
6:18.0,H. Whiteside makes free throw 2 of 2,1,89-87,,
6:08.0,,,89-87,,C. Frye misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by H. Whiteside,,89-87,,
5:50.0,D. Wade misses 2-pt shot from 14 ft,,89-87,,
5:49.0,Offensive rebound by L. Deng,,89-87,,
5:49.0,L. Deng misses 2-pt shot from 1 ft (block by N. Vucevic),,89-87,,
5:49.0,Offensive rebound by Team,,89-87,,
5:49.0,Official timeout,,89-87,,
5:48.0,Jump ball: L. Deng vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: L. Deng vs. N. Vucevic (C. Frye gains possession)
5:48.0,Turnover by L. Deng (lost ball; steal by N. Vucevic),,89-87,,
5:31.0,,,89-89,2,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic)
5:11.0,G. Dragic misses 3-pt shot from 25 ft,,89-89,,
5:10.0,Offensive rebound by G. Dragic,,89-89,,
4:53.0,D. Wade makes 2-pt shot from 12 ft,2,91-89,,
4:38.0,,,91-89,,N. Vucevic misses 2-pt shot from 5 ft
4:37.0,Defensive rebound by G. Green,,91-89,,
4:22.0,Shooting foul by T. Harris (drawn by G. Green),,91-89,,
4:22.0,G. Green makes free throw 1 of 2,1,92-89,,
4:22.0,G. Green makes free throw 2 of 2,1,93-89,,
4:10.0,,,93-91,2,E. Payton makes 2-pt shot from 7 ft
3:51.0,D. Wade makes 2-pt shot from 15 ft,2,95-91,,
3:34.0,,,95-93,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
3:13.0,,,95-93,,Personal foul by E. Payton (drawn by G. Dragic)
3:13.0,C. Bosh enters the game for L. Deng,,95-93,,
2:59.0,D. Wade makes 2-pt shot from 17 ft,2,97-93,,
2:40.0,,,97-95,2,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic)
2:40.0,Miami full timeout,,97-95,,
2:19.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,99-95,,
2:04.0,,,99-95,,E. Fournier misses 3-pt shot from 25 ft
2:03.0,,,99-95,,Offensive rebound by N. Vucevic
1:52.0,,,99-97,2,E. Payton makes 2-pt shot from 11 ft
1:37.0,G. Dragic makes 3-pt shot from 25 ft (assist by D. Wade),3,102-97,,
1:29.0,,,102-99,2,E. Payton makes 2-pt shot from 9 ft
1:15.0,D. Wade makes 2-pt shot from 15 ft,2,104-99,,
1:15.0,,,104-99,,Orlando full timeout
1:06.0,,,104-101,2,E. Payton makes 2-pt shot from 2 ft
0:51.0,Shooting foul by N. Vucevic (drawn by D. Wade),,104-101,,
0:51.0,D. Wade makes free throw 1 of 2,1,105-101,,
0:51.0,D. Wade makes free throw 2 of 2,1,106-101,,
0:44.0,,,106-101,,E. Payton misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by C. Bosh,,106-101,,
0:42.0,,,106-101,,Personal take foul by E. Fournier (drawn by D. Wade)
0:42.0,D. Wade makes free throw 1 of 2,1,107-101,,
0:42.0,D. Wade makes free throw 2 of 2,1,108-101,,
0:42.0,,,108-101,,Orlando full timeout
0:33.0,Personal foul by G. Dragic (drawn by E. Fournier),,108-101,,
0:25.0,,,108-101,,N. Vucevic misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by G. Dragic,,108-101,,
0:00.0,Turnover by Team (shot clock),,108-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
