time,Orlando,pts.away,score,pts.home,Charlotte
10:02.0,V. Oladipo misses 2-pt shot from 20 ft,,48-69,,
10:01.0,,,48-69,,Defensive rebound by N. Batum
9:48.0,,,48-69,,K. Walker misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by D. Dedmon,,48-69,,
9:40.0,B. Jennings makes 2-pt shot from 1 ft,2,50-69,,
9:40.0,Shooting foul by C. Zeller (drawn by B. Jennings),,50-69,,
9:40.0,B. Jennings makes free throw 1 of 1,1,51-69,,
9:28.0,,,51-69,,M. Williams misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by B. Jennings,,51-69,,
9:20.0,V. Oladipo misses 2-pt shot from 2 ft (block by C. Lee),,51-69,,
9:20.0,Offensive rebound by Team,,51-69,,
9:13.0,V. Oladipo misses 2-pt shot from 10 ft,,51-69,,
9:11.0,,,51-69,,Defensive rebound by C. Zeller
8:48.0,,,51-72,3,M. Williams makes 3-pt shot from 22 ft (assist by C. Lee)
8:33.0,B. Jennings misses 3-pt shot from 28 ft,,51-72,,
8:32.0,,,51-72,,Defensive rebound by C. Zeller
8:14.0,,,51-72,,C. Lee misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by B. Jennings,,51-72,,
8:01.0,A. Gordon misses 2-pt shot from 18 ft,,51-72,,
8:00.0,,,51-72,,Defensive rebound by K. Walker
7:46.0,,,51-74,2,M. Williams makes 2-pt shot from 9 ft
7:46.0,Orlando full timeout,,51-74,,
7:46.0,M. Hezonja enters the game for A. Gordon,,51-74,,
7:29.0,E. Fournier makes 2-pt shot from 10 ft,2,53-74,,
7:10.0,,,53-76,2,C. Zeller makes 2-pt shot from 1 ft
6:56.0,E. Fournier misses 3-pt shot from 23 ft,,53-76,,
6:55.0,,,53-76,,Defensive rebound by K. Walker
6:47.0,,,53-76,,Turnover by C. Lee (bad pass)
6:37.0,E. Fournier makes 2-pt shot from 1 ft (assist by B. Jennings),2,55-76,,
6:21.0,,,55-79,3,K. Walker makes 3-pt shot from 24 ft (assist by C. Lee)
6:02.0,Jump ball: D. Dedmon vs. K. Walker (M. Hezonja gains possession),,,,Jump ball: D. Dedmon vs. K. Walker (M. Hezonja gains possession)
5:56.0,V. Oladipo makes 2-pt shot at rim (assist by B. Jennings),2,57-79,,
5:56.0,Shooting foul by K. Walker (drawn by V. Oladipo),,57-79,,
5:56.0,J. Smith enters the game for D. Dedmon,,57-79,,
5:56.0,V. Oladipo misses free throw 1 of 1,,57-79,,
5:54.0,,,57-79,,Defensive rebound by N. Batum
5:32.0,,,57-79,,M. Williams misses 2-pt shot from 7 ft
5:31.0,Defensive rebound by M. Hezonja,,57-79,,
5:22.0,M. Hezonja makes 3-pt shot from 25 ft (assist by B. Jennings),3,60-79,,
5:00.0,,,60-79,,C. Lee misses 3-pt shot from 23 ft (block by V. Oladipo)
4:58.0,Defensive rebound by E. Fournier,,60-79,,
4:50.0,B. Jennings misses 3-pt shot from 25 ft,,60-79,,
4:46.0,,,60-79,,Defensive rebound by C. Lee
4:40.0,,,60-81,2,N. Batum makes 2-pt shot from 1 ft (assist by C. Lee)
4:17.0,E. Fournier makes 2-pt shot from 1 ft (assist by J. Smith),2,62-81,,
4:00.0,,,62-83,2,C. Zeller makes 2-pt shot from 6 ft (assist by N. Batum)
3:42.0,E. Fournier misses 3-pt shot from 23 ft,,62-83,,
3:42.0,Offensive rebound by B. Jennings,,62-83,,
3:42.0,Shooting foul by C. Lee (drawn by B. Jennings),,62-83,,
3:42.0,B. Jennings makes free throw 1 of 2,1,63-83,,
3:42.0,,,63-83,,A. Jefferson enters the game for C. Zeller
3:42.0,,,63-83,,J. Lin enters the game for C. Lee
3:42.0,B. Jennings makes free throw 2 of 2,1,64-83,,
3:30.0,,,64-86,3,N. Batum makes 3-pt shot from 24 ft (assist by A. Jefferson)
3:19.0,J. Smith misses 2-pt shot from 18 ft,,64-86,,
3:18.0,,,64-86,,Defensive rebound by Team
3:18.0,Loose ball foul by B. Jennings,,64-86,,
3:18.0,D. Marble enters the game for E. Fournier,,64-86,,
3:18.0,C. Watson enters the game for B. Jennings,,64-86,,
3:06.0,,,64-89,3,K. Walker makes 3-pt shot from 25 ft
2:53.0,D. Marble misses 2-pt shot from 1 ft,,64-89,,
2:52.0,,,64-89,,Defensive rebound by M. Williams
2:45.0,,,64-89,,Turnover by J. Lin (bad pass)
2:45.0,,,64-89,,Charlotte full timeout
2:45.0,,,64-89,,F. Kaminsky enters the game for M. Williams
2:33.0,J. Smith misses 2-pt shot from 16 ft,,64-89,,
2:32.0,,,64-89,,Defensive rebound by K. Walker
2:19.0,,,64-89,,Shooting foul by J. Smith (drawn by K. Walker)
2:19.0,,,64-89,,K. Walker misses free throw 1 of 2
2:19.0,,,64-89,,Offensive rebound by Team
2:19.0,,,64-90,1,K. Walker makes free throw 2 of 2
2:09.0,D. Marble misses 2-pt shot from 20 ft,,64-90,,
2:08.0,,,64-90,,Defensive rebound by F. Kaminsky
1:56.0,,,64-90,,Turnover by J. Lin (lost ball; steal by V. Oladipo)
1:51.0,M. Hezonja makes 2-pt shot at rim (assist by C. Watson),2,66-90,,
1:25.0,,,66-90,,A. Jefferson misses 2-pt shot from 4 ft
1:24.0,Defensive rebound by D. Marble,,66-90,,
1:16.0,V. Oladipo misses 3-pt shot from 24 ft,,66-90,,
1:15.0,,,66-90,,Defensive rebound by N. Batum
1:02.0,,,66-90,,F. Kaminsky misses 2-pt shot at rim (block by J. Smith)
1:00.0,Defensive rebound by J. Smith,,66-90,,
0:53.0,C. Watson makes 3-pt shot from 22 ft (assist by J. Smith),3,69-90,,
0:33.0,,,69-90,,J. Lin misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by Team,,69-90,,
0:33.0,,,69-90,,T. Daniels enters the game for K. Walker
0:21.0,M. Hezonja makes 2-pt shot from 19 ft (assist by C. Watson),2,71-90,,
0:03.0,,,71-92,2,J. Lin makes 2-pt shot from 16 ft
0:01.0,Turnover by M. Hezonja (lost ball; steal by F. Kaminsky),,71-92,,
0:00.0,,,71-92,,J. Lin misses 2-pt shot from 17 ft (block by V. Oladipo)
0:00.0,,,71-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Hezonja misses 2-pt shot from 17 ft,,71-92,,
11:47.0,,,71-92,,Defensive rebound by K. Walker
11:38.0,,,71-92,,K. Walker misses 2-pt shot from 2 ft (block by M. Hezonja)
11:36.0,Defensive rebound by V. Oladipo,,71-92,,
11:31.0,C. Watson misses 2-pt shot from 9 ft,,71-92,,
11:30.0,,,71-92,,Defensive rebound by T. Daniels
11:19.0,,,71-92,,Shooting foul by C. Watson (drawn by F. Kaminsky)
11:19.0,,,71-93,1,F. Kaminsky makes free throw 1 of 2
11:19.0,,,71-94,1,F. Kaminsky makes free throw 2 of 2
11:04.0,V. Oladipo makes 2-pt shot from 18 ft (assist by A. Nicholson),2,73-94,,
10:45.0,,,73-94,,F. Kaminsky misses 2-pt shot from 1 ft (block by A. Nicholson)
10:43.0,Defensive rebound by A. Nicholson,,73-94,,
10:37.0,D. Marble makes 3-pt shot from 23 ft (assist by M. Hezonja),3,76-94,,
10:12.0,,,76-94,,K. Walker misses 2-pt shot from 13 ft
10:10.0,Defensive rebound by C. Watson,,76-94,,
9:58.0,M. Hezonja misses 2-pt shot from 17 ft,,76-94,,
9:57.0,,,76-94,,Defensive rebound by T. Daniels
9:45.0,,,76-94,,Turnover by K. Walker (lost ball; steal by D. Marble)
9:40.0,M. Hezonja misses 2-pt shot from 1 ft (block by J. Lin),,76-94,,
9:40.0,,,76-94,,Defensive rebound by K. Walker
9:40.0,Personal foul by A. Nicholson,,76-94,,
9:21.0,,,76-96,2,T. Daniels makes 2-pt shot at rim (assist by A. Jefferson)
9:02.0,D. Marble makes 3-pt shot from 23 ft (assist by M. Hezonja),3,79-96,,
8:38.0,,,79-96,,T. Daniels misses 3-pt shot from 29 ft
8:38.0,Defensive rebound by Team,,79-96,,
8:38.0,Official timeout,,79-96,,
8:24.0,A. Nicholson misses 2-pt shot from 19 ft,,79-96,,
8:23.0,,,79-96,,Defensive rebound by F. Kaminsky
8:08.0,,,79-96,,A. Jefferson misses 2-pt shot from 16 ft
8:06.0,,,79-96,,Offensive rebound by T. Daniels
8:02.0,,,79-96,,T. Daniels misses 3-pt shot from 25 ft
8:01.0,,,79-96,,Offensive rebound by F. Kaminsky
7:58.0,,,79-98,2,F. Kaminsky makes 2-pt shot from 1 ft
7:47.0,A. Nicholson makes 3-pt shot from 24 ft (assist by C. Watson),3,82-98,,
7:26.0,,,82-98,,A. Jefferson misses 2-pt shot from 7 ft
7:25.0,Defensive rebound by V. Oladipo,,82-98,,
7:20.0,V. Oladipo misses 2-pt shot from 1 ft,,82-98,,
7:18.0,,,82-98,,Defensive rebound by A. Jefferson
7:06.0,,,82-100,2,K. Walker makes 2-pt shot from 18 ft
6:48.0,V. Oladipo makes 2-pt shot at rim (assist by C. Watson),2,84-100,,
6:32.0,,,84-100,,Turnover by F. Kaminsky (lost ball)
6:32.0,,,84-100,,C. Zeller enters the game for A. Jefferson
6:12.0,A. Nicholson makes 2-pt shot from 7 ft,2,86-100,,
5:59.0,,,86-100,,K. Walker misses 2-pt shot from 17 ft
5:58.0,Defensive rebound by A. Nicholson,,86-100,,
5:46.0,Shooting foul by K. Walker (drawn by C. Watson),,86-100,,
5:46.0,,,86-100,,Charlotte full timeout
5:46.0,,,86-100,,C. Lee enters the game for K. Walker
5:46.0,,,86-100,,N. Batum enters the game for T. Daniels
5:46.0,,,86-100,,M. Williams enters the game for F. Kaminsky
5:46.0,C. Watson makes free throw 1 of 2,1,87-100,,
5:46.0,C. Watson makes free throw 2 of 2,1,88-100,,
5:23.0,,,88-100,,M. Williams misses 3-pt shot from 22 ft
5:22.0,,,88-100,,Offensive rebound by Team
5:14.0,,,88-100,,N. Batum misses 2-pt shot from 16 ft
5:12.0,Defensive rebound by M. Hezonja,,88-100,,
5:00.0,M. Hezonja makes 2-pt shot from 18 ft (assist by C. Watson),2,90-100,,
4:32.0,,,90-100,,C. Lee misses 2-pt shot from 16 ft
4:31.0,Defensive rebound by A. Nicholson,,90-100,,
4:15.0,M. Hezonja makes 2-pt shot from 16 ft (assist by C. Watson),2,92-100,,
3:50.0,,,92-100,,N. Batum misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by C. Watson,,92-100,,
3:44.0,Shooting foul by J. Lin (drawn by C. Watson),,92-100,,
3:44.0,C. Watson makes free throw 1 of 2,1,93-100,,
3:44.0,,,93-100,,K. Walker enters the game for J. Lin
3:44.0,C. Watson makes free throw 2 of 2,1,94-100,,
3:32.0,,,94-100,,K. Walker misses 2-pt shot from 7 ft
3:30.0,,,94-100,,Offensive rebound by M. Williams
3:30.0,,,94-100,,M. Williams misses 2-pt shot from 1 ft
3:28.0,,,94-100,,Offensive rebound by M. Williams
