time,Boston,pts.away,score,pts.home,LA Lakers
0:26.0,,,31-26,,Defensive rebound by J. Clarkson
0:04.0,,,31-26,,L. Nance misses 2-pt shot from 3 ft
0:03.0,Defensive rebound by A. Johnson,,31-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-28,2,T. Black makes 2-pt shot at rim (assist by L. Nance)
11:48.0,Boston full timeout,,31-28,,
11:31.0,J. Crowder misses 2-pt shot from 15 ft,,31-28,,
11:28.0,Offensive rebound by M. Smart,,31-28,,
11:23.0,,,31-28,,Personal block foul by L. Nance
11:19.0,,,31-28,,Shooting block foul by L. Nance (drawn by J. Jerebko)
11:19.0,J. Jerebko misses free throw 1 of 2,,31-28,,
11:19.0,Offensive rebound by Team,,31-28,,
11:19.0,T. Zeller enters the game for K. Olynyk,,31-28,,
11:19.0,J. Jerebko makes free throw 2 of 2,1,32-28,,
11:05.0,,,32-30,2,T. Black makes 2-pt shot at rim (assist by D. Russell)
10:45.0,Shooting foul by R. Kelly (drawn by J. Crowder),,32-30,,
10:45.0,J. Crowder makes free throw 1 of 2,1,33-30,,
10:45.0,J. Crowder makes free throw 2 of 2,1,34-30,,
10:33.0,Personal block foul by M. Smart,,34-30,,
10:28.0,,,34-32,2,M. Huertas makes 2-pt shot from 14 ft
10:08.0,J. Jerebko misses 3-pt shot from 26 ft,,34-32,,
10:06.0,,,34-32,,Defensive rebound by D. Russell
9:59.0,,,34-32,,Turnover by D. Russell (lost ball; steal by J. Crowder)
9:53.0,J. Crowder misses 2-pt shot from 19 ft,,34-32,,
9:48.0,,,34-32,,Defensive rebound by D. Russell
9:43.0,Personal foul by J. Crowder,,34-32,,
9:43.0,,,34-32,,J. Randle enters the game for R. Kelly
9:37.0,,,34-32,,D. Russell misses 2-pt shot from 15 ft
9:34.0,Defensive rebound by J. Jerebko,,34-32,,
9:23.0,Shooting foul by T. Black (drawn by J. Crowder),,34-32,,
9:23.0,J. Crowder makes free throw 1 of 2,1,35-32,,
9:23.0,J. Crowder makes free throw 2 of 2,1,36-32,,
9:10.0,,,36-32,,Turnover by D. Russell (lost ball; steal by J. Crowder)
9:05.0,J. Crowder makes 2-pt shot at rim (assist by J. Jerebko),2,38-32,,
8:48.0,,,38-32,,T. Black misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by J. Jerebko,,38-32,,
8:38.0,T. Zeller misses 2-pt shot from 18 ft,,38-32,,
8:37.0,,,38-32,,Defensive rebound by M. Huertas
8:19.0,,,38-32,,D. Russell misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by T. Zeller,,38-32,,
8:01.0,M. Smart misses 3-pt shot from 25 ft,,38-32,,
8:00.0,,,38-32,,Defensive rebound by J. Randle
7:47.0,,,38-34,2,J. Randle makes 2-pt shot from 4 ft (assist by M. Huertas)
7:26.0,J. Jerebko misses 2-pt shot from 6 ft,,38-34,,
7:22.0,,,38-34,,Defensive rebound by D. Russell
7:12.0,,,38-34,,D. Russell misses 2-pt shot from 3 ft
7:06.0,Defensive rebound by J. Crowder,,38-34,,
7:01.0,T. Rozier misses 2-pt shot from 18 ft,,38-34,,
6:57.0,,,38-34,,Defensive rebound by L. Nance
6:47.0,,,38-34,,Turnover by M. Huertas (lost ball; steal by T. Rozier)
6:42.0,T. Rozier makes 2-pt shot from 2 ft,2,40-34,,
6:42.0,,,40-34,,LA Lakers full timeout
6:42.0,I. Thomas enters the game for M. Smart,,40-34,,
6:42.0,J. Sullinger enters the game for J. Jerebko,,40-34,,
6:42.0,,,40-34,,R. Hibbert enters the game for T. Black
6:42.0,,,40-34,,K. Bryant enters the game for L. Nance
6:22.0,,,40-37,3,K. Bryant makes 3-pt shot from 29 ft (assist by M. Huertas)
5:59.0,J. Sullinger misses 2-pt shot from 6 ft,,40-37,,
5:54.0,Offensive rebound by T. Rozier,,40-37,,
5:53.0,I. Thomas misses 3-pt shot from 25 ft,,40-37,,
5:51.0,,,40-37,,Defensive rebound by D. Russell
5:45.0,,,40-37,,Turnover by D. Russell (bad pass)
5:45.0,,,40-37,,J. Clarkson enters the game for M. Huertas
5:34.0,Shooting foul by K. Bryant (drawn by J. Crowder),,40-37,,
5:34.0,J. Crowder makes free throw 1 of 2,1,41-37,,
5:34.0,J. Crowder makes free throw 2 of 2,1,42-37,,
5:23.0,,,42-37,,K. Bryant misses 2-pt shot from 16 ft
5:20.0,Defensive rebound by T. Rozier,,42-37,,
5:16.0,J. Crowder misses 3-pt shot from 24 ft,,42-37,,
5:16.0,,,42-37,,Defensive rebound by Team
5:03.0,,,42-37,,J. Clarkson misses 2-pt shot from 12 ft
5:01.0,Defensive rebound by J. Sullinger,,42-37,,
4:39.0,J. Sullinger misses 2-pt shot from 18 ft,,42-37,,
4:37.0,Offensive rebound by T. Rozier,,42-37,,
4:36.0,I. Thomas makes 2-pt shot from 1 ft (assist by T. Rozier),2,44-37,,
4:36.0,Shooting foul by J. Clarkson (drawn by I. Thomas),,44-37,,
4:36.0,I. Thomas makes free throw 1 of 1,1,45-37,,
4:29.0,,,45-37,,Turnover by D. Russell (lost ball; steal by J. Crowder)
4:25.0,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder),2,47-37,,
4:13.0,,,47-37,,Shooting foul by J. Sullinger (drawn by J. Randle)
4:13.0,,,47-38,1,J. Randle makes free throw 1 of 2
4:13.0,E. Turner enters the game for T. Zeller,,47-38,,
4:13.0,,,47-38,,J. Randle misses free throw 2 of 2
4:10.0,Defensive rebound by E. Turner,,47-38,,
4:01.0,I. Thomas makes 2-pt shot from 2 ft,2,49-38,,
3:39.0,,,49-40,2,J. Randle makes 2-pt shot from 1 ft (assist by R. Hibbert)
3:29.0,I. Thomas makes 3-pt shot from 26 ft,3,52-40,,
3:15.0,,,52-40,,J. Clarkson misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by T. Rozier,,52-40,,
3:08.0,T. Rozier makes 2-pt shot from 2 ft,2,54-40,,
3:08.0,,,54-40,,LA Lakers full timeout
2:56.0,,,54-40,,K. Bryant misses 2-pt shot from 15 ft
2:55.0,Defensive rebound by Team,,54-40,,
2:55.0,Official timeout,,54-40,,
2:42.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,57-40,,
2:16.0,,,57-40,,J. Clarkson misses 2-pt shot from 7 ft
2:13.0,Defensive rebound by J. Crowder,,57-40,,
2:13.0,Turnover by J. Crowder (lost ball; steal by J. Clarkson),,57-40,,
2:13.0,Loose ball foul by I. Thomas,,57-40,,
1:58.0,,,57-42,2,J. Randle makes 2-pt shot from 9 ft
1:42.0,J. Sullinger misses 2-pt shot from 2 ft,,57-42,,
1:37.0,,,57-42,,Defensive rebound by J. Randle
1:30.0,,,57-42,,K. Bryant misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by I. Thomas,,57-42,,
1:24.0,I. Thomas misses 3-pt shot from 28 ft,,57-42,,
1:23.0,,,57-42,,Defensive rebound by J. Randle
1:17.0,,,57-42,,D. Russell misses 3-pt shot from 25 ft
1:16.0,,,57-42,,Offensive rebound by J. Randle
1:09.0,,,57-44,2,K. Bryant makes 2-pt shot from 9 ft (assist by D. Russell)
1:09.0,Boston full timeout,,57-44,,
1:09.0,A. Johnson enters the game for J. Crowder,,57-44,,
1:01.0,Turnover by I. Thomas (lost ball; steal by K. Bryant),,57-44,,
0:59.0,,,57-46,2,K. Bryant makes 2-pt shot at rim
0:42.0,T. Rozier misses 3-pt shot from 26 ft,,57-46,,
0:40.0,,,57-46,,Defensive rebound by J. Randle
0:34.0,,,57-46,,J. Clarkson misses 3-pt shot from 27 ft
0:32.0,Defensive rebound by T. Rozier,,57-46,,
0:10.0,T. Rozier misses 3-pt shot from 26 ft,,57-46,,
0:07.0,,,57-46,,Defensive rebound by J. Randle
0:02.0,,,57-48,2,J. Randle makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,57-48,,K. Bryant misses 2-pt shot from 17 ft
11:34.0,Defensive rebound by A. Johnson,,57-48,,
11:23.0,J. Sullinger makes 2-pt shot from 3 ft (assist by J. Crowder),2,59-48,,
11:09.0,,,59-50,2,R. Hibbert makes 2-pt shot from 4 ft
10:55.0,J. Sullinger misses 3-pt shot from 24 ft,,59-50,,
10:53.0,,,59-50,,Defensive rebound by K. Bryant
10:43.0,,,59-50,,K. Bryant misses 2-pt shot from 12 ft
10:39.0,Defensive rebound by E. Turner,,59-50,,
10:34.0,J. Crowder misses 3-pt shot from 26 ft,,59-50,,
10:33.0,,,59-50,,Defensive rebound by R. Hibbert
10:24.0,,,59-52,2,J. Clarkson makes 2-pt shot from 3 ft (assist by D. Russell)
10:18.0,Offensive foul by A. Johnson,,59-52,,
10:18.0,Turnover by A. Johnson (offensive foul),,59-52,,
10:06.0,,,59-54,2,K. Bryant makes 2-pt shot from 3 ft (assist by D. Russell)
10:06.0,,,59-54,,Shooting foul by J. Crowder (drawn by K. Bryant)
10:06.0,,,59-55,1,K. Bryant makes free throw 1 of 1
9:44.0,I. Thomas misses 2-pt shot from 8 ft,,59-55,,
9:41.0,,,59-55,,Defensive rebound by K. Bryant
9:33.0,,,59-57,2,J. Clarkson makes 2-pt shot at rim (assist by K. Bryant)
9:19.0,,,59-57,,Personal foul by K. Bryant
9:07.0,J. Crowder misses 3-pt shot from 24 ft,,59-57,,
9:05.0,Offensive rebound by A. Johnson,,59-57,,
8:53.0,E. Turner misses 2-pt shot from 15 ft,,59-57,,
8:50.0,,,59-57,,Defensive rebound by J. Clarkson
8:42.0,,,59-57,,K. Bryant misses 2-pt shot from 2 ft
8:40.0,,,59-57,,Offensive rebound by J. Clarkson
8:40.0,,,59-59,2,J. Clarkson makes 2-pt shot at rim
8:38.0,Boston full timeout,,59-59,,
8:38.0,M. Smart enters the game for J. Crowder,,59-59,,
8:38.0,K. Olynyk enters the game for A. Johnson,,59-59,,
8:38.0,J. Jerebko enters the game for J. Sullinger,,59-59,,
8:22.0,E. Turner makes 2-pt shot at rim (assist by M. Smart),2,61-59,,
8:05.0,,,61-59,,J. Randle misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by E. Turner,,61-59,,
7:57.0,M. Smart misses 3-pt shot from 24 ft,,61-59,,
7:54.0,,,61-59,,Defensive rebound by R. Hibbert
7:45.0,,,61-59,,D. Russell misses 2-pt shot from 9 ft
7:42.0,,,61-59,,Offensive rebound by D. Russell
7:42.0,,,61-61,2,D. Russell makes 2-pt shot from 1 ft
7:29.0,Shooting foul by K. Bryant (drawn by E. Turner),,61-61,,
7:29.0,E. Turner misses free throw 1 of 2,,61-61,,
7:29.0,Offensive rebound by Team,,61-61,,
7:29.0,E. Turner makes free throw 2 of 2,1,62-61,,
7:09.0,,,62-61,,J. Randle misses 2-pt shot from 4 ft
7:09.0,,,62-61,,Offensive rebound by J. Randle
7:09.0,,,62-61,,Shooting foul by K. Olynyk (drawn by J. Randle)
7:09.0,,,62-62,1,J. Randle makes free throw 1 of 2
7:09.0,,,62-63,1,J. Randle makes free throw 2 of 2
6:56.0,I. Thomas misses 2-pt shot from 12 ft,,62-63,,
6:53.0,Offensive rebound by M. Smart,,62-63,,
6:48.0,I. Thomas makes 3-pt shot from 23 ft (assist by M. Smart),3,65-63,,
6:38.0,Personal foul by K. Olynyk,,65-63,,
6:30.0,,,65-66,3,K. Bryant makes 3-pt shot from 25 ft (assist by R. Hibbert)
6:16.0,J. Jerebko misses 3-pt shot from 27 ft,,65-66,,
6:14.0,,,65-66,,Defensive rebound by D. Russell
6:11.0,,,65-68,2,D. Russell makes 2-pt shot from 1 ft
6:11.0,Shooting block foul by J. Jerebko (drawn by D. Russell),,65-68,,
6:11.0,,,65-68,,D. Russell misses free throw 1 of 1
6:10.0,Defensive rebound by Team,,65-68,,
5:55.0,M. Smart misses 2-pt shot from 1 ft (block by R. Hibbert),,65-68,,
5:53.0,,,65-68,,Defensive rebound by R. Hibbert
5:49.0,,,65-68,,D. Russell misses 2-pt shot from 1 ft
5:49.0,Defensive rebound by Team,,65-68,,
5:47.0,,,65-68,,Loose ball foul by J. Clarkson
5:34.0,M. Smart makes 2-pt shot from 1 ft (assist by I. Thomas),2,67-68,,
5:16.0,,,67-68,,Turnover by J. Clarkson (dbl dribble)
5:16.0,,,67-68,,M. Huertas enters the game for J. Clarkson
5:06.0,I. Thomas misses 2-pt shot from 2 ft (block by R. Hibbert),,67-68,,
5:06.0,Offensive rebound by Team,,67-68,,
5:00.0,E. Turner misses 2-pt shot from 4 ft,,67-68,,
4:57.0,,,67-68,,Defensive rebound by K. Bryant
4:51.0,,,67-68,,K. Bryant misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by M. Smart,,67-68,,
4:44.0,J. Jerebko makes 2-pt shot at rim (assist by E. Turner),2,69-68,,
4:19.0,,,69-68,,J. Randle misses 2-pt shot from 15 ft
4:17.0,,,69-68,,Offensive rebound by Team
4:17.0,,,69-68,,L. Nance enters the game for J. Randle
4:11.0,,,69-71,3,K. Bryant makes 3-pt shot from 24 ft (assist by L. Nance)
3:52.0,I. Thomas misses 3-pt shot from 26 ft,,69-71,,
3:50.0,Offensive rebound by K. Olynyk,,69-71,,
3:47.0,K. Olynyk makes 2-pt shot from 1 ft,2,71-71,,
3:27.0,,,71-71,,K. Bryant misses 2-pt shot from 20 ft
3:24.0,,,71-71,,Offensive rebound by K. Bryant
3:20.0,,,71-71,,R. Hibbert misses 2-pt shot from 18 ft
3:19.0,Defensive rebound by Team,,71-71,,
3:19.0,,,71-71,,Loose ball foul by M. Huertas
3:19.0,Technical foul by I. Thomas,,71-71,,
3:19.0,,,71-71,,K. Bryant misses technical free throw
3:19.0,Offensive rebound by Team,,71-71,,
3:19.0,,,71-71,,T. Black enters the game for R. Hibbert
3:05.0,I. Thomas misses 3-pt shot from 26 ft,,71-71,,
3:04.0,,,71-71,,Defensive rebound by L. Nance
2:53.0,,,71-71,,K. Bryant misses 2-pt shot at rim
2:49.0,,,71-71,,Offensive rebound by L. Nance
2:46.0,,,71-71,,K. Bryant misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by Team,,71-71,,
2:46.0,,,71-71,,LA Lakers full timeout
2:46.0,J. Crowder enters the game for I. Thomas,,71-71,,
2:46.0,,,71-71,,R. Kelly enters the game for K. Bryant
2:28.0,J. Crowder misses 2-pt shot from 11 ft,,71-71,,
2:26.0,,,71-71,,Defensive rebound by T. Black
2:16.0,,,71-73,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
2:01.0,Turnover by K. Olynyk (3 sec),,71-73,,
2:01.0,A. Johnson enters the game for J. Jerebko,,71-73,,
1:51.0,,,71-73,,D. Russell misses 2-pt shot from 18 ft
1:48.0,Defensive rebound by E. Turner,,71-73,,
1:39.0,J. Crowder misses 2-pt shot from 15 ft,,71-73,,
1:36.0,,,71-73,,Defensive rebound by M. Huertas
1:25.0,T. Zeller enters the game for K. Olynyk,,71-73,,
1:20.0,,,71-73,,L. Nance misses 2-pt shot from 19 ft
1:19.0,,,71-73,,Offensive rebound by R. Kelly
1:18.0,,,71-73,,R. Kelly misses 2-pt shot from 8 ft
1:14.0,Defensive rebound by M. Smart,,71-73,,
1:13.0,J. Crowder makes 2-pt shot from 5 ft (assist by M. Smart),2,73-73,,
1:13.0,Shooting foul by M. Huertas (drawn by J. Crowder),,73-73,,
1:13.0,J. Crowder misses free throw 1 of 1,,73-73,,
1:12.0,Offensive rebound by Team,,73-73,,
1:12.0,Offensive foul by T. Zeller,,73-73,,
1:12.0,Turnover by T. Zeller (offensive foul),,73-73,,
1:00.0,,,73-73,,Turnover by D. Russell (lost ball; steal by J. Crowder)
0:56.0,A. Johnson makes 2-pt shot from 1 ft (assist by J. Crowder),2,75-73,,
0:37.0,,,75-75,2,M. Huertas makes 2-pt shot from 6 ft
0:26.0,E. Turner makes 2-pt shot from 9 ft (assist by M. Smart),2,77-75,,
0:06.0,,,77-75,,D. Russell misses 3-pt shot from 25 ft
0:04.0,,,77-75,,Offensive rebound by T. Black
0:02.0,,,77-75,,Shooting foul by T. Zeller (drawn by T. Black)
0:02.0,,,77-75,,T. Black misses free throw 1 of 2
0:02.0,,,77-75,,Offensive rebound by Team
0:02.0,,,77-75,,T. Black misses free throw 2 of 2
0:02.0,Defensive rebound by A. Johnson,,77-75,,
0:00.0,A. Johnson misses 3-pt shot from 73 ft,,77-75,,
0:00.0,Offensive rebound by Team,,77-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Crowder misses 2-pt shot from 3 ft,,77-75,,
11:45.0,,,77-75,,Defensive rebound by R. Kelly
11:26.0,,,77-77,2,R. Kelly makes 2-pt shot from 14 ft (assist by T. Black)
11:09.0,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart),3,80-77,,
10:44.0,,,80-77,,J. Clarkson misses 3-pt shot from 24 ft
10:43.0,,,80-77,,Offensive rebound by L. Nance
10:39.0,,,80-77,,L. Nance misses 2-pt shot from 8 ft
10:33.0,Defensive rebound by T. Zeller,,80-77,,
10:22.0,J. Crowder makes 2-pt shot from 2 ft (assist by T. Zeller),2,82-77,,
10:08.0,,,82-77,,R. Kelly misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by T. Rozier,,82-77,,
9:57.0,T. Rozier makes 2-pt shot from 19 ft,2,84-77,,
9:52.0,,,84-77,,LA Lakers full timeout
9:34.0,,,84-77,,M. Huertas misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by T. Zeller,,84-77,,
9:14.0,A. Johnson misses 2-pt shot from 3 ft (block by T. Black),,84-77,,
9:12.0,,,84-77,,Defensive rebound by T. Black
9:10.0,Personal block foul by T. Rozier,,84-77,,
9:01.0,,,84-77,,Turnover by M. Huertas (lost ball; steal by J. Crowder)
8:51.0,J. Crowder misses 3-pt shot from 24 ft,,84-77,,
8:50.0,,,84-77,,Defensive rebound by M. Huertas
8:48.0,,,84-77,,Shooting foul by J. Crowder (drawn by L. Nance)
8:48.0,,,84-78,1,L. Nance makes free throw 1 of 2
8:48.0,,,84-78,,L. Nance misses free throw 2 of 2
8:47.0,Defensive rebound by J. Crowder,,84-78,,
8:35.0,Turnover by M. Smart (lost ball; steal by J. Clarkson),,84-78,,
8:13.0,,,84-80,2,L. Nance makes 2-pt shot from 12 ft
7:58.0,T. Zeller makes 2-pt shot from 19 ft (assist by A. Johnson),2,86-80,,
7:44.0,Personal foul by M. Smart,,86-80,,
7:44.0,,,86-80,,K. Bryant enters the game for R. Kelly
7:44.0,E. Turner enters the game for J. Crowder,,86-80,,
7:37.0,,,86-80,,K. Bryant misses 2-pt shot from 14 ft
7:33.0,Defensive rebound by M. Smart,,86-80,,
7:13.0,T. Zeller makes 2-pt shot from 3 ft (assist by M. Smart),2,88-80,,
7:04.0,,,88-80,,Turnover by J. Clarkson (lost ball; steal by M. Smart)
7:01.0,Shooting foul by L. Nance (drawn by M. Smart),,88-80,,
7:01.0,M. Smart makes free throw 1 of 2,1,89-80,,
7:01.0,J. Jerebko enters the game for A. Johnson,,89-80,,
7:01.0,M. Smart makes free throw 2 of 2,1,90-80,,
6:47.0,,,90-82,2,K. Bryant makes 2-pt shot from 3 ft (assist by M. Huertas)
6:29.0,E. Turner misses 2-pt shot from 14 ft,,90-82,,
6:28.0,,,90-82,,Defensive rebound by L. Nance
6:14.0,,,90-82,,M. Huertas misses 2-pt shot from 3 ft
6:11.0,Defensive rebound by T. Zeller,,90-82,,
6:02.0,E. Turner makes 3-pt shot from 23 ft (assist by T. Rozier),3,93-82,,
5:49.0,,,93-82,,Shooting foul by E. Turner (drawn by K. Bryant)
5:49.0,Official timeout,,93-82,,
5:49.0,,,93-82,,D. Russell enters the game for M. Huertas
5:49.0,,,93-82,,R. Hibbert enters the game for T. Black
5:49.0,,,93-82,,J. Randle enters the game for L. Nance
5:49.0,,,93-83,1,K. Bryant makes free throw 1 of 2
5:49.0,,,93-83,,K. Bryant misses free throw 2 of 2
5:49.0,Defensive rebound by J. Jerebko,,93-83,,
5:38.0,T. Zeller misses 2-pt shot from 17 ft,,93-83,,
5:36.0,Offensive rebound by J. Jerebko,,93-83,,
5:22.0,E. Turner misses 2-pt shot from 15 ft,,93-83,,
5:22.0,,,93-83,,Defensive rebound by Team
5:07.0,,,93-83,,Turnover by J. Randle (lost ball; steal by J. Jerebko)
4:57.0,E. Turner makes 2-pt shot from 1 ft (assist by T. Rozier),2,95-83,,
4:36.0,,,95-85,2,J. Randle makes 2-pt shot from 2 ft (assist by R. Hibbert)
