time,Toronto,pts.away,score,pts.home,New Orleans
0:01.0,,,48-36,2,L. Babbitt makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,L. Scola makes 3-pt shot from 24 ft (assist by N. Powell),3,51-36,,
11:18.0,,,51-36,,Shooting foul by K. Lowry (drawn by O. Asik)
11:18.0,,,51-37,1,O. Asik makes free throw 1 of 2
11:18.0,,,51-37,,O. Asik misses free throw 2 of 2
11:15.0,Defensive rebound by N. Powell,,51-37,,
11:03.0,D. DeRozan makes 2-pt shot from 6 ft,2,53-37,,
10:41.0,,,53-37,,A. Ajinca misses 2-pt shot from 14 ft
10:40.0,Defensive rebound by D. DeRozan,,53-37,,
10:28.0,L. Scola makes 3-pt shot from 23 ft (assist by D. DeRozan),3,56-37,,
10:19.0,,,56-37,,T. Douglas misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by L. Scola,,56-37,,
10:03.0,Turnover by D. DeRozan (lost ball; steal by A. Ajinca),,56-37,,
9:53.0,,,56-37,,T. Douglas misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by N. Powell,,56-37,,
9:46.0,Turnover by N. Powell (traveling),,56-37,,
9:21.0,,,56-37,,A. Ajinca misses 2-pt shot from 16 ft
9:21.0,Defensive rebound by L. Scola,,56-37,,
9:09.0,K. Lowry misses 3-pt shot from 24 ft,,56-37,,
9:09.0,Offensive rebound by J. Valanciunas,,56-37,,
9:09.0,J. Valanciunas makes 2-pt shot from 1 ft,2,58-37,,
9:09.0,,,58-37,,New Orleans full timeout
9:09.0,,,58-37,,L. Babbitt enters the game for A. Ajinca
8:56.0,,,58-39,2,A. Gee makes 2-pt shot from 2 ft (assist by L. Babbitt)
8:45.0,Shooting foul by T. Douglas (drawn by K. Lowry),,58-39,,
8:45.0,K. Lowry makes free throw 1 of 3,1,59-39,,
8:45.0,K. Lowry misses free throw 2 of 3,,59-39,,
8:45.0,Offensive rebound by Team,,59-39,,
8:45.0,K. Lowry makes free throw 3 of 3,1,60-39,,
8:33.0,Personal foul by N. Powell,,60-39,,
8:20.0,,,60-39,,T. Douglas misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by N. Powell,,60-39,,
8:08.0,N. Powell misses 3-pt shot from 22 ft,,60-39,,
8:06.0,,,60-39,,Defensive rebound by T. Douglas
8:03.0,,,60-39,,Shooting foul by L. Scola (drawn by D. Cunningham)
8:03.0,,,60-40,1,D. Cunningham makes free throw 1 of 2
8:03.0,,,60-40,,D. Cunningham misses free throw 2 of 2
8:01.0,Defensive rebound by J. Valanciunas,,60-40,,
7:38.0,D. DeRozan makes 3-pt shot from 25 ft,3,63-40,,
7:27.0,,,63-40,,D. Cunningham misses 3-pt shot from 23 ft
7:26.0,,,63-40,,Offensive rebound by O. Asik
7:26.0,,,63-40,,Shooting foul by D. DeRozan (drawn by O. Asik)
7:26.0,,,63-41,1,O. Asik makes free throw 1 of 2
7:26.0,,,63-42,1,O. Asik makes free throw 2 of 2
7:13.0,D. DeRozan makes 2-pt shot from 9 ft,2,65-42,,
6:58.0,,,65-42,,L. Babbitt misses 2-pt shot from 9 ft
6:55.0,,,65-42,,Offensive rebound by A. Gee
6:51.0,,,65-44,2,O. Asik makes 2-pt shot at rim (assist by A. Gee)
6:37.0,K. Lowry misses 3-pt shot from 25 ft,,65-44,,
6:36.0,,,65-44,,Defensive rebound by O. Asik
6:26.0,,,65-44,,Shooting foul by D. DeRozan (drawn by O. Asik)
6:26.0,,,65-44,,O. Asik misses free throw 1 of 2
6:26.0,,,65-44,,Offensive rebound by Team
6:26.0,,,65-44,,O. Asik misses free throw 2 of 2
6:25.0,Defensive rebound by J. Valanciunas,,65-44,,
6:16.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,67-44,,
6:02.0,,,67-44,,T. Douglas misses 2-pt shot from 2 ft (block by J. Valanciunas)
6:01.0,Defensive rebound by J. Valanciunas,,67-44,,
5:54.0,K. Lowry misses 3-pt shot from 24 ft,,67-44,,
5:53.0,,,67-44,,Defensive rebound by L. Babbitt
5:44.0,,,67-44,,T. Douglas misses 2-pt shot from 5 ft
5:43.0,Defensive rebound by J. Valanciunas,,67-44,,
5:33.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,69-44,,
5:17.0,,,69-46,2,L. Babbitt makes 2-pt shot from 16 ft (assist by D. Cunningham)
4:55.0,D. DeRozan makes 2-pt shot from 16 ft,2,71-46,,
4:33.0,,,71-46,,A. Gee misses 2-pt shot from 5 ft
4:31.0,,,71-46,,Offensive rebound by A. Gee
4:25.0,,,71-49,3,T. Douglas makes 3-pt shot from 24 ft (assist by L. Babbitt)
4:23.0,Toronto full timeout,,71-49,,
4:23.0,C. Joseph enters the game for N. Powell,,71-49,,
4:23.0,,,71-49,,K. Perkins enters the game for D. Cunningham
4:23.0,,,71-49,,J. Hamilton enters the game for O. Asik
4:09.0,J. Valanciunas misses 2-pt shot from 13 ft,,71-49,,
4:08.0,,,71-49,,Defensive rebound by L. Babbitt
3:53.0,,,71-49,,J. Hamilton misses 2-pt shot from 6 ft
3:52.0,Defensive rebound by J. Valanciunas,,71-49,,
3:43.0,L. Scola misses 3-pt shot from 24 ft,,71-49,,
3:42.0,,,71-49,,Defensive rebound by A. Gee
3:36.0,,,71-51,2,J. Hamilton makes 2-pt shot at rim (assist by T. Douglas)
3:14.0,L. Scola makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,74-51,,
2:59.0,,,74-53,2,A. Gee makes 2-pt shot at rim
2:46.0,K. Lowry makes 2-pt shot from 4 ft,2,76-53,,
2:36.0,,,76-53,,T. Douglas misses 2-pt shot from 9 ft
2:35.0,Defensive rebound by L. Scola,,76-53,,
2:32.0,Shooting foul by L. Babbitt (drawn by K. Lowry),,76-53,,
2:32.0,K. Lowry makes free throw 1 of 2,1,77-53,,
2:32.0,B. Biyombo enters the game for J. Valanciunas,,77-53,,
2:32.0,P. Patterson enters the game for L. Scola,,77-53,,
2:32.0,K. Lowry misses free throw 2 of 2,,77-53,,
2:31.0,,,77-53,,Defensive rebound by A. Gee
2:11.0,,,77-55,2,K. Perkins makes 2-pt shot from 2 ft (assist by L. Babbitt)
1:58.0,K. Lowry misses 2-pt shot from 2 ft,,77-55,,
1:57.0,Offensive rebound by K. Lowry,,77-55,,
1:55.0,K. Lowry misses 2-pt shot from 2 ft,,77-55,,
1:54.0,,,77-55,,Defensive rebound by K. Perkins
1:47.0,,,77-55,,J. Hamilton misses 2-pt shot from 1 ft (block by B. Biyombo)
1:46.0,Defensive rebound by D. DeRozan,,77-55,,
1:30.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,80-55,,
1:14.0,,,80-58,3,T. Douglas makes 3-pt shot from 24 ft
0:53.0,P. Patterson makes 2-pt shot from 16 ft (assist by K. Lowry),2,82-58,,
0:53.0,Shooting foul by L. Babbitt (drawn by P. Patterson),,82-58,,
0:53.0,P. Patterson makes free throw 1 of 1,1,83-58,,
0:44.0,,,83-58,,Shooting foul by K. Lowry (drawn by A. Gee)
0:44.0,,,83-59,1,A. Gee makes free throw 1 of 2
0:44.0,,,83-59,,A. Gee misses free throw 2 of 2
0:43.0,Defensive rebound by P. Patterson,,83-59,,
0:28.0,Shooting foul by T. Douglas (drawn by K. Lowry),,83-59,,
0:28.0,K. Lowry makes free throw 1 of 2,1,84-59,,
0:28.0,K. Lowry makes free throw 2 of 2,1,85-59,,
0:07.0,,,85-61,2,A. Gee makes 2-pt shot at rim (assist by J. Hamilton)
0:01.0,K. Lowry misses 3-pt shot from 26 ft,,85-61,,
0:00.0,Offensive rebound by P. Patterson,,85-61,,
0:00.0,P. Patterson misses 2-pt shot from 2 ft,,85-61,,
0:00.0,Offensive rebound by Team,,85-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,85-61,,Shooting foul by B. Biyombo (drawn by J. Hamilton)
11:45.0,,,85-61,,J. Hamilton misses free throw 1 of 2
11:45.0,,,85-61,,Offensive rebound by Team
11:45.0,,,85-62,1,J. Hamilton makes free throw 2 of 2
11:33.0,N. Powell misses 2-pt shot from 12 ft,,85-62,,
11:32.0,,,85-62,,Defensive rebound by K. Perkins
11:19.0,,,85-62,,L. Babbitt misses 2-pt shot from 7 ft
11:17.0,Defensive rebound by B. Biyombo,,85-62,,
11:05.0,C. Joseph makes 3-pt shot from 24 ft (assist by P. Patterson),3,88-62,,
10:49.0,,,88-62,,D. Cunningham misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by C. Joseph,,88-62,,
10:37.0,Shooting foul by L. Babbitt (drawn by P. Patterson),,88-62,,
10:37.0,P. Patterson makes free throw 1 of 2,1,89-62,,
10:37.0,P. Patterson makes free throw 2 of 2,1,90-62,,
10:26.0,,,90-65,3,L. Babbitt makes 3-pt shot from 25 ft (assist by K. Perkins)
10:06.0,B. Biyombo makes 2-pt shot from 14 ft (assist by N. Powell),2,92-65,,
9:45.0,,,92-67,2,T. Frazier makes 2-pt shot from 22 ft
9:30.0,J. Johnson misses 2-pt shot from 21 ft,,92-67,,
9:29.0,Offensive rebound by B. Biyombo,,92-67,,
9:18.0,N. Powell makes 2-pt shot at rim,2,94-67,,
9:18.0,Shooting foul by D. Cunningham (drawn by N. Powell),,94-67,,
9:18.0,N. Powell makes free throw 1 of 1,1,95-67,,
8:56.0,,,95-69,2,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Frazier)
8:43.0,N. Powell misses 3-pt shot from 25 ft,,95-69,,
8:42.0,,,95-69,,Defensive rebound by K. Perkins
8:18.0,,,95-69,,D. Cunningham misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by Team,,95-69,,
8:16.0,Official timeout,,95-69,,
8:16.0,,,95-69,,A. Gee enters the game for L. Babbitt
8:16.0,,,95-69,,A. Ajinca enters the game for K. Perkins
8:01.0,J. Johnson makes 2-pt shot from 2 ft,2,97-69,,
7:51.0,,,97-69,,Turnover by T. Frazier (lost ball; steal by C. Joseph)
7:44.0,J. Johnson makes 3-pt shot from 24 ft (assist by P. Patterson),3,100-69,,
7:38.0,,,100-69,,New Orleans full timeout
7:20.0,,,100-71,2,J. Hamilton makes 2-pt shot from 8 ft
6:58.0,Turnover by P. Patterson (bad pass),,100-71,,
6:49.0,,,100-71,,Shooting foul by P. Patterson (drawn by A. Ajinca)
6:49.0,,,100-72,1,A. Ajinca makes free throw 1 of 2
6:49.0,J. Thompson enters the game for P. Patterson,,100-72,,
6:49.0,,,100-73,1,A. Ajinca makes free throw 2 of 2
6:31.0,C. Joseph misses 2-pt shot from 1 ft,,100-73,,
6:30.0,,,100-73,,Defensive rebound by A. Ajinca
6:29.0,Personal foul by C. Joseph,,100-73,,
6:20.0,,,100-75,2,J. Hamilton makes 2-pt shot from 6 ft (assist by T. Frazier)
6:00.0,Shooting foul by J. Hamilton (drawn by N. Powell),,100-75,,
6:00.0,N. Powell makes free throw 1 of 2,1,101-75,,
6:00.0,N. Powell makes free throw 2 of 2,1,102-75,,
5:48.0,,,102-75,,A. Gee misses 2-pt shot from 2 ft
5:47.0,,,102-75,,Offensive rebound by J. Hamilton
5:44.0,,,102-77,2,J. Hamilton makes 2-pt shot from 1 ft
5:27.0,Turnover by J. Johnson (discontinued dribble),,102-77,,
5:22.0,,,102-77,,T. Frazier misses 2-pt shot from 2 ft
5:19.0,,,102-77,,Offensive rebound by T. Frazier
5:14.0,,,102-77,,T. Frazier misses 3-pt shot from 22 ft
5:11.0,,,102-77,,Offensive rebound by A. Ajinca
5:11.0,Loose ball foul by J. Thompson,,102-77,,
5:00.0,,,102-79,2,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Hamilton)
4:46.0,Shooting foul by D. Cunningham (drawn by B. Biyombo),,102-79,,
4:46.0,B. Biyombo makes free throw 1 of 2,1,103-79,,
4:46.0,B. Biyombo makes free throw 2 of 2,1,104-79,,
4:35.0,,,104-81,2,J. Hamilton makes 2-pt shot from 15 ft
4:16.0,N. Powell misses 3-pt shot from 25 ft,,104-81,,
4:15.0,Offensive rebound by J. Johnson,,104-81,,
4:14.0,J. Johnson misses 2-pt shot from 1 ft,,104-81,,
4:09.0,Offensive rebound by J. Johnson,,104-81,,
4:09.0,Turnover by J. Johnson (bad pass),,104-81,,
4:05.0,,,104-83,2,T. Frazier makes 2-pt shot from 11 ft
3:40.0,J. Johnson makes 2-pt shot from 3 ft,2,106-83,,
3:40.0,,,106-83,,Violation by A. Ajinca (def goaltending)
3:40.0,,,106-83,,Technical foul by A. Ajinca
3:40.0,C. Joseph makes technical free throw,1,107-83,,
3:34.0,,,107-85,2,A. Ajinca makes 2-pt shot from 2 ft (assist by T. Frazier)
3:17.0,D. Wright enters the game for C. Joseph,,107-85,,
3:12.0,Shooting foul by A. Ajinca (drawn by B. Biyombo),,107-85,,
3:12.0,B. Biyombo misses free throw 1 of 2,,107-85,,
3:12.0,Offensive rebound by Team,,107-85,,
3:12.0,B. Biyombo makes free throw 2 of 2,1,108-85,,
3:06.0,,,108-87,2,A. Ajinca makes 2-pt shot from 17 ft (assist by J. Hamilton)
2:42.0,Toronto full timeout,,108-87,,
2:42.0,L. Nogueira enters the game for B. Biyombo,,108-87,,
2:39.0,N. Powell makes 3-pt shot from 22 ft (assist by D. Wright),3,111-87,,
2:17.0,,,111-87,,Offensive charge foul by A. Gee
2:17.0,,,111-87,,Turnover by A. Gee (offensive foul)
2:04.0,,,111-87,,Violation by T. Frazier (kicked ball)
2:04.0,B. Caboclo enters the game for N. Powell,,111-87,,
2:04.0,,,111-87,,L. Babbitt enters the game for D. Cunningham
1:53.0,J. Thompson makes 2-pt shot from 6 ft (assist by J. Johnson),2,113-87,,
1:47.0,,,113-89,2,T. Frazier makes 2-pt shot from 17 ft
1:25.0,J. Thompson misses 3-pt shot from 24 ft,,113-89,,
1:25.0,,,113-89,,Defensive rebound by A. Gee
1:19.0,,,113-89,,J. Hamilton misses 2-pt shot from 21 ft
1:18.0,Defensive rebound by J. Thompson,,113-89,,
1:12.0,Shooting foul by J. Hamilton (drawn by L. Nogueira),,113-89,,
1:12.0,L. Nogueira makes free throw 1 of 2,1,114-89,,
1:12.0,L. Nogueira makes free throw 2 of 2,1,115-89,,
1:04.0,,,115-89,,Turnover by A. Ajinca (lost ball; steal by J. Thompson)
0:58.0,Turnover by D. Wright (bad pass),,115-89,,
0:49.0,,,115-89,,Turnover by T. Frazier (lost ball; steal by J. Johnson)
0:42.0,Turnover by J. Johnson (bad pass),,115-89,,
0:30.0,,,115-91,2,A. Gee makes 2-pt shot at rim (assist by L. Babbitt)
0:07.0,B. Caboclo misses 2-pt shot from 14 ft,,115-91,,
0:05.0,Offensive rebound by D. Wright,,115-91,,
0:05.0,D. Wright misses 2-pt shot from 2 ft,,115-91,,
0:03.0,,,115-91,,Defensive rebound by A. Gee
0:01.0,,,115-91,,Turnover by A. Gee (lost ball; steal by J. Johnson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
