time,Orlando,pts.away,score,pts.home,New Orleans
0:53.0,,,26-17,,I. Smith enters the game for E. Gordon
0:44.0,J. Smith misses 2-pt shot from 20 ft,,26-17,,
0:43.0,,,26-17,,Defensive rebound by T. Douglas
0:27.0,,,26-17,,R. Anderson misses 2-pt shot from 3 ft
0:26.0,Defensive rebound by A. Gordon,,26-17,,
0:08.0,E. Fournier makes 2-pt shot from 2 ft,2,28-17,,
0:02.0,,,28-17,,I. Smith misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by J. Smith,,28-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-19,2,T. Douglas makes 2-pt shot from 2 ft (assist by I. Smith)
11:41.0,,,28-19,,Shooting foul by A. Gordon (drawn by T. Douglas)
11:41.0,,,28-20,1,T. Douglas makes free throw 1 of 1
11:21.0,E. Fournier makes 2-pt shot from 6 ft,2,30-20,,
11:12.0,,,30-20,,R. Anderson misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by A. Gordon,,30-20,,
11:08.0,Offensive foul by A. Gordon,,30-20,,
11:08.0,Turnover by A. Gordon (offensive foul),,30-20,,
11:08.0,T. Harris enters the game for A. Gordon,,30-20,,
10:57.0,Personal foul by T. Harris (drawn by R. Anderson),,30-20,,
10:48.0,,,30-22,2,D. Cunningham makes 2-pt shot from 1 ft (assist by I. Smith)
10:34.0,Turnover by M. Hezonja (lost ball; steal by A. Gee),,30-22,,
10:26.0,,,30-22,,Shooting foul by T. Harris (drawn by D. Cunningham)
10:26.0,,,30-22,,D. Cunningham misses free throw 1 of 2
10:26.0,,,30-22,,Offensive rebound by Team
10:26.0,V. Oladipo enters the game for M. Hezonja,,30-22,,
10:26.0,E. Payton enters the game for T. Harris,,30-22,,
10:26.0,D. Dedmon enters the game for C. Watson,,30-22,,
10:26.0,,,30-23,1,D. Cunningham makes free throw 2 of 2
10:10.0,E. Fournier misses 3-pt shot from 23 ft,,30-23,,
10:09.0,,,30-23,,Defensive rebound by D. Cunningham
9:59.0,,,30-23,,R. Anderson misses 2-pt shot from 6 ft
9:57.0,Defensive rebound by J. Smith,,30-23,,
9:55.0,Turnover by J. Smith (bad pass; steal by T. Douglas),,30-23,,
9:48.0,,,30-23,,A. Gee misses 2-pt shot from 2 ft
9:46.0,,,30-23,,Offensive rebound by A. Gee
9:46.0,,,30-23,,A. Gee misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by D. Dedmon,,30-23,,
9:38.0,,,30-23,,Personal foul by T. Douglas (drawn by E. Payton)
9:31.0,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton),2,32-23,,
9:20.0,,,32-23,,R. Anderson misses 2-pt shot from 2 ft (block by D. Dedmon)
9:20.0,,,32-23,,Offensive rebound by Team
9:20.0,,,32-23,,A. Davis enters the game for R. Anderson
9:05.0,,,32-23,,A. Davis misses 2-pt shot from 7 ft
9:05.0,,,32-23,,Offensive rebound by A. Gee
9:05.0,,,32-25,2,A. Gee makes 2-pt shot at rim
8:49.0,,,32-25,,Shooting block foul by D. Cunningham (drawn by J. Smith)
8:49.0,Official timeout,,32-25,,
8:49.0,,,32-25,,L. Babbitt enters the game for T. Douglas
8:49.0,J. Smith makes free throw 1 of 2,1,33-25,,
8:49.0,J. Smith makes free throw 2 of 2,1,34-25,,
8:30.0,,,34-25,,L. Babbitt misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by E. Fournier,,34-25,,
8:13.0,J. Smith makes 2-pt shot from 21 ft (assist by E. Payton),2,36-25,,
7:50.0,,,36-25,,I. Smith misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by D. Dedmon,,36-25,,
7:35.0,J. Smith misses 2-pt shot from 20 ft,,36-25,,
7:34.0,,,36-25,,Defensive rebound by D. Cunningham
7:32.0,Personal foul by J. Smith (drawn by A. Davis),,36-25,,
7:22.0,,,36-25,,Shooting foul by D. Dedmon (drawn by A. Davis)
7:22.0,,,36-26,1,A. Davis makes free throw 1 of 2
7:22.0,,,36-27,1,A. Davis makes free throw 2 of 2
7:07.0,J. Smith misses 2-pt shot from 20 ft,,36-27,,
7:06.0,Offensive rebound by E. Payton,,36-27,,
7:01.0,V. Oladipo makes 3-pt shot from 26 ft (assist by E. Payton),3,39-27,,
6:47.0,,,39-27,,D. Cunningham misses 3-pt shot from 22 ft
6:45.0,Defensive rebound by E. Payton,,39-27,,
6:39.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,41-27,,
6:36.0,,,41-27,,New Orleans full timeout
6:36.0,,,41-27,,Technical foul by Team
6:36.0,N. Vucevic enters the game for J. Smith,,41-27,,
6:36.0,,,41-27,,A. Ajinca enters the game for D. Cunningham
6:36.0,V. Oladipo makes technical free throw,1,42-27,,
6:32.0,,,42-27,,Turnover by A. Gee (lost ball)
6:16.0,N. Vucevic misses 2-pt shot from 20 ft,,42-27,,
6:15.0,,,42-27,,Defensive rebound by L. Babbitt
5:54.0,,,42-27,,A. Ajinca misses 2-pt shot from 14 ft
5:53.0,,,42-27,,Offensive rebound by A. Davis
5:53.0,,,42-27,,A. Davis misses 2-pt shot from 3 ft
5:52.0,Defensive rebound by N. Vucevic,,42-27,,
5:39.0,E. Fournier makes 2-pt shot from 2 ft,2,44-27,,
5:39.0,Shooting foul by A. Ajinca (drawn by E. Fournier),,44-27,,
5:39.0,,,44-27,,E. Gordon enters the game for A. Gee
5:39.0,E. Fournier makes free throw 1 of 1,1,45-27,,
5:30.0,,,45-27,,Turnover by I. Smith (bad pass)
5:15.0,V. Oladipo misses 3-pt shot from 25 ft,,45-27,,
5:14.0,,,45-27,,Defensive rebound by L. Babbitt
5:04.0,,,45-29,2,E. Gordon makes 2-pt shot from 1 ft (assist by I. Smith)
4:53.0,Turnover by E. Payton (bad pass; steal by A. Davis),,45-29,,
4:47.0,,,45-29,,L. Babbitt misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by E. Fournier,,45-29,,
4:36.0,Turnover by E. Payton (bad pass; steal by I. Smith),,45-29,,
4:31.0,,,45-31,2,E. Gordon makes 2-pt shot from 1 ft (assist by I. Smith)
4:31.0,Orlando full timeout,,45-31,,
4:31.0,J. Smith enters the game for E. Payton,,45-31,,
4:31.0,C. Watson enters the game for D. Dedmon,,45-31,,
4:31.0,,,45-31,,J. Holiday enters the game for L. Babbitt
4:09.0,J. Smith misses 2-pt shot from 20 ft (block by A. Ajinca),,45-31,,
4:06.0,,,45-31,,Defensive rebound by I. Smith
3:53.0,,,45-31,,J. Holiday misses 2-pt shot from 8 ft
3:51.0,,,45-31,,Offensive rebound by I. Smith
3:47.0,,,45-31,,A. Davis misses 2-pt shot from 10 ft
3:46.0,,,45-31,,Offensive rebound by A. Ajinca
3:41.0,,,45-33,2,E. Gordon makes 2-pt shot from 11 ft (assist by I. Smith)
3:22.0,E. Fournier misses 3-pt shot from 24 ft,,45-33,,
3:22.0,Offensive rebound by N. Vucevic,,45-33,,
3:15.0,N. Vucevic makes 2-pt shot from 5 ft,2,47-33,,
3:06.0,,,47-33,,E. Gordon misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by J. Smith,,47-33,,
2:53.0,N. Vucevic makes 2-pt shot from 16 ft,2,49-33,,
2:31.0,,,49-33,,A. Ajinca misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by V. Oladipo,,49-33,,
2:19.0,J. Smith misses 2-pt shot from 14 ft,,49-33,,
2:17.0,,,49-33,,Defensive rebound by J. Holiday
2:10.0,,,49-36,3,E. Gordon makes 3-pt shot from 23 ft (assist by I. Smith)
1:42.0,E. Fournier makes 2-pt shot from 1 ft,2,51-36,,
1:30.0,,,51-36,,J. Holiday misses 2-pt shot from 19 ft
1:28.0,Defensive rebound by V. Oladipo,,51-36,,
1:17.0,J. Smith makes 2-pt shot from 18 ft (assist by C. Watson),2,53-36,,
0:56.0,,,53-36,,Shooting foul by N. Vucevic (drawn by A. Davis)
0:56.0,,,53-37,1,A. Davis makes free throw 1 of 2
0:56.0,,,53-37,,R. Anderson enters the game for A. Ajinca
0:56.0,,,53-38,1,A. Davis makes free throw 2 of 2
0:38.0,Shooting foul by R. Anderson (drawn by N. Vucevic),,53-38,,
0:38.0,N. Vucevic makes free throw 1 of 2,1,54-38,,
0:38.0,N. Vucevic makes free throw 2 of 2,1,55-38,,
0:26.0,Personal foul by J. Smith (drawn by A. Davis),,55-38,,
0:26.0,,,55-39,1,A. Davis makes free throw 1 of 2
0:26.0,,,55-40,1,A. Davis makes free throw 2 of 2
0:05.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,57-40,,
0:00.0,,,57-43,3,I. Smith makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,57-45,2,E. Gordon makes 2-pt shot from 2 ft
11:25.0,E. Fournier misses 3-pt shot from 24 ft,,57-45,,
11:24.0,Offensive rebound by T. Harris,,57-45,,
11:21.0,T. Harris misses 2-pt shot from 2 ft (block by A. Ajinca),,57-45,,
11:19.0,,,57-45,,Defensive rebound by E. Gordon
11:14.0,,,57-48,3,E. Gordon makes 3-pt shot from 25 ft (assist by L. Babbitt)
11:14.0,Orlando full timeout,,57-48,,
10:50.0,N. Vucevic misses 2-pt shot from 13 ft,,57-48,,
10:45.0,,,57-48,,Defensive rebound by A. Ajinca
10:36.0,,,57-48,,E. Gordon misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by T. Harris,,57-48,,
10:29.0,V. Oladipo makes 2-pt shot from 15 ft (assist by T. Harris),2,59-48,,
10:17.0,,,59-48,,J. Holiday misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by V. Oladipo,,59-48,,
10:06.0,E. Payton misses 2-pt shot from 2 ft,,59-48,,
10:06.0,,,59-48,,Defensive rebound by A. Davis
9:56.0,,,59-48,,A. Davis misses 2-pt shot from 15 ft
9:55.0,Defensive rebound by T. Harris,,59-48,,
9:45.0,T. Harris misses 3-pt shot from 25 ft,,59-48,,
9:44.0,Offensive rebound by Team,,59-48,,
9:34.0,E. Payton misses 3-pt shot from 25 ft,,59-48,,
9:33.0,,,59-48,,Defensive rebound by A. Davis
9:22.0,,,59-48,,L. Babbitt misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by V. Oladipo,,59-48,,
9:10.0,N. Vucevic makes 2-pt shot from 20 ft (assist by V. Oladipo),2,61-48,,
8:52.0,,,61-48,,Offensive foul by A. Ajinca
8:52.0,,,61-48,,Turnover by A. Ajinca (offensive foul)
8:32.0,Turnover by E. Payton (bad pass),,61-48,,
8:32.0,,,61-48,,D. Cunningham enters the game for L. Babbitt
8:12.0,,,61-50,2,J. Holiday makes 2-pt shot from 14 ft (assist by D. Cunningham)
8:01.0,T. Harris misses 2-pt shot from 7 ft (block by A. Davis),,61-50,,
8:00.0,,,61-50,,Defensive rebound by A. Davis
7:54.0,Personal foul by E. Payton (drawn by J. Holiday),,61-50,,
7:54.0,,,61-50,,R. Anderson enters the game for A. Ajinca
7:46.0,,,61-50,,E. Gordon misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by V. Oladipo,,61-50,,
7:27.0,E. Fournier misses 2-pt shot from 16 ft,,61-50,,
7:27.0,,,61-50,,Defensive rebound by D. Cunningham
7:16.0,,,61-53,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday)
6:59.0,T. Harris makes 2-pt shot from 6 ft (assist by E. Payton),2,63-53,,
6:50.0,,,63-56,3,J. Holiday makes 3-pt shot from 26 ft
6:39.0,Shooting foul by E. Gordon (drawn by V. Oladipo),,63-56,,
6:39.0,V. Oladipo makes free throw 1 of 2,1,64-56,,
6:39.0,C. Watson enters the game for E. Payton,,64-56,,
6:39.0,,,64-56,,T. Douglas enters the game for J. Holiday
6:39.0,V. Oladipo makes free throw 2 of 2,1,65-56,,
6:27.0,Personal foul by V. Oladipo (drawn by R. Anderson),,65-56,,
6:20.0,,,65-56,,Turnover by E. Gordon (bad pass)
5:55.0,N. Vucevic misses 2-pt shot from 6 ft,,65-56,,
5:53.0,,,65-56,,Defensive rebound by D. Cunningham
5:36.0,,,65-59,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Douglas)
5:17.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,68-59,,
5:03.0,,,68-59,,Turnover by E. Gordon (bad pass)
5:03.0,,,68-59,,New Orleans full timeout
4:49.0,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Fournier),2,70-59,,
4:30.0,,,70-59,,D. Cunningham misses 3-pt shot from 22 ft
4:29.0,Defensive rebound by T. Harris,,70-59,,
4:21.0,E. Fournier makes 3-pt shot from 27 ft (assist by V. Oladipo),3,73-59,,
4:16.0,,,73-59,,New Orleans full timeout
4:00.0,,,73-59,,A. Davis misses 2-pt shot from 12 ft
3:56.0,,,73-59,,Offensive rebound by D. Cunningham
3:56.0,,,73-59,,D. Cunningham misses 2-pt shot from 1 ft
3:55.0,,,73-59,,Offensive rebound by T. Douglas
3:50.0,,,73-59,,R. Anderson misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by N. Vucevic,,73-59,,
3:34.0,Turnover by N. Vucevic (bad pass; steal by R. Anderson),,73-59,,
3:26.0,,,73-62,3,E. Gordon makes 3-pt shot from 22 ft (assist by T. Douglas)
3:09.0,N. Vucevic misses 2-pt shot from 8 ft,,73-62,,
3:07.0,,,73-62,,Defensive rebound by A. Davis
2:54.0,,,73-62,,A. Davis misses 2-pt shot from 12 ft
2:54.0,Defensive rebound by C. Watson,,73-62,,
2:44.0,E. Fournier misses 2-pt shot from 2 ft (block by A. Davis),,73-62,,
2:40.0,,,73-62,,Defensive rebound by R. Anderson
2:33.0,,,73-65,3,R. Anderson makes 3-pt shot from 28 ft (assist by T. Douglas)
2:33.0,Orlando full timeout,,73-65,,
2:33.0,M. Hezonja enters the game for E. Fournier,,73-65,,
2:33.0,D. Dedmon enters the game for N. Vucevic,,73-65,,
2:31.0,,,73-65,,A. Ajinca enters the game for A. Davis
2:23.0,D. Dedmon misses 2-pt shot from 15 ft,,73-65,,
2:22.0,,,73-65,,Defensive rebound by T. Douglas
2:03.0,,,73-67,2,R. Anderson makes 2-pt shot from 8 ft (assist by E. Gordon)
1:50.0,Shooting foul by T. Douglas (drawn by C. Watson),,73-67,,
1:50.0,C. Watson makes free throw 1 of 3,1,74-67,,
1:50.0,C. Watson makes free throw 2 of 3,1,75-67,,
1:50.0,E. Payton enters the game for V. Oladipo,,75-67,,
1:50.0,C. Watson makes free throw 3 of 3,1,76-67,,
1:31.0,,,76-67,,R. Anderson misses 2-pt shot from 10 ft
1:28.0,Defensive rebound by M. Hezonja,,76-67,,
1:12.0,E. Payton misses 2-pt shot from 7 ft,,76-67,,
1:12.0,,,76-67,,Defensive rebound by T. Douglas
0:58.0,,,76-67,,E. Gordon misses 3-pt shot from 25 ft
0:57.0,,,76-67,,Offensive rebound by R. Anderson
0:57.0,,,76-67,,R. Anderson misses 2-pt shot from 1 ft
0:50.0,,,76-67,,Offensive rebound by T. Douglas
0:41.0,,,76-67,,R. Anderson misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by C. Watson,,76-67,,
0:31.0,C. Watson makes 2-pt shot from 10 ft,2,78-67,,
0:20.0,,,78-67,,E. Gordon misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by T. Harris,,78-67,,
0:03.0,Turnover by E. Payton (lost ball; steal by D. Cunningham),,78-67,,
0:00.0,,,78-69,2,T. Douglas makes 2-pt shot from 2 ft (assist by A. Ajinca)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by M. Hezonja (bad pass),,78-69,,
11:23.0,,,78-71,2,L. Babbitt makes 2-pt shot from 5 ft
11:16.0,,,78-71,,Personal foul by T. Douglas (drawn by E. Payton)
11:06.0,J. Smith misses 2-pt shot from 18 ft,,78-71,,
11:06.0,,,78-71,,Defensive rebound by I. Smith
11:02.0,,,78-71,,Offensive charge foul by T. Douglas
11:02.0,,,78-71,,Turnover by T. Douglas (offensive foul)
11:02.0,Orlando full timeout,,78-71,,
11:02.0,E. Fournier enters the game for C. Watson,,78-71,,
10:42.0,E. Payton makes 2-pt shot from 1 ft,2,80-71,,
10:29.0,,,80-74,3,R. Anderson makes 3-pt shot from 25 ft (assist by I. Smith)
10:14.0,D. Dedmon misses 2-pt shot from 4 ft,,80-74,,
10:13.0,,,80-74,,Defensive rebound by L. Babbitt
9:59.0,,,80-74,,R. Anderson misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by E. Fournier,,80-74,,
9:50.0,E. Payton makes 2-pt shot from 2 ft,2,82-74,,
9:36.0,,,82-74,,T. Douglas misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by D. Dedmon,,82-74,,
9:26.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,84-74,,
9:26.0,,,84-74,,New Orleans full timeout
9:14.0,,,84-74,,R. Anderson misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by Team,,84-74,,
9:03.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,86-74,,
9:03.0,Shooting foul by L. Babbitt (drawn by E. Fournier),,86-74,,
9:03.0,,,86-74,,E. Gordon enters the game for T. Douglas
9:03.0,,,86-74,,A. Davis enters the game for A. Ajinca
9:03.0,E. Fournier makes free throw 1 of 1,1,87-74,,
8:35.0,,,87-74,,R. Anderson misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by D. Dedmon,,87-74,,
8:18.0,Turnover by E. Fournier (bad pass; steal by R. Anderson),,87-74,,
8:17.0,,,87-74,,Shooting foul by E. Fournier (drawn by A. Davis)
8:17.0,,,87-75,1,A. Davis makes free throw 1 of 2
8:17.0,,,87-75,,D. Cunningham enters the game for R. Anderson
8:17.0,N. Vucevic enters the game for D. Dedmon,,87-75,,
8:17.0,T. Harris enters the game for J. Smith,,87-75,,
8:17.0,,,87-75,,J. Holiday enters the game for I. Smith
8:17.0,,,87-76,1,A. Davis makes free throw 2 of 2
8:02.0,E. Payton misses 2-pt shot from 18 ft,,87-76,,
8:02.0,,,87-76,,Defensive rebound by D. Cunningham
7:52.0,,,87-78,2,J. Holiday makes 2-pt shot from 14 ft
7:35.0,N. Vucevic misses 2-pt shot from 5 ft (block by A. Davis),,87-78,,
7:33.0,Offensive rebound by N. Vucevic,,87-78,,
7:29.0,T. Harris misses 3-pt shot from 25 ft,,87-78,,
7:28.0,,,87-78,,Defensive rebound by A. Davis
7:21.0,,,87-78,,Turnover by J. Holiday (bad pass; steal by N. Vucevic)
7:13.0,E. Payton misses 2-pt shot from 2 ft (block by J. Holiday),,87-78,,
7:12.0,Offensive rebound by T. Harris,,87-78,,
7:10.0,T. Harris misses 2-pt shot from 1 ft,,87-78,,
7:07.0,,,87-78,,Defensive rebound by L. Babbitt
6:56.0,,,87-78,,Shooting foul by N. Vucevic (drawn by A. Davis)
6:56.0,,,87-78,,A. Davis misses free throw 1 of 2
6:56.0,,,87-78,,Offensive rebound by Team
6:56.0,V. Oladipo enters the game for M. Hezonja,,87-78,,
6:56.0,S. Napier enters the game for E. Payton,,87-78,,
6:56.0,,,87-78,,A. Davis misses free throw 2 of 2
6:55.0,Defensive rebound by T. Harris,,87-78,,
6:39.0,E. Fournier misses 3-pt shot from 25 ft,,87-78,,
6:37.0,Offensive rebound by T. Harris,,87-78,,
6:37.0,T. Harris makes 2-pt shot at rim,2,89-78,,
6:27.0,,,89-81,3,J. Holiday makes 3-pt shot from 24 ft (assist by A. Davis)
6:10.0,V. Oladipo misses 3-pt shot from 24 ft,,89-81,,
6:09.0,,,89-81,,Defensive rebound by J. Holiday
6:03.0,,,89-81,,Shooting foul by N. Vucevic (drawn by J. Holiday)
6:03.0,,,89-82,1,J. Holiday makes free throw 1 of 2
6:03.0,E. Payton enters the game for S. Napier,,89-82,,
6:03.0,,,89-83,1,J. Holiday makes free throw 2 of 2
5:48.0,N. Vucevic misses 2-pt shot from 6 ft (block by A. Davis),,89-83,,
5:46.0,,,89-83,,Defensive rebound by L. Babbitt
5:37.0,,,89-83,,A. Davis misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by E. Payton,,89-83,,
5:28.0,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Payton),2,91-83,,
5:13.0,,,91-85,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:48.0,E. Payton misses 3-pt shot from 25 ft,,91-85,,
4:47.0,,,91-85,,Defensive rebound by L. Babbitt
