time,Brooklyn,pts.away,score,pts.home,Philadelphia
4:49.0,Defensive rebound by Team,,4-10,,
4:36.0,S. Larkin makes 2-pt shot from 21 ft,2,6-10,,
4:21.0,,,6-12,2,K. Marshall makes 2-pt shot from 2 ft
4:08.0,,,6-12,,Shooting block foul by J. Grant (drawn by T. Young)
4:08.0,T. Young misses free throw 1 of 2,,6-12,,
4:08.0,Offensive rebound by Team,,6-12,,
4:08.0,,,6-12,,I. Canaan enters the game for N. Stauskas
4:08.0,,,6-12,,J. Okafor enters the game for N. Noel
4:08.0,T. Young misses free throw 2 of 2,,6-12,,
4:07.0,,,6-12,,Defensive rebound by J. Grant
3:53.0,,,6-12,,Turnover by K. Marshall (bad pass)
3:42.0,Turnover by B. Bogdanovic (bad pass),,6-12,,
3:24.0,,,6-12,,J. Grant misses 2-pt shot from 3 ft
3:22.0,Defensive rebound by B. Bogdanovic,,6-12,,
3:14.0,Turnover by J. Johnson (bad pass; steal by J. Grant),,6-12,,
3:04.0,,,6-15,3,I. Canaan makes 3-pt shot from 25 ft (assist by K. Marshall)
3:00.0,Brooklyn full timeout,,6-15,,
3:00.0,M. Brown enters the game for J. Johnson,,6-15,,
2:49.0,Turnover by T. Young (traveling),,6-15,,
2:25.0,,,6-17,2,J. Grant makes 2-pt shot from 1 ft
2:09.0,T. Robinson misses 2-pt shot from 5 ft (block by J. Okafor),,6-17,,
2:07.0,Offensive rebound by T. Robinson,,6-17,,
2:05.0,T. Robinson makes 2-pt shot from 1 ft,2,8-17,,
1:53.0,,,8-17,,J. Okafor misses 2-pt shot from 3 ft (block by T. Robinson)
1:51.0,Defensive rebound by T. Young,,8-17,,
1:46.0,T. Robinson misses 2-pt shot from 4 ft,,8-17,,
1:43.0,Offensive rebound by T. Robinson,,8-17,,
1:40.0,M. Brown makes 2-pt shot from 20 ft (assist by T. Robinson),2,10-17,,
1:27.0,,,10-17,,H. Thompson misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by T. Young,,10-17,,
1:16.0,T. Young misses 2-pt shot from 4 ft (block by J. Grant),,10-17,,
1:14.0,,,10-17,,Defensive rebound by I. Canaan
1:10.0,,,10-20,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Canaan)
0:55.0,T. Robinson misses 2-pt shot from 3 ft (block by J. Okafor),,10-20,,
0:55.0,Offensive rebound by Team,,10-20,,
0:55.0,A. Bargnani enters the game for T. Young,,10-20,,
0:55.0,Turnover by T. Robinson (lost ball; steal by J. Okafor),,10-20,,
0:55.0,Jump ball: J. Okafor vs. T. Robinson (H. Thompson gains possession),,,,Jump ball: J. Okafor vs. T. Robinson (H. Thompson gains possession)
0:39.0,,,10-22,2,J. Okafor makes 2-pt shot from 6 ft
0:28.0,,,10-22,,Shooting block foul by K. Marshall (drawn by M. Brown)
0:28.0,M. Brown makes free throw 1 of 2,1,11-22,,
0:28.0,,,11-22,,R. Covington enters the game for J. Grant
0:28.0,M. Brown makes free throw 2 of 2,1,12-22,,
0:04.0,,,12-24,2,K. Marshall makes 2-pt shot from 6 ft
0:01.0,B. Bogdanovic misses 3-pt shot from 27 ft,,12-24,,
0:00.0,Offensive rebound by Team,,12-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Robinson misses 2-pt shot from 17 ft,,12-24,,
11:42.0,,,12-24,,Defensive rebound by H. Thompson
11:25.0,,,12-24,,J. Grant misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by T. Robinson,,12-24,,
11:16.0,,,12-24,,Personal foul by I. Canaan (drawn by B. Bogdanovic)
11:16.0,B. Lopez enters the game for T. Robinson,,12-24,,
11:05.0,A. Bargnani makes 2-pt shot from 17 ft (assist by S. Larkin),2,14-24,,
10:41.0,,,14-24,,H. Thompson misses 2-pt shot from 17 ft
10:40.0,Defensive rebound by S. Larkin,,14-24,,
10:29.0,B. Bogdanovic misses 3-pt shot from 23 ft,,14-24,,
10:26.0,,,14-24,,Defensive rebound by J. Grant
10:13.0,,,14-26,2,J. Okafor makes 2-pt shot from 5 ft (assist by I. Canaan)
9:50.0,A. Bargnani misses 2-pt shot from 11 ft,,14-26,,
9:48.0,,,14-26,,Defensive rebound by J. Okafor
9:31.0,,,14-29,3,I. Canaan makes 3-pt shot from 25 ft
9:18.0,Shooting foul by H. Thompson (drawn by B. Lopez),,14-29,,
9:18.0,B. Lopez makes free throw 1 of 2,1,15-29,,
9:18.0,,,15-29,,R. Covington enters the game for J. Grant
9:18.0,,,15-29,,N. Noel enters the game for J. Okafor
9:18.0,,,15-29,,T. McConnell enters the game for K. Marshall
9:18.0,B. Lopez makes free throw 2 of 2,1,16-29,,
9:18.0,,,16-29,,Philadelphia full timeout
8:59.0,,,16-29,,N. Noel misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by S. Larkin,,16-29,,
8:40.0,A. Bargnani misses 2-pt shot from 16 ft,,16-29,,
8:38.0,Offensive rebound by A. Bargnani,,16-29,,
8:34.0,M. Brown makes 3-pt shot from 23 ft (assist by A. Bargnani),3,19-29,,
8:16.0,,,19-29,,Turnover by N. Noel (bad pass; steal by M. Brown)
8:11.0,B. Bogdanovic makes 2-pt shot at rim (assist by M. Brown),2,21-29,,
8:00.0,,,21-32,3,T. McConnell makes 3-pt shot from 25 ft
7:50.0,,,21-32,,N. Stauskas enters the game for I. Canaan
7:50.0,,,21-32,,J. Sampson enters the game for H. Thompson
7:41.0,B. Lopez misses 2-pt shot from 1 ft,,21-32,,
7:38.0,,,21-32,,Defensive rebound by R. Covington
7:28.0,,,21-32,,Turnover by T. McConnell (bad pass; steal by S. Larkin)
7:22.0,B. Bogdanovic misses 2-pt shot from 2 ft,,21-32,,
7:21.0,,,21-32,,Defensive rebound by R. Covington
7:17.0,,,21-32,,Turnover by N. Stauskas (lost ball)
7:10.0,,,21-32,,Personal foul by R. Covington (drawn by A. Bargnani)
7:10.0,D. Sloan enters the game for S. Larkin,,21-32,,
7:10.0,W. Ellington enters the game for M. Brown,,21-32,,
6:54.0,A. Bargnani misses 2-pt shot from 12 ft,,21-32,,
6:53.0,,,21-32,,Defensive rebound by R. Covington
6:37.0,,,21-32,,N. Noel misses 2-pt shot from 2 ft
6:36.0,,,21-32,,Offensive rebound by N. Noel
6:36.0,,,21-32,,Shooting foul by A. Bargnani (drawn by N. Noel)
6:36.0,,,21-33,1,N. Noel makes free throw 1 of 2
6:36.0,T. Young enters the game for A. Bargnani,,21-33,,
6:36.0,J. Johnson enters the game for B. Bogdanovic,,21-33,,
6:36.0,,,21-34,1,N. Noel makes free throw 2 of 2
6:17.0,W. Ellington makes 2-pt shot from 18 ft (assist by J. Johnson),2,23-34,,
5:57.0,,,23-34,,Turnover by J. Sampson (kicked ball)
5:57.0,Official timeout,,23-34,,
5:40.0,J. Johnson makes 2-pt shot from 18 ft,2,25-34,,
5:25.0,,,25-34,,J. Sampson misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by T. Young,,25-34,,
5:10.0,W. Ellington makes 2-pt shot from 17 ft,2,27-34,,
4:51.0,,,27-34,,J. Sampson misses 3-pt shot from 24 ft
4:51.0,,,27-34,,Offensive rebound by N. Noel
4:51.0,Loose ball foul by W. Ellington (drawn by N. Noel),,27-34,,
4:36.0,,,27-34,,N. Noel misses 2-pt shot from 4 ft (block by B. Lopez)
4:34.0,Defensive rebound by D. Sloan,,27-34,,
4:26.0,,,27-34,,Personal foul by N. Noel (drawn by B. Lopez)
4:26.0,,,27-34,,J. Grant enters the game for J. Sampson
4:18.0,W. Ellington makes 3-pt shot from 23 ft (assist by T. Young),3,30-34,,
3:57.0,,,30-36,2,N. Noel makes 2-pt shot at rim (assist by J. Grant)
3:42.0,Brooklyn full timeout,,30-36,,
3:42.0,,,30-36,,K. Marshall enters the game for T. McConnell
3:42.0,,,30-36,,H. Thompson enters the game for R. Covington
3:32.0,W. Ellington misses 3-pt shot from 25 ft,,30-36,,
3:31.0,,,30-36,,Defensive rebound by J. Grant
3:20.0,,,30-38,2,H. Thompson makes 2-pt shot from 2 ft (assist by N. Noel)
3:01.0,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young),2,32-38,,
2:46.0,,,32-38,,N. Stauskas misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by D. Sloan,,32-38,,
2:33.0,Offensive foul by T. Young,,32-38,,
2:33.0,Turnover by T. Young (offensive foul),,32-38,,
2:14.0,,,32-38,,Shooting foul by B. Lopez (drawn by J. Grant)
2:14.0,,,32-39,1,J. Grant makes free throw 1 of 2
2:14.0,,,32-40,1,J. Grant makes free throw 2 of 2
2:09.0,Technical foul by T. Young,,32-40,,
2:09.0,,,32-41,1,N. Stauskas makes technical free throw
1:56.0,Shooting foul by K. Marshall (drawn by D. Sloan),,32-41,,
1:56.0,D. Sloan makes free throw 1 of 2,1,33-41,,
1:56.0,D. Sloan makes free throw 2 of 2,1,34-41,,
1:42.0,,,34-41,,H. Thompson misses 3-pt shot from 26 ft
1:41.0,Defensive rebound by Team,,34-41,,
1:26.0,D. Sloan makes 2-pt shot from 17 ft,2,36-41,,
1:13.0,,,36-41,,K. Marshall misses 2-pt shot from 7 ft
1:11.0,Defensive rebound by D. Sloan,,36-41,,
1:03.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. Sloan),3,39-41,,
0:53.0,Personal foul by J. Johnson (drawn by J. Grant),,39-41,,
0:40.0,,,39-41,,H. Thompson misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by Team,,39-41,,
0:31.0,J. Johnson misses 3-pt shot from 25 ft,,39-41,,
0:29.0,,,39-41,,Defensive rebound by J. Grant
0:22.0,,,39-41,,Philadelphia full timeout
0:22.0,,,39-41,,J. Okafor enters the game for N. Noel
0:22.0,,,39-41,,R. Covington enters the game for J. Grant
0:22.0,,,39-41,,Violation by Team (jump ball)
0:07.0,,,39-41,,Turnover by K. Marshall (3 sec)
0:07.0,Brooklyn full timeout,,39-41,,
0:07.0,,,39-41,,J. Grant enters the game for R. Covington
0:07.0,,,39-41,,T. McConnell enters the game for K. Marshall
0:07.0,,,39-41,,N. Noel enters the game for J. Okafor
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,B. Lopez makes 2-pt shot from 8 ft (assist by J. Johnson),2,41-41,,
11:25.0,,,41-41,,R. Covington misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by W. Ellington,,41-41,,
11:07.0,Turnover by B. Lopez (lost ball; steal by N. Noel),,41-41,,
10:59.0,,,41-43,2,J. Okafor makes 2-pt shot at rim (assist by N. Noel)
10:37.0,T. Young makes 2-pt shot from 1 ft,2,43-43,,
10:18.0,,,43-45,2,J. Okafor makes 2-pt shot from 4 ft
9:58.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson),2,45-45,,
9:58.0,Shooting foul by N. Noel (drawn by B. Lopez),,45-45,,
9:58.0,B. Lopez makes free throw 1 of 1,1,46-45,,
9:47.0,,,46-47,2,T. McConnell makes 2-pt shot from 1 ft
9:31.0,T. Young makes 2-pt shot from 2 ft (assist by D. Sloan),2,48-47,,
9:16.0,,,48-49,2,N. Noel makes 2-pt shot at rim (assist by N. Stauskas)
9:01.0,B. Lopez makes 2-pt shot from 11 ft (assist by D. Sloan),2,50-49,,
8:48.0,,,50-49,,J. Okafor misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by D. Sloan,,50-49,,
8:39.0,W. Ellington misses 3-pt shot from 23 ft,,50-49,,
8:37.0,,,50-49,,Defensive rebound by J. Okafor
8:25.0,,,50-52,3,T. McConnell makes 3-pt shot from 24 ft
8:10.0,T. Young makes 2-pt shot from 8 ft (assist by D. Sloan),2,52-52,,
7:54.0,,,52-52,,N. Stauskas misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by T. Young,,52-52,,
7:46.0,Turnover by D. Sloan (bad pass; steal by R. Covington),,52-52,,
7:40.0,,,52-52,,N. Stauskas misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by B. Lopez,,52-52,,
7:28.0,T. Young makes 2-pt shot from 6 ft,2,54-52,,
7:22.0,,,54-52,,Philadelphia full timeout
7:22.0,,,54-52,,J. Grant enters the game for J. Okafor
7:22.0,,,54-52,,I. Canaan enters the game for N. Stauskas
7:10.0,,,54-52,,I. Canaan misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by T. Young,,54-52,,
6:56.0,B. Lopez misses 2-pt shot from 3 ft,,54-52,,
6:55.0,,,54-52,,Defensive rebound by R. Covington
6:39.0,,,54-54,2,N. Noel makes 2-pt shot from 7 ft
6:30.0,Turnover by D. Sloan (bad pass; steal by N. Noel),,54-54,,
6:26.0,,,54-56,2,N. Noel makes 2-pt shot at rim
6:08.0,D. Sloan misses 2-pt shot from 3 ft (block by N. Noel),,54-56,,
6:07.0,Offensive rebound by Team,,54-56,,
6:06.0,S. Larkin enters the game for D. Sloan,,54-56,,
6:00.0,B. Lopez misses 2-pt shot from 6 ft,,54-56,,
5:58.0,Offensive rebound by Team,,54-56,,
5:58.0,,,54-56,,J. Okafor enters the game for N. Noel
5:46.0,W. Ellington misses 3-pt shot from 23 ft,,54-56,,
5:44.0,,,54-56,,Defensive rebound by J. Grant
5:38.0,,,54-58,2,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell)
5:23.0,J. Johnson misses 2-pt shot from 8 ft,,54-58,,
5:22.0,,,54-58,,Defensive rebound by J. Okafor
5:12.0,,,54-58,,J. Okafor misses 2-pt shot from 13 ft
5:10.0,,,54-58,,Offensive rebound by R. Covington
5:10.0,,,54-58,,R. Covington misses 2-pt shot from 2 ft
5:08.0,,,54-58,,Offensive rebound by R. Covington
4:47.0,,,54-58,,Turnover by J. Okafor (traveling)
4:47.0,B. Bogdanovic enters the game for J. Johnson,,54-58,,
4:34.0,T. Young misses 2-pt shot from 5 ft,,54-58,,
4:32.0,,,54-58,,Defensive rebound by T. McConnell
4:27.0,,,54-60,2,T. McConnell makes 2-pt shot at rim
4:14.0,W. Ellington misses 2-pt shot from 22 ft,,54-60,,
4:11.0,,,54-60,,Defensive rebound by I. Canaan
3:54.0,,,54-62,2,J. Okafor makes 2-pt shot from 13 ft
3:52.0,Brooklyn full timeout,,54-62,,
3:52.0,M. Brown enters the game for B. Lopez,,54-62,,
3:52.0,T. Robinson enters the game for W. Ellington,,54-62,,
3:52.0,,,54-62,,H. Thompson enters the game for R. Covington
3:31.0,T. Young makes 2-pt shot from 4 ft,2,56-62,,
3:09.0,,,56-62,,J. Okafor misses 2-pt shot from 3 ft (block by T. Robinson)
3:07.0,,,56-62,,Offensive rebound by J. Okafor
3:03.0,,,56-62,,Turnover by Team (shot clock)
2:45.0,M. Brown makes 2-pt shot from 17 ft,2,58-62,,
2:37.0,,,58-64,2,J. Okafor makes 2-pt shot from 2 ft (assist by T. McConnell)
2:20.0,,,58-64,,Personal foul by J. Grant (drawn by M. Brown)
2:20.0,,,58-64,,K. Marshall enters the game for T. McConnell
2:13.0,Turnover by T. Young (bad pass; steal by I. Canaan),,58-64,,
2:07.0,,,58-64,,I. Canaan misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by M. Brown,,58-64,,
2:00.0,S. Larkin misses 2-pt shot from 11 ft,,58-64,,
1:58.0,Offensive rebound by T. Young,,58-64,,
1:57.0,T. Young makes 2-pt shot at rim,2,60-64,,
1:29.0,,,60-64,,Turnover by Team (shot clock)
1:10.0,T. Young makes 2-pt shot from 9 ft,2,62-64,,
0:59.0,,,62-64,,J. Okafor misses 2-pt shot from 3 ft (block by T. Young)
0:57.0,,,62-64,,Offensive rebound by J. Okafor
0:57.0,,,62-66,2,J. Okafor makes 2-pt shot at rim
0:48.0,S. Larkin makes 2-pt shot from 20 ft,2,64-66,,
0:38.0,,,64-66,,K. Marshall misses 2-pt shot from 1 ft
0:36.0,Defensive rebound by T. Robinson,,64-66,,
0:30.0,B. Bogdanovic misses 3-pt shot from 26 ft,,64-66,,
0:28.0,,,64-66,,Defensive rebound by J. Okafor
0:07.0,,,64-69,3,J. Grant makes 3-pt shot from 23 ft (assist by K. Marshall)
0:01.0,S. Larkin misses 2-pt shot from 2 ft,,64-69,,
0:00.0,,,64-69,,Defensive rebound by J. Grant
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,64-69,,Turnover by K. Marshall (3 sec)
11:27.0,,,64-69,,Violation by J. Grant (def goaltending)
11:27.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,66-69,,
11:27.0,Shooting foul by H. Thompson (drawn by B. Bogdanovic),,66-69,,
11:27.0,B. Bogdanovic makes free throw 1 of 1,1,67-69,,
11:10.0,,,67-69,,I. Canaan misses 2-pt shot from 6 ft
11:07.0,,,67-69,,Offensive rebound by J. Okafor
11:07.0,,,67-71,2,J. Okafor makes 2-pt shot at rim
10:53.0,B. Bogdanovic makes 2-pt shot at rim (assist by M. Brown),2,69-71,,
10:40.0,,,69-71,,H. Thompson misses 3-pt shot from 26 ft
10:38.0,,,69-71,,Offensive rebound by J. Grant
10:38.0,,,69-73,2,J. Grant makes 2-pt shot at rim
10:25.0,A. Bargnani misses 2-pt shot from 17 ft,,69-73,,
10:25.0,Offensive rebound by T. Robinson,,69-73,,
10:25.0,Shooting foul by J. Okafor (drawn by T. Robinson),,69-73,,
10:25.0,T. Robinson makes free throw 1 of 2,1,70-73,,
10:25.0,T. Robinson misses free throw 2 of 2,,70-73,,
10:24.0,,,70-73,,Defensive rebound by J. Okafor
10:23.0,Personal foul by T. Robinson (drawn by J. Okafor),,70-73,,
10:08.0,,,70-73,,K. Marshall misses 2-pt shot from 18 ft
10:06.0,Defensive rebound by S. Larkin,,70-73,,
9:55.0,M. Brown makes 3-pt shot from 25 ft (assist by A. Bargnani),3,73-73,,
9:43.0,,,73-73,,I. Canaan misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by A. Bargnani,,73-73,,
9:27.0,B. Bogdanovic misses 2-pt shot from 10 ft (block by H. Thompson),,73-73,,
9:24.0,,,73-73,,Defensive rebound by J. Okafor
9:21.0,Personal foul by A. Bargnani (drawn by J. Grant),,73-73,,
9:21.0,,,73-73,,R. Covington enters the game for J. Grant
9:21.0,T. Young enters the game for A. Bargnani,,73-73,,
9:14.0,,,73-73,,Shooting foul by T. Robinson (drawn by H. Thompson)
9:14.0,,,73-74,1,H. Thompson makes free throw 1 of 2
9:14.0,B. Lopez enters the game for T. Robinson,,73-74,,
9:14.0,,,73-74,,N. Noel enters the game for J. Okafor
9:14.0,,,73-75,1,H. Thompson makes free throw 2 of 2
9:01.0,,,73-75,,Personal foul by K. Marshall (drawn by B. Lopez)
8:52.0,S. Larkin misses 2-pt shot from 2 ft,,73-75,,
8:50.0,Offensive rebound by S. Larkin,,73-75,,
8:44.0,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic),2,75-75,,
8:34.0,,,75-78,3,R. Covington makes 3-pt shot from 24 ft (assist by K. Marshall)
8:20.0,T. Young makes 2-pt shot at rim (assist by M. Brown),2,77-78,,
8:08.0,,,77-78,,Turnover by K. Marshall (bad pass; steal by T. Young)
8:05.0,Shooting foul by R. Covington (drawn by B. Bogdanovic),,77-78,,
8:05.0,Official timeout,,77-78,,
8:05.0,B. Bogdanovic makes free throw 1 of 2,1,78-78,,
8:05.0,B. Bogdanovic makes free throw 2 of 2,1,79-78,,
7:51.0,,,79-81,3,H. Thompson makes 3-pt shot from 24 ft (assist by I. Canaan)
7:32.0,Shooting foul by N. Noel (drawn by T. Young),,79-81,,
7:32.0,T. Young makes free throw 1 of 2,1,80-81,,
7:32.0,,,80-81,,T. McConnell enters the game for K. Marshall
7:32.0,T. Young makes free throw 2 of 2,1,81-81,,
7:21.0,,,81-81,,T. McConnell misses 2-pt shot from 11 ft
7:20.0,Defensive rebound by Team,,81-81,,
7:20.0,,,81-81,,Loose ball foul by N. Noel (drawn by B. Lopez)
7:20.0,B. Lopez makes free throw 1 of 2,1,82-81,,
7:20.0,,,82-81,,J. Okafor enters the game for R. Covington
7:20.0,B. Lopez makes free throw 2 of 2,1,83-81,,
7:07.0,,,83-81,,I. Canaan misses 2-pt shot from 6 ft (block by S. Larkin)
7:05.0,Defensive rebound by B. Lopez,,83-81,,
6:59.0,M. Brown makes 3-pt shot from 26 ft (assist by S. Larkin),3,86-81,,
6:38.0,Personal foul by M. Brown (drawn by N. Noel),,86-81,,
6:28.0,,,86-81,,Shooting foul by B. Bogdanovic (drawn by H. Thompson)
6:28.0,,,86-82,1,H. Thompson makes free throw 1 of 3
6:28.0,,,86-82,,H. Thompson misses free throw 2 of 3
6:28.0,,,86-82,,Offensive rebound by Team
6:28.0,,,86-82,,H. Thompson misses free throw 3 of 3
6:27.0,Defensive rebound by B. Bogdanovic,,86-82,,
6:11.0,T. Young misses 2-pt shot from 6 ft,,86-82,,
6:09.0,Offensive rebound by B. Lopez,,86-82,,
6:08.0,B. Lopez misses 2-pt shot from 3 ft,,86-82,,
6:06.0,,,86-82,,Defensive rebound by J. Okafor
5:59.0,Personal foul by B. Lopez (drawn by J. Okafor),,86-82,,
5:59.0,,,86-82,,Philadelphia full timeout
5:59.0,J. Johnson enters the game for B. Bogdanovic,,86-82,,
5:59.0,,,86-83,1,J. Okafor makes free throw 1 of 2
5:59.0,,,86-84,1,J. Okafor makes free throw 2 of 2
5:40.0,Turnover by T. Young (bad pass),,86-84,,
5:25.0,,,86-86,2,T. McConnell makes 2-pt shot from 12 ft
5:06.0,T. Young makes 2-pt shot from 1 ft,2,88-86,,
4:44.0,,,88-89,3,H. Thompson makes 3-pt shot from 23 ft (assist by T. McConnell)
4:24.0,S. Larkin makes 2-pt shot from 14 ft,2,90-89,,
4:09.0,,,90-89,,I. Canaan misses 3-pt shot from 25 ft
4:06.0,,,90-89,,Offensive rebound by J. Okafor
3:47.0,,,90-89,,J. Okafor misses 2-pt shot from 14 ft
3:45.0,,,90-89,,Offensive rebound by I. Canaan
3:44.0,,,90-89,,I. Canaan misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by T. Young,,90-89,,
3:35.0,Brooklyn full timeout,,90-89,,
3:35.0,D. Sloan enters the game for S. Larkin,,90-89,,
3:35.0,W. Ellington enters the game for M. Brown,,90-89,,
3:35.0,,,90-89,,R. Covington enters the game for I. Canaan
3:28.0,J. Johnson misses 3-pt shot from 24 ft,,90-89,,
3:27.0,,,90-89,,Defensive rebound by J. Okafor
3:07.0,,,90-89,,Turnover by N. Noel (3 sec)
2:55.0,,,90-89,,Personal foul by N. Noel (drawn by B. Lopez)
2:55.0,B. Lopez makes free throw 1 of 2,1,91-89,,
2:55.0,B. Lopez makes free throw 2 of 2,1,92-89,,
2:35.0,,,92-91,2,T. McConnell makes 2-pt shot from 15 ft
2:17.0,,,92-91,,Personal foul by R. Covington (drawn by J. Johnson)
2:17.0,J. Johnson makes free throw 1 of 2,1,93-91,,
2:17.0,J. Johnson makes free throw 2 of 2,1,94-91,,
2:06.0,,,94-93,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
1:46.0,,,94-93,,Personal foul by R. Covington (drawn by J. Johnson)
1:46.0,J. Johnson makes free throw 1 of 2,1,95-93,,
1:46.0,J. Johnson makes free throw 2 of 2,1,96-93,,
1:32.0,Personal foul by D. Sloan (drawn by T. McConnell),,96-93,,
1:32.0,,,96-94,1,T. McConnell makes free throw 1 of 2
1:32.0,,,96-94,,T. McConnell misses free throw 2 of 2
