time,New Orleans,pts.away,score,pts.home,Houston
8:18.0,D. Cunningham makes 3-pt shot from 23 ft (assist by A. Davis),3,8-6,,
8:06.0,Personal foul by E. Gordon (drawn by D. Motiejunas),,8-6,,
7:57.0,,,8-6,,Turnover by D. Howard (traveling)
7:46.0,Turnover by E. Gordon (bad pass; steal by D. Howard),,8-6,,
7:43.0,,,8-8,2,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas)
7:31.0,E. Gordon makes 3-pt shot from 25 ft (assist by N. Cole),3,11-8,,
7:20.0,,,11-10,2,J. Harden makes 2-pt shot from 1 ft
7:10.0,N. Cole makes 2-pt shot from 3 ft,2,13-10,,
6:57.0,,,13-12,2,D. Motiejunas makes 2-pt shot from 6 ft
6:50.0,N. Cole misses 2-pt shot from 3 ft (block by D. Howard),,13-12,,
6:50.0,,,13-12,,Defensive rebound by Team
6:50.0,A. Ajinca enters the game for K. Perkins,,13-12,,
6:34.0,,,13-14,2,D. Howard makes 2-pt shot from 1 ft (assist by P. Beverley)
6:17.0,A. Davis misses 2-pt shot from 15 ft,,13-14,,
6:16.0,,,13-14,,Defensive rebound by J. Harden
6:10.0,,,13-14,,J. Harden misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by N. Cole,,13-14,,
5:59.0,N. Cole misses 2-pt shot from 5 ft,,13-14,,
5:58.0,,,13-14,,Defensive rebound by D. Howard
5:48.0,,,13-14,,Turnover by P. Beverley (bad pass; steal by A. Ajinca)
5:43.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,15-14,,
5:42.0,,,15-14,,Houston full timeout
5:42.0,,,15-14,,J. Smith enters the game for D. Motiejunas
5:42.0,,,15-14,,J. Terry enters the game for P. Beverley
5:26.0,,,15-14,,J. Harden misses 3-pt shot from 23 ft
5:25.0,Defensive rebound by A. Davis,,15-14,,
5:09.0,A. Ajinca makes 2-pt shot from 8 ft (assist by A. Davis),2,17-14,,
4:59.0,,,17-16,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
4:59.0,,,17-16,,Shooting foul by A. Ajinca (drawn by D. Howard)
4:59.0,,,17-16,,D. Howard misses free throw 1 of 1
4:59.0,Defensive rebound by N. Cole,,17-16,,
4:46.0,E. Gordon makes 2-pt shot from 17 ft,2,19-16,,
4:38.0,Personal foul by A. Ajinca (drawn by D. Howard),,19-16,,
4:38.0,K. Perkins enters the game for A. Ajinca,,19-16,,
4:30.0,,,19-16,,Turnover by T. Ariza (bad pass; steal by K. Perkins)
4:26.0,N. Cole makes 2-pt shot from 2 ft (assist by E. Gordon),2,21-16,,
4:13.0,,,21-16,,T. Ariza misses 3-pt shot from 25 ft
4:12.0,,,21-16,,Offensive rebound by D. Howard
4:11.0,,,21-16,,Shooting foul by A. Davis (drawn by D. Howard)
4:11.0,,,21-17,1,D. Howard makes free throw 1 of 2
4:11.0,J. Holiday enters the game for N. Cole,,21-17,,
4:11.0,,,21-17,,D. Howard misses free throw 2 of 2
4:11.0,Defensive rebound by K. Perkins,,21-17,,
3:54.0,D. Cunningham misses 3-pt shot from 24 ft,,21-17,,
3:53.0,,,21-17,,Defensive rebound by J. Smith
3:46.0,,,21-17,,Turnover by J. Smith (bad pass; steal by K. Perkins)
3:41.0,Turnover by J. Holiday (bad pass; steal by J. Harden),,21-17,,
3:37.0,,,21-19,2,J. Harden makes 2-pt shot from 2 ft
3:29.0,J. Holiday makes 2-pt shot from 2 ft,2,23-19,,
3:13.0,Personal foul by J. Holiday (drawn by J. Harden),,23-19,,
3:13.0,,,23-20,1,J. Harden makes free throw 1 of 2
3:13.0,,,23-20,,C. Capela enters the game for D. Howard
3:13.0,,,23-21,1,J. Harden makes free throw 2 of 2
2:56.0,Shooting foul by J. Smith (drawn by D. Cunningham),,23-21,,
2:56.0,New Orleans full timeout,,23-21,,
2:56.0,A. Gee enters the game for K. Perkins,,23-21,,
2:56.0,R. Anderson enters the game for E. Gordon,,23-21,,
2:56.0,,,23-21,,C. Brewer enters the game for T. Ariza
2:56.0,D. Cunningham makes free throw 1 of 2,1,24-21,,
2:56.0,D. Cunningham makes free throw 2 of 2,1,25-21,,
2:40.0,,,25-21,,Turnover by J. Harden (bad pass; steal by A. Davis)
2:36.0,Shooting foul by C. Brewer (drawn by D. Cunningham),,25-21,,
2:36.0,D. Cunningham misses free throw 1 of 2,,25-21,,
2:36.0,Offensive rebound by Team,,25-21,,
2:36.0,D. Cunningham misses free throw 2 of 2,,25-21,,
2:36.0,,,25-21,,Defensive rebound by C. Capela
2:13.0,,,25-21,,J. Terry misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by A. Davis,,25-21,,
2:03.0,R. Anderson misses 2-pt shot from 17 ft,,25-21,,
2:01.0,,,25-21,,Defensive rebound by Team
1:51.0,,,25-23,2,J. Smith makes 2-pt shot from 1 ft (assist by J. Harden)
1:28.0,Turnover by D. Cunningham (bad pass; steal by C. Capela),,25-23,,
1:22.0,,,25-23,,J. Harden misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by A. Davis,,25-23,,
1:12.0,,,25-23,,D. Howard enters the game for C. Capela
1:12.0,,,25-23,,P. Beverley enters the game for J. Harden
1:06.0,R. Anderson makes 3-pt shot from 25 ft,3,28-23,,
0:47.0,,,28-25,2,D. Howard makes 2-pt shot from 2 ft (assist by C. Brewer)
0:39.0,R. Anderson misses 3-pt shot from 26 ft,,28-25,,
0:38.0,Offensive rebound by Team,,28-25,,
0:35.0,R. Anderson misses 3-pt shot from 26 ft,,28-25,,
0:34.0,,,28-25,,Defensive rebound by P. Beverley
0:29.0,,,28-25,,P. Beverley misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by D. Cunningham,,28-25,,
0:16.0,A. Davis misses 2-pt shot from 5 ft (block by J. Smith),,28-25,,
0:13.0,Offensive rebound by R. Anderson,,28-25,,
0:11.0,R. Anderson misses 2-pt shot from 2 ft (block by D. Howard),,28-25,,
0:09.0,,,28-25,,Defensive rebound by P. Beverley
0:05.0,,,28-25,,J. Terry misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by R. Anderson,,28-25,,
0:00.0,J. Holiday misses 3-pt shot from 41 ft,,28-25,,
0:00.0,Offensive rebound by Team,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by R. Anderson (bad pass),,28-25,,
11:43.0,Violation by Team (jump ball),,28-25,,
11:32.0,,,28-25,,Shooting foul by A. Gee (drawn by D. Motiejunas)
11:32.0,,,28-26,1,D. Motiejunas makes free throw 1 of 2
11:32.0,,,28-26,,D. Motiejunas misses free throw 2 of 2
11:32.0,Defensive rebound by K. Perkins,,28-26,,
11:18.0,Turnover by R. Anderson (discontinued dribble),,28-26,,
11:02.0,,,28-26,,J. Terry misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by Team,,28-26,,
10:38.0,N. Cole makes 2-pt shot from 20 ft,2,30-26,,
10:26.0,,,30-26,,D. Motiejunas misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by K. Perkins,,30-26,,
10:18.0,R. Anderson makes 2-pt shot at rim (assist by N. Cole),2,32-26,,
10:09.0,,,32-26,,T. Ariza enters the game for J. Terry
10:02.0,,,32-26,,C. Brewer misses 3-pt shot from 23 ft
10:01.0,,,32-26,,Offensive rebound by D. Motiejunas
9:56.0,,,32-26,,T. Ariza misses 3-pt shot from 24 ft
9:56.0,,,32-26,,Offensive rebound by C. Brewer
9:52.0,,,32-28,2,C. Brewer makes 2-pt shot from 2 ft
9:42.0,R. Anderson makes 2-pt shot from 21 ft (assist by J. Holiday),2,34-28,,
9:29.0,,,34-30,2,D. Motiejunas makes 2-pt shot from 4 ft
9:23.0,New Orleans full timeout,,34-30,,
9:04.0,R. Anderson misses 2-pt shot from 19 ft,,34-30,,
9:03.0,,,34-30,,Defensive rebound by T. Ariza
8:58.0,Personal foul by R. Anderson (drawn by D. Howard),,34-30,,
8:58.0,,,34-30,,Houston full timeout
8:58.0,E. Gordon enters the game for A. Gee,,34-30,,
8:46.0,,,34-30,,D. Howard misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by K. Perkins,,34-30,,
8:30.0,R. Anderson misses 2-pt shot from 15 ft,,34-30,,
8:29.0,,,34-30,,Defensive rebound by P. Beverley
8:19.0,,,34-30,,Turnover by T. Ariza (bad pass; steal by N. Cole)
8:15.0,N. Cole makes 2-pt shot from 1 ft,2,36-30,,
8:06.0,,,36-30,,D. Motiejunas misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by R. Anderson,,36-30,,
7:47.0,N. Cole makes 3-pt shot from 26 ft (assist by J. Holiday),3,39-30,,
7:30.0,,,39-30,,Turnover by T. Ariza (kicked ball)
7:30.0,,,39-30,,C. Capela enters the game for D. Howard
7:30.0,,,39-30,,J. Harden enters the game for C. Brewer
7:21.0,Turnover by E. Gordon (lost ball; steal by T. Ariza),,39-30,,
7:17.0,,,39-32,2,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas)
7:08.0,E. Gordon misses 3-pt shot from 23 ft,,39-32,,
7:07.0,,,39-32,,Defensive rebound by D. Motiejunas
6:57.0,,,39-32,,T. Ariza misses 3-pt shot from 24 ft
6:56.0,,,39-32,,Offensive rebound by J. Harden
6:50.0,,,39-32,,P. Beverley misses 3-pt shot from 22 ft
6:48.0,Defensive rebound by R. Anderson,,39-32,,
6:26.0,R. Anderson misses 2-pt shot from 15 ft,,39-32,,
6:25.0,,,39-32,,Defensive rebound by T. Ariza
6:14.0,,,39-32,,Turnover by J. Harden (bad pass; steal by R. Anderson)
6:09.0,J. Holiday makes 2-pt shot from 2 ft (assist by N. Cole),2,41-32,,
5:56.0,Personal foul by R. Anderson (drawn by J. Harden),,41-32,,
5:56.0,,,41-32,,Houston full timeout
5:56.0,A. Davis enters the game for K. Perkins,,41-32,,
5:56.0,D. Cunningham enters the game for J. Holiday,,41-32,,
5:56.0,A. Ajinca enters the game for R. Anderson,,41-32,,
5:56.0,,,41-32,,J. Smith enters the game for D. Motiejunas
5:52.0,,,41-35,3,J. Harden makes 3-pt shot from 24 ft (assist by J. Smith)
5:40.0,,,41-35,,Shooting block foul by J. Smith (drawn by A. Ajinca)
5:40.0,A. Ajinca misses free throw 1 of 2,,41-35,,
5:40.0,Offensive rebound by Team,,41-35,,
5:40.0,A. Ajinca makes free throw 2 of 2,1,42-35,,
5:22.0,,,42-35,,J. Smith misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by E. Gordon,,42-35,,
5:12.0,Turnover by N. Cole (bad pass; steal by J. Harden),,42-35,,
5:05.0,,,42-37,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
4:46.0,A. Ajinca misses 2-pt shot from 3 ft (block by C. Capela),,42-37,,
4:45.0,,,42-37,,Defensive rebound by J. Harden
4:39.0,,,42-39,2,J. Harden makes 2-pt shot from 1 ft
4:32.0,New Orleans full timeout,,42-39,,
4:32.0,J. Holiday enters the game for A. Ajinca,,42-39,,
4:11.0,,,42-39,,Personal foul by T. Ariza (drawn by A. Davis)
4:11.0,N. Cole misses 2-pt shot from 2 ft,,42-39,,
4:11.0,Offensive rebound by Team,,42-39,,
4:11.0,Turnover by Team (shot clock),,42-39,,
3:51.0,,,42-39,,Turnover by J. Smith (bad pass; steal by A. Davis)
3:46.0,A. Davis makes 2-pt shot at rim (assist by D. Cunningham),2,44-39,,
3:26.0,,,44-41,2,P. Beverley makes 2-pt shot from 12 ft (assist by J. Harden)
3:17.0,,,44-41,,Def 3 sec tech foul by C. Capela
3:17.0,A. Davis misses technical free throw,,44-41,,
3:17.0,Offensive rebound by Team,,44-41,,
3:07.0,E. Gordon misses 3-pt shot from 25 ft,,44-41,,
3:06.0,,,44-41,,Defensive rebound by P. Beverley
2:57.0,,,44-44,3,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden)
2:45.0,J. Holiday misses 2-pt shot from 2 ft (block by C. Capela),,44-44,,
2:43.0,,,44-44,,Defensive rebound by P. Beverley
2:37.0,,,44-44,,J. Smith misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by A. Davis,,44-44,,
2:24.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday),3,47-44,,
2:12.0,,,47-44,,Shooting foul by A. Davis (drawn by J. Harden)
2:12.0,,,47-45,1,J. Harden makes free throw 1 of 2
2:12.0,,,47-45,,D. Howard enters the game for C. Capela
2:12.0,,,47-45,,J. Terry enters the game for J. Smith
2:12.0,,,47-46,1,J. Harden makes free throw 2 of 2
2:01.0,J. Holiday misses 3-pt shot from 26 ft,,47-46,,
2:00.0,,,47-46,,Defensive rebound by D. Howard
1:52.0,,,47-46,,J. Harden misses 2-pt shot from 1 ft
1:51.0,,,47-46,,Offensive rebound by D. Howard
1:44.0,,,47-46,,Turnover by T. Ariza (bad pass; steal by E. Gordon)
1:39.0,Turnover by D. Cunningham (bad pass; steal by P. Beverley),,47-46,,
1:35.0,,,47-48,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
1:35.0,,,47-48,,Shooting foul by J. Holiday (drawn by D. Howard)
1:35.0,K. Perkins enters the game for J. Holiday,,47-48,,
1:35.0,,,47-49,1,D. Howard makes free throw 1 of 1
1:12.0,Turnover by E. Gordon (lost ball; steal by J. Terry),,47-49,,
1:04.0,,,47-51,2,P. Beverley makes 2-pt shot from 2 ft (assist by J. Terry)
0:58.0,N. Cole makes 2-pt shot at rim,2,49-51,,
0:37.0,Personal foul by E. Gordon (drawn by J. Harden),,49-51,,
0:37.0,,,49-52,1,J. Harden makes free throw 1 of 2
0:37.0,,,49-52,,C. Brewer enters the game for J. Terry
0:37.0,,,49-53,1,J. Harden makes free throw 2 of 2
0:32.0,Turnover by E. Gordon (bad pass),,49-53,,
0:13.0,,,49-53,,Turnover by J. Harden (bad pass; steal by K. Perkins)
0:00.0,N. Cole makes 2-pt shot from 13 ft,2,51-53,,
0:00.0,Shooting foul by D. Howard (drawn by N. Cole),,51-53,,
0:00.0,A. Gee enters the game for E. Gordon,,51-53,,
0:00.0,N. Cole makes free throw 1 of 1,1,52-53,,
0:00.0,,,52-53,,C. Brewer misses 3-pt shot from 31 ft
0:00.0,,,52-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,E. Gordon makes 3-pt shot from 24 ft (assist by N. Cole),3,55-53,,
11:20.0,,,55-55,2,J. Harden makes 2-pt shot from 17 ft
11:00.0,D. Cunningham makes 3-pt shot from 23 ft (assist by N. Cole),3,58-55,,
10:45.0,,,58-57,2,J. Harden makes 2-pt shot from 17 ft
10:23.0,E. Gordon makes 3-pt shot from 23 ft (assist by K. Perkins),3,61-57,,
10:09.0,,,61-57,,Turnover by D. Howard (3 sec)
9:53.0,D. Cunningham makes 3-pt shot from 22 ft (assist by N. Cole),3,64-57,,
9:52.0,,,64-57,,Houston full timeout
9:52.0,,,64-57,,C. Capela enters the game for D. Howard
9:52.0,,,64-57,,J. Terry enters the game for P. Beverley
9:30.0,,,64-57,,J. Harden misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by Team,,64-57,,
9:28.0,R. Anderson enters the game for K. Perkins,,64-57,,
9:13.0,Offensive foul by D. Cunningham,,64-57,,
9:13.0,Turnover by D. Cunningham (offensive foul),,64-57,,
9:05.0,,,64-57,,T. Ariza misses 3-pt shot from 23 ft
9:04.0,Defensive rebound by N. Cole,,64-57,,
8:58.0,A. Davis makes 2-pt shot from 1 ft (assist by N. Cole),2,66-57,,
8:44.0,,,66-57,,Turnover by T. Ariza (bad pass)
8:26.0,R. Anderson misses 3-pt shot from 26 ft,,66-57,,
8:25.0,,,66-57,,Defensive rebound by T. Ariza
8:17.0,,,66-57,,J. Harden misses 2-pt shot from 1 ft
8:16.0,,,66-57,,Offensive rebound by J. Harden
8:16.0,,,66-59,2,J. Harden makes 2-pt shot from 1 ft
8:05.0,A. Davis misses 2-pt shot from 10 ft,,66-59,,
8:04.0,,,66-59,,Defensive rebound by C. Capela
7:58.0,,,66-61,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:58.0,New Orleans full timeout,,66-61,,
7:39.0,Turnover by R. Anderson (traveling),,66-61,,
7:30.0,,,66-61,,J. Harden misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by R. Anderson,,66-61,,
7:08.0,A. Davis misses 2-pt shot from 7 ft,,66-61,,
7:07.0,,,66-61,,Defensive rebound by Team
6:49.0,,,66-61,,Shooting foul by A. Davis (drawn by C. Capela)
6:49.0,,,66-61,,C. Capela misses free throw 1 of 2
6:49.0,,,66-61,,Offensive rebound by Team
6:49.0,,,66-61,,C. Capela misses free throw 2 of 2
6:49.0,Defensive rebound by N. Cole,,66-61,,
6:29.0,D. Cunningham misses 2-pt shot from 9 ft,,66-61,,
6:28.0,Offensive rebound by R. Anderson,,66-61,,
6:27.0,R. Anderson misses 2-pt shot from 1 ft,,66-61,,
6:26.0,,,66-61,,Defensive rebound by J. Terry
6:22.0,,,66-61,,Turnover by J. Harden (bad pass)
6:10.0,Turnover by A. Davis (bad pass; steal by J. Harden),,66-61,,
6:09.0,,,66-61,,Shooting foul by E. Gordon (drawn by J. Harden)
6:09.0,,,66-62,1,J. Harden makes free throw 1 of 2
6:09.0,K. Perkins enters the game for R. Anderson,,66-62,,
6:09.0,,,66-62,,D. Howard enters the game for D. Motiejunas
6:09.0,,,66-62,,J. Smith enters the game for J. Terry
6:09.0,,,66-62,,P. Beverley enters the game for C. Capela
6:09.0,J. Holiday enters the game for E. Gordon,,66-62,,
6:09.0,,,66-63,1,J. Harden makes free throw 2 of 2
5:55.0,Turnover by J. Holiday (bad pass; steal by T. Ariza),,66-63,,
5:38.0,,,66-65,2,J. Smith makes 2-pt shot from 5 ft
5:23.0,D. Cunningham misses 3-pt shot from 25 ft,,66-65,,
5:22.0,,,66-65,,Defensive rebound by J. Harden
5:08.0,,,66-65,,J. Harden misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by K. Perkins,,66-65,,
4:52.0,Turnover by K. Perkins (3 sec),,66-65,,
4:30.0,,,66-65,,P. Beverley misses 2-pt shot from 9 ft
4:29.0,,,66-65,,Offensive rebound by Team
4:29.0,Loose ball foul by K. Perkins (drawn by D. Howard),,66-65,,
4:16.0,,,66-67,2,P. Beverley makes 2-pt shot at rim (assist by T. Ariza)
4:02.0,D. Cunningham makes 2-pt shot from 19 ft (assist by J. Holiday),2,68-67,,
3:55.0,,,68-67,,T. Ariza misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by K. Perkins,,68-67,,
3:48.0,J. Holiday misses 3-pt shot from 25 ft,,68-67,,
3:47.0,,,68-67,,Defensive rebound by D. Howard
3:36.0,,,68-67,,Turnover by D. Howard (3 sec)
3:36.0,,,68-67,,C. Brewer enters the game for T. Ariza
3:31.0,,,68-67,,Shooting block foul by P. Beverley (drawn by J. Holiday)
3:31.0,J. Holiday makes free throw 1 of 2,1,69-67,,
3:31.0,J. Holiday makes free throw 2 of 2,1,70-67,,
3:20.0,,,70-67,,Turnover by P. Beverley (bad pass)
3:20.0,T. Douglas enters the game for N. Cole,,70-67,,
3:07.0,T. Douglas misses 3-pt shot from 24 ft,,70-67,,
3:06.0,,,70-67,,Defensive rebound by P. Beverley
2:50.0,,,70-67,,Shooting foul by D. Cunningham (drawn by D. Howard)
2:50.0,,,70-68,1,D. Howard makes free throw 1 of 2
2:50.0,,,70-68,,T. Ariza enters the game for J. Harden
2:50.0,,,70-69,1,D. Howard makes free throw 2 of 2
2:38.0,D. Cunningham misses 3-pt shot from 23 ft,,70-69,,
2:37.0,,,70-69,,Defensive rebound by P. Beverley
2:32.0,,,70-71,2,C. Brewer makes 2-pt shot from 2 ft (assist by P. Beverley)
2:18.0,J. Holiday makes 2-pt shot from 19 ft,2,72-71,,
2:05.0,,,72-73,2,D. Howard makes 2-pt shot from 3 ft (assist by C. Brewer)
1:52.0,Turnover by K. Perkins (bad pass; steal by J. Smith),,72-73,,
1:46.0,,,72-73,,P. Beverley misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by D. Cunningham,,72-73,,
1:31.0,J. Holiday misses 3-pt shot from 26 ft,,72-73,,
1:30.0,,,72-73,,Defensive rebound by T. Ariza
1:09.0,,,72-75,2,C. Brewer makes 2-pt shot from 19 ft
1:00.0,New Orleans full timeout,,72-75,,
1:00.0,A. Ajinca enters the game for D. Cunningham,,72-75,,
1:00.0,R. Anderson enters the game for A. Davis,,72-75,,
1:00.0,A. Gee enters the game for K. Perkins,,72-75,,
0:52.0,A. Ajinca misses 2-pt shot from 2 ft,,72-75,,
0:51.0,,,72-75,,Defensive rebound by D. Howard
0:35.0,,,72-75,,T. Ariza misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by Team,,72-75,,
0:23.0,A. Ajinca misses 2-pt shot from 16 ft,,72-75,,
0:21.0,Offensive rebound by R. Anderson,,72-75,,
0:21.0,R. Anderson misses 2-pt shot at rim,,72-75,,
0:19.0,Offensive rebound by R. Anderson,,72-75,,
0:19.0,R. Anderson makes 2-pt shot from 2 ft,2,74-75,,
0:15.0,,,74-75,,Houston full timeout
0:15.0,,,74-75,,J. Terry enters the game for T. Ariza
0:15.0,,,74-75,,J. Harden enters the game for J. Smith
0:12.0,Personal take foul by A. Ajinca (drawn by D. Howard),,74-75,,
0:12.0,,,74-76,1,D. Howard makes free throw 1 of 2
0:12.0,A. Davis enters the game for A. Gee,,74-76,,
0:12.0,,,74-76,,J. Smith enters the game for J. Terry
0:12.0,,,74-76,,D. Howard misses free throw 2 of 2
0:12.0,Defensive rebound by R. Anderson,,74-76,,
0:01.0,A. Ajinca makes 2-pt shot at rim (assist by J. Holiday),2,76-76,,
0:00.0,,,76-76,,C. Brewer misses 3-pt shot from 54 ft
0:00.0,,,76-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,76-76,,C. Brewer misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by T. Douglas,,76-76,,
11:19.0,J. Holiday makes 3-pt shot from 24 ft,3,79-76,,
11:19.0,Personal foul by T. Douglas (drawn by P. Beverley),,79-76,,
10:58.0,,,79-76,,Turnover by J. Harden (bad pass)
10:45.0,R. Anderson misses 2-pt shot at rim,,79-76,,
10:44.0,Offensive rebound by R. Anderson,,79-76,,
10:44.0,R. Anderson misses 2-pt shot at rim,,79-76,,
10:43.0,,,79-76,,Defensive rebound by J. Smith
10:42.0,Technical foul by R. Anderson,,79-76,,
10:42.0,,,79-76,,J. Harden misses technical free throw
10:42.0,,,79-76,,Offensive rebound by Team
10:27.0,,,79-76,,P. Beverley misses 2-pt shot from 7 ft (block by A. Ajinca)
10:26.0,Defensive rebound by A. Gee,,79-76,,
10:19.0,J. Holiday misses 3-pt shot from 27 ft,,79-76,,
10:18.0,,,79-76,,Defensive rebound by C. Brewer
10:09.0,,,79-76,,J. Harden misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by A. Gee,,79-76,,
10:03.0,T. Douglas misses 3-pt shot from 22 ft,,79-76,,
10:02.0,,,79-76,,Defensive rebound by P. Beverley
10:02.0,Personal foul by T. Douglas (drawn by J. Harden),,79-76,,
10:02.0,K. Perkins enters the game for A. Ajinca,,79-76,,
10:02.0,,,79-76,,C. Capela enters the game for D. Howard
10:02.0,,,79-76,,J. Terry enters the game for P. Beverley
10:02.0,A. Davis enters the game for K. Perkins,,79-76,,
9:51.0,,,79-76,,J. Smith misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by J. Holiday,,79-76,,
9:45.0,Offensive charge foul by A. Gee,,79-76,,
9:45.0,Turnover by A. Gee (offensive foul),,79-76,,
9:24.0,,,79-76,,J. Terry misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by A. Davis,,79-76,,
9:14.0,A. Davis misses 2-pt shot from 17 ft,,79-76,,
9:13.0,,,79-76,,Defensive rebound by C. Capela
9:03.0,,,79-78,2,J. Harden makes 2-pt shot from 2 ft (assist by J. Smith)
8:54.0,A. Davis misses 2-pt shot at rim,,79-78,,
8:53.0,,,79-78,,Defensive rebound by J. Harden
8:46.0,,,79-78,,C. Brewer misses 3-pt shot from 22 ft
8:45.0,Defensive rebound by A. Davis,,79-78,,
8:33.0,Turnover by J. Holiday (bad pass; steal by C. Brewer),,79-78,,
8:21.0,,,79-78,,J. Terry misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by T. Douglas,,79-78,,
8:08.0,,,79-78,,Personal foul by J. Smith (drawn by T. Douglas)
8:08.0,New Orleans full timeout,,79-78,,
8:08.0,,,79-78,,T. Ariza enters the game for J. Smith
8:08.0,,,79-78,,D. Motiejunas enters the game for C. Brewer
8:08.0,E. Gordon enters the game for J. Holiday,,79-78,,
7:53.0,Turnover by T. Douglas (lost ball; steal by J. Harden),,79-78,,
7:49.0,,,79-78,,Offensive charge foul by J. Harden
7:49.0,,,79-78,,Turnover by J. Harden (offensive foul)
7:30.0,N. Cole enters the game for T. Douglas,,79-78,,
7:28.0,E. Gordon misses 2-pt shot from 17 ft (block by J. Harden),,79-78,,
7:28.0,Jump ball: E. Gordon vs. J. Harden (D. Motiejunas gains possession),,,,Jump ball: E. Gordon vs. J. Harden (D. Motiejunas gains possession)
7:28.0,,,79-78,,Defensive rebound by J. Harden
7:16.0,,,79-80,2,J. Harden makes 2-pt shot from 1 ft
7:02.0,R. Anderson misses 3-pt shot from 26 ft,,79-80,,
7:01.0,,,79-80,,Defensive rebound by C. Capela
