time,Charlotte,pts.away,score,pts.home,New Orleans
2:16.0,Defensive rebound by M. Williams,,45-51,,
2:05.0,K. Walker misses 2-pt shot from 1 ft,,45-51,,
2:05.0,,,45-51,,Defensive rebound by A. Gee
1:52.0,,,45-51,,T. Evans misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by P. Hairston,,45-51,,
1:46.0,P. Hairston misses 2-pt shot from 2 ft,,45-51,,
1:45.0,,,45-51,,Defensive rebound by A. Gee
1:21.0,,,45-51,,R. Anderson misses 2-pt shot from 2 ft
1:20.0,Defensive rebound by C. Zeller,,45-51,,
1:10.0,Offensive charge foul by M. Williams,,45-51,,
1:10.0,Turnover by M. Williams (offensive foul),,45-51,,
1:10.0,S. Hawes enters the game for C. Zeller,,45-51,,
1:10.0,F. Kaminsky enters the game for M. Williams,,45-51,,
0:58.0,,,45-53,2,T. Evans makes 2-pt shot from 2 ft
0:47.0,N. Batum makes 2-pt shot from 16 ft (assist by S. Hawes),2,47-53,,
0:33.0,Def 3 sec tech foul by S. Hawes,,47-53,,
0:33.0,,,47-54,1,A. Davis makes technical free throw
0:25.0,,,47-57,3,R. Anderson makes 3-pt shot from 29 ft (assist by T. Evans)
0:01.0,S. Hawes misses 3-pt shot from 22 ft,,47-57,,
0:01.0,Offensive rebound by F. Kaminsky,,47-57,,
0:00.0,F. Kaminsky makes 2-pt shot from 2 ft,2,49-57,,
0:00.0,Shooting foul by T. Evans (drawn by F. Kaminsky),,49-57,,
0:00.0,F. Kaminsky misses free throw 1 of 1,,49-57,,
0:00.0,Offensive rebound by Team,,49-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,N. Batum misses 2-pt shot from 18 ft,,49-57,,
11:51.0,,,49-57,,Defensive rebound by T. Evans
11:37.0,Personal foul by M. Williams (drawn by A. Davis),,49-57,,
11:23.0,,,49-60,3,T. Evans makes 3-pt shot from 30 ft
11:05.0,N. Batum misses 2-pt shot from 8 ft,,49-60,,
11:05.0,,,49-60,,Defensive rebound by A. Davis
10:55.0,,,49-60,,E. Gordon misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by K. Walker,,49-60,,
10:47.0,Turnover by K. Walker (lost ball; steal by T. Evans),,49-60,,
10:42.0,,,49-62,2,T. Evans makes 2-pt shot at rim
10:22.0,N. Batum makes 2-pt shot from 13 ft,2,51-62,,
10:07.0,,,51-62,,T. Evans misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by C. Zeller,,51-62,,
9:58.0,N. Batum misses 3-pt shot from 26 ft,,51-62,,
9:58.0,,,51-62,,Defensive rebound by Team
9:48.0,Personal foul by P. Hairston (drawn by E. Gordon),,51-62,,
9:40.0,,,51-62,,Turnover by D. Cunningham (bad pass)
9:30.0,K. Walker misses 2-pt shot from 9 ft,,51-62,,
9:30.0,,,51-62,,Defensive rebound by Team
9:09.0,,,51-62,,D. Cunningham misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by C. Zeller,,51-62,,
8:52.0,P. Hairston makes 2-pt shot from 5 ft (assist by N. Batum),2,53-62,,
8:36.0,,,53-64,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
8:22.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams),3,56-64,,
8:05.0,,,56-64,,O. Asik misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by N. Batum,,56-64,,
7:58.0,Shooting foul by O. Asik (drawn by M. Williams),,56-64,,
7:58.0,M. Williams makes free throw 1 of 2,1,57-64,,
7:58.0,M. Williams makes free throw 2 of 2,1,58-64,,
7:47.0,,,58-66,2,A. Davis makes 2-pt shot from 16 ft (assist by E. Gordon)
7:32.0,P. Hairston makes 2-pt shot from 2 ft (assist by N. Batum),2,60-66,,
7:21.0,Personal foul by M. Williams (drawn by A. Davis),,60-66,,
7:21.0,F. Kaminsky enters the game for M. Williams,,60-66,,
7:14.0,,,60-68,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
6:52.0,N. Batum makes 3-pt shot from 24 ft,3,63-68,,
6:40.0,,,63-68,,Turnover by O. Asik (lost ball)
6:25.0,P. Hairston misses 3-pt shot from 23 ft,,63-68,,
6:25.0,,,63-68,,Defensive rebound by Team
6:09.0,,,63-68,,T. Evans misses 2-pt shot from 22 ft
6:08.0,,,63-68,,Offensive rebound by O. Asik
5:56.0,,,63-70,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Evans)
5:47.0,,,63-70,,Personal foul by D. Cunningham (drawn by N. Batum)
5:47.0,,,63-70,,New Orleans full timeout
5:47.0,,,63-70,,A. Gee enters the game for D. Cunningham
5:47.0,,,63-70,,R. Anderson enters the game for O. Asik
5:47.0,J. Lin enters the game for F. Kaminsky,,63-70,,
5:38.0,C. Zeller misses 2-pt shot from 3 ft (block by A. Davis),,63-70,,
5:38.0,Offensive rebound by Team,,63-70,,
5:31.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,66-70,,
5:13.0,,,66-70,,Turnover by T. Evans (bad pass; steal by J. Lin)
5:12.0,,,66-70,,Personal take foul by T. Evans (drawn by J. Lin)
5:02.0,N. Batum makes 2-pt shot from 10 ft,2,68-70,,
4:42.0,,,68-70,,E. Gordon misses 2-pt shot from 13 ft
4:42.0,Defensive rebound by C. Zeller,,68-70,,
4:31.0,N. Batum misses 3-pt shot from 26 ft,,68-70,,
4:30.0,,,68-70,,Defensive rebound by E. Gordon
4:27.0,Personal foul by P. Hairston (drawn by R. Anderson),,68-70,,
4:27.0,,,68-70,,J. Holiday enters the game for T. Evans
4:13.0,,,68-70,,J. Holiday misses 2-pt shot from 6 ft
4:11.0,Defensive rebound by K. Walker,,68-70,,
4:06.0,Shooting foul by A. Davis (drawn by K. Walker),,68-70,,
4:06.0,K. Walker makes free throw 1 of 2,1,69-70,,
4:06.0,K. Walker makes free throw 2 of 2,1,70-70,,
3:50.0,,,70-70,,A. Davis misses 2-pt shot from 18 ft
3:50.0,Defensive rebound by P. Hairston,,70-70,,
3:31.0,C. Zeller misses 2-pt shot from 1 ft (block by A. Gee),,70-70,,
3:31.0,Offensive rebound by Team,,70-70,,
3:28.0,N. Batum makes 2-pt shot from 2 ft,2,72-70,,
3:28.0,Shooting foul by A. Davis (drawn by N. Batum),,72-70,,
3:28.0,N. Batum makes free throw 1 of 1,1,73-70,,
3:14.0,,,73-70,,Shooting foul by J. Lin (drawn by A. Gee)
3:14.0,,,73-71,1,A. Gee makes free throw 1 of 2
3:14.0,,,73-72,1,A. Gee makes free throw 2 of 2
3:00.0,J. Lin misses 3-pt shot from 25 ft,,73-72,,
2:59.0,,,73-72,,Defensive rebound by A. Gee
2:52.0,,,73-72,,J. Holiday misses 3-pt shot from 25 ft
2:51.0,,,73-72,,Offensive rebound by R. Anderson
2:47.0,,,73-74,2,R. Anderson makes 2-pt shot from 1 ft
2:28.0,K. Walker makes 2-pt shot from 2 ft,2,75-74,,
2:18.0,Personal foul by K. Walker (drawn by A. Davis),,75-74,,
2:18.0,Charlotte full timeout,,75-74,,
2:18.0,T. Daniels enters the game for P. Hairston,,75-74,,
2:18.0,,,75-74,,N. Cole enters the game for E. Gordon
2:18.0,,,75-75,1,A. Davis makes free throw 1 of 2
2:18.0,,,75-75,,A. Davis misses free throw 2 of 2
2:17.0,Defensive rebound by C. Zeller,,75-75,,
2:02.0,K. Walker misses 2-pt shot from 10 ft (block by N. Cole),,75-75,,
2:01.0,Offensive rebound by C. Zeller,,75-75,,
2:01.0,C. Zeller makes 2-pt shot from 2 ft,2,77-75,,
1:43.0,,,77-77,2,A. Davis makes 2-pt shot from 2 ft (assist by N. Cole)
1:27.0,J. Lin makes 2-pt shot from 7 ft,2,79-77,,
1:10.0,,,79-77,,A. Davis misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by T. Daniels,,79-77,,
1:00.0,N. Batum makes 2-pt shot at rim,2,81-77,,
0:43.0,,,81-79,2,R. Anderson makes 2-pt shot at rim (assist by A. Davis)
0:32.0,Turnover by N. Batum (lost ball; steal by A. Davis),,81-79,,
0:26.0,Personal foul by N. Batum (drawn by R. Anderson),,81-79,,
0:26.0,,,81-80,1,R. Anderson makes free throw 1 of 2
0:26.0,,,81-80,,D. Cunningham enters the game for A. Davis
0:26.0,,,81-81,1,R. Anderson makes free throw 2 of 2
0:06.0,K. Walker misses 2-pt shot from 2 ft (block by D. Cunningham),,81-81,,
0:06.0,,,81-81,,Defensive rebound by R. Anderson
0:00.0,,,81-84,3,R. Anderson makes 3-pt shot from 26 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-86,2,A. Gee makes 2-pt shot at rim (assist by J. Holiday)
11:31.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by J. Lin),2,83-86,,
11:11.0,,,83-86,,R. Anderson misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by J. Lin,,83-86,,
10:53.0,J. Lin misses 3-pt shot from 24 ft,,83-86,,
10:52.0,,,83-86,,Defensive rebound by R. Anderson
10:42.0,,,83-86,,J. Holiday misses 2-pt shot from 2 ft
10:42.0,,,83-86,,Offensive rebound by A. Gee
10:42.0,,,83-86,,A. Gee misses 2-pt shot from 1 ft
10:42.0,,,83-86,,Offensive rebound by A. Gee
10:42.0,Loose ball foul by F. Kaminsky (drawn by A. Gee),,83-86,,
10:31.0,,,83-88,2,R. Anderson makes 2-pt shot from 8 ft
10:05.0,P. Hairston misses 3-pt shot from 24 ft,,83-88,,
10:04.0,,,83-88,,Defensive rebound by J. Holiday
9:49.0,,,83-88,,R. Anderson misses 2-pt shot from 16 ft
9:48.0,,,83-88,,Offensive rebound by A. Gee
9:38.0,Personal foul by T. Daniels (drawn by J. Holiday),,83-88,,
9:29.0,,,83-88,,J. Holiday misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by T. Daniels,,83-88,,
9:08.0,T. Daniels makes 3-pt shot from 23 ft (assist by K. Walker),3,86-88,,
8:42.0,,,86-88,,N. Cole misses 2-pt shot from 21 ft
8:40.0,,,86-88,,Offensive rebound by J. Holiday
8:34.0,,,86-90,2,A. Gee makes 2-pt shot at rim (assist by J. Holiday)
8:34.0,Charlotte full timeout,,86-90,,
8:34.0,N. Batum enters the game for J. Lin,,86-90,,
8:19.0,Turnover by T. Daniels (lost ball; steal by D. Cunningham),,86-90,,
8:09.0,,,86-92,2,J. Holiday makes 2-pt shot from 1 ft (assist by N. Cole)
7:57.0,K. Walker misses 2-pt shot from 1 ft,,86-92,,
7:56.0,,,86-92,,Defensive rebound by A. Gee
7:48.0,,,86-95,3,J. Holiday makes 3-pt shot from 25 ft
7:47.0,Charlotte full timeout,,86-95,,
7:47.0,J. Lin enters the game for P. Hairston,,86-95,,
7:47.0,M. Williams enters the game for T. Daniels,,86-95,,
7:31.0,F. Kaminsky makes 2-pt shot from 7 ft,2,88-95,,
7:31.0,Shooting foul by A. Gee (drawn by F. Kaminsky),,88-95,,
7:31.0,F. Kaminsky makes free throw 1 of 1,1,89-95,,
7:16.0,,,89-95,,R. Anderson misses 2-pt shot from 14 ft
7:15.0,Defensive rebound by J. Lin,,89-95,,
7:02.0,K. Walker makes 2-pt shot from 20 ft (assist by M. Williams),2,91-95,,
6:42.0,,,91-95,,J. Holiday misses 2-pt shot at rim
6:42.0,Defensive rebound by F. Kaminsky,,91-95,,
6:19.0,F. Kaminsky makes 2-pt shot from 6 ft,2,93-95,,
6:11.0,,,93-95,,Offensive foul by J. Holiday
6:11.0,,,93-95,,Turnover by J. Holiday (offensive foul)
6:11.0,,,93-95,,A. Davis enters the game for R. Anderson
6:11.0,,,93-95,,T. Evans enters the game for D. Cunningham
6:11.0,,,93-95,,E. Gordon enters the game for N. Cole
5:58.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum),3,96-95,,
5:44.0,,,96-97,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Holiday)
5:19.0,K. Walker misses 3-pt shot from 25 ft,,96-97,,
5:18.0,,,96-97,,Defensive rebound by A. Davis
5:12.0,,,96-97,,Turnover by T. Evans (step out of bounds)
5:12.0,Official timeout,,96-97,,
4:52.0,N. Batum misses 3-pt shot from 26 ft,,96-97,,
4:50.0,,,96-97,,Defensive rebound by A. Gee
4:34.0,,,96-97,,E. Gordon misses 3-pt shot from 22 ft
4:33.0,Defensive rebound by F. Kaminsky,,96-97,,
4:22.0,K. Walker misses 2-pt shot from 2 ft (block by A. Davis),,96-97,,
4:22.0,Offensive rebound by Team,,96-97,,
4:22.0,,,96-97,,Inbound foul by T. Evans
4:22.0,M. Williams makes free throw 1 of 2,1,97-97,,
4:22.0,M. Williams misses free throw 2 of 2,,97-97,,
4:21.0,,,97-97,,Defensive rebound by J. Holiday
4:05.0,,,97-99,2,J. Holiday makes 2-pt shot from 6 ft
3:41.0,N. Batum makes 2-pt shot from 15 ft,2,99-99,,
3:23.0,,,99-101,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
2:57.0,J. Lin misses 3-pt shot from 26 ft,,99-101,,
2:56.0,Offensive rebound by Team,,99-101,,
2:56.0,,,99-101,,New Orleans full timeout
2:39.0,Shooting foul by A. Gee (drawn by F. Kaminsky),,99-101,,
2:39.0,F. Kaminsky misses free throw 1 of 2,,99-101,,
2:39.0,Offensive rebound by Team,,99-101,,
2:39.0,F. Kaminsky makes free throw 2 of 2,1,100-101,,
2:20.0,,,100-101,,Turnover by E. Gordon (bad pass)
2:04.0,N. Batum makes 2-pt shot from 13 ft,2,102-101,,
1:48.0,,,102-101,,A. Gee misses 3-pt shot from 22 ft
1:47.0,,,102-101,,Offensive rebound by A. Davis
1:36.0,,,102-103,2,A. Gee makes 2-pt shot from 2 ft (assist by A. Davis)
1:18.0,N. Batum misses 3-pt shot from 26 ft,,102-103,,
1:18.0,,,102-103,,Defensive rebound by J. Holiday
0:58.0,,,102-105,2,J. Holiday makes 2-pt shot from 9 ft
0:58.0,Charlotte full timeout,,102-105,,
0:58.0,C. Zeller enters the game for F. Kaminsky,,102-105,,
0:46.0,K. Walker makes 2-pt shot from 7 ft,2,104-105,,
0:46.0,,,104-105,,New Orleans full timeout
0:46.0,,,104-105,,R. Anderson enters the game for A. Gee
0:37.0,,,104-105,,Shooting foul by C. Zeller (drawn by A. Davis)
0:37.0,,,104-106,1,A. Davis makes free throw 1 of 2
0:37.0,,,104-106,,A. Gee enters the game for R. Anderson
0:37.0,,,104-107,1,A. Davis makes free throw 2 of 2
0:19.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,107-107,,
0:19.0,,,107-107,,New Orleans full timeout
0:19.0,,,107-107,,R. Anderson enters the game for A. Gee
0:02.0,,,107-109,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
0:02.0,Charlotte full timeout,,107-109,,
0:02.0,,,107-109,,A. Gee enters the game for R. Anderson
0:02.0,F. Kaminsky enters the game for C. Zeller,,107-109,,
0:02.0,,,107-109,,New Orleans full timeout
0:01.0,,,107-109,,Personal foul by J. Holiday (drawn by J. Lin)
0:00.0,N. Batum misses 3-pt shot from 23 ft,,107-109,,
0:00.0,Offensive rebound by Team,,107-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
