time,Sacramento,pts.away,score,pts.home,Boston
9:53.0,,,60-78,,Turnover by J. Sullinger (traveling)
9:42.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,62-78,,
9:26.0,,,62-80,2,J. Sullinger makes 2-pt shot from 10 ft (assist by I. Thomas)
9:11.0,J. Anderson makes 2-pt shot from 1 ft (assist by R. Rondo),2,64-80,,
8:58.0,,,64-82,2,A. Johnson makes 2-pt shot from 2 ft (assist by J. Crowder)
8:40.0,Turnover by R. Rondo (bad pass),,64-82,,
8:23.0,,,64-82,,A. Bradley misses 2-pt shot from 18 ft
8:23.0,Defensive rebound by J. Anderson,,64-82,,
8:10.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,66-82,,
7:54.0,,,66-84,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
7:36.0,D. Cousins misses 2-pt shot from 19 ft,,66-84,,
7:36.0,,,66-84,,Defensive rebound by J. Sullinger
7:31.0,,,66-84,,A. Bradley misses 2-pt shot from 3 ft (block by J. Anderson)
7:30.0,,,66-84,,Offensive rebound by I. Thomas
7:27.0,,,66-87,3,I. Thomas makes 3-pt shot from 25 ft
7:25.0,Sacramento full timeout,,66-87,,
7:11.0,D. Cousins misses 2-pt shot at rim (block by I. Thomas),,66-87,,
7:10.0,Offensive rebound by W. Cauley-Stein,,66-87,,
7:09.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,68-87,,
7:09.0,Shooting foul by A. Johnson (drawn by W. Cauley-Stein),,68-87,,
7:09.0,W. Cauley-Stein makes free throw 1 of 1,1,69-87,,
6:48.0,,,69-87,,A. Bradley misses 2-pt shot from 19 ft
6:47.0,Defensive rebound by Team,,69-87,,
6:31.0,Turnover by W. Cauley-Stein (bad pass; steal by I. Thomas),,69-87,,
6:25.0,,,69-87,,I. Thomas misses 2-pt shot from 4 ft
6:25.0,Defensive rebound by M. Belinelli,,69-87,,
6:25.0,K. Koufos enters the game for J. Anderson,,69-87,,
6:25.0,D. Collison enters the game for W. Cauley-Stein,,69-87,,
6:07.0,D. Cousins makes 2-pt shot from 7 ft,2,71-87,,
5:49.0,,,71-87,,Turnover by J. Sullinger (bad pass; steal by R. Rondo)
5:49.0,,,71-87,,Personal foul by I. Thomas (drawn by D. Collison)
5:26.0,M. Belinelli misses 2-pt shot from 8 ft,,71-87,,
5:25.0,Offensive rebound by Team,,71-87,,
5:25.0,,,71-87,,K. Olynyk enters the game for A. Johnson
5:18.0,M. Belinelli makes 2-pt shot from 20 ft (assist by D. Cousins),2,73-87,,
5:02.0,,,73-87,,I. Thomas misses 2-pt shot from 2 ft (block by K. Koufos)
5:01.0,,,73-87,,Offensive rebound by J. Sullinger
5:00.0,,,73-89,2,J. Sullinger makes 2-pt shot from 1 ft
4:49.0,D. Collison makes 2-pt shot from 14 ft (assist by R. Rondo),2,75-89,,
4:32.0,,,75-89,,E. Turner enters the game for J. Crowder
4:32.0,,,75-89,,M. Smart enters the game for A. Bradley
4:26.0,,,75-89,,Turnover by M. Smart (bad pass; steal by D. Collison)
4:20.0,M. Belinelli misses 3-pt shot from 23 ft,,75-89,,
4:18.0,Offensive rebound by D. Collison,,75-89,,
4:13.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison),3,78-89,,
4:13.0,,,78-89,,Boston full timeout
4:13.0,O. Casspi enters the game for M. Belinelli,,78-89,,
3:57.0,,,78-89,,I. Thomas misses 2-pt shot from 9 ft
3:57.0,Defensive rebound by O. Casspi,,78-89,,
3:49.0,Turnover by R. Rondo (bad pass; steal by I. Thomas),,78-89,,
3:37.0,,,78-89,,M. Smart misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by R. Rondo,,78-89,,
3:29.0,R. Rondo misses 2-pt shot from 1 ft,,78-89,,
3:28.0,,,78-89,,Defensive rebound by M. Smart
3:26.0,Personal foul by O. Casspi (drawn by I. Thomas),,78-89,,
3:26.0,,,78-89,,T. Zeller enters the game for J. Sullinger
3:12.0,,,78-89,,Turnover by T. Zeller (offensive goaltending)
3:03.0,,,78-89,,Personal foul by I. Thomas (drawn by D. Cousins)
3:03.0,,,78-89,,J. Jerebko enters the game for I. Thomas
2:57.0,D. Cousins misses 2-pt shot from 18 ft,,78-89,,
2:56.0,,,78-89,,Defensive rebound by K. Olynyk
2:48.0,,,78-89,,K. Olynyk misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by R. Rondo,,78-89,,
2:42.0,D. Collison makes 3-pt shot from 25 ft (assist by R. Rondo),3,81-89,,
2:24.0,,,81-89,,Turnover by J. Jerebko (bad pass; steal by D. Collison)
2:19.0,O. Casspi misses 2-pt shot from 2 ft (block by J. Jerebko),,81-89,,
2:18.0,Offensive rebound by Team,,81-89,,
2:14.0,Shooting foul by T. Zeller (drawn by D. Cousins),,81-89,,
2:14.0,D. Cousins misses free throw 1 of 2,,81-89,,
2:14.0,Offensive rebound by Team,,81-89,,
2:14.0,D. Cousins misses free throw 2 of 2,,81-89,,
2:14.0,Offensive rebound by K. Koufos,,81-89,,
2:11.0,Sacramento full timeout,,81-89,,
1:56.0,D. Cousins misses 2-pt shot from 4 ft,,81-89,,
1:55.0,,,81-89,,Defensive rebound by J. Jerebko
1:37.0,,,81-91,2,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner)
1:26.0,,,81-91,,Personal foul by M. Smart (drawn by R. Rondo)
1:26.0,W. Cauley-Stein enters the game for D. Cousins,,81-91,,
1:26.0,R. Rondo makes free throw 1 of 2,1,82-91,,
1:26.0,R. Rondo makes free throw 2 of 2,1,83-91,,
1:16.0,,,83-91,,Turnover by J. Jerebko (traveling)
1:02.0,K. Koufos makes 2-pt shot from 7 ft (assist by O. Casspi),2,85-91,,
0:45.0,Personal foul by W. Cauley-Stein (drawn by T. Zeller),,85-91,,
0:40.0,,,85-93,2,T. Zeller makes 2-pt shot from 18 ft (assist by E. Turner)
0:29.0,K. Koufos misses 2-pt shot from 8 ft,,85-93,,
0:28.0,,,85-93,,Defensive rebound by K. Olynyk
0:06.0,,,85-95,2,T. Zeller makes 2-pt shot from 17 ft (assist by E. Turner)
0:00.0,R. Rondo makes 2-pt shot from 5 ft,2,87-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,87-95,,Personal foul by J. Jerebko (drawn by O. Casspi)
11:37.0,O. Casspi misses 2-pt shot from 2 ft (block by T. Zeller),,87-95,,
11:36.0,,,87-95,,Defensive rebound by T. Zeller
11:35.0,,,87-95,,Turnover by T. Zeller (bad pass; steal by K. Koufos)
11:31.0,D. Collison misses 3-pt shot from 25 ft,,87-95,,
11:30.0,,,87-95,,Defensive rebound by J. Jerebko
11:15.0,,,87-97,2,M. Smart makes 2-pt shot from 3 ft
11:12.0,Turnover by O. Casspi (bad pass),,87-97,,
11:03.0,,,87-97,,E. Turner misses 2-pt shot from 16 ft
11:02.0,Defensive rebound by O. Casspi,,87-97,,
10:45.0,M. Belinelli makes 2-pt shot from 20 ft,2,89-97,,
10:36.0,,,89-97,,Turnover by E. Turner (bad pass; steal by W. Cauley-Stein)
10:31.0,O. Casspi misses 2-pt shot from 1 ft,,89-97,,
10:30.0,,,89-97,,Defensive rebound by M. Smart
10:22.0,Personal foul by M. Belinelli (drawn by K. Olynyk),,89-97,,
10:12.0,,,89-97,,M. Smart misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by O. Casspi,,89-97,,
9:59.0,,,89-97,,Personal foul by M. Smart (drawn by D. Collison)
9:59.0,,,89-97,,A. Bradley enters the game for K. Olynyk
9:46.0,D. Collison makes 2-pt shot from 7 ft,2,91-97,,
9:29.0,,,91-97,,Turnover by E. Turner (bad pass; steal by K. Koufos)
9:10.0,M. Belinelli misses 3-pt shot from 24 ft,,91-97,,
9:09.0,,,91-97,,Defensive rebound by T. Zeller
8:58.0,,,91-97,,T. Zeller misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by O. Casspi,,91-97,,
8:50.0,D. Collison misses 2-pt shot at rim (block by T. Zeller),,91-97,,
8:50.0,,,91-97,,Defensive rebound by E. Turner
8:50.0,Personal foul by K. Koufos (drawn by E. Turner),,91-97,,
8:50.0,Official timeout,,91-97,,
8:50.0,D. Cousins enters the game for K. Koufos,,91-97,,
8:50.0,,,91-97,,J. Crowder enters the game for J. Jerebko
8:28.0,,,91-100,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
8:08.0,O. Casspi makes 2-pt shot from 1 ft,2,93-100,,
7:51.0,,,93-100,,Shooting foul by D. Cousins (drawn by T. Zeller)
7:51.0,,,93-101,1,T. Zeller makes free throw 1 of 2
7:51.0,R. Rondo enters the game for D. Collison,,93-101,,
7:51.0,,,93-102,1,T. Zeller makes free throw 2 of 2
7:40.0,,,93-102,,Personal foul by E. Turner (drawn by D. Cousins)
7:34.0,M. Belinelli misses 2-pt shot from 16 ft,,93-102,,
7:33.0,Offensive rebound by W. Cauley-Stein,,93-102,,
7:31.0,O. Casspi misses 3-pt shot from 28 ft,,93-102,,
7:28.0,,,93-102,,Defensive rebound by T. Zeller
7:26.0,,,93-102,,Turnover by T. Zeller (bad pass; steal by M. Belinelli)
7:23.0,Turnover by R. Rondo (bad pass),,93-102,,
7:08.0,,,93-104,2,A. Bradley makes 2-pt shot from 5 ft
6:56.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,95-104,,
6:33.0,,,95-107,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
6:19.0,D. Cousins makes 2-pt shot from 1 ft (assist by O. Casspi),2,97-107,,
6:03.0,,,97-107,,M. Smart misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by W. Cauley-Stein,,97-107,,
5:49.0,M. Belinelli misses 3-pt shot from 25 ft,,97-107,,
5:48.0,,,97-107,,Defensive rebound by J. Crowder
5:45.0,,,97-109,2,E. Turner makes 2-pt shot at rim (assist by J. Crowder)
5:45.0,,,97-109,,Shooting foul by R. Rondo (drawn by E. Turner)
5:45.0,,,97-109,,Boston full timeout
5:45.0,,,97-109,,I. Thomas enters the game for M. Smart
5:45.0,D. Collison enters the game for O. Casspi,,97-109,,
5:45.0,,,97-110,1,E. Turner makes free throw 1 of 1
