time,Toronto,pts.away,score,pts.home,Atlanta
1:00.0,,,84-88,,Loose ball foul by T. Sefolosha
1:00.0,J. Valanciunas makes free throw 1 of 2,1,85-88,,
1:00.0,C. Joseph enters the game for N. Powell,,85-88,,
1:00.0,J. Valanciunas makes free throw 2 of 2,1,86-88,,
0:48.0,,,86-90,2,J. Teague makes 2-pt shot at rim
0:48.0,,,86-90,,Shooting foul by C. Joseph (drawn by J. Teague)
0:48.0,,,86-91,1,J. Teague makes free throw 1 of 1
0:48.0,Toronto full timeout,,86-91,,
0:48.0,N. Powell enters the game for C. Joseph,,86-91,,
0:48.0,Toronto full timeout,,86-91,,
0:39.0,D. DeRozan misses 2-pt shot at rim,,86-91,,
0:38.0,Offensive rebound by Team,,86-91,,
0:38.0,Jump ball: T. Sefolosha vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Sefolosha vs. J. Valanciunas (K. Lowry gains possession)
0:29.0,,,86-91,,Personal foul by A. Horford
0:29.0,J. Valanciunas misses free throw 1 of 2,,86-91,,
0:29.0,Offensive rebound by Team,,86-91,,
0:29.0,J. Valanciunas makes free throw 2 of 2,1,87-91,,
0:21.0,Personal take foul by N. Powell,,87-91,,
0:21.0,,,87-92,1,P. Millsap makes free throw 1 of 2
0:21.0,T. Ross enters the game for N. Powell,,87-92,,
0:21.0,,,87-93,1,P. Millsap makes free throw 2 of 2
0:14.0,K. Lowry misses 3-pt shot from 28 ft,,87-93,,
0:10.0,,,87-93,,Defensive rebound by P. Millsap
0:06.0,Personal take foul by D. DeRozan,,87-93,,
0:06.0,,,87-94,1,J. Teague makes free throw 1 of 2
0:06.0,,,87-95,1,J. Teague makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
