time,Detroit,pts.away,score,pts.home,Oklahoma City
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,A. Drummond misses 2-pt shot from 3 ft,,55-48,,
11:37.0,,,55-48,,Defensive rebound by S. Ibaka
11:32.0,,,55-48,,R. Westbrook misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by A. Drummond,,55-48,,
11:31.0,,,55-48,,Personal foul by R. Westbrook (drawn by A. Drummond)
11:20.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,57-48,,
11:00.0,,,57-48,,R. Westbrook misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by R. Jackson,,57-48,,
10:45.0,R. Jackson misses 3-pt shot from 24 ft,,57-48,,
10:45.0,,,57-48,,Defensive rebound by Team
10:24.0,,,57-48,,K. Durant misses 3-pt shot from 25 ft
10:23.0,,,57-48,,Offensive rebound by S. Adams
10:14.0,,,57-50,2,S. Adams makes 2-pt shot from 4 ft
9:55.0,R. Jackson misses 2-pt shot from 16 ft,,57-50,,
9:55.0,,,57-50,,Defensive rebound by K. Durant
9:50.0,,,57-50,,R. Westbrook misses 2-pt shot from 2 ft
9:49.0,Defensive rebound by A. Drummond,,57-50,,
9:43.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by K. Durant),,57-50,,
9:42.0,Offensive rebound by E. Ilyasova,,57-50,,
9:35.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,57-50,,
9:35.0,,,57-50,,Defensive rebound by S. Adams
9:21.0,,,57-50,,A. Roberson misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by E. Ilyasova,,57-50,,
9:10.0,E. Ilyasova misses 2-pt shot from 1 ft,,57-50,,
9:08.0,,,57-50,,Defensive rebound by S. Adams
9:05.0,,,57-50,,Turnover by R. Westbrook (lost ball; steal by R. Jackson)
8:59.0,E. Ilyasova misses 3-pt shot from 24 ft,,57-50,,
8:58.0,,,57-50,,Defensive rebound by S. Adams
8:57.0,Personal foul by A. Drummond (drawn by S. Adams),,57-50,,
8:35.0,,,57-52,2,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Durant)
8:18.0,Turnover by A. Drummond (offensive goaltending),,57-52,,
8:09.0,,,57-52,,Turnover by R. Westbrook (step out of bounds)
7:48.0,K. Caldwell-Pope misses 2-pt shot from 8 ft,,57-52,,
7:47.0,,,57-52,,Defensive rebound by R. Westbrook
7:41.0,,,57-54,2,R. Westbrook makes 2-pt shot from 2 ft
7:15.0,R. Jackson misses 2-pt shot from 6 ft,,57-54,,
7:14.0,Offensive rebound by A. Drummond,,57-54,,
7:14.0,A. Drummond makes 2-pt shot from 1 ft,2,59-54,,
7:01.0,,,59-57,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:47.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,62-57,,
6:30.0,,,62-60,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:03.0,R. Jackson misses 3-pt shot from 25 ft,,62-60,,
6:03.0,,,62-60,,Defensive rebound by K. Durant
5:55.0,,,62-60,,K. Durant misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by K. Caldwell-Pope,,62-60,,
5:43.0,M. Morris makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,65-60,,
5:30.0,Personal foul by K. Caldwell-Pope (drawn by R. Westbrook),,65-60,,
5:30.0,,,65-60,,Oklahoma City full timeout
5:30.0,Technical foul by K. Caldwell-Pope (drawn by R. Westbrook),,65-60,,
5:30.0,,,65-60,,D. Waiters enters the game for S. Ibaka
5:30.0,,,65-61,1,R. Westbrook makes technical free throw
5:17.0,,,65-61,,D. Waiters misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by M. Morris,,65-61,,
5:04.0,A. Drummond misses 2-pt shot from 4 ft,,65-61,,
5:04.0,,,65-61,,Defensive rebound by A. Roberson
4:59.0,,,65-61,,Shooting foul by A. Drummond (drawn by R. Westbrook)
4:59.0,,,65-62,1,R. Westbrook makes free throw 1 of 2
4:59.0,,,65-62,,R. Westbrook misses free throw 2 of 2
4:58.0,Defensive rebound by R. Jackson,,65-62,,
4:41.0,M. Morris misses 3-pt shot from 25 ft,,65-62,,
4:40.0,,,65-62,,Defensive rebound by K. Durant
4:30.0,,,65-64,2,K. Durant makes 2-pt shot from 4 ft
4:14.0,Turnover by A. Drummond (bad pass; steal by D. Waiters),,65-64,,
4:05.0,,,65-66,2,D. Waiters makes 2-pt shot from 2 ft
3:44.0,M. Morris misses 2-pt shot from 2 ft,,65-66,,
3:44.0,,,65-66,,Defensive rebound by S. Adams
3:40.0,,,65-66,,Offensive foul by R. Westbrook
3:40.0,,,65-66,,Turnover by R. Westbrook (offensive foul)
3:40.0,A. Baynes enters the game for A. Drummond,,65-66,,
3:40.0,S. Johnson enters the game for M. Morris,,65-66,,
3:40.0,,,65-66,,D. Augustin enters the game for R. Westbrook
3:32.0,Shooting foul by S. Adams (drawn by R. Jackson),,65-66,,
3:32.0,R. Jackson makes free throw 1 of 2,1,66-66,,
3:32.0,,,66-66,,E. Kanter enters the game for S. Adams
3:32.0,R. Jackson makes free throw 2 of 2,1,67-66,,
3:16.0,,,67-68,2,K. Durant makes 2-pt shot from 13 ft (assist by D. Augustin)
2:58.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,67-68,,
2:54.0,,,67-68,,Defensive rebound by A. Roberson
2:45.0,,,67-68,,K. Durant misses 3-pt shot from 23 ft
2:45.0,Defensive rebound by A. Baynes,,67-68,,
2:37.0,,,67-68,,Shooting block foul by E. Kanter (drawn by R. Jackson)
2:37.0,Detroit full timeout,,67-68,,
2:37.0,A. Tolliver enters the game for E. Ilyasova,,67-68,,
2:37.0,R. Jackson makes free throw 1 of 2,1,68-68,,
2:37.0,R. Jackson makes free throw 2 of 2,1,69-68,,
2:17.0,,,69-68,,D. Waiters misses 2-pt shot from 1 ft
2:16.0,,,69-68,,Offensive rebound by E. Kanter
2:16.0,,,69-70,2,E. Kanter makes 2-pt shot from 1 ft
1:57.0,R. Jackson misses 2-pt shot from 11 ft,,69-70,,
1:56.0,Offensive rebound by R. Jackson,,69-70,,
1:43.0,A. Baynes makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope),2,71-70,,
1:24.0,,,71-72,2,K. Durant makes 2-pt shot from 10 ft
1:09.0,R. Jackson misses 3-pt shot from 24 ft,,71-72,,
1:09.0,,,71-72,,Defensive rebound by K. Durant
1:00.0,,,71-72,,Shooting foul by A. Baynes (drawn by K. Durant)
1:00.0,,,71-73,1,K. Durant makes free throw 1 of 2
1:00.0,S. Blake enters the game for R. Jackson,,71-73,,
1:00.0,,,71-74,1,K. Durant makes free throw 2 of 2
0:52.0,A. Baynes misses 2-pt shot from 2 ft (block by K. Durant),,71-74,,
0:51.0,,,71-74,,Defensive rebound by D. Waiters
0:44.0,,,71-74,,D. Augustin misses 3-pt shot from 26 ft
0:43.0,,,71-74,,Offensive rebound by D. Waiters
0:30.0,,,71-74,,D. Waiters misses 3-pt shot from 25 ft
0:30.0,,,71-74,,Offensive rebound by Team
0:30.0,Personal foul by A. Baynes (drawn by E. Kanter),,71-74,,
0:30.0,,,71-75,1,E. Kanter makes free throw 1 of 2
0:30.0,,,71-76,1,E. Kanter makes free throw 2 of 2
0:14.0,,,71-76,,Personal foul by D. Augustin (drawn by S. Blake)
0:06.0,A. Tolliver misses 3-pt shot from 25 ft,,71-76,,
0:02.0,Offensive rebound by S. Johnson,,71-76,,
0:02.0,S. Johnson misses 2-pt shot from 4 ft,,71-76,,
0:01.0,,,71-76,,Defensive rebound by E. Kanter
0:00.0,,,71-76,,A. Roberson misses 3-pt shot from 78 ft
0:00.0,,,71-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-76,,Oklahoma City full timeout
11:39.0,,,71-78,2,D. Waiters makes 2-pt shot from 12 ft
11:23.0,A. Baynes makes 2-pt shot from 14 ft,2,73-78,,
11:10.0,Jump ball: S. Johnson vs. D. Waiters (S. Blake gains possession),,,,Jump ball: S. Johnson vs. D. Waiters (S. Blake gains possession)
11:10.0,,,73-78,,Turnover by D. Waiters (lost ball; steal by S. Johnson)
10:56.0,A. Tolliver misses 3-pt shot from 23 ft (block by S. Ibaka),,73-78,,
10:56.0,,,73-78,,Defensive rebound by D. Augustin
