time,San Antonio,pts.away,score,pts.home,Atlanta
9:42.0,,,53-31,2,T. Sefolosha makes 2-pt shot from 6 ft (assist by P. Millsap)
9:23.0,Turnover by D. Green (bad pass; steal by A. Horford),,53-31,,
9:18.0,,,53-33,2,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford)
9:01.0,K. Leonard makes 2-pt shot from 14 ft (assist by T. Parker),2,55-33,,
8:35.0,,,55-36,3,P. Millsap makes 3-pt shot from 24 ft (assist by K. Korver)
8:06.0,K. Leonard misses 3-pt shot from 23 ft,,55-36,,
8:04.0,,,55-36,,Defensive rebound by A. Horford
7:53.0,,,55-36,,Turnover by P. Millsap (lost ball; steal by K. Leonard)
7:47.0,D. Green makes 2-pt shot from 1 ft (assist by K. Leonard),2,57-36,,
7:29.0,,,57-36,,Turnover by J. Teague (bad pass; steal by K. Leonard)
7:24.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker),2,59-36,,
7:24.0,Shooting foul by K. Korver (drawn by L. Aldridge),,59-36,,
7:24.0,,,59-36,,Atlanta full timeout
7:24.0,L. Aldridge makes free throw 1 of 1,1,60-36,,
7:14.0,,,60-36,,K. Korver misses 3-pt shot from 24 ft
7:13.0,,,60-36,,Offensive rebound by T. Sefolosha
7:10.0,,,60-36,,Turnover by T. Sefolosha (lost ball; steal by K. Leonard)
7:06.0,K. Leonard misses 2-pt shot at rim (block by T. Sefolosha),,60-36,,
7:06.0,Offensive rebound by Team,,60-36,,
6:55.0,T. Parker misses 2-pt shot from 15 ft,,60-36,,
6:53.0,,,60-36,,Defensive rebound by A. Horford
6:48.0,,,60-39,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by A. Horford)
6:23.0,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan),3,63-39,,
6:06.0,,,63-41,2,K. Korver makes 2-pt shot at rim (assist by T. Sefolosha)
5:46.0,,,63-41,,K. Bazemore enters the game for T. Sefolosha
5:41.0,D. Green misses 2-pt shot from 14 ft,,63-41,,
5:39.0,Offensive rebound by L. Aldridge,,63-41,,
5:36.0,San Antonio full timeout,,63-41,,
5:24.0,D. Green makes 2-pt shot from 21 ft (assist by K. Leonard),2,65-41,,
5:09.0,,,65-41,,J. Teague misses 2-pt shot from 16 ft
5:05.0,Defensive rebound by L. Aldridge,,65-41,,
4:54.0,P. Mills enters the game for T. Parker,,65-41,,
4:54.0,M. Ginobili enters the game for K. Leonard,,65-41,,
4:48.0,Offensive charge foul by L. Aldridge,,65-41,,
4:48.0,Turnover by L. Aldridge (offensive foul),,65-41,,
4:27.0,,,65-41,,Turnover by K. Korver (bad pass; steal by P. Mills)
4:25.0,T. Duncan makes 2-pt shot from 1 ft (assist by P. Mills),2,67-41,,
4:19.0,,,67-41,,Turnover by P. Millsap (bad pass; steal by D. Green)
4:15.0,D. Green misses 2-pt shot at rim,,67-41,,
4:14.0,Offensive rebound by M. Ginobili,,67-41,,
4:10.0,D. Green misses 3-pt shot from 22 ft,,67-41,,
4:08.0,,,67-41,,Defensive rebound by A. Horford
4:01.0,,,67-41,,P. Millsap misses 3-pt shot from 22 ft
3:59.0,Defensive rebound by T. Duncan,,67-41,,
3:54.0,,,67-41,,Personal foul by P. Millsap (drawn by L. Aldridge)
3:54.0,,,67-41,,M. Muscala enters the game for A. Horford
3:54.0,,,67-41,,L. Patterson enters the game for K. Korver
3:43.0,T. Duncan makes 2-pt shot from 3 ft (assist by P. Mills),2,69-41,,
3:26.0,,,69-43,2,P. Millsap makes 2-pt shot from 9 ft
3:26.0,,,69-43,,Shooting foul by P. Mills (drawn by P. Millsap)
3:26.0,,,69-43,,D. Schroder enters the game for J. Teague
3:26.0,,,69-44,1,P. Millsap makes free throw 1 of 1
3:05.0,Turnover by P. Mills (bad pass; steal by K. Bazemore),,69-44,,
3:00.0,,,69-46,2,K. Bazemore makes 2-pt shot at rim
2:51.0,,,69-46,,Violation by K. Bazemore (kicked ball)
2:51.0,J. Simmons enters the game for L. Aldridge,,69-46,,
2:51.0,B. Diaw enters the game for T. Duncan,,69-46,,
2:51.0,D. West enters the game for D. Green,,69-46,,
2:42.0,B. Diaw misses 3-pt shot from 24 ft,,69-46,,
2:41.0,,,69-46,,Defensive rebound by L. Patterson
2:29.0,,,69-46,,M. Muscala misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by D. West,,69-46,,
2:19.0,Turnover by J. Simmons (traveling),,69-46,,
2:10.0,,,69-48,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
1:58.0,,,69-48,,Personal foul by P. Millsap (drawn by P. Mills)
1:58.0,,,69-48,,Technical foul by P. Millsap (drawn by P. Mills)
1:58.0,P. Mills makes technical free throw,1,70-48,,
1:58.0,P. Mills makes free throw 1 of 2,1,71-48,,
1:58.0,P. Mills makes free throw 2 of 2,1,72-48,,
1:52.0,,,72-50,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
1:41.0,D. West makes 2-pt shot from 3 ft (assist by M. Ginobili),2,74-50,,
1:25.0,,,74-50,,D. Schroder misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by B. Diaw,,74-50,,
1:18.0,J. Simmons makes 2-pt shot at rim (assist by D. West),2,76-50,,
1:00.0,,,76-50,,K. Bazemore misses 3-pt shot from 23 ft
0:59.0,,,76-50,,Offensive rebound by D. Schroder
0:55.0,,,76-53,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
0:30.0,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills),3,79-53,,
0:07.0,,,79-55,2,K. Bazemore makes 2-pt shot from 1 ft
0:00.0,B. Diaw misses 3-pt shot from 22 ft,,79-55,,
0:00.0,Offensive rebound by Team,,79-55,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,79-57,2,D. Schroder makes 2-pt shot from 16 ft
11:26.0,Turnover by J. Simmons (bad pass; steal by M. Muscala),,79-57,,
11:20.0,,,79-57,,K. Bazemore misses 2-pt shot at rim
11:18.0,Defensive rebound by J. Simmons,,79-57,,
11:14.0,P. Mills misses 3-pt shot from 25 ft,,79-57,,
11:12.0,,,79-57,,Defensive rebound by T. Splitter
11:04.0,Personal foul by J. Simmons (drawn by K. Bazemore),,79-57,,
10:54.0,,,79-60,3,L. Patterson makes 3-pt shot from 23 ft (assist by D. Schroder)
10:46.0,Shooting foul by M. Muscala (drawn by M. Ginobili),,79-60,,
10:46.0,M. Ginobili makes free throw 1 of 2,1,80-60,,
10:46.0,M. Ginobili makes free throw 2 of 2,1,81-60,,
10:37.0,,,81-60,,D. Schroder misses 2-pt shot from 15 ft
10:34.0,Defensive rebound by J. Simmons,,81-60,,
10:27.0,Turnover by M. Ginobili (bad pass; steal by K. Bazemore),,81-60,,
10:20.0,,,81-62,2,L. Patterson makes 2-pt shot from 1 ft (assist by K. Bazemore)
10:19.0,Turnover by D. West (bad pass; steal by T. Splitter),,81-62,,
10:19.0,Jump ball: M. Muscala vs. D. West (K. Bazemore gains possession),,,,Jump ball: M. Muscala vs. D. West (K. Bazemore gains possession)
10:17.0,Personal foul by J. Simmons (drawn by K. Bazemore),,81-62,,
10:13.0,,,81-62,,M. Muscala misses 2-pt shot from 21 ft
10:13.0,,,81-62,,Offensive rebound by Team
10:13.0,Loose ball foul by D. West (drawn by T. Splitter),,81-62,,
10:03.0,,,81-62,,K. Bazemore misses 2-pt shot from 2 ft
10:01.0,,,81-62,,Offensive rebound by T. Splitter
10:01.0,,,81-64,2,T. Splitter makes 2-pt shot at rim
10:01.0,San Antonio full timeout,,81-64,,
10:01.0,K. Leonard enters the game for J. Simmons,,81-64,,
9:42.0,P. Mills misses 3-pt shot from 23 ft,,81-64,,
9:41.0,,,81-64,,Defensive rebound by K. Bazemore
9:31.0,,,81-64,,K. Bazemore misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by D. West,,81-64,,
9:19.0,M. Ginobili makes 2-pt shot at rim,2,83-64,,
9:03.0,,,83-64,,D. Schroder misses 3-pt shot from 24 ft
9:01.0,,,83-64,,Offensive rebound by L. Patterson
8:59.0,,,83-66,2,K. Bazemore makes 2-pt shot at rim (assist by L. Patterson)
8:59.0,,,83-66,,Shooting foul by B. Diaw (drawn by K. Bazemore)
8:59.0,T. Duncan enters the game for D. West,,83-66,,
8:59.0,,,83-67,1,K. Bazemore makes free throw 1 of 1
8:47.0,Shooting foul by M. Muscala (drawn by K. Leonard),,83-67,,
8:47.0,K. Leonard makes free throw 1 of 2,1,84-67,,
8:47.0,K. Leonard makes free throw 2 of 2,1,85-67,,
8:30.0,,,85-67,,L. Patterson misses 2-pt shot from 14 ft
8:28.0,Defensive rebound by T. Duncan,,85-67,,
8:24.0,K. Leonard makes 2-pt shot from 19 ft,2,87-67,,
8:15.0,,,87-67,,Atlanta full timeout
8:15.0,T. Parker enters the game for M. Ginobili,,87-67,,
8:15.0,D. Green enters the game for P. Mills,,87-67,,
8:02.0,,,87-67,,Turnover by M. Muscala (bad pass; steal by T. Duncan)
7:39.0,K. Leonard makes 3-pt shot from 22 ft,3,90-67,,
7:27.0,,,90-67,,Turnover by L. Patterson (bad pass)
7:15.0,,,90-67,,J. Holiday enters the game for K. Bazemore
7:15.0,,,90-67,,E. Tavares enters the game for M. Muscala
7:15.0,R. Butler enters the game for B. Diaw,,90-67,,
7:14.0,Turnover by D. Green (bad pass; steal by L. Patterson),,90-67,,
7:09.0,Personal foul by T. Duncan (drawn by E. Tavares),,90-67,,
7:09.0,,,90-68,1,E. Tavares makes free throw 1 of 2
7:09.0,,,90-68,,S. Mack enters the game for L. Patterson
7:09.0,,,90-68,,E. Tavares misses free throw 2 of 2
7:08.0,Defensive rebound by R. Butler,,90-68,,
6:52.0,K. Leonard misses 3-pt shot from 24 ft,,90-68,,
6:50.0,,,90-68,,Defensive rebound by D. Schroder
6:44.0,,,90-68,,Shooting foul by T. Parker (drawn by D. Schroder)
6:44.0,,,90-69,1,D. Schroder makes free throw 1 of 2
6:44.0,J. Simmons enters the game for D. Green,,90-69,,
6:44.0,,,90-70,1,D. Schroder makes free throw 2 of 2
6:36.0,Turnover by T. Duncan (bad pass),,90-70,,
6:20.0,,,90-72,2,E. Tavares makes 2-pt shot at rim (assist by S. Mack)
5:59.0,R. Butler makes 3-pt shot from 24 ft (assist by T. Parker),3,93-72,,
5:47.0,,,93-72,,Turnover by T. Splitter (lost ball; steal by R. Butler)
5:24.0,R. Butler makes 3-pt shot from 23 ft (assist by K. Leonard),3,96-72,,
5:06.0,,,96-72,,D. Schroder misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by J. Simmons,,96-72,,
5:00.0,San Antonio full timeout,,96-72,,
5:00.0,,,96-72,,M. Muscala enters the game for D. Schroder
5:00.0,,,96-72,,L. Patterson enters the game for T. Splitter
5:00.0,P. Mills enters the game for K. Leonard,,96-72,,
5:00.0,M. Bonner enters the game for T. Duncan,,96-72,,
5:00.0,K. Anderson enters the game for T. Parker,,96-72,,
4:52.0,M. Bonner makes 3-pt shot from 24 ft (assist by J. Simmons),3,99-72,,
4:35.0,,,99-72,,E. Tavares misses 2-pt shot from 17 ft
4:34.0,Defensive rebound by K. Anderson,,99-72,,
4:13.0,M. Bonner misses 2-pt shot from 22 ft,,99-72,,
4:12.0,Offensive rebound by J. Simmons,,99-72,,
3:51.0,J. Simmons misses 2-pt shot at rim,,99-72,,
3:49.0,,,99-72,,Defensive rebound by J. Holiday
3:31.0,,,99-72,,S. Mack misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by P. Mills,,99-72,,
3:06.0,J. Simmons misses 2-pt shot from 1 ft,,99-72,,
3:05.0,,,99-72,,Defensive rebound by L. Patterson
2:52.0,,,99-72,,L. Patterson misses 3-pt shot from 23 ft
2:51.0,,,99-72,,Offensive rebound by M. Muscala
2:50.0,,,99-74,2,M. Muscala makes 2-pt shot at rim
2:30.0,Shooting foul by M. Muscala (drawn by J. Simmons),,99-74,,
2:30.0,J. Simmons makes free throw 1 of 2,1,100-74,,
