time,New Orleans,pts.away,score,pts.home,Toronto
5:09.0,,,52-59,,L. Scola misses 2-pt shot from 19 ft
5:09.0,Defensive rebound by A. Gee,,52-59,,
4:58.0,Shooting foul by D. Carroll (drawn by O. Asik),,52-59,,
4:58.0,O. Asik misses free throw 1 of 2,,52-59,,
4:58.0,Offensive rebound by Team,,52-59,,
4:58.0,O. Asik makes free throw 2 of 2,1,53-59,,
4:42.0,,,53-59,,Turnover by J. Valanciunas (traveling)
4:32.0,E. Gordon makes 2-pt shot from 3 ft,2,55-59,,
4:23.0,Personal foul by A. Gee (drawn by D. DeRozan),,55-59,,
4:15.0,,,55-62,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:08.0,Turnover by J. Holiday (palming),,55-62,,
3:57.0,,,55-65,3,L. Scola makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:32.0,Turnover by E. Gordon (lost ball; steal by D. Carroll),,55-65,,
3:20.0,,,55-65,,L. Scola misses 2-pt shot from 11 ft
3:19.0,Defensive rebound by O. Asik,,55-65,,
3:12.0,J. Holiday misses 2-pt shot from 2 ft,,55-65,,
3:12.0,Offensive rebound by A. Gee,,55-65,,
3:08.0,A. Gee misses 2-pt shot at rim,,55-65,,
3:08.0,,,55-65,,Defensive rebound by D. DeRozan
3:02.0,,,55-65,,Turnover by J. Valanciunas (offensive foul)
3:02.0,,,55-65,,Offensive foul by J. Valanciunas
3:02.0,I. Smith enters the game for J. Holiday,,55-65,,
3:02.0,A. Ajinca enters the game for O. Asik,,55-65,,
3:02.0,,,55-65,,Violation by Team (delay of game)
3:02.0,,,55-65,,Technical foul by J. Valanciunas
3:02.0,E. Gordon makes technical free throw,1,56-65,,
3:02.0,,,56-65,,B. Biyombo enters the game for J. Valanciunas
3:02.0,,,56-65,,C. Joseph enters the game for D. Carroll
2:48.0,Turnover by I. Smith (bad pass; steal by D. DeRozan),,56-65,,
2:43.0,,,56-67,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
2:32.0,E. Gordon makes 3-pt shot from 28 ft,3,59-67,,
2:14.0,,,59-67,,D. DeRozan misses 2-pt shot from 14 ft
2:14.0,Defensive rebound by A. Ajinca,,59-67,,
2:01.0,A. Ajinca makes 2-pt shot from 13 ft (assist by I. Smith),2,61-67,,
1:53.0,,,61-67,,Toronto full timeout
1:53.0,D. Cunningham enters the game for R. Anderson,,61-67,,
1:53.0,,,61-67,,P. Patterson enters the game for L. Scola
1:34.0,,,61-67,,K. Lowry misses 3-pt shot from 29 ft
1:34.0,,,61-67,,Offensive rebound by P. Patterson
