time,Atlanta,pts.away,score,pts.home,New Orleans
7:56.0,J. Teague makes 2-pt shot from 1 ft,2,39-32,,
7:34.0,,,39-32,,Shooting foul by M. Scott (drawn by A. Davis)
7:34.0,,,39-33,1,A. Davis makes free throw 1 of 2
7:34.0,,,39-33,,I. Smith enters the game for T. Douglas
7:34.0,,,39-34,1,A. Davis makes free throw 2 of 2
7:22.0,M. Scott misses 3-pt shot from 25 ft,,39-34,,
7:22.0,,,39-34,,Defensive rebound by I. Smith
7:14.0,,,39-34,,R. Anderson misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by K. Korver,,39-34,,
7:11.0,Offensive charge foul by J. Holiday,,39-34,,
7:11.0,Turnover by J. Holiday (offensive foul),,39-34,,
7:11.0,T. Splitter enters the game for A. Horford,,39-34,,
6:59.0,,,39-34,,A. Gee misses 2-pt shot from 21 ft
6:57.0,Defensive rebound by J. Holiday,,39-34,,
6:46.0,T. Splitter misses 2-pt shot from 2 ft,,39-34,,
6:45.0,,,39-34,,Defensive rebound by E. Gordon
6:42.0,,,39-34,,A. Gee misses 2-pt shot from 3 ft (block by K. Korver)
6:41.0,,,39-34,,Offensive rebound by A. Gee
6:38.0,,,39-34,,E. Gordon misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by K. Korver,,39-34,,
6:30.0,J. Teague misses 2-pt shot from 1 ft,,39-34,,
6:29.0,Offensive rebound by M. Scott,,39-34,,
6:29.0,Shooting foul by E. Gordon (drawn by M. Scott),,39-34,,
6:29.0,M. Scott makes free throw 1 of 2,1,40-34,,
6:29.0,D. Schroder enters the game for J. Teague,,40-34,,
6:29.0,M. Scott makes free throw 2 of 2,1,41-34,,
6:11.0,,,41-34,,Offensive charge foul by R. Anderson
6:11.0,,,41-34,,Turnover by R. Anderson (offensive foul)
5:51.0,J. Holiday makes 2-pt shot at rim (assist by K. Korver),2,43-34,,
5:35.0,,,43-37,3,R. Anderson makes 3-pt shot from 25 ft (assist by I. Smith)
5:16.0,,,43-37,,Personal foul by R. Anderson (drawn by M. Scott)
5:16.0,Official timeout,,43-37,,
5:16.0,,,43-37,,D. Cunningham enters the game for A. Gee
5:16.0,K. Bazemore enters the game for M. Scott,,43-37,,
5:16.0,P. Millsap enters the game for J. Holiday,,43-37,,
5:16.0,Violation by Team (delay of game),,43-37,,
5:09.0,Turnover by K. Bazemore (illegal screen),,43-37,,
4:56.0,,,43-37,,A. Davis misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by P. Millsap,,43-37,,
4:44.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,46-37,,
4:27.0,,,46-39,2,R. Anderson makes 2-pt shot from 2 ft
4:07.0,P. Millsap makes 2-pt shot from 5 ft (assist by D. Schroder),2,48-39,,
3:50.0,,,48-39,,A. Davis misses 2-pt shot from 4 ft
3:46.0,Defensive rebound by K. Korver,,48-39,,
3:39.0,D. Schroder makes 2-pt shot from 1 ft,2,50-39,,
3:13.0,,,50-39,,A. Davis misses 2-pt shot from 12 ft
3:12.0,Defensive rebound by P. Millsap,,50-39,,
3:02.0,D. Schroder makes 2-pt shot from 2 ft,2,52-39,,
3:02.0,,,52-39,,New Orleans full timeout
3:02.0,J. Holiday enters the game for K. Korver,,52-39,,
2:45.0,,,52-39,,I. Smith misses 2-pt shot from 1 ft (block by K. Bazemore)
2:44.0,Defensive rebound by P. Millsap,,52-39,,
2:28.0,D. Schroder misses 3-pt shot from 26 ft,,52-39,,
2:28.0,,,52-39,,Defensive rebound by Team
2:28.0,J. Teague enters the game for J. Holiday,,52-39,,
2:15.0,,,52-41,2,A. Davis makes 2-pt shot from 2 ft (assist by I. Smith)
2:03.0,Shooting foul by D. Cunningham (drawn by K. Bazemore),,52-41,,
2:03.0,K. Bazemore misses free throw 1 of 2,,52-41,,
2:03.0,Offensive rebound by Team,,52-41,,
2:03.0,A. Horford enters the game for T. Splitter,,52-41,,
2:03.0,,,52-41,,L. Babbitt enters the game for D. Cunningham
2:03.0,K. Bazemore makes free throw 2 of 2,1,53-41,,
1:47.0,,,53-41,,L. Babbitt misses 3-pt shot from 22 ft
1:47.0,,,53-41,,Offensive rebound by I. Smith
1:41.0,,,53-44,3,R. Anderson makes 3-pt shot from 24 ft (assist by I. Smith)
1:17.0,D. Schroder makes 3-pt shot from 24 ft (assist by J. Teague),3,56-44,,
1:06.0,,,56-44,,Shooting foul by A. Horford (drawn by A. Davis)
1:06.0,,,56-44,,A. Davis misses free throw 1 of 2
1:06.0,,,56-44,,Offensive rebound by Team
1:06.0,,,56-44,,A. Davis misses free throw 2 of 2
1:05.0,Defensive rebound by K. Bazemore,,56-44,,
0:52.0,A. Horford misses 2-pt shot from 10 ft,,56-44,,
0:50.0,,,56-44,,Defensive rebound by A. Davis
0:41.0,,,56-44,,E. Gordon misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by K. Bazemore,,56-44,,
0:35.0,,,56-44,,A. Ajinca enters the game for A. Davis
0:31.0,D. Schroder misses 2-pt shot from 19 ft,,56-44,,
0:30.0,,,56-44,,Defensive rebound by R. Anderson
0:24.0,,,56-47,3,E. Gordon makes 3-pt shot from 24 ft (assist by I. Smith)
0:01.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,58-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-49,2,A. Davis makes 2-pt shot from 6 ft (assist by L. Babbitt)
11:31.0,Turnover by P. Millsap (bad pass; steal by A. Davis),,58-49,,
11:13.0,,,58-49,,E. Gordon misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by P. Millsap,,58-49,,
11:04.0,K. Korver makes 2-pt shot from 6 ft (assist by J. Teague),2,60-49,,
10:53.0,,,60-51,2,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday)
10:34.0,K. Korver makes 2-pt shot from 14 ft (assist by A. Horford),2,62-51,,
10:23.0,,,62-51,,Turnover by J. Holiday (lost ball; steal by K. Bazemore)
10:16.0,Turnover by K. Bazemore (bad pass; steal by A. Davis),,62-51,,
10:02.0,,,62-51,,E. Gordon misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by P. Millsap,,62-51,,
9:51.0,A. Horford misses 3-pt shot from 23 ft,,62-51,,
9:51.0,,,62-51,,Defensive rebound by L. Babbitt
9:45.0,,,62-53,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Holiday)
9:37.0,,,62-53,,Personal foul by E. Gordon (drawn by J. Teague)
9:27.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,64-53,,
9:09.0,,,64-53,,Turnover by J. Holiday (bad pass; steal by J. Teague)
9:04.0,K. Bazemore makes 2-pt shot from 7 ft (assist by J. Teague),2,66-53,,
9:04.0,Shooting foul by L. Babbitt (drawn by K. Bazemore),,66-53,,
9:04.0,K. Bazemore makes free throw 1 of 1,1,67-53,,
8:50.0,,,67-55,2,L. Babbitt makes 2-pt shot from 13 ft (assist by D. Cunningham)
8:38.0,J. Teague makes 3-pt shot from 23 ft (assist by K. Bazemore),3,70-55,,
8:14.0,Personal foul by P. Millsap (drawn by E. Gordon),,70-55,,
8:03.0,,,70-55,,L. Babbitt misses 3-pt shot from 24 ft
8:02.0,,,70-55,,Offensive rebound by A. Davis
8:01.0,,,70-57,2,A. Davis makes 2-pt shot from 1 ft
7:43.0,K. Bazemore misses 3-pt shot from 24 ft,,70-57,,
7:43.0,,,70-57,,Defensive rebound by D. Cunningham
7:28.0,,,70-57,,L. Babbitt misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by J. Teague,,70-57,,
7:16.0,J. Teague misses 3-pt shot from 25 ft,,70-57,,
7:16.0,,,70-57,,Defensive rebound by L. Babbitt
7:11.0,Personal foul by K. Bazemore (drawn by J. Holiday),,70-57,,
7:11.0,T. Splitter enters the game for K. Bazemore,,70-57,,
6:55.0,,,70-59,2,L. Babbitt makes 2-pt shot from 2 ft (assist by J. Holiday)
6:43.0,P. Millsap makes 2-pt shot from 6 ft,2,72-59,,
6:34.0,,,72-59,,Turnover by J. Holiday (bad pass; steal by K. Korver)
6:26.0,J. Teague makes 2-pt shot from 2 ft,2,74-59,,
6:24.0,,,74-59,,New Orleans full timeout
6:24.0,,,74-59,,I. Smith enters the game for E. Gordon
6:18.0,,,74-59,,Shooting foul by J. Teague (drawn by J. Holiday)
6:18.0,,,74-59,,J. Holiday misses free throw 1 of 2
6:18.0,,,74-59,,Offensive rebound by Team
6:18.0,,,74-60,1,J. Holiday makes free throw 2 of 2
6:02.0,P. Millsap misses 2-pt shot from 6 ft,,74-60,,
6:01.0,,,74-60,,Defensive rebound by L. Babbitt
5:54.0,,,74-60,,Turnover by J. Holiday (bad pass; steal by P. Millsap)
5:48.0,J. Teague misses 2-pt shot from 2 ft,,74-60,,
5:47.0,,,74-60,,Defensive rebound by D. Cunningham
5:39.0,,,74-62,2,L. Babbitt makes 2-pt shot from 1 ft
5:28.0,Shooting foul by L. Babbitt (drawn by P. Millsap),,74-62,,
5:28.0,P. Millsap makes free throw 1 of 2,1,75-62,,
5:28.0,P. Millsap misses free throw 2 of 2,,75-62,,
5:26.0,,,75-62,,Defensive rebound by L. Babbitt
5:06.0,,,75-62,,D. Cunningham misses 2-pt shot from 22 ft
5:05.0,Defensive rebound by P. Millsap,,75-62,,
4:59.0,A. Horford makes 2-pt shot from 5 ft (assist by P. Millsap),2,77-62,,
4:50.0,,,77-62,,I. Smith misses 2-pt shot from 2 ft
4:48.0,Defensive rebound by T. Splitter,,77-62,,
4:40.0,A. Horford misses 3-pt shot from 24 ft,,77-62,,
4:40.0,,,77-62,,Defensive rebound by A. Davis
4:29.0,Personal foul by J. Teague (drawn by A. Davis),,77-62,,
4:29.0,D. Schroder enters the game for J. Teague,,77-62,,
4:29.0,L. Patterson enters the game for K. Korver,,77-62,,
4:15.0,,,77-64,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
4:04.0,,,77-64,,Personal foul by L. Babbitt (drawn by T. Splitter)
4:04.0,K. Bazemore enters the game for A. Horford,,77-64,,
3:54.0,P. Millsap makes 2-pt shot from 13 ft,2,79-64,,
3:35.0,,,79-64,,L. Babbitt misses 3-pt shot from 23 ft
3:34.0,,,79-64,,Offensive rebound by Team
3:34.0,,,79-64,,R. Anderson enters the game for D. Cunningham
3:34.0,,,79-64,,T. Douglas enters the game for J. Holiday
3:27.0,,,79-66,2,A. Davis makes 2-pt shot from 18 ft (assist by I. Smith)
3:05.0,L. Patterson misses 2-pt shot from 19 ft,,79-66,,
3:04.0,,,79-66,,Defensive rebound by I. Smith
2:58.0,,,79-69,3,T. Douglas makes 3-pt shot from 24 ft (assist by A. Davis)
2:51.0,Atlanta full timeout,,79-69,,
2:51.0,,,79-69,,E. Gordon enters the game for L. Babbitt
2:35.0,P. Millsap makes 2-pt shot from 6 ft (assist by D. Schroder),2,81-69,,
2:22.0,Personal foul by K. Bazemore (drawn by E. Gordon),,81-69,,
2:22.0,,,81-70,1,E. Gordon makes free throw 1 of 2
2:22.0,,,81-71,1,E. Gordon makes free throw 2 of 2
2:09.0,K. Bazemore misses 2-pt shot at rim,,81-71,,
2:08.0,Offensive rebound by T. Splitter,,81-71,,
2:07.0,T. Splitter misses 2-pt shot from 3 ft (block by A. Davis),,81-71,,
2:04.0,,,81-71,,Defensive rebound by I. Smith
1:58.0,,,81-73,2,A. Davis makes 2-pt shot from 15 ft (assist by I. Smith)
1:37.0,Turnover by P. Millsap (traveling),,81-73,,
1:37.0,A. Horford enters the game for T. Splitter,,81-73,,
1:20.0,,,81-73,,A. Davis misses 2-pt shot from 2 ft (block by A. Horford)
1:18.0,Defensive rebound by P. Millsap,,81-73,,
1:13.0,K. Bazemore makes 2-pt shot from 2 ft,2,83-73,,
1:03.0,,,83-73,,Shooting foul by P. Millsap (drawn by A. Davis)
1:03.0,,,83-74,1,A. Davis makes free throw 1 of 2
1:03.0,M. Scott enters the game for P. Millsap,,83-74,,
1:03.0,,,83-75,1,A. Davis makes free throw 2 of 2
0:56.0,D. Schroder makes 3-pt shot from 24 ft,3,86-75,,
0:46.0,,,86-77,2,E. Gordon makes 2-pt shot from 2 ft
0:32.0,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder),3,89-77,,
0:19.0,,,89-79,2,A. Davis makes 2-pt shot at rim (assist by I. Smith)
0:00.0,A. Horford misses 2-pt shot from 3 ft,,89-79,,
0:00.0,Offensive rebound by Team,,89-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,K. Korver makes technical free throw,1,90-79,,
12:00.0,,,90-79,,Technical foul by Team
12:00.0,K. Korver makes technical free throw,1,91-79,,
11:51.0,Offensive foul by A. Horford,,91-79,,
11:51.0,Turnover by A. Horford (offensive foul),,91-79,,
11:37.0,,,91-79,,Offensive charge foul by E. Gordon
11:37.0,,,91-79,,Turnover by E. Gordon (offensive foul)
11:18.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott),2,93-79,,
11:00.0,,,93-79,,R. Anderson misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by Team,,93-79,,
11:00.0,,,93-79,,J. Holiday enters the game for E. Gordon
10:46.0,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford),3,96-79,,
10:26.0,,,96-81,2,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Holiday)
10:26.0,,,96-81,,Shooting foul by A. Horford (drawn by D. Cunningham)
10:26.0,,,96-81,,A. Davis enters the game for R. Anderson
10:26.0,,,96-82,1,D. Cunningham makes free throw 1 of 1
10:13.0,Turnover by D. Schroder (bad pass; steal by I. Smith),,96-82,,
10:09.0,,,96-84,2,A. Davis makes 2-pt shot from 2 ft (assist by I. Smith)
10:09.0,,,96-84,,Shooting foul by J. Holiday (drawn by A. Davis)
10:09.0,,,96-85,1,A. Davis makes free throw 1 of 1
9:56.0,K. Korver makes 2-pt shot from 15 ft (assist by A. Horford),2,98-85,,
9:41.0,,,98-85,,Turnover by A. Davis (lost ball; steal by K. Korver)
9:37.0,Turnover by M. Scott (bad pass; steal by J. Holiday),,98-85,,
9:33.0,,,98-85,,Shooting foul by K. Korver (drawn by A. Davis)
9:33.0,,,98-86,1,A. Davis makes free throw 1 of 2
9:33.0,J. Teague enters the game for D. Schroder,,98-86,,
9:33.0,,,98-87,1,A. Davis makes free throw 2 of 2
9:12.0,A. Horford misses 2-pt shot from 19 ft,,98-87,,
9:12.0,,,98-87,,Defensive rebound by J. Holiday
9:00.0,,,98-87,,A. Davis misses 2-pt shot from 9 ft
8:57.0,Defensive rebound by J. Holiday,,98-87,,
8:52.0,Shooting foul by A. Davis (drawn by J. Teague),,98-87,,
8:52.0,Official timeout,,98-87,,
8:52.0,,,98-87,,R. Anderson enters the game for D. Cunningham
8:52.0,,,98-87,,E. Gordon enters the game for J. Holiday
8:52.0,J. Teague makes free throw 1 of 2,1,99-87,,
8:52.0,J. Teague makes free throw 2 of 2,1,100-87,,
8:36.0,,,100-89,2,A. Davis makes 2-pt shot from 8 ft (assist by E. Gordon)
8:36.0,,,100-89,,Shooting foul by A. Horford (drawn by A. Davis)
8:36.0,,,100-90,1,A. Davis makes free throw 1 of 1
8:18.0,J. Teague misses 3-pt shot from 24 ft,,100-90,,
8:18.0,,,100-90,,Defensive rebound by A. Davis
7:57.0,,,100-90,,Turnover by Team (shot clock)
7:57.0,T. Splitter enters the game for A. Horford,,100-90,,
7:45.0,J. Holiday makes 2-pt shot from 1 ft (assist by K. Korver),2,102-90,,
7:30.0,,,102-92,2,I. Smith makes 2-pt shot from 19 ft (assist by R. Anderson)
7:10.0,T. Splitter misses 2-pt shot from 5 ft (block by A. Davis),,102-92,,
7:10.0,,,102-92,,Defensive rebound by R. Anderson
6:59.0,,,102-92,,Shooting foul by K. Korver (drawn by A. Davis)
6:59.0,,,102-93,1,A. Davis makes free throw 1 of 2
6:59.0,,,102-93,,J. Holiday enters the game for L. Babbitt
6:59.0,,,102-94,1,A. Davis makes free throw 2 of 2
6:44.0,Turnover by M. Scott (bad pass; steal by E. Gordon),,102-94,,
6:41.0,,,102-96,2,E. Gordon makes 2-pt shot from 1 ft
6:41.0,Atlanta full timeout,,102-96,,
6:41.0,K. Bazemore enters the game for K. Korver,,102-96,,
6:41.0,P. Millsap enters the game for M. Scott,,102-96,,
6:26.0,Shooting foul by A. Davis (drawn by P. Millsap),,102-96,,
6:26.0,P. Millsap makes free throw 1 of 2,1,103-96,,
6:26.0,P. Millsap makes free throw 2 of 2,1,104-96,,
6:13.0,,,104-99,3,A. Davis makes 3-pt shot from 24 ft (assist by J. Holiday)
5:51.0,J. Holiday misses 2-pt shot from 3 ft (block by A. Davis),,104-99,,
5:49.0,,,104-99,,Defensive rebound by E. Gordon
5:45.0,,,104-99,,Shooting foul by K. Bazemore (drawn by A. Davis)
5:45.0,,,104-100,1,A. Davis makes free throw 1 of 2
5:45.0,,,104-101,1,A. Davis makes free throw 2 of 2
5:32.0,J. Teague misses 2-pt shot from 1 ft (block by R. Anderson),,104-101,,
5:32.0,Offensive rebound by Team,,104-101,,
5:28.0,J. Teague misses 2-pt shot from 11 ft,,104-101,,
5:28.0,Offensive rebound by P. Millsap,,104-101,,
5:28.0,,,104-101,,Personal foul by I. Smith (drawn by P. Millsap)
5:28.0,A. Horford enters the game for T. Splitter,,104-101,,
5:23.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,106-101,,
4:56.0,,,106-101,,A. Davis misses 2-pt shot from 16 ft
4:56.0,,,106-101,,Offensive rebound by R. Anderson
4:51.0,,,106-103,2,E. Gordon makes 2-pt shot from 1 ft (assist by R. Anderson)
4:51.0,,,106-103,,Shooting foul by P. Millsap (drawn by E. Gordon)
4:51.0,K. Korver enters the game for J. Holiday,,106-103,,
4:51.0,,,106-104,1,E. Gordon makes free throw 1 of 1
4:31.0,K. Bazemore misses 2-pt shot from 1 ft,,106-104,,
4:30.0,,,106-104,,Defensive rebound by A. Davis
4:25.0,,,106-104,,E. Gordon misses 3-pt shot from 23 ft
4:24.0,,,106-104,,Offensive rebound by R. Anderson
4:24.0,,,106-106,2,R. Anderson makes 2-pt shot at rim
4:00.0,J. Teague misses 3-pt shot from 24 ft,,106-106,,
4:00.0,Offensive rebound by A. Horford,,106-106,,
3:56.0,A. Horford makes 2-pt shot from 2 ft,2,108-106,,
3:37.0,,,108-106,,R. Anderson misses 3-pt shot from 25 ft (block by P. Millsap)
3:37.0,,,108-106,,Offensive rebound by A. Davis
3:37.0,Personal foul by A. Horford (drawn by A. Davis),,108-106,,
3:37.0,,,108-107,1,A. Davis makes free throw 1 of 2
