time,Chicago,pts.away,score,pts.home,Atlanta
8:23.0,Turnover by D. Rose (bad pass; steal by J. Holiday),,26-44,,
8:14.0,,,26-44,,T. Hardaway misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by T. Snell,,26-44,,
8:03.0,Shooting foul by A. Horford (drawn by D. Rose),,26-44,,
8:03.0,D. Rose makes free throw 1 of 2,1,27-44,,
8:03.0,,,27-44,,K. Korver enters the game for T. Hardaway
8:03.0,J. Butler enters the game for T. Snell,,27-44,,
8:03.0,D. Rose makes free throw 2 of 2,1,28-44,,
7:42.0,,,28-46,2,J. Teague makes 2-pt shot from 2 ft
7:26.0,Shooting foul by J. Holiday (drawn by J. Butler),,28-46,,
7:26.0,J. Butler makes free throw 1 of 2,1,29-46,,
7:26.0,,,29-46,,K. Bazemore enters the game for J. Holiday
7:26.0,J. Butler makes free throw 2 of 2,1,30-46,,
7:05.0,,,30-49,3,M. Scott makes 3-pt shot from 22 ft (assist by K. Korver)
6:51.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,33-49,,
6:44.0,,,33-49,,Atlanta full timeout
6:44.0,,,33-49,,P. Millsap enters the game for A. Horford
6:44.0,,,33-49,,T. Splitter enters the game for M. Scott
6:28.0,,,33-49,,Turnover by K. Bazemore (bad pass; steal by J. Butler)
6:13.0,N. Mirotic misses 3-pt shot from 23 ft,,33-49,,
6:10.0,,,33-49,,Defensive rebound by P. Millsap
5:56.0,,,33-49,,T. Splitter misses 2-pt shot from 8 ft
5:53.0,Defensive rebound by J. Butler,,33-49,,
5:48.0,J. Butler makes 2-pt shot from 19 ft,2,35-49,,
5:40.0,Personal foul by D. McDermott (drawn by K. Bazemore),,35-49,,
5:40.0,P. Gasol enters the game for T. Gibson,,35-49,,
5:34.0,,,35-49,,Shooting foul by J. Butler (drawn by J. Teague)
5:34.0,,,35-50,1,J. Teague makes free throw 1 of 2
5:34.0,,,35-50,,J. Teague misses free throw 2 of 2
5:33.0,Defensive rebound by N. Mirotic,,35-50,,
5:22.0,Shooting foul by P. Millsap (drawn by D. Rose),,35-50,,
5:22.0,D. Rose misses free throw 1 of 2,,35-50,,
5:22.0,Offensive rebound by Team,,35-50,,
5:22.0,D. Rose makes free throw 2 of 2,1,36-50,,
5:06.0,,,36-50,,K. Bazemore misses 2-pt shot at rim
5:03.0,Defensive rebound by P. Gasol,,36-50,,
4:58.0,D. Rose makes 2-pt shot from 1 ft,2,38-50,,
4:51.0,,,38-50,,J. Teague misses 2-pt shot from 1 ft
4:49.0,,,38-50,,Offensive rebound by J. Teague
4:39.0,,,38-52,2,T. Splitter makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:19.0,J. Butler misses 2-pt shot at rim,,38-52,,
4:17.0,Offensive rebound by J. Butler,,38-52,,
4:17.0,J. Butler makes 2-pt shot from 1 ft,2,40-52,,
4:11.0,,,40-52,,Turnover by J. Teague (lost ball; steal by D. Rose)
4:04.0,D. McDermott makes 2-pt shot at rim,2,42-52,,
3:51.0,,,42-54,2,P. Millsap makes 2-pt shot from 12 ft (assist by J. Teague)
3:51.0,Shooting block foul by N. Mirotic (drawn by P. Millsap),,42-54,,
3:51.0,,,42-55,1,P. Millsap makes free throw 1 of 1
3:40.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Rose),3,45-55,,
3:16.0,,,45-57,2,P. Millsap makes 2-pt shot from 14 ft (assist by K. Bazemore)
3:06.0,Turnover by D. Rose (lost ball; steal by J. Teague),,45-57,,
3:02.0,,,45-57,,Turnover by J. Teague (bad pass; steal by N. Mirotic)
2:50.0,P. Gasol makes 2-pt shot at rim,2,47-57,,
2:47.0,,,47-57,,Atlanta full timeout
2:47.0,Official timeout,,47-57,,
2:47.0,,,47-57,,D. Schroder enters the game for J. Teague
2:47.0,,,47-57,,A. Horford enters the game for T. Splitter
2:34.0,,,47-57,,A. Horford misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by N. Mirotic,,47-57,,
2:17.0,Turnover by N. Mirotic (bad pass; steal by A. Horford),,47-57,,
2:12.0,,,47-60,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
1:52.0,P. Gasol misses 2-pt shot from 17 ft,,47-60,,
1:50.0,,,47-60,,Defensive rebound by D. Schroder
1:37.0,,,47-60,,A. Horford misses 2-pt shot at rim
1:37.0,,,47-60,,Offensive rebound by A. Horford
1:37.0,,,47-60,,P. Millsap misses 2-pt shot from 1 ft
1:36.0,,,47-60,,Offensive rebound by A. Horford
1:36.0,,,47-62,2,A. Horford makes 2-pt shot at rim
1:36.0,Chicago full timeout,,47-62,,
1:19.0,Shooting foul by K. Bazemore (drawn by J. Butler),,47-62,,
1:19.0,J. Butler makes free throw 1 of 2,1,48-62,,
1:19.0,J. Butler makes free throw 2 of 2,1,49-62,,
1:10.0,,,49-64,2,K. Korver makes 2-pt shot from 21 ft (assist by A. Horford)
0:50.0,D. McDermott misses 3-pt shot from 22 ft (block by K. Korver),,49-64,,
0:48.0,Offensive rebound by D. Rose,,49-64,,
0:46.0,Turnover by P. Gasol (3 sec),,49-64,,
0:46.0,T. Snell enters the game for J. Butler,,49-64,,
0:46.0,,,49-64,,J. Holiday enters the game for K. Bazemore
0:30.0,,,49-64,,A. Horford misses 2-pt shot from 1 ft (block by N. Mirotic)
0:28.0,Defensive rebound by P. Gasol,,49-64,,
0:08.0,T. Snell makes 2-pt shot from 14 ft,2,51-64,,
0:02.0,,,51-64,,P. Millsap misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by D. McDermott,,51-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,D. Rose misses 2-pt shot from 1 ft,,51-64,,
11:47.0,Offensive rebound by P. Gasol,,51-64,,
11:46.0,P. Gasol misses 2-pt shot at rim (block by P. Millsap),,51-64,,
11:43.0,,,51-64,,Defensive rebound by A. Horford
11:34.0,,,51-64,,Turnover by K. Korver (palming)
11:21.0,J. Butler makes 2-pt shot at rim,2,53-64,,
11:08.0,,,53-64,,Shooting foul by N. Mirotic (drawn by K. Bazemore)
11:08.0,,,53-65,1,K. Bazemore makes free throw 1 of 2
11:08.0,,,53-66,1,K. Bazemore makes free throw 2 of 2
10:58.0,P. Gasol misses 2-pt shot from 19 ft,,53-66,,
10:56.0,,,53-66,,Defensive rebound by K. Bazemore
10:49.0,,,53-66,,K. Bazemore misses 2-pt shot at rim
10:48.0,Defensive rebound by P. Gasol,,53-66,,
10:42.0,,,53-66,,Personal foul by K. Bazemore (drawn by J. Butler)
10:36.0,Shooting foul by P. Millsap (drawn by N. Mirotic),,53-66,,
10:36.0,N. Mirotic makes free throw 1 of 2,1,54-66,,
10:36.0,N. Mirotic makes free throw 2 of 2,1,55-66,,
10:18.0,,,55-66,,P. Millsap misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by Team,,55-66,,
10:03.0,N. Mirotic makes 3-pt shot from 24 ft (assist by P. Gasol),3,58-66,,
9:51.0,,,58-66,,K. Korver misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by T. Gibson,,58-66,,
9:35.0,P. Gasol makes 2-pt shot from 5 ft,2,60-66,,
9:34.0,,,60-66,,Atlanta full timeout
9:20.0,,,60-68,2,A. Horford makes 2-pt shot from 2 ft
9:10.0,,,60-68,,Personal foul by K. Bazemore (drawn by J. Butler)
9:10.0,,,60-68,,T. Splitter enters the game for K. Bazemore
9:02.0,Turnover by D. Rose (bad pass; steal by T. Splitter),,60-68,,
8:58.0,,,60-68,,Turnover by K. Korver (traveling)
8:40.0,N. Mirotic misses 2-pt shot from 2 ft (block by P. Millsap),,60-68,,
8:38.0,,,60-68,,Defensive rebound by P. Millsap
8:34.0,,,60-68,,K. Korver misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by N. Mirotic,,60-68,,
8:24.0,T. Gibson misses 2-pt shot from 16 ft,,60-68,,
8:23.0,,,60-68,,Defensive rebound by K. Korver
8:12.0,,,60-70,2,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford)
8:01.0,D. Rose makes 2-pt shot from 20 ft,2,62-70,,
7:40.0,,,62-73,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
7:25.0,Turnover by J. Butler (bad pass),,62-73,,
7:15.0,,,62-75,2,P. Millsap makes 2-pt shot from 8 ft (assist by J. Teague)
7:14.0,Chicago full timeout,,62-75,,
7:14.0,T. Snell enters the game for N. Mirotic,,62-75,,
7:04.0,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose),3,65-75,,
6:50.0,,,65-75,,P. Millsap misses 2-pt shot from 6 ft
6:48.0,Jump ball: T. Gibson vs. P. Millsap (A. Horford gains possession),,,,Jump ball: T. Gibson vs. P. Millsap (A. Horford gains possession)
6:48.0,,,65-75,,Offensive rebound by Team
6:34.0,,,65-75,,A. Horford misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by T. Snell,,65-75,,
6:29.0,Shooting foul by K. Korver (drawn by J. Butler),,65-75,,
6:29.0,J. Butler makes free throw 1 of 2,1,66-75,,
6:29.0,J. Butler misses free throw 2 of 2,,66-75,,
6:28.0,,,66-75,,Defensive rebound by A. Horford
6:16.0,,,66-75,,Turnover by P. Millsap (bad pass)
6:01.0,Turnover by J. Butler (bad pass),,66-75,,
5:45.0,,,66-75,,T. Splitter misses 3-pt shot from 23 ft
5:44.0,Defensive rebound by D. Rose,,66-75,,
5:37.0,Turnover by D. Rose (bad pass),,66-75,,
5:29.0,,,66-75,,Turnover by K. Korver (lost ball; steal by D. Rose)
5:26.0,Shooting foul by K. Korver (drawn by D. Rose),,66-75,,
5:26.0,D. Rose makes free throw 1 of 2,1,67-75,,
5:26.0,N. Mirotic enters the game for T. Gibson,,67-75,,
5:26.0,D. Rose makes free throw 2 of 2,1,68-75,,
5:18.0,,,68-75,,T. Splitter misses 2-pt shot at rim (block by D. Rose)
5:18.0,,,68-75,,Offensive rebound by Team
5:02.0,,,68-75,,J. Teague misses 2-pt shot from 11 ft
4:59.0,Defensive rebound by J. Butler,,68-75,,
4:55.0,T. Snell misses 2-pt shot at rim,,68-75,,
4:52.0,Offensive rebound by J. Butler,,68-75,,
4:52.0,J. Butler makes 2-pt shot at rim,2,70-75,,
4:45.0,,,70-75,,J. Teague misses 2-pt shot from 5 ft
4:45.0,Defensive rebound by Team,,70-75,,
4:35.0,D. Rose makes 2-pt shot from 1 ft,2,72-75,,
4:20.0,Violation by N. Mirotic (kicked ball),,72-75,,
4:20.0,,,72-75,,T. Hardaway enters the game for A. Horford
4:11.0,,,72-75,,Shooting foul by J. Butler (drawn by T. Splitter)
4:11.0,,,72-76,1,T. Splitter makes free throw 1 of 2
4:11.0,,,72-76,,J. Holiday enters the game for K. Korver
4:11.0,,,72-76,,D. Schroder enters the game for J. Teague
4:11.0,,,72-77,1,T. Splitter makes free throw 2 of 2
3:56.0,N. Mirotic misses 2-pt shot from 7 ft,,72-77,,
3:56.0,Offensive rebound by Team,,72-77,,
3:56.0,,,72-77,,Loose ball foul by T. Hardaway (drawn by P. Gasol)
3:56.0,P. Gasol makes free throw 1 of 2,1,73-77,,
3:56.0,P. Gasol misses free throw 2 of 2,,73-77,,
3:55.0,,,73-77,,Defensive rebound by J. Holiday
3:41.0,,,73-77,,P. Millsap misses 2-pt shot from 16 ft
3:38.0,Defensive rebound by P. Gasol,,73-77,,
3:38.0,,,73-77,,Personal foul by P. Millsap (drawn by D. Rose)
3:38.0,D. Rose makes free throw 1 of 2,1,74-77,,
3:38.0,,,74-77,,M. Scott enters the game for T. Splitter
3:38.0,T. Gibson enters the game for P. Gasol,,74-77,,
3:38.0,D. Rose makes free throw 2 of 2,1,75-77,,
3:26.0,,,75-80,3,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap)
3:13.0,D. Rose misses 2-pt shot from 1 ft (block by D. Schroder),,75-80,,
3:13.0,Offensive rebound by Team,,75-80,,
3:05.0,J. Butler makes 2-pt shot from 3 ft,2,77-80,,
2:39.0,,,77-80,,T. Hardaway misses 2-pt shot from 1 ft
2:39.0,,,77-80,,Offensive rebound by Team
2:39.0,,,77-80,,Turnover by Team (shot clock)
2:28.0,D. Rose misses 2-pt shot from 2 ft,,77-80,,
2:28.0,Offensive rebound by J. Butler,,77-80,,
2:28.0,Turnover by T. Gibson (offensive goaltending),,77-80,,
2:28.0,,,77-80,,A. Horford enters the game for P. Millsap
2:15.0,,,77-82,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder)
2:00.0,J. Butler makes 2-pt shot from 1 ft,2,79-82,,
1:54.0,Violation by N. Mirotic (kicked ball),,79-82,,
1:50.0,,,79-82,,Turnover by D. Schroder (bad pass; steal by T. Snell)
1:45.0,Turnover by T. Snell (lost ball; steal by T. Hardaway),,79-82,,
1:41.0,,,79-84,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
1:27.0,N. Mirotic makes 2-pt shot at rim (assist by J. Butler),2,81-84,,
1:09.0,,,81-84,,D. Schroder misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by T. Gibson,,81-84,,
0:56.0,J. Butler misses 2-pt shot from 1 ft (block by A. Horford),,81-84,,
0:56.0,Offensive rebound by Team,,81-84,,
0:56.0,,,81-84,,K. Bazemore enters the game for J. Holiday
0:53.0,J. Butler misses 2-pt shot from 17 ft,,81-84,,
0:51.0,,,81-84,,Defensive rebound by A. Horford
0:35.0,,,81-84,,Shooting foul by D. Rose (drawn by D. Schroder)
0:35.0,,,81-86,2,D. Schroder makes 2-pt shot at rim
0:35.0,,,81-86,,J. Holiday enters the game for K. Bazemore
0:35.0,,,81-87,1,D. Schroder makes free throw 1 of 1
0:24.0,Shooting foul by J. Holiday (drawn by J. Butler),,81-87,,
0:24.0,J. Butler makes free throw 1 of 2,1,82-87,,
0:24.0,,,82-87,,K. Korver enters the game for J. Holiday
0:24.0,J. Butler makes free throw 2 of 2,1,83-87,,
0:03.0,,,83-87,,T. Hardaway misses 3-pt shot from 22 ft
0:02.0,,,83-87,,Offensive rebound by M. Scott
0:02.0,,,83-89,2,M. Scott makes 2-pt shot at rim
0:00.0,J. Butler misses 3-pt shot from 50 ft,,83-89,,
0:00.0,Offensive rebound by Team,,83-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-91,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder)
11:49.0,,,83-91,,Shooting foul by T. Gibson (drawn by A. Horford)
11:49.0,,,83-92,1,A. Horford makes free throw 1 of 1
11:37.0,D. Rose misses 2-pt shot from 2 ft,,83-92,,
11:35.0,,,83-92,,Defensive rebound by T. Hardaway
11:28.0,,,83-92,,D. Schroder misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by N. Mirotic,,83-92,,
11:21.0,D. Rose misses 2-pt shot from 1 ft,,83-92,,
11:20.0,,,83-92,,Defensive rebound by A. Horford
11:15.0,,,83-94,2,M. Scott makes 2-pt shot at rim (assist by A. Horford)
11:14.0,Chicago full timeout,,83-94,,
11:14.0,P. Gasol enters the game for T. Gibson,,83-94,,
11:14.0,E. Moore enters the game for D. Rose,,83-94,,
11:14.0,J. Butler enters the game for T. Snell,,83-94,,
11:06.0,,,83-94,,Personal foul by D. Schroder (drawn by J. Butler)
11:06.0,,,83-94,,K. Bazemore enters the game for T. Hardaway
11:02.0,J. Butler misses 2-pt shot from 1 ft,,83-94,,
11:02.0,Offensive rebound by J. Butler,,83-94,,
11:02.0,Shooting foul by M. Scott (drawn by J. Butler),,83-94,,
11:02.0,J. Butler makes free throw 1 of 2,1,84-94,,
11:02.0,J. Butler makes free throw 2 of 2,1,85-94,,
10:47.0,,,85-96,2,K. Bazemore makes 2-pt shot from 1 ft (assist by M. Scott)
10:34.0,N. Mirotic misses 3-pt shot from 24 ft,,85-96,,
10:32.0,,,85-96,,Defensive rebound by K. Korver
10:19.0,,,85-98,2,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder)
10:04.0,Turnover by J. Butler (lost ball; steal by K. Bazemore),,85-98,,
9:59.0,,,85-100,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
9:57.0,Chicago full timeout,,85-100,,
9:37.0,N. Mirotic misses 2-pt shot from 1 ft (block by A. Horford),,85-100,,
9:34.0,,,85-100,,Defensive rebound by M. Scott
9:20.0,,,85-102,2,D. Schroder makes 2-pt shot from 20 ft
9:09.0,Shooting foul by D. Schroder (drawn by E. Moore),,85-102,,
9:09.0,E. Moore makes free throw 1 of 2,1,86-102,,
9:09.0,E. Moore makes free throw 2 of 2,1,87-102,,
8:48.0,,,87-102,,K. Bazemore misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by P. Gasol,,87-102,,
8:32.0,D. McDermott makes 2-pt shot from 10 ft (assist by P. Gasol),2,89-102,,
8:14.0,,,89-102,,D. Schroder misses 2-pt shot at rim (block by P. Gasol)
8:12.0,Defensive rebound by J. Butler,,89-102,,
8:06.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,91-102,,
8:05.0,,,91-102,,Atlanta full timeout
8:05.0,,,91-102,,J. Teague enters the game for D. Schroder
8:05.0,,,91-102,,P. Millsap enters the game for M. Scott
7:51.0,,,91-104,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
7:29.0,Shooting foul by A. Horford (drawn by P. Gasol),,91-104,,
7:29.0,P. Gasol makes 2-pt shot from 6 ft,2,93-104,,
7:29.0,P. Gasol makes free throw 1 of 1,1,94-104,,
7:17.0,,,94-104,,K. Bazemore misses 2-pt shot from 3 ft (block by N. Mirotic)
7:14.0,,,94-104,,Offensive rebound by K. Bazemore
7:14.0,,,94-106,2,K. Bazemore makes 2-pt shot from 2 ft
6:53.0,P. Gasol misses 2-pt shot from 12 ft,,94-106,,
6:51.0,,,94-106,,Defensive rebound by P. Millsap
6:40.0,,,94-106,,K. Bazemore misses 3-pt shot from 24 ft
6:38.0,,,94-106,,Offensive rebound by A. Horford
6:38.0,D. Rose enters the game for E. Moore,,94-106,,
6:38.0,Jump ball: D. McDermott vs. P. Millsap (K. Korver gains possession),,,,Jump ball: D. McDermott vs. P. Millsap (K. Korver gains possession)
6:23.0,,,94-106,,K. Korver misses 3-pt shot from 24 ft
