time,Portland,pts.away,score,pts.home,Sacramento
8:22.0,Defensive rebound by C. McCollum,,39-35,,
8:14.0,,,39-35,,Personal foul by D. Collison (drawn by M. Harkless)
8:03.0,G. Henderson misses 3-pt shot from 24 ft,,39-35,,
8:03.0,,,39-35,,Defensive rebound by D. Collison
7:53.0,,,39-37,2,D. Collison makes 2-pt shot from 20 ft
7:39.0,C. McCollum misses 2-pt shot from 14 ft,,39-37,,
7:38.0,,,39-37,,Defensive rebound by R. Gay
7:38.0,,,39-37,,Offensive foul by B. McLemore
7:38.0,,,39-37,,Turnover by B. McLemore (offensive foul)
7:19.0,M. Harkless misses 3-pt shot from 24 ft,,39-37,,
7:19.0,,,39-37,,Defensive rebound by R. Gay
7:15.0,,,39-37,,Offensive foul by K. Koufos
7:15.0,,,39-37,,Turnover by K. Koufos (offensive foul)
7:15.0,,,39-37,,D. Cousins enters the game for K. Koufos
7:03.0,Shooting foul by R. Gay (drawn by C. McCollum),,39-37,,
7:03.0,C. McCollum makes free throw 1 of 2,1,40-37,,
7:03.0,C. McCollum makes free throw 2 of 2,1,41-37,,
6:56.0,Personal foul by M. Leonard (drawn by D. Cousins),,41-37,,
6:44.0,,,41-37,,R. Gay misses 2-pt shot from 20 ft
6:43.0,Defensive rebound by C. McCollum,,41-37,,
6:31.0,Turnover by G. Henderson (lost ball),,41-37,,
6:31.0,,,41-37,,O. Casspi enters the game for M. Belinelli
6:17.0,,,41-39,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
5:57.0,M. Leonard misses 3-pt shot from 24 ft,,41-39,,
5:56.0,,,41-39,,Defensive rebound by O. Casspi
5:44.0,,,41-39,,D. Cousins misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by M. Leonard,,41-39,,
5:33.0,G. Henderson misses 2-pt shot from 2 ft (block by O. Casspi),,41-39,,
5:31.0,,,41-39,,Defensive rebound by O. Casspi
5:26.0,,,41-39,,D. Collison misses 2-pt shot from 6 ft
5:25.0,Defensive rebound by M. Harkless,,41-39,,
5:15.0,Shooting foul by R. Gay (drawn by T. Frazier),,41-39,,
5:15.0,,,41-39,,Sacramento full timeout
5:15.0,,,41-39,,R. Rondo enters the game for B. McLemore
5:15.0,A. Aminu enters the game for M. Leonard,,41-39,,
5:15.0,M. Plumlee enters the game for G. Henderson,,41-39,,
5:15.0,T. Frazier makes free throw 1 of 2,1,42-39,,
5:15.0,T. Frazier makes free throw 2 of 2,1,43-39,,
5:02.0,,,43-41,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
4:32.0,T. Frazier makes 2-pt shot from 6 ft,2,45-41,,
4:12.0,,,45-41,,R. Gay misses 2-pt shot from 15 ft
4:11.0,Defensive rebound by A. Aminu,,45-41,,
4:07.0,Turnover by M. Plumlee (offensive foul),,45-41,,
4:07.0,Offensive charge foul by M. Plumlee,,45-41,,
4:07.0,,,45-41,,S. Curry enters the game for R. Gay
3:54.0,,,45-41,,Turnover by D. Collison (lost ball; steal by C. McCollum)
3:49.0,Shooting foul by O. Casspi (drawn by M. Plumlee),,45-41,,
3:49.0,M. Plumlee misses free throw 1 of 2,,45-41,,
3:49.0,Offensive rebound by Team,,45-41,,
3:49.0,M. Plumlee makes free throw 2 of 2,1,46-41,,
3:36.0,,,46-41,,S. Curry misses 2-pt shot from 20 ft
3:35.0,Defensive rebound by A. Aminu,,46-41,,
3:26.0,Turnover by M. Harkless (lost ball; steal by R. Rondo),,46-41,,
3:18.0,,,46-44,3,O. Casspi makes 3-pt shot from 23 ft (assist by R. Rondo)
3:08.0,Portland full timeout,,46-44,,
2:55.0,M. Plumlee misses 2-pt shot from 3 ft,,46-44,,
2:52.0,,,46-44,,Defensive rebound by D. Cousins
2:38.0,,,46-44,,Shooting foul by M. Plumlee (drawn by D. Cousins)
2:38.0,,,46-45,1,D. Cousins makes free throw 1 of 2
2:38.0,,,46-46,1,D. Cousins makes free throw 2 of 2
2:23.0,T. Frazier misses 2-pt shot from 5 ft,,46-46,,
2:22.0,,,46-46,,Defensive rebound by O. Casspi
2:06.0,,,46-46,,Turnover by S. Curry (bad pass; steal by C. McCollum)
1:59.0,,,46-46,,Personal foul by S. Curry (drawn by A. Aminu)
1:59.0,A. Aminu misses free throw 1 of 2,,46-46,,
1:59.0,Offensive rebound by Team,,46-46,,
1:59.0,A. Crabbe enters the game for T. Frazier,,46-46,,
1:59.0,A. Aminu makes free throw 2 of 2,1,47-46,,
1:48.0,,,47-46,,D. Cousins misses 2-pt shot from 4 ft
1:46.0,Defensive rebound by A. Crabbe,,47-46,,
1:33.0,C. McCollum makes 2-pt shot from 10 ft,2,49-46,,
1:24.0,,,49-46,,Shooting foul by M. Plumlee (drawn by D. Cousins)
1:24.0,,,49-47,1,D. Cousins makes free throw 1 of 2
1:24.0,,,49-47,,M. Belinelli enters the game for D. Collison
1:24.0,M. Leonard enters the game for M. Plumlee,,49-47,,
1:24.0,,,49-48,1,D. Cousins makes free throw 2 of 2
1:06.0,C. McCollum misses 3-pt shot from 26 ft,,49-48,,
1:05.0,,,49-48,,Defensive rebound by O. Casspi
0:57.0,,,49-48,,Turnover by R. Rondo (bad pass; steal by A. Aminu)
0:53.0,Turnover by A. Aminu (lost ball; steal by S. Curry),,49-48,,
0:53.0,Personal foul by C. McCollum (drawn by S. Curry),,49-48,,
0:53.0,,,49-49,1,S. Curry makes free throw 1 of 2
0:53.0,,,49-49,,S. Curry misses free throw 2 of 2
0:53.0,,,49-49,,Offensive rebound by Team
0:53.0,Loose ball foul by M. Leonard (drawn by D. Cousins),,49-49,,
0:53.0,,,49-50,1,D. Cousins makes free throw 1 of 2
0:53.0,,,49-51,1,D. Cousins makes free throw 2 of 2
0:29.0,A. Aminu misses 3-pt shot from 24 ft,,49-51,,
0:28.0,,,49-51,,Defensive rebound by R. Rondo
0:26.0,,,49-51,,Turnover by R. Rondo (lost ball; steal by C. McCollum)
0:25.0,Portland full timeout,,49-51,,
0:05.0,C. McCollum misses 3-pt shot from 26 ft,,49-51,,
0:05.0,,,49-51,,Defensive rebound by Team
0:05.0,,,49-51,,Sacramento full timeout
0:05.0,T. Frazier enters the game for A. Crabbe,,49-51,,
0:00.0,,,49-51,,D. Cousins misses 2-pt shot from 6 ft (block by M. Harkless)
0:00.0,,,49-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Aminu misses 3-pt shot from 23 ft,,49-51,,
11:44.0,,,49-51,,Defensive rebound by Team
11:28.0,,,49-51,,R. Gay misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by M. Plumlee,,49-51,,
11:12.0,A. Crabbe makes 2-pt shot from 23 ft (assist by M. Plumlee),2,51-51,,
11:02.0,,,51-51,,Shooting foul by A. Crabbe (drawn by B. McLemore)
11:02.0,,,51-52,1,B. McLemore makes free throw 1 of 2
11:02.0,,,51-53,1,B. McLemore makes free throw 2 of 2
10:43.0,M. Plumlee makes 2-pt shot from 3 ft (assist by C. McCollum),2,53-53,,
10:31.0,,,53-53,,R. Rondo misses 2-pt shot from 3 ft (block by M. Plumlee)
10:29.0,Defensive rebound by C. McCollum,,53-53,,
10:26.0,Offensive charge foul by A. Aminu,,53-53,,
10:26.0,Turnover by A. Aminu (offensive foul),,53-53,,
10:16.0,,,53-53,,Shooting foul by A. Aminu (drawn by D. Cousins)
10:16.0,,,53-54,1,D. Cousins makes free throw 1 of 2
10:16.0,,,53-54,,D. Cousins misses free throw 2 of 2
10:14.0,Defensive rebound by C. McCollum,,53-54,,
10:03.0,A. Crabbe misses 2-pt shot from 19 ft,,53-54,,
10:02.0,Offensive rebound by N. Vonleh,,53-54,,
10:00.0,N. Vonleh misses 2-pt shot from 2 ft,,53-54,,
9:59.0,,,53-54,,Defensive rebound by R. Gay
9:47.0,,,53-54,,R. Gay misses 2-pt shot from 3 ft
9:46.0,,,53-54,,Offensive rebound by D. Cousins
9:46.0,,,53-56,2,D. Cousins makes 2-pt shot from 2 ft
9:29.0,Shooting foul by D. Cousins (drawn by M. Plumlee),,53-56,,
9:29.0,M. Plumlee misses free throw 1 of 2,,53-56,,
9:29.0,Offensive rebound by Team,,53-56,,
9:29.0,M. Plumlee makes free throw 2 of 2,1,54-56,,
9:20.0,Shooting block foul by M. Plumlee (drawn by D. Cousins),,54-56,,
9:20.0,,,54-57,1,D. Cousins makes free throw 1 of 2
9:20.0,,,54-57,,D. Cousins misses free throw 2 of 2
9:20.0,Defensive rebound by M. Plumlee,,54-57,,
9:07.0,A. Crabbe misses 3-pt shot from 24 ft,,54-57,,
9:06.0,,,54-57,,Defensive rebound by O. Casspi
8:58.0,,,54-59,2,D. Cousins makes 2-pt shot from 17 ft (assist by R. Rondo)
8:48.0,C. McCollum makes 2-pt shot from 15 ft,2,56-59,,
8:28.0,,,56-59,,R. Gay misses 2-pt shot from 16 ft
8:28.0,Defensive rebound by A. Crabbe,,56-59,,
8:19.0,C. McCollum misses 3-pt shot from 24 ft,,56-59,,
8:19.0,Offensive rebound by C. McCollum,,56-59,,
8:14.0,A. Aminu makes 2-pt shot from 3 ft (assist by C. McCollum),2,58-59,,
8:07.0,,,58-59,,Turnover by D. Cousins (traveling)
7:50.0,Turnover by A. Crabbe (bad pass),,58-59,,
7:36.0,,,58-61,2,D. Cousins makes 2-pt shot from 7 ft (assist by R. Rondo)
7:26.0,C. McCollum makes 2-pt shot from 19 ft,2,60-61,,
7:02.0,,,60-61,,D. Cousins misses 3-pt shot from 25 ft
7:01.0,,,60-61,,Offensive rebound by Team
7:01.0,,,60-61,,Turnover by Team (shot clock)
6:49.0,Turnover by A. Aminu (traveling),,60-61,,
6:33.0,,,60-64,3,O. Casspi makes 3-pt shot from 24 ft
6:14.0,C. McCollum misses 2-pt shot from 20 ft,,60-64,,
6:13.0,Offensive rebound by M. Plumlee,,60-64,,
6:03.0,A. Crabbe misses 3-pt shot from 25 ft,,60-64,,
6:02.0,Offensive rebound by N. Vonleh,,60-64,,
6:02.0,N. Vonleh makes 2-pt shot at rim,2,62-64,,
5:51.0,,,62-64,,D. Cousins misses 2-pt shot from 3 ft
5:50.0,Defensive rebound by N. Vonleh,,62-64,,
5:41.0,Turnover by M. Plumlee (bad pass; steal by D. Cousins),,62-64,,
5:41.0,Flagrant foul type 1 by M. Plumlee (drawn by R. Gay),,62-64,,
5:41.0,,,62-64,,Sacramento full timeout
5:41.0,,,62-65,1,R. Gay makes flagrant free throw 1 of 2
5:41.0,,,62-66,1,R. Gay makes flagrant free throw 2 of 2
5:41.0,M. Harkless enters the game for N. Vonleh,,62-66,,
5:41.0,M. Leonard enters the game for M. Plumlee,,62-66,,
5:25.0,,,62-66,,R. Rondo misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by C. McCollum,,62-66,,
5:20.0,M. Harkless makes 2-pt shot at rim (assist by C. McCollum),2,64-66,,
5:02.0,,,64-69,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
4:47.0,Turnover by M. Leonard (bad pass; steal by R. Rondo),,64-69,,
4:43.0,,,64-69,,Shooting foul by M. Harkless (drawn by O. Casspi)
4:43.0,,,64-70,1,O. Casspi makes free throw 1 of 2
4:43.0,,,64-70,,M. Belinelli enters the game for R. Gay
4:43.0,,,64-70,,O. Casspi misses free throw 2 of 2
4:40.0,Defensive rebound by C. McCollum,,64-70,,
4:35.0,C. McCollum misses 2-pt shot from 4 ft,,64-70,,
4:34.0,Offensive rebound by M. Harkless,,64-70,,
4:33.0,M. Harkless makes 2-pt shot from 3 ft,2,66-70,,
4:26.0,,,66-70,,Shooting foul by M. Leonard (drawn by M. Belinelli)
4:26.0,,,66-71,1,M. Belinelli makes free throw 1 of 3
4:26.0,,,66-72,1,M. Belinelli makes free throw 2 of 3
4:26.0,,,66-73,1,M. Belinelli makes free throw 3 of 3
4:08.0,M. Leonard makes 3-pt shot from 25 ft (assist by C. McCollum),3,69-73,,
3:54.0,,,69-73,,Turnover by R. Rondo (bad pass; steal by M. Harkless)
3:45.0,,,69-73,,Personal foul by O. Casspi (drawn by M. Leonard)
3:45.0,,,69-73,,D. Collison enters the game for B. McLemore
3:38.0,A. Aminu misses 2-pt shot from 7 ft,,69-73,,
3:38.0,,,69-73,,Defensive rebound by O. Casspi
3:27.0,,,69-73,,O. Casspi misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by M. Leonard,,69-73,,
3:16.0,A. Aminu makes 2-pt shot at rim (assist by C. McCollum),2,71-73,,
3:15.0,,,71-73,,Sacramento full timeout
3:15.0,,,71-73,,K. Koufos enters the game for D. Cousins
3:15.0,G. Henderson enters the game for A. Aminu,,71-73,,
3:04.0,,,71-76,3,M. Belinelli makes 3-pt shot from 26 ft (assist by R. Rondo)
2:45.0,Offensive foul by M. Leonard,,71-76,,
2:45.0,Turnover by M. Leonard (offensive foul),,71-76,,
2:45.0,T. Frazier enters the game for A. Crabbe,,71-76,,
2:24.0,Violation by M. Leonard (kicked ball),,71-76,,
2:17.0,,,71-76,,M. Belinelli misses 2-pt shot from 20 ft
2:16.0,Defensive rebound by M. Harkless,,71-76,,
2:06.0,C. McCollum makes 2-pt shot from 6 ft,2,73-76,,
1:51.0,,,73-76,,Turnover by R. Rondo (bad pass)
1:46.0,,,73-76,,Personal foul by D. Collison (drawn by C. McCollum)
1:33.0,C. McCollum makes 2-pt shot from 19 ft,2,75-76,,
1:14.0,,,75-78,2,K. Koufos makes 2-pt shot from 7 ft (assist by R. Rondo)
0:58.0,G. Henderson misses 3-pt shot from 23 ft,,75-78,,
0:57.0,,,75-78,,Defensive rebound by R. Rondo
0:49.0,,,75-78,,Turnover by R. Rondo (bad pass; steal by M. Harkless)
0:44.0,T. Frazier makes 2-pt shot from 2 ft (assist by C. McCollum),2,77-78,,
0:34.0,,,77-80,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
0:12.0,Turnover by C. McCollum (bad pass; steal by M. Belinelli),,77-80,,
0:06.0,,,77-80,,D. Collison misses 2-pt shot from 3 ft (block by G. Henderson)
0:05.0,Defensive rebound by C. McCollum,,77-80,,
0:02.0,C. McCollum makes 2-pt shot from 14 ft,2,79-80,,
0:02.0,Shooting foul by K. Koufos (drawn by C. McCollum),,79-80,,
0:02.0,C. McCollum makes free throw 1 of 1,1,80-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-80,,R. Gay misses 2-pt shot from 19 ft
11:45.0,Defensive rebound by T. Frazier,,80-80,,
11:30.0,Turnover by C. McCollum (bad pass; steal by D. Collison),,80-80,,
11:27.0,,,80-80,,Shooting foul by T. Frazier (drawn by D. Collison)
11:27.0,,,80-81,1,D. Collison makes free throw 1 of 2
11:27.0,A. Crabbe enters the game for C. McCollum,,80-81,,
11:27.0,,,80-82,1,D. Collison makes free throw 2 of 2
11:09.0,A. Crabbe misses 2-pt shot from 15 ft,,80-82,,
11:07.0,,,80-82,,Defensive rebound by R. Gay
10:44.0,,,80-82,,D. Collison misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by G. Henderson,,80-82,,
10:24.0,M. Leonard makes 3-pt shot from 24 ft (assist by A. Crabbe),3,83-82,,
10:12.0,,,83-82,,M. Belinelli misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by T. Frazier,,83-82,,
10:08.0,,,83-82,,Personal foul by R. Gay (drawn by M. Harkless)
9:46.0,M. Harkless misses 3-pt shot from 24 ft,,83-82,,
9:45.0,,,83-82,,Defensive rebound by K. Koufos
9:43.0,,,83-82,,Shooting foul by A. Crabbe (drawn by D. Collison)
9:43.0,,,83-83,1,D. Collison makes free throw 1 of 2
9:43.0,,,83-83,,D. Cousins enters the game for K. Koufos
9:43.0,,,83-84,1,D. Collison makes free throw 2 of 2
9:34.0,Turnover by T. Frazier (lost ball; steal by D. Collison),,83-84,,
9:30.0,,,83-84,,Turnover by R. Gay (lost ball)
9:15.0,Jump ball: D. Collison vs. T. Frazier (M. Leonard gains possession),,,,Jump ball: D. Collison vs. T. Frazier (M. Leonard gains possession)
9:09.0,M. Harkless makes 2-pt shot at rim (assist by M. Leonard),2,85-84,,
8:51.0,Personal foul by A. Crabbe (drawn by D. Cousins),,85-84,,
8:51.0,Official timeout,,85-84,,
8:42.0,,,85-84,,D. Collison misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by M. Harkless,,85-84,,
8:33.0,,,85-84,,Personal foul by D. Cousins (drawn by M. Leonard)
8:33.0,C. McCollum enters the game for A. Crabbe,,85-84,,
8:17.0,C. McCollum misses 3-pt shot from 23 ft,,85-84,,
8:17.0,,,85-84,,Defensive rebound by Team
8:05.0,,,85-84,,S. Curry misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by M. Leonard,,85-84,,
7:52.0,M. Leonard misses 3-pt shot from 25 ft,,85-84,,
7:51.0,,,85-84,,Defensive rebound by S. Curry
7:39.0,,,85-84,,D. Cousins misses 2-pt shot from 6 ft
7:39.0,Defensive rebound by M. Leonard,,85-84,,
7:30.0,T. Frazier makes 2-pt shot from 4 ft (assist by C. McCollum),2,87-84,,
7:15.0,,,87-84,,Shooting foul by M. Harkless (drawn by R. Gay)
7:15.0,,,87-84,,R. Gay misses free throw 1 of 2
7:15.0,,,87-84,,Offensive rebound by Team
7:15.0,,,87-84,,R. Rondo enters the game for M. Belinelli
7:15.0,,,87-84,,O. Casspi enters the game for S. Curry
7:15.0,,,87-85,1,R. Gay makes free throw 2 of 2
6:49.0,C. McCollum misses 2-pt shot from 19 ft,,87-85,,
6:48.0,,,87-85,,Defensive rebound by O. Casspi
6:33.0,,,87-85,,Turnover by R. Rondo (bad pass; steal by C. McCollum)
6:32.0,,,87-85,,Personal foul by O. Casspi (drawn by C. McCollum)
6:14.0,G. Henderson misses 2-pt shot from 17 ft,,87-85,,
6:14.0,Offensive rebound by C. McCollum,,87-85,,
6:09.0,C. McCollum misses 3-pt shot from 25 ft,,87-85,,
6:08.0,,,87-85,,Defensive rebound by R. Gay
5:55.0,,,87-85,,O. Casspi misses 2-pt shot from 3 ft
5:55.0,,,87-85,,Offensive rebound by D. Collison
5:55.0,,,87-85,,D. Collison misses 2-pt shot from 1 ft (block by C. McCollum)
5:55.0,,,87-85,,Offensive rebound by Team
5:55.0,,,87-85,,Sacramento full timeout
5:52.0,,,87-85,,R. Gay misses 2-pt shot from 4 ft (block by M. Harkless)
5:51.0,Defensive rebound by T. Frazier,,87-85,,
