time,LA Clippers,pts.away,score,pts.home,San Antonio
2:27.0,C. Paul misses 3-pt shot from 24 ft,,15-16,,
2:26.0,,,15-16,,Defensive rebound by M. Ginobili
2:16.0,,,15-16,,Shooting foul by A. Rivers (drawn by K. Martin)
2:16.0,,,15-17,1,K. Martin makes free throw 1 of 2
2:16.0,,,15-18,1,K. Martin makes free throw 2 of 2
2:07.0,,,15-18,,Personal foul by P. Mills
1:58.0,C. Paul makes 2-pt shot from 14 ft,2,17-18,,
1:39.0,,,17-18,,K. Martin misses 2-pt shot from 9 ft
1:38.0,Defensive rebound by D. Jordan,,17-18,,
1:28.0,C. Paul makes 2-pt shot from 3 ft,2,19-18,,
1:21.0,,,19-18,,San Antonio full timeout
1:21.0,P. Prigioni enters the game for C. Paul,,19-18,,
1:11.0,,,19-18,,D. West misses 2-pt shot from 16 ft
1:10.0,Defensive rebound by Team,,19-18,,
0:58.0,J. Crawford misses 2-pt shot from 9 ft,,19-18,,
0:57.0,Offensive rebound by Team,,19-18,,
0:44.0,,,19-18,,Personal foul by M. Ginobili
0:44.0,J. Crawford makes free throw 1 of 2,1,20-18,,
0:44.0,C. Aldrich enters the game for D. Jordan,,20-18,,
0:44.0,J. Crawford makes free throw 2 of 2,1,21-18,,
0:38.0,Personal foul by J. Crawford,,21-18,,
0:35.0,,,21-18,,Shooting foul by C. Aldrich (drawn by M. Ginobili)
0:35.0,,,21-18,,M. Ginobili misses free throw 1 of 2
0:35.0,,,21-18,,Offensive rebound by Team
0:35.0,,,21-19,1,M. Ginobili makes free throw 2 of 2
0:26.0,J. Crawford misses 3-pt shot from 24 ft,,21-19,,
0:25.0,,,21-19,,Defensive rebound by K. Anderson
0:02.0,,,21-19,,M. Ginobili misses 3-pt shot from 24 ft
0:01.0,,,21-19,,Offensive rebound by K. Anderson
0:00.0,,,21-19,,K. Anderson misses 2-pt shot from 14 ft
0:00.0,,,21-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,21-19,,Turnover by M. Ginobili (lost ball; steal by C. Aldrich)
11:43.0,Shooting foul by K. Anderson (drawn by A. Rivers),,21-19,,
11:43.0,A. Rivers misses free throw 1 of 2,,21-19,,
11:43.0,Offensive rebound by Team,,21-19,,
11:43.0,,,21-19,,D. Green enters the game for M. Ginobili
11:43.0,A. Rivers makes free throw 2 of 2,1,22-19,,
11:26.0,,,22-19,,Turnover by D. Green (step out of bounds)
11:15.0,A. Rivers misses 2-pt shot from 11 ft,,22-19,,
11:14.0,,,22-19,,Defensive rebound by K. Martin
11:09.0,,,22-21,2,K. Martin makes 2-pt shot from 1 ft
10:43.0,C. Aldrich misses 2-pt shot from 14 ft,,22-21,,
10:43.0,Offensive rebound by Team,,22-21,,
10:43.0,Turnover by Team (shot clock),,22-21,,
10:34.0,,,22-23,2,P. Mills makes 2-pt shot from 18 ft
10:17.0,J. Crawford misses 2-pt shot from 19 ft,,22-23,,
10:16.0,,,22-23,,Defensive rebound by K. Anderson
10:10.0,,,22-23,,K. Martin misses 3-pt shot from 24 ft
10:09.0,,,22-23,,Offensive rebound by D. West
10:01.0,,,22-26,3,D. Green makes 3-pt shot from 22 ft (assist by D. West)
9:45.0,Turnover by A. Rivers (bad pass),,22-26,,
9:26.0,,,22-29,3,P. Mills makes 3-pt shot from 24 ft
9:18.0,LA Clippers full timeout,,22-29,,
9:18.0,,,22-29,,T. Duncan enters the game for D. West
9:18.0,,,22-29,,K. Leonard enters the game for K. Martin
9:03.0,J. Crawford misses 2-pt shot from 4 ft (block by K. Anderson),,22-29,,
9:01.0,,,22-29,,Defensive rebound by P. Mills
8:51.0,,,22-31,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
8:37.0,P. Prigioni misses 2-pt shot from 7 ft (block by K. Anderson),,22-31,,
8:37.0,Offensive rebound by Team,,22-31,,
8:37.0,C. Paul enters the game for P. Prigioni,,22-31,,
8:37.0,D. Jordan enters the game for C. Aldrich,,22-31,,
8:32.0,Turnover by D. Jordan (bad pass),,22-31,,
8:19.0,,,22-31,,Turnover by D. Green (lost ball; steal by C. Paul)
7:59.0,C. Paul makes 2-pt shot from 11 ft,2,24-31,,
7:43.0,,,24-31,,K. Anderson misses 2-pt shot from 15 ft
7:42.0,Defensive rebound by C. Paul,,24-31,,
7:40.0,Turnover by C. Paul (bad pass),,24-31,,
7:40.0,,,24-31,,T. Parker enters the game for P. Mills
7:20.0,,,24-33,2,K. Leonard makes 2-pt shot from 3 ft
7:06.0,,,24-33,,Personal foul by K. Anderson
7:06.0,J. Green enters the game for J. Crawford,,24-33,,
7:06.0,L. Mbah a Moute enters the game for W. Johnson,,24-33,,
7:06.0,,,24-33,,L. Aldridge enters the game for K. Anderson
7:06.0,J. Redick enters the game for A. Rivers,,24-33,,
6:49.0,J. Green makes 2-pt shot from 17 ft,2,26-33,,
6:24.0,,,26-35,2,K. Leonard makes 2-pt shot from 12 ft
6:11.0,C. Paul makes 2-pt shot from 13 ft,2,28-35,,
5:51.0,,,28-35,,T. Parker misses 2-pt shot from 5 ft
5:50.0,,,28-35,,Offensive rebound by T. Duncan
5:50.0,,,28-37,2,T. Duncan makes 2-pt shot at rim
5:32.0,J. Green makes 3-pt shot from 23 ft (assist by C. Paul),3,31-37,,
5:32.0,,,31-37,,San Antonio full timeout
5:09.0,,,31-37,,K. Leonard misses 2-pt shot from 15 ft
5:08.0,Defensive rebound by D. Jordan,,31-37,,
4:58.0,Turnover by D. Jordan (lost ball; steal by L. Aldridge),,31-37,,
4:51.0,,,31-39,2,K. Leonard makes 2-pt shot from 13 ft
4:51.0,,,31-39,,Shooting foul by L. Mbah a Moute (drawn by K. Leonard)
4:51.0,,,31-40,1,K. Leonard makes free throw 1 of 1
4:35.0,J. Green misses 3-pt shot from 24 ft,,31-40,,
4:34.0,,,31-40,,Defensive rebound by T. Duncan
4:20.0,,,31-40,,T. Parker misses 3-pt shot from 22 ft
4:19.0,,,31-40,,Offensive rebound by L. Aldridge
4:11.0,,,31-42,2,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan)
3:51.0,J. Redick makes 2-pt shot from 6 ft (assist by C. Paul),2,33-42,,
3:37.0,Def 3 sec tech foul by L. Mbah a Moute,,33-42,,
3:37.0,,,33-43,1,K. Leonard makes technical free throw
3:28.0,Personal foul by L. Mbah a Moute,,33-43,,
3:19.0,,,33-45,2,L. Aldridge makes 2-pt shot from 9 ft (assist by K. Leonard)
3:08.0,D. Jordan makes 2-pt shot from 5 ft (assist by C. Paul),2,35-45,,
2:49.0,,,35-45,,Shooting foul by L. Mbah a Moute (drawn by L. Aldridge)
2:49.0,Official timeout,,35-45,,
2:49.0,,,35-45,,P. Mills enters the game for D. Green
2:49.0,C. Aldrich enters the game for L. Mbah a Moute,,35-45,,
2:49.0,,,35-45,,L. Aldridge misses free throw 1 of 2
2:49.0,,,35-45,,Offensive rebound by Team
2:49.0,,,35-46,1,L. Aldridge makes free throw 2 of 2
2:34.0,Shooting foul by T. Duncan (drawn by D. Jordan),,35-46,,
2:34.0,D. Jordan misses free throw 1 of 2,,35-46,,
2:34.0,Offensive rebound by Team,,35-46,,
2:34.0,D. Jordan misses free throw 2 of 2,,35-46,,
2:33.0,,,35-46,,Defensive rebound by L. Aldridge
2:14.0,,,35-46,,L. Aldridge misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by D. Jordan,,35-46,,
2:02.0,C. Paul makes 2-pt shot from 13 ft,2,37-46,,
1:37.0,,,37-46,,P. Mills misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by C. Aldrich,,37-46,,
1:29.0,,,37-46,,Personal foul by T. Parker
1:29.0,,,37-46,,D. West enters the game for T. Duncan
1:17.0,C. Paul makes 2-pt shot from 16 ft,2,39-46,,
0:59.0,,,39-46,,L. Aldridge misses 2-pt shot from 14 ft
0:58.0,Defensive rebound by C. Aldrich,,39-46,,
0:45.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,41-46,,
0:25.0,,,41-48,2,K. Leonard makes 2-pt shot from 2 ft (assist by P. Mills)
0:19.0,LA Clippers full timeout,,41-48,,
0:19.0,A. Rivers enters the game for D. Jordan,,41-48,,
0:19.0,J. Crawford enters the game for C. Aldrich,,41-48,,
0:19.0,,,41-48,,M. Ginobili enters the game for D. West
0:01.0,A. Rivers makes 3-pt shot from 24 ft (assist by C. Paul),3,44-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,44-48,,K. Leonard misses 2-pt shot from 20 ft
11:45.0,Defensive rebound by Team,,44-48,,
11:31.0,J. Redick misses 2-pt shot from 8 ft,,44-48,,
11:30.0,,,44-48,,Defensive rebound by T. Parker
11:19.0,,,44-50,2,L. Aldridge makes 2-pt shot from 8 ft (assist by T. Parker)
11:00.0,J. Green misses 3-pt shot from 25 ft,,44-50,,
10:59.0,,,44-50,,Defensive rebound by L. Aldridge
10:49.0,,,44-50,,K. Leonard misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by C. Paul,,44-50,,
10:42.0,Shooting foul by K. Leonard (drawn by L. Mbah a Moute),,44-50,,
10:42.0,L. Mbah a Moute misses free throw 1 of 2,,44-50,,
10:42.0,Offensive rebound by Team,,44-50,,
10:42.0,L. Mbah a Moute misses free throw 2 of 2,,44-50,,
10:41.0,,,44-50,,Defensive rebound by T. Duncan
10:33.0,Personal foul by J. Redick,,44-50,,
10:21.0,,,44-50,,L. Aldridge misses 2-pt shot from 18 ft
10:21.0,Defensive rebound by D. Jordan,,44-50,,
10:09.0,Turnover by C. Paul (lost ball; steal by K. Leonard),,44-50,,
9:59.0,,,44-53,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
9:46.0,Shooting foul by L. Aldridge (drawn by L. Mbah a Moute),,44-53,,
9:46.0,L. Mbah a Moute misses free throw 1 of 2,,44-53,,
9:46.0,Offensive rebound by Team,,44-53,,
9:46.0,L. Mbah a Moute misses free throw 2 of 2,,44-53,,
9:44.0,,,44-53,,Defensive rebound by K. Leonard
9:20.0,,,44-53,,D. Green misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by D. Jordan,,44-53,,
9:14.0,Shooting foul by T. Parker (drawn by J. Redick),,44-53,,
9:14.0,J. Redick makes free throw 1 of 2,1,45-53,,
9:14.0,J. Redick makes free throw 2 of 2,1,46-53,,
8:56.0,,,46-53,,K. Leonard misses 3-pt shot from 24 ft (block by J. Green)
8:56.0,,,46-53,,Offensive rebound by Team
8:56.0,,,46-53,,Turnover by T. Parker (bad pass)
8:39.0,C. Paul makes 2-pt shot from 14 ft,2,48-53,,
8:39.0,,,48-53,,San Antonio full timeout
8:17.0,,,48-53,,Offensive charge foul by K. Leonard
8:17.0,,,48-53,,Turnover by K. Leonard (offensive foul)
7:53.0,C. Paul misses 2-pt shot from 20 ft,,48-53,,
7:53.0,Offensive rebound by Team,,48-53,,
7:53.0,Turnover by Team (shot clock),,48-53,,
7:39.0,,,48-53,,T. Parker misses 2-pt shot from 18 ft
7:38.0,Defensive rebound by D. Jordan,,48-53,,
7:27.0,J. Redick makes 2-pt shot at rim,2,50-53,,
7:12.0,Personal foul by J. Green,,50-53,,
7:00.0,,,50-53,,T. Duncan misses 2-pt shot from 3 ft (block by L. Mbah a Moute)
7:00.0,Defensive rebound by D. Jordan,,50-53,,
7:00.0,,,50-53,,Personal foul by T. Duncan
6:46.0,Shooting foul by D. Green (drawn by J. Green),,50-53,,
6:46.0,J. Green makes free throw 1 of 2,1,51-53,,
6:46.0,J. Green makes free throw 2 of 2,1,52-53,,
6:29.0,,,52-53,,L. Aldridge misses 2-pt shot at rim
6:28.0,,,52-53,,Offensive rebound by T. Duncan
6:28.0,,,52-55,2,T. Duncan makes 2-pt shot from 1 ft
6:06.0,,,52-55,,P. Mills enters the game for T. Parker
6:06.0,,,52-55,,M. Ginobili enters the game for D. Green
6:05.0,Turnover by C. Paul (lost ball; steal by K. Leonard),,52-55,,
5:44.0,,,52-58,3,M. Ginobili makes 3-pt shot from 23 ft (assist by T. Duncan)
5:44.0,LA Clippers full timeout,,52-58,,
5:27.0,J. Redick makes 2-pt shot from 20 ft,2,54-58,,
5:09.0,,,54-60,2,K. Leonard makes 2-pt shot from 9 ft (assist by L. Aldridge)
4:42.0,C. Paul misses 3-pt shot from 23 ft,,54-60,,
4:41.0,Offensive rebound by D. Jordan,,54-60,,
4:36.0,D. Jordan makes 2-pt shot from 1 ft,2,56-60,,
4:20.0,,,56-62,2,L. Aldridge makes 2-pt shot from 14 ft
4:04.0,Turnover by J. Redick (lost ball; steal by L. Aldridge),,56-62,,
3:55.0,,,56-62,,Turnover by K. Leonard (lost ball; steal by L. Mbah a Moute)
3:51.0,Turnover by D. Jordan (lost ball; steal by K. Leonard),,56-62,,
3:48.0,,,56-62,,Turnover by K. Leonard (lost ball; steal by C. Paul)
3:47.0,,,56-62,,Personal foul by M. Ginobili
3:47.0,C. Paul makes free throw 1 of 2,1,57-62,,
3:47.0,J. Crawford enters the game for J. Redick,,57-62,,
3:47.0,W. Johnson enters the game for L. Mbah a Moute,,57-62,,
3:47.0,,,57-62,,B. Diaw enters the game for T. Duncan
3:47.0,C. Paul makes free throw 2 of 2,1,58-62,,
3:31.0,,,58-62,,P. Mills misses 3-pt shot from 22 ft
3:30.0,Defensive rebound by J. Crawford,,58-62,,
3:21.0,J. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,61-62,,
3:12.0,Personal foul by J. Green,,61-62,,
3:10.0,Personal foul by J. Crawford,,61-62,,
3:01.0,,,61-64,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
2:50.0,C. Paul misses 2-pt shot from 6 ft,,61-64,,
2:47.0,Offensive rebound by J. Green,,61-64,,
2:32.0,J. Green makes 3-pt shot from 23 ft (assist by W. Johnson),3,64-64,,
2:15.0,A. Rivers enters the game for C. Paul,,64-64,,
2:11.0,,,64-66,2,M. Ginobili makes 2-pt shot from 13 ft (assist by P. Mills)
1:48.0,J. Green misses 2-pt shot from 9 ft,,64-66,,
1:47.0,Offensive rebound by D. Jordan,,64-66,,
1:44.0,D. Jordan makes 2-pt shot at rim,2,66-66,,
1:27.0,,,66-68,2,P. Mills makes 2-pt shot from 18 ft
1:04.0,J. Green makes 2-pt shot from 16 ft,2,68-68,,
0:53.0,Personal foul by J. Green,,68-68,,
0:53.0,,,68-68,,P. Mills misses free throw 1 of 2
0:53.0,,,68-68,,Offensive rebound by Team
0:53.0,,,68-68,,K. Anderson enters the game for K. Leonard
0:53.0,,,68-68,,D. West enters the game for L. Aldridge
0:53.0,P. Prigioni enters the game for J. Green,,68-68,,
0:53.0,,,68-69,1,P. Mills makes free throw 2 of 2
0:41.0,A. Rivers misses 2-pt shot at rim,,68-69,,
0:40.0,,,68-69,,Defensive rebound by P. Mills
0:34.0,,,68-69,,K. Anderson misses 2-pt shot at rim (block by W. Johnson)
0:32.0,Defensive rebound by D. Jordan,,68-69,,
0:17.0,J. Crawford makes 2-pt shot from 19 ft,2,70-69,,
0:00.0,,,70-71,2,K. Anderson makes 2-pt shot from 12 ft (assist by P. Mills)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Crawford misses 2-pt shot from 19 ft,,70-71,,
11:45.0,,,70-71,,Defensive rebound by K. Anderson
11:37.0,,,70-73,2,D. West makes 2-pt shot from 6 ft (assist by M. Ginobili)
11:27.0,,,70-73,,Personal foul by M. Ginobili
11:16.0,W. Johnson misses 2-pt shot from 19 ft,,70-73,,
11:15.0,,,70-73,,Defensive rebound by P. Mills
10:59.0,,,70-76,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
10:35.0,C. Aldrich makes 2-pt shot at rim (assist by J. Crawford),2,72-76,,
10:20.0,,,72-76,,M. Ginobili misses 3-pt shot from 24 ft
10:20.0,,,72-76,,Offensive rebound by D. West
10:15.0,,,72-76,,P. Mills misses 2-pt shot from 11 ft
10:14.0,,,72-76,,Offensive rebound by D. West
10:12.0,,,72-78,2,D. West makes 2-pt shot at rim
9:59.0,W. Johnson misses 3-pt shot from 25 ft,,72-78,,
9:58.0,Offensive rebound by C. Aldrich,,72-78,,
9:58.0,,,72-78,,K. Martin enters the game for K. Anderson
9:58.0,,,72-78,,D. Green enters the game for M. Ginobili
9:51.0,Turnover by A. Rivers (step out of bounds),,72-78,,
9:38.0,,,72-78,,D. West misses 2-pt shot from 6 ft
9:37.0,,,72-78,,Offensive rebound by B. Diaw
9:37.0,,,72-78,,B. Diaw misses 2-pt shot from 1 ft
9:35.0,,,72-78,,Offensive rebound by D. West
9:34.0,,,72-80,2,D. West makes 2-pt shot from 3 ft
9:32.0,LA Clippers full timeout,,72-80,,
9:32.0,D. Jordan enters the game for C. Aldrich,,72-80,,
9:25.0,A. Rivers misses 2-pt shot at rim (block by D. West),,72-80,,
9:23.0,,,72-80,,Defensive rebound by P. Mills
9:17.0,,,72-82,2,P. Mills makes 2-pt shot from 18 ft
8:56.0,J. Crawford misses 3-pt shot from 24 ft,,72-82,,
8:55.0,,,72-82,,Defensive rebound by D. West
8:43.0,,,72-82,,Turnover by B. Diaw (bad pass)
8:43.0,C. Paul enters the game for A. Rivers,,72-82,,
8:43.0,J. Redick enters the game for P. Prigioni,,72-82,,
8:25.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,74-82,,
8:11.0,,,74-84,2,D. West makes 2-pt shot from 16 ft (assist by P. Mills)
7:50.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Crawford),3,77-84,,
7:41.0,Personal foul by C. Paul,,77-84,,
7:41.0,J. Green enters the game for W. Johnson,,77-84,,
7:41.0,,,77-84,,K. Leonard enters the game for K. Martin
7:33.0,,,77-86,2,K. Leonard makes 2-pt shot from 4 ft
7:06.0,J. Green misses 3-pt shot from 22 ft,,77-86,,
7:05.0,,,77-86,,Defensive rebound by K. Leonard
7:04.0,Personal take foul by D. Jordan,,77-86,,
6:45.0,,,77-89,3,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard)
6:23.0,Shooting foul by D. Green (drawn by J. Crawford),,77-89,,
6:23.0,J. Crawford makes free throw 1 of 2,1,78-89,,
6:23.0,J. Crawford makes free throw 2 of 2,1,79-89,,
6:12.0,,,79-92,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Green)
6:11.0,LA Clippers full timeout,,79-92,,
6:11.0,,,79-92,,L. Aldridge enters the game for B. Diaw
6:11.0,L. Mbah a Moute enters the game for J. Crawford,,79-92,,
6:08.0,,,79-92,,Personal take foul by D. West
5:50.0,C. Paul misses 2-pt shot from 1 ft,,79-92,,
5:49.0,,,79-92,,Defensive rebound by P. Mills
5:31.0,,,79-92,,D. West misses 2-pt shot from 7 ft (block by D. Jordan)
5:31.0,Defensive rebound by Team,,79-92,,
5:19.0,Turnover by J. Green (bad pass),,79-92,,
5:19.0,,,79-92,,T. Parker enters the game for D. West
5:19.0,W. Johnson enters the game for L. Mbah a Moute,,79-92,,
5:05.0,,,79-94,2,P. Mills makes 2-pt shot from 1 ft (assist by L. Aldridge)
4:43.0,Turnover by J. Green (lost ball),,79-94,,
4:43.0,J. Crawford enters the game for W. Johnson,,79-94,,
4:29.0,,,79-97,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
4:29.0,LA Clippers full timeout,,79-97,,
4:29.0,A. Rivers enters the game for D. Jordan,,79-97,,
4:29.0,W. Johnson enters the game for J. Redick,,79-97,,
4:29.0,C. Aldrich enters the game for C. Paul,,79-97,,
4:29.0,,,79-97,,K. Martin enters the game for P. Mills
4:11.0,Turnover by C. Aldrich (bad pass),,79-97,,
4:11.0,,,79-97,,B. Marjanovic enters the game for L. Aldridge
3:52.0,,,79-99,2,K. Leonard makes 2-pt shot from 17 ft (assist by B. Marjanovic)
3:46.0,,,79-99,,Personal take foul by T. Parker
3:46.0,,,79-99,,K. Anderson enters the game for K. Leonard
3:46.0,,,79-99,,A. Miller enters the game for T. Parker
3:46.0,P. Prigioni enters the game for J. Green,,79-99,,
3:46.0,,,79-99,,B. Diaw enters the game for D. Green
3:32.0,C. Aldrich makes 2-pt shot from 6 ft (assist by A. Rivers),2,81-99,,
3:14.0,,,81-99,,Turnover by K. Martin (step out of bounds)
2:58.0,A. Rivers misses 2-pt shot at rim,,81-99,,
2:57.0,,,81-99,,Defensive rebound by B. Diaw
2:40.0,,,81-99,,Shooting foul by C. Aldrich (drawn by B. Marjanovic)
2:40.0,,,81-100,1,B. Marjanovic makes free throw 1 of 2
2:40.0,,,81-100,,B. Marjanovic misses free throw 2 of 2
2:38.0,Defensive rebound by C. Aldrich,,81-100,,
2:23.0,J. Crawford misses 2-pt shot from 18 ft,,81-100,,
2:23.0,,,81-100,,Defensive rebound by A. Miller
1:57.0,,,81-102,2,K. Anderson makes 2-pt shot from 21 ft
1:40.0,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni),2,83-102,,
1:40.0,,,83-102,,Shooting block foul by K. Martin (drawn by C. Aldrich)
1:40.0,C. Aldrich makes free throw 1 of 1,1,84-102,,
1:24.0,,,84-104,2,K. Anderson makes 2-pt shot from 17 ft
1:00.0,J. Crawford misses 3-pt shot from 24 ft,,84-104,,
1:00.0,,,84-104,,Defensive rebound by A. Miller
0:48.0,,,84-106,2,K. Martin makes 2-pt shot from 14 ft (assist by A. Miller)
0:33.0,P. Prigioni makes 3-pt shot from 25 ft,3,87-106,,
0:14.0,,,87-106,,K. Martin misses 2-pt shot from 15 ft
0:13.0,,,87-106,,Offensive rebound by B. Marjanovic
0:13.0,,,87-106,,Shooting foul by C. Aldrich (drawn by B. Marjanovic)
0:13.0,,,87-107,1,B. Marjanovic makes free throw 1 of 2
0:13.0,,,87-108,1,B. Marjanovic makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
