time,Brooklyn,pts.away,score,pts.home,Sacramento
6:48.0,Turnover by B. Lopez (offensive foul),,89-95,,
6:48.0,Offensive foul by B. Lopez,,89-95,,
6:33.0,,,89-97,2,D. Cousins makes 2-pt shot from 10 ft
6:17.0,J. Johnson misses 3-pt shot from 23 ft,,89-97,,
6:16.0,,,89-97,,Defensive rebound by D. Cousins
5:54.0,,,89-97,,R. Rondo misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by J. Johnson,,89-97,,
5:42.0,J. Johnson makes 2-pt shot from 14 ft,2,91-97,,
5:24.0,Violation by J. Jack (kicked ball),,91-97,,
5:19.0,,,91-97,,M. Belinelli misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by T. Young,,91-97,,
5:01.0,Turnover by B. Bogdanovic (lost ball; steal by M. Belinelli),,91-97,,
4:49.0,,,91-97,,D. Cousins misses 2-pt shot from 4 ft
4:48.0,Defensive rebound by T. Young,,91-97,,
4:32.0,Jump ball: D. Cousins vs. B. Lopez (B. Bogdanovic gains possession),,,,Jump ball: D. Cousins vs. B. Lopez (B. Bogdanovic gains possession)
4:28.0,,,91-97,,Shooting block foul by D. Cousins (drawn by J. Jack)
4:28.0,J. Jack makes free throw 1 of 2,1,92-97,,
4:28.0,J. Jack makes free throw 2 of 2,1,93-97,,
4:13.0,,,93-100,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo)
4:00.0,Offensive charge foul by T. Young,,93-100,,
4:00.0,Turnover by T. Young (offensive foul),,93-100,,
4:00.0,,,93-100,,Sacramento full timeout
3:49.0,,,93-100,,D. Cousins misses 2-pt shot from 5 ft
3:48.0,,,93-100,,Offensive rebound by D. Cousins
3:46.0,,,93-102,2,D. Cousins makes 2-pt shot from 5 ft
3:34.0,,,93-102,,Personal foul by B. McLemore (drawn by J. Johnson)
3:24.0,J. Johnson makes 2-pt shot from 8 ft,2,95-102,,
3:24.0,Shooting foul by M. Belinelli (drawn by J. Johnson),,95-102,,
3:24.0,J. Johnson misses free throw 1 of 1,,95-102,,
3:23.0,,,95-102,,Defensive rebound by D. Cousins
3:08.0,,,95-104,2,D. Cousins makes 2-pt shot from 21 ft (assist by R. Rondo)
2:52.0,J. Johnson makes 3-pt shot from 27 ft (assist by J. Jack),3,98-104,,
2:37.0,,,98-104,,R. Rondo misses 2-pt shot from 6 ft
2:36.0,Defensive rebound by T. Young,,98-104,,
2:28.0,J. Johnson misses 3-pt shot from 24 ft,,98-104,,
2:25.0,Offensive rebound by Team,,98-104,,
2:15.0,Turnover by J. Johnson (traveling),,98-104,,
2:03.0,,,98-104,,B. McLemore misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by B. Bogdanovic,,98-104,,
1:48.0,T. Young makes 2-pt shot from 7 ft,2,100-104,,
1:34.0,,,100-106,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
1:34.0,,,100-106,,Shooting foul by B. Lopez (drawn by D. Cousins)
1:34.0,,,100-107,1,D. Cousins makes free throw 1 of 1
1:22.0,J. Jack misses 3-pt shot from 24 ft,,100-107,,
1:21.0,Offensive rebound by B. Lopez,,100-107,,
1:18.0,Turnover by B. Lopez (bad pass; steal by M. Belinelli),,100-107,,
0:56.0,,,100-107,,R. Rondo misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by J. Johnson,,100-107,,
0:49.0,B. Bogdanovic misses 3-pt shot from 23 ft,,100-107,,
0:48.0,Offensive rebound by B. Lopez,,100-107,,
0:44.0,Shooting foul by D. Cousins (drawn by B. Lopez),,100-107,,
0:44.0,,,100-107,,K. Koufos enters the game for D. Cousins
0:44.0,B. Lopez misses free throw 1 of 2,,100-107,,
0:44.0,Offensive rebound by Team,,100-107,,
0:44.0,B. Lopez makes free throw 2 of 2,1,101-107,,
0:40.0,Personal take foul by B. Bogdanovic (drawn by R. Rondo),,101-107,,
0:40.0,,,101-107,,R. Rondo misses free throw 1 of 2
0:40.0,,,101-107,,Offensive rebound by Team
0:40.0,W. Ellington enters the game for T. Young,,101-107,,
0:40.0,,,101-108,1,R. Rondo makes free throw 2 of 2
0:33.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Jack),3,104-108,,
0:25.0,Personal take foul by W. Ellington (drawn by Q. Acy),,104-108,,
0:25.0,,,104-108,,Q. Acy misses free throw 1 of 2
0:25.0,,,104-108,,Offensive rebound by Team
0:25.0,T. Robinson enters the game for W. Ellington,,104-108,,
0:25.0,,,104-109,1,Q. Acy makes free throw 2 of 2
0:25.0,Brooklyn full timeout,,104-109,,
0:25.0,W. Ellington enters the game for T. Robinson,,104-109,,
0:22.0,J. Johnson makes 3-pt shot from 25 ft (assist by W. Ellington),3,107-109,,
0:22.0,,,107-109,,Sacramento full timeout
0:22.0,,,107-109,,S. Curry enters the game for K. Koufos
0:22.0,,,107-109,,C. Butler enters the game for Q. Acy
0:22.0,R. Hollis-Jefferson enters the game for B. Lopez,,107-109,,
0:15.0,Personal foul by J. Jack (drawn by B. McLemore),,107-109,,
0:15.0,,,107-110,1,B. McLemore makes free throw 1 of 2
0:15.0,,,107-110,,K. Koufos enters the game for S. Curry
0:15.0,B. Lopez enters the game for R. Hollis-Jefferson,,107-110,,
0:15.0,T. Robinson enters the game for W. Ellington,,107-110,,
0:15.0,,,107-111,1,B. McLemore makes free throw 2 of 2
0:15.0,Brooklyn full timeout,,107-111,,
0:15.0,,,107-111,,Q. Acy enters the game for C. Butler
0:15.0,W. Ellington enters the game for T. Robinson,,107-111,,
0:11.0,J. Johnson misses 3-pt shot from 26 ft,,107-111,,
0:11.0,,,107-111,,Defensive rebound by R. Rondo
0:11.0,Personal take foul by B. Bogdanovic (drawn by R. Rondo),,107-111,,
0:11.0,,,107-111,,R. Rondo misses free throw 1 of 2
0:11.0,,,107-111,,Offensive rebound by Team
0:11.0,,,107-111,,C. Butler enters the game for K. Koufos
0:11.0,,,107-111,,R. Rondo misses free throw 2 of 2
0:09.0,Defensive rebound by B. Lopez,,107-111,,
0:02.0,B. Bogdanovic makes 2-pt shot from 22 ft (assist by J. Jack),2,109-111,,
0:02.0,,,109-111,,Sacramento full timeout
0:02.0,,,109-111,,O. Casspi enters the game for Q. Acy
0:02.0,S. Larkin enters the game for B. Lopez,,109-111,,
0:02.0,R. Hollis-Jefferson enters the game for W. Ellington,,109-111,,
0:02.0,,,109-111,,Turnover by R. Rondo (step out of bounds)
0:02.0,,,109-111,,K. Koufos enters the game for C. Butler
0:02.0,B. Lopez enters the game for R. Hollis-Jefferson,,109-111,,
0:02.0,W. Ellington enters the game for S. Larkin,,109-111,,
0:01.0,,,109-111,,W. Cauley-Stein enters the game for O. Casspi
0:00.0,Turnover by W. Ellington (bad pass; steal by R. Rondo),,109-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
