time,Golden State,pts.away,score,pts.home,New York
7:43.0,S. Livingston makes 3-pt shot from 24 ft (assist by D. Green),3,30-29,,
7:31.0,,,30-31,2,K. Porzingis makes 2-pt shot from 21 ft (assist by A. Afflalo)
7:15.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,32-31,,
7:15.0,Shooting foul by J. Grant (drawn by K. Thompson),,32-31,,
7:15.0,,,32-31,,L. Galloway enters the game for J. Grant
7:15.0,,,32-31,,C. Anthony enters the game for D. Williams
7:15.0,S. Curry enters the game for A. Iguodala,,32-31,,
7:15.0,K. Thompson makes free throw 1 of 1,1,33-31,,
6:53.0,,,33-31,,C. Anthony misses 2-pt shot from 2 ft (block by D. Green)
6:52.0,,,33-31,,Offensive rebound by C. Anthony
6:51.0,,,33-31,,Shooting foul by H. Barnes (drawn by C. Anthony)
6:51.0,,,33-32,1,C. Anthony makes free throw 1 of 2
6:51.0,,,33-33,1,C. Anthony makes free throw 2 of 2
6:35.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,36-33,,
6:16.0,,,36-33,,L. Galloway misses 2-pt shot from 11 ft
6:15.0,Defensive rebound by D. Green,,36-33,,
6:10.0,D. Green makes 2-pt shot at rim,2,38-33,,
6:09.0,,,38-33,,New York full timeout
6:09.0,,,38-33,,D. Williams enters the game for A. Afflalo
5:56.0,,,38-33,,Turnover by L. Thomas (step out of bounds)
5:43.0,Turnover by D. Green (bad pass),,38-33,,
5:30.0,,,38-33,,K. Porzingis misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by S. Curry,,38-33,,
5:22.0,,,38-33,,Violation by D. Williams (kicked ball)
5:08.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,40-33,,
4:41.0,,,40-36,3,K. Porzingis makes 3-pt shot from 25 ft (assist by L. Galloway)
4:30.0,,,40-36,,Personal foul by L. Galloway (drawn by D. Green)
4:26.0,K. Thompson misses 2-pt shot from 2 ft (block by C. Anthony),,40-36,,
4:25.0,,,40-36,,Defensive rebound by L. Galloway
4:21.0,Violation by S. Livingston (def goaltending),,40-36,,
4:21.0,,,40-38,2,L. Galloway makes 2-pt shot from 1 ft
4:03.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,43-38,,
3:52.0,,,43-38,,C. Anthony misses 2-pt shot at rim
3:51.0,Defensive rebound by H. Barnes,,43-38,,
3:42.0,Shooting foul by L. Thomas (drawn by S. Livingston),,43-38,,
3:42.0,S. Livingston makes free throw 1 of 2,1,44-38,,
3:42.0,S. Livingston makes free throw 2 of 2,1,45-38,,
3:25.0,,,45-40,2,L. Galloway makes 2-pt shot at rim (assist by K. Porzingis)
3:02.0,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston),2,47-40,,
2:46.0,,,47-42,2,C. Anthony makes 2-pt shot at rim
2:46.0,Golden State full timeout,,47-42,,
2:46.0,Official timeout,,47-42,,
2:46.0,A. Iguodala enters the game for S. Livingston,,47-42,,
2:46.0,,,47-42,,A. Afflalo enters the game for L. Thomas
2:32.0,Turnover by D. Green (bad pass; steal by K. Porzingis),,47-42,,
2:27.0,,,47-42,,L. Galloway misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by S. Curry,,47-42,,
2:19.0,K. Thompson makes 2-pt shot at rim,2,49-42,,
1:58.0,,,49-44,2,C. Anthony makes 2-pt shot from 19 ft
1:40.0,Shooting foul by D. Williams (drawn by A. Iguodala),,49-44,,
1:40.0,A. Iguodala makes free throw 1 of 2,1,50-44,,
1:40.0,A. Iguodala misses free throw 2 of 2,,50-44,,
1:39.0,,,50-44,,Defensive rebound by D. Williams
1:25.0,,,50-44,,L. Galloway misses 2-pt shot from 3 ft
1:24.0,,,50-44,,Offensive rebound by K. Porzingis
1:20.0,Personal foul by D. Green (drawn by K. Porzingis),,50-44,,
1:20.0,,,50-45,1,K. Porzingis makes free throw 1 of 2
1:20.0,,,50-46,1,K. Porzingis makes free throw 2 of 2
1:02.0,H. Barnes makes 2-pt shot at rim (assist by A. Iguodala),2,52-46,,
0:46.0,,,52-46,,A. Afflalo misses 2-pt shot from 18 ft
0:45.0,,,52-46,,Offensive rebound by K. Porzingis
0:45.0,,,52-46,,K. Porzingis misses 2-pt shot from 3 ft
0:44.0,Defensive rebound by A. Iguodala,,52-46,,
0:38.0,,,52-46,,Personal foul by K. Porzingis (drawn by A. Iguodala)
0:38.0,A. Iguodala misses free throw 1 of 2,,52-46,,
0:38.0,Offensive rebound by Team,,52-46,,
0:38.0,,,52-46,,J. Grant enters the game for K. Porzingis
0:38.0,B. Rush enters the game for K. Thompson,,52-46,,
0:38.0,L. Barbosa enters the game for H. Barnes,,52-46,,
0:38.0,A. Iguodala makes free throw 2 of 2,1,53-46,,
0:29.0,,,53-46,,L. Galloway misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by L. Barbosa,,53-46,,
0:06.0,D. Green makes 2-pt shot from 20 ft (assist by S. Curry),2,55-46,,
0:00.0,,,55-49,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Grant)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,55-49,,Turnover by A. Afflalo (bad pass; steal by S. Curry)
11:35.0,Turnover by S. Curry (bad pass; steal by A. Afflalo),,55-49,,
11:18.0,,,55-49,,A. Afflalo misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by A. Bogut,,55-49,,
11:05.0,Turnover by A. Bogut (bad pass; steal by L. Galloway),,55-49,,
11:00.0,,,55-49,,L. Galloway misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by A. Bogut,,55-49,,
10:50.0,S. Curry misses 3-pt shot from 24 ft,,55-49,,
10:49.0,Offensive rebound by A. Bogut,,55-49,,
10:45.0,Turnover by A. Bogut (bad pass; steal by L. Galloway),,55-49,,
10:39.0,,,55-49,,C. Anthony misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by A. Bogut,,55-49,,
10:29.0,S. Curry makes 2-pt shot from 12 ft,2,57-49,,
10:18.0,Personal foul by H. Barnes (drawn by C. Anthony),,57-49,,
10:13.0,,,57-49,,Turnover by K. Porzingis (bad pass; steal by S. Curry)
10:07.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,60-49,,
10:06.0,,,60-49,,New York full timeout
9:51.0,,,60-49,,A. Afflalo misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by A. Bogut,,60-49,,
9:44.0,H. Barnes misses 2-pt shot from 17 ft,,60-49,,
9:43.0,,,60-49,,Defensive rebound by C. Anthony
9:35.0,,,60-49,,K. Porzingis misses 2-pt shot from 14 ft
9:34.0,Defensive rebound by D. Green,,60-49,,
9:24.0,K. Thompson makes 2-pt shot from 11 ft,2,62-49,,
9:01.0,,,62-49,,K. Porzingis misses 2-pt shot from 6 ft
9:00.0,,,62-49,,Offensive rebound by A. Afflalo
8:54.0,,,62-49,,R. Lopez misses 2-pt shot from 4 ft
8:53.0,,,62-49,,Offensive rebound by K. Porzingis
8:52.0,,,62-49,,Shooting foul by K. Thompson (drawn by K. Porzingis)
8:52.0,,,62-49,,K. Porzingis misses free throw 1 of 2
8:52.0,,,62-49,,Offensive rebound by Team
8:52.0,,,62-50,1,K. Porzingis makes free throw 2 of 2
8:36.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut),2,64-50,,
8:18.0,,,64-50,,Shooting foul by A. Bogut (drawn by C. Anthony)
8:18.0,,,64-50,,C. Anthony misses free throw 1 of 2
8:18.0,,,64-50,,Offensive rebound by Team
8:18.0,,,64-51,1,C. Anthony makes free throw 2 of 2
8:00.0,Turnover by D. Green (traveling),,64-51,,
7:46.0,,,64-53,2,C. Anthony makes 2-pt shot from 15 ft (assist by R. Lopez)
7:36.0,S. Curry misses 2-pt shot from 2 ft (block by R. Lopez),,64-53,,
7:35.0,,,64-53,,Defensive rebound by C. Anthony
7:30.0,,,64-55,2,A. Afflalo makes 2-pt shot from 2 ft (assist by L. Galloway)
7:29.0,Golden State full timeout,,64-55,,
7:14.0,D. Green makes 3-pt shot from 24 ft (assist by A. Bogut),3,67-55,,
6:55.0,,,67-55,,A. Afflalo misses 2-pt shot from 6 ft
6:54.0,Defensive rebound by K. Thompson,,67-55,,
6:41.0,K. Thompson misses 3-pt shot from 27 ft,,67-55,,
6:40.0,,,67-55,,Defensive rebound by K. Porzingis
6:31.0,,,67-55,,C. Anthony misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by D. Green,,67-55,,
6:22.0,S. Curry misses 3-pt shot from 25 ft,,67-55,,
6:21.0,,,67-55,,Defensive rebound by C. Anthony
6:12.0,,,67-58,3,K. Porzingis makes 3-pt shot from 25 ft (assist by L. Galloway)
5:52.0,D. Green makes 2-pt shot from 1 ft (assist by A. Bogut),2,69-58,,
5:33.0,,,69-58,,L. Galloway misses 2-pt shot from 19 ft
5:32.0,,,69-58,,Offensive rebound by Team
5:32.0,Loose ball foul by A. Bogut (drawn by R. Lopez),,69-58,,
5:32.0,,,69-58,,L. Thomas enters the game for R. Lopez
5:32.0,A. Iguodala enters the game for H. Barnes,,69-58,,
5:32.0,B. Rush enters the game for A. Bogut,,69-58,,
5:19.0,,,69-58,,Turnover by A. Afflalo (lost ball; steal by K. Thompson)
5:10.0,S. Curry misses 2-pt shot at rim,,69-58,,
5:09.0,,,69-58,,Defensive rebound by C. Anthony
4:56.0,,,69-58,,C. Anthony misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by A. Iguodala,,69-58,,
4:40.0,A. Iguodala makes 2-pt shot from 12 ft (assist by K. Thompson),2,71-58,,
4:25.0,,,71-58,,L. Galloway misses 2-pt shot from 13 ft
4:24.0,Defensive rebound by B. Rush,,71-58,,
4:18.0,S. Curry misses 3-pt shot from 24 ft,,71-58,,
4:17.0,,,71-58,,Defensive rebound by L. Thomas
4:06.0,S. Livingston enters the game for S. Curry,,71-58,,
3:54.0,,,71-58,,Shooting foul by B. Rush (drawn by L. Thomas)
3:54.0,,,71-59,1,L. Thomas makes free throw 1 of 2
3:54.0,,,71-59,,J. Grant enters the game for L. Galloway
3:54.0,,,71-60,1,L. Thomas makes free throw 2 of 2
3:35.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,73-60,,
3:16.0,,,73-60,,K. Porzingis misses 2-pt shot from 5 ft
3:15.0,Defensive rebound by B. Rush,,73-60,,
3:06.0,B. Rush misses 2-pt shot at rim,,73-60,,
3:05.0,,,73-60,,Defensive rebound by K. Porzingis
2:55.0,,,73-62,2,C. Anthony makes 2-pt shot from 8 ft
2:38.0,K. Thompson makes 2-pt shot from 20 ft (assist by A. Iguodala),2,75-62,,
2:26.0,,,75-62,,J. Grant misses 2-pt shot from 21 ft
2:25.0,Defensive rebound by D. Green,,75-62,,
2:11.0,S. Livingston makes 2-pt shot from 14 ft,2,77-62,,
1:50.0,,,77-62,,Shooting foul by A. Iguodala (drawn by K. Porzingis)
1:50.0,,,77-63,1,K. Porzingis makes free throw 1 of 2
1:50.0,,,77-64,1,K. Porzingis makes free throw 2 of 2
1:29.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston),3,80-64,,
1:17.0,Personal foul by D. Green (drawn by K. Porzingis),,80-64,,
1:17.0,,,80-64,,K. Porzingis misses free throw 1 of 2
1:17.0,,,80-64,,Offensive rebound by Team
1:17.0,,,80-64,,S. Vujacic enters the game for A. Afflalo
1:17.0,,,80-65,1,K. Porzingis makes free throw 2 of 2
1:01.0,Turnover by K. Thompson (offensive foul),,80-65,,
1:01.0,Offensive foul by K. Thompson,,80-65,,
