time,Orlando,pts.away,score,pts.home,Washington
7:00.0,,,15-7,,Defensive rebound by O. Porter
6:54.0,,,15-10,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall)
6:36.0,Turnover by E. Payton (bad pass),,15-10,,
6:36.0,,,15-10,,J. Dudley enters the game for K. Humphries
6:22.0,,,15-10,,G. Temple misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by N. Vucevic,,15-10,,
6:11.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,17-10,,
6:01.0,,,17-10,,Shooting foul by E. Payton (drawn by M. Gortat)
6:01.0,,,17-11,1,M. Gortat makes free throw 1 of 2
6:01.0,,,17-11,,M. Gortat misses free throw 2 of 2
6:00.0,Defensive rebound by N. Vucevic,,17-11,,
5:35.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,19-11,,
5:17.0,,,19-14,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
4:57.0,E. Fournier makes 2-pt shot from 5 ft,2,21-14,,
4:47.0,,,21-16,2,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall)
4:33.0,T. Harris misses 2-pt shot from 1 ft (block by M. Gortat),,21-16,,
4:32.0,,,21-16,,Defensive rebound by J. Dudley
4:29.0,Personal take foul by C. Frye (drawn by J. Wall),,21-16,,
4:29.0,,,21-16,,N. Hilario enters the game for M. Gortat
4:29.0,M. Hezonja enters the game for T. Harris,,21-16,,
4:29.0,,,21-16,,G. Neal enters the game for G. Temple
4:29.0,A. Gordon enters the game for C. Frye,,21-16,,
4:21.0,,,21-19,3,J. Wall makes 3-pt shot from 24 ft (assist by G. Neal)
4:07.0,E. Payton misses 2-pt shot from 5 ft,,21-19,,
4:06.0,,,21-19,,Defensive rebound by N. Hilario
3:59.0,,,21-19,,O. Porter misses 3-pt shot from 23 ft
3:57.0,Defensive rebound by A. Gordon,,21-19,,
3:45.0,E. Fournier misses 3-pt shot from 23 ft,,21-19,,
3:44.0,,,21-19,,Defensive rebound by N. Hilario
3:35.0,,,21-21,2,G. Neal makes 2-pt shot from 2 ft (assist by N. Hilario)
3:28.0,Orlando full timeout,,21-21,,
3:28.0,,,21-21,,R. Sessions enters the game for J. Wall
3:28.0,S. Napier enters the game for E. Payton,,21-21,,
3:19.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Fournier),2,23-21,,
2:53.0,,,23-24,3,J. Dudley makes 3-pt shot from 23 ft (assist by R. Sessions)
2:31.0,N. Vucevic misses 2-pt shot from 19 ft,,23-24,,
2:30.0,,,23-24,,Defensive rebound by R. Sessions
2:27.0,,,23-24,,Turnover by R. Sessions (lost ball; steal by E. Fournier)
2:11.0,M. Hezonja makes 3-pt shot from 24 ft (assist by N. Vucevic),3,26-24,,
2:01.0,,,26-26,2,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario)
2:01.0,,,26-26,,Shooting foul by M. Hezonja (drawn by R. Sessions)
2:01.0,,,26-26,,R. Sessions misses free throw 1 of 1
2:00.0,Defensive rebound by A. Gordon,,26-26,,
1:46.0,E. Fournier misses 2-pt shot from 18 ft,,26-26,,
1:45.0,,,26-26,,Defensive rebound by O. Porter
1:34.0,,,26-28,2,N. Hilario makes 2-pt shot at rim
1:18.0,M. Hezonja misses 3-pt shot from 25 ft,,26-28,,
1:17.0,,,26-28,,Defensive rebound by J. Dudley
1:13.0,,,26-28,,Shooting foul by E. Fournier (drawn by R. Sessions)
1:13.0,,,26-28,,R. Sessions misses free throw 1 of 2
1:13.0,,,26-28,,Offensive rebound by Team
1:13.0,,,26-28,,K. Oubre enters the game for O. Porter
1:13.0,E. Payton enters the game for N. Vucevic,,26-28,,
1:13.0,T. Harris enters the game for E. Fournier,,26-28,,
1:13.0,D. Dedmon enters the game for M. Hezonja,,26-28,,
1:13.0,,,26-29,1,R. Sessions makes free throw 2 of 2
1:05.0,,,26-29,,Personal foul by K. Oubre (drawn by T. Harris)
0:59.0,Turnover by S. Napier (lost ball),,26-29,,
0:42.0,,,26-29,,G. Neal misses 2-pt shot from 11 ft
0:41.0,Defensive rebound by A. Gordon,,26-29,,
0:26.0,Shooting foul by N. Hilario (drawn by D. Dedmon),,26-29,,
0:26.0,D. Dedmon misses free throw 1 of 2,,26-29,,
0:26.0,Offensive rebound by Team,,26-29,,
0:26.0,,,26-29,,J. Wall enters the game for K. Oubre
0:26.0,,,26-29,,Violation by J. Dudley (lane)
0:26.0,D. Dedmon makes free throw 2 of 2,1,27-29,,
0:07.0,,,27-29,,Turnover by J. Wall (bad pass; steal by S. Napier)
0:05.0,Turnover by S. Napier (bad pass),,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-31,2,G. Neal makes 2-pt shot from 13 ft (assist by N. Hilario)
11:31.0,S. Napier misses 2-pt shot from 17 ft,,27-31,,
11:30.0,Offensive rebound by A. Gordon,,27-31,,
11:29.0,A. Gordon makes 2-pt shot from 1 ft,2,29-31,,
11:23.0,Personal foul by D. Dedmon (drawn by N. Hilario),,29-31,,
11:15.0,,,29-31,,N. Hilario misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by D. Dedmon,,29-31,,
11:02.0,,,29-31,,Personal foul by G. Neal (drawn by S. Napier)
10:47.0,A. Gordon misses 3-pt shot from 25 ft,,29-31,,
10:46.0,Offensive rebound by T. Harris,,29-31,,
10:43.0,T. Harris makes 2-pt shot from 5 ft,2,31-31,,
10:28.0,,,31-31,,Shooting foul by A. Gordon (drawn by J. Dudley)
10:28.0,,,31-32,1,J. Dudley makes free throw 1 of 2
10:28.0,M. Hezonja enters the game for S. Napier,,31-32,,
10:28.0,,,31-33,1,J. Dudley makes free throw 2 of 2
10:11.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,33-33,,
10:11.0,Shooting foul by G. Neal (drawn by A. Gordon),,33-33,,
10:11.0,,,33-33,,K. Humphries enters the game for J. Dudley
10:11.0,A. Gordon misses free throw 1 of 1,,33-33,,
10:11.0,Offensive rebound by Team,,33-33,,
9:50.0,T. Harris misses 2-pt shot from 9 ft,,33-33,,
9:48.0,,,33-33,,Defensive rebound by K. Humphries
9:43.0,,,33-33,,Offensive foul by N. Hilario
9:43.0,,,33-33,,Turnover by N. Hilario (offensive foul)
9:43.0,,,33-33,,M. Gortat enters the game for N. Hilario
9:28.0,T. Harris misses 2-pt shot from 6 ft,,33-33,,
9:27.0,,,33-33,,Defensive rebound by K. Oubre
9:19.0,,,33-35,2,K. Oubre makes 2-pt shot at rim
9:09.0,A. Gordon misses 2-pt shot from 16 ft,,33-35,,
9:08.0,,,33-35,,Defensive rebound by R. Sessions
9:00.0,,,33-35,,Turnover by R. Sessions (bad pass; steal by A. Gordon)
8:58.0,Shooting foul by K. Oubre (drawn by A. Gordon),,33-35,,
8:58.0,Official timeout,,33-35,,
8:58.0,,,33-35,,J. Wall enters the game for R. Sessions
8:58.0,A. Gordon makes free throw 1 of 2,1,34-35,,
8:58.0,A. Gordon makes free throw 2 of 2,1,35-35,,
8:40.0,,,35-35,,K. Humphries misses 2-pt shot from 16 ft
8:39.0,Defensive rebound by E. Payton,,35-35,,
8:35.0,Shooting foul by K. Oubre (drawn by E. Payton),,35-35,,
8:35.0,E. Payton makes free throw 1 of 2,1,36-35,,
8:35.0,,,36-35,,O. Porter enters the game for K. Oubre
8:35.0,E. Payton makes free throw 2 of 2,1,37-35,,
8:18.0,,,37-37,2,K. Humphries makes 2-pt shot at rim (assist by G. Neal)
7:55.0,E. Payton misses 2-pt shot from 19 ft,,37-37,,
7:53.0,,,37-37,,Defensive rebound by O. Porter
7:47.0,,,37-37,,J. Wall misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by M. Hezonja,,37-37,,
7:44.0,,,37-37,,Violation by O. Porter (kicked ball)
7:44.0,,,37-37,,G. Temple enters the game for G. Neal
7:44.0,C. Frye enters the game for A. Gordon,,37-37,,
7:44.0,N. Vucevic enters the game for D. Dedmon,,37-37,,
7:38.0,N. Vucevic misses 2-pt shot from 18 ft,,37-37,,
7:37.0,,,37-37,,Defensive rebound by O. Porter
7:30.0,,,37-37,,Turnover by J. Wall (bad pass)
7:17.0,M. Hezonja misses 2-pt shot from 15 ft,,37-37,,
7:16.0,,,37-37,,Defensive rebound by K. Humphries
7:11.0,,,37-37,,Shooting foul by C. Frye (drawn by G. Temple)
7:11.0,,,37-37,,G. Temple misses free throw 1 of 2
7:11.0,,,37-37,,Offensive rebound by Team
7:11.0,,,37-38,1,G. Temple makes free throw 2 of 2
7:01.0,T. Harris makes 2-pt shot at rim (assist by C. Frye),2,39-38,,
6:46.0,,,39-38,,O. Porter misses 2-pt shot from 11 ft
6:45.0,Defensive rebound by N. Vucevic,,39-38,,
6:39.0,E. Payton makes 2-pt shot from 1 ft,2,41-38,,
6:24.0,Personal foul by C. Frye (drawn by K. Humphries),,41-38,,
6:24.0,E. Fournier enters the game for M. Hezonja,,41-38,,
6:24.0,A. Gordon enters the game for C. Frye,,41-38,,
6:15.0,,,41-38,,Shooting foul by T. Harris (drawn by M. Gortat)
6:15.0,,,41-39,1,M. Gortat makes free throw 1 of 2
6:15.0,,,41-40,1,M. Gortat makes free throw 2 of 2
5:55.0,T. Harris misses 3-pt shot from 29 ft,,41-40,,
5:54.0,,,41-40,,Defensive rebound by M. Gortat
5:47.0,,,41-40,,J. Wall misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by N. Vucevic,,41-40,,
5:27.0,A. Gordon makes 2-pt shot at rim,2,43-40,,
5:27.0,Shooting foul by O. Porter (drawn by A. Gordon),,43-40,,
5:27.0,,,43-40,,Washington full timeout
5:27.0,A. Gordon makes free throw 1 of 1,1,44-40,,
5:19.0,Violation by N. Vucevic (kicked ball),,44-40,,
5:06.0,,,44-40,,M. Gortat misses 2-pt shot from 10 ft
5:05.0,Defensive rebound by E. Payton,,44-40,,
5:02.0,Shooting foul by G. Temple (drawn by E. Payton),,44-40,,
5:02.0,E. Payton makes free throw 1 of 2,1,45-40,,
5:02.0,E. Payton makes free throw 2 of 2,1,46-40,,
4:51.0,,,46-40,,O. Porter misses 3-pt shot from 27 ft
4:50.0,,,46-40,,Offensive rebound by M. Gortat
4:50.0,Personal foul by E. Payton (drawn by M. Gortat),,46-40,,
4:50.0,,,46-41,1,M. Gortat makes free throw 1 of 2
4:50.0,,,46-41,,M. Gortat misses free throw 2 of 2
4:49.0,Defensive rebound by T. Harris,,46-41,,
4:30.0,N. Vucevic makes 2-pt shot from 15 ft,2,48-41,,
4:21.0,,,48-43,2,M. Gortat makes 2-pt shot from 2 ft (assist by O. Porter)
4:10.0,E. Payton misses 2-pt shot from 10 ft,,48-43,,
4:09.0,,,48-43,,Defensive rebound by G. Temple
4:06.0,,,48-43,,Turnover by J. Wall (bad pass; steal by A. Gordon)
3:59.0,E. Payton misses 2-pt shot from 1 ft,,48-43,,
3:57.0,Offensive rebound by T. Harris,,48-43,,
3:54.0,T. Harris makes 2-pt shot from 2 ft,2,50-43,,
3:34.0,,,50-43,,N. Hilario enters the game for M. Gortat
3:31.0,,,50-43,,O. Porter misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by E. Fournier,,50-43,,
3:23.0,Orlando full timeout,,50-43,,
3:12.0,N. Vucevic misses 2-pt shot from 1 ft,,50-43,,
3:11.0,Offensive rebound by N. Vucevic,,50-43,,
3:09.0,N. Vucevic misses 2-pt shot from 2 ft (block by O. Porter),,50-43,,
3:08.0,Offensive rebound by N. Vucevic,,50-43,,
3:06.0,N. Vucevic misses 2-pt shot from 1 ft,,50-43,,
3:05.0,,,50-43,,Defensive rebound by K. Humphries
2:54.0,,,50-43,,O. Porter misses 2-pt shot from 21 ft
2:53.0,Defensive rebound by N. Vucevic,,50-43,,
2:30.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,52-43,,
2:06.0,,,52-46,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
1:45.0,N. Vucevic misses 2-pt shot from 5 ft,,52-46,,
1:44.0,,,52-46,,Defensive rebound by N. Hilario
1:39.0,,,52-46,,Shooting foul by A. Gordon (drawn by G. Temple)
1:39.0,,,52-47,1,G. Temple makes free throw 1 of 2
1:39.0,,,52-47,,J. Dudley enters the game for O. Porter
1:39.0,S. Napier enters the game for E. Payton,,52-47,,
1:39.0,,,52-48,1,G. Temple makes free throw 2 of 2
1:21.0,Turnover by T. Harris (lost ball; steal by G. Temple),,52-48,,
1:12.0,,,52-50,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
0:58.0,A. Gordon misses 3-pt shot from 24 ft,,52-50,,
0:57.0,,,52-50,,Defensive rebound by K. Humphries
0:45.0,,,52-50,,G. Temple misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by N. Vucevic,,52-50,,
0:31.0,E. Fournier makes 2-pt shot from 7 ft,2,54-50,,
0:06.0,,,54-50,,N. Hilario misses 2-pt shot from 13 ft (block by N. Vucevic)
0:05.0,Defensive rebound by E. Fournier,,54-50,,
0:04.0,,,54-50,,Personal foul by K. Humphries (drawn by E. Fournier)
0:04.0,E. Fournier makes free throw 1 of 2,1,55-50,,
0:04.0,D. Dedmon enters the game for N. Vucevic,,55-50,,
0:04.0,,,55-50,,G. Neal enters the game for G. Temple
0:04.0,E. Fournier makes free throw 2 of 2,1,56-50,,
0:04.0,,,56-50,,Turnover by K. Humphries (bad pass; steal by D. Dedmon)
0:01.0,E. Fournier misses 3-pt shot from 27 ft,,56-50,,
0:00.0,,,56-50,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,56-50,,Shooting foul by N. Vucevic (drawn by J. Wall)
11:43.0,,,56-51,1,J. Wall makes free throw 1 of 2
11:43.0,,,56-52,1,J. Wall makes free throw 2 of 2
11:29.0,Offensive foul by N. Vucevic,,56-52,,
11:29.0,Turnover by N. Vucevic (offensive foul),,56-52,,
11:05.0,,,56-52,,J. Wall misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by N. Vucevic,,56-52,,
10:51.0,Turnover by E. Payton (bad pass; steal by O. Porter),,56-52,,
10:46.0,,,56-54,2,G. Temple makes 2-pt shot at rim (assist by J. Wall)
10:30.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Fournier),2,58-54,,
10:24.0,,,58-56,2,G. Temple makes 2-pt shot at rim (assist by J. Wall)
10:13.0,C. Frye misses 3-pt shot from 22 ft,,58-56,,
10:12.0,,,58-56,,Defensive rebound by M. Gortat
9:56.0,,,58-58,2,K. Humphries makes 2-pt shot at rim (assist by O. Porter)
9:38.0,E. Fournier misses 2-pt shot from 6 ft,,58-58,,
9:37.0,,,58-58,,Defensive rebound by M. Gortat
9:30.0,,,58-60,2,J. Wall makes 2-pt shot from 17 ft
9:05.0,E. Payton misses 3-pt shot from 25 ft,,58-60,,
9:04.0,,,58-60,,Defensive rebound by G. Temple
8:58.0,,,58-60,,J. Wall misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by C. Frye,,58-60,,
8:46.0,T. Harris misses 2-pt shot from 5 ft (block by K. Humphries),,58-60,,
8:44.0,Offensive rebound by E. Payton,,58-60,,
8:41.0,E. Payton makes 2-pt shot from 2 ft,2,60-60,,
8:32.0,,,60-63,3,K. Humphries makes 3-pt shot from 24 ft (assist by M. Gortat)
8:11.0,E. Payton misses 2-pt shot from 21 ft,,60-63,,
8:10.0,,,60-63,,Defensive rebound by G. Temple
8:02.0,,,60-63,,Turnover by J. Wall (lost ball; steal by E. Payton)
7:54.0,,,60-63,,Personal foul by M. Gortat (drawn by N. Vucevic)
7:38.0,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton),3,63-63,,
7:12.0,,,63-63,,K. Humphries misses 2-pt shot from 8 ft
7:11.0,Defensive rebound by N. Vucevic,,63-63,,
7:05.0,E. Payton makes 2-pt shot from 2 ft,2,65-63,,
7:05.0,Shooting foul by K. Humphries (drawn by E. Payton),,65-63,,
7:05.0,,,65-63,,Washington full timeout
7:05.0,E. Payton makes free throw 1 of 1,1,66-63,,
6:49.0,,,66-65,2,K. Humphries makes 2-pt shot from 16 ft (assist by G. Temple)
6:23.0,E. Payton makes 2-pt shot at rim,2,68-65,,
6:03.0,,,68-65,,K. Humphries misses 3-pt shot from 25 ft
6:02.0,,,68-65,,Offensive rebound by M. Gortat
5:57.0,,,68-65,,O. Porter misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by E. Fournier,,68-65,,
5:43.0,C. Frye misses 3-pt shot from 27 ft,,68-65,,
5:42.0,,,68-65,,Defensive rebound by O. Porter
5:33.0,,,68-65,,J. Wall misses 2-pt shot from 16 ft
5:33.0,Defensive rebound by E. Payton,,68-65,,
5:23.0,N. Vucevic misses 2-pt shot from 16 ft,,68-65,,
5:23.0,,,68-65,,Defensive rebound by O. Porter
5:17.0,,,68-67,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
4:52.0,E. Fournier misses 2-pt shot from 6 ft,,68-67,,
4:51.0,,,68-67,,Defensive rebound by O. Porter
4:45.0,,,68-69,2,J. Wall makes 2-pt shot at rim
4:33.0,E. Payton misses 2-pt shot from 1 ft (block by J. Wall),,68-69,,
4:33.0,Offensive rebound by Team,,68-69,,
4:33.0,,,68-69,,J. Dudley enters the game for K. Humphries
4:33.0,,,68-69,,N. Hilario enters the game for M. Gortat
4:33.0,,,68-69,,R. Sessions enters the game for J. Wall
4:33.0,M. Hezonja enters the game for C. Frye,,68-69,,
4:33.0,A. Gordon enters the game for E. Fournier,,68-69,,
4:19.0,N. Vucevic misses 2-pt shot from 17 ft,,68-69,,
4:18.0,,,68-69,,Defensive rebound by J. Dudley
4:08.0,,,68-72,3,G. Temple makes 3-pt shot from 27 ft (assist by R. Sessions)
3:52.0,Shooting foul by G. Temple (drawn by N. Vucevic),,68-72,,
3:52.0,N. Vucevic makes free throw 1 of 2,1,69-72,,
3:52.0,,,69-72,,G. Neal enters the game for G. Temple
3:52.0,S. Napier enters the game for T. Harris,,69-72,,
3:52.0,N. Vucevic makes free throw 2 of 2,1,70-72,,
3:34.0,,,70-74,2,O. Porter makes 2-pt shot from 1 ft (assist by R. Sessions)
3:19.0,Turnover by M. Hezonja (lost ball; steal by O. Porter),,70-74,,
3:02.0,,,70-76,2,N. Hilario makes 2-pt shot from 2 ft (assist by R. Sessions)
2:50.0,A. Gordon misses 2-pt shot from 2 ft (block by N. Hilario),,70-76,,
2:48.0,,,70-76,,Defensive rebound by J. Dudley
2:43.0,,,70-78,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Dudley)
2:22.0,N. Vucevic misses 2-pt shot from 16 ft,,70-78,,
2:21.0,,,70-78,,Defensive rebound by G. Neal
2:06.0,,,70-78,,J. Dudley misses 3-pt shot from 23 ft
2:05.0,Defensive rebound by M. Hezonja,,70-78,,
1:59.0,S. Napier makes 2-pt shot from 4 ft (assist by M. Hezonja),2,72-78,,
1:31.0,,,72-78,,R. Sessions misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by E. Payton,,72-78,,
1:25.0,E. Payton makes 2-pt shot at rim,2,74-78,,
1:25.0,Shooting foul by G. Neal (drawn by E. Payton),,74-78,,
1:25.0,Orlando full timeout,,74-78,,
1:25.0,,,74-78,,K. Oubre enters the game for O. Porter
1:25.0,D. Dedmon enters the game for N. Vucevic,,74-78,,
1:25.0,E. Payton misses free throw 1 of 1,,74-78,,
1:23.0,,,74-78,,Defensive rebound by N. Hilario
1:01.0,,,74-78,,N. Hilario misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by A. Gordon,,74-78,,
0:48.0,M. Hezonja makes 2-pt shot from 21 ft (assist by E. Payton),2,76-78,,
0:37.0,,,76-78,,R. Sessions misses 2-pt shot from 3 ft
0:36.0,Defensive rebound by D. Dedmon,,76-78,,
0:30.0,E. Payton misses 2-pt shot from 19 ft,,76-78,,
0:29.0,,,76-78,,Defensive rebound by Team
0:29.0,Loose ball foul by M. Hezonja (drawn by K. Oubre),,76-78,,
0:09.0,,,76-78,,Shooting foul by D. Dedmon (drawn by N. Hilario)
0:09.0,,,76-78,,N. Hilario misses free throw 1 of 2
0:09.0,,,76-78,,Offensive rebound by Team
0:09.0,,,76-79,1,N. Hilario makes free throw 2 of 2
0:01.0,E. Payton misses 2-pt shot from 19 ft,,76-79,,
0:00.0,,,76-79,,Defensive rebound by R. Sessions
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,76-79,,Personal foul by R. Sessions (drawn by S. Napier)
11:42.0,A. Gordon misses 2-pt shot from 1 ft,,76-79,,
11:41.0,,,76-79,,Defensive rebound by N. Hilario
11:32.0,,,76-79,,K. Oubre misses 3-pt shot from 27 ft
11:30.0,Defensive rebound by E. Fournier,,76-79,,
11:19.0,E. Fournier misses 3-pt shot from 23 ft,,76-79,,
11:18.0,,,76-79,,Defensive rebound by G. Neal
11:05.0,,,76-79,,R. Sessions misses 2-pt shot from 3 ft (block by D. Dedmon)
11:03.0,,,76-79,,Offensive rebound by N. Hilario
10:58.0,,,76-79,,G. Neal misses 3-pt shot from 27 ft
10:57.0,Defensive rebound by D. Dedmon,,76-79,,
10:44.0,S. Napier makes 2-pt shot from 18 ft,2,78-79,,
10:25.0,,,78-81,2,K. Oubre makes 2-pt shot at rim
10:02.0,S. Napier makes 2-pt shot from 20 ft,2,80-81,,
9:50.0,,,80-81,,Turnover by R. Sessions (lost ball)
9:42.0,S. Napier misses 3-pt shot from 28 ft,,80-81,,
9:41.0,,,80-81,,Defensive rebound by R. Sessions
9:36.0,,,80-84,3,G. Neal makes 3-pt shot from 27 ft (assist by R. Sessions)
9:21.0,M. Hezonja makes 3-pt shot from 24 ft,3,83-84,,
9:08.0,,,83-84,,J. Wall enters the game for R. Sessions
8:59.0,,,83-84,,J. Wall misses 2-pt shot from 4 ft
8:58.0,Defensive rebound by E. Fournier,,83-84,,
8:50.0,M. Hezonja misses 3-pt shot from 26 ft,,83-84,,
8:49.0,,,83-84,,Defensive rebound by J. Dudley
8:35.0,,,83-84,,Turnover by G. Neal (bad pass; steal by A. Gordon)
8:35.0,,,83-84,,Personal take foul by J. Wall (drawn by S. Napier)
8:35.0,Official timeout,,83-84,,
8:26.0,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Fournier),2,85-84,,
8:26.0,Shooting foul by J. Dudley (drawn by D. Dedmon),,85-84,,
8:26.0,D. Dedmon makes free throw 1 of 1,1,86-84,,
8:06.0,,,86-86,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
7:51.0,,,86-86,,Personal foul by N. Hilario (drawn by M. Hezonja)
7:51.0,,,86-86,,O. Porter enters the game for K. Oubre
7:51.0,,,86-86,,G. Temple enters the game for G. Neal
7:44.0,A. Gordon makes 2-pt shot at rim (assist by S. Napier),2,88-86,,
7:27.0,Personal foul by A. Gordon (drawn by J. Dudley),,88-86,,
7:21.0,,,88-86,,N. Hilario misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by A. Gordon,,88-86,,
7:11.0,E. Fournier misses 2-pt shot from 12 ft,,88-86,,
7:10.0,,,88-86,,Defensive rebound by O. Porter
6:50.0,,,88-86,,J. Wall misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by D. Dedmon,,88-86,,
6:42.0,Offensive charge foul by S. Napier,,88-86,,
6:42.0,Turnover by S. Napier (offensive foul),,88-86,,
6:42.0,,,88-86,,K. Humphries enters the game for J. Dudley
6:42.0,N. Vucevic enters the game for M. Hezonja,,88-86,,
6:42.0,T. Harris enters the game for S. Napier,,88-86,,
6:42.0,E. Payton enters the game for D. Dedmon,,88-86,,
6:42.0,,,88-86,,M. Gortat enters the game for N. Hilario
6:26.0,Personal foul by A. Gordon (drawn by J. Wall),,88-86,,
6:17.0,,,88-86,,G. Temple misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by T. Harris,,88-86,,
5:55.0,A. Gordon misses 2-pt shot from 5 ft,,88-86,,
5:54.0,,,88-86,,Defensive rebound by O. Porter
5:36.0,,,88-86,,M. Gortat misses 2-pt shot from 1 ft
5:35.0,Defensive rebound by A. Gordon,,88-86,,
5:30.0,T. Harris makes 2-pt shot from 5 ft (assist by A. Gordon),2,90-86,,
5:19.0,,,90-88,2,M. Gortat makes 2-pt shot at rim (assist by O. Porter)
5:19.0,,,90-88,,Shooting foul by E. Payton (drawn by M. Gortat)
5:19.0,,,90-88,,Washington full timeout
5:19.0,,,90-89,1,M. Gortat makes free throw 1 of 1
4:57.0,E. Fournier misses 3-pt shot from 28 ft,,90-89,,
4:56.0,,,90-89,,Defensive rebound by M. Gortat
4:45.0,,,90-92,3,K. Humphries makes 3-pt shot from 24 ft (assist by J. Wall)
4:17.0,E. Payton misses 2-pt shot from 7 ft,,90-92,,
4:16.0,,,90-92,,Defensive rebound by J. Wall
4:10.0,,,90-92,,G. Temple misses 2-pt shot from 1 ft
4:09.0,,,90-92,,Offensive rebound by M. Gortat
4:09.0,,,90-94,2,M. Gortat makes 2-pt shot at rim
3:55.0,Turnover by E. Payton (bad pass; steal by O. Porter),,90-94,,
3:54.0,,,90-94,,Turnover by O. Porter (step out of bounds)
3:45.0,,,90-94,,Personal foul by M. Gortat (drawn by N. Vucevic)
