time,Boston,pts.away,score,pts.home,Brooklyn
1:28.0,J. Sullinger makes 2-pt shot from 2 ft (assist by A. Johnson),2,32-22,,
1:08.0,,,32-22,,Offensive charge foul by W. Ellington
1:08.0,,,32-22,,Turnover by W. Ellington (offensive foul)
1:08.0,,,32-22,,W. Reed enters the game for B. Lopez
1:08.0,E. Turner enters the game for J. Crowder,,32-22,,
0:52.0,J. Sullinger misses 2-pt shot from 8 ft,,32-22,,
0:51.0,Offensive rebound by Team,,32-22,,
0:50.0,,,32-22,,B. Lopez enters the game for T. Young
0:50.0,T. Zeller enters the game for A. Johnson,,32-22,,
0:47.0,J. Sullinger makes 2-pt shot from 17 ft (assist by M. Smart),2,34-22,,
0:35.0,,,34-22,,B. Lopez misses 2-pt shot from 8 ft
0:33.0,Defensive rebound by J. Young,,34-22,,
0:27.0,J. Sullinger makes 3-pt shot from 25 ft (assist by M. Smart),3,37-22,,
0:06.0,,,37-22,,W. Ellington misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by J. Sullinger,,37-22,,
0:01.0,J. Young misses 3-pt shot from 54 ft,,37-22,,
0:00.0,Offensive rebound by Team,,37-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Offensive foul by J. Young,,37-22,,
11:47.0,Turnover by J. Young (offensive foul),,37-22,,
11:28.0,,,37-24,2,B. Bogdanovic makes 2-pt shot from 18 ft
11:01.0,T. Zeller misses 2-pt shot from 9 ft,,37-24,,
11:00.0,,,37-24,,Defensive rebound by W. Reed
10:45.0,,,37-24,,B. Bogdanovic misses 2-pt shot from 1 ft
10:44.0,Defensive rebound by J. Sullinger,,37-24,,
10:36.0,M. Smart misses 3-pt shot from 25 ft,,37-24,,
10:35.0,,,37-24,,Defensive rebound by W. Reed
10:22.0,,,37-24,,A. Bargnani misses 2-pt shot from 19 ft
10:20.0,Defensive rebound by J. Sullinger,,37-24,,
10:08.0,J. Young misses 3-pt shot from 23 ft,,37-24,,
10:07.0,,,37-24,,Defensive rebound by D. Sloan
10:03.0,Personal foul by M. Smart (drawn by D. Sloan),,37-24,,
9:54.0,,,37-24,,W. Ellington misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by E. Turner,,37-24,,
9:39.0,J. Sullinger misses 2-pt shot from 10 ft,,37-24,,
9:38.0,,,37-24,,Defensive rebound by W. Ellington
9:27.0,,,37-24,,B. Bogdanovic misses 2-pt shot from 3 ft (block by E. Turner)
9:26.0,,,37-24,,Offensive rebound by Team
9:12.0,,,37-24,,W. Ellington misses 3-pt shot from 29 ft
9:11.0,Defensive rebound by J. Sullinger,,37-24,,
9:01.0,E. Turner makes 2-pt shot from 6 ft,2,39-24,,
9:01.0,,,39-24,,Brooklyn full timeout
9:01.0,K. Olynyk enters the game for J. Sullinger,,39-24,,
8:38.0,,,39-24,,B. Bogdanovic misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by E. Turner,,39-24,,
8:18.0,E. Turner misses 2-pt shot from 4 ft (block by W. Reed),,39-24,,
8:17.0,Offensive rebound by E. Turner,,39-24,,
8:14.0,E. Turner misses 2-pt shot from 13 ft,,39-24,,
8:13.0,,,39-24,,Defensive rebound by W. Ellington
8:04.0,,,39-24,,D. Sloan misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by T. Zeller,,39-24,,
7:52.0,T. Zeller makes 2-pt shot from 7 ft (assist by E. Turner),2,41-24,,
7:35.0,Personal foul by E. Turner (drawn by W. Reed),,41-24,,
7:35.0,,,41-24,,B. Lopez enters the game for W. Reed
7:35.0,,,41-24,,J. Johnson enters the game for A. Bargnani
7:35.0,,,41-24,,S. Larkin enters the game for D. Sloan
7:35.0,,,41-24,,T. Young enters the game for B. Bogdanovic
7:28.0,,,41-24,,Turnover by S. Larkin (bad pass; steal by J. Young)
7:19.0,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart),2,43-24,,
6:51.0,,,43-26,2,J. Johnson makes 2-pt shot from 4 ft
6:36.0,M. Smart makes 2-pt shot from 17 ft,2,45-26,,
6:16.0,,,45-28,2,B. Lopez makes 2-pt shot from 19 ft (assist by W. Ellington)
6:00.0,T. Zeller misses 2-pt shot from 5 ft,,45-28,,
5:59.0,Offensive rebound by J. Young,,45-28,,
5:47.0,K. Olynyk misses 3-pt shot from 24 ft,,45-28,,
5:46.0,,,45-28,,Defensive rebound by B. Lopez
5:36.0,,,45-30,2,J. Johnson makes 2-pt shot from 8 ft
5:36.0,Boston full timeout,,45-30,,
5:36.0,I. Thomas enters the game for M. Smart,,45-30,,
5:36.0,J. Crowder enters the game for J. Young,,45-30,,
5:36.0,,,45-30,,B. Bogdanovic enters the game for W. Ellington
5:25.0,T. Zeller misses 2-pt shot at rim (block by B. Lopez),,45-30,,
5:24.0,,,45-30,,Defensive rebound by J. Johnson
5:16.0,,,45-30,,J. Johnson misses 3-pt shot from 24 ft
5:14.0,,,45-30,,Offensive rebound by J. Johnson
5:11.0,,,45-30,,T. Young misses 3-pt shot from 23 ft
5:09.0,,,45-30,,Offensive rebound by B. Bogdanovic
5:08.0,,,45-30,,B. Bogdanovic misses 2-pt shot from 7 ft
5:07.0,,,45-30,,Offensive rebound by B. Bogdanovic
5:06.0,,,45-32,2,B. Bogdanovic makes 2-pt shot from 6 ft
5:06.0,,,45-32,,Shooting foul by T. Zeller (drawn by B. Bogdanovic)
5:06.0,A. Johnson enters the game for T. Zeller,,45-32,,
5:06.0,,,45-33,1,B. Bogdanovic makes free throw 1 of 1
4:56.0,J. Crowder makes 3-pt shot from 24 ft (assist by K. Olynyk),3,48-33,,
4:39.0,,,48-35,2,S. Larkin makes 2-pt shot from 7 ft
4:22.0,K. Olynyk misses 3-pt shot from 25 ft,,48-35,,
4:18.0,,,48-35,,Defensive rebound by B. Lopez
4:01.0,,,48-35,,T. Young misses 2-pt shot from 7 ft
4:00.0,Defensive rebound by E. Turner,,48-35,,
3:50.0,K. Olynyk misses 2-pt shot from 17 ft,,48-35,,
3:48.0,,,48-35,,Defensive rebound by T. Young
3:43.0,,,48-35,,B. Lopez misses 2-pt shot from 3 ft (block by K. Olynyk)
3:41.0,Defensive rebound by E. Turner,,48-35,,
3:33.0,K. Olynyk makes 2-pt shot from 7 ft,2,50-35,,
3:08.0,,,50-35,,B. Bogdanovic misses 3-pt shot from 23 ft
3:05.0,,,50-35,,Offensive rebound by T. Young
3:04.0,,,50-35,,T. Young misses 2-pt shot from 4 ft (block by A. Johnson)
3:03.0,,,50-35,,Offensive rebound by T. Young
3:02.0,,,50-35,,T. Young misses 2-pt shot from 6 ft (block by A. Johnson)
2:59.0,,,50-35,,Offensive rebound by B. Bogdanovic
2:51.0,,,50-37,2,T. Young makes 2-pt shot from 7 ft (assist by B. Bogdanovic)
2:32.0,J. Crowder misses 3-pt shot from 24 ft,,50-37,,
2:30.0,,,50-37,,Defensive rebound by B. Lopez
2:18.0,,,50-37,,Turnover by T. Young (lost ball; steal by J. Crowder)
2:13.0,Official timeout,,50-37,,
2:13.0,M. Smart enters the game for E. Turner,,50-37,,
1:58.0,K. Olynyk makes 2-pt shot from 2 ft,2,52-37,,
1:39.0,,,52-37,,S. Larkin misses 3-pt shot from 24 ft
1:38.0,Defensive rebound by J. Crowder,,52-37,,
1:31.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,54-37,,
1:06.0,,,54-37,,Shooting foul by J. Crowder (drawn by B. Bogdanovic)
1:06.0,,,54-38,1,B. Bogdanovic makes free throw 1 of 2
1:06.0,,,54-39,1,B. Bogdanovic makes free throw 2 of 2
0:54.0,A. Johnson makes 2-pt shot at rim (assist by K. Olynyk),2,56-39,,
0:33.0,Personal foul by J. Crowder (drawn by J. Johnson),,56-39,,
0:33.0,,,56-40,1,J. Johnson makes free throw 1 of 2
0:33.0,,,56-40,,W. Reed enters the game for B. Lopez
0:33.0,E. Turner enters the game for J. Crowder,,56-40,,
0:33.0,,,56-40,,J. Johnson misses free throw 2 of 2
0:32.0,Defensive rebound by K. Olynyk,,56-40,,
0:19.0,I. Thomas misses 3-pt shot from 24 ft,,56-40,,
0:17.0,,,56-40,,Defensive rebound by B. Bogdanovic
0:08.0,,,56-42,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
0:08.0,Boston full timeout,,56-42,,
0:08.0,,,56-42,,W. Ellington enters the game for J. Johnson
0:08.0,J. Crowder enters the game for A. Johnson,,56-42,,
0:02.0,Turnover by E. Turner (dbl dribble),,56-42,,
0:02.0,,,56-42,,Brooklyn full timeout
0:02.0,J. Sullinger enters the game for J. Crowder,,56-42,,
0:02.0,J. Young enters the game for K. Olynyk,,56-42,,
0:02.0,A. Johnson enters the game for I. Thomas,,56-42,,
0:02.0,,,56-42,,J. Johnson enters the game for S. Larkin
0:02.0,,,56-42,,A. Bargnani enters the game for W. Reed
0:00.0,,,56-42,,T. Young misses 3-pt shot from 25 ft
0:00.0,,,56-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,E. Turner misses 2-pt shot from 1 ft,,56-42,,
11:41.0,,,56-42,,Defensive rebound by B. Bogdanovic
11:25.0,,,56-44,2,B. Lopez makes 2-pt shot from 1 ft
11:05.0,I. Thomas misses 2-pt shot at rim,,56-44,,
11:04.0,Offensive rebound by I. Thomas,,56-44,,
11:03.0,I. Thomas misses 2-pt shot from 1 ft,,56-44,,
11:02.0,,,56-44,,Defensive rebound by B. Bogdanovic
10:58.0,,,56-44,,Turnover by B. Bogdanovic (lost ball; steal by J. Crowder)
10:46.0,E. Turner misses 2-pt shot from 2 ft,,56-44,,
10:44.0,,,56-44,,Defensive rebound by S. Larkin
10:38.0,,,56-44,,B. Bogdanovic misses 3-pt shot from 26 ft
10:37.0,Defensive rebound by J. Crowder,,56-44,,
10:24.0,Turnover by K. Olynyk (lost ball; steal by T. Young),,56-44,,
10:24.0,Personal foul by K. Olynyk (drawn by S. Larkin),,56-44,,
10:04.0,,,56-46,2,T. Young makes 2-pt shot from 19 ft
9:38.0,I. Thomas makes 2-pt shot from 3 ft,2,58-46,,
9:16.0,,,58-46,,Shooting foul by A. Johnson (drawn by B. Lopez)
9:16.0,,,58-47,1,B. Lopez makes free throw 1 of 2
9:16.0,,,58-48,1,B. Lopez makes free throw 2 of 2
9:04.0,A. Johnson makes 2-pt shot from 6 ft (assist by I. Thomas),2,60-48,,
8:48.0,,,60-48,,T. Young misses 2-pt shot from 17 ft
8:47.0,,,60-48,,Offensive rebound by J. Johnson
8:41.0,,,60-48,,B. Bogdanovic misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by I. Thomas,,60-48,,
8:24.0,A. Johnson makes 2-pt shot from 2 ft (assist by E. Turner),2,62-48,,
7:59.0,,,62-48,,B. Lopez misses 2-pt shot from 5 ft
7:58.0,Defensive rebound by K. Olynyk,,62-48,,
7:50.0,E. Turner makes 2-pt shot from 9 ft (assist by I. Thomas),2,64-48,,
7:46.0,,,64-48,,Brooklyn full timeout
7:46.0,,,64-48,,W. Ellington enters the game for B. Bogdanovic
7:29.0,Personal foul by A. Johnson (drawn by B. Lopez),,64-48,,
7:17.0,,,64-48,,S. Larkin misses 2-pt shot from 15 ft
7:15.0,,,64-48,,Offensive rebound by T. Young
7:03.0,,,64-50,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
7:03.0,,,64-50,,Shooting foul by A. Johnson (drawn by B. Lopez)
7:03.0,,,64-51,1,B. Lopez makes free throw 1 of 1
6:42.0,K. Olynyk misses 2-pt shot from 17 ft,,64-51,,
6:41.0,,,64-51,,Defensive rebound by T. Young
6:25.0,,,64-53,2,T. Young makes 2-pt shot from 1 ft (assist by B. Lopez)
6:11.0,I. Thomas makes 2-pt shot from 2 ft,2,66-53,,
6:00.0,,,66-55,2,B. Lopez makes 2-pt shot at rim (assist by T. Young)
5:40.0,A. Johnson makes 2-pt shot from 6 ft,2,68-55,,
5:29.0,Def 3 sec tech foul by J. Crowder,,68-55,,
5:29.0,J. Sullinger enters the game for A. Johnson,,68-55,,
5:29.0,,,68-56,1,W. Ellington makes technical free throw
5:16.0,,,68-56,,J. Johnson misses 3-pt shot from 28 ft
5:15.0,Defensive rebound by E. Turner,,68-56,,
5:08.0,E. Turner makes 2-pt shot from 15 ft,2,70-56,,
4:49.0,,,70-56,,S. Larkin misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by J. Sullinger,,70-56,,
4:43.0,I. Thomas makes 2-pt shot from 2 ft,2,72-56,,
4:31.0,Personal foul by J. Sullinger (drawn by B. Lopez),,72-56,,
4:31.0,,,72-57,1,B. Lopez makes free throw 1 of 2
4:31.0,,,72-57,,D. Sloan enters the game for S. Larkin
4:31.0,,,72-58,1,B. Lopez makes free throw 2 of 2
4:11.0,Turnover by E. Turner (bad pass; steal by W. Ellington),,72-58,,
4:02.0,,,72-58,,T. Young misses 2-pt shot from 9 ft
4:01.0,Defensive rebound by J. Sullinger,,72-58,,
3:55.0,I. Thomas misses 3-pt shot from 24 ft,,72-58,,
3:53.0,Offensive rebound by K. Olynyk,,72-58,,
3:52.0,K. Olynyk misses 2-pt shot from 1 ft,,72-58,,
3:51.0,,,72-58,,Defensive rebound by T. Young
3:47.0,Personal foul by J. Sullinger (drawn by T. Young),,72-58,,
3:47.0,,,72-59,1,T. Young makes free throw 1 of 2
3:47.0,,,72-59,,W. Reed enters the game for B. Lopez
3:47.0,M. Smart enters the game for E. Turner,,72-59,,
3:47.0,,,72-59,,T. Young misses free throw 2 of 2
3:46.0,Defensive rebound by K. Olynyk,,72-59,,
3:30.0,J. Crowder misses 2-pt shot from 18 ft,,72-59,,
3:29.0,,,72-59,,Defensive rebound by Team
3:16.0,,,72-59,,W. Ellington misses 3-pt shot from 23 ft
3:15.0,Defensive rebound by J. Crowder,,72-59,,
3:08.0,K. Olynyk makes 2-pt shot from 1 ft,2,74-59,,
3:08.0,Shooting foul by W. Reed (drawn by K. Olynyk),,74-59,,
3:08.0,J. Young enters the game for I. Thomas,,74-59,,
3:08.0,K. Olynyk misses free throw 1 of 1,,74-59,,
3:07.0,,,74-59,,Defensive rebound by T. Young
2:45.0,,,74-62,3,T. Young makes 3-pt shot from 25 ft (assist by D. Sloan)
2:30.0,Shooting foul by W. Reed (drawn by J. Sullinger),,74-62,,
2:30.0,Boston full timeout,,74-62,,
2:30.0,,,74-62,,T. Robinson enters the game for W. Reed
2:30.0,J. Sullinger makes free throw 1 of 2,1,75-62,,
2:30.0,J. Sullinger makes free throw 2 of 2,1,76-62,,
2:29.0,Jump ball: D. Sloan vs. M. Smart (T. Young gains possession),,,,Jump ball: D. Sloan vs. M. Smart (T. Young gains possession)
2:06.0,,,76-62,,J. Johnson misses 2-pt shot from 7 ft
2:05.0,,,76-62,,Offensive rebound by T. Young
2:01.0,,,76-62,,W. Ellington misses 3-pt shot from 24 ft
2:00.0,,,76-62,,Offensive rebound by D. Sloan
1:55.0,,,76-64,2,W. Ellington makes 2-pt shot from 19 ft
1:37.0,J. Crowder misses 2-pt shot from 10 ft,,76-64,,
1:34.0,,,76-64,,Defensive rebound by J. Johnson
1:18.0,,,76-64,,J. Johnson misses 2-pt shot from 3 ft (block by J. Crowder)
1:17.0,,,76-64,,Offensive rebound by J. Johnson
1:16.0,,,76-64,,J. Johnson misses 2-pt shot at rim
1:15.0,,,76-64,,Offensive rebound by J. Johnson
1:14.0,,,76-66,2,J. Johnson makes 2-pt shot at rim
0:59.0,,,76-66,,Personal foul by T. Robinson (drawn by J. Sullinger)
0:59.0,,,76-66,,B. Bogdanovic enters the game for J. Johnson
0:59.0,J. Jerebko enters the game for K. Olynyk,,76-66,,
0:55.0,J. Sullinger misses 2-pt shot from 21 ft,,76-66,,
0:53.0,,,76-66,,Defensive rebound by B. Bogdanovic
0:37.0,,,76-66,,Turnover by D. Sloan (bad pass; steal by J. Sullinger)
0:35.0,Shooting foul by T. Robinson (drawn by J. Sullinger),,76-66,,
0:35.0,J. Sullinger makes 2-pt shot at rim (assist by J. Jerebko),2,78-66,,
0:35.0,J. Sullinger makes free throw 1 of 1,1,79-66,,
0:16.0,Personal foul by M. Smart (drawn by T. Robinson),,79-66,,
0:16.0,,,79-67,1,T. Robinson makes free throw 1 of 2
0:16.0,I. Thomas enters the game for M. Smart,,79-67,,
0:16.0,,,79-67,,S. Larkin enters the game for T. Young
0:16.0,,,79-68,1,T. Robinson makes free throw 2 of 2
0:02.0,Turnover by I. Thomas (bad pass; steal by D. Sloan),,79-68,,
0:00.0,,,79-68,,D. Sloan misses 3-pt shot from 41 ft
0:00.0,,,79-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,79-70,2,B. Lopez makes 2-pt shot from 4 ft
11:24.0,J. Young misses 3-pt shot from 24 ft,,79-70,,
11:23.0,,,79-70,,Defensive rebound by B. Bogdanovic
11:16.0,,,79-70,,Offensive foul by B. Lopez
11:16.0,,,79-70,,Turnover by B. Lopez (offensive foul)
11:01.0,J. Sullinger misses 2-pt shot from 19 ft,,79-70,,
11:00.0,,,79-70,,Defensive rebound by T. Robinson
10:49.0,,,79-70,,Shooting foul by J. Young (drawn by W. Ellington)
10:49.0,,,79-71,1,W. Ellington makes free throw 1 of 2
10:49.0,T. Zeller enters the game for J. Young,,79-71,,
10:49.0,,,79-71,,W. Ellington misses free throw 2 of 2
10:47.0,Defensive rebound by J. Sullinger,,79-71,,
10:30.0,Turnover by E. Turner (bad pass; steal by T. Robinson),,79-71,,
10:18.0,,,79-71,,B. Bogdanovic misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by E. Turner,,79-71,,
10:08.0,J. Jerebko makes 3-pt shot from 23 ft (assist by J. Sullinger),3,82-71,,
9:37.0,,,82-71,,W. Ellington misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by J. Sullinger,,82-71,,
9:26.0,J. Jerebko misses 3-pt shot from 22 ft,,82-71,,
9:25.0,,,82-71,,Defensive rebound by B. Bogdanovic
9:22.0,,,82-73,2,D. Sloan makes 2-pt shot from 2 ft
9:05.0,Turnover by E. Turner (traveling),,82-73,,
8:47.0,Personal foul by J. Sullinger (drawn by B. Bogdanovic),,82-73,,
8:47.0,Official timeout,,82-73,,
8:35.0,,,82-73,,B. Lopez misses 2-pt shot from 6 ft
8:34.0,Defensive rebound by T. Zeller,,82-73,,
8:21.0,M. Smart misses 2-pt shot from 1 ft,,82-73,,
8:20.0,Offensive rebound by T. Zeller,,82-73,,
8:19.0,T. Zeller misses 2-pt shot at rim,,82-73,,
8:18.0,Offensive rebound by T. Zeller,,82-73,,
8:17.0,T. Zeller misses 2-pt shot from 1 ft,,82-73,,
8:16.0,,,82-73,,Defensive rebound by T. Robinson
8:01.0,,,82-73,,B. Lopez misses 2-pt shot from 9 ft
7:59.0,Defensive rebound by J. Sullinger,,82-73,,
7:48.0,J. Sullinger misses 2-pt shot from 11 ft,,82-73,,
7:47.0,,,82-73,,Defensive rebound by T. Robinson
7:41.0,Personal foul by T. Zeller (drawn by B. Lopez),,82-73,,
7:41.0,,,82-74,1,B. Lopez makes free throw 1 of 2
7:41.0,I. Thomas enters the game for M. Smart,,82-74,,
7:41.0,,,82-74,,T. Young enters the game for T. Robinson
7:41.0,,,82-75,1,B. Lopez makes free throw 2 of 2
7:33.0,,,82-75,,Personal foul by W. Ellington (drawn by E. Turner)
7:21.0,T. Zeller misses 2-pt shot from 17 ft,,82-75,,
7:20.0,,,82-75,,Defensive rebound by D. Sloan
7:05.0,,,82-75,,B. Lopez misses 2-pt shot from 9 ft
7:04.0,Defensive rebound by J. Sullinger,,82-75,,
6:54.0,I. Thomas makes 2-pt shot from 19 ft,2,84-75,,
6:47.0,,,84-75,,Brooklyn full timeout
6:47.0,J. Crowder enters the game for J. Sullinger,,84-75,,
6:47.0,K. Olynyk enters the game for J. Jerebko,,84-75,,
6:47.0,,,84-75,,J. Johnson enters the game for B. Bogdanovic
6:29.0,,,84-75,,B. Lopez misses 2-pt shot from 5 ft
6:28.0,Defensive rebound by E. Turner,,84-75,,
6:15.0,I. Thomas misses 3-pt shot from 24 ft,,84-75,,
6:14.0,,,84-75,,Defensive rebound by Team
6:04.0,,,84-75,,W. Ellington misses 2-pt shot from 17 ft
6:03.0,Defensive rebound by I. Thomas,,84-75,,
5:57.0,T. Zeller misses 2-pt shot from 1 ft,,84-75,,
5:56.0,,,84-75,,Defensive rebound by D. Sloan
5:46.0,,,84-75,,Shooting foul by K. Olynyk (drawn by T. Young)
5:46.0,,,84-76,1,T. Young makes free throw 1 of 2
5:46.0,,,84-76,,T. Robinson enters the game for B. Lopez
5:46.0,,,84-77,1,T. Young makes free throw 2 of 2
5:31.0,I. Thomas misses 2-pt shot from 3 ft (block by T. Young),,84-77,,
5:31.0,,,84-77,,Defensive rebound by T. Young
5:31.0,A. Johnson enters the game for T. Zeller,,84-77,,
5:31.0,Jump ball: I. Thomas vs. T. Young,,,,Jump ball: I. Thomas vs. T. Young
5:10.0,,,84-77,,J. Johnson misses 2-pt shot from 15 ft
5:09.0,,,84-77,,Offensive rebound by T. Young
5:02.0,,,84-77,,Turnover by T. Robinson (3 sec)
4:47.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,87-77,,
4:27.0,,,87-79,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan)
4:09.0,I. Thomas makes 2-pt shot from 19 ft,2,89-79,,
