time,Dallas,pts.away,score,pts.home,Philadelphia
9:18.0,Defensive rebound by C. Parsons,,51-44,,
9:08.0,Turnover by D. Nowitzki (turnover),,51-44,,
9:08.0,R. Felton enters the game for C. Parsons,,51-44,,
8:49.0,,,51-46,2,J. Grant makes 2-pt shot from 6 ft
8:28.0,Turnover by Z. Pachulia (bad pass; steal by N. Noel),,51-46,,
8:23.0,,,51-46,,N. Stauskas misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by R. Felton,,51-46,,
8:15.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Felton),3,54-46,,
8:14.0,,,54-46,,Philadelphia full timeout
8:14.0,,,54-46,,H. Thompson enters the game for J. Grant
8:14.0,,,54-46,,R. Covington enters the game for N. Stauskas
7:57.0,,,54-49,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Okafor)
7:35.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,57-49,,
7:29.0,Personal block foul by W. Matthews (drawn by R. Covington),,57-49,,
7:17.0,,,57-51,2,N. Noel makes 2-pt shot from 1 ft (assist by R. Covington)
7:05.0,D. Nowitzki misses 2-pt shot from 18 ft,,57-51,,
7:04.0,,,57-51,,Defensive rebound by N. Noel
6:50.0,,,57-51,,J. Okafor misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by D. Nowitzki,,57-51,,
6:41.0,Turnover by R. Felton (lost ball),,57-51,,
6:22.0,,,57-51,,J. Okafor misses 2-pt shot from 18 ft
6:21.0,,,57-51,,Offensive rebound by R. Covington
6:13.0,,,57-53,2,T. McConnell makes 2-pt shot from 15 ft
6:00.0,,,57-53,,Personal foul by H. Thompson (drawn by D. Nowitzki)
6:00.0,,,57-53,,J. Grant enters the game for J. Okafor
5:59.0,Turnover by W. Matthews (bad pass; steal by T. McConnell),,57-53,,
5:54.0,Personal block foul by D. Williams (drawn by J. Grant),,57-53,,
5:54.0,D. Powell enters the game for D. Nowitzki,,57-53,,
5:39.0,,,57-53,,N. Noel misses 2-pt shot from 2 ft
5:37.0,Defensive rebound by D. Williams,,57-53,,
5:35.0,,,57-53,,Personal foul by T. McConnell (drawn by D. Williams)
5:21.0,D. Williams misses 3-pt shot from 25 ft,,57-53,,
5:19.0,Offensive rebound by W. Matthews,,57-53,,
5:17.0,W. Matthews misses 3-pt shot from 26 ft,,57-53,,
5:15.0,,,57-53,,Defensive rebound by N. Noel
4:59.0,,,57-55,2,T. McConnell makes 2-pt shot from 17 ft
4:52.0,Dallas full timeout,,57-55,,
4:52.0,,,57-55,,J. Okafor enters the game for N. Noel
4:52.0,D. Harris enters the game for W. Matthews,,57-55,,
4:42.0,D. Powell misses 2-pt shot from 16 ft,,57-55,,
4:40.0,,,57-55,,Defensive rebound by R. Covington
4:32.0,,,57-55,,Turnover by R. Covington (turnover)
4:25.0,Shooting foul by J. Okafor (drawn by Z. Pachulia),,57-55,,
4:25.0,Z. Pachulia misses free throw 1 of 2,,57-55,,
4:25.0,Offensive rebound by Team,,57-55,,
4:25.0,,,57-55,,I. Canaan enters the game for T. McConnell
4:25.0,Z. Pachulia makes free throw 2 of 2,1,58-55,,
4:12.0,,,58-55,,Turnover by H. Thompson (bad pass; steal by D. Harris)
4:12.0,,,58-55,,Clear path foul by R. Covington
4:12.0,D. Harris makes clear path free throw 1 of 2,1,59-55,,
4:12.0,D. Harris makes clear path free throw 2 of 2,1,60-55,,
4:01.0,Turnover by R. Felton (traveling),,60-55,,
3:53.0,,,60-55,,Turnover by R. Covington (lost ball; steal by D. Harris)
3:46.0,Turnover by D. Harris (bad pass; steal by J. Okafor),,60-55,,
3:39.0,,,60-55,,I. Canaan misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by D. Powell,,60-55,,
3:30.0,,,60-55,,Personal foul by R. Covington (drawn by D. Williams)
3:30.0,D. Williams makes free throw 1 of 2,1,61-55,,
3:30.0,,,61-55,,J. Sampson enters the game for J. Grant
3:30.0,C. Villanueva enters the game for Z. Pachulia,,61-55,,
3:30.0,D. Williams makes free throw 2 of 2,1,62-55,,
3:09.0,,,62-55,,J. Okafor misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by Team,,62-55,,
2:57.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams),2,64-55,,
2:45.0,,,64-55,,Turnover by R. Covington (lost ball; steal by D. Harris)
2:39.0,Turnover by R. Felton (bad pass; steal by R. Covington),,64-55,,
2:27.0,,,64-55,,R. Covington misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by D. Powell,,64-55,,
2:12.0,Turnover by D. Williams (lost ball; steal by I. Canaan),,64-55,,
2:04.0,Personal foul by D. Williams (drawn by J. Okafor),,64-55,,
2:04.0,,,64-55,,T. McConnell enters the game for H. Thompson
2:04.0,J. Barea enters the game for D. Williams,,64-55,,
2:04.0,D. Nowitzki enters the game for C. Villanueva,,64-55,,
1:56.0,,,64-55,,R. Covington misses 2-pt shot from 3 ft
1:56.0,,,64-55,,Offensive rebound by J. Okafor
1:56.0,,,64-55,,J. Okafor misses 2-pt shot from 1 ft
1:55.0,,,64-55,,Offensive rebound by J. Okafor
1:53.0,J. Anderson enters the game for R. Felton,,64-55,,
1:53.0,,,64-55,,Shooting foul by D. Harris (drawn by J. Okafor)
1:53.0,,,64-57,2,J. Okafor makes 2-pt shot from 2 ft
1:53.0,,,64-58,1,J. Okafor makes free throw 1 of 1
1:34.0,D. Nowitzki misses 2-pt shot from 17 ft,,64-58,,
1:33.0,,,64-58,,Defensive rebound by J. Okafor
1:21.0,,,64-61,3,I. Canaan makes 3-pt shot from 27 ft (assist by T. McConnell)
0:57.0,J. Barea makes 2-pt shot from 11 ft,2,66-61,,
0:49.0,,,66-63,2,J. Okafor makes 2-pt shot from 1 ft
0:38.0,,,66-63,,Personal block foul by R. Covington
0:38.0,J. Barea makes free throw 1 of 2,1,67-63,,
0:38.0,,,67-63,,H. Thompson enters the game for J. Sampson
0:38.0,Z. Pachulia enters the game for D. Powell,,67-63,,
0:38.0,J. Barea makes free throw 2 of 2,1,68-63,,
0:29.0,,,68-63,,I. Canaan misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by D. Nowitzki,,68-63,,
0:07.0,D. Harris misses 2-pt shot from 17 ft,,68-63,,
0:05.0,,,68-63,,Defensive rebound by J. Okafor
0:00.0,,,68-65,2,R. Covington makes 2-pt shot from 17 ft (assist by T. McConnell)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,68-65,,Offensive foul by J. Okafor
11:48.0,,,68-65,,Turnover by J. Okafor (offensive foul)
11:34.0,Offensive foul by Z. Pachulia,,68-65,,
11:34.0,Turnover by Z. Pachulia (offensive foul),,68-65,,
11:10.0,,,68-65,,T. McConnell misses 2-pt shot from 3 ft
11:08.0,Defensive rebound by J. Barea,,68-65,,
10:55.0,J. Barea makes 3-pt shot from 25 ft,3,71-65,,
10:32.0,,,71-67,2,J. Okafor makes 2-pt shot from 1 ft
10:21.0,J. Barea misses 2-pt shot from 7 ft (block by J. Okafor),,71-67,,
10:18.0,,,71-67,,Defensive rebound by T. McConnell
10:14.0,,,71-70,3,T. McConnell makes 3-pt shot from 25 ft
10:12.0,Dallas full timeout,,71-70,,
10:12.0,,,71-70,,J. Grant enters the game for J. Sampson
10:12.0,,,71-70,,R. Covington enters the game for T. McConnell
10:00.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,74-70,,
9:39.0,,,74-70,,I. Canaan misses 3-pt shot from 23 ft
9:37.0,Defensive rebound by Z. Pachulia,,74-70,,
9:30.0,J. Barea misses 3-pt shot from 24 ft,,74-70,,
9:28.0,,,74-70,,Defensive rebound by J. Okafor
9:11.0,,,74-72,2,J. Okafor makes 2-pt shot from 1 ft
8:59.0,D. Nowitzki misses 3-pt shot from 27 ft,,74-72,,
8:58.0,,,74-72,,Defensive rebound by J. Grant
8:48.0,,,74-72,,I. Canaan misses 3-pt shot from 26 ft
8:47.0,,,74-72,,Offensive rebound by Team
8:47.0,Loose ball foul by D. Harris (drawn by R. Covington),,74-72,,
8:47.0,D. Powell enters the game for D. Nowitzki,,74-72,,
8:40.0,,,74-72,,Shooting foul by W. Matthews (drawn by R. Covington)
8:40.0,,,74-73,1,R. Covington makes free throw 1 of 2
8:40.0,D. Williams enters the game for W. Matthews,,74-73,,
8:40.0,,,74-74,1,R. Covington makes free throw 2 of 2
8:36.0,,,74-74,,Personal foul by R. Covington (drawn by D. Harris)
8:28.0,Shooting foul by J. Okafor (drawn by D. Harris),,74-74,,
8:28.0,D. Harris makes free throw 1 of 2,1,75-74,,
8:28.0,,,75-74,,H. Thompson enters the game for J. Okafor
8:28.0,D. Harris misses free throw 2 of 2,,75-74,,
8:27.0,,,75-74,,Defensive rebound by H. Thompson
8:07.0,,,75-74,,N. Noel misses 2-pt shot from 4 ft
8:07.0,,,75-74,,Offensive rebound by R. Covington
8:07.0,,,75-74,,R. Covington misses 2-pt shot from 1 ft
8:07.0,,,75-74,,Offensive rebound by Team
7:50.0,,,75-76,2,J. Grant makes 2-pt shot from 2 ft (assist by N. Noel)
7:43.0,,,75-76,,Shooting block foul by N. Noel (drawn by D. Williams)
7:43.0,D. Williams makes free throw 1 of 2,1,76-76,,
7:43.0,R. Felton enters the game for D. Harris,,76-76,,
7:43.0,W. Matthews enters the game for J. Barea,,76-76,,
7:43.0,D. Williams makes free throw 2 of 2,1,77-76,,
7:30.0,,,77-76,,Turnover by N. Noel (bad pass; steal by D. Powell)
7:25.0,Turnover by D. Powell (lost ball),,77-76,,
7:07.0,,,77-78,2,J. Grant makes 2-pt shot from 2 ft
7:07.0,,,77-78,,Shooting foul by D. Powell (drawn by J. Grant)
7:07.0,Dallas full timeout,,77-78,,
7:07.0,,,77-78,,T. McConnell enters the game for R. Covington
7:07.0,D. Nowitzki enters the game for Z. Pachulia,,77-78,,
7:07.0,J. Evans enters the game for D. Powell,,77-78,,
7:07.0,,,77-78,,J. Grant misses free throw 1 of 1
7:06.0,Defensive rebound by D. Williams,,77-78,,
6:45.0,D. Nowitzki makes 2-pt shot from 21 ft,2,79-78,,
