time,Oklahoma City,pts.away,score,pts.home,Chicago
0:40.0,K. Singler misses 3-pt shot from 23 ft,,26-22,,
0:39.0,,,26-22,,Defensive rebound by T. Snell
0:35.0,Personal foul by K. Singler (drawn by T. Snell),,26-22,,
0:35.0,,,26-23,1,T. Snell makes free throw 1 of 2
0:35.0,,,26-23,,T. Gibson enters the game for P. Gasol
0:35.0,,,26-24,1,T. Snell makes free throw 2 of 2
0:28.0,R. Westbrook misses 2-pt shot from 6 ft,,26-24,,
0:27.0,Offensive rebound by R. Westbrook,,26-24,,
0:27.0,R. Westbrook makes 2-pt shot from 2 ft,2,28-24,,
0:07.0,,,28-24,,Shooting foul by D. Waiters (drawn by D. Rose)
0:07.0,,,28-25,1,D. Rose makes free throw 1 of 2
0:07.0,K. Durant enters the game for E. Kanter,,28-25,,
0:07.0,,,28-25,,D. Rose misses free throw 2 of 2
0:06.0,Defensive rebound by K. Durant,,28-25,,
0:00.0,K. Durant misses 2-pt shot from 8 ft,,28-25,,
0:00.0,Offensive rebound by Team,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-25,,D. Rose misses 2-pt shot from 2 ft
11:48.0,Defensive rebound by D. Waiters,,28-25,,
11:30.0,D. Augustin misses 3-pt shot from 25 ft,,28-25,,
11:28.0,,,28-25,,Defensive rebound by D. Rose
11:15.0,,,28-25,,T. Gibson misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by K. Durant,,28-25,,
11:04.0,K. Durant misses 2-pt shot from 2 ft,,28-25,,
11:03.0,,,28-25,,Defensive rebound by T. Snell
11:01.0,,,28-25,,Turnover by T. Snell (bad pass)
10:50.0,D. Waiters misses 2-pt shot from 18 ft,,28-25,,
10:49.0,,,28-25,,Defensive rebound by T. Snell
10:35.0,,,28-25,,D. Rose misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by D. Waiters,,28-25,,
10:28.0,S. Ibaka misses 2-pt shot from 20 ft,,28-25,,
10:27.0,,,28-25,,Defensive rebound by T. Gibson
10:21.0,,,28-28,3,A. Brooks makes 3-pt shot from 25 ft
10:02.0,Shooting foul by A. Brooks (drawn by D. Augustin),,28-28,,
10:02.0,D. Augustin makes free throw 1 of 2,1,29-28,,
10:02.0,A. Morrow enters the game for D. Waiters,,29-28,,
10:02.0,,,29-28,,J. Butler enters the game for T. Snell
10:02.0,D. Augustin makes free throw 2 of 2,1,30-28,,
9:54.0,,,30-28,,D. Rose misses 2-pt shot from 20 ft
9:54.0,,,30-28,,Offensive rebound by Team
9:54.0,Loose ball foul by S. Ibaka (drawn by J. Noah),,30-28,,
9:38.0,,,30-31,3,J. Butler makes 3-pt shot from 24 ft (assist by T. Gibson)
9:13.0,S. Ibaka misses 2-pt shot from 13 ft (block by T. Gibson),,30-31,,
9:11.0,,,30-31,,Defensive rebound by D. Rose
9:01.0,,,30-33,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
9:01.0,,,30-33,,Shooting foul by S. Ibaka (drawn by T. Gibson)
9:01.0,,,30-34,1,T. Gibson makes free throw 1 of 1
8:44.0,,,30-34,,Personal foul by T. Gibson (drawn by A. Morrow)
8:44.0,Oklahoma City full timeout,,30-34,,
8:35.0,K. Durant misses 2-pt shot from 10 ft,,30-34,,
8:34.0,,,30-34,,Defensive rebound by J. Noah
8:21.0,,,30-34,,Shooting foul by K. Durant (drawn by D. Rose)
8:21.0,,,30-35,1,D. Rose makes free throw 1 of 2
8:21.0,E. Kanter enters the game for N. Collison,,30-35,,
8:21.0,R. Westbrook enters the game for A. Morrow,,30-35,,
8:21.0,,,30-36,1,D. Rose makes free throw 2 of 2
8:10.0,K. Durant makes 2-pt shot from 18 ft (assist by D. Augustin),2,32-36,,
7:52.0,,,32-38,2,A. Brooks makes 2-pt shot from 3 ft
7:38.0,K. Durant misses 2-pt shot from 17 ft,,32-38,,
7:37.0,,,32-38,,Defensive rebound by J. Butler
7:21.0,,,32-40,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
7:02.0,D. Augustin misses 2-pt shot from 6 ft,,32-40,,
7:00.0,,,32-40,,Defensive rebound by J. Noah
6:53.0,,,32-40,,A. Brooks misses 2-pt shot from 7 ft
6:52.0,Defensive rebound by D. Augustin,,32-40,,
6:42.0,R. Westbrook makes 2-pt shot from 9 ft,2,34-40,,
6:27.0,,,34-40,,Shooting foul by E. Kanter (drawn by J. Butler)
6:27.0,,,34-41,1,J. Butler makes free throw 1 of 2
6:27.0,,,34-41,,N. Mirotic enters the game for J. Noah
6:27.0,,,34-41,,E. Moore enters the game for A. Brooks
6:27.0,,,34-42,1,J. Butler makes free throw 2 of 2
6:17.0,Shooting foul by T. Gibson (drawn by K. Durant),,34-42,,
6:17.0,K. Durant makes free throw 1 of 2,1,35-42,,
6:17.0,K. Durant misses free throw 2 of 2,,35-42,,
6:13.0,Offensive rebound by E. Kanter,,35-42,,
6:13.0,E. Kanter makes 2-pt shot from 2 ft,2,37-42,,
5:57.0,,,37-42,,D. Rose misses 2-pt shot from 20 ft
5:55.0,Defensive rebound by E. Kanter,,37-42,,
5:46.0,S. Ibaka misses 2-pt shot from 18 ft,,37-42,,
5:45.0,,,37-42,,Defensive rebound by T. Gibson
5:36.0,,,37-44,2,J. Butler makes 2-pt shot at rim (assist by D. Rose)
5:18.0,K. Durant misses 2-pt shot from 20 ft,,37-44,,
5:17.0,,,37-44,,Defensive rebound by T. Gibson
5:14.0,Violation by R. Westbrook (kicked ball),,37-44,,
5:14.0,,,37-44,,Chicago full timeout
5:14.0,S. Adams enters the game for E. Kanter,,37-44,,
5:02.0,,,37-44,,N. Mirotic misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by D. Augustin,,37-44,,
4:48.0,K. Durant makes 2-pt shot from 19 ft (assist by S. Adams),2,39-44,,
4:37.0,,,39-46,2,D. Rose makes 2-pt shot from 1 ft (assist by N. Mirotic)
4:20.0,S. Adams makes 2-pt shot from 8 ft (assist by K. Durant),2,41-46,,
4:08.0,,,41-46,,Shooting foul by R. Westbrook (drawn by J. Butler)
4:08.0,,,41-47,1,J. Butler makes free throw 1 of 2
4:08.0,D. Waiters enters the game for D. Augustin,,41-47,,
4:08.0,,,41-47,,A. Brooks enters the game for D. Rose
4:08.0,,,41-47,,P. Gasol enters the game for T. Gibson
4:08.0,,,41-48,1,J. Butler makes free throw 2 of 2
3:51.0,R. Westbrook makes 2-pt shot from 1 ft,2,43-48,,
3:30.0,,,43-48,,Shooting foul by D. Waiters (drawn by J. Butler)
3:30.0,,,43-49,1,J. Butler makes free throw 1 of 2
3:30.0,,,43-50,1,J. Butler makes free throw 2 of 2
3:22.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,45-50,,
3:07.0,,,45-50,,Turnover by N. Mirotic (lost ball)
2:52.0,S. Ibaka misses 2-pt shot from 11 ft,,45-50,,
2:51.0,,,45-50,,Defensive rebound by A. Brooks
2:35.0,,,45-50,,A. Brooks misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by S. Ibaka,,45-50,,
2:27.0,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook),2,47-50,,
2:05.0,Oklahoma City full timeout,,47-50,,
2:05.0,,,47-50,,D. Rose enters the game for N. Mirotic
2:05.0,,,47-50,,J. Noah enters the game for A. Brooks
2:02.0,,,47-53,3,J. Butler makes 3-pt shot from 25 ft (assist by D. Rose)
1:41.0,S. Ibaka makes 3-pt shot from 23 ft (assist by R. Westbrook),3,50-53,,
1:30.0,,,50-55,2,D. Rose makes 2-pt shot from 2 ft
1:15.0,K. Durant misses 2-pt shot from 15 ft,,50-55,,
1:14.0,,,50-55,,Defensive rebound by D. Rose
0:58.0,,,50-55,,J. Butler misses 3-pt shot from 25 ft
0:55.0,,,50-55,,Offensive rebound by J. Noah
0:55.0,,,50-55,,P. Gasol misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by S. Ibaka,,50-55,,
0:40.0,R. Westbrook misses 2-pt shot from 13 ft,,50-55,,
0:39.0,,,50-55,,Defensive rebound by P. Gasol
0:30.0,,,50-57,2,D. Rose makes 2-pt shot from 1 ft
0:08.0,Turnover by R. Westbrook (bad pass),,50-57,,
0:08.0,,,50-57,,N. Mirotic enters the game for J. Noah
0:08.0,,,50-57,,D. McDermott enters the game for E. Moore
0:00.0,,,50-57,,J. Butler misses 2-pt shot from 20 ft
0:00.0,,,50-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,50-57,,D. Rose misses 2-pt shot from 4 ft
11:36.0,Defensive rebound by S. Adams,,50-57,,
11:28.0,Shooting foul by N. Mirotic (drawn by S. Ibaka),,50-57,,
11:28.0,S. Ibaka misses free throw 1 of 2,,50-57,,
11:28.0,Offensive rebound by Team,,50-57,,
11:28.0,S. Ibaka misses free throw 2 of 2,,50-57,,
11:26.0,,,50-57,,Defensive rebound by D. Rose
11:13.0,Shooting block foul by R. Westbrook (drawn by D. McDermott),,50-57,,
11:13.0,,,50-58,1,D. McDermott makes free throw 1 of 2
11:13.0,,,50-59,1,D. McDermott makes free throw 2 of 2
10:54.0,S. Adams makes 2-pt shot from 1 ft,2,52-59,,
10:35.0,,,52-59,,J. Butler misses 2-pt shot from 1 ft
10:34.0,,,52-59,,Offensive rebound by N. Mirotic
10:34.0,,,52-61,2,N. Mirotic makes 2-pt shot from 1 ft
10:17.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,54-61,,
10:04.0,,,54-61,,Turnover by D. Rose (bad pass; steal by A. Roberson)
10:00.0,R. Westbrook misses 2-pt shot from 1 ft (block by J. Butler),,54-61,,
10:00.0,,,54-61,,Defensive rebound by Team
9:43.0,,,54-61,,D. Rose misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by S. Adams,,54-61,,
9:30.0,K. Durant misses 3-pt shot from 24 ft,,54-61,,
9:29.0,,,54-61,,Defensive rebound by N. Mirotic
9:24.0,,,54-61,,N. Mirotic misses 3-pt shot from 24 ft
9:22.0,,,54-61,,Offensive rebound by P. Gasol
9:17.0,,,54-61,,J. Butler misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by R. Westbrook,,54-61,,
9:08.0,K. Durant misses 2-pt shot at rim,,54-61,,
9:05.0,Offensive rebound by S. Ibaka,,54-61,,
9:00.0,Turnover by R. Westbrook (bad pass; steal by P. Gasol),,54-61,,
8:57.0,,,54-63,2,D. McDermott makes 2-pt shot at rim (assist by J. Butler)
8:33.0,S. Ibaka misses 2-pt shot from 20 ft,,54-63,,
8:32.0,,,54-63,,Defensive rebound by N. Mirotic
8:24.0,,,54-63,,N. Mirotic misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by R. Westbrook,,54-63,,
8:16.0,Shooting foul by D. Rose (drawn by R. Westbrook),,54-63,,
8:16.0,R. Westbrook makes free throw 1 of 2,1,55-63,,
8:16.0,R. Westbrook makes free throw 2 of 2,1,56-63,,
8:03.0,,,56-63,,J. Butler misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by R. Westbrook,,56-63,,
7:55.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,59-63,,
7:53.0,,,59-63,,Chicago full timeout
7:53.0,,,59-63,,J. Noah enters the game for N. Mirotic
7:39.0,,,59-63,,P. Gasol misses 2-pt shot from 2 ft (block by S. Ibaka)
7:39.0,,,59-63,,Offensive rebound by Team
7:33.0,,,59-65,2,D. Rose makes 2-pt shot from 15 ft (assist by P. Gasol)
7:07.0,S. Ibaka makes 2-pt shot from 19 ft (assist by A. Roberson),2,61-65,,
6:50.0,,,61-67,2,D. Rose makes 2-pt shot from 2 ft
6:33.0,K. Durant makes 2-pt shot from 13 ft,2,63-67,,
6:21.0,,,63-67,,Turnover by D. Rose (bad pass)
6:09.0,R. Westbrook misses 3-pt shot from 24 ft,,63-67,,
6:08.0,,,63-67,,Defensive rebound by P. Gasol
5:51.0,,,63-69,2,D. Rose makes 2-pt shot from 1 ft
5:38.0,Turnover by S. Ibaka (bad pass; steal by J. Butler),,63-69,,
5:19.0,,,63-69,,D. McDermott misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by S. Ibaka,,63-69,,
4:59.0,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook),3,66-69,,
4:48.0,,,66-69,,J. Butler misses 2-pt shot from 2 ft
4:47.0,Defensive rebound by S. Adams,,66-69,,
4:41.0,R. Westbrook makes 2-pt shot from 1 ft,2,68-69,,
4:16.0,,,68-69,,J. Butler misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by S. Adams,,68-69,,
4:11.0,Offensive charge foul by K. Durant,,68-69,,
4:11.0,Turnover by K. Durant (offensive foul),,68-69,,
4:11.0,,,68-69,,T. Snell enters the game for D. McDermott
3:56.0,,,68-71,2,J. Noah makes 2-pt shot from 2 ft (assist by T. Snell)
3:37.0,S. Ibaka misses 2-pt shot from 19 ft,,68-71,,
3:35.0,,,68-71,,Defensive rebound by T. Snell
3:32.0,,,68-71,,T. Snell misses 2-pt shot from 2 ft (block by S. Ibaka)
3:31.0,Defensive rebound by S. Adams,,68-71,,
3:21.0,K. Durant makes 2-pt shot from 14 ft,2,70-71,,
3:21.0,Shooting foul by J. Butler (drawn by K. Durant),,70-71,,
3:21.0,E. Kanter enters the game for S. Adams,,70-71,,
3:21.0,D. Augustin enters the game for R. Westbrook,,70-71,,
3:21.0,K. Durant makes free throw 1 of 1,1,71-71,,
3:00.0,,,71-71,,Shooting foul by A. Roberson (drawn by P. Gasol)
3:00.0,,,71-71,,P. Gasol misses free throw 1 of 2
3:00.0,,,71-71,,Offensive rebound by Team
3:00.0,,,71-71,,A. Brooks enters the game for D. Rose
3:00.0,,,71-72,1,P. Gasol makes free throw 2 of 2
2:40.0,E. Kanter misses 2-pt shot from 7 ft,,71-72,,
2:38.0,Offensive rebound by A. Roberson,,71-72,,
2:38.0,A. Roberson misses 2-pt shot from 1 ft,,71-72,,
2:37.0,,,71-72,,Defensive rebound by J. Noah
2:30.0,,,71-72,,T. Snell misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by D. Augustin,,71-72,,
2:19.0,K. Durant misses 2-pt shot from 1 ft (block by P. Gasol),,71-72,,
2:17.0,,,71-72,,Defensive rebound by P. Gasol
2:12.0,,,71-72,,A. Brooks misses 2-pt shot at rim (block by D. Augustin)
2:09.0,,,71-72,,Offensive rebound by A. Brooks
2:06.0,,,71-72,,T. Snell misses 3-pt shot from 22 ft
2:05.0,Defensive rebound by A. Roberson,,71-72,,
2:00.0,D. Augustin misses 2-pt shot from 1 ft,,71-72,,
1:59.0,,,71-72,,Defensive rebound by P. Gasol
1:48.0,,,71-72,,A. Brooks misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by E. Kanter,,71-72,,
1:40.0,,,71-72,,Personal foul by T. Snell (drawn by K. Durant)
1:40.0,Oklahoma City full timeout,,71-72,,
1:40.0,,,71-72,,T. Gibson enters the game for P. Gasol
1:40.0,,,71-72,,E. Moore enters the game for T. Snell
1:40.0,N. Collison enters the game for S. Ibaka,,71-72,,
1:40.0,D. Waiters enters the game for A. Roberson,,71-72,,
1:24.0,K. Durant misses 3-pt shot from 30 ft,,71-72,,
1:22.0,Offensive rebound by E. Kanter,,71-72,,
1:22.0,E. Kanter misses 2-pt shot from 1 ft (block by E. Moore),,71-72,,
1:20.0,,,71-72,,Defensive rebound by E. Moore
1:02.0,,,71-74,2,J. Butler makes 2-pt shot from 2 ft
0:48.0,K. Durant makes 2-pt shot from 14 ft (assist by E. Kanter),2,73-74,,
0:25.0,,,73-76,2,A. Brooks makes 2-pt shot from 6 ft (assist by T. Gibson)
0:01.0,Turnover by K. Durant (bad pass; steal by E. Moore),,73-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,E. Kanter makes 2-pt shot from 4 ft,2,75-76,,
11:29.0,Personal foul by N. Collison (drawn by T. Gibson),,75-76,,
11:15.0,,,75-78,2,A. Brooks makes 2-pt shot from 1 ft
10:55.0,D. Augustin makes 2-pt shot from 1 ft,2,77-78,,
10:45.0,,,77-78,,J. Noah misses 2-pt shot from 4 ft (block by E. Kanter)
10:45.0,,,77-78,,Offensive rebound by Team
10:42.0,Personal foul by D. Waiters (drawn by E. Moore),,77-78,,
10:35.0,,,77-80,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
10:08.0,Turnover by N. Collison (traveling),,77-80,,
9:55.0,,,77-82,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Noah)
9:39.0,E. Kanter misses 2-pt shot from 20 ft,,77-82,,
9:38.0,,,77-82,,Defensive rebound by E. Moore
9:34.0,Personal foul by N. Collison (drawn by E. Moore),,77-82,,
9:34.0,R. Westbrook enters the game for D. Augustin,,77-82,,
9:34.0,S. Ibaka enters the game for N. Collison,,77-82,,
9:34.0,,,77-82,,D. Rose enters the game for A. Brooks
9:27.0,,,77-85,3,D. McDermott makes 3-pt shot from 24 ft (assist by D. Rose)
9:11.0,Turnover by E. Kanter (offensive goaltending),,77-85,,
8:51.0,,,77-87,2,D. Rose makes 2-pt shot from 13 ft
8:48.0,Oklahoma City full timeout,,77-87,,
8:39.0,,,77-87,,Personal foul by J. Noah (drawn by R. Westbrook)
8:31.0,Shooting foul by J. Noah (drawn by E. Kanter),,77-87,,
8:31.0,,,77-87,,Violation by Team (delay of game)
8:31.0,E. Kanter makes free throw 1 of 2,1,78-87,,
8:31.0,,,78-87,,J. Butler enters the game for E. Moore
8:31.0,K. Durant enters the game for A. Morrow,,78-87,,
8:31.0,E. Kanter makes free throw 2 of 2,1,79-87,,
8:14.0,,,79-87,,D. Rose misses 2-pt shot from 13 ft
8:13.0,Defensive rebound by R. Westbrook,,79-87,,
8:02.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,82-87,,
7:46.0,,,82-90,3,J. Butler makes 3-pt shot from 24 ft (assist by T. Gibson)
7:18.0,K. Durant misses 2-pt shot from 2 ft,,82-90,,
7:17.0,Offensive rebound by E. Kanter,,82-90,,
7:17.0,E. Kanter misses 2-pt shot from 1 ft,,82-90,,
7:15.0,Offensive rebound by R. Westbrook,,82-90,,
7:05.0,Shooting foul by J. Butler (drawn by E. Kanter),,82-90,,
7:05.0,E. Kanter makes free throw 1 of 2,1,83-90,,
7:05.0,E. Kanter makes free throw 2 of 2,1,84-90,,
6:46.0,,,84-90,,J. Noah misses 2-pt shot from 2 ft (block by K. Durant)
6:45.0,Defensive rebound by K. Durant,,84-90,,
6:29.0,,,84-90,,Personal foul by D. McDermott (drawn by E. Kanter)
6:14.0,K. Durant misses 3-pt shot from 27 ft,,84-90,,
6:13.0,Offensive rebound by D. Waiters,,84-90,,
6:04.0,Shooting foul by J. Noah (drawn by R. Westbrook),,84-90,,
6:04.0,R. Westbrook makes free throw 1 of 2,1,85-90,,
6:04.0,,,85-90,,P. Gasol enters the game for J. Noah
6:04.0,R. Westbrook makes free throw 2 of 2,1,86-90,,
5:46.0,,,86-90,,J. Butler misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by D. Waiters,,86-90,,
5:41.0,K. Durant makes 2-pt shot at rim (assist by D. Waiters),2,88-90,,
5:41.0,,,88-90,,Chicago full timeout
5:41.0,,,88-90,,E. Moore enters the game for D. McDermott
5:20.0,,,88-90,,D. Rose misses 2-pt shot from 16 ft
5:19.0,Defensive rebound by R. Westbrook,,88-90,,
5:07.0,Shooting foul by P. Gasol (drawn by K. Durant),,88-90,,
5:07.0,K. Durant makes free throw 1 of 2,1,89-90,,
5:07.0,K. Durant makes free throw 2 of 2,1,90-90,,
4:49.0,,,90-90,,J. Butler misses 2-pt shot from 17 ft
4:48.0,Defensive rebound by E. Kanter,,90-90,,
4:36.0,R. Westbrook misses 2-pt shot from 13 ft,,90-90,,
4:35.0,,,90-90,,Defensive rebound by P. Gasol
4:24.0,,,90-92,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose)
3:59.0,K. Durant makes 2-pt shot from 15 ft,2,92-92,,
3:38.0,,,92-92,,D. Rose misses 2-pt shot from 6 ft
3:36.0,,,92-92,,Offensive rebound by D. Rose
3:36.0,,,92-94,2,D. Rose makes 2-pt shot from 7 ft
3:11.0,D. Waiters makes 2-pt shot from 20 ft (assist by S. Ibaka),2,94-94,,
2:48.0,,,94-96,2,D. Rose makes 2-pt shot from 14 ft
2:29.0,K. Durant misses 2-pt shot from 18 ft,,94-96,,
2:29.0,Offensive rebound by Team,,94-96,,
2:29.0,Oklahoma City full timeout,,94-96,,
2:23.0,R. Westbrook misses 2-pt shot from 17 ft,,94-96,,
2:22.0,,,94-96,,Defensive rebound by J. Butler
2:10.0,,,94-96,,Shooting foul by E. Kanter (drawn by D. Rose)
2:10.0,,,94-97,1,D. Rose makes free throw 1 of 2
2:10.0,,,94-98,1,D. Rose makes free throw 2 of 2
