time,Miami,pts.away,score,pts.home,Dallas
4:36.0,,,9-16,,C. Parsons misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by L. Deng,,9-16,,
4:30.0,Shooting foul by J. Anderson (drawn by L. Deng),,9-16,,
4:30.0,L. Deng makes free throw 1 of 2,1,10-16,,
4:30.0,G. Green enters the game for D. Wade,,10-16,,
4:30.0,L. Deng makes free throw 2 of 2,1,11-16,,
4:08.0,,,11-16,,R. Felton misses 2-pt shot from 18 ft
4:05.0,,,11-16,,Offensive rebound by J. McGee
3:58.0,,,11-16,,C. Parsons misses 2-pt shot from 1 ft (block by A. Stoudemire)
3:55.0,Defensive rebound by G. Green,,11-16,,
3:45.0,Shooting foul by J. McGee (drawn by A. Stoudemire),,11-16,,
3:45.0,A. Stoudemire makes free throw 1 of 2,1,12-16,,
3:45.0,A. Stoudemire makes free throw 2 of 2,1,13-16,,
3:26.0,Violation by G. Dragic (kicked ball),,13-16,,
3:26.0,,,13-16,,Dallas full timeout
3:26.0,C. Bosh enters the game for L. Deng,,13-16,,
3:26.0,J. McRoberts enters the game for A. Stoudemire,,13-16,,
3:15.0,,,13-16,,W. Matthews misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by J. McRoberts,,13-16,,
2:59.0,C. Bosh makes 2-pt shot from 18 ft,2,15-16,,
2:34.0,,,15-16,,J. Anderson misses 2-pt shot from 10 ft
2:33.0,Defensive rebound by C. Bosh,,15-16,,
2:24.0,G. Dragic misses 2-pt shot from 6 ft,,15-16,,
2:23.0,,,15-16,,Defensive rebound by C. Parsons
2:08.0,,,15-18,2,J. McGee makes 2-pt shot at rim (assist by R. Felton)
1:53.0,J. McRoberts makes 2-pt shot from 1 ft (assist by G. Dragic),2,17-18,,
1:34.0,,,17-20,2,C. Parsons makes 2-pt shot from 2 ft (assist by R. Felton)
1:34.0,,,17-20,,Shooting foul by J. Winslow (drawn by C. Parsons)
1:34.0,B. Udrih enters the game for G. Dragic,,17-20,,
1:34.0,,,17-20,,J. Barea enters the game for W. Matthews
1:34.0,,,17-20,,Z. Pachulia enters the game for J. McGee
1:34.0,,,17-20,,D. Nowitzki enters the game for J. Anderson
1:34.0,,,17-21,1,C. Parsons makes free throw 1 of 1
1:21.0,G. Green misses 2-pt shot from 15 ft,,17-21,,
1:20.0,,,17-21,,Defensive rebound by Z. Pachulia
1:10.0,,,17-21,,Z. Pachulia misses 2-pt shot from 7 ft
1:09.0,Defensive rebound by J. Winslow,,17-21,,
0:57.0,C. Bosh makes 2-pt shot from 2 ft,2,19-21,,
0:43.0,,,19-21,,D. Nowitzki misses 2-pt shot from 16 ft
0:42.0,Defensive rebound by B. Udrih,,19-21,,
0:31.0,C. Bosh makes 2-pt shot from 1 ft (assist by B. Udrih),2,21-21,,
0:31.0,Shooting foul by D. Nowitzki (drawn by C. Bosh),,21-21,,
0:31.0,C. Bosh misses free throw 1 of 1,,21-21,,
0:30.0,,,21-21,,Defensive rebound by Z. Pachulia
0:12.0,,,21-21,,C. Parsons misses 2-pt shot from 18 ft
0:11.0,Defensive rebound by J. McRoberts,,21-21,,
0:03.0,B. Udrih misses 2-pt shot from 2 ft,,21-21,,
0:02.0,,,21-21,,Defensive rebound by C. Parsons
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting block foul by C. Bosh (drawn by D. Nowitzki),,21-21,,
11:49.0,,,21-22,1,D. Nowitzki makes free throw 1 of 2
11:49.0,,,21-23,1,D. Nowitzki makes free throw 2 of 2
11:37.0,C. Bosh misses 2-pt shot from 18 ft,,21-23,,
11:36.0,,,21-23,,Defensive rebound by J. Anderson
11:22.0,,,21-26,3,J. Barea makes 3-pt shot from 25 ft (assist by R. Felton)
11:09.0,J. McRoberts misses 3-pt shot from 24 ft,,21-26,,
11:08.0,,,21-26,,Defensive rebound by Z. Pachulia
11:01.0,,,21-26,,R. Felton misses 2-pt shot from 5 ft
11:00.0,,,21-26,,Offensive rebound by Z. Pachulia
10:59.0,,,21-28,2,Z. Pachulia makes 2-pt shot at rim
10:36.0,C. Bosh misses 3-pt shot from 23 ft,,21-28,,
10:35.0,Offensive rebound by C. Bosh,,21-28,,
10:33.0,C. Bosh misses 3-pt shot from 23 ft,,21-28,,
10:32.0,,,21-28,,Defensive rebound by J. Anderson
10:27.0,Personal foul by C. Bosh,,21-28,,
10:11.0,,,21-30,2,D. Nowitzki makes 2-pt shot from 2 ft
10:03.0,Miami full timeout,,21-30,,
9:48.0,G. Green misses 3-pt shot from 24 ft,,21-30,,
9:47.0,,,21-30,,Defensive rebound by J. Anderson
9:37.0,,,21-30,,J. Barea misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by J. McRoberts,,21-30,,
9:29.0,J. McRoberts misses 2-pt shot from 2 ft (block by D. Nowitzki),,21-30,,
9:29.0,Offensive rebound by Team,,21-30,,
9:20.0,C. Bosh makes 2-pt shot from 14 ft,2,23-30,,
9:02.0,,,23-30,,D. Nowitzki misses 2-pt shot from 6 ft
9:01.0,Defensive rebound by C. Bosh,,23-30,,
8:53.0,Turnover by B. Udrih (bad pass; steal by J. Anderson),,23-30,,
8:49.0,,,23-32,2,J. Anderson makes 2-pt shot at rim
8:26.0,B. Udrih makes 2-pt shot from 11 ft,2,25-32,,
8:16.0,,,25-32,,J. Barea misses 2-pt shot from 2 ft (block by J. Winslow)
8:15.0,Defensive rebound by G. Green,,25-32,,
8:11.0,J. Winslow makes 2-pt shot from 10 ft (assist by G. Green),2,27-32,,
8:11.0,,,27-32,,Dallas full timeout
8:11.0,H. Whiteside enters the game for C. Bosh,,27-32,,
7:56.0,,,27-32,,D. Nowitzki misses 2-pt shot from 19 ft
7:56.0,Defensive rebound by B. Udrih,,27-32,,
7:48.0,B. Udrih makes 2-pt shot from 16 ft,2,29-32,,
7:32.0,,,29-32,,R. Felton misses 2-pt shot from 21 ft
7:31.0,Defensive rebound by B. Udrih,,29-32,,
7:26.0,B. Udrih makes 2-pt shot from 17 ft,2,31-32,,
7:13.0,,,31-32,,J. Barea misses 2-pt shot from 5 ft (block by H. Whiteside)
7:12.0,Defensive rebound by J. Winslow,,31-32,,
7:03.0,,,31-32,,J. McGee enters the game for D. Nowitzki
7:03.0,,,31-32,,W. Matthews enters the game for Z. Pachulia
7:03.0,,,31-32,,C. Parsons enters the game for J. Barea
6:53.0,B. Udrih misses 3-pt shot from 22 ft,,31-32,,
6:52.0,,,31-32,,Defensive rebound by J. McGee
6:31.0,,,31-32,,C. Parsons misses 2-pt shot from 3 ft
6:28.0,,,31-32,,Offensive rebound by J. McGee
6:27.0,,,31-32,,Turnover by J. McGee (lost ball; steal by J. Winslow)
6:09.0,H. Whiteside makes 2-pt shot at rim,2,33-32,,
5:55.0,Personal foul by J. Winslow (drawn by C. Parsons),,33-32,,
5:55.0,D. Wade enters the game for J. Winslow,,33-32,,
5:55.0,G. Dragic enters the game for J. McRoberts,,33-32,,
5:55.0,L. Deng enters the game for B. Udrih,,33-32,,
5:41.0,,,33-32,,W. Matthews misses 2-pt shot from 4 ft
5:40.0,Defensive rebound by H. Whiteside,,33-32,,
5:25.0,Turnover by L. Deng (offensive foul),,33-32,,
5:25.0,Offensive foul by L. Deng,,33-32,,
5:04.0,,,33-32,,R. Felton misses 2-pt shot from 1 ft
5:03.0,,,33-32,,Offensive rebound by J. McGee
5:03.0,,,33-34,2,J. McGee makes 2-pt shot at rim
4:41.0,Turnover by G. Dragic (bad pass),,33-34,,
4:28.0,,,33-34,,W. Matthews misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by G. Green,,33-34,,
4:20.0,Offensive foul by H. Whiteside,,33-34,,
4:20.0,Turnover by H. Whiteside (offensive foul),,33-34,,
4:10.0,,,33-34,,Turnover by C. Parsons (bad pass; steal by H. Whiteside)
4:06.0,,,33-34,,Flagrant foul type 1 by J. Anderson (drawn by G. Green)
4:06.0,G. Green misses flagrant free throw 1 of 2,,33-34,,
4:06.0,Offensive rebound by Team,,33-34,,
4:06.0,G. Green makes flagrant free throw 2 of 2,1,34-34,,
4:06.0,,,34-34,,D. Nowitzki enters the game for J. Anderson
4:06.0,,,34-34,,Z. Pachulia enters the game for R. Felton
4:06.0,,,34-34,,J. Barea enters the game for J. McGee
3:57.0,G. Dragic misses 2-pt shot from 3 ft,,34-34,,
3:55.0,Offensive rebound by H. Whiteside,,34-34,,
3:55.0,H. Whiteside makes 2-pt shot at rim,2,36-34,,
3:44.0,,,36-34,,Shooting foul by G. Green (drawn by Z. Pachulia)
3:44.0,,,36-34,,Z. Pachulia misses free throw 1 of 2
3:44.0,,,36-34,,Offensive rebound by Team
3:44.0,,,36-34,,Z. Pachulia misses free throw 2 of 2
3:43.0,Defensive rebound by G. Green,,36-34,,
3:29.0,H. Whiteside makes 2-pt shot from 4 ft (assist by D. Wade),2,38-34,,
3:13.0,,,38-34,,W. Matthews misses 3-pt shot from 24 ft
3:12.0,,,38-34,,Offensive rebound by Z. Pachulia
3:09.0,,,38-34,,W. Matthews misses 2-pt shot from 2 ft
3:07.0,,,38-34,,Offensive rebound by Z. Pachulia
3:00.0,,,38-37,3,J. Barea makes 3-pt shot from 22 ft (assist by C. Parsons)
2:47.0,Shooting foul by D. Nowitzki (drawn by L. Deng),,38-37,,
2:47.0,Official timeout,,38-37,,
2:47.0,L. Deng makes free throw 1 of 2,1,39-37,,
2:47.0,L. Deng makes free throw 2 of 2,1,40-37,,
2:31.0,,,40-39,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by Z. Pachulia)
2:11.0,G. Dragic makes 3-pt shot from 24 ft (assist by L. Deng),3,43-39,,
1:50.0,Personal foul by L. Deng (drawn by D. Nowitzki),,43-39,,
1:50.0,,,43-40,1,D. Nowitzki makes free throw 1 of 2
1:50.0,,,43-41,1,D. Nowitzki makes free throw 2 of 2
1:37.0,D. Wade misses 2-pt shot from 3 ft,,43-41,,
1:36.0,Offensive rebound by D. Wade,,43-41,,
1:34.0,D. Wade misses 2-pt shot at rim,,43-41,,
1:33.0,Offensive rebound by H. Whiteside,,43-41,,
1:32.0,H. Whiteside makes 2-pt shot at rim,2,45-41,,
1:07.0,,,45-43,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Barea)
0:49.0,D. Wade makes 2-pt shot from 5 ft,2,47-43,,
0:38.0,,,47-43,,J. Barea misses 2-pt shot from 4 ft (block by H. Whiteside)
0:36.0,Defensive rebound by G. Dragic,,47-43,,
0:25.0,L. Deng misses 2-pt shot from 19 ft,,47-43,,
0:24.0,,,47-43,,Defensive rebound by Z. Pachulia
0:04.0,,,47-45,2,Z. Pachulia makes 2-pt shot from 1 ft
0:04.0,,,47-45,,Shooting foul by H. Whiteside (drawn by Z. Pachulia)
0:04.0,,,47-45,,J. Anderson enters the game for D. Nowitzki
0:04.0,,,47-46,1,Z. Pachulia makes free throw 1 of 1
0:01.0,D. Wade misses 3-pt shot from 28 ft,,47-46,,
0:00.0,Offensive rebound by Team,,47-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,47-48,2,D. Nowitzki makes 2-pt shot at rim (assist by J. Barea)
11:24.0,C. Bosh misses 2-pt shot from 12 ft,,47-48,,
11:23.0,,,47-48,,Defensive rebound by C. Parsons
11:17.0,,,47-48,,J. Barea misses 2-pt shot from 3 ft
11:16.0,Defensive rebound by D. Wade,,47-48,,
11:06.0,D. Wade misses 2-pt shot from 11 ft,,47-48,,
11:05.0,Offensive rebound by A. Stoudemire,,47-48,,
11:01.0,D. Wade makes 2-pt shot from 18 ft (assist by A. Stoudemire),2,49-48,,
10:31.0,,,49-51,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by W. Matthews)
10:13.0,G. Dragic makes 2-pt shot from 11 ft,2,51-51,,
9:52.0,,,51-53,2,W. Matthews makes 2-pt shot from 21 ft
9:37.0,C. Bosh misses 2-pt shot from 19 ft (block by D. Nowitzki),,51-53,,
9:35.0,Offensive rebound by L. Deng,,51-53,,
9:35.0,L. Deng makes 2-pt shot from 1 ft,2,53-53,,
9:16.0,,,53-55,2,D. Nowitzki makes 2-pt shot from 10 ft
9:05.0,G. Dragic misses 2-pt shot from 15 ft,,53-55,,
9:04.0,,,53-55,,Defensive rebound by D. Nowitzki
8:50.0,,,53-55,,D. Nowitzki misses 2-pt shot from 15 ft
8:50.0,Defensive rebound by A. Stoudemire,,53-55,,
8:42.0,G. Dragic misses 2-pt shot from 1 ft,,53-55,,
8:41.0,,,53-55,,Defensive rebound by Z. Pachulia
8:25.0,Personal block foul by G. Dragic (drawn by D. Nowitzki),,53-55,,
8:19.0,,,53-57,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews)
8:05.0,D. Wade makes 2-pt shot from 19 ft (assist by G. Dragic),2,55-57,,
7:45.0,,,55-59,2,D. Nowitzki makes 2-pt shot from 13 ft
7:16.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by D. Wade),2,57-59,,
6:52.0,,,57-59,,J. Barea misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by A. Stoudemire,,57-59,,
6:34.0,L. Deng makes 2-pt shot at rim,2,59-59,,
6:33.0,,,59-59,,Dallas full timeout
6:16.0,,,59-59,,D. Nowitzki misses 2-pt shot from 19 ft
6:15.0,Defensive rebound by D. Wade,,59-59,,
6:06.0,C. Bosh makes 2-pt shot from 17 ft (assist by G. Dragic),2,61-59,,
5:46.0,,,61-59,,Z. Pachulia misses 2-pt shot from 3 ft
5:45.0,Defensive rebound by A. Stoudemire,,61-59,,
5:27.0,G. Dragic misses 3-pt shot from 25 ft,,61-59,,
5:26.0,,,61-59,,Defensive rebound by C. Parsons
5:13.0,Personal foul by G. Dragic (drawn by W. Matthews),,61-59,,
5:13.0,,,61-59,,J. Anderson enters the game for D. Nowitzki
5:13.0,,,61-59,,R. Felton enters the game for Z. Pachulia
5:13.0,,,61-59,,J. McGee enters the game for J. Barea
5:13.0,J. Winslow enters the game for C. Bosh,,61-59,,
5:02.0,,,61-59,,J. Anderson misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by L. Deng,,61-59,,
4:53.0,D. Wade makes 2-pt shot from 1 ft,2,63-59,,
4:41.0,,,63-59,,J. McGee misses 2-pt shot from 3 ft
4:40.0,Defensive rebound by D. Wade,,63-59,,
4:37.0,Shooting foul by J. Anderson (drawn by D. Wade),,63-59,,
4:37.0,D. Wade makes free throw 1 of 2,1,64-59,,
4:37.0,D. Wade makes free throw 2 of 2,1,65-59,,
4:30.0,,,65-59,,C. Parsons misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by J. Winslow,,65-59,,
4:20.0,D. Wade makes 2-pt shot from 16 ft,2,67-59,,
4:19.0,,,67-59,,Dallas full timeout
4:19.0,,,67-59,,Z. Pachulia enters the game for J. McGee
4:05.0,,,67-59,,J. Anderson misses 2-pt shot from 2 ft (block by A. Stoudemire)
4:05.0,,,67-59,,Offensive rebound by Z. Pachulia
4:05.0,Loose ball foul by A. Stoudemire (drawn by Z. Pachulia),,67-59,,
3:47.0,,,67-59,,R. Felton misses 2-pt shot from 21 ft
3:46.0,,,67-59,,Offensive rebound by W. Matthews
3:36.0,,,67-59,,C. Parsons misses 2-pt shot from 7 ft (block by A. Stoudemire)
3:35.0,Defensive rebound by G. Dragic,,67-59,,
3:29.0,D. Wade misses 2-pt shot from 18 ft,,67-59,,
3:27.0,,,67-59,,Defensive rebound by J. Anderson
3:16.0,,,67-62,3,W. Matthews makes 3-pt shot from 24 ft (assist by Z. Pachulia)
3:15.0,Miami full timeout,,67-62,,
3:15.0,H. Whiteside enters the game for A. Stoudemire,,67-62,,
3:15.0,G. Green enters the game for D. Wade,,67-62,,
3:03.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,69-62,,
2:40.0,,,69-62,,J. Anderson misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by H. Whiteside,,69-62,,
2:26.0,L. Deng misses 3-pt shot from 22 ft,,69-62,,
2:25.0,,,69-62,,Defensive rebound by Z. Pachulia
2:14.0,,,69-62,,C. Parsons misses 2-pt shot from 7 ft (block by H. Whiteside)
2:13.0,Defensive rebound by G. Green,,69-62,,
2:05.0,Shooting foul by C. Parsons (drawn by L. Deng),,69-62,,
2:05.0,L. Deng makes 2-pt shot from 1 ft (assist by H. Whiteside),2,71-62,,
2:05.0,,,71-62,,D. Nowitzki enters the game for C. Parsons
2:05.0,L. Deng makes free throw 1 of 1,1,72-62,,
1:45.0,,,72-62,,R. Felton misses 2-pt shot from 1 ft (block by H. Whiteside)
1:43.0,Defensive rebound by G. Dragic,,72-62,,
1:39.0,G. Dragic misses 2-pt shot from 2 ft (block by J. Anderson),,72-62,,
1:38.0,,,72-62,,Defensive rebound by J. Anderson
1:27.0,,,72-62,,W. Matthews misses 3-pt shot from 22 ft
1:26.0,Defensive rebound by H. Whiteside,,72-62,,
1:14.0,L. Deng misses 2-pt shot from 1 ft,,72-62,,
1:13.0,,,72-62,,Defensive rebound by Z. Pachulia
1:05.0,,,72-64,2,W. Matthews makes 2-pt shot from 2 ft (assist by R. Felton)
0:43.0,J. Winslow misses 3-pt shot from 24 ft,,72-64,,
0:42.0,,,72-64,,Defensive rebound by W. Matthews
0:31.0,,,72-64,,Shooting foul by G. Green (drawn by R. Felton)
0:31.0,,,72-65,1,R. Felton makes free throw 1 of 2
0:31.0,B. Udrih enters the game for G. Dragic,,72-65,,
0:31.0,C. Bosh enters the game for L. Deng,,72-65,,
0:31.0,,,72-65,,R. Felton misses free throw 2 of 2
0:31.0,Defensive rebound by Team,,72-65,,
0:06.0,C. Bosh makes 2-pt shot from 16 ft,2,74-65,,
0:05.0,,,74-65,,Technical foul by Team
0:05.0,G. Green misses technical free throw,,74-65,,
0:05.0,,,74-65,,Offensive rebound by Team
0:01.0,,,74-65,,R. Felton misses 3-pt shot from 26 ft
0:00.0,,,74-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. Bosh misses 3-pt shot from 24 ft,,74-65,,
11:42.0,,,74-65,,Defensive rebound by J. Barea
11:27.0,,,74-65,,D. Nowitzki misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by G. Green,,74-65,,
11:13.0,C. Bosh misses 2-pt shot from 17 ft,,74-65,,
11:11.0,,,74-65,,Defensive rebound by J. Anderson
11:04.0,,,74-67,2,J. Barea makes 2-pt shot from 10 ft
10:42.0,C. Bosh misses 3-pt shot from 24 ft,,74-67,,
10:41.0,,,74-67,,Defensive rebound by J. Barea
10:28.0,Shooting block foul by H. Whiteside (drawn by Z. Pachulia),,74-67,,
10:28.0,,,74-67,,Z. Pachulia misses free throw 1 of 2
10:28.0,,,74-67,,Offensive rebound by Team
10:28.0,,,74-68,1,Z. Pachulia makes free throw 2 of 2
10:19.0,Turnover by B. Udrih (bad pass; steal by Z. Pachulia),,74-68,,
10:03.0,,,74-70,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by Z. Pachulia)
9:48.0,Shooting foul by R. Felton (drawn by G. Green),,74-70,,
9:48.0,G. Green makes free throw 1 of 2,1,75-70,,
9:48.0,G. Green makes free throw 2 of 2,1,76-70,,
9:38.0,,,76-72,2,R. Felton makes 2-pt shot at rim (assist by Z. Pachulia)
9:22.0,C. Bosh misses 2-pt shot from 20 ft,,76-72,,
9:21.0,Offensive rebound by H. Whiteside,,76-72,,
9:19.0,J. Winslow misses 2-pt shot at rim (block by J. Anderson),,76-72,,
9:17.0,,,76-72,,Defensive rebound by J. Anderson
9:06.0,,,76-75,3,J. Anderson makes 3-pt shot from 22 ft (assist by J. Barea)
9:06.0,Miami full timeout,,76-75,,
9:06.0,,,76-75,,C. Parsons enters the game for D. Nowitzki
8:54.0,C. Bosh makes 2-pt shot at rim,2,78-75,,
8:37.0,,,78-75,,J. Anderson misses 2-pt shot from 4 ft (block by H. Whiteside)
8:35.0,Defensive rebound by H. Whiteside,,78-75,,
8:26.0,B. Udrih misses 2-pt shot from 5 ft,,78-75,,
8:25.0,,,78-75,,Defensive rebound by Z. Pachulia
8:25.0,Loose ball foul by H. Whiteside (drawn by Z. Pachulia),,78-75,,
8:04.0,,,78-75,,J. Barea misses 2-pt shot from 7 ft
8:03.0,Defensive rebound by H. Whiteside,,78-75,,
7:46.0,,,78-75,,Personal foul by R. Felton (drawn by H. Whiteside)
7:46.0,,,78-75,,D. Nowitzki enters the game for R. Felton
7:46.0,,,78-75,,W. Matthews enters the game for J. Anderson
7:35.0,C. Bosh makes 2-pt shot from 18 ft (assist by B. Udrih),2,80-75,,
7:16.0,Personal foul by B. Udrih (drawn by D. Nowitzki),,80-75,,
7:06.0,,,80-75,,C. Parsons misses 2-pt shot from 21 ft
7:05.0,Defensive rebound by H. Whiteside,,80-75,,
6:54.0,B. Udrih makes 2-pt shot from 15 ft,2,82-75,,
6:47.0,,,82-75,,Dallas full timeout
6:34.0,,,82-75,,D. Nowitzki misses 2-pt shot from 13 ft
6:33.0,Defensive rebound by G. Green,,82-75,,
6:21.0,,,82-75,,Personal foul by C. Parsons (drawn by H. Whiteside)
6:12.0,Turnover by C. Bosh (bad pass; steal by W. Matthews),,82-75,,
6:05.0,Shooting block foul by H. Whiteside (drawn by D. Nowitzki),,82-75,,
6:05.0,,,82-75,,D. Nowitzki misses free throw 1 of 2
6:05.0,,,82-75,,Offensive rebound by Team
6:05.0,,,82-75,,R. Felton enters the game for C. Parsons
6:05.0,D. Wade enters the game for G. Green,,82-75,,
6:05.0,L. Deng enters the game for H. Whiteside,,82-75,,
6:05.0,,,82-76,1,D. Nowitzki makes free throw 2 of 2
5:46.0,J. Winslow misses 2-pt shot from 5 ft,,82-76,,
5:45.0,,,82-76,,Defensive rebound by D. Nowitzki
5:30.0,,,82-78,2,D. Nowitzki makes 2-pt shot from 13 ft
5:30.0,,,82-78,,Shooting foul by J. Winslow (drawn by D. Nowitzki)
5:30.0,G. Dragic enters the game for B. Udrih,,82-78,,
5:30.0,,,82-79,1,D. Nowitzki makes free throw 1 of 1
5:07.0,L. Deng misses 2-pt shot from 22 ft,,82-79,,
5:06.0,Offensive rebound by Team,,82-79,,
5:06.0,Turnover by Team (shot clock),,82-79,,
4:44.0,,,82-81,2,R. Felton makes 2-pt shot from 7 ft
4:25.0,D. Wade makes 2-pt shot from 18 ft,2,84-81,,
4:13.0,,,84-81,,D. Nowitzki misses 2-pt shot from 16 ft
4:12.0,Defensive rebound by J. Winslow,,84-81,,
4:03.0,C. Bosh misses 3-pt shot from 24 ft,,84-81,,
4:02.0,,,84-81,,Defensive rebound by J. Barea
3:50.0,,,84-81,,Turnover by Z. Pachulia (lost ball)
3:29.0,J. Winslow makes 2-pt shot from 1 ft (assist by D. Wade),2,86-81,,
3:18.0,,,86-83,2,R. Felton makes 2-pt shot from 15 ft
2:56.0,Shooting foul by W. Matthews (drawn by D. Wade),,86-83,,
2:56.0,Official timeout,,86-83,,
2:56.0,D. Wade makes free throw 1 of 2,1,87-83,,
2:56.0,D. Wade misses free throw 2 of 2,,87-83,,
2:55.0,,,87-83,,Defensive rebound by Z. Pachulia
