time,Philadelphia,pts.away,score,pts.home,Golden State
7:32.0,N. Stauskas enters the game for I. Canaan,,11-15,,
7:17.0,C. Landry makes 2-pt shot from 1 ft,2,13-15,,
7:07.0,Personal foul by N. Stauskas,,13-15,,
7:01.0,,,13-15,,S. Curry misses 3-pt shot from 29 ft
7:01.0,Defensive rebound by R. Covington,,13-15,,
6:53.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,16-15,,
6:37.0,,,16-15,,K. Thompson misses 2-pt shot from 1 ft
6:37.0,,,16-15,,Offensive rebound by K. Thompson
6:36.0,,,16-15,,K. Thompson misses 2-pt shot from 1 ft
6:34.0,,,16-15,,Offensive rebound by Team
6:34.0,,,16-15,,Golden State full timeout
6:33.0,,,16-15,,Turnover by D. Green (lost ball)
6:15.0,R. Covington misses 3-pt shot from 25 ft,,16-15,,
6:14.0,,,16-15,,Defensive rebound by H. Barnes
6:04.0,,,16-15,,J. McAdoo enters the game for A. Bogut
5:51.0,,,16-15,,H. Barnes misses 2-pt shot from 7 ft
5:51.0,,,16-15,,Offensive rebound by Team
5:51.0,K. Marshall enters the game for H. Thompson,,16-15,,
5:48.0,,,16-17,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
5:35.0,R. Covington misses 2-pt shot from 13 ft,,16-17,,
5:34.0,Offensive rebound by C. Landry,,16-17,,
5:33.0,Shooting foul by J. McAdoo (drawn by C. Landry),,16-17,,
5:33.0,C. Landry makes free throw 1 of 2,1,17-17,,
5:33.0,C. Landry makes free throw 2 of 2,1,18-17,,
5:13.0,,,18-17,,S. Curry misses 2-pt shot from 17 ft
5:13.0,Defensive rebound by R. Covington,,18-17,,
5:05.0,C. Landry makes 2-pt shot at rim (assist by I. Smith),2,20-17,,
4:52.0,,,20-17,,S. Curry misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by R. Covington,,20-17,,
4:43.0,I. Smith makes 2-pt shot from 1 ft,2,22-17,,
4:30.0,,,22-19,2,J. McAdoo makes 2-pt shot from 2 ft (assist by S. Curry)
4:24.0,I. Smith makes 2-pt shot from 2 ft,2,24-19,,
4:14.0,,,24-22,3,D. Green makes 3-pt shot from 25 ft (assist by J. McAdoo)
3:52.0,C. Landry misses 2-pt shot from 13 ft,,24-22,,
3:51.0,,,24-22,,Defensive rebound by J. McAdoo
3:39.0,,,24-22,,H. Barnes misses 2-pt shot from 12 ft
3:38.0,Defensive rebound by C. Landry,,24-22,,
3:20.0,I. Smith makes 2-pt shot from 16 ft,2,26-22,,
3:11.0,,,26-25,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
2:48.0,,,26-25,,Personal foul by J. McAdoo
2:48.0,,,26-25,,L. Barbosa enters the game for K. Thompson
2:48.0,,,26-25,,B. Rush enters the game for H. Barnes
2:48.0,T. McConnell enters the game for I. Smith,,26-25,,
2:48.0,E. Brand enters the game for C. Landry,,26-25,,
2:38.0,T. McConnell misses 2-pt shot from 2 ft,,26-25,,
2:38.0,,,26-25,,Defensive rebound by D. Green
2:29.0,,,26-25,,S. Curry misses 3-pt shot from 29 ft
2:28.0,Defensive rebound by N. Stauskas,,26-25,,
2:13.0,K. Marshall misses 2-pt shot from 18 ft,,26-25,,
2:13.0,,,26-25,,Defensive rebound by L. Barbosa
2:05.0,,,26-25,,Turnover by J. McAdoo (lost ball)
2:05.0,,,26-25,,M. Speights enters the game for J. McAdoo
1:53.0,N. Stauskas misses 2-pt shot from 12 ft,,26-25,,
1:51.0,,,26-25,,Defensive rebound by M. Speights
1:42.0,,,26-25,,S. Curry misses 3-pt shot from 23 ft
1:41.0,,,26-25,,Offensive rebound by M. Speights
1:36.0,,,26-25,,L. Barbosa misses 2-pt shot at rim (block by E. Brand)
1:33.0,,,26-25,,Offensive rebound by M. Speights
1:33.0,,,26-27,2,M. Speights makes 2-pt shot from 2 ft
1:23.0,N. Stauskas makes 2-pt shot at rim (assist by E. Brand),2,28-27,,
1:15.0,,,28-27,,Turnover by S. Curry (lost ball; steal by N. Stauskas)
1:08.0,,,28-27,,Personal foul by L. Barbosa
1:08.0,T. McConnell makes free throw 1 of 2,1,29-27,,
1:08.0,,,29-27,,I. Clark enters the game for S. Curry
1:08.0,T. McConnell misses free throw 2 of 2,,29-27,,
1:03.0,,,29-27,,Defensive rebound by D. Green
0:47.0,,,29-27,,D. Green misses 2-pt shot from 1 ft
0:47.0,,,29-27,,Offensive rebound by M. Speights
0:47.0,,,29-29,2,M. Speights makes 2-pt shot at rim
0:30.0,Turnover by K. Marshall (lost ball; steal by L. Barbosa),,29-29,,
0:08.0,,,29-31,2,I. Clark makes 2-pt shot from 2 ft
0:08.0,,,29-31,,Shooting foul by T. McConnell (drawn by I. Clark)
0:08.0,,,29-32,1,I. Clark makes free throw 1 of 1
0:02.0,T. McConnell makes 2-pt shot from 14 ft,2,31-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,H. Thompson makes 2-pt shot from 1 ft (assist by N. Stauskas),2,33-32,,
11:24.0,,,33-35,3,M. Speights makes 3-pt shot from 25 ft (assist by I. Clark)
11:05.0,N. Stauskas misses 3-pt shot from 23 ft,,33-35,,
11:04.0,,,33-35,,Defensive rebound by B. Rush
10:56.0,,,33-37,2,I. Clark makes 2-pt shot from 1 ft (assist by M. Speights)
10:32.0,I. Canaan misses 2-pt shot from 7 ft,,33-37,,
10:32.0,,,33-37,,Defensive rebound by M. Speights
10:26.0,,,33-37,,Turnover by K. Thompson (lost ball; steal by N. Stauskas)
10:19.0,I. Canaan makes 3-pt shot from 24 ft (assist by N. Stauskas),3,36-37,,
10:04.0,,,36-37,,K. Thompson misses 2-pt shot from 6 ft
10:04.0,,,36-37,,Offensive rebound by Team
9:56.0,,,36-40,3,K. Thompson makes 3-pt shot from 24 ft
9:37.0,I. Canaan makes 3-pt shot from 23 ft (assist by T. McConnell),3,39-40,,
9:37.0,Shooting foul by I. Clark (drawn by I. Canaan),,39-40,,
9:37.0,K. Marshall enters the game for N. Stauskas,,39-40,,
9:37.0,I. Canaan makes free throw 1 of 1,1,40-40,,
9:22.0,,,40-40,,Turnover by M. Speights (traveling)
9:07.0,K. Marshall misses 2-pt shot from 10 ft,,40-40,,
9:05.0,,,40-40,,Defensive rebound by M. Speights
8:56.0,,,40-42,2,B. Rush makes 2-pt shot from 18 ft (assist by M. Speights)
8:55.0,Philadelphia full timeout,,40-42,,
8:33.0,K. Marshall misses 3-pt shot from 28 ft,,40-42,,
8:32.0,,,40-42,,Defensive rebound by L. Barbosa
8:16.0,,,40-44,2,M. Speights makes 2-pt shot from 6 ft (assist by B. Rush)
8:16.0,,,40-44,,Shooting foul by C. Wood (drawn by M. Speights)
8:16.0,,,40-45,1,M. Speights makes free throw 1 of 1
8:06.0,,,40-45,,Personal foul by M. Speights
7:53.0,I. Canaan misses 2-pt shot from 11 ft,,40-45,,
7:52.0,,,40-45,,Defensive rebound by B. Rush
7:43.0,,,40-47,2,M. Speights makes 2-pt shot at rim (assist by B. Rush)
7:30.0,C. Wood misses 3-pt shot from 24 ft,,40-47,,
7:30.0,,,40-47,,Defensive rebound by B. Rush
7:24.0,,,40-50,3,B. Rush makes 3-pt shot from 24 ft
7:23.0,Philadelphia full timeout,,40-50,,
7:23.0,Violation by Team (jump ball),,40-50,,
7:23.0,C. Landry enters the game for C. Wood,,40-50,,
7:08.0,C. Landry misses 2-pt shot from 11 ft,,40-50,,
7:07.0,Offensive rebound by H. Thompson,,40-50,,
7:07.0,H. Thompson misses 2-pt shot from 2 ft,,40-50,,
7:05.0,,,40-50,,Defensive rebound by B. Rush
6:47.0,,,40-53,3,M. Speights makes 3-pt shot from 26 ft (assist by B. Rush)
6:31.0,I. Canaan makes 3-pt shot from 25 ft (assist by C. Landry),3,43-53,,
6:24.0,,,43-53,,Golden State full timeout
6:24.0,I. Smith enters the game for K. Marshall,,43-53,,
6:24.0,R. Covington enters the game for T. McConnell,,43-53,,
6:24.0,,,43-53,,S. Curry enters the game for L. Barbosa
6:24.0,,,43-53,,H. Barnes enters the game for B. Rush
6:24.0,,,43-53,,D. Green enters the game for I. Clark
6:11.0,Personal foul by I. Smith,,43-53,,
6:03.0,,,43-55,2,K. Thompson makes 2-pt shot from 15 ft (assist by S. Curry)
5:49.0,R. Covington makes 3-pt shot from 25 ft (assist by H. Thompson),3,46-55,,
5:32.0,,,46-57,2,K. Thompson makes 2-pt shot from 1 ft
5:21.0,Turnover by C. Landry (lost ball; steal by D. Green),,46-57,,
5:21.0,Personal foul by R. Covington,,46-57,,
5:21.0,,,46-57,,B. Rush enters the game for M. Speights
5:21.0,N. Stauskas enters the game for I. Canaan,,46-57,,
5:10.0,,,46-57,,Turnover by S. Curry (lost ball; steal by I. Smith)
4:58.0,,,46-57,,Personal foul by D. Green
4:44.0,C. Landry misses 2-pt shot from 2 ft (block by D. Green),,46-57,,
4:42.0,Offensive rebound by C. Landry,,46-57,,
4:41.0,C. Landry makes 2-pt shot from 2 ft,2,48-57,,
4:33.0,Personal foul by H. Thompson,,48-57,,
4:24.0,,,48-59,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
4:11.0,H. Thompson misses 2-pt shot from 20 ft,,48-59,,
4:10.0,,,48-59,,Defensive rebound by B. Rush
4:03.0,,,48-62,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
3:47.0,H. Thompson makes 2-pt shot from 14 ft,2,50-62,,
3:36.0,,,50-64,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
3:27.0,H. Thompson misses 3-pt shot from 25 ft,,50-64,,
3:26.0,,,50-64,,Defensive rebound by S. Curry
3:16.0,,,50-66,2,S. Curry makes 2-pt shot from 1 ft (assist by B. Rush)
3:00.0,Turnover by N. Stauskas (lost ball; steal by S. Curry),,50-66,,
2:53.0,,,50-68,2,S. Curry makes 2-pt shot from 23 ft (assist by D. Green)
2:52.0,Philadelphia full timeout,,50-68,,
2:31.0,I. Smith misses 2-pt shot from 16 ft,,50-68,,
2:30.0,,,50-68,,Defensive rebound by D. Green
2:14.0,,,50-68,,H. Barnes misses 2-pt shot from 5 ft
2:13.0,Defensive rebound by R. Covington,,50-68,,
2:04.0,C. Landry makes 2-pt shot at rim (assist by I. Smith),2,52-68,,
2:02.0,Technical foul by Team,,52-68,,
2:02.0,,,52-69,1,S. Curry makes technical free throw
2:02.0,T. McConnell enters the game for C. Landry,,52-69,,
2:02.0,,,52-69,,I. Clark enters the game for K. Thompson
2:02.0,,,52-69,,L. Barbosa enters the game for B. Rush
1:52.0,,,52-71,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
1:52.0,,,52-71,,Shooting foul by H. Thompson (drawn by D. Green)
1:52.0,,,52-71,,D. Green misses free throw 1 of 1
1:48.0,Defensive rebound by Team,,52-71,,
1:47.0,Jump ball: I. Clark vs. H. Thompson (N. Stauskas gains possession),,,,Jump ball: I. Clark vs. H. Thompson (N. Stauskas gains possession)
1:35.0,R. Covington misses 3-pt shot from 25 ft,,52-71,,
1:35.0,,,52-71,,Defensive rebound by L. Barbosa
1:31.0,Violation by H. Thompson (kicked ball),,52-71,,
1:22.0,,,52-71,,S. Curry misses 2-pt shot from 20 ft
1:22.0,Defensive rebound by N. Stauskas,,52-71,,
1:06.0,H. Thompson misses 2-pt shot from 13 ft,,52-71,,
1:06.0,Offensive rebound by Team,,52-71,,
1:06.0,,,52-71,,Loose ball foul by L. Barbosa
0:55.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,55-71,,
0:46.0,,,55-71,,H. Barnes misses 2-pt shot from 7 ft
0:45.0,Defensive rebound by T. McConnell,,55-71,,
0:32.0,H. Thompson misses 3-pt shot from 27 ft,,55-71,,
0:31.0,Offensive rebound by T. McConnell,,55-71,,
0:08.0,H. Thompson misses 3-pt shot from 22 ft,,55-71,,
0:06.0,Offensive rebound by T. McConnell,,55-71,,
0:04.0,T. McConnell misses 2-pt shot from 14 ft,,55-71,,
0:03.0,,,55-71,,Defensive rebound by S. Curry
0:01.0,,,55-71,,S. Curry misses 3-pt shot from 66 ft (block by H. Thompson)
0:00.0,,,55-71,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,C. Landry makes 2-pt shot from 18 ft (assist by H. Thompson),2,57-71,,
11:18.0,,,57-74,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
10:53.0,Shooting foul by A. Bogut (drawn by C. Landry),,57-74,,
10:53.0,C. Landry makes free throw 1 of 2,1,58-74,,
10:53.0,C. Landry makes free throw 2 of 2,1,59-74,,
10:41.0,,,59-74,,K. Thompson misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by H. Thompson,,59-74,,
10:30.0,I. Smith misses 2-pt shot from 2 ft (block by D. Green),,59-74,,
10:29.0,,,59-74,,Defensive rebound by A. Bogut
10:22.0,,,59-76,2,S. Curry makes 2-pt shot from 2 ft
10:12.0,R. Covington misses 2-pt shot from 5 ft,,59-76,,
10:11.0,,,59-76,,Defensive rebound by D. Green
10:06.0,,,59-76,,Turnover by K. Thompson (lost ball; steal by I. Smith)
10:04.0,,,59-76,,Personal foul by D. Green
9:47.0,I. Canaan misses 3-pt shot from 24 ft,,59-76,,
9:47.0,,,59-76,,Defensive rebound by D. Green
9:30.0,,,59-76,,Shooting foul by R. Covington (drawn by D. Green)
9:30.0,,,59-77,1,D. Green makes free throw 1 of 3
9:30.0,,,59-78,1,D. Green makes free throw 2 of 3
9:30.0,,,59-78,,D. Green misses free throw 3 of 3
9:29.0,Defensive rebound by C. Landry,,59-78,,
9:11.0,Turnover by I. Smith (bad pass),,59-78,,
8:51.0,,,59-78,,K. Thompson misses 3-pt shot from 27 ft
8:51.0,Defensive rebound by C. Landry,,59-78,,
8:38.0,I. Canaan misses 2-pt shot from 5 ft,,59-78,,
8:36.0,Offensive rebound by H. Thompson,,59-78,,
8:36.0,,,59-78,,Personal foul by A. Bogut
8:36.0,N. Stauskas enters the game for H. Thompson,,59-78,,
8:22.0,I. Smith makes 3-pt shot from 25 ft,3,62-78,,
8:06.0,,,62-78,,Turnover by D. Green (lost ball; steal by I. Smith)
7:59.0,R. Covington makes 2-pt shot at rim (assist by N. Stauskas),2,64-78,,
7:59.0,,,64-78,,Golden State full timeout
7:59.0,E. Brand enters the game for C. Landry,,64-78,,
7:59.0,T. McConnell enters the game for I. Canaan,,64-78,,
7:50.0,Personal foul by T. McConnell,,64-78,,
7:42.0,,,64-80,2,K. Thompson makes 2-pt shot from 11 ft
7:19.0,E. Brand misses 2-pt shot from 17 ft,,64-80,,
7:17.0,Offensive rebound by R. Covington,,64-80,,
7:15.0,R. Covington misses 2-pt shot at rim,,64-80,,
7:13.0,,,64-80,,Defensive rebound by A. Bogut
7:06.0,,,64-80,,S. Curry misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by R. Covington,,64-80,,
6:57.0,T. McConnell makes 2-pt shot from 16 ft,2,66-80,,
6:40.0,,,66-80,,Turnover by D. Green (lost ball; steal by T. McConnell)
6:33.0,N. Stauskas misses 3-pt shot from 25 ft,,66-80,,
6:32.0,,,66-80,,Defensive rebound by A. Bogut
6:21.0,,,66-80,,K. Thompson misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by I. Smith,,66-80,,
6:05.0,E. Brand makes 2-pt shot from 11 ft (assist by I. Smith),2,68-80,,
5:45.0,,,68-82,2,S. Curry makes 2-pt shot from 17 ft (assist by H. Barnes)
5:23.0,I. Smith misses 2-pt shot from 11 ft,,68-82,,
5:23.0,,,68-82,,Defensive rebound by H. Barnes
5:09.0,,,68-84,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Green)
4:57.0,R. Covington misses 3-pt shot from 28 ft (block by D. Green),,68-84,,
4:56.0,,,68-84,,Defensive rebound by S. Curry
4:46.0,,,68-84,,A. Bogut misses 2-pt shot from 7 ft
4:45.0,,,68-84,,Offensive rebound by D. Green
4:42.0,,,68-87,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
4:42.0,Philadelphia full timeout,,68-87,,
4:42.0,,,68-87,,B. Rush enters the game for H. Barnes
4:42.0,,,68-87,,L. Barbosa enters the game for A. Bogut
4:42.0,,,68-87,,M. Speights enters the game for K. Thompson
4:42.0,H. Thompson enters the game for R. Covington,,68-87,,
4:23.0,E. Brand makes 2-pt shot from 10 ft (assist by I. Smith),2,70-87,,
4:04.0,,,70-87,,M. Speights misses 2-pt shot from 15 ft
4:03.0,Defensive rebound by T. McConnell,,70-87,,
3:52.0,E. Brand makes 2-pt shot from 8 ft (assist by H. Thompson),2,72-87,,
3:39.0,,,72-87,,Turnover by M. Speights (offensive foul)
3:39.0,,,72-87,,Offensive foul by M. Speights
3:39.0,I. Canaan enters the game for I. Smith,,72-87,,
3:20.0,,,72-87,,Personal foul by M. Speights
3:12.0,H. Thompson misses 2-pt shot from 10 ft,,72-87,,
3:12.0,,,72-87,,Defensive rebound by M. Speights
3:06.0,,,72-87,,Turnover by S. Curry (lost ball)
2:51.0,T. McConnell misses 2-pt shot from 8 ft,,72-87,,
2:50.0,,,72-87,,Defensive rebound by L. Barbosa
2:37.0,,,72-90,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
2:23.0,T. McConnell makes 2-pt shot from 2 ft,2,74-90,,
2:10.0,Personal foul by I. Canaan,,74-90,,
2:10.0,C. Landry enters the game for E. Brand,,74-90,,
2:10.0,,,74-90,,Turnover by B. Rush (bad pass)
1:51.0,T. McConnell misses 2-pt shot from 12 ft,,74-90,,
1:51.0,Offensive rebound by C. Landry,,74-90,,
1:50.0,C. Landry makes 2-pt shot from 6 ft,2,76-90,,
1:35.0,,,76-90,,Shooting foul by C. Landry (drawn by D. Green)
1:35.0,,,76-90,,I. Clark enters the game for S. Curry
1:35.0,,,76-90,,D. Green misses free throw 1 of 2
1:35.0,,,76-90,,Offensive rebound by Team
1:35.0,,,76-91,1,D. Green makes free throw 2 of 2
1:20.0,N. Stauskas misses 3-pt shot from 22 ft,,76-91,,
1:19.0,,,76-91,,Defensive rebound by D. Green
1:08.0,,,76-93,2,M. Speights makes 2-pt shot at rim (assist by D. Green)
1:01.0,H. Thompson misses 3-pt shot from 25 ft,,76-93,,
1:00.0,,,76-93,,Defensive rebound by I. Clark
0:43.0,,,76-95,2,L. Barbosa makes 2-pt shot from 1 ft (assist by I. Clark)
0:33.0,N. Stauskas makes 3-pt shot from 25 ft (assist by C. Landry),3,79-95,,
0:20.0,,,79-95,,Shooting foul by T. McConnell (drawn by I. Clark)
0:20.0,,,79-96,1,I. Clark makes free throw 1 of 2
0:20.0,,,79-96,,I. Clark misses free throw 2 of 2
0:19.0,Defensive rebound by C. Landry,,79-96,,
0:02.0,N. Stauskas misses 3-pt shot from 23 ft,,79-96,,
0:00.0,,,79-96,,Defensive rebound by D. Green
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,79-96,,M. Speights misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by R. Covington,,79-96,,
11:29.0,I. Smith makes 2-pt shot from 2 ft,2,81-96,,
11:08.0,,,81-99,3,K. Thompson makes 3-pt shot from 26 ft (assist by M. Speights)
10:48.0,T. McConnell makes 2-pt shot from 5 ft (assist by I. Smith),2,83-99,,
10:33.0,,,83-99,,Turnover by I. Clark (lost ball; steal by R. Covington)
10:29.0,Shooting foul by L. Barbosa (drawn by I. Canaan),,83-99,,
10:29.0,I. Canaan makes free throw 1 of 2,1,84-99,,
10:29.0,I. Canaan makes free throw 2 of 2,1,85-99,,
10:17.0,,,85-99,,K. Thompson misses 2-pt shot from 12 ft
10:17.0,Defensive rebound by I. Smith,,85-99,,
10:04.0,Shooting foul by L. Barbosa (drawn by I. Canaan),,85-99,,
10:04.0,I. Canaan makes free throw 1 of 3,1,86-99,,
10:04.0,I. Canaan makes free throw 2 of 3,1,87-99,,
10:04.0,,,87-99,,Golden State full timeout
10:04.0,I. Canaan makes free throw 3 of 3,1,88-99,,
9:50.0,,,88-101,2,H. Barnes makes 2-pt shot at rim
9:30.0,C. Landry misses 2-pt shot from 8 ft,,88-101,,
9:30.0,,,88-101,,Defensive rebound by I. Clark
9:26.0,Personal block foul by I. Canaan,,88-101,,
9:19.0,,,88-101,,I. Clark misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by R. Covington,,88-101,,
9:02.0,Turnover by T. McConnell (lost ball; steal by I. Clark),,88-101,,
8:58.0,,,88-101,,Turnover by I. Clark (lost ball; steal by T. McConnell)
8:52.0,I. Canaan misses 3-pt shot from 25 ft,,88-101,,
8:50.0,Offensive rebound by C. Landry,,88-101,,
8:37.0,C. Landry misses 2-pt shot from 17 ft (block by K. Thompson),,88-101,,
8:36.0,,,88-101,,Defensive rebound by L. Barbosa
8:21.0,,,88-103,2,K. Thompson makes 2-pt shot from 10 ft
8:05.0,I. Smith misses 3-pt shot from 25 ft,,88-103,,
8:05.0,,,88-103,,Defensive rebound by Team
8:05.0,Loose ball foul by C. Landry,,88-103,,
8:05.0,H. Thompson enters the game for T. McConnell,,88-103,,
8:05.0,E. Brand enters the game for C. Landry,,88-103,,
7:45.0,,,88-103,,M. Speights misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by R. Covington,,88-103,,
7:34.0,I. Smith makes 2-pt shot from 8 ft,2,90-103,,
7:18.0,,,90-103,,Shooting foul by E. Brand (drawn by K. Thompson)
7:18.0,,,90-104,1,K. Thompson makes free throw 1 of 2
7:18.0,N. Stauskas enters the game for I. Canaan,,90-104,,
7:18.0,,,90-104,,D. Green enters the game for M. Speights
7:18.0,,,90-104,,S. Curry enters the game for L. Barbosa
7:18.0,,,90-105,1,K. Thompson makes free throw 2 of 2
7:03.0,N. Stauskas makes 2-pt shot from 9 ft (assist by I. Smith),2,92-105,,
6:48.0,,,92-105,,K. Thompson misses 3-pt shot from 25 ft
6:48.0,,,92-105,,Offensive rebound by Team
6:48.0,Loose ball foul by E. Brand,,92-105,,
6:32.0,,,92-105,,D. Green misses 2-pt shot from 2 ft (block by E. Brand)
6:31.0,Defensive rebound by E. Brand,,92-105,,
6:31.0,I. Canaan enters the game for R. Covington,,92-105,,
6:10.0,I. Smith misses 3-pt shot from 25 ft,,92-105,,
6:09.0,,,92-105,,Defensive rebound by D. Green
6:00.0,,,92-108,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
5:41.0,E. Brand makes 2-pt shot from 3 ft (assist by I. Canaan),2,94-108,,
5:33.0,,,94-111,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
5:32.0,Philadelphia full timeout,,94-111,,
5:12.0,E. Brand makes 2-pt shot from 9 ft (assist by H. Thompson),2,96-111,,
4:47.0,,,96-111,,I. Clark misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by N. Stauskas,,96-111,,
4:36.0,N. Stauskas misses 3-pt shot from 28 ft,,96-111,,
4:35.0,,,96-111,,Defensive rebound by D. Green
4:25.0,,,96-111,,H. Barnes misses 2-pt shot from 5 ft
4:24.0,Defensive rebound by E. Brand,,96-111,,
4:10.0,Turnover by I. Canaan (lost ball; steal by S. Curry),,96-111,,
4:04.0,,,96-111,,S. Curry misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by N. Stauskas,,96-111,,
3:54.0,Turnover by N. Stauskas (lost ball; steal by S. Curry),,96-111,,
3:44.0,,,96-111,,K. Thompson misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by E. Brand,,96-111,,
3:37.0,Philadelphia full timeout,,96-111,,
3:37.0,R. Covington enters the game for H. Thompson,,96-111,,
3:37.0,,,96-111,,L. Barbosa enters the game for I. Clark
3:18.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan),3,99-111,,
3:00.0,,,99-111,,Shooting foul by R. Covington (drawn by H. Barnes)
3:00.0,,,99-112,1,H. Barnes makes free throw 1 of 2
3:00.0,,,99-113,1,H. Barnes makes free throw 2 of 2
2:49.0,Turnover by R. Covington (lost ball; steal by H. Barnes),,99-113,,
2:41.0,,,99-113,,D. Green misses 3-pt shot from 25 ft
2:40.0,,,99-113,,Offensive rebound by L. Barbosa
2:33.0,Personal foul by E. Brand,,99-113,,
2:33.0,Official timeout,,99-113,,
2:33.0,,,99-113,,J. McAdoo enters the game for H. Barnes
2:33.0,,,99-114,1,S. Curry makes free throw 1 of 2
2:33.0,,,99-115,1,S. Curry makes free throw 2 of 2
2:12.0,Turnover by I. Smith (lost ball; steal by S. Curry),,99-115,,
1:56.0,,,99-117,2,J. McAdoo makes 2-pt shot from 1 ft (assist by D. Green)
1:47.0,I. Smith makes 2-pt shot from 10 ft,2,101-117,,
1:47.0,,,101-117,,Golden State full timeout
