time,Orlando,pts.away,score,pts.home,San Antonio
5:58.0,,,7-21,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
5:42.0,N. Vucevic makes 2-pt shot from 6 ft,2,9-21,,
5:31.0,,,9-21,,T. Parker misses 2-pt shot from 1 ft (block by A. Gordon)
5:30.0,,,9-21,,Offensive rebound by Team
5:30.0,,,9-21,,M. Ginobili enters the game for D. Green
5:30.0,,,9-21,,P. Mills enters the game for T. Parker
5:18.0,,,9-24,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
4:57.0,N. Vucevic misses 2-pt shot from 8 ft,,9-24,,
4:56.0,Offensive rebound by A. Gordon,,9-24,,
4:56.0,A. Gordon makes 2-pt shot at rim,2,11-24,,
4:45.0,,,11-26,2,P. Mills makes 2-pt shot from 19 ft
4:28.0,V. Oladipo misses 2-pt shot from 17 ft,,11-26,,
4:27.0,,,11-26,,Defensive rebound by K. Leonard
4:20.0,,,11-26,,Turnover by K. Leonard (bad pass; steal by V. Oladipo)
4:15.0,V. Oladipo makes 2-pt shot at rim,2,13-26,,
3:49.0,,,13-26,,P. Mills misses 2-pt shot from 20 ft
3:49.0,,,13-26,,Offensive rebound by L. Aldridge
3:49.0,,,13-26,,Turnover by Team (shot clock)
3:49.0,,,13-26,,K. Anderson enters the game for B. Diaw
3:33.0,V. Oladipo misses 3-pt shot from 25 ft,,13-26,,
3:31.0,Offensive rebound by N. Vucevic,,13-26,,
3:31.0,N. Vucevic makes 2-pt shot from 1 ft,2,15-26,,
3:30.0,,,15-26,,San Antonio full timeout
3:30.0,E. Fournier enters the game for V. Oladipo,,15-26,,
3:30.0,M. Hezonja enters the game for E. Payton,,15-26,,
3:15.0,,,15-28,2,L. Aldridge makes 2-pt shot from 14 ft (assist by P. Mills)
2:59.0,Turnover by T. Harris (bad pass),,15-28,,
2:59.0,,,15-28,,J. Simmons enters the game for K. Leonard
2:41.0,,,15-30,2,L. Aldridge makes 2-pt shot from 15 ft
2:26.0,N. Vucevic makes 2-pt shot from 6 ft,2,17-30,,
2:13.0,,,17-33,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
1:53.0,N. Vucevic misses 2-pt shot from 7 ft,,17-33,,
1:52.0,,,17-33,,Defensive rebound by L. Aldridge
1:43.0,,,17-33,,J. Simmons misses 2-pt shot from 2 ft (block by N. Vucevic)
1:42.0,Defensive rebound by Team,,17-33,,
1:42.0,V. Oladipo enters the game for T. Harris,,17-33,,
1:19.0,N. Vucevic misses 2-pt shot from 17 ft,,17-33,,
1:17.0,Offensive rebound by A. Gordon,,17-33,,
1:17.0,A. Gordon makes 2-pt shot from 3 ft,2,19-33,,
1:10.0,,,19-33,,Shooting foul by E. Fournier (drawn by M. Ginobili)
1:10.0,,,19-34,1,M. Ginobili makes free throw 1 of 2
1:10.0,C. Frye enters the game for A. Gordon,,19-34,,
1:10.0,,,19-34,,D. West enters the game for L. Aldridge
1:10.0,,,19-35,1,M. Ginobili makes free throw 2 of 2
0:51.0,E. Fournier makes 3-pt shot from 25 ft (assist by V. Oladipo),3,22-35,,
0:31.0,,,22-35,,K. Anderson misses 2-pt shot from 20 ft
0:30.0,,,22-35,,Offensive rebound by M. Ginobili
0:11.0,,,22-35,,M. Ginobili misses 2-pt shot at rim
0:10.0,Defensive rebound by N. Vucevic,,22-35,,
0:08.0,,,22-35,,Personal foul by P. Mills (drawn by E. Fournier)
0:00.0,C. Frye makes 2-pt shot from 19 ft (assist by V. Oladipo),2,24-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by D. West (drawn by J. Smith),,24-35,,
11:45.0,J. Smith misses free throw 1 of 2,,24-35,,
11:45.0,Offensive rebound by Team,,24-35,,
11:45.0,J. Smith makes free throw 2 of 2,1,25-35,,
11:35.0,,,25-37,2,P. Mills makes 2-pt shot from 1 ft (assist by D. West)
11:24.0,M. Hezonja misses 2-pt shot from 5 ft,,25-37,,
11:23.0,,,25-37,,Defensive rebound by P. Mills
11:13.0,,,25-37,,Turnover by J. Simmons (lost ball)
10:57.0,Turnover by V. Oladipo (bad pass),,25-37,,
10:49.0,Personal foul by V. Oladipo (drawn by D. West),,25-37,,
10:40.0,,,25-37,,Turnover by D. West (lost ball; steal by M. Hezonja)
10:31.0,Offensive foul by C. Frye,,25-37,,
10:31.0,Turnover by C. Frye (offensive foul),,25-37,,
10:20.0,Personal foul by M. Hezonja (drawn by J. Simmons),,25-37,,
10:14.0,,,25-37,,J. Simmons misses 2-pt shot from 1 ft (block by J. Smith)
10:14.0,,,25-37,,Offensive rebound by Team
10:08.0,,,25-39,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
9:56.0,Turnover by M. Hezonja (bad pass),,25-39,,
9:39.0,,,25-39,,P. Mills misses 2-pt shot from 19 ft
9:38.0,Defensive rebound by C. Frye,,25-39,,
9:23.0,Turnover by E. Fournier (bad pass),,25-39,,
9:05.0,,,25-41,2,M. Ginobili makes 2-pt shot from 1 ft (assist by K. Anderson)
8:51.0,Official timeout,,25-41,,
8:51.0,E. Payton enters the game for V. Oladipo,,25-41,,
8:51.0,,,25-41,,D. Green enters the game for M. Ginobili
8:39.0,E. Fournier misses 2-pt shot from 16 ft,,25-41,,
8:37.0,,,25-41,,Defensive rebound by D. Green
8:24.0,,,25-43,2,D. West makes 2-pt shot from 5 ft (assist by J. Simmons)
8:15.0,E. Payton misses 2-pt shot from 15 ft,,25-43,,
8:14.0,Offensive rebound by J. Smith,,25-43,,
8:14.0,J. Smith misses 2-pt shot from 1 ft,,25-43,,
8:12.0,,,25-43,,Defensive rebound by K. Anderson
8:04.0,,,25-43,,D. Green misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by C. Frye,,25-43,,
7:54.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,28-43,,
7:37.0,,,28-43,,D. West misses 2-pt shot from 18 ft
7:36.0,Defensive rebound by E. Payton,,28-43,,
7:21.0,M. Hezonja makes 2-pt shot from 17 ft,2,30-43,,
7:06.0,,,30-43,,D. West misses 2-pt shot from 12 ft
7:05.0,Defensive rebound by C. Frye,,30-43,,
6:57.0,E. Payton misses 2-pt shot from 2 ft,,30-43,,
6:55.0,,,30-43,,Defensive rebound by K. Anderson
6:46.0,,,30-43,,Turnover by K. Anderson (bad pass; steal by E. Payton)
6:46.0,,,30-43,,Loose ball foul by D. West (drawn by E. Payton)
6:46.0,,,30-43,,T. Parker enters the game for P. Mills
6:46.0,,,30-43,,B. Diaw enters the game for K. Anderson
6:34.0,C. Frye makes 2-pt shot from 22 ft (assist by E. Payton),2,32-43,,
6:16.0,,,32-43,,Turnover by T. Parker (lost ball; steal by M. Hezonja)
6:07.0,M. Hezonja misses 3-pt shot from 25 ft,,32-43,,
6:05.0,Offensive rebound by J. Smith,,32-43,,
6:05.0,,,32-43,,Personal foul by J. Simmons (drawn by J. Smith)
5:58.0,C. Frye misses 3-pt shot from 24 ft,,32-43,,
5:57.0,,,32-43,,Defensive rebound by D. West
5:57.0,,,32-43,,Turnover by D. West (step out of bounds)
5:57.0,,,32-43,,San Antonio full timeout
5:57.0,,,32-43,,K. Leonard enters the game for J. Simmons
5:57.0,,,32-43,,L. Aldridge enters the game for D. West
5:55.0,M. Hezonja makes 2-pt shot from 1 ft (assist by E. Payton),2,34-43,,
5:36.0,,,34-43,,D. Green misses 2-pt shot at rim (block by J. Smith)
5:33.0,Defensive rebound by C. Frye,,34-43,,
5:26.0,,,34-43,,Personal foul by D. Green (drawn by E. Payton)
5:26.0,,,34-43,,R. McCallum enters the game for B. Diaw
5:26.0,,,34-43,,R. Butler enters the game for D. Green
5:12.0,J. Smith misses 2-pt shot from 18 ft,,34-43,,
5:11.0,,,34-43,,Defensive rebound by R. Butler
4:47.0,,,34-43,,R. McCallum misses 3-pt shot from 23 ft
4:46.0,Defensive rebound by C. Frye,,34-43,,
4:40.0,E. Payton makes 2-pt shot from 3 ft,2,36-43,,
4:40.0,Shooting foul by T. Parker (drawn by E. Payton),,36-43,,
4:40.0,E. Payton misses free throw 1 of 1,,36-43,,
4:39.0,,,36-43,,Defensive rebound by R. Butler
4:28.0,,,36-43,,Shooting foul by E. Payton (drawn by T. Parker)
4:28.0,,,36-44,1,T. Parker makes free throw 1 of 2
4:28.0,,,36-44,,T. Parker misses free throw 2 of 2
4:27.0,Defensive rebound by J. Smith,,36-44,,
4:13.0,C. Frye misses 3-pt shot from 24 ft,,36-44,,
4:11.0,,,36-44,,Defensive rebound by T. Parker
4:06.0,,,36-46,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
3:45.0,J. Smith misses 2-pt shot from 18 ft,,36-46,,
3:44.0,,,36-46,,Defensive rebound by K. Leonard
3:37.0,,,36-48,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Leonard)
3:31.0,Orlando full timeout,,36-48,,
3:31.0,,,36-48,,M. Ginobili enters the game for R. McCallum
3:31.0,N. Vucevic enters the game for J. Smith,,36-48,,
3:31.0,A. Gordon enters the game for C. Frye,,36-48,,
3:15.0,N. Vucevic makes 2-pt shot from 7 ft,2,38-48,,
2:57.0,,,38-48,,K. Leonard misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by N. Vucevic,,38-48,,
2:46.0,E. Fournier misses 3-pt shot from 25 ft,,38-48,,
2:45.0,,,38-48,,Defensive rebound by R. Butler
2:37.0,,,38-48,,M. Ginobili misses 3-pt shot from 23 ft
2:36.0,Defensive rebound by E. Payton,,38-48,,
2:29.0,E. Payton makes 2-pt shot from 1 ft,2,40-48,,
2:03.0,,,40-48,,Turnover by T. Parker (bad pass; steal by N. Vucevic)
2:03.0,V. Oladipo enters the game for E. Fournier,,40-48,,
1:52.0,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo),2,42-48,,
1:36.0,,,42-50,2,T. Parker makes 2-pt shot from 5 ft (assist by M. Ginobili)
1:18.0,A. Gordon makes 2-pt shot from 5 ft (assist by V. Oladipo),2,44-50,,
1:04.0,,,44-52,2,M. Ginobili makes 2-pt shot from 2 ft (assist by T. Parker)
0:51.0,E. Payton misses 2-pt shot from 1 ft (block by R. Butler),,44-52,,
0:49.0,Offensive rebound by N. Vucevic,,44-52,,
0:43.0,A. Gordon misses 2-pt shot from 4 ft,,44-52,,
0:42.0,Offensive rebound by A. Gordon,,44-52,,
0:42.0,A. Gordon misses 2-pt shot from 1 ft,,44-52,,
0:40.0,Offensive rebound by E. Payton,,44-52,,
0:38.0,E. Payton misses 2-pt shot from 3 ft (block by K. Leonard),,44-52,,
0:36.0,Offensive rebound by E. Payton,,44-52,,
0:32.0,M. Hezonja misses 3-pt shot from 25 ft,,44-52,,
0:30.0,,,44-52,,Defensive rebound by K. Leonard
0:15.0,,,44-52,,K. Leonard misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by A. Gordon,,44-52,,
0:00.0,N. Vucevic misses 2-pt shot from 19 ft,,44-52,,
0:00.0,Offensive rebound by Team,,44-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,V. Oladipo misses 2-pt shot from 18 ft,,44-52,,
11:34.0,,,44-52,,Defensive rebound by T. Parker
11:18.0,,,44-52,,K. Leonard misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by N. Vucevic,,44-52,,
11:09.0,Shooting foul by K. Leonard (drawn by N. Vucevic),,44-52,,
11:09.0,N. Vucevic makes free throw 1 of 2,1,45-52,,
11:09.0,N. Vucevic makes free throw 2 of 2,1,46-52,,
10:58.0,,,46-52,,Turnover by D. Green (lost ball; steal by V. Oladipo)
10:53.0,V. Oladipo makes 2-pt shot at rim,2,48-52,,
10:37.0,,,48-52,,Turnover by D. Green (bad pass; steal by V. Oladipo)
10:34.0,Shooting foul by D. Green (drawn by V. Oladipo),,48-52,,
10:34.0,V. Oladipo makes free throw 1 of 2,1,49-52,,
10:34.0,,,49-52,,J. Simmons enters the game for D. Green
10:34.0,V. Oladipo makes free throw 2 of 2,1,50-52,,
10:22.0,,,50-54,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
10:05.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,52-54,,
9:43.0,,,52-54,,J. Simmons misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by V. Oladipo,,52-54,,
9:34.0,A. Gordon makes 2-pt shot from 6 ft (assist by E. Payton),2,54-54,,
9:34.0,,,54-54,,San Antonio full timeout
9:34.0,,,54-54,,M. Ginobili enters the game for J. Simmons
9:21.0,Personal block foul by T. Harris (drawn by K. Leonard),,54-54,,
9:10.0,,,54-54,,Shooting foul by N. Vucevic (drawn by L. Aldridge)
9:10.0,,,54-55,1,L. Aldridge makes free throw 1 of 2
9:10.0,,,54-55,,L. Aldridge misses free throw 2 of 2
9:09.0,Defensive rebound by A. Gordon,,54-55,,
8:51.0,V. Oladipo makes 2-pt shot at rim (assist by N. Vucevic),2,56-55,,
8:38.0,,,56-58,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
8:16.0,E. Payton makes 2-pt shot from 1 ft,2,58-58,,
8:04.0,,,58-60,2,K. Leonard makes 2-pt shot at rim (assist by B. Diaw)
7:49.0,Turnover by V. Oladipo (bad pass; steal by M. Ginobili),,58-60,,
7:35.0,,,58-60,,K. Leonard misses 3-pt shot from 24 ft
7:35.0,,,58-60,,Offensive rebound by B. Diaw
7:32.0,,,58-62,2,B. Diaw makes 2-pt shot from 2 ft
7:11.0,N. Vucevic misses 2-pt shot from 17 ft,,58-62,,
7:10.0,,,58-62,,Defensive rebound by M. Ginobili
7:05.0,,,58-62,,Shooting foul by V. Oladipo (drawn by M. Ginobili)
7:05.0,,,58-63,1,M. Ginobili makes free throw 1 of 2
7:05.0,,,58-64,1,M. Ginobili makes free throw 2 of 2
6:54.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton),2,60-64,,
6:33.0,,,60-64,,M. Ginobili misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by T. Harris,,60-64,,
6:25.0,Turnover by T. Harris (lost ball; steal by M. Ginobili),,60-64,,
6:22.0,,,60-64,,Turnover by K. Leonard (lost ball; steal by V. Oladipo)
6:06.0,N. Vucevic misses 2-pt shot from 7 ft,,60-64,,
6:05.0,Offensive rebound by E. Payton,,60-64,,
6:05.0,E. Payton misses 2-pt shot from 1 ft,,60-64,,
6:03.0,,,60-64,,Defensive rebound by B. Diaw
5:52.0,,,60-64,,M. Ginobili misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by A. Gordon,,60-64,,
5:40.0,Turnover by E. Payton (traveling),,60-64,,
5:25.0,,,60-64,,L. Aldridge misses 2-pt shot from 10 ft
5:24.0,Defensive rebound by A. Gordon,,60-64,,
5:17.0,A. Gordon misses 2-pt shot from 16 ft,,60-64,,
5:16.0,Offensive rebound by T. Harris,,60-64,,
5:12.0,T. Harris makes 2-pt shot from 1 ft,2,62-64,,
4:57.0,,,62-64,,T. Parker misses 2-pt shot from 16 ft
4:56.0,Defensive rebound by V. Oladipo,,62-64,,
4:40.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,64-64,,
4:26.0,,,64-64,,K. Leonard misses 2-pt shot from 4 ft
4:24.0,Defensive rebound by N. Vucevic,,64-64,,
4:17.0,Orlando full timeout,,64-64,,
4:17.0,,,64-64,,K. Anderson enters the game for K. Leonard
4:17.0,,,64-64,,P. Mills enters the game for B. Diaw
4:17.0,,,64-64,,D. Green enters the game for T. Parker
4:17.0,,,64-64,,J. Simmons enters the game for M. Ginobili
4:17.0,M. Hezonja enters the game for T. Harris,,64-64,,
4:07.0,V. Oladipo makes 2-pt shot from 1 ft (assist by N. Vucevic),2,66-64,,
3:55.0,,,66-64,,P. Mills misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by M. Hezonja,,66-64,,
3:32.0,N. Vucevic misses 2-pt shot from 18 ft,,66-64,,
3:32.0,,,66-64,,Defensive rebound by K. Anderson
3:10.0,,,66-66,2,L. Aldridge makes 2-pt shot from 14 ft (assist by P. Mills)
2:49.0,E. Payton misses 3-pt shot from 23 ft,,66-66,,
2:48.0,,,66-66,,Defensive rebound by D. Green
2:34.0,,,66-66,,L. Aldridge misses 2-pt shot from 15 ft
2:33.0,Defensive rebound by A. Gordon,,66-66,,
2:24.0,V. Oladipo makes 2-pt shot from 1 ft,2,68-66,,
2:08.0,,,68-66,,Shooting foul by N. Vucevic (drawn by L. Aldridge)
2:08.0,,,68-66,,L. Aldridge misses free throw 1 of 2
2:08.0,,,68-66,,Offensive rebound by Team
2:08.0,E. Fournier enters the game for V. Oladipo,,68-66,,
2:08.0,C. Frye enters the game for A. Gordon,,68-66,,
2:08.0,,,68-67,1,L. Aldridge makes free throw 2 of 2
1:56.0,M. Hezonja misses 2-pt shot from 17 ft,,68-67,,
1:55.0,,,68-67,,Defensive rebound by P. Mills
1:45.0,,,68-69,2,K. Anderson makes 2-pt shot from 16 ft (assist by P. Mills)
1:31.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,70-69,,
1:19.0,,,70-71,2,P. Mills makes 2-pt shot from 17 ft
0:52.0,M. Hezonja misses 2-pt shot from 19 ft,,70-71,,
0:51.0,,,70-71,,Defensive rebound by L. Aldridge
0:42.0,,,70-73,2,P. Mills makes 2-pt shot from 19 ft
0:31.0,E. Payton misses 2-pt shot from 8 ft (block by L. Aldridge),,70-73,,
0:29.0,,,70-73,,Defensive rebound by P. Mills
0:28.0,,,70-73,,Shooting foul by M. Hezonja (drawn by L. Aldridge)
0:28.0,,,70-74,1,L. Aldridge makes free throw 1 of 2
0:28.0,J. Smith enters the game for N. Vucevic,,70-74,,
0:28.0,,,70-74,,R. McCallum enters the game for J. Simmons
0:28.0,,,70-75,1,L. Aldridge makes free throw 2 of 2
0:07.0,E. Fournier misses 2-pt shot from 4 ft,,70-75,,
0:07.0,Offensive rebound by E. Fournier,,70-75,,
0:06.0,,,70-75,,Personal foul by D. Green (drawn by E. Fournier)
0:06.0,,,70-75,,K. Leonard enters the game for L. Aldridge
0:06.0,V. Oladipo enters the game for E. Payton,,70-75,,
0:01.0,Turnover by E. Fournier (bad pass; steal by K. Leonard),,70-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,70-77,2,K. Anderson makes 2-pt shot from 15 ft
11:29.0,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo),2,72-77,,
11:16.0,Personal foul by V. Oladipo (drawn by P. Mills),,72-77,,
11:10.0,,,72-79,2,P. Mills makes 2-pt shot from 18 ft
10:46.0,C. Frye misses 2-pt shot from 20 ft,,72-79,,
10:45.0,Offensive rebound by C. Frye,,72-79,,
10:36.0,V. Oladipo misses 2-pt shot from 2 ft (block by R. McCallum),,72-79,,
10:36.0,Offensive rebound by Team,,72-79,,
10:25.0,Turnover by E. Fournier (bad pass),,72-79,,
10:11.0,,,72-82,3,K. Anderson makes 3-pt shot from 22 ft (assist by R. McCallum)
9:55.0,V. Oladipo misses 2-pt shot from 19 ft,,72-82,,
9:54.0,,,72-82,,Defensive rebound by D. Green
9:46.0,,,72-84,2,K. Anderson makes 2-pt shot from 15 ft
9:46.0,Orlando full timeout,,72-84,,
9:46.0,N. Vucevic enters the game for E. Fournier,,72-84,,
9:46.0,E. Payton enters the game for M. Hezonja,,72-84,,
9:46.0,T. Harris enters the game for C. Frye,,72-84,,
9:46.0,A. Gordon enters the game for J. Smith,,72-84,,
9:23.0,N. Vucevic misses 2-pt shot from 6 ft,,72-84,,
9:22.0,Offensive rebound by N. Vucevic,,72-84,,
9:19.0,N. Vucevic makes 2-pt shot from 1 ft,2,74-84,,
9:11.0,,,74-84,,Turnover by P. Mills (bad pass; steal by V. Oladipo)
9:11.0,,,74-84,,Personal foul by D. West (drawn by V. Oladipo)
9:04.0,,,74-84,,Personal foul by D. West (drawn by N. Vucevic)
8:55.0,T. Harris misses 3-pt shot from 24 ft,,74-84,,
8:52.0,Offensive rebound by A. Gordon,,74-84,,
8:49.0,A. Gordon makes 2-pt shot at rim,2,76-84,,
8:41.0,,,76-84,,P. Mills misses 2-pt shot from 12 ft
8:40.0,Defensive rebound by A. Gordon,,76-84,,
8:33.0,V. Oladipo misses 3-pt shot from 24 ft,,76-84,,
8:32.0,,,76-84,,Defensive rebound by K. Anderson
8:22.0,,,76-84,,D. Green misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by A. Gordon,,76-84,,
8:13.0,Turnover by A. Gordon (bad pass; steal by P. Mills),,76-84,,
8:08.0,,,76-86,2,P. Mills makes 2-pt shot at rim
7:47.0,T. Harris makes 2-pt shot at rim (assist by V. Oladipo),2,78-86,,
7:41.0,Personal foul by N. Vucevic (drawn by D. West),,78-86,,
7:34.0,,,78-89,3,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson)
7:34.0,,,78-89,,Shooting foul by E. Payton (drawn by P. Mills)
7:34.0,,,78-90,1,P. Mills makes free throw 1 of 1
7:10.0,N. Vucevic misses 2-pt shot from 11 ft,,78-90,,
7:09.0,,,78-90,,Defensive rebound by P. Mills
6:59.0,,,78-93,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
6:59.0,Orlando full timeout,,78-93,,
6:59.0,M. Hezonja enters the game for E. Payton,,78-93,,
6:43.0,T. Harris makes 2-pt shot from 12 ft,2,80-93,,
6:23.0,,,80-95,2,D. West makes 2-pt shot at rim (assist by K. Anderson)
6:12.0,Shooting foul by D. Green (drawn by V. Oladipo),,80-95,,
6:12.0,V. Oladipo makes free throw 1 of 2,1,81-95,,
6:12.0,,,81-95,,K. Leonard enters the game for R. McCallum
6:12.0,,,81-95,,T. Parker enters the game for P. Mills
6:12.0,V. Oladipo makes free throw 2 of 2,1,82-95,,
5:57.0,,,82-95,,K. Anderson misses 2-pt shot from 16 ft
5:57.0,Defensive rebound by V. Oladipo,,82-95,,
5:40.0,Offensive foul by A. Gordon,,82-95,,
5:40.0,Turnover by A. Gordon (offensive foul),,82-95,,
5:40.0,,,82-95,,L. Aldridge enters the game for K. Anderson
5:40.0,Official timeout,,82-95,,
5:40.0,C. Frye enters the game for N. Vucevic,,82-95,,
5:29.0,,,82-95,,Offensive foul by L. Aldridge
5:29.0,,,82-95,,Turnover by L. Aldridge (offensive foul)
5:23.0,Shooting foul by D. Green (drawn by V. Oladipo),,82-95,,
5:23.0,V. Oladipo makes free throw 1 of 2,1,83-95,,
5:23.0,V. Oladipo makes free throw 2 of 2,1,84-95,,
5:06.0,,,84-97,2,L. Aldridge makes 2-pt shot from 14 ft
4:56.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,87-97,,
4:40.0,Personal foul by C. Frye (drawn by L. Aldridge),,87-97,,
4:34.0,Personal foul by C. Frye (drawn by L. Aldridge),,87-97,,
4:34.0,,,87-98,1,L. Aldridge makes free throw 1 of 2
4:34.0,,,87-99,1,L. Aldridge makes free throw 2 of 2
4:22.0,V. Oladipo misses 2-pt shot from 19 ft,,87-99,,
4:22.0,,,87-99,,Defensive rebound by D. West
4:05.0,,,87-99,,L. Aldridge misses 2-pt shot from 20 ft
4:05.0,Defensive rebound by A. Gordon,,87-99,,
3:55.0,A. Gordon misses 2-pt shot from 7 ft (block by L. Aldridge),,87-99,,
3:53.0,,,87-99,,Defensive rebound by D. Green
3:39.0,,,87-99,,D. Green misses 3-pt shot from 24 ft
3:39.0,,,87-99,,Offensive rebound by T. Parker
3:23.0,,,87-101,2,D. West makes 2-pt shot from 15 ft (assist by D. Green)
3:01.0,C. Frye misses 3-pt shot from 24 ft,,87-101,,
3:00.0,,,87-101,,Defensive rebound by D. West
2:49.0,,,87-101,,K. Leonard misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by A. Gordon,,87-101,,
