time,Sacramento,pts.away,score,pts.home,Toronto
7:51.0,B. McLemore misses 3-pt shot from 24 ft,,44-26,,
7:50.0,,,44-26,,Defensive rebound by J. Johnson
7:40.0,,,44-28,2,D. DeRozan makes 2-pt shot from 18 ft
7:24.0,R. Gay misses 3-pt shot from 26 ft,,44-28,,
7:23.0,,,44-28,,Defensive rebound by D. DeRozan
7:15.0,,,44-30,2,D. DeRozan makes 2-pt shot from 8 ft
7:06.0,D. Collison makes 2-pt shot from 2 ft,2,46-30,,
6:51.0,,,46-30,,T. Ross misses 3-pt shot from 24 ft
6:51.0,,,46-30,,Offensive rebound by T. Ross
6:49.0,D. Cousins enters the game for K. Koufos,,46-30,,
6:49.0,R. Rondo enters the game for M. Belinelli,,46-30,,
6:49.0,,,46-30,,P. Patterson enters the game for T. Ross
6:36.0,,,46-30,,D. DeRozan misses 2-pt shot from 11 ft
6:35.0,Defensive rebound by D. Cousins,,46-30,,
6:20.0,R. Rondo misses 2-pt shot from 2 ft,,46-30,,
6:19.0,,,46-30,,Defensive rebound by L. Scola
6:07.0,,,46-30,,L. Scola misses 2-pt shot from 3 ft (block by D. Cousins)
6:06.0,Defensive rebound by D. Cousins,,46-30,,
6:00.0,Shooting foul by K. Lowry (drawn by R. Gay),,46-30,,
6:00.0,Sacramento full timeout,,46-30,,
6:00.0,O. Casspi enters the game for B. McLemore,,46-30,,
6:00.0,R. Gay makes free throw 1 of 2,1,47-30,,
6:00.0,R. Gay makes free throw 2 of 2,1,48-30,,
5:45.0,,,48-30,,D. DeRozan misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by O. Casspi,,48-30,,
5:44.0,,,48-30,,Personal foul by L. Scola (drawn by O. Casspi)
5:34.0,Offensive charge foul by D. Cousins,,48-30,,
5:34.0,Turnover by D. Cousins (offensive foul),,48-30,,
5:34.0,K. Koufos enters the game for D. Cousins,,48-30,,
5:34.0,Technical foul by D. Cousins,,48-30,,
5:34.0,,,48-31,1,D. DeRozan makes technical free throw
5:16.0,,,48-33,2,J. Johnson makes 2-pt shot from 1 ft
5:04.0,Offensive charge foul by D. Collison,,48-33,,
5:04.0,Turnover by D. Collison (offensive foul),,48-33,,
5:04.0,,,48-33,,B. Biyombo enters the game for L. Scola
4:56.0,,,48-33,,D. DeRozan misses 2-pt shot from 11 ft
4:55.0,Defensive rebound by R. Gay,,48-33,,
4:41.0,R. Gay misses 2-pt shot from 6 ft,,48-33,,
4:40.0,,,48-33,,Defensive rebound by B. Biyombo
4:32.0,,,48-33,,D. DeRozan misses 2-pt shot from 4 ft
4:31.0,Defensive rebound by O. Casspi,,48-33,,
4:27.0,,,48-33,,Violation by J. Johnson (kicked ball)
4:27.0,Technical foul by Team,,48-33,,
4:27.0,,,48-34,1,D. DeRozan makes technical free throw
4:10.0,Turnover by O. Casspi (lost ball; steal by P. Patterson),,48-34,,
4:07.0,,,48-36,2,K. Lowry makes 2-pt shot from 5 ft
4:07.0,,,48-36,,Shooting foul by D. Collison (drawn by K. Lowry)
4:07.0,Sacramento full timeout,,48-36,,
4:07.0,,,48-37,1,K. Lowry makes free throw 1 of 1
3:58.0,,,48-37,,Violation by B. Biyombo (kicked ball)
3:48.0,R. Gay misses 2-pt shot from 3 ft,,48-37,,
3:47.0,Offensive rebound by K. Koufos,,48-37,,
3:44.0,K. Koufos makes 2-pt shot from 2 ft,2,50-37,,
3:34.0,,,50-37,,J. Johnson misses 2-pt shot from 1 ft
3:34.0,Defensive rebound by O. Casspi,,50-37,,
3:28.0,D. Collison misses 2-pt shot from 3 ft,,50-37,,
3:27.0,,,50-37,,Defensive rebound by B. Biyombo
3:11.0,,,50-37,,P. Patterson misses 2-pt shot from 3 ft
3:10.0,,,50-37,,Offensive rebound by K. Lowry
3:08.0,,,50-37,,K. Lowry misses 2-pt shot from 2 ft
3:08.0,,,50-37,,Offensive rebound by K. Lowry
3:05.0,,,50-37,,K. Lowry misses 2-pt shot from 2 ft
3:04.0,Defensive rebound by R. Gay,,50-37,,
3:00.0,R. Gay makes 2-pt shot at rim (assist by O. Casspi),2,52-37,,
2:49.0,Personal foul by D. Collison (drawn by K. Lowry),,52-37,,
2:49.0,,,52-37,,Toronto full timeout
2:49.0,M. Belinelli enters the game for D. Collison,,52-37,,
2:49.0,,,52-38,1,K. Lowry makes free throw 1 of 2
2:49.0,,,52-39,1,K. Lowry makes free throw 2 of 2
2:34.0,R. Gay misses 2-pt shot from 3 ft,,52-39,,
2:34.0,,,52-39,,Defensive rebound by B. Biyombo
2:24.0,,,52-39,,P. Patterson misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by R. Rondo,,52-39,,
2:18.0,Shooting foul by P. Patterson (drawn by K. Koufos),,52-39,,
2:18.0,K. Koufos makes free throw 1 of 2,1,53-39,,
2:18.0,K. Koufos misses free throw 2 of 2,,53-39,,
2:17.0,,,53-39,,Defensive rebound by B. Biyombo
2:01.0,,,53-39,,Turnover by D. DeRozan (bad pass; steal by R. Gay)
1:55.0,M. Belinelli makes 2-pt shot from 1 ft (assist by R. Rondo),2,55-39,,
1:32.0,,,55-41,2,K. Lowry makes 2-pt shot from 6 ft
1:26.0,K. Koufos misses 2-pt shot from 3 ft,,55-41,,
1:25.0,,,55-41,,Defensive rebound by B. Biyombo
1:16.0,,,55-41,,K. Lowry misses 3-pt shot from 25 ft
1:15.0,,,55-41,,Offensive rebound by J. Johnson
1:09.0,,,55-44,3,P. Patterson makes 3-pt shot from 26 ft
0:56.0,M. Belinelli misses 2-pt shot from 20 ft,,55-44,,
0:55.0,,,55-44,,Defensive rebound by P. Patterson
0:40.0,,,55-46,2,K. Lowry makes 2-pt shot from 9 ft
0:36.0,,,55-46,,Violation by P. Patterson (kicked ball)
0:32.0,Turnover by M. Belinelli (bad pass; steal by P. Patterson),,55-46,,
0:29.0,,,55-48,2,P. Patterson makes 2-pt shot at rim
0:05.0,Turnover by R. Rondo (bad pass; steal by D. DeRozan),,55-48,,
0:00.0,,,55-48,,D. DeRozan misses 3-pt shot from 59 ft
0:00.0,,,55-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,D. Cousins misses 2-pt shot from 6 ft,,55-48,,
11:50.0,,,55-48,,Defensive rebound by J. Johnson
11:36.0,,,55-48,,D. DeRozan misses 2-pt shot from 19 ft
11:35.0,,,55-48,,Offensive rebound by B. Biyombo
11:35.0,,,55-48,,Shooting foul by B. McLemore (drawn by B. Biyombo)
11:35.0,,,55-49,1,B. Biyombo makes free throw 1 of 2
11:35.0,,,55-50,1,B. Biyombo makes free throw 2 of 2
11:21.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,57-50,,
11:03.0,,,57-50,,Turnover by L. Scola (lost ball)
11:03.0,,,57-50,,Loose ball foul by L. Scola (drawn by R. Gay)
10:51.0,R. Gay misses 3-pt shot from 22 ft,,57-50,,
10:50.0,,,57-50,,Defensive rebound by K. Lowry
10:37.0,,,57-52,2,D. DeRozan makes 2-pt shot from 8 ft (assist by K. Lowry)
10:17.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,59-52,,
9:58.0,,,59-52,,B. Biyombo misses 2-pt shot from 15 ft
9:58.0,,,59-52,,Offensive rebound by Team
9:58.0,Loose ball foul by O. Casspi (drawn by L. Scola),,59-52,,
9:49.0,,,59-54,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
9:37.0,D. Cousins misses 2-pt shot from 21 ft,,59-54,,
9:36.0,,,59-54,,Defensive rebound by L. Scola
9:22.0,,,59-54,,D. DeRozan misses 2-pt shot from 14 ft
9:22.0,Defensive rebound by B. McLemore,,59-54,,
9:16.0,,,59-54,,Personal foul by J. Johnson (drawn by R. Gay)
9:00.0,Turnover by R. Rondo (bad pass),,59-54,,
8:42.0,,,59-54,,B. Biyombo misses 2-pt shot from 1 ft
8:42.0,,,59-54,,Offensive rebound by B. Biyombo
8:40.0,,,59-54,,B. Biyombo misses 2-pt shot from 2 ft
8:39.0,,,59-54,,Offensive rebound by B. Biyombo
8:32.0,,,59-54,,Turnover by L. Scola (3 sec)
8:12.0,Turnover by D. Cousins (bad pass; steal by D. DeRozan),,59-54,,
7:58.0,,,59-54,,K. Lowry misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by R. Rondo,,59-54,,
7:51.0,R. Rondo makes 2-pt shot from 1 ft,2,61-54,,
7:24.0,,,61-54,,J. Johnson misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by D. Cousins,,61-54,,
7:22.0,,,61-54,,Personal foul by K. Lowry (drawn by D. Cousins)
7:22.0,,,61-54,,Technical foul by K. Lowry (drawn by D. Cousins)
7:22.0,R. Gay makes technical free throw,1,62-54,,
7:22.0,,,62-54,,Technical foul by K. Lowry (drawn by D. Cousins)
7:22.0,,,62-54,,C. Joseph enters the game for K. Lowry
7:22.0,R. Gay makes technical free throw,1,63-54,,
7:13.0,,,63-54,,Violation by B. Biyombo (kicked ball)
7:04.0,D. Cousins misses 2-pt shot from 21 ft,,63-54,,
7:03.0,,,63-54,,Defensive rebound by L. Scola
6:53.0,,,63-54,,J. Johnson misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by D. Cousins,,63-54,,
6:45.0,R. Rondo makes 2-pt shot from 1 ft,2,65-54,,
6:40.0,,,65-54,,Toronto full timeout
6:40.0,,,65-54,,T. Ross enters the game for J. Johnson
6:40.0,,,65-54,,P. Patterson enters the game for L. Scola
6:26.0,,,65-56,2,T. Ross makes 2-pt shot from 18 ft (assist by C. Joseph)
6:13.0,,,65-56,,Violation by B. Biyombo (def goaltending)
6:13.0,R. Rondo makes 2-pt shot from 2 ft,2,67-56,,
5:57.0,,,67-56,,T. Ross misses 3-pt shot from 25 ft
5:57.0,,,67-56,,Offensive rebound by B. Biyombo
5:44.0,,,67-56,,B. Biyombo misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by Team,,67-56,,
5:44.0,,,67-56,,Loose ball foul by D. DeRozan (drawn by D. Cousins)
5:36.0,Turnover by R. Rondo (bad pass),,67-56,,
5:36.0,K. Koufos enters the game for R. Gay,,67-56,,
5:21.0,,,67-56,,C. Joseph misses 2-pt shot from 3 ft
5:20.0,Defensive rebound by K. Koufos,,67-56,,
5:15.0,,,67-56,,Personal foul by P. Patterson (drawn by D. Cousins)
5:15.0,D. Cousins makes free throw 1 of 2,1,68-56,,
5:15.0,D. Cousins makes free throw 2 of 2,1,69-56,,
4:59.0,,,69-56,,P. Patterson misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by B. McLemore,,69-56,,
4:43.0,D. Cousins misses 2-pt shot from 6 ft,,69-56,,
4:42.0,Offensive rebound by D. Cousins,,69-56,,
4:37.0,B. McLemore misses 3-pt shot from 26 ft,,69-56,,
4:37.0,,,69-56,,Defensive rebound by T. Ross
4:22.0,,,69-56,,Turnover by T. Ross (bad pass; steal by O. Casspi)
4:19.0,Turnover by O. Casspi (bad pass),,69-56,,
4:09.0,,,69-56,,D. DeRozan misses 2-pt shot from 3 ft
4:09.0,,,69-56,,Offensive rebound by D. DeRozan
4:07.0,,,69-58,2,D. DeRozan makes 2-pt shot from 2 ft
3:58.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo),2,71-58,,
3:58.0,Shooting foul by B. Biyombo (drawn by B. McLemore),,71-58,,
3:58.0,B. McLemore misses free throw 1 of 1,,71-58,,
3:56.0,,,71-58,,Defensive rebound by P. Patterson
3:34.0,,,71-58,,D. DeRozan misses 2-pt shot from 4 ft
3:33.0,,,71-58,,Offensive rebound by B. Biyombo
3:29.0,,,71-58,,B. Biyombo misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by O. Casspi,,71-58,,
3:16.0,,,71-58,,Personal foul by D. DeRozan (drawn by R. Rondo)
3:16.0,R. Rondo makes free throw 1 of 2,1,72-58,,
3:16.0,M. Belinelli enters the game for B. McLemore,,72-58,,
3:16.0,R. Rondo makes free throw 2 of 2,1,73-58,,
2:59.0,,,73-61,3,P. Patterson makes 3-pt shot from 22 ft (assist by C. Joseph)
2:50.0,D. Cousins misses 2-pt shot from 3 ft (block by B. Biyombo),,73-61,,
2:50.0,Offensive rebound by Team,,73-61,,
2:50.0,Sacramento full timeout,,73-61,,
2:50.0,D. Collison enters the game for O. Casspi,,73-61,,
2:50.0,,,73-61,,L. Scola enters the game for B. Biyombo
2:50.0,,,73-61,,J. Johnson enters the game for D. DeRozan
2:40.0,R. Rondo makes 2-pt shot from 3 ft,2,75-61,,
2:17.0,,,75-63,2,C. Joseph makes 2-pt shot from 1 ft
1:48.0,R. Rondo misses 3-pt shot from 25 ft,,75-63,,
1:48.0,,,75-63,,Defensive rebound by T. Ross
1:37.0,,,75-66,3,P. Patterson makes 3-pt shot from 25 ft (assist by T. Ross)
1:27.0,,,75-66,,Personal foul by P. Patterson (drawn by D. Cousins)
1:27.0,D. Cousins makes free throw 1 of 2,1,76-66,,
1:27.0,D. Cousins misses free throw 2 of 2,,76-66,,
1:26.0,,,76-66,,Defensive rebound by L. Scola
1:13.0,,,76-66,,C. Joseph misses 2-pt shot from 2 ft (block by K. Koufos)
1:12.0,Defensive rebound by D. Collison,,76-66,,
0:59.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,78-66,,
0:45.0,,,78-66,,P. Patterson misses 2-pt shot from 7 ft
0:44.0,,,78-66,,Offensive rebound by P. Patterson
0:42.0,,,78-66,,Shooting foul by K. Koufos (drawn by P. Patterson)
0:42.0,,,78-67,1,P. Patterson makes free throw 1 of 2
0:42.0,R. Gay enters the game for D. Cousins,,78-67,,
0:42.0,,,78-68,1,P. Patterson makes free throw 2 of 2
0:35.0,Turnover by R. Rondo (traveling),,78-68,,
0:27.0,,,78-70,2,L. Scola makes 2-pt shot from 2 ft (assist by P. Patterson)
0:04.0,R. Gay misses 3-pt shot from 26 ft,,78-70,,
0:03.0,,,78-70,,Defensive rebound by P. Patterson
0:00.0,,,78-70,,T. Ross misses 3-pt shot from 42 ft
0:00.0,,,78-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-70,,T. Ross misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by K. Koufos,,78-70,,
11:32.0,K. Koufos makes 2-pt shot at rim (assist by R. Rondo),2,80-70,,
11:16.0,Personal foul by D. Collison (drawn by C. Joseph),,80-70,,
11:00.0,,,80-72,2,J. Johnson makes 2-pt shot from 2 ft
10:34.0,R. Rondo misses 2-pt shot from 19 ft,,80-72,,
10:33.0,,,80-72,,Defensive rebound by P. Patterson
10:23.0,,,80-74,2,T. Ross makes 2-pt shot from 14 ft
10:11.0,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo),2,82-74,,
9:50.0,,,82-76,2,J. Johnson makes 2-pt shot from 8 ft
9:30.0,Turnover by R. Rondo (lost ball; steal by J. Johnson),,82-76,,
9:26.0,,,82-78,2,J. Johnson makes 2-pt shot at rim
9:26.0,Sacramento full timeout,,82-78,,
9:26.0,D. Cousins enters the game for R. Rondo,,82-78,,
9:26.0,O. Casspi enters the game for K. Koufos,,82-78,,
9:00.0,O. Casspi makes 3-pt shot from 24 ft (assist by D. Cousins),3,85-78,,
8:41.0,,,85-78,,T. Ross misses 2-pt shot from 13 ft
8:40.0,Defensive rebound by R. Gay,,85-78,,
8:32.0,Turnover by O. Casspi (bad pass; steal by J. Johnson),,85-78,,
8:27.0,,,85-78,,Turnover by J. Johnson (lost ball; steal by R. Gay)
8:22.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,87-78,,
8:00.0,,,87-80,2,J. Johnson makes 2-pt shot from 4 ft
7:38.0,D. Cousins misses 2-pt shot from 2 ft,,87-80,,
7:38.0,,,87-80,,Defensive rebound by L. Scola
7:30.0,,,87-83,3,T. Ross makes 3-pt shot from 25 ft
7:20.0,Shooting foul by T. Ross (drawn by D. Collison),,87-83,,
7:20.0,D. Collison makes free throw 1 of 2,1,88-83,,
7:20.0,,,88-83,,D. DeRozan enters the game for L. Scola
7:20.0,D. Collison makes free throw 2 of 2,1,89-83,,
7:05.0,,,89-83,,T. Ross misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by O. Casspi,,89-83,,
6:54.0,,,89-83,,Violation by C. Joseph (kicked ball)
6:43.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,91-83,,
6:26.0,,,91-83,,Turnover by P. Patterson (lost ball; steal by D. Cousins)
6:23.0,Shooting foul by P. Patterson (drawn by D. Cousins),,91-83,,
6:23.0,D. Cousins makes free throw 1 of 2,1,92-83,,
6:23.0,D. Cousins misses free throw 2 of 2,,92-83,,
6:22.0,,,92-83,,Defensive rebound by J. Johnson
6:09.0,Personal foul by O. Casspi (drawn by D. DeRozan),,92-83,,
6:00.0,,,92-85,2,D. DeRozan makes 2-pt shot from 12 ft
5:36.0,D. Cousins misses 2-pt shot from 1 ft,,92-85,,
5:35.0,,,92-85,,Defensive rebound by C. Joseph
5:22.0,,,92-85,,J. Johnson misses 2-pt shot from 3 ft
5:21.0,Defensive rebound by D. Cousins,,92-85,,
5:15.0,D. Collison misses 2-pt shot from 3 ft (block by C. Joseph),,92-85,,
5:15.0,Offensive rebound by R. Gay,,92-85,,
5:11.0,Turnover by R. Gay (bad pass; steal by P. Patterson),,92-85,,
5:05.0,,,92-87,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Ross)
5:05.0,Sacramento full timeout,,92-87,,
5:05.0,Official timeout,,92-87,,
5:05.0,R. Rondo enters the game for M. Belinelli,,92-87,,
4:48.0,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo),2,94-87,,
4:29.0,,,94-90,3,P. Patterson makes 3-pt shot from 26 ft (assist by J. Johnson)
4:08.0,R. Gay makes 3-pt shot from 27 ft (assist by D. Collison),3,97-90,,
3:50.0,,,97-90,,P. Patterson misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by O. Casspi,,97-90,,
3:29.0,O. Casspi makes 2-pt shot from 3 ft,2,99-90,,
3:15.0,,,99-90,,Shooting foul by D. Collison (drawn by D. DeRozan)
3:15.0,,,99-91,1,D. DeRozan makes free throw 1 of 2
3:15.0,,,99-92,1,D. DeRozan makes free throw 2 of 2
