time,Chicago,pts.away,score,pts.home,Oklahoma City
2:21.0,J. Butler misses 2-pt shot from 17 ft,,25-20,,
2:21.0,,,25-20,,Defensive rebound by K. Durant
2:01.0,,,25-20,,D. Waiters misses 2-pt shot from 6 ft
1:59.0,Defensive rebound by J. Butler,,25-20,,
1:52.0,J. Butler misses 2-pt shot from 10 ft,,25-20,,
1:50.0,,,25-20,,Defensive rebound by K. Durant
1:39.0,,,25-20,,K. Durant misses 2-pt shot from 17 ft
1:38.0,Defensive rebound by A. Brooks,,25-20,,
1:33.0,Chicago full timeout,,25-20,,
1:33.0,B. Portis enters the game for T. Gibson,,25-20,,
1:21.0,B. Portis misses 2-pt shot from 18 ft,,25-20,,
1:20.0,Offensive rebound by P. Gasol,,25-20,,
1:15.0,J. Butler misses 3-pt shot from 23 ft,,25-20,,
1:15.0,,,25-20,,Defensive rebound by K. Durant
1:00.0,,,25-20,,E. Kanter misses 2-pt shot from 2 ft (block by P. Gasol)
1:00.0,,,25-20,,Offensive rebound by E. Kanter
0:57.0,,,25-20,,E. Kanter misses 2-pt shot from 2 ft
0:57.0,,,25-20,,Offensive rebound by N. Collison
0:54.0,,,25-22,2,N. Collison makes 2-pt shot from 2 ft
0:42.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,27-22,,
0:28.0,,,27-24,2,K. Durant makes 2-pt shot from 6 ft (assist by D. Augustin)
0:10.0,A. Brooks misses 2-pt shot from 1 ft,,27-24,,
0:10.0,Offensive rebound by Team,,27-24,,
0:10.0,,,27-24,,Loose ball foul by D. Augustin (drawn by P. Gasol)
0:10.0,P. Gasol makes free throw 1 of 2,1,28-24,,
0:10.0,P. Gasol makes free throw 2 of 2,1,29-24,,
0:03.0,,,29-24,,Shooting foul by J. Butler (drawn by K. Durant)
0:03.0,,,29-25,1,K. Durant makes free throw 1 of 2
0:03.0,,,29-26,1,K. Durant makes free throw 2 of 2
0:00.0,J. Butler makes 3-pt shot from 35 ft (assist by P. Gasol),3,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,32-26,,Turnover by D. Waiters (bad pass; steal by T. Gibson)
11:38.0,Turnover by T. Gibson (lost ball; steal by D. Waiters),,32-26,,
11:14.0,,,32-29,3,D. Augustin makes 3-pt shot from 25 ft (assist by D. Waiters)
10:51.0,D. McDermott misses 2-pt shot from 9 ft,,32-29,,
10:50.0,,,32-29,,Defensive rebound by A. Morrow
10:43.0,,,32-29,,D. Augustin misses 2-pt shot at rim
10:43.0,Defensive rebound by B. Portis,,32-29,,
10:32.0,Turnover by D. McDermott (bad pass; steal by D. Augustin),,32-29,,
10:32.0,Loose ball foul by T. Gibson (drawn by D. Augustin),,32-29,,
10:32.0,,,32-29,,S. Ibaka enters the game for E. Kanter
10:32.0,,,32-29,,S. Adams enters the game for N. Collison
10:32.0,K. Hinrich enters the game for T. Snell,,32-29,,
10:18.0,,,32-29,,D. Waiters misses 2-pt shot from 13 ft
10:17.0,Defensive rebound by A. Brooks,,32-29,,
10:04.0,A. Brooks makes 3-pt shot from 24 ft (assist by B. Portis),3,35-29,,
9:45.0,,,35-29,,Turnover by D. Augustin (bad pass)
9:45.0,,,35-29,,R. Westbrook enters the game for D. Augustin
9:31.0,D. McDermott misses 3-pt shot from 24 ft,,35-29,,
9:31.0,Offensive rebound by Team,,35-29,,
9:17.0,K. Hinrich makes 2-pt shot from 1 ft (assist by B. Portis),2,37-29,,
9:00.0,,,37-31,2,S. Adams makes 2-pt shot from 1 ft (assist by D. Waiters)
8:54.0,A. Brooks misses 2-pt shot at rim,,37-31,,
8:52.0,,,37-31,,Defensive rebound by S. Adams
8:47.0,,,37-31,,Turnover by R. Westbrook (traveling)
8:47.0,Official timeout,,37-31,,
8:47.0,D. Rose enters the game for A. Brooks,,37-31,,
8:47.0,,,37-31,,D. Augustin enters the game for D. Waiters
8:34.0,D. McDermott misses 3-pt shot from 24 ft,,37-31,,
8:34.0,,,37-31,,Defensive rebound by D. Augustin
8:21.0,,,37-31,,S. Ibaka misses 2-pt shot from 17 ft
8:20.0,Defensive rebound by D. Rose,,37-31,,
8:11.0,D. Rose makes 2-pt shot from 2 ft,2,39-31,,
7:58.0,,,39-31,,S. Adams misses 2-pt shot from 2 ft (block by T. Gibson)
7:57.0,Defensive rebound by T. Gibson,,39-31,,
7:48.0,B. Portis misses 2-pt shot from 9 ft,,39-31,,
7:46.0,,,39-31,,Defensive rebound by S. Ibaka
7:38.0,,,39-31,,R. Westbrook misses 2-pt shot from 12 ft
7:38.0,Defensive rebound by T. Gibson,,39-31,,
7:30.0,Shooting foul by S. Ibaka (drawn by D. Rose),,39-31,,
7:30.0,D. Rose misses free throw 1 of 2,,39-31,,
7:30.0,Offensive rebound by Team,,39-31,,
7:30.0,P. Gasol enters the game for T. Gibson,,39-31,,
7:30.0,N. Mirotic enters the game for B. Portis,,39-31,,
7:30.0,J. Butler enters the game for D. McDermott,,39-31,,
7:30.0,,,39-31,,K. Durant enters the game for A. Morrow
7:30.0,D. Rose makes free throw 2 of 2,1,40-31,,
7:09.0,,,40-31,,R. Westbrook misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by D. Rose,,40-31,,
7:02.0,D. Rose misses 2-pt shot from 1 ft,,40-31,,
7:01.0,Offensive rebound by J. Butler,,40-31,,
7:00.0,J. Butler misses 2-pt shot from 1 ft,,40-31,,
6:59.0,Offensive rebound by J. Butler,,40-31,,
6:59.0,J. Butler makes 2-pt shot from 1 ft,2,42-31,,
6:59.0,,,42-31,,Oklahoma City full timeout
6:59.0,,,42-31,,A. Roberson enters the game for S. Adams
6:47.0,,,42-33,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:34.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,44-33,,
6:16.0,Personal foul by N. Mirotic (drawn by D. Augustin),,44-33,,
6:07.0,,,44-35,2,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook)
5:48.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,46-35,,
5:32.0,,,46-37,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
5:16.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler),3,49-37,,
5:01.0,,,49-37,,Turnover by R. Westbrook (lost ball; steal by J. Butler)
4:58.0,D. Rose makes 2-pt shot at rim (assist by N. Mirotic),2,51-37,,
4:31.0,,,51-37,,K. Durant misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by D. Rose,,51-37,,
4:22.0,N. Mirotic misses 3-pt shot from 25 ft,,51-37,,
4:22.0,,,51-37,,Defensive rebound by Team
4:06.0,,,51-37,,R. Westbrook misses 2-pt shot from 2 ft (block by N. Mirotic)
4:06.0,Defensive rebound by Team,,51-37,,
3:52.0,Turnover by J. Butler (step out of bounds),,51-37,,
3:41.0,,,51-37,,R. Westbrook misses 3-pt shot from 24 ft
3:39.0,,,51-37,,Offensive rebound by Team
3:39.0,,,51-37,,D. Waiters enters the game for D. Augustin
3:34.0,,,51-39,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
3:21.0,Turnover by D. Rose (lost ball; steal by S. Ibaka),,51-39,,
3:16.0,,,51-41,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
3:15.0,Chicago full timeout,,51-41,,
3:15.0,T. Gibson enters the game for N. Mirotic,,51-41,,
2:59.0,J. Butler misses 2-pt shot from 20 ft,,51-41,,
2:59.0,,,51-41,,Defensive rebound by R. Westbrook
2:51.0,,,51-44,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
2:30.0,T. Gibson misses 2-pt shot from 14 ft,,51-44,,
2:29.0,,,51-44,,Defensive rebound by R. Westbrook
2:22.0,,,51-44,,R. Westbrook misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by T. Gibson,,51-44,,
2:09.0,Turnover by P. Gasol (lost ball; steal by K. Durant),,51-44,,
2:02.0,,,51-46,2,A. Roberson makes 2-pt shot from 2 ft (assist by K. Durant)
2:01.0,Chicago full timeout,,51-46,,
2:01.0,T. Snell enters the game for K. Hinrich,,51-46,,
1:46.0,D. Rose misses 2-pt shot from 10 ft (block by K. Durant),,51-46,,
1:45.0,,,51-46,,Defensive rebound by S. Ibaka
1:40.0,,,51-46,,D. Waiters misses 2-pt shot from 1 ft
1:39.0,,,51-46,,Offensive rebound by A. Roberson
1:39.0,,,51-46,,A. Roberson misses 2-pt shot from 1 ft
1:38.0,,,51-46,,Offensive rebound by A. Roberson
1:37.0,,,51-46,,A. Roberson misses 2-pt shot from 1 ft
1:36.0,Defensive rebound by Team,,51-46,,
1:36.0,,,51-46,,Loose ball foul by S. Ibaka (drawn by P. Gasol)
1:22.0,Turnover by T. Snell (bad pass; steal by R. Westbrook),,51-46,,
1:19.0,,,51-48,2,R. Westbrook makes 2-pt shot from 1 ft
1:19.0,,,51-48,,Shooting foul by D. Rose (drawn by R. Westbrook)
1:19.0,K. Hinrich enters the game for D. Rose,,51-48,,
1:19.0,,,51-48,,R. Westbrook misses free throw 1 of 1
1:18.0,Defensive rebound by T. Gibson,,51-48,,
1:07.0,K. Hinrich misses 2-pt shot from 18 ft,,51-48,,
1:07.0,Offensive rebound by J. Butler,,51-48,,
1:00.0,T. Snell makes 3-pt shot from 25 ft (assist by K. Hinrich),3,54-48,,
0:50.0,,,54-50,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
0:30.0,T. Snell misses 2-pt shot from 2 ft (block by S. Ibaka),,54-50,,
0:29.0,,,54-50,,Defensive rebound by A. Roberson
0:24.0,,,54-52,2,D. Waiters makes 2-pt shot at rim (assist by A. Roberson)
0:00.0,T. Snell misses 2-pt shot from 22 ft,,54-52,,
0:00.0,Offensive rebound by Team,,54-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,54-52,,S. Adams misses 2-pt shot at rim (block by N. Mirotic)
11:44.0,Defensive rebound by N. Mirotic,,54-52,,
11:31.0,D. Rose makes 2-pt shot from 4 ft,2,56-52,,
11:22.0,,,56-52,,K. Durant misses 3-pt shot from 23 ft
11:21.0,,,56-52,,Offensive rebound by S. Adams
11:15.0,,,56-52,,S. Ibaka misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by P. Gasol,,56-52,,
11:04.0,N. Mirotic misses 3-pt shot from 24 ft,,56-52,,
11:03.0,,,56-52,,Defensive rebound by S. Adams
10:51.0,,,56-52,,R. Westbrook misses 2-pt shot from 6 ft
10:50.0,Defensive rebound by Team,,56-52,,
10:30.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,58-52,,
10:09.0,,,58-52,,K. Durant misses 2-pt shot from 10 ft
10:08.0,Defensive rebound by T. Gibson,,58-52,,
9:54.0,D. Rose makes 2-pt shot from 3 ft,2,60-52,,
9:36.0,,,60-52,,Turnover by K. Durant (traveling)
9:22.0,D. Rose makes 2-pt shot from 16 ft,2,62-52,,
9:17.0,,,62-52,,Oklahoma City full timeout
9:00.0,,,62-52,,K. Durant misses 2-pt shot from 12 ft
8:59.0,,,62-52,,Offensive rebound by S. Ibaka
8:59.0,,,62-52,,S. Ibaka misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by P. Gasol,,62-52,,
8:57.0,Turnover by P. Gasol (lost ball),,62-52,,
8:52.0,,,62-54,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant)
8:35.0,J. Butler misses 2-pt shot at rim,,62-54,,
8:33.0,Offensive rebound by P. Gasol,,62-54,,
8:33.0,P. Gasol makes 2-pt shot at rim,2,64-54,,
8:17.0,,,64-56,2,K. Durant makes 2-pt shot from 9 ft (assist by R. Westbrook)
8:03.0,P. Gasol misses 2-pt shot from 17 ft,,64-56,,
8:03.0,,,64-56,,Defensive rebound by R. Westbrook
7:56.0,,,64-56,,R. Westbrook misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by N. Mirotic,,64-56,,
7:40.0,N. Mirotic misses 3-pt shot from 24 ft,,64-56,,
7:40.0,,,64-56,,Defensive rebound by S. Adams
7:25.0,,,64-56,,S. Ibaka misses 3-pt shot from 22 ft
7:23.0,Defensive rebound by N. Mirotic,,64-56,,
7:03.0,J. Butler makes 2-pt shot from 2 ft (assist by T. Gibson),2,66-56,,
6:43.0,,,66-56,,A. Roberson misses 3-pt shot from 24 ft
6:43.0,,,66-56,,Offensive rebound by K. Durant
6:36.0,,,66-56,,Shooting foul by P. Gasol (drawn by S. Adams)
6:36.0,,,66-56,,S. Adams misses free throw 1 of 2
6:36.0,,,66-56,,Offensive rebound by Team
6:36.0,B. Portis enters the game for N. Mirotic,,66-56,,
6:36.0,D. McDermott enters the game for T. Gibson,,66-56,,
6:36.0,,,66-57,1,S. Adams makes free throw 2 of 2
6:24.0,D. Rose misses 2-pt shot from 13 ft,,66-57,,
6:23.0,Offensive rebound by B. Portis,,66-57,,
6:21.0,B. Portis misses 2-pt shot from 1 ft,,66-57,,
6:19.0,,,66-57,,Defensive rebound by S. Ibaka
6:15.0,,,66-57,,Offensive foul by R. Westbrook
6:15.0,,,66-57,,Turnover by R. Westbrook (offensive foul)
6:15.0,,,66-57,,D. Waiters enters the game for K. Durant
5:57.0,D. Rose misses 2-pt shot from 1 ft (block by S. Ibaka),,66-57,,
5:56.0,Offensive rebound by P. Gasol,,66-57,,
5:52.0,P. Gasol misses 3-pt shot from 25 ft,,66-57,,
5:52.0,,,66-57,,Defensive rebound by S. Ibaka
5:38.0,,,66-57,,Turnover by S. Ibaka (lost ball; steal by B. Portis)
5:35.0,,,66-57,,N. Collison enters the game for S. Ibaka
5:35.0,K. Hinrich enters the game for J. Butler,,66-57,,
5:19.0,P. Gasol makes 2-pt shot from 12 ft,2,68-57,,
5:05.0,,,68-57,,D. Waiters misses 2-pt shot at rim
5:04.0,,,68-57,,Offensive rebound by Team
5:03.0,,,68-57,,K. Durant enters the game for A. Roberson
5:03.0,J. Butler enters the game for D. Rose,,68-57,,
4:53.0,,,68-57,,S. Adams misses 2-pt shot from 4 ft
4:53.0,,,68-57,,Offensive rebound by R. Westbrook
4:53.0,,,68-57,,Shooting foul by K. Hinrich (drawn by R. Westbrook)
4:53.0,,,68-58,1,R. Westbrook makes free throw 1 of 2
4:53.0,,,68-58,,R. Westbrook misses free throw 2 of 2
4:52.0,Defensive rebound by P. Gasol,,68-58,,
4:31.0,B. Portis makes 3-pt shot from 24 ft (assist by P. Gasol),3,71-58,,
4:17.0,,,71-58,,Shooting foul by P. Gasol (drawn by R. Westbrook)
4:17.0,,,71-58,,R. Westbrook misses free throw 1 of 2
4:17.0,,,71-58,,Offensive rebound by Team
4:17.0,,,71-58,,A. Morrow enters the game for S. Adams
4:17.0,,,71-59,1,R. Westbrook makes free throw 2 of 2
3:55.0,J. Butler misses 2-pt shot from 7 ft,,71-59,,
3:54.0,Offensive rebound by P. Gasol,,71-59,,
3:52.0,Turnover by P. Gasol (bad pass; steal by R. Westbrook),,71-59,,
3:46.0,,,71-59,,K. Durant misses 2-pt shot from 4 ft
3:46.0,Defensive rebound by J. Butler,,71-59,,
3:40.0,D. McDermott makes 2-pt shot from 1 ft (assist by B. Portis),2,73-59,,
3:23.0,,,73-59,,K. Durant misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by B. Portis,,73-59,,
3:12.0,P. Gasol misses 2-pt shot from 17 ft,,73-59,,
3:10.0,,,73-59,,Defensive rebound by R. Westbrook
3:04.0,,,73-62,3,R. Westbrook makes 3-pt shot from 24 ft
2:47.0,P. Gasol makes 2-pt shot at rim (assist by D. McDermott),2,75-62,,
2:36.0,,,75-62,,Shooting foul by K. Hinrich (drawn by R. Westbrook)
2:36.0,Chicago full timeout,,75-62,,
2:36.0,A. Brooks enters the game for K. Hinrich,,75-62,,
2:36.0,,,75-62,,R. Westbrook misses free throw 1 of 2
2:36.0,,,75-62,,Offensive rebound by Team
2:36.0,,,75-63,1,R. Westbrook makes free throw 2 of 2
2:14.0,P. Gasol makes 2-pt shot from 1 ft (assist by J. Butler),2,77-63,,
1:54.0,,,77-65,2,K. Durant makes 2-pt shot from 3 ft
1:54.0,,,77-65,,Shooting foul by A. Brooks (drawn by K. Durant)
1:54.0,,,77-65,,D. Augustin enters the game for R. Westbrook
1:54.0,T. Gibson enters the game for P. Gasol,,77-65,,
1:54.0,,,77-65,,E. Kanter enters the game for N. Collison
1:54.0,,,77-66,1,K. Durant makes free throw 1 of 1
1:38.0,J. Butler misses 2-pt shot from 10 ft,,77-66,,
1:38.0,,,77-66,,Defensive rebound by K. Durant
1:29.0,,,77-66,,D. Waiters misses 2-pt shot from 15 ft
1:28.0,Defensive rebound by A. Brooks,,77-66,,
1:21.0,A. Brooks makes 3-pt shot from 25 ft,3,80-66,,
0:59.0,,,80-66,,Turnover by K. Durant (lost ball; steal by J. Butler)
0:50.0,J. Butler makes 2-pt shot from 1 ft,2,82-66,,
0:46.0,,,82-66,,Oklahoma City full timeout
0:42.0,,,82-68,2,E. Kanter makes 2-pt shot from 1 ft (assist by K. Durant)
0:36.0,Turnover by B. Portis (offensive foul),,82-68,,
0:36.0,Offensive foul by B. Portis,,82-68,,
0:31.0,,,82-68,,Turnover by D. Augustin (bad pass; steal by J. Butler)
0:28.0,J. Butler makes 2-pt shot at rim,2,84-68,,
0:07.0,,,84-68,,A. Morrow misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by A. Brooks,,84-68,,
0:01.0,B. Portis makes 2-pt shot from 7 ft (assist by A. Brooks),2,86-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,B. Portis misses 2-pt shot from 22 ft,,86-68,,
11:41.0,,,86-68,,Defensive rebound by K. Durant
11:31.0,,,86-70,2,R. Westbrook makes 2-pt shot from 16 ft
11:21.0,Turnover by D. Rose (lost ball; steal by R. Westbrook),,86-70,,
11:18.0,,,86-72,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:18.0,,,86-72,,Shooting foul by D. Rose (drawn by K. Durant)
11:18.0,,,86-73,1,K. Durant makes free throw 1 of 1
10:55.0,J. Butler makes 2-pt shot at rim,2,88-73,,
10:33.0,,,88-75,2,E. Kanter makes 2-pt shot from 1 ft (assist by K. Durant)
10:11.0,J. Butler misses 2-pt shot from 17 ft,,88-75,,
10:11.0,,,88-75,,Defensive rebound by Team
9:54.0,,,88-75,,A. Morrow misses 3-pt shot from 22 ft
9:54.0,Defensive rebound by B. Portis,,88-75,,
9:43.0,Turnover by D. Rose (bad pass),,88-75,,
9:21.0,,,88-75,,R. Westbrook misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by B. Portis,,88-75,,
9:05.0,T. Gibson makes 2-pt shot from 10 ft,2,90-75,,
8:47.0,,,90-75,,S. Ibaka misses 2-pt shot from 9 ft
8:46.0,,,90-75,,Offensive rebound by E. Kanter
8:42.0,,,90-77,2,E. Kanter makes 2-pt shot from 1 ft
8:24.0,D. Rose misses 2-pt shot from 19 ft,,90-77,,
8:23.0,Offensive rebound by T. Gibson,,90-77,,
8:10.0,D. McDermott makes 3-pt shot from 22 ft (assist by D. Rose),3,93-77,,
7:56.0,,,93-79,2,R. Westbrook makes 2-pt shot from 1 ft
7:56.0,,,93-79,,Shooting foul by B. Portis (drawn by R. Westbrook)
7:56.0,Official timeout,,93-79,,
7:56.0,P. Gasol enters the game for T. Gibson,,93-79,,
7:56.0,,,93-79,,R. Westbrook misses free throw 1 of 1
7:53.0,Defensive rebound by P. Gasol,,93-79,,
7:39.0,D. Rose makes 2-pt shot from 3 ft,2,95-79,,
7:26.0,,,95-81,2,K. Durant makes 2-pt shot at rim (assist by E. Kanter)
7:07.0,B. Portis misses 2-pt shot from 3 ft,,95-81,,
7:06.0,,,95-81,,Defensive rebound by E. Kanter
6:59.0,,,95-81,,Shooting foul by D. Rose (drawn by R. Westbrook)
6:59.0,,,95-82,1,R. Westbrook makes free throw 1 of 2
6:59.0,K. Hinrich enters the game for D. Rose,,95-82,,
6:59.0,,,95-83,1,R. Westbrook makes free throw 2 of 2
6:42.0,B. Portis makes 2-pt shot from 2 ft (assist by K. Hinrich),2,97-83,,
6:31.0,,,97-83,,Turnover by R. Westbrook (bad pass; steal by D. McDermott)
6:24.0,D. McDermott misses 3-pt shot from 22 ft,,97-83,,
6:23.0,,,97-83,,Defensive rebound by K. Durant
